href,title,description,authors,date_published
/articles/sj.bdj.2010.1106,Rare chromosomal deletions and duplications in attention-deficit hyperactivity disorder: a genome-wide analysis,A selection of abstracts of clinically relevant papers from other journals. The abstracts on this page have been chosen and edited by John R. Radford.,"nature, search, Ana Moreno-Alcázar, Josep A. Ramos-Quiroga, Joaquim Radua, Yoshifumi Mizuno, Minyoung Jung, Akemi Tomoda, I Jarick, A-L Volckmar, A Hinney, Jiseung Kang, Hyeri Lee, Dong Keon Yon, Isobel Leake, Faye McKenna, Laura Miles, Mariana Lazar, Ang Li, Haiyang Liu, Bing Liu, Tobias Laurell, Johanna Lundin, Ann Nordgren, Lin Tang, Zhiqiang Sha, Dick Schijven, Clyde Francks, David L. Pauls, Amitai Abramovitch, Daniel A. Geller, Nina Vogt, Antonio J. Santinha, Esther Klingler, Randall J. Platt, Katherine Whalley, Helena T. S. Voetterl, Alexander T. Sack, Martijn Arns, Barbara Wiśniowiecka-Kowalnik, Monika Kastory-Bronowska, Paweł Stankiewicz, R.A. Poldrack, E. Congdon, R.M. Bilder, Nancy Y. A. Sey, Benxia Hu, Hyejung Won, Encong Wang, Meirong Sun, Yan Song, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, G Chen, I D Henter, H K Manji, Abigail U. Carbonell, Chang Hoon Cho, Bryen A. Jordan, Natalia N Kudryavtseva, Dmitry A Smagin, Galina B Vishnivetskaya, Ann M. Alex, Fernando Aguate, Rebecca C. Knickmeyer, Ranganatha Sitaram, Tomas Ros, James Sulzer, Blue B Lake, Song Chen, Kun Zhang, Macarena Suárez-Pellicioni, Marisa Lytle, James R. Booth, Eugenia Annunzi, Loreta Cannito, Claudio D’Addario, J-C Wang, T Foroud, A M Goate, Chiara Prodani, Elaine E. Irvine, Amanda G. Fisher, David M. Howard, Mark J. Adams, Andrew M. McIntosh, Domenic H. Cerri, Daniel L. Albaugh, Yen-Yu Ian Shih, Mingming Zhou, Jodi Gresack, Marc Flajolet, Neil Savage, Ellen F. Carney, R. James R. Blair, Catarina Rebelo, Tiago Reis, Lino Ferreira, Ruben van den Bosch, Britt Lambregts, Roshan Cools, Chirag Patel, Lisa Cooper-Charles, Jenny Morton, Lorissa Lamoureux, Joel Beverley, Michela Marinelli, Fangmiao Sun, Jingheng Zhou, Yulong Li, Nitzan Lubianiker, Noam Goldway, Talma Hendler, Wenjing Zhang, John A. Sweeney, Su Lui, Nancy Y. A. Sey, Brandon M. Pratt, Hyejung Won, Keiko Shimojima, Nobuhiko Okamoto, Toshiyuki Yamamoto, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Takuya Hiraide, Kenji Shimizu, Hirotomo Saitsu, Adriana Di Martino, David O’Connor, Michael P. Milham",10 Dec 2010
/articles/s41598-021-81915-z,Brain structural and functional substrates of ADGRL3 (latrophilin 3) haplotype in attention-deficit/hyperactivity disorder,Mendelian randomization analyses reveal potential causal associations between dysfunction of brain functional networks and psychiatric disorders.,"nature, search, Ana Moreno-Alcázar, Josep A. Ramos-Quiroga, Joaquim Radua, Yoshifumi Mizuno, Minyoung Jung, Akemi Tomoda, I Jarick, A-L Volckmar, A Hinney, Jiseung Kang, Hyeri Lee, Dong Keon Yon, Isobel Leake, Faye McKenna, Laura Miles, Mariana Lazar, Ang Li, Haiyang Liu, Bing Liu, Tobias Laurell, Johanna Lundin, Ann Nordgren, Lin Tang, Zhiqiang Sha, Dick Schijven, Clyde Francks, David L. Pauls, Amitai Abramovitch, Daniel A. Geller, Nina Vogt, Antonio J. Santinha, Esther Klingler, Randall J. Platt, Katherine Whalley, Helena T. S. Voetterl, Alexander T. Sack, Martijn Arns, Barbara Wiśniowiecka-Kowalnik, Monika Kastory-Bronowska, Paweł Stankiewicz, R.A. Poldrack, E. Congdon, R.M. Bilder, Nancy Y. A. Sey, Benxia Hu, Hyejung Won, Encong Wang, Meirong Sun, Yan Song, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, G Chen, I D Henter, H K Manji, Abigail U. Carbonell, Chang Hoon Cho, Bryen A. Jordan, Natalia N Kudryavtseva, Dmitry A Smagin, Galina B Vishnivetskaya, Ann M. Alex, Fernando Aguate, Rebecca C. Knickmeyer, Ranganatha Sitaram, Tomas Ros, James Sulzer, Blue B Lake, Song Chen, Kun Zhang, Macarena Suárez-Pellicioni, Marisa Lytle, James R. Booth, Eugenia Annunzi, Loreta Cannito, Claudio D’Addario, J-C Wang, T Foroud, A M Goate, Chiara Prodani, Elaine E. Irvine, Amanda G. Fisher, David M. Howard, Mark J. Adams, Andrew M. McIntosh, Domenic H. Cerri, Daniel L. Albaugh, Yen-Yu Ian Shih, Mingming Zhou, Jodi Gresack, Marc Flajolet, Neil Savage, Ellen F. Carney, R. James R. Blair, Catarina Rebelo, Tiago Reis, Lino Ferreira, Ruben van den Bosch, Britt Lambregts, Roshan Cools, Chirag Patel, Lisa Cooper-Charles, Jenny Morton, Lorissa Lamoureux, Joel Beverley, Michela Marinelli, Fangmiao Sun, Jingheng Zhou, Yulong Li, Nitzan Lubianiker, Noam Goldway, Talma Hendler, Wenjing Zhang, John A. Sweeney, Su Lui, Nancy Y. A. Sey, Brandon M. Pratt, Hyejung Won, Keiko Shimojima, Nobuhiko Okamoto, Toshiyuki Yamamoto, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Takuya Hiraide, Kenji Shimizu, Hirotomo Saitsu, Adriana Di Martino, David O’Connor, Michael P. Milham",10 Dec 2010
/articles/s41598-017-04579-8,Catechol-O-methyltransferase polymorphism is associated with the cortico-cerebellar functional connectivity of executive function in children with attention-deficit/hyperactivity disorder,Mendelian randomization analyses reveal potential causal associations between dysfunction of brain functional networks and psychiatric disorders.,"nature, search, Ana Moreno-Alcázar, Josep A. Ramos-Quiroga, Joaquim Radua, Yoshifumi Mizuno, Minyoung Jung, Akemi Tomoda, I Jarick, A-L Volckmar, A Hinney, Jiseung Kang, Hyeri Lee, Dong Keon Yon, Isobel Leake, Faye McKenna, Laura Miles, Mariana Lazar, Ang Li, Haiyang Liu, Bing Liu, Tobias Laurell, Johanna Lundin, Ann Nordgren, Lin Tang, Zhiqiang Sha, Dick Schijven, Clyde Francks, David L. Pauls, Amitai Abramovitch, Daniel A. Geller, Nina Vogt, Antonio J. Santinha, Esther Klingler, Randall J. Platt, Katherine Whalley, Helena T. S. Voetterl, Alexander T. Sack, Martijn Arns, Barbara Wiśniowiecka-Kowalnik, Monika Kastory-Bronowska, Paweł Stankiewicz, R.A. Poldrack, E. Congdon, R.M. Bilder, Nancy Y. A. Sey, Benxia Hu, Hyejung Won, Encong Wang, Meirong Sun, Yan Song, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, G Chen, I D Henter, H K Manji, Abigail U. Carbonell, Chang Hoon Cho, Bryen A. Jordan, Natalia N Kudryavtseva, Dmitry A Smagin, Galina B Vishnivetskaya, Ann M. Alex, Fernando Aguate, Rebecca C. Knickmeyer, Ranganatha Sitaram, Tomas Ros, James Sulzer, Blue B Lake, Song Chen, Kun Zhang, Macarena Suárez-Pellicioni, Marisa Lytle, James R. Booth, Eugenia Annunzi, Loreta Cannito, Claudio D’Addario, J-C Wang, T Foroud, A M Goate, Chiara Prodani, Elaine E. Irvine, Amanda G. Fisher, David M. Howard, Mark J. Adams, Andrew M. McIntosh, Domenic H. Cerri, Daniel L. Albaugh, Yen-Yu Ian Shih, Mingming Zhou, Jodi Gresack, Marc Flajolet, Neil Savage, Ellen F. Carney, R. James R. Blair, Catarina Rebelo, Tiago Reis, Lino Ferreira, Ruben van den Bosch, Britt Lambregts, Roshan Cools, Chirag Patel, Lisa Cooper-Charles, Jenny Morton, Lorissa Lamoureux, Joel Beverley, Michela Marinelli, Fangmiao Sun, Jingheng Zhou, Yulong Li, Nitzan Lubianiker, Noam Goldway, Talma Hendler, Wenjing Zhang, John A. Sweeney, Su Lui, Nancy Y. A. Sey, Brandon M. Pratt, Hyejung Won, Keiko Shimojima, Nobuhiko Okamoto, Toshiyuki Yamamoto, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Takuya Hiraide, Kenji Shimizu, Hirotomo Saitsu, Adriana Di Martino, David O’Connor, Michael P. Milham",10 Dec 2010
/articles/mp2012161,Genome-wide analysis of rare copy number variations reveals PARK2 as a candidate gene for attention-deficit/hyperactivity disorder,Mendelian randomization analyses reveal potential causal associations between dysfunction of brain functional networks and psychiatric disorders.,"nature, search, Ana Moreno-Alcázar, Josep A. Ramos-Quiroga, Joaquim Radua, Yoshifumi Mizuno, Minyoung Jung, Akemi Tomoda, I Jarick, A-L Volckmar, A Hinney, Jiseung Kang, Hyeri Lee, Dong Keon Yon, Isobel Leake, Faye McKenna, Laura Miles, Mariana Lazar, Ang Li, Haiyang Liu, Bing Liu, Tobias Laurell, Johanna Lundin, Ann Nordgren, Lin Tang, Zhiqiang Sha, Dick Schijven, Clyde Francks, David L. Pauls, Amitai Abramovitch, Daniel A. Geller, Nina Vogt, Antonio J. Santinha, Esther Klingler, Randall J. Platt, Katherine Whalley, Helena T. S. Voetterl, Alexander T. Sack, Martijn Arns, Barbara Wiśniowiecka-Kowalnik, Monika Kastory-Bronowska, Paweł Stankiewicz, R.A. Poldrack, E. Congdon, R.M. Bilder, Nancy Y. A. Sey, Benxia Hu, Hyejung Won, Encong Wang, Meirong Sun, Yan Song, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, G Chen, I D Henter, H K Manji, Abigail U. Carbonell, Chang Hoon Cho, Bryen A. Jordan, Natalia N Kudryavtseva, Dmitry A Smagin, Galina B Vishnivetskaya, Ann M. Alex, Fernando Aguate, Rebecca C. Knickmeyer, Ranganatha Sitaram, Tomas Ros, James Sulzer, Blue B Lake, Song Chen, Kun Zhang, Macarena Suárez-Pellicioni, Marisa Lytle, James R. Booth, Eugenia Annunzi, Loreta Cannito, Claudio D’Addario, J-C Wang, T Foroud, A M Goate, Chiara Prodani, Elaine E. Irvine, Amanda G. Fisher, David M. Howard, Mark J. Adams, Andrew M. McIntosh, Domenic H. Cerri, Daniel L. Albaugh, Yen-Yu Ian Shih, Mingming Zhou, Jodi Gresack, Marc Flajolet, Neil Savage, Ellen F. Carney, R. James R. Blair, Catarina Rebelo, Tiago Reis, Lino Ferreira, Ruben van den Bosch, Britt Lambregts, Roshan Cools, Chirag Patel, Lisa Cooper-Charles, Jenny Morton, Lorissa Lamoureux, Joel Beverley, Michela Marinelli, Fangmiao Sun, Jingheng Zhou, Yulong Li, Nitzan Lubianiker, Noam Goldway, Talma Hendler, Wenjing Zhang, John A. Sweeney, Su Lui, Nancy Y. A. Sey, Brandon M. Pratt, Hyejung Won, Keiko Shimojima, Nobuhiko Okamoto, Toshiyuki Yamamoto, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Takuya Hiraide, Kenji Shimizu, Hirotomo Saitsu, Adriana Di Martino, David O’Connor, Michael P. Milham",10 Dec 2010
/articles/s41380-024-02624-3,Effects and safety of transcranial direct current stimulation on multiple health outcomes: an umbrella review of randomized clinical trials,Mendelian randomization analyses reveal potential causal associations between dysfunction of brain functional networks and psychiatric disorders.,"nature, search, Ana Moreno-Alcázar, Josep A. Ramos-Quiroga, Joaquim Radua, Yoshifumi Mizuno, Minyoung Jung, Akemi Tomoda, I Jarick, A-L Volckmar, A Hinney, Jiseung Kang, Hyeri Lee, Dong Keon Yon, Isobel Leake, Faye McKenna, Laura Miles, Mariana Lazar, Ang Li, Haiyang Liu, Bing Liu, Tobias Laurell, Johanna Lundin, Ann Nordgren, Lin Tang, Zhiqiang Sha, Dick Schijven, Clyde Francks, David L. Pauls, Amitai Abramovitch, Daniel A. Geller, Nina Vogt, Antonio J. Santinha, Esther Klingler, Randall J. Platt, Katherine Whalley, Helena T. S. Voetterl, Alexander T. Sack, Martijn Arns, Barbara Wiśniowiecka-Kowalnik, Monika Kastory-Bronowska, Paweł Stankiewicz, R.A. Poldrack, E. Congdon, R.M. Bilder, Nancy Y. A. Sey, Benxia Hu, Hyejung Won, Encong Wang, Meirong Sun, Yan Song, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, G Chen, I D Henter, H K Manji, Abigail U. Carbonell, Chang Hoon Cho, Bryen A. Jordan, Natalia N Kudryavtseva, Dmitry A Smagin, Galina B Vishnivetskaya, Ann M. Alex, Fernando Aguate, Rebecca C. Knickmeyer, Ranganatha Sitaram, Tomas Ros, James Sulzer, Blue B Lake, Song Chen, Kun Zhang, Macarena Suárez-Pellicioni, Marisa Lytle, James R. Booth, Eugenia Annunzi, Loreta Cannito, Claudio D’Addario, J-C Wang, T Foroud, A M Goate, Chiara Prodani, Elaine E. Irvine, Amanda G. Fisher, David M. Howard, Mark J. Adams, Andrew M. McIntosh, Domenic H. Cerri, Daniel L. Albaugh, Yen-Yu Ian Shih, Mingming Zhou, Jodi Gresack, Marc Flajolet, Neil Savage, Ellen F. Carney, R. James R. Blair, Catarina Rebelo, Tiago Reis, Lino Ferreira, Ruben van den Bosch, Britt Lambregts, Roshan Cools, Chirag Patel, Lisa Cooper-Charles, Jenny Morton, Lorissa Lamoureux, Joel Beverley, Michela Marinelli, Fangmiao Sun, Jingheng Zhou, Yulong Li, Nitzan Lubianiker, Noam Goldway, Talma Hendler, Wenjing Zhang, John A. Sweeney, Su Lui, Nancy Y. A. Sey, Brandon M. Pratt, Hyejung Won, Keiko Shimojima, Nobuhiko Okamoto, Toshiyuki Yamamoto, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Takuya Hiraide, Kenji Shimizu, Hirotomo Saitsu, Adriana Di Martino, David O’Connor, Michael P. Milham",10 Dec 2010
/articles/s41583-024-00827-9,Brain functional networks and psychiatric disorders,Mendelian randomization analyses reveal potential causal associations between dysfunction of brain functional networks and psychiatric disorders.,"nature, search, Ana Moreno-Alcázar, Josep A. Ramos-Quiroga, Joaquim Radua, Yoshifumi Mizuno, Minyoung Jung, Akemi Tomoda, I Jarick, A-L Volckmar, A Hinney, Jiseung Kang, Hyeri Lee, Dong Keon Yon, Isobel Leake, Faye McKenna, Laura Miles, Mariana Lazar, Ang Li, Haiyang Liu, Bing Liu, Tobias Laurell, Johanna Lundin, Ann Nordgren, Lin Tang, Zhiqiang Sha, Dick Schijven, Clyde Francks, David L. Pauls, Amitai Abramovitch, Daniel A. Geller, Nina Vogt, Antonio J. Santinha, Esther Klingler, Randall J. Platt, Katherine Whalley, Helena T. S. Voetterl, Alexander T. Sack, Martijn Arns, Barbara Wiśniowiecka-Kowalnik, Monika Kastory-Bronowska, Paweł Stankiewicz, R.A. Poldrack, E. Congdon, R.M. Bilder, Nancy Y. A. Sey, Benxia Hu, Hyejung Won, Encong Wang, Meirong Sun, Yan Song, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, G Chen, I D Henter, H K Manji, Abigail U. Carbonell, Chang Hoon Cho, Bryen A. Jordan, Natalia N Kudryavtseva, Dmitry A Smagin, Galina B Vishnivetskaya, Ann M. Alex, Fernando Aguate, Rebecca C. Knickmeyer, Ranganatha Sitaram, Tomas Ros, James Sulzer, Blue B Lake, Song Chen, Kun Zhang, Macarena Suárez-Pellicioni, Marisa Lytle, James R. Booth, Eugenia Annunzi, Loreta Cannito, Claudio D’Addario, J-C Wang, T Foroud, A M Goate, Chiara Prodani, Elaine E. Irvine, Amanda G. Fisher, David M. Howard, Mark J. Adams, Andrew M. McIntosh, Domenic H. Cerri, Daniel L. Albaugh, Yen-Yu Ian Shih, Mingming Zhou, Jodi Gresack, Marc Flajolet, Neil Savage, Ellen F. Carney, R. James R. Blair, Catarina Rebelo, Tiago Reis, Lino Ferreira, Ruben van den Bosch, Britt Lambregts, Roshan Cools, Chirag Patel, Lisa Cooper-Charles, Jenny Morton, Lorissa Lamoureux, Joel Beverley, Michela Marinelli, Fangmiao Sun, Jingheng Zhou, Yulong Li, Nitzan Lubianiker, Noam Goldway, Talma Hendler, Wenjing Zhang, John A. Sweeney, Su Lui, Nancy Y. A. Sey, Brandon M. Pratt, Hyejung Won, Keiko Shimojima, Nobuhiko Okamoto, Toshiyuki Yamamoto, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Takuya Hiraide, Kenji Shimizu, Hirotomo Saitsu, Adriana Di Martino, David O’Connor, Michael P. Milham",10 Dec 2010
/articles/s41598-020-78486-w,Diffusion kurtosis imaging of gray matter in young adults with autism spectrum disorder,"The neuroanatomical basis of consciousness is not fully understood. Here the authors show that a global state of consciousness might not depend on a specific brain region or location in Euclidean space; rather, it is linked to a low-dimensional dynamic pattern in topological space, as shown through the analysis of different experimental paradigms, imaging techniques, and species.","nature, search, Ana Moreno-Alcázar, Josep A. Ramos-Quiroga, Joaquim Radua, Yoshifumi Mizuno, Minyoung Jung, Akemi Tomoda, I Jarick, A-L Volckmar, A Hinney, Jiseung Kang, Hyeri Lee, Dong Keon Yon, Isobel Leake, Faye McKenna, Laura Miles, Mariana Lazar, Ang Li, Haiyang Liu, Bing Liu, Tobias Laurell, Johanna Lundin, Ann Nordgren, Lin Tang, Zhiqiang Sha, Dick Schijven, Clyde Francks, David L. Pauls, Amitai Abramovitch, Daniel A. Geller, Nina Vogt, Antonio J. Santinha, Esther Klingler, Randall J. Platt, Katherine Whalley, Helena T. S. Voetterl, Alexander T. Sack, Martijn Arns, Barbara Wiśniowiecka-Kowalnik, Monika Kastory-Bronowska, Paweł Stankiewicz, R.A. Poldrack, E. Congdon, R.M. Bilder, Nancy Y. A. Sey, Benxia Hu, Hyejung Won, Encong Wang, Meirong Sun, Yan Song, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, G Chen, I D Henter, H K Manji, Abigail U. Carbonell, Chang Hoon Cho, Bryen A. Jordan, Natalia N Kudryavtseva, Dmitry A Smagin, Galina B Vishnivetskaya, Ann M. Alex, Fernando Aguate, Rebecca C. Knickmeyer, Ranganatha Sitaram, Tomas Ros, James Sulzer, Blue B Lake, Song Chen, Kun Zhang, Macarena Suárez-Pellicioni, Marisa Lytle, James R. Booth, Eugenia Annunzi, Loreta Cannito, Claudio D’Addario, J-C Wang, T Foroud, A M Goate, Chiara Prodani, Elaine E. Irvine, Amanda G. Fisher, David M. Howard, Mark J. Adams, Andrew M. McIntosh, Domenic H. Cerri, Daniel L. Albaugh, Yen-Yu Ian Shih, Mingming Zhou, Jodi Gresack, Marc Flajolet, Neil Savage, Ellen F. Carney, R. James R. Blair, Catarina Rebelo, Tiago Reis, Lino Ferreira, Ruben van den Bosch, Britt Lambregts, Roshan Cools, Chirag Patel, Lisa Cooper-Charles, Jenny Morton, Lorissa Lamoureux, Joel Beverley, Michela Marinelli, Fangmiao Sun, Jingheng Zhou, Yulong Li, Nitzan Lubianiker, Noam Goldway, Talma Hendler, Wenjing Zhang, John A. Sweeney, Su Lui, Nancy Y. A. Sey, Brandon M. Pratt, Hyejung Won, Keiko Shimojima, Nobuhiko Okamoto, Toshiyuki Yamamoto, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Takuya Hiraide, Kenji Shimizu, Hirotomo Saitsu, Adriana Di Martino, David O’Connor, Michael P. Milham",10 Dec 2010
/articles/s41467-023-38972-x,Hierarchical fluctuation shapes a dynamic flow linked to states of consciousness,"The neuroanatomical basis of consciousness is not fully understood. Here the authors show that a global state of consciousness might not depend on a specific brain region or location in Euclidean space; rather, it is linked to a low-dimensional dynamic pattern in topological space, as shown through the analysis of different experimental paradigms, imaging techniques, and species.","nature, search, Ana Moreno-Alcázar, Josep A. Ramos-Quiroga, Joaquim Radua, Yoshifumi Mizuno, Minyoung Jung, Akemi Tomoda, I Jarick, A-L Volckmar, A Hinney, Jiseung Kang, Hyeri Lee, Dong Keon Yon, Isobel Leake, Faye McKenna, Laura Miles, Mariana Lazar, Ang Li, Haiyang Liu, Bing Liu, Tobias Laurell, Johanna Lundin, Ann Nordgren, Lin Tang, Zhiqiang Sha, Dick Schijven, Clyde Francks, David L. Pauls, Amitai Abramovitch, Daniel A. Geller, Nina Vogt, Antonio J. Santinha, Esther Klingler, Randall J. Platt, Katherine Whalley, Helena T. S. Voetterl, Alexander T. Sack, Martijn Arns, Barbara Wiśniowiecka-Kowalnik, Monika Kastory-Bronowska, Paweł Stankiewicz, R.A. Poldrack, E. Congdon, R.M. Bilder, Nancy Y. A. Sey, Benxia Hu, Hyejung Won, Encong Wang, Meirong Sun, Yan Song, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, G Chen, I D Henter, H K Manji, Abigail U. Carbonell, Chang Hoon Cho, Bryen A. Jordan, Natalia N Kudryavtseva, Dmitry A Smagin, Galina B Vishnivetskaya, Ann M. Alex, Fernando Aguate, Rebecca C. Knickmeyer, Ranganatha Sitaram, Tomas Ros, James Sulzer, Blue B Lake, Song Chen, Kun Zhang, Macarena Suárez-Pellicioni, Marisa Lytle, James R. Booth, Eugenia Annunzi, Loreta Cannito, Claudio D’Addario, J-C Wang, T Foroud, A M Goate, Chiara Prodani, Elaine E. Irvine, Amanda G. Fisher, David M. Howard, Mark J. Adams, Andrew M. McIntosh, Domenic H. Cerri, Daniel L. Albaugh, Yen-Yu Ian Shih, Mingming Zhou, Jodi Gresack, Marc Flajolet, Neil Savage, Ellen F. Carney, R. James R. Blair, Catarina Rebelo, Tiago Reis, Lino Ferreira, Ruben van den Bosch, Britt Lambregts, Roshan Cools, Chirag Patel, Lisa Cooper-Charles, Jenny Morton, Lorissa Lamoureux, Joel Beverley, Michela Marinelli, Fangmiao Sun, Jingheng Zhou, Yulong Li, Nitzan Lubianiker, Noam Goldway, Talma Hendler, Wenjing Zhang, John A. Sweeney, Su Lui, Nancy Y. A. Sey, Brandon M. Pratt, Hyejung Won, Keiko Shimojima, Nobuhiko Okamoto, Toshiyuki Yamamoto, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Takuya Hiraide, Kenji Shimizu, Hirotomo Saitsu, Adriana Di Martino, David O’Connor, Michael P. Milham",10 Dec 2010
/articles/ejhg2012306,Molecular and clinical delineation of the 17q22 microdeletion phenotype,H-MAGMA leverages chromatin interaction data to interpret GWAS results for brain disorders.,"nature, search, Ana Moreno-Alcázar, Josep A. Ramos-Quiroga, Joaquim Radua, Yoshifumi Mizuno, Minyoung Jung, Akemi Tomoda, I Jarick, A-L Volckmar, A Hinney, Jiseung Kang, Hyeri Lee, Dong Keon Yon, Isobel Leake, Faye McKenna, Laura Miles, Mariana Lazar, Ang Li, Haiyang Liu, Bing Liu, Tobias Laurell, Johanna Lundin, Ann Nordgren, Lin Tang, Zhiqiang Sha, Dick Schijven, Clyde Francks, David L. Pauls, Amitai Abramovitch, Daniel A. Geller, Nina Vogt, Antonio J. Santinha, Esther Klingler, Randall J. Platt, Katherine Whalley, Helena T. S. Voetterl, Alexander T. Sack, Martijn Arns, Barbara Wiśniowiecka-Kowalnik, Monika Kastory-Bronowska, Paweł Stankiewicz, R.A. Poldrack, E. Congdon, R.M. Bilder, Nancy Y. A. Sey, Benxia Hu, Hyejung Won, Encong Wang, Meirong Sun, Yan Song, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, G Chen, I D Henter, H K Manji, Abigail U. Carbonell, Chang Hoon Cho, Bryen A. Jordan, Natalia N Kudryavtseva, Dmitry A Smagin, Galina B Vishnivetskaya, Ann M. Alex, Fernando Aguate, Rebecca C. Knickmeyer, Ranganatha Sitaram, Tomas Ros, James Sulzer, Blue B Lake, Song Chen, Kun Zhang, Macarena Suárez-Pellicioni, Marisa Lytle, James R. Booth, Eugenia Annunzi, Loreta Cannito, Claudio D’Addario, J-C Wang, T Foroud, A M Goate, Chiara Prodani, Elaine E. Irvine, Amanda G. Fisher, David M. Howard, Mark J. Adams, Andrew M. McIntosh, Domenic H. Cerri, Daniel L. Albaugh, Yen-Yu Ian Shih, Mingming Zhou, Jodi Gresack, Marc Flajolet, Neil Savage, Ellen F. Carney, R. James R. Blair, Catarina Rebelo, Tiago Reis, Lino Ferreira, Ruben van den Bosch, Britt Lambregts, Roshan Cools, Chirag Patel, Lisa Cooper-Charles, Jenny Morton, Lorissa Lamoureux, Joel Beverley, Michela Marinelli, Fangmiao Sun, Jingheng Zhou, Yulong Li, Nitzan Lubianiker, Noam Goldway, Talma Hendler, Wenjing Zhang, John A. Sweeney, Su Lui, Nancy Y. A. Sey, Brandon M. Pratt, Hyejung Won, Keiko Shimojima, Nobuhiko Okamoto, Toshiyuki Yamamoto, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Takuya Hiraide, Kenji Shimizu, Hirotomo Saitsu, Adriana Di Martino, David O’Connor, Michael P. Milham",10 Dec 2010
/articles/s41592-020-0833-9,Predicting brain-disorder risk genes,H-MAGMA leverages chromatin interaction data to interpret GWAS results for brain disorders.,"nature, search, Ana Moreno-Alcázar, Josep A. Ramos-Quiroga, Joaquim Radua, Yoshifumi Mizuno, Minyoung Jung, Akemi Tomoda, I Jarick, A-L Volckmar, A Hinney, Jiseung Kang, Hyeri Lee, Dong Keon Yon, Isobel Leake, Faye McKenna, Laura Miles, Mariana Lazar, Ang Li, Haiyang Liu, Bing Liu, Tobias Laurell, Johanna Lundin, Ann Nordgren, Lin Tang, Zhiqiang Sha, Dick Schijven, Clyde Francks, David L. Pauls, Amitai Abramovitch, Daniel A. Geller, Nina Vogt, Antonio J. Santinha, Esther Klingler, Randall J. Platt, Katherine Whalley, Helena T. S. Voetterl, Alexander T. Sack, Martijn Arns, Barbara Wiśniowiecka-Kowalnik, Monika Kastory-Bronowska, Paweł Stankiewicz, R.A. Poldrack, E. Congdon, R.M. Bilder, Nancy Y. A. Sey, Benxia Hu, Hyejung Won, Encong Wang, Meirong Sun, Yan Song, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, G Chen, I D Henter, H K Manji, Abigail U. Carbonell, Chang Hoon Cho, Bryen A. Jordan, Natalia N Kudryavtseva, Dmitry A Smagin, Galina B Vishnivetskaya, Ann M. Alex, Fernando Aguate, Rebecca C. Knickmeyer, Ranganatha Sitaram, Tomas Ros, James Sulzer, Blue B Lake, Song Chen, Kun Zhang, Macarena Suárez-Pellicioni, Marisa Lytle, James R. Booth, Eugenia Annunzi, Loreta Cannito, Claudio D’Addario, J-C Wang, T Foroud, A M Goate, Chiara Prodani, Elaine E. Irvine, Amanda G. Fisher, David M. Howard, Mark J. Adams, Andrew M. McIntosh, Domenic H. Cerri, Daniel L. Albaugh, Yen-Yu Ian Shih, Mingming Zhou, Jodi Gresack, Marc Flajolet, Neil Savage, Ellen F. Carney, R. James R. Blair, Catarina Rebelo, Tiago Reis, Lino Ferreira, Ruben van den Bosch, Britt Lambregts, Roshan Cools, Chirag Patel, Lisa Cooper-Charles, Jenny Morton, Lorissa Lamoureux, Joel Beverley, Michela Marinelli, Fangmiao Sun, Jingheng Zhou, Yulong Li, Nitzan Lubianiker, Noam Goldway, Talma Hendler, Wenjing Zhang, John A. Sweeney, Su Lui, Nancy Y. A. Sey, Brandon M. Pratt, Hyejung Won, Keiko Shimojima, Nobuhiko Okamoto, Toshiyuki Yamamoto, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Takuya Hiraide, Kenji Shimizu, Hirotomo Saitsu, Adriana Di Martino, David O’Connor, Michael P. Milham",10 Dec 2010
