href,title,description,authors,date_published
/articles/s41588-022-01185-x,Gain-of-function mutations in KCNK3 cause a developmental disorder with sleep apnea,"Heterozygous de novo gain-of-function mutations inKCNK3, which encodes the two-pore-domain K+channel TASK-1, cause a channelopathy characterized by developmental delay with sleep apnea.","nature, search, Janina Sörmann, Marcus Schewe, Stephen J. Tucker, Ralph Gradisch, Katharina Schlögl, Thomas Stockner, Lawrence Lin, Sook Wah Yee, Kathleen M. Giacomini, David J. Kast, Roberto Dominguez, Lina Malinauskaite, Matthias Quick, Poul Nissen, Troels Rahbek-Clemmensen, Matthew D. Lycas, Ulrik Gether, Kamil Gotfryd, Thomas Boesen, Ulrik Gether, Verity A. Jackson, Shahid Mehmood, Elena Seiradake, Tamir S. Aldad, Geliang Gan, Hugh S. Taylor, Derrek P. Hibar, Jason L. Stein, Sarah E. Medland",04 Oct 2022
/articles/s41467-023-44637-6,Ligand coupling mechanism of the human serotonin transporter differentiates substrates from inhibitors,"The serotonin transporter, targeted by several medications, terminates neurotransmission by clearing serotonin from the synaptic cleft. Combining biochemical results with in silico data, the authors show the key interactions that initiate substrate transport.","nature, search, Janina Sörmann, Marcus Schewe, Stephen J. Tucker, Ralph Gradisch, Katharina Schlögl, Thomas Stockner, Lawrence Lin, Sook Wah Yee, Kathleen M. Giacomini, David J. Kast, Roberto Dominguez, Lina Malinauskaite, Matthias Quick, Poul Nissen, Troels Rahbek-Clemmensen, Matthew D. Lycas, Ulrik Gether, Kamil Gotfryd, Thomas Boesen, Ulrik Gether, Verity A. Jackson, Shahid Mehmood, Elena Seiradake, Tamir S. Aldad, Geliang Gan, Hugh S. Taylor, Derrek P. Hibar, Jason L. Stein, Sarah E. Medland",04 Oct 2022
/articles/nrd4626,SLC transporters as therapeutic targets: emerging opportunities,"Solute carrier (SLC) transporters mediate a large number of physiological processes, and the dysfunction of individual transporters has been implicated in many Mendelian diseases. In this Review, Giacomini and colleagues summarize these roles and ways in which SLC transporters can be targeted by drugs, and highlight current and investigational drugs that modulate SLC transporters.","nature, search, Janina Sörmann, Marcus Schewe, Stephen J. Tucker, Ralph Gradisch, Katharina Schlögl, Thomas Stockner, Lawrence Lin, Sook Wah Yee, Kathleen M. Giacomini, David J. Kast, Roberto Dominguez, Lina Malinauskaite, Matthias Quick, Poul Nissen, Troels Rahbek-Clemmensen, Matthew D. Lycas, Ulrik Gether, Kamil Gotfryd, Thomas Boesen, Ulrik Gether, Verity A. Jackson, Shahid Mehmood, Elena Seiradake, Tamir S. Aldad, Geliang Gan, Hugh S. Taylor, Derrek P. Hibar, Jason L. Stein, Sarah E. Medland",04 Oct 2022
/articles/s41467-019-08317-8,Mechanism of IRSp53 inhibition by 14-3-3,"IRSp53 is a key regulator of filopodia formation and cell migration. Here, the authors elucidate a mechanism of phosphorylation-dependent inhibition of IRSp53 by 14-3-3, which impedes the interactions of IRSp53 with membranes and downstream cytoskeletal effectors.","nature, search, Janina Sörmann, Marcus Schewe, Stephen J. Tucker, Ralph Gradisch, Katharina Schlögl, Thomas Stockner, Lawrence Lin, Sook Wah Yee, Kathleen M. Giacomini, David J. Kast, Roberto Dominguez, Lina Malinauskaite, Matthias Quick, Poul Nissen, Troels Rahbek-Clemmensen, Matthew D. Lycas, Ulrik Gether, Kamil Gotfryd, Thomas Boesen, Ulrik Gether, Verity A. Jackson, Shahid Mehmood, Elena Seiradake, Tamir S. Aldad, Geliang Gan, Hugh S. Taylor, Derrek P. Hibar, Jason L. Stein, Sarah E. Medland",04 Oct 2022
/articles/nsmb.2894,A mechanism for intracellular release of Na+ by neurotransmitter/sodium symporters,"Crystal structures of MhsT, a bacterial member of the neurotransmitter/sodium symporter family, in an occluded, inward-facing state with bound sodium and substrate reveal conformational changes during the transport cycle that provide new insights into the mechanism of cytoplasmic sodium release.","nature, search, Janina Sörmann, Marcus Schewe, Stephen J. Tucker, Ralph Gradisch, Katharina Schlögl, Thomas Stockner, Lawrence Lin, Sook Wah Yee, Kathleen M. Giacomini, David J. Kast, Roberto Dominguez, Lina Malinauskaite, Matthias Quick, Poul Nissen, Troels Rahbek-Clemmensen, Matthew D. Lycas, Ulrik Gether, Kamil Gotfryd, Thomas Boesen, Ulrik Gether, Verity A. Jackson, Shahid Mehmood, Elena Seiradake, Tamir S. Aldad, Geliang Gan, Hugh S. Taylor, Derrek P. Hibar, Jason L. Stein, Sarah E. Medland",04 Oct 2022
/articles/s41467-017-00790-3,Super-resolution microscopy reveals functional organization of dopamine transporters into cholesterol and neuronal activity-dependent nanodomains,"The dopamine transporter (DAT) has a crucial role in the regulation of neurotransmission. Here, the authors use super-resolution imaging to show that DAT clusters into cholesterol-dependent membrane regions that are reversibly regulated by ionotropic glutamate receptors activation.","nature, search, Janina Sörmann, Marcus Schewe, Stephen J. Tucker, Ralph Gradisch, Katharina Schlögl, Thomas Stockner, Lawrence Lin, Sook Wah Yee, Kathleen M. Giacomini, David J. Kast, Roberto Dominguez, Lina Malinauskaite, Matthias Quick, Poul Nissen, Troels Rahbek-Clemmensen, Matthew D. Lycas, Ulrik Gether, Kamil Gotfryd, Thomas Boesen, Ulrik Gether, Verity A. Jackson, Shahid Mehmood, Elena Seiradake, Tamir S. Aldad, Geliang Gan, Hugh S. Taylor, Derrek P. Hibar, Jason L. Stein, Sarah E. Medland",04 Oct 2022
/articles/s41467-020-14735-w,X-ray structure of LeuT in an inward-facing occluded conformation reveals mechanism of substrate release,"Neurotransmitter:sodium symporters (NSS) serve as targets for drugs including antidepressants and psychostimulants. Here authors report the X-ray structure of the prokaryotic NSS member, LeuT, in a Na+/substrate-bound, inward-facing occluded conformation which is a key intermediate in the LeuT transport cycle.","nature, search, Janina Sörmann, Marcus Schewe, Stephen J. Tucker, Ralph Gradisch, Katharina Schlögl, Thomas Stockner, Lawrence Lin, Sook Wah Yee, Kathleen M. Giacomini, David J. Kast, Roberto Dominguez, Lina Malinauskaite, Matthias Quick, Poul Nissen, Troels Rahbek-Clemmensen, Matthew D. Lycas, Ulrik Gether, Kamil Gotfryd, Thomas Boesen, Ulrik Gether, Verity A. Jackson, Shahid Mehmood, Elena Seiradake, Tamir S. Aldad, Geliang Gan, Hugh S. Taylor, Derrek P. Hibar, Jason L. Stein, Sarah E. Medland",04 Oct 2022
/articles/ncomms11184,Super-complexes of adhesion GPCRs and neural guidance receptors,"FLRT proteins are known to interact with Lphns and Unc5s, mediating cell adhesion and repulsion respectively. Here the authors use crystallography, native mass spectrometry, molecular dynamics simulations and cell-based assays to show that these three proteins form large super-complexes with functions distinct from their smaller subcomplexes.","nature, search, Janina Sörmann, Marcus Schewe, Stephen J. Tucker, Ralph Gradisch, Katharina Schlögl, Thomas Stockner, Lawrence Lin, Sook Wah Yee, Kathleen M. Giacomini, David J. Kast, Roberto Dominguez, Lina Malinauskaite, Matthias Quick, Poul Nissen, Troels Rahbek-Clemmensen, Matthew D. Lycas, Ulrik Gether, Kamil Gotfryd, Thomas Boesen, Ulrik Gether, Verity A. Jackson, Shahid Mehmood, Elena Seiradake, Tamir S. Aldad, Geliang Gan, Hugh S. Taylor, Derrek P. Hibar, Jason L. Stein, Sarah E. Medland",04 Oct 2022
/articles/srep00312,Fetal Radiofrequency Radiation Exposure From 800-1900 Mhz-Rated Cellular Telephones Affects Neurodevelopment and Behavior in Mice,Genome-wide association studies are used to identify common genetic variants that affect the structure of selected subcortical regions of the human brain; their identification provides insight into the causes of variability in brain development and may help to determine mechanisms of neuropsychiatric dysfunction.,"nature, search, Janina Sörmann, Marcus Schewe, Stephen J. Tucker, Ralph Gradisch, Katharina Schlögl, Thomas Stockner, Lawrence Lin, Sook Wah Yee, Kathleen M. Giacomini, David J. Kast, Roberto Dominguez, Lina Malinauskaite, Matthias Quick, Poul Nissen, Troels Rahbek-Clemmensen, Matthew D. Lycas, Ulrik Gether, Kamil Gotfryd, Thomas Boesen, Ulrik Gether, Verity A. Jackson, Shahid Mehmood, Elena Seiradake, Tamir S. Aldad, Geliang Gan, Hugh S. Taylor, Derrek P. Hibar, Jason L. Stein, Sarah E. Medland",04 Oct 2022
/articles/nature14101,Common genetic variants influence human subcortical brain structures,Genome-wide association studies are used to identify common genetic variants that affect the structure of selected subcortical regions of the human brain; their identification provides insight into the causes of variability in brain development and may help to determine mechanisms of neuropsychiatric dysfunction.,"nature, search, Janina Sörmann, Marcus Schewe, Stephen J. Tucker, Ralph Gradisch, Katharina Schlögl, Thomas Stockner, Lawrence Lin, Sook Wah Yee, Kathleen M. Giacomini, David J. Kast, Roberto Dominguez, Lina Malinauskaite, Matthias Quick, Poul Nissen, Troels Rahbek-Clemmensen, Matthew D. Lycas, Ulrik Gether, Kamil Gotfryd, Thomas Boesen, Ulrik Gether, Verity A. Jackson, Shahid Mehmood, Elena Seiradake, Tamir S. Aldad, Geliang Gan, Hugh S. Taylor, Derrek P. Hibar, Jason L. Stein, Sarah E. Medland",04 Oct 2022
