href,title,description,authors,date_published
/articles/s41598-020-71307-0,Non-coding structural variation differentially impacts attention-deficit hyperactivity disorder (ADHD) gene networks in African American vs Caucasian children,"Improving medication adherence is recognized as one of the most impactful and cost-effective strategies for improving the health of the general population. Here, Baryakova and colleagues assess the potential of next-generation drug delivery systems to mitigate many common impediments to adherence and discuss the impact that drug delivery systems have had across different disease types.","nature, search, Yichuan Liu, Xiao Chang, Hakon Hakonarson, Tsvetelina H. Baryakova, Brett H. Pogostin, Kevin J. McHugh, So-Hee Lim, Yun-Ju Sung, Jae-Ran Lee, Mahasweta Chatterjee, Sharmistha Saha, Kanchan Mukhopadhyay, Jessica Wright, Catarina Rebelo, Tiago Reis, Lino Ferreira, Lana Bach-Morrow, Francesco Boccalatte, Amgad Droby, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Cormac Sheridan, Mohammed Uddin, Yujiang Wang, Marc Woodbury-Smith, Michael Eisenstein, Aren E. Marshall, Yijing Liang, Kristin D. Kernohan, Elie Dolgin, Nuala Moran, Jacob S. Sherkow, Mateo Aboy, Santiago G. Lago, Jakub Tomasik, Sabine Bahn, A P Mullin, A Gokhale, V Faundez, Daniel J. Panyard, Kyeong Mo Kim, Qiongshi Lu, Andrew R Harper, Eric J Topol, Joseph C Kvedar, Alexander L Fogel, Daphne Zohar, T Hahn, A A Nierenberg, S Whitfield-Gabrieli, Da-Seul Kim, Ee-Seul Kang, Tae-Hyung Kim, Arnold L Demain, Evan Martens, Li Lin, Smriti Gupta, J. Julius Zhu",17 Sept 2020
/articles/s41573-023-00670-0,Overcoming barriers to patient adherence: the case for developing innovative drug delivery systems,"Improving medication adherence is recognized as one of the most impactful and cost-effective strategies for improving the health of the general population. Here, Baryakova and colleagues assess the potential of next-generation drug delivery systems to mitigate many common impediments to adherence and discuss the impact that drug delivery systems have had across different disease types.","nature, search, Yichuan Liu, Xiao Chang, Hakon Hakonarson, Tsvetelina H. Baryakova, Brett H. Pogostin, Kevin J. McHugh, So-Hee Lim, Yun-Ju Sung, Jae-Ran Lee, Mahasweta Chatterjee, Sharmistha Saha, Kanchan Mukhopadhyay, Jessica Wright, Catarina Rebelo, Tiago Reis, Lino Ferreira, Lana Bach-Morrow, Francesco Boccalatte, Amgad Droby, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Cormac Sheridan, Mohammed Uddin, Yujiang Wang, Marc Woodbury-Smith, Michael Eisenstein, Aren E. Marshall, Yijing Liang, Kristin D. Kernohan, Elie Dolgin, Nuala Moran, Jacob S. Sherkow, Mateo Aboy, Santiago G. Lago, Jakub Tomasik, Sabine Bahn, A P Mullin, A Gokhale, V Faundez, Daniel J. Panyard, Kyeong Mo Kim, Qiongshi Lu, Andrew R Harper, Eric J Topol, Joseph C Kvedar, Alexander L Fogel, Daphne Zohar, T Hahn, A A Nierenberg, S Whitfield-Gabrieli, Da-Seul Kim, Ee-Seul Kang, Tae-Hyung Kim, Arnold L Demain, Evan Martens, Li Lin, Smriti Gupta, J. Julius Zhu",17 Sept 2020
/articles/s41598-021-02262-7,"Nanoplasmonic immunosensor for the detection of SCG2, a candidate serum biomarker for the early diagnosis of neurodevelopmental disorder","A massive research collaboration is revealing hundreds of genes underlying schizophrenia risk, and may point the way to targeted treatments.","nature, search, Yichuan Liu, Xiao Chang, Hakon Hakonarson, Tsvetelina H. Baryakova, Brett H. Pogostin, Kevin J. McHugh, So-Hee Lim, Yun-Ju Sung, Jae-Ran Lee, Mahasweta Chatterjee, Sharmistha Saha, Kanchan Mukhopadhyay, Jessica Wright, Catarina Rebelo, Tiago Reis, Lino Ferreira, Lana Bach-Morrow, Francesco Boccalatte, Amgad Droby, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Cormac Sheridan, Mohammed Uddin, Yujiang Wang, Marc Woodbury-Smith, Michael Eisenstein, Aren E. Marshall, Yijing Liang, Kristin D. Kernohan, Elie Dolgin, Nuala Moran, Jacob S. Sherkow, Mateo Aboy, Santiago G. Lago, Jakub Tomasik, Sabine Bahn, A P Mullin, A Gokhale, V Faundez, Daniel J. Panyard, Kyeong Mo Kim, Qiongshi Lu, Andrew R Harper, Eric J Topol, Joseph C Kvedar, Alexander L Fogel, Daphne Zohar, T Hahn, A A Nierenberg, S Whitfield-Gabrieli, Da-Seul Kim, Ee-Seul Kang, Tae-Hyung Kim, Arnold L Demain, Evan Martens, Li Lin, Smriti Gupta, J. Julius Zhu",17 Sept 2020
/articles/s41598-023-47117-5,Glutamate receptor genetic variants affected peripheral glutamatergic transmission and treatment induced improvement of Indian ADHD probands,"A massive research collaboration is revealing hundreds of genes underlying schizophrenia risk, and may point the way to targeted treatments.","nature, search, Yichuan Liu, Xiao Chang, Hakon Hakonarson, Tsvetelina H. Baryakova, Brett H. Pogostin, Kevin J. McHugh, So-Hee Lim, Yun-Ju Sung, Jae-Ran Lee, Mahasweta Chatterjee, Sharmistha Saha, Kanchan Mukhopadhyay, Jessica Wright, Catarina Rebelo, Tiago Reis, Lino Ferreira, Lana Bach-Morrow, Francesco Boccalatte, Amgad Droby, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Cormac Sheridan, Mohammed Uddin, Yujiang Wang, Marc Woodbury-Smith, Michael Eisenstein, Aren E. Marshall, Yijing Liang, Kristin D. Kernohan, Elie Dolgin, Nuala Moran, Jacob S. Sherkow, Mateo Aboy, Santiago G. Lago, Jakub Tomasik, Sabine Bahn, A P Mullin, A Gokhale, V Faundez, Daniel J. Panyard, Kyeong Mo Kim, Qiongshi Lu, Andrew R Harper, Eric J Topol, Joseph C Kvedar, Alexander L Fogel, Daphne Zohar, T Hahn, A A Nierenberg, S Whitfield-Gabrieli, Da-Seul Kim, Ee-Seul Kang, Tae-Hyung Kim, Arnold L Demain, Evan Martens, Li Lin, Smriti Gupta, J. Julius Zhu",17 Sept 2020
/articles/508S6a,Genetics: Unravelling complexity,"A massive research collaboration is revealing hundreds of genes underlying schizophrenia risk, and may point the way to targeted treatments.","nature, search, Yichuan Liu, Xiao Chang, Hakon Hakonarson, Tsvetelina H. Baryakova, Brett H. Pogostin, Kevin J. McHugh, So-Hee Lim, Yun-Ju Sung, Jae-Ran Lee, Mahasweta Chatterjee, Sharmistha Saha, Kanchan Mukhopadhyay, Jessica Wright, Catarina Rebelo, Tiago Reis, Lino Ferreira, Lana Bach-Morrow, Francesco Boccalatte, Amgad Droby, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Cormac Sheridan, Mohammed Uddin, Yujiang Wang, Marc Woodbury-Smith, Michael Eisenstein, Aren E. Marshall, Yijing Liang, Kristin D. Kernohan, Elie Dolgin, Nuala Moran, Jacob S. Sherkow, Mateo Aboy, Santiago G. Lago, Jakub Tomasik, Sabine Bahn, A P Mullin, A Gokhale, V Faundez, Daniel J. Panyard, Kyeong Mo Kim, Qiongshi Lu, Andrew R Harper, Eric J Topol, Joseph C Kvedar, Alexander L Fogel, Daphne Zohar, T Hahn, A A Nierenberg, S Whitfield-Gabrieli, Da-Seul Kim, Ee-Seul Kang, Tae-Hyung Kim, Arnold L Demain, Evan Martens, Li Lin, Smriti Gupta, J. Julius Zhu",17 Sept 2020
/articles/s41467-022-31791-6,Efficient spatially targeted gene editing using a near-infrared activatable protein-conjugated nanoparticle for brain applications,"Spatial control of gene expression allows precise control over biological processes. Here, the authors develop an efficient light-responsive formulation based on upconversion nanoparticles, and demonstrate on-demand genetic manipulation in deep brain tissue.","nature, search, Yichuan Liu, Xiao Chang, Hakon Hakonarson, Tsvetelina H. Baryakova, Brett H. Pogostin, Kevin J. McHugh, So-Hee Lim, Yun-Ju Sung, Jae-Ran Lee, Mahasweta Chatterjee, Sharmistha Saha, Kanchan Mukhopadhyay, Jessica Wright, Catarina Rebelo, Tiago Reis, Lino Ferreira, Lana Bach-Morrow, Francesco Boccalatte, Amgad Droby, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Cormac Sheridan, Mohammed Uddin, Yujiang Wang, Marc Woodbury-Smith, Michael Eisenstein, Aren E. Marshall, Yijing Liang, Kristin D. Kernohan, Elie Dolgin, Nuala Moran, Jacob S. Sherkow, Mateo Aboy, Santiago G. Lago, Jakub Tomasik, Sabine Bahn, A P Mullin, A Gokhale, V Faundez, Daniel J. Panyard, Kyeong Mo Kim, Qiongshi Lu, Andrew R Harper, Eric J Topol, Joseph C Kvedar, Alexander L Fogel, Daphne Zohar, T Hahn, A A Nierenberg, S Whitfield-Gabrieli, Da-Seul Kim, Ee-Seul Kang, Tae-Hyung Kim, Arnold L Demain, Evan Martens, Li Lin, Smriti Gupta, J. Julius Zhu",17 Sept 2020
/articles/s41598-022-24088-7,Functional changes in prefrontal cortex following frequency-specific training,"Fiona Marshall — co-founder of Heptares, former chief scientific officer of Sosei and soon to be lead of Merck & Co.'s new research facility in London — looks back on 30 years of GPCRs, and looks forward to the emerging therapeutic opportunities these targets still offer.","nature, search, Yichuan Liu, Xiao Chang, Hakon Hakonarson, Tsvetelina H. Baryakova, Brett H. Pogostin, Kevin J. McHugh, So-Hee Lim, Yun-Ju Sung, Jae-Ran Lee, Mahasweta Chatterjee, Sharmistha Saha, Kanchan Mukhopadhyay, Jessica Wright, Catarina Rebelo, Tiago Reis, Lino Ferreira, Lana Bach-Morrow, Francesco Boccalatte, Amgad Droby, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Cormac Sheridan, Mohammed Uddin, Yujiang Wang, Marc Woodbury-Smith, Michael Eisenstein, Aren E. Marshall, Yijing Liang, Kristin D. Kernohan, Elie Dolgin, Nuala Moran, Jacob S. Sherkow, Mateo Aboy, Santiago G. Lago, Jakub Tomasik, Sabine Bahn, A P Mullin, A Gokhale, V Faundez, Daniel J. Panyard, Kyeong Mo Kim, Qiongshi Lu, Andrew R Harper, Eric J Topol, Joseph C Kvedar, Alexander L Fogel, Daphne Zohar, T Hahn, A A Nierenberg, S Whitfield-Gabrieli, Da-Seul Kim, Ee-Seul Kang, Tae-Hyung Kim, Arnold L Demain, Evan Martens, Li Lin, Smriti Gupta, J. Julius Zhu",17 Sept 2020
/articles/ejhg201566,"A de novo FOXP1 variant in a patient with autism, intellectual disability and severe speech and language impairment","Fiona Marshall — co-founder of Heptares, former chief scientific officer of Sosei and soon to be lead of Merck & Co.'s new research facility in London — looks back on 30 years of GPCRs, and looks forward to the emerging therapeutic opportunities these targets still offer.","nature, search, Yichuan Liu, Xiao Chang, Hakon Hakonarson, Tsvetelina H. Baryakova, Brett H. Pogostin, Kevin J. McHugh, So-Hee Lim, Yun-Ju Sung, Jae-Ran Lee, Mahasweta Chatterjee, Sharmistha Saha, Kanchan Mukhopadhyay, Jessica Wright, Catarina Rebelo, Tiago Reis, Lino Ferreira, Lana Bach-Morrow, Francesco Boccalatte, Amgad Droby, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Cormac Sheridan, Mohammed Uddin, Yujiang Wang, Marc Woodbury-Smith, Michael Eisenstein, Aren E. Marshall, Yijing Liang, Kristin D. Kernohan, Elie Dolgin, Nuala Moran, Jacob S. Sherkow, Mateo Aboy, Santiago G. Lago, Jakub Tomasik, Sabine Bahn, A P Mullin, A Gokhale, V Faundez, Daniel J. Panyard, Kyeong Mo Kim, Qiongshi Lu, Andrew R Harper, Eric J Topol, Joseph C Kvedar, Alexander L Fogel, Daphne Zohar, T Hahn, A A Nierenberg, S Whitfield-Gabrieli, Da-Seul Kim, Ee-Seul Kang, Tae-Hyung Kim, Arnold L Demain, Evan Martens, Li Lin, Smriti Gupta, J. Julius Zhu",17 Sept 2020
/articles/nbt1014-965a,"Apple moves on health, drug developers shift into smart gear","Fiona Marshall — co-founder of Heptares, former chief scientific officer of Sosei and soon to be lead of Merck & Co.'s new research facility in London — looks back on 30 years of GPCRs, and looks forward to the emerging therapeutic opportunities these targets still offer.","nature, search, Yichuan Liu, Xiao Chang, Hakon Hakonarson, Tsvetelina H. Baryakova, Brett H. Pogostin, Kevin J. McHugh, So-Hee Lim, Yun-Ju Sung, Jae-Ran Lee, Mahasweta Chatterjee, Sharmistha Saha, Kanchan Mukhopadhyay, Jessica Wright, Catarina Rebelo, Tiago Reis, Lino Ferreira, Lana Bach-Morrow, Francesco Boccalatte, Amgad Droby, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Cormac Sheridan, Mohammed Uddin, Yujiang Wang, Marc Woodbury-Smith, Michael Eisenstein, Aren E. Marshall, Yijing Liang, Kristin D. Kernohan, Elie Dolgin, Nuala Moran, Jacob S. Sherkow, Mateo Aboy, Santiago G. Lago, Jakub Tomasik, Sabine Bahn, A P Mullin, A Gokhale, V Faundez, Daniel J. Panyard, Kyeong Mo Kim, Qiongshi Lu, Andrew R Harper, Eric J Topol, Joseph C Kvedar, Alexander L Fogel, Daphne Zohar, T Hahn, A A Nierenberg, S Whitfield-Gabrieli, Da-Seul Kim, Ee-Seul Kang, Tae-Hyung Kim, Arnold L Demain, Evan Martens, Li Lin, Smriti Gupta, J. Julius Zhu",17 Sept 2020
/articles/s41746-019-0191-0,Artificial intelligence for precision medicine in neurodevelopmental disorders,"Fiona Marshall — co-founder of Heptares, former chief scientific officer of Sosei and soon to be lead of Merck & Co.'s new research facility in London — looks back on 30 years of GPCRs, and looks forward to the emerging therapeutic opportunities these targets still offer.","nature, search, Yichuan Liu, Xiao Chang, Hakon Hakonarson, Tsvetelina H. Baryakova, Brett H. Pogostin, Kevin J. McHugh, So-Hee Lim, Yun-Ju Sung, Jae-Ran Lee, Mahasweta Chatterjee, Sharmistha Saha, Kanchan Mukhopadhyay, Jessica Wright, Catarina Rebelo, Tiago Reis, Lino Ferreira, Lana Bach-Morrow, Francesco Boccalatte, Amgad Droby, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Cormac Sheridan, Mohammed Uddin, Yujiang Wang, Marc Woodbury-Smith, Michael Eisenstein, Aren E. Marshall, Yijing Liang, Kristin D. Kernohan, Elie Dolgin, Nuala Moran, Jacob S. Sherkow, Mateo Aboy, Santiago G. Lago, Jakub Tomasik, Sabine Bahn, A P Mullin, A Gokhale, V Faundez, Daniel J. Panyard, Kyeong Mo Kim, Qiongshi Lu, Andrew R Harper, Eric J Topol, Joseph C Kvedar, Alexander L Fogel, Daphne Zohar, T Hahn, A A Nierenberg, S Whitfield-Gabrieli, Da-Seul Kim, Ee-Seul Kang, Tae-Hyung Kim, Arnold L Demain, Evan Martens, Li Lin, Smriti Gupta, J. Julius Zhu",17 Sept 2020
