href,title,description,authors,date_published
/articles/s41598-024-66535-7,Causality between six psychiatric disorders and digestive tract cancers risk: a two-sample Mendelian randomization study,"Astroblastoma (AB) is an uncommon brain tumour and its origin remains unknown. Here, the authors perform integrative molecular analysis of 35 AB-like tumours and provide evidence that these arise in the context of epigenetic and genetic changes in neural progenitors occurring during brain development.","nature, search, Qi Fu, Linghui Li, Ji Di, Anna K. Jansson, Jonas Söderling, Ingrid Glimelius, Norman L. Lehman, Nathalie Spassky, Akshitkumar M. Mistry, Hanlin Wang, Guanghao Luo, Jia Li, Priyanka Dey Talukdar, Urmi Chatterji, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Zahra Khorrami, Mohsen Pourkhosravani, Narges Khanjani, Elizabeth P. Henske, Sergiusz Jóźwiak, Elizabeth A. Thiele, Jing Wang, Shao-yan Xi, Zhong-ping Chen, D. Alwyn Dart, Charlotte L. Bevan, Wen Guo Jiang, Fabrice Lucien, Pierre-Paul Pelletier, Claire M. Dubois, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Nancy Ratner, Shyra J. Miller, Roope A. Kallionpää, Edvard Johansson, Sirkku Peltonen, Giorgia Quadrato, Juliana Brown, Paola Arlotta, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Kang-Shuai Li, Xiao-Dong Zhu, Hui-Chuan Sun, Ji Eun Yu, In Jun Yeo, Jin Tae Hong, Sierra Cheng, John R. McLaughlin, Rayjean J. Hung, Laetitia Padovani, Nicolas André, Xavier Muracciole, Chuan Yang, Yiyang Hu, Yufeng Xiao, Elizabeth N. Pearce, Denitza Mironova, Chitra M. Saraswati, Rishi S. Kotecha, Juan Mo, Stefanie L. Moye, Lu Q. Le, Frank de Vocht, Sara Duarte-Pereira, Sarah S. Silva, Raquel M. Silva, Samuel C. Okpechi, Hassan Yousefi, Suresh K. Alahari, Yool Lee, M R D Improgo, M D Scofield, P D Gardner",19 Jul 2024
/articles/s41416-023-02260-8,Risk and mortality of testicular cancer in patients with neurodevelopmental or other psychiatric disorders,"Astroblastoma (AB) is an uncommon brain tumour and its origin remains unknown. Here, the authors perform integrative molecular analysis of 35 AB-like tumours and provide evidence that these arise in the context of epigenetic and genetic changes in neural progenitors occurring during brain development.","nature, search, Qi Fu, Linghui Li, Ji Di, Anna K. Jansson, Jonas Söderling, Ingrid Glimelius, Norman L. Lehman, Nathalie Spassky, Akshitkumar M. Mistry, Hanlin Wang, Guanghao Luo, Jia Li, Priyanka Dey Talukdar, Urmi Chatterji, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Zahra Khorrami, Mohsen Pourkhosravani, Narges Khanjani, Elizabeth P. Henske, Sergiusz Jóźwiak, Elizabeth A. Thiele, Jing Wang, Shao-yan Xi, Zhong-ping Chen, D. Alwyn Dart, Charlotte L. Bevan, Wen Guo Jiang, Fabrice Lucien, Pierre-Paul Pelletier, Claire M. Dubois, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Nancy Ratner, Shyra J. Miller, Roope A. Kallionpää, Edvard Johansson, Sirkku Peltonen, Giorgia Quadrato, Juliana Brown, Paola Arlotta, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Kang-Shuai Li, Xiao-Dong Zhu, Hui-Chuan Sun, Ji Eun Yu, In Jun Yeo, Jin Tae Hong, Sierra Cheng, John R. McLaughlin, Rayjean J. Hung, Laetitia Padovani, Nicolas André, Xavier Muracciole, Chuan Yang, Yiyang Hu, Yufeng Xiao, Elizabeth N. Pearce, Denitza Mironova, Chitra M. Saraswati, Rishi S. Kotecha, Juan Mo, Stefanie L. Moye, Lu Q. Le, Frank de Vocht, Sara Duarte-Pereira, Sarah S. Silva, Raquel M. Silva, Samuel C. Okpechi, Hassan Yousefi, Suresh K. Alahari, Yool Lee, M R D Improgo, M D Scofield, P D Gardner",19 Jul 2024
/articles/s41467-022-29302-8,Astroblastomas exhibit radial glia stem cell lineages and differential expression of imprinted and X-inactivation escape genes,"Astroblastoma (AB) is an uncommon brain tumour and its origin remains unknown. Here, the authors perform integrative molecular analysis of 35 AB-like tumours and provide evidence that these arise in the context of epigenetic and genetic changes in neural progenitors occurring during brain development.","nature, search, Qi Fu, Linghui Li, Ji Di, Anna K. Jansson, Jonas Söderling, Ingrid Glimelius, Norman L. Lehman, Nathalie Spassky, Akshitkumar M. Mistry, Hanlin Wang, Guanghao Luo, Jia Li, Priyanka Dey Talukdar, Urmi Chatterji, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Zahra Khorrami, Mohsen Pourkhosravani, Narges Khanjani, Elizabeth P. Henske, Sergiusz Jóźwiak, Elizabeth A. Thiele, Jing Wang, Shao-yan Xi, Zhong-ping Chen, D. Alwyn Dart, Charlotte L. Bevan, Wen Guo Jiang, Fabrice Lucien, Pierre-Paul Pelletier, Claire M. Dubois, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Nancy Ratner, Shyra J. Miller, Roope A. Kallionpää, Edvard Johansson, Sirkku Peltonen, Giorgia Quadrato, Juliana Brown, Paola Arlotta, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Kang-Shuai Li, Xiao-Dong Zhu, Hui-Chuan Sun, Ji Eun Yu, In Jun Yeo, Jin Tae Hong, Sierra Cheng, John R. McLaughlin, Rayjean J. Hung, Laetitia Padovani, Nicolas André, Xavier Muracciole, Chuan Yang, Yiyang Hu, Yufeng Xiao, Elizabeth N. Pearce, Denitza Mironova, Chitra M. Saraswati, Rishi S. Kotecha, Juan Mo, Stefanie L. Moye, Lu Q. Le, Frank de Vocht, Sara Duarte-Pereira, Sarah S. Silva, Raquel M. Silva, Samuel C. Okpechi, Hassan Yousefi, Suresh K. Alahari, Yool Lee, M R D Improgo, M D Scofield, P D Gardner",19 Jul 2024
/articles/s41467-023-37381-4,Targeting C/EBPα overcomes primary resistance and improves the efficacy of FLT3 inhibitors in acute myeloid leukaemia,"Resistance of FLT3-ITD acute myeloid leukaemia (AML) patients to FLT3 inhibitors (FLT3i) remains an urgent clinical challenge. Here, the authors identify C/EBPα activation as a mechanism of FLT3i resistance and therapeutically target C/EBPα activation in combination with FLT3i in preclinical models FLT3-ITD AML.","nature, search, Qi Fu, Linghui Li, Ji Di, Anna K. Jansson, Jonas Söderling, Ingrid Glimelius, Norman L. Lehman, Nathalie Spassky, Akshitkumar M. Mistry, Hanlin Wang, Guanghao Luo, Jia Li, Priyanka Dey Talukdar, Urmi Chatterji, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Zahra Khorrami, Mohsen Pourkhosravani, Narges Khanjani, Elizabeth P. Henske, Sergiusz Jóźwiak, Elizabeth A. Thiele, Jing Wang, Shao-yan Xi, Zhong-ping Chen, D. Alwyn Dart, Charlotte L. Bevan, Wen Guo Jiang, Fabrice Lucien, Pierre-Paul Pelletier, Claire M. Dubois, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Nancy Ratner, Shyra J. Miller, Roope A. Kallionpää, Edvard Johansson, Sirkku Peltonen, Giorgia Quadrato, Juliana Brown, Paola Arlotta, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Kang-Shuai Li, Xiao-Dong Zhu, Hui-Chuan Sun, Ji Eun Yu, In Jun Yeo, Jin Tae Hong, Sierra Cheng, John R. McLaughlin, Rayjean J. Hung, Laetitia Padovani, Nicolas André, Xavier Muracciole, Chuan Yang, Yiyang Hu, Yufeng Xiao, Elizabeth N. Pearce, Denitza Mironova, Chitra M. Saraswati, Rishi S. Kotecha, Juan Mo, Stefanie L. Moye, Lu Q. Le, Frank de Vocht, Sara Duarte-Pereira, Sarah S. Silva, Raquel M. Silva, Samuel C. Okpechi, Hassan Yousefi, Suresh K. Alahari, Yool Lee, M R D Improgo, M D Scofield, P D Gardner",19 Jul 2024
/articles/s41392-023-01651-w,Transcriptional co-activators: emerging roles in signaling pathways and potential therapeutic targets for diseases,"Tuberous sclerosis complex (TSC) is a rare inherited disease caused by mutations in the tumour-suppressor genesTSC1orTSC2. As a chronic disease that manifests as benign tumours in the brain, kidneys, lungs and skin, TSC requires lifelong treatment.","nature, search, Qi Fu, Linghui Li, Ji Di, Anna K. Jansson, Jonas Söderling, Ingrid Glimelius, Norman L. Lehman, Nathalie Spassky, Akshitkumar M. Mistry, Hanlin Wang, Guanghao Luo, Jia Li, Priyanka Dey Talukdar, Urmi Chatterji, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Zahra Khorrami, Mohsen Pourkhosravani, Narges Khanjani, Elizabeth P. Henske, Sergiusz Jóźwiak, Elizabeth A. Thiele, Jing Wang, Shao-yan Xi, Zhong-ping Chen, D. Alwyn Dart, Charlotte L. Bevan, Wen Guo Jiang, Fabrice Lucien, Pierre-Paul Pelletier, Claire M. Dubois, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Nancy Ratner, Shyra J. Miller, Roope A. Kallionpää, Edvard Johansson, Sirkku Peltonen, Giorgia Quadrato, Juliana Brown, Paola Arlotta, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Kang-Shuai Li, Xiao-Dong Zhu, Hui-Chuan Sun, Ji Eun Yu, In Jun Yeo, Jin Tae Hong, Sierra Cheng, John R. McLaughlin, Rayjean J. Hung, Laetitia Padovani, Nicolas André, Xavier Muracciole, Chuan Yang, Yiyang Hu, Yufeng Xiao, Elizabeth N. Pearce, Denitza Mironova, Chitra M. Saraswati, Rishi S. Kotecha, Juan Mo, Stefanie L. Moye, Lu Q. Le, Frank de Vocht, Sara Duarte-Pereira, Sarah S. Silva, Raquel M. Silva, Samuel C. Okpechi, Hassan Yousefi, Suresh K. Alahari, Yool Lee, M R D Improgo, M D Scofield, P D Gardner",19 Jul 2024
/articles/s41598-022-24834-x,Mental health of UK firefighters,"Tuberous sclerosis complex (TSC) is a rare inherited disease caused by mutations in the tumour-suppressor genesTSC1orTSC2. As a chronic disease that manifests as benign tumours in the brain, kidneys, lungs and skin, TSC requires lifelong treatment.","nature, search, Qi Fu, Linghui Li, Ji Di, Anna K. Jansson, Jonas Söderling, Ingrid Glimelius, Norman L. Lehman, Nathalie Spassky, Akshitkumar M. Mistry, Hanlin Wang, Guanghao Luo, Jia Li, Priyanka Dey Talukdar, Urmi Chatterji, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Zahra Khorrami, Mohsen Pourkhosravani, Narges Khanjani, Elizabeth P. Henske, Sergiusz Jóźwiak, Elizabeth A. Thiele, Jing Wang, Shao-yan Xi, Zhong-ping Chen, D. Alwyn Dart, Charlotte L. Bevan, Wen Guo Jiang, Fabrice Lucien, Pierre-Paul Pelletier, Claire M. Dubois, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Nancy Ratner, Shyra J. Miller, Roope A. Kallionpää, Edvard Johansson, Sirkku Peltonen, Giorgia Quadrato, Juliana Brown, Paola Arlotta, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Kang-Shuai Li, Xiao-Dong Zhu, Hui-Chuan Sun, Ji Eun Yu, In Jun Yeo, Jin Tae Hong, Sierra Cheng, John R. McLaughlin, Rayjean J. Hung, Laetitia Padovani, Nicolas André, Xavier Muracciole, Chuan Yang, Yiyang Hu, Yufeng Xiao, Elizabeth N. Pearce, Denitza Mironova, Chitra M. Saraswati, Rishi S. Kotecha, Juan Mo, Stefanie L. Moye, Lu Q. Le, Frank de Vocht, Sara Duarte-Pereira, Sarah S. Silva, Raquel M. Silva, Samuel C. Okpechi, Hassan Yousefi, Suresh K. Alahari, Yool Lee, M R D Improgo, M D Scofield, P D Gardner",19 Jul 2024
/articles/s41598-024-53038-8,"Ambient air pollutants and breast cancer stage in Tehran, Iran","Tuberous sclerosis complex (TSC) is a rare inherited disease caused by mutations in the tumour-suppressor genesTSC1orTSC2. As a chronic disease that manifests as benign tumours in the brain, kidneys, lungs and skin, TSC requires lifelong treatment.","nature, search, Qi Fu, Linghui Li, Ji Di, Anna K. Jansson, Jonas Söderling, Ingrid Glimelius, Norman L. Lehman, Nathalie Spassky, Akshitkumar M. Mistry, Hanlin Wang, Guanghao Luo, Jia Li, Priyanka Dey Talukdar, Urmi Chatterji, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Zahra Khorrami, Mohsen Pourkhosravani, Narges Khanjani, Elizabeth P. Henske, Sergiusz Jóźwiak, Elizabeth A. Thiele, Jing Wang, Shao-yan Xi, Zhong-ping Chen, D. Alwyn Dart, Charlotte L. Bevan, Wen Guo Jiang, Fabrice Lucien, Pierre-Paul Pelletier, Claire M. Dubois, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Nancy Ratner, Shyra J. Miller, Roope A. Kallionpää, Edvard Johansson, Sirkku Peltonen, Giorgia Quadrato, Juliana Brown, Paola Arlotta, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Kang-Shuai Li, Xiao-Dong Zhu, Hui-Chuan Sun, Ji Eun Yu, In Jun Yeo, Jin Tae Hong, Sierra Cheng, John R. McLaughlin, Rayjean J. Hung, Laetitia Padovani, Nicolas André, Xavier Muracciole, Chuan Yang, Yiyang Hu, Yufeng Xiao, Elizabeth N. Pearce, Denitza Mironova, Chitra M. Saraswati, Rishi S. Kotecha, Juan Mo, Stefanie L. Moye, Lu Q. Le, Frank de Vocht, Sara Duarte-Pereira, Sarah S. Silva, Raquel M. Silva, Samuel C. Okpechi, Hassan Yousefi, Suresh K. Alahari, Yool Lee, M R D Improgo, M D Scofield, P D Gardner",19 Jul 2024
/articles/nrdp201635,Tuberous sclerosis complex,"Tuberous sclerosis complex (TSC) is a rare inherited disease caused by mutations in the tumour-suppressor genesTSC1orTSC2. As a chronic disease that manifests as benign tumours in the brain, kidneys, lungs and skin, TSC requires lifelong treatment.","nature, search, Qi Fu, Linghui Li, Ji Di, Anna K. Jansson, Jonas Söderling, Ingrid Glimelius, Norman L. Lehman, Nathalie Spassky, Akshitkumar M. Mistry, Hanlin Wang, Guanghao Luo, Jia Li, Priyanka Dey Talukdar, Urmi Chatterji, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Zahra Khorrami, Mohsen Pourkhosravani, Narges Khanjani, Elizabeth P. Henske, Sergiusz Jóźwiak, Elizabeth A. Thiele, Jing Wang, Shao-yan Xi, Zhong-ping Chen, D. Alwyn Dart, Charlotte L. Bevan, Wen Guo Jiang, Fabrice Lucien, Pierre-Paul Pelletier, Claire M. Dubois, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Nancy Ratner, Shyra J. Miller, Roope A. Kallionpää, Edvard Johansson, Sirkku Peltonen, Giorgia Quadrato, Juliana Brown, Paola Arlotta, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Kang-Shuai Li, Xiao-Dong Zhu, Hui-Chuan Sun, Ji Eun Yu, In Jun Yeo, Jin Tae Hong, Sierra Cheng, John R. McLaughlin, Rayjean J. Hung, Laetitia Padovani, Nicolas André, Xavier Muracciole, Chuan Yang, Yiyang Hu, Yufeng Xiao, Elizabeth N. Pearce, Denitza Mironova, Chitra M. Saraswati, Rishi S. Kotecha, Juan Mo, Stefanie L. Moye, Lu Q. Le, Frank de Vocht, Sara Duarte-Pereira, Sarah S. Silva, Raquel M. Silva, Samuel C. Okpechi, Hassan Yousefi, Suresh K. Alahari, Yool Lee, M R D Improgo, M D Scofield, P D Gardner",19 Jul 2024
/articles/s41374-021-00721-3,Driver mutations in ADGRL3 are involved in the evolution of ependymoma,"Sodium/proton exchangers (NHEs) are critical regulators of pH within the cell and the extracellular microenvironment. Here, the authors show that hypoxia induces mobilization of NHE6 from endosomal compartment to the plasma membrane in a PKC-dependent manner inducing hyper acidification of endosomes and drug resistance.","nature, search, Qi Fu, Linghui Li, Ji Di, Anna K. Jansson, Jonas Söderling, Ingrid Glimelius, Norman L. Lehman, Nathalie Spassky, Akshitkumar M. Mistry, Hanlin Wang, Guanghao Luo, Jia Li, Priyanka Dey Talukdar, Urmi Chatterji, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Zahra Khorrami, Mohsen Pourkhosravani, Narges Khanjani, Elizabeth P. Henske, Sergiusz Jóźwiak, Elizabeth A. Thiele, Jing Wang, Shao-yan Xi, Zhong-ping Chen, D. Alwyn Dart, Charlotte L. Bevan, Wen Guo Jiang, Fabrice Lucien, Pierre-Paul Pelletier, Claire M. Dubois, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Nancy Ratner, Shyra J. Miller, Roope A. Kallionpää, Edvard Johansson, Sirkku Peltonen, Giorgia Quadrato, Juliana Brown, Paola Arlotta, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Kang-Shuai Li, Xiao-Dong Zhu, Hui-Chuan Sun, Ji Eun Yu, In Jun Yeo, Jin Tae Hong, Sierra Cheng, John R. McLaughlin, Rayjean J. Hung, Laetitia Padovani, Nicolas André, Xavier Muracciole, Chuan Yang, Yiyang Hu, Yufeng Xiao, Elizabeth N. Pearce, Denitza Mironova, Chitra M. Saraswati, Rishi S. Kotecha, Juan Mo, Stefanie L. Moye, Lu Q. Le, Frank de Vocht, Sara Duarte-Pereira, Sarah S. Silva, Raquel M. Silva, Samuel C. Okpechi, Hassan Yousefi, Suresh K. Alahari, Yool Lee, M R D Improgo, M D Scofield, P D Gardner",19 Jul 2024
/articles/s41598-024-61733-9,Analysis of androgen receptor expression and activity in the mouse brain,"Sodium/proton exchangers (NHEs) are critical regulators of pH within the cell and the extracellular microenvironment. Here, the authors show that hypoxia induces mobilization of NHE6 from endosomal compartment to the plasma membrane in a PKC-dependent manner inducing hyper acidification of endosomes and drug resistance.","nature, search, Qi Fu, Linghui Li, Ji Di, Anna K. Jansson, Jonas Söderling, Ingrid Glimelius, Norman L. Lehman, Nathalie Spassky, Akshitkumar M. Mistry, Hanlin Wang, Guanghao Luo, Jia Li, Priyanka Dey Talukdar, Urmi Chatterji, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Zahra Khorrami, Mohsen Pourkhosravani, Narges Khanjani, Elizabeth P. Henske, Sergiusz Jóźwiak, Elizabeth A. Thiele, Jing Wang, Shao-yan Xi, Zhong-ping Chen, D. Alwyn Dart, Charlotte L. Bevan, Wen Guo Jiang, Fabrice Lucien, Pierre-Paul Pelletier, Claire M. Dubois, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Nancy Ratner, Shyra J. Miller, Roope A. Kallionpää, Edvard Johansson, Sirkku Peltonen, Giorgia Quadrato, Juliana Brown, Paola Arlotta, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Kang-Shuai Li, Xiao-Dong Zhu, Hui-Chuan Sun, Ji Eun Yu, In Jun Yeo, Jin Tae Hong, Sierra Cheng, John R. McLaughlin, Rayjean J. Hung, Laetitia Padovani, Nicolas André, Xavier Muracciole, Chuan Yang, Yiyang Hu, Yufeng Xiao, Elizabeth N. Pearce, Denitza Mironova, Chitra M. Saraswati, Rishi S. Kotecha, Juan Mo, Stefanie L. Moye, Lu Q. Le, Frank de Vocht, Sara Duarte-Pereira, Sarah S. Silva, Raquel M. Silva, Samuel C. Okpechi, Hassan Yousefi, Suresh K. Alahari, Yool Lee, M R D Improgo, M D Scofield, P D Gardner",19 Jul 2024
