href,title,description,authors,date_published
/articles/npp2015154,Erratum: Neuroimaging-Aided Prediction of the Effect of Methylphenidate in Children with Attention-Deficit Hyperactivity Disorder: A Randomized Controlled Trial,"The X-ray crystal structure of theDrosophiladopamine transporter bound to the antidepressant drug nortriptyline is presented, providing the first crystal structure of a eukaryotic neurotransmitter sodium symporter.","nature, search, Ayaka Ishii-Takahashi, Ryu Takizawa, Yukiko Kano, Li An, Xiao-Hua Cao, Yu-Feng Wang, Iliyan Ivanov, James W Murrough, Bradley S Peterson, Katya Rubia, Rozmin Halari, Eric Taylor, James Swanson, Ruben D Baler, Nora D Volkow, Susan L McElroy, James Hudson, Maria Gasior, J Kambeitz, M Romanos, U Ettinger, S Stevens Negus, Jack Henningfield, Aravind Penmatsa, Kevin H. Wang, Eric Gouaux, Jeremy Veenstra-VanderWeele, Edwin H Cook, Randall L Carpenter, Margaret M McClure, Philip D Harvey, Larry J Siever, Signe Mathiasen, Tiago Palmisano, Jonathan A. Javitch, H O Lawal, A Terrell, D E Krantz, Karine Gamache, Roger K Pitman, Karim Nader, Hyejung Won, Won Mah, Eunjoon Kim, Samantha T. Reyes, Robert M. J. Deacon, Frederick T. Chin, Eugenia V. Gurevich, Vsevolod V. Gurevich, Jing Gu, Rui-Kun Peng, Qin Ouyang, Fanny Duhr, Paul Déléris, Séverine Chaumont-Dubel, Lior Brimberg, Itai Benhar, Daphna Joel, Hiroyuki Koike, Michael P Demars, Hirofumi Morishita, Jonathan A. Coleman, Evan M. Green, Eric Gouaux, Bingfa Sun, Dan Feng, Brian K. Kobilka, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Kathryn E Gill, Peter J Pierre, Linda J Porrino, Behrad Noudoost, Tirin Moore, Jeffery N Epstein, William B Brinkman, Mekibib Altaye, Kay M Tye, Lynne D Tye, Antonello Bonci, Zachary Freyberg, Mark S. Sonders, Jonathan A. Javitch, Jacob Andersen, Kristoffer B. Ringsted, Anders S. Kristensen, Matthew Dunn, Adam Henke, Dalibor Sames, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Claudia Trenkwalder, Walter Paulus, Toru Kobayashi, Kazuo Washiyama, Kazutaka Ikeda, Mariya V Cherkasova, Nazlie Faridi, Chawki Benkelfat, Paul J Cocker, Jay G Hosking, Catharine A Winstanley, William Davies, Trevor Humby, Lawrence S Wilkinson, Marieke E van der Schaaf, Sean J Fallon, Roshan Cools, Rita Z Goldstein, Nora D Volkow, Sheng Wang, Tao Che, Bryan L. Roth, Melissa L Perreault, Ahmed Hasbi, Susan R George, Stan B Floresco, James D Jentsch, Linde Boekhoudt, Elisa S Voets, Roger AH Adan",08 Jul 2015
/articles/npp201327,Methylphenidate Normalizes Resting-State Brain Dysfunction in Boys With Attention Deficit Hyperactivity Disorder,"The X-ray crystal structure of theDrosophiladopamine transporter bound to the antidepressant drug nortriptyline is presented, providing the first crystal structure of a eukaryotic neurotransmitter sodium symporter.","nature, search, Ayaka Ishii-Takahashi, Ryu Takizawa, Yukiko Kano, Li An, Xiao-Hua Cao, Yu-Feng Wang, Iliyan Ivanov, James W Murrough, Bradley S Peterson, Katya Rubia, Rozmin Halari, Eric Taylor, James Swanson, Ruben D Baler, Nora D Volkow, Susan L McElroy, James Hudson, Maria Gasior, J Kambeitz, M Romanos, U Ettinger, S Stevens Negus, Jack Henningfield, Aravind Penmatsa, Kevin H. Wang, Eric Gouaux, Jeremy Veenstra-VanderWeele, Edwin H Cook, Randall L Carpenter, Margaret M McClure, Philip D Harvey, Larry J Siever, Signe Mathiasen, Tiago Palmisano, Jonathan A. Javitch, H O Lawal, A Terrell, D E Krantz, Karine Gamache, Roger K Pitman, Karim Nader, Hyejung Won, Won Mah, Eunjoon Kim, Samantha T. Reyes, Robert M. J. Deacon, Frederick T. Chin, Eugenia V. Gurevich, Vsevolod V. Gurevich, Jing Gu, Rui-Kun Peng, Qin Ouyang, Fanny Duhr, Paul Déléris, Séverine Chaumont-Dubel, Lior Brimberg, Itai Benhar, Daphna Joel, Hiroyuki Koike, Michael P Demars, Hirofumi Morishita, Jonathan A. Coleman, Evan M. Green, Eric Gouaux, Bingfa Sun, Dan Feng, Brian K. Kobilka, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Kathryn E Gill, Peter J Pierre, Linda J Porrino, Behrad Noudoost, Tirin Moore, Jeffery N Epstein, William B Brinkman, Mekibib Altaye, Kay M Tye, Lynne D Tye, Antonello Bonci, Zachary Freyberg, Mark S. Sonders, Jonathan A. Javitch, Jacob Andersen, Kristoffer B. Ringsted, Anders S. Kristensen, Matthew Dunn, Adam Henke, Dalibor Sames, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Claudia Trenkwalder, Walter Paulus, Toru Kobayashi, Kazuo Washiyama, Kazutaka Ikeda, Mariya V Cherkasova, Nazlie Faridi, Chawki Benkelfat, Paul J Cocker, Jay G Hosking, Catharine A Winstanley, William Davies, Trevor Humby, Lawrence S Wilkinson, Marieke E van der Schaaf, Sean J Fallon, Roshan Cools, Rita Z Goldstein, Nora D Volkow, Sheng Wang, Tao Che, Bryan L. Roth, Melissa L Perreault, Ahmed Hasbi, Susan R George, Stan B Floresco, James D Jentsch, Linde Boekhoudt, Elisa S Voets, Roger AH Adan",08 Jul 2015
/articles/npp2013257,Cerebellar Morphology and the Effects of Stimulant Medications in Youths with Attention Deficit-Hyperactivity Disorder,"The X-ray crystal structure of theDrosophiladopamine transporter bound to the antidepressant drug nortriptyline is presented, providing the first crystal structure of a eukaryotic neurotransmitter sodium symporter.","nature, search, Ayaka Ishii-Takahashi, Ryu Takizawa, Yukiko Kano, Li An, Xiao-Hua Cao, Yu-Feng Wang, Iliyan Ivanov, James W Murrough, Bradley S Peterson, Katya Rubia, Rozmin Halari, Eric Taylor, James Swanson, Ruben D Baler, Nora D Volkow, Susan L McElroy, James Hudson, Maria Gasior, J Kambeitz, M Romanos, U Ettinger, S Stevens Negus, Jack Henningfield, Aravind Penmatsa, Kevin H. Wang, Eric Gouaux, Jeremy Veenstra-VanderWeele, Edwin H Cook, Randall L Carpenter, Margaret M McClure, Philip D Harvey, Larry J Siever, Signe Mathiasen, Tiago Palmisano, Jonathan A. Javitch, H O Lawal, A Terrell, D E Krantz, Karine Gamache, Roger K Pitman, Karim Nader, Hyejung Won, Won Mah, Eunjoon Kim, Samantha T. Reyes, Robert M. J. Deacon, Frederick T. Chin, Eugenia V. Gurevich, Vsevolod V. Gurevich, Jing Gu, Rui-Kun Peng, Qin Ouyang, Fanny Duhr, Paul Déléris, Séverine Chaumont-Dubel, Lior Brimberg, Itai Benhar, Daphna Joel, Hiroyuki Koike, Michael P Demars, Hirofumi Morishita, Jonathan A. Coleman, Evan M. Green, Eric Gouaux, Bingfa Sun, Dan Feng, Brian K. Kobilka, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Kathryn E Gill, Peter J Pierre, Linda J Porrino, Behrad Noudoost, Tirin Moore, Jeffery N Epstein, William B Brinkman, Mekibib Altaye, Kay M Tye, Lynne D Tye, Antonello Bonci, Zachary Freyberg, Mark S. Sonders, Jonathan A. Javitch, Jacob Andersen, Kristoffer B. Ringsted, Anders S. Kristensen, Matthew Dunn, Adam Henke, Dalibor Sames, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Claudia Trenkwalder, Walter Paulus, Toru Kobayashi, Kazuo Washiyama, Kazutaka Ikeda, Mariya V Cherkasova, Nazlie Faridi, Chawki Benkelfat, Paul J Cocker, Jay G Hosking, Catharine A Winstanley, William Davies, Trevor Humby, Lawrence S Wilkinson, Marieke E van der Schaaf, Sean J Fallon, Roshan Cools, Rita Z Goldstein, Nora D Volkow, Sheng Wang, Tao Che, Bryan L. Roth, Melissa L Perreault, Ahmed Hasbi, Susan R George, Stan B Floresco, James D Jentsch, Linde Boekhoudt, Elisa S Voets, Roger AH Adan",08 Jul 2015
/articles/npp201130,Methylphenidate Normalizes Fronto-Striatal Underactivation During Interference Inhibition in Medication-Naïve Boys with Attention-Deficit Hyperactivity Disorder,"The X-ray crystal structure of theDrosophiladopamine transporter bound to the antidepressant drug nortriptyline is presented, providing the first crystal structure of a eukaryotic neurotransmitter sodium symporter.","nature, search, Ayaka Ishii-Takahashi, Ryu Takizawa, Yukiko Kano, Li An, Xiao-Hua Cao, Yu-Feng Wang, Iliyan Ivanov, James W Murrough, Bradley S Peterson, Katya Rubia, Rozmin Halari, Eric Taylor, James Swanson, Ruben D Baler, Nora D Volkow, Susan L McElroy, James Hudson, Maria Gasior, J Kambeitz, M Romanos, U Ettinger, S Stevens Negus, Jack Henningfield, Aravind Penmatsa, Kevin H. Wang, Eric Gouaux, Jeremy Veenstra-VanderWeele, Edwin H Cook, Randall L Carpenter, Margaret M McClure, Philip D Harvey, Larry J Siever, Signe Mathiasen, Tiago Palmisano, Jonathan A. Javitch, H O Lawal, A Terrell, D E Krantz, Karine Gamache, Roger K Pitman, Karim Nader, Hyejung Won, Won Mah, Eunjoon Kim, Samantha T. Reyes, Robert M. J. Deacon, Frederick T. Chin, Eugenia V. Gurevich, Vsevolod V. Gurevich, Jing Gu, Rui-Kun Peng, Qin Ouyang, Fanny Duhr, Paul Déléris, Séverine Chaumont-Dubel, Lior Brimberg, Itai Benhar, Daphna Joel, Hiroyuki Koike, Michael P Demars, Hirofumi Morishita, Jonathan A. Coleman, Evan M. Green, Eric Gouaux, Bingfa Sun, Dan Feng, Brian K. Kobilka, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Kathryn E Gill, Peter J Pierre, Linda J Porrino, Behrad Noudoost, Tirin Moore, Jeffery N Epstein, William B Brinkman, Mekibib Altaye, Kay M Tye, Lynne D Tye, Antonello Bonci, Zachary Freyberg, Mark S. Sonders, Jonathan A. Javitch, Jacob Andersen, Kristoffer B. Ringsted, Anders S. Kristensen, Matthew Dunn, Adam Henke, Dalibor Sames, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Claudia Trenkwalder, Walter Paulus, Toru Kobayashi, Kazuo Washiyama, Kazutaka Ikeda, Mariya V Cherkasova, Nazlie Faridi, Chawki Benkelfat, Paul J Cocker, Jay G Hosking, Catharine A Winstanley, William Davies, Trevor Humby, Lawrence S Wilkinson, Marieke E van der Schaaf, Sean J Fallon, Roshan Cools, Rita Z Goldstein, Nora D Volkow, Sheng Wang, Tao Che, Bryan L. Roth, Melissa L Perreault, Ahmed Hasbi, Susan R George, Stan B Floresco, James D Jentsch, Linde Boekhoudt, Elisa S Voets, Roger AH Adan",08 Jul 2015
/articles/npp2010160,Understanding the Effects of Stimulant Medications on Cognition in Individuals with Attention-Deficit Hyperactivity Disorder: A Decade of Progress,"The X-ray crystal structure of theDrosophiladopamine transporter bound to the antidepressant drug nortriptyline is presented, providing the first crystal structure of a eukaryotic neurotransmitter sodium symporter.","nature, search, Ayaka Ishii-Takahashi, Ryu Takizawa, Yukiko Kano, Li An, Xiao-Hua Cao, Yu-Feng Wang, Iliyan Ivanov, James W Murrough, Bradley S Peterson, Katya Rubia, Rozmin Halari, Eric Taylor, James Swanson, Ruben D Baler, Nora D Volkow, Susan L McElroy, James Hudson, Maria Gasior, J Kambeitz, M Romanos, U Ettinger, S Stevens Negus, Jack Henningfield, Aravind Penmatsa, Kevin H. Wang, Eric Gouaux, Jeremy Veenstra-VanderWeele, Edwin H Cook, Randall L Carpenter, Margaret M McClure, Philip D Harvey, Larry J Siever, Signe Mathiasen, Tiago Palmisano, Jonathan A. Javitch, H O Lawal, A Terrell, D E Krantz, Karine Gamache, Roger K Pitman, Karim Nader, Hyejung Won, Won Mah, Eunjoon Kim, Samantha T. Reyes, Robert M. J. Deacon, Frederick T. Chin, Eugenia V. Gurevich, Vsevolod V. Gurevich, Jing Gu, Rui-Kun Peng, Qin Ouyang, Fanny Duhr, Paul Déléris, Séverine Chaumont-Dubel, Lior Brimberg, Itai Benhar, Daphna Joel, Hiroyuki Koike, Michael P Demars, Hirofumi Morishita, Jonathan A. Coleman, Evan M. Green, Eric Gouaux, Bingfa Sun, Dan Feng, Brian K. Kobilka, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Kathryn E Gill, Peter J Pierre, Linda J Porrino, Behrad Noudoost, Tirin Moore, Jeffery N Epstein, William B Brinkman, Mekibib Altaye, Kay M Tye, Lynne D Tye, Antonello Bonci, Zachary Freyberg, Mark S. Sonders, Jonathan A. Javitch, Jacob Andersen, Kristoffer B. Ringsted, Anders S. Kristensen, Matthew Dunn, Adam Henke, Dalibor Sames, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Claudia Trenkwalder, Walter Paulus, Toru Kobayashi, Kazuo Washiyama, Kazutaka Ikeda, Mariya V Cherkasova, Nazlie Faridi, Chawki Benkelfat, Paul J Cocker, Jay G Hosking, Catharine A Winstanley, William Davies, Trevor Humby, Lawrence S Wilkinson, Marieke E van der Schaaf, Sean J Fallon, Roshan Cools, Rita Z Goldstein, Nora D Volkow, Sheng Wang, Tao Che, Bryan L. Roth, Melissa L Perreault, Ahmed Hasbi, Susan R George, Stan B Floresco, James D Jentsch, Linde Boekhoudt, Elisa S Voets, Roger AH Adan",08 Jul 2015
/articles/npp2017266,"ACNP 56th Annual Meeting: Poster Session III, December 6, 2017","The X-ray crystal structure of theDrosophiladopamine transporter bound to the antidepressant drug nortriptyline is presented, providing the first crystal structure of a eukaryotic neurotransmitter sodium symporter.","nature, search, Ayaka Ishii-Takahashi, Ryu Takizawa, Yukiko Kano, Li An, Xiao-Hua Cao, Yu-Feng Wang, Iliyan Ivanov, James W Murrough, Bradley S Peterson, Katya Rubia, Rozmin Halari, Eric Taylor, James Swanson, Ruben D Baler, Nora D Volkow, Susan L McElroy, James Hudson, Maria Gasior, J Kambeitz, M Romanos, U Ettinger, S Stevens Negus, Jack Henningfield, Aravind Penmatsa, Kevin H. Wang, Eric Gouaux, Jeremy Veenstra-VanderWeele, Edwin H Cook, Randall L Carpenter, Margaret M McClure, Philip D Harvey, Larry J Siever, Signe Mathiasen, Tiago Palmisano, Jonathan A. Javitch, H O Lawal, A Terrell, D E Krantz, Karine Gamache, Roger K Pitman, Karim Nader, Hyejung Won, Won Mah, Eunjoon Kim, Samantha T. Reyes, Robert M. J. Deacon, Frederick T. Chin, Eugenia V. Gurevich, Vsevolod V. Gurevich, Jing Gu, Rui-Kun Peng, Qin Ouyang, Fanny Duhr, Paul Déléris, Séverine Chaumont-Dubel, Lior Brimberg, Itai Benhar, Daphna Joel, Hiroyuki Koike, Michael P Demars, Hirofumi Morishita, Jonathan A. Coleman, Evan M. Green, Eric Gouaux, Bingfa Sun, Dan Feng, Brian K. Kobilka, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Kathryn E Gill, Peter J Pierre, Linda J Porrino, Behrad Noudoost, Tirin Moore, Jeffery N Epstein, William B Brinkman, Mekibib Altaye, Kay M Tye, Lynne D Tye, Antonello Bonci, Zachary Freyberg, Mark S. Sonders, Jonathan A. Javitch, Jacob Andersen, Kristoffer B. Ringsted, Anders S. Kristensen, Matthew Dunn, Adam Henke, Dalibor Sames, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Claudia Trenkwalder, Walter Paulus, Toru Kobayashi, Kazuo Washiyama, Kazutaka Ikeda, Mariya V Cherkasova, Nazlie Faridi, Chawki Benkelfat, Paul J Cocker, Jay G Hosking, Catharine A Winstanley, William Davies, Trevor Humby, Lawrence S Wilkinson, Marieke E van der Schaaf, Sean J Fallon, Roshan Cools, Rita Z Goldstein, Nora D Volkow, Sheng Wang, Tao Che, Bryan L. Roth, Melissa L Perreault, Ahmed Hasbi, Susan R George, Stan B Floresco, James D Jentsch, Linde Boekhoudt, Elisa S Voets, Roger AH Adan",08 Jul 2015
/articles/npp2017264,"ACNP 56th Annual Meeting: Poster Session I, December 4, 2017","The X-ray crystal structure of theDrosophiladopamine transporter bound to the antidepressant drug nortriptyline is presented, providing the first crystal structure of a eukaryotic neurotransmitter sodium symporter.","nature, search, Ayaka Ishii-Takahashi, Ryu Takizawa, Yukiko Kano, Li An, Xiao-Hua Cao, Yu-Feng Wang, Iliyan Ivanov, James W Murrough, Bradley S Peterson, Katya Rubia, Rozmin Halari, Eric Taylor, James Swanson, Ruben D Baler, Nora D Volkow, Susan L McElroy, James Hudson, Maria Gasior, J Kambeitz, M Romanos, U Ettinger, S Stevens Negus, Jack Henningfield, Aravind Penmatsa, Kevin H. Wang, Eric Gouaux, Jeremy Veenstra-VanderWeele, Edwin H Cook, Randall L Carpenter, Margaret M McClure, Philip D Harvey, Larry J Siever, Signe Mathiasen, Tiago Palmisano, Jonathan A. Javitch, H O Lawal, A Terrell, D E Krantz, Karine Gamache, Roger K Pitman, Karim Nader, Hyejung Won, Won Mah, Eunjoon Kim, Samantha T. Reyes, Robert M. J. Deacon, Frederick T. Chin, Eugenia V. Gurevich, Vsevolod V. Gurevich, Jing Gu, Rui-Kun Peng, Qin Ouyang, Fanny Duhr, Paul Déléris, Séverine Chaumont-Dubel, Lior Brimberg, Itai Benhar, Daphna Joel, Hiroyuki Koike, Michael P Demars, Hirofumi Morishita, Jonathan A. Coleman, Evan M. Green, Eric Gouaux, Bingfa Sun, Dan Feng, Brian K. Kobilka, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Kathryn E Gill, Peter J Pierre, Linda J Porrino, Behrad Noudoost, Tirin Moore, Jeffery N Epstein, William B Brinkman, Mekibib Altaye, Kay M Tye, Lynne D Tye, Antonello Bonci, Zachary Freyberg, Mark S. Sonders, Jonathan A. Javitch, Jacob Andersen, Kristoffer B. Ringsted, Anders S. Kristensen, Matthew Dunn, Adam Henke, Dalibor Sames, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Claudia Trenkwalder, Walter Paulus, Toru Kobayashi, Kazuo Washiyama, Kazutaka Ikeda, Mariya V Cherkasova, Nazlie Faridi, Chawki Benkelfat, Paul J Cocker, Jay G Hosking, Catharine A Winstanley, William Davies, Trevor Humby, Lawrence S Wilkinson, Marieke E van der Schaaf, Sean J Fallon, Roshan Cools, Rita Z Goldstein, Nora D Volkow, Sheng Wang, Tao Che, Bryan L. Roth, Melissa L Perreault, Ahmed Hasbi, Susan R George, Stan B Floresco, James D Jentsch, Linde Boekhoudt, Elisa S Voets, Roger AH Adan",08 Jul 2015
/articles/npp2017265,"ACNP 56th Annual Meeting: Poster Session II, December 5, 2017","The X-ray crystal structure of theDrosophiladopamine transporter bound to the antidepressant drug nortriptyline is presented, providing the first crystal structure of a eukaryotic neurotransmitter sodium symporter.","nature, search, Ayaka Ishii-Takahashi, Ryu Takizawa, Yukiko Kano, Li An, Xiao-Hua Cao, Yu-Feng Wang, Iliyan Ivanov, James W Murrough, Bradley S Peterson, Katya Rubia, Rozmin Halari, Eric Taylor, James Swanson, Ruben D Baler, Nora D Volkow, Susan L McElroy, James Hudson, Maria Gasior, J Kambeitz, M Romanos, U Ettinger, S Stevens Negus, Jack Henningfield, Aravind Penmatsa, Kevin H. Wang, Eric Gouaux, Jeremy Veenstra-VanderWeele, Edwin H Cook, Randall L Carpenter, Margaret M McClure, Philip D Harvey, Larry J Siever, Signe Mathiasen, Tiago Palmisano, Jonathan A. Javitch, H O Lawal, A Terrell, D E Krantz, Karine Gamache, Roger K Pitman, Karim Nader, Hyejung Won, Won Mah, Eunjoon Kim, Samantha T. Reyes, Robert M. J. Deacon, Frederick T. Chin, Eugenia V. Gurevich, Vsevolod V. Gurevich, Jing Gu, Rui-Kun Peng, Qin Ouyang, Fanny Duhr, Paul Déléris, Séverine Chaumont-Dubel, Lior Brimberg, Itai Benhar, Daphna Joel, Hiroyuki Koike, Michael P Demars, Hirofumi Morishita, Jonathan A. Coleman, Evan M. Green, Eric Gouaux, Bingfa Sun, Dan Feng, Brian K. Kobilka, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Kathryn E Gill, Peter J Pierre, Linda J Porrino, Behrad Noudoost, Tirin Moore, Jeffery N Epstein, William B Brinkman, Mekibib Altaye, Kay M Tye, Lynne D Tye, Antonello Bonci, Zachary Freyberg, Mark S. Sonders, Jonathan A. Javitch, Jacob Andersen, Kristoffer B. Ringsted, Anders S. Kristensen, Matthew Dunn, Adam Henke, Dalibor Sames, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Claudia Trenkwalder, Walter Paulus, Toru Kobayashi, Kazuo Washiyama, Kazutaka Ikeda, Mariya V Cherkasova, Nazlie Faridi, Chawki Benkelfat, Paul J Cocker, Jay G Hosking, Catharine A Winstanley, William Davies, Trevor Humby, Lawrence S Wilkinson, Marieke E van der Schaaf, Sean J Fallon, Roshan Cools, Rita Z Goldstein, Nora D Volkow, Sheng Wang, Tao Che, Bryan L. Roth, Melissa L Perreault, Ahmed Hasbi, Susan R George, Stan B Floresco, James D Jentsch, Linde Boekhoudt, Elisa S Voets, Roger AH Adan",08 Jul 2015
/articles/npp2010218,Poster Session III,"The X-ray crystal structure of theDrosophiladopamine transporter bound to the antidepressant drug nortriptyline is presented, providing the first crystal structure of a eukaryotic neurotransmitter sodium symporter.","nature, search, Ayaka Ishii-Takahashi, Ryu Takizawa, Yukiko Kano, Li An, Xiao-Hua Cao, Yu-Feng Wang, Iliyan Ivanov, James W Murrough, Bradley S Peterson, Katya Rubia, Rozmin Halari, Eric Taylor, James Swanson, Ruben D Baler, Nora D Volkow, Susan L McElroy, James Hudson, Maria Gasior, J Kambeitz, M Romanos, U Ettinger, S Stevens Negus, Jack Henningfield, Aravind Penmatsa, Kevin H. Wang, Eric Gouaux, Jeremy Veenstra-VanderWeele, Edwin H Cook, Randall L Carpenter, Margaret M McClure, Philip D Harvey, Larry J Siever, Signe Mathiasen, Tiago Palmisano, Jonathan A. Javitch, H O Lawal, A Terrell, D E Krantz, Karine Gamache, Roger K Pitman, Karim Nader, Hyejung Won, Won Mah, Eunjoon Kim, Samantha T. Reyes, Robert M. J. Deacon, Frederick T. Chin, Eugenia V. Gurevich, Vsevolod V. Gurevich, Jing Gu, Rui-Kun Peng, Qin Ouyang, Fanny Duhr, Paul Déléris, Séverine Chaumont-Dubel, Lior Brimberg, Itai Benhar, Daphna Joel, Hiroyuki Koike, Michael P Demars, Hirofumi Morishita, Jonathan A. Coleman, Evan M. Green, Eric Gouaux, Bingfa Sun, Dan Feng, Brian K. Kobilka, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Kathryn E Gill, Peter J Pierre, Linda J Porrino, Behrad Noudoost, Tirin Moore, Jeffery N Epstein, William B Brinkman, Mekibib Altaye, Kay M Tye, Lynne D Tye, Antonello Bonci, Zachary Freyberg, Mark S. Sonders, Jonathan A. Javitch, Jacob Andersen, Kristoffer B. Ringsted, Anders S. Kristensen, Matthew Dunn, Adam Henke, Dalibor Sames, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Claudia Trenkwalder, Walter Paulus, Toru Kobayashi, Kazuo Washiyama, Kazutaka Ikeda, Mariya V Cherkasova, Nazlie Faridi, Chawki Benkelfat, Paul J Cocker, Jay G Hosking, Catharine A Winstanley, William Davies, Trevor Humby, Lawrence S Wilkinson, Marieke E van der Schaaf, Sean J Fallon, Roshan Cools, Rita Z Goldstein, Nora D Volkow, Sheng Wang, Tao Che, Bryan L. Roth, Melissa L Perreault, Ahmed Hasbi, Susan R George, Stan B Floresco, James D Jentsch, Linde Boekhoudt, Elisa S Voets, Roger AH Adan",08 Jul 2015
/articles/npp2015275,Lisdexamfetamine Dimesylate for Adults with Moderate to Severe Binge Eating Disorder: Results of Two Pivotal Phase 3 Randomized Controlled Trials,"The X-ray crystal structure of theDrosophiladopamine transporter bound to the antidepressant drug nortriptyline is presented, providing the first crystal structure of a eukaryotic neurotransmitter sodium symporter.","nature, search, Ayaka Ishii-Takahashi, Ryu Takizawa, Yukiko Kano, Li An, Xiao-Hua Cao, Yu-Feng Wang, Iliyan Ivanov, James W Murrough, Bradley S Peterson, Katya Rubia, Rozmin Halari, Eric Taylor, James Swanson, Ruben D Baler, Nora D Volkow, Susan L McElroy, James Hudson, Maria Gasior, J Kambeitz, M Romanos, U Ettinger, S Stevens Negus, Jack Henningfield, Aravind Penmatsa, Kevin H. Wang, Eric Gouaux, Jeremy Veenstra-VanderWeele, Edwin H Cook, Randall L Carpenter, Margaret M McClure, Philip D Harvey, Larry J Siever, Signe Mathiasen, Tiago Palmisano, Jonathan A. Javitch, H O Lawal, A Terrell, D E Krantz, Karine Gamache, Roger K Pitman, Karim Nader, Hyejung Won, Won Mah, Eunjoon Kim, Samantha T. Reyes, Robert M. J. Deacon, Frederick T. Chin, Eugenia V. Gurevich, Vsevolod V. Gurevich, Jing Gu, Rui-Kun Peng, Qin Ouyang, Fanny Duhr, Paul Déléris, Séverine Chaumont-Dubel, Lior Brimberg, Itai Benhar, Daphna Joel, Hiroyuki Koike, Michael P Demars, Hirofumi Morishita, Jonathan A. Coleman, Evan M. Green, Eric Gouaux, Bingfa Sun, Dan Feng, Brian K. Kobilka, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Kathryn E Gill, Peter J Pierre, Linda J Porrino, Behrad Noudoost, Tirin Moore, Jeffery N Epstein, William B Brinkman, Mekibib Altaye, Kay M Tye, Lynne D Tye, Antonello Bonci, Zachary Freyberg, Mark S. Sonders, Jonathan A. Javitch, Jacob Andersen, Kristoffer B. Ringsted, Anders S. Kristensen, Matthew Dunn, Adam Henke, Dalibor Sames, Christian Borgo, Claudio D’Amore, Maria Ruzzene, Claudia Trenkwalder, Walter Paulus, Toru Kobayashi, Kazuo Washiyama, Kazutaka Ikeda, Mariya V Cherkasova, Nazlie Faridi, Chawki Benkelfat, Paul J Cocker, Jay G Hosking, Catharine A Winstanley, William Davies, Trevor Humby, Lawrence S Wilkinson, Marieke E van der Schaaf, Sean J Fallon, Roshan Cools, Rita Z Goldstein, Nora D Volkow, Sheng Wang, Tao Che, Bryan L. Roth, Melissa L Perreault, Ahmed Hasbi, Susan R George, Stan B Floresco, James D Jentsch, Linde Boekhoudt, Elisa S Voets, Roger AH Adan",08 Jul 2015
