href,title,description,authors,date_published
/articles/s41598-023-47606-7,Application of bi-directional long-short-term memory network in cognitive age prediction based on EEG signals,"Here, the authors introduce a biosensing platform with multi-length-scale electrode architecture consisting of 3D printed silver micropillars decorated with graphene flakes. They demonstrate that this breaks a barrier to the biomolecule limit-of-detection, enabling detection down to femtomolar level.","nature, search, Shi-Bing Wong, Yu Tsao, Syu-Siang Wang, Won Hyuk Lee, Johanna Inhyang Kim, Hyun-Kyung Park, Shawn Joshi, Benjamin D. Weedon, Hasan Ayaz, Fanyu Zhang, Bo Hua, Ju-Rong Ding, Won Kim, Minwoo Seong, SeungJun Kim, Zi-yang Wang, Li Liu, Yu Liu, Laura Päeske, Tuuli Uudeberg, Maie Bachmann, Dávid Horváth, János Négyesi, Levente Rácz, Paulina Clara Dagnino, Claire Braboszcz, Aureli Soria-Frisch, Md. Azahar Ali, Chunshan Hu, Rahul Panat, Xiwei She, Kerry C. Nix, Fiona M. Baumer, Mohamad Awada, Burcin Becerik-Gerber, Shawn Roll, Anna Anzulewicz, Krzysztof Sobota, Jonathan T. Delafield-Butt, Nir Habouba, Ronen Talmon, Tzipi Horowitz-Kraus, Hamed Taheri Gorji, Nicholas Wilson, Kouhyar Tavakolian, Pradeep Raj Krishnappa Babu, Vikram Aikat, Guillermo Sapiro, Walter H. L. Pinaya, Cristina Scarpazza, Andrea Mechelli, Ahmad Chaddad, Christian Desrosiers, Matthew Toews, Tamanna T. K. Munia, Ali Haider, Reza Fazel-Rezai, Majid Aljalal, Saeed A. Aldosari, Fahd A. Alturki, Ranjan Sapkota, John Stenger, Paulo Flores, Pim Moeskops, Ivana Išgum, Manon J. N. L. Benders, Brian Hansen, Sune Nørhøj Jespersen",18 Nov 2023
/articles/s41598-021-89024-7,Quantified assessment of hyperactivity in ADHD youth using IR-UWB radar,"Here, the authors introduce a biosensing platform with multi-length-scale electrode architecture consisting of 3D printed silver micropillars decorated with graphene flakes. They demonstrate that this breaks a barrier to the biomolecule limit-of-detection, enabling detection down to femtomolar level.","nature, search, Shi-Bing Wong, Yu Tsao, Syu-Siang Wang, Won Hyuk Lee, Johanna Inhyang Kim, Hyun-Kyung Park, Shawn Joshi, Benjamin D. Weedon, Hasan Ayaz, Fanyu Zhang, Bo Hua, Ju-Rong Ding, Won Kim, Minwoo Seong, SeungJun Kim, Zi-yang Wang, Li Liu, Yu Liu, Laura Päeske, Tuuli Uudeberg, Maie Bachmann, Dávid Horváth, János Négyesi, Levente Rácz, Paulina Clara Dagnino, Claire Braboszcz, Aureli Soria-Frisch, Md. Azahar Ali, Chunshan Hu, Rahul Panat, Xiwei She, Kerry C. Nix, Fiona M. Baumer, Mohamad Awada, Burcin Becerik-Gerber, Shawn Roll, Anna Anzulewicz, Krzysztof Sobota, Jonathan T. Delafield-Butt, Nir Habouba, Ronen Talmon, Tzipi Horowitz-Kraus, Hamed Taheri Gorji, Nicholas Wilson, Kouhyar Tavakolian, Pradeep Raj Krishnappa Babu, Vikram Aikat, Guillermo Sapiro, Walter H. L. Pinaya, Cristina Scarpazza, Andrea Mechelli, Ahmad Chaddad, Christian Desrosiers, Matthew Toews, Tamanna T. K. Munia, Ali Haider, Reza Fazel-Rezai, Majid Aljalal, Saeed A. Aldosari, Fahd A. Alturki, Ranjan Sapkota, John Stenger, Paulo Flores, Pim Moeskops, Ivana Išgum, Manon J. N. L. Benders, Brian Hansen, Sune Nørhøj Jespersen",18 Nov 2023
/articles/s41598-022-13966-9,Neuroergonomic assessment of developmental coordination disorder,"Here, the authors introduce a biosensing platform with multi-length-scale electrode architecture consisting of 3D printed silver micropillars decorated with graphene flakes. They demonstrate that this breaks a barrier to the biomolecule limit-of-detection, enabling detection down to femtomolar level.","nature, search, Shi-Bing Wong, Yu Tsao, Syu-Siang Wang, Won Hyuk Lee, Johanna Inhyang Kim, Hyun-Kyung Park, Shawn Joshi, Benjamin D. Weedon, Hasan Ayaz, Fanyu Zhang, Bo Hua, Ju-Rong Ding, Won Kim, Minwoo Seong, SeungJun Kim, Zi-yang Wang, Li Liu, Yu Liu, Laura Päeske, Tuuli Uudeberg, Maie Bachmann, Dávid Horváth, János Négyesi, Levente Rácz, Paulina Clara Dagnino, Claire Braboszcz, Aureli Soria-Frisch, Md. Azahar Ali, Chunshan Hu, Rahul Panat, Xiwei She, Kerry C. Nix, Fiona M. Baumer, Mohamad Awada, Burcin Becerik-Gerber, Shawn Roll, Anna Anzulewicz, Krzysztof Sobota, Jonathan T. Delafield-Butt, Nir Habouba, Ronen Talmon, Tzipi Horowitz-Kraus, Hamed Taheri Gorji, Nicholas Wilson, Kouhyar Tavakolian, Pradeep Raj Krishnappa Babu, Vikram Aikat, Guillermo Sapiro, Walter H. L. Pinaya, Cristina Scarpazza, Andrea Mechelli, Ahmad Chaddad, Christian Desrosiers, Matthew Toews, Tamanna T. K. Munia, Ali Haider, Reza Fazel-Rezai, Majid Aljalal, Saeed A. Aldosari, Fahd A. Alturki, Ranjan Sapkota, John Stenger, Paulo Flores, Pim Moeskops, Ivana Išgum, Manon J. N. L. Benders, Brian Hansen, Sune Nørhøj Jespersen",18 Nov 2023
/articles/s41598-020-79475-9,Regional homogeneity abnormalities of resting state brain activities in children with growth hormone deficiency,"Here, the authors introduce a biosensing platform with multi-length-scale electrode architecture consisting of 3D printed silver micropillars decorated with graphene flakes. They demonstrate that this breaks a barrier to the biomolecule limit-of-detection, enabling detection down to femtomolar level.","nature, search, Shi-Bing Wong, Yu Tsao, Syu-Siang Wang, Won Hyuk Lee, Johanna Inhyang Kim, Hyun-Kyung Park, Shawn Joshi, Benjamin D. Weedon, Hasan Ayaz, Fanyu Zhang, Bo Hua, Ju-Rong Ding, Won Kim, Minwoo Seong, SeungJun Kim, Zi-yang Wang, Li Liu, Yu Liu, Laura Päeske, Tuuli Uudeberg, Maie Bachmann, Dávid Horváth, János Négyesi, Levente Rácz, Paulina Clara Dagnino, Claire Braboszcz, Aureli Soria-Frisch, Md. Azahar Ali, Chunshan Hu, Rahul Panat, Xiwei She, Kerry C. Nix, Fiona M. Baumer, Mohamad Awada, Burcin Becerik-Gerber, Shawn Roll, Anna Anzulewicz, Krzysztof Sobota, Jonathan T. Delafield-Butt, Nir Habouba, Ronen Talmon, Tzipi Horowitz-Kraus, Hamed Taheri Gorji, Nicholas Wilson, Kouhyar Tavakolian, Pradeep Raj Krishnappa Babu, Vikram Aikat, Guillermo Sapiro, Walter H. L. Pinaya, Cristina Scarpazza, Andrea Mechelli, Ahmad Chaddad, Christian Desrosiers, Matthew Toews, Tamanna T. K. Munia, Ali Haider, Reza Fazel-Rezai, Majid Aljalal, Saeed A. Aldosari, Fahd A. Alturki, Ranjan Sapkota, John Stenger, Paulo Flores, Pim Moeskops, Ivana Išgum, Manon J. N. L. Benders, Brian Hansen, Sune Nørhøj Jespersen",18 Nov 2023
/articles/s41597-024-03132-3,Engagnition: A multi-dimensional dataset for engagement recognition of children with autism spectrum disorder,"Here, the authors introduce a biosensing platform with multi-length-scale electrode architecture consisting of 3D printed silver micropillars decorated with graphene flakes. They demonstrate that this breaks a barrier to the biomolecule limit-of-detection, enabling detection down to femtomolar level.","nature, search, Shi-Bing Wong, Yu Tsao, Syu-Siang Wang, Won Hyuk Lee, Johanna Inhyang Kim, Hyun-Kyung Park, Shawn Joshi, Benjamin D. Weedon, Hasan Ayaz, Fanyu Zhang, Bo Hua, Ju-Rong Ding, Won Kim, Minwoo Seong, SeungJun Kim, Zi-yang Wang, Li Liu, Yu Liu, Laura Päeske, Tuuli Uudeberg, Maie Bachmann, Dávid Horváth, János Négyesi, Levente Rácz, Paulina Clara Dagnino, Claire Braboszcz, Aureli Soria-Frisch, Md. Azahar Ali, Chunshan Hu, Rahul Panat, Xiwei She, Kerry C. Nix, Fiona M. Baumer, Mohamad Awada, Burcin Becerik-Gerber, Shawn Roll, Anna Anzulewicz, Krzysztof Sobota, Jonathan T. Delafield-Butt, Nir Habouba, Ronen Talmon, Tzipi Horowitz-Kraus, Hamed Taheri Gorji, Nicholas Wilson, Kouhyar Tavakolian, Pradeep Raj Krishnappa Babu, Vikram Aikat, Guillermo Sapiro, Walter H. L. Pinaya, Cristina Scarpazza, Andrea Mechelli, Ahmad Chaddad, Christian Desrosiers, Matthew Toews, Tamanna T. K. Munia, Ali Haider, Reza Fazel-Rezai, Majid Aljalal, Saeed A. Aldosari, Fahd A. Alturki, Ranjan Sapkota, John Stenger, Paulo Flores, Pim Moeskops, Ivana Išgum, Manon J. N. L. Benders, Brian Hansen, Sune Nørhøj Jespersen",18 Nov 2023
/articles/s41598-023-35289-z,A multi-source behavioral and physiological recording system for cognitive assessment,"Here, the authors introduce a biosensing platform with multi-length-scale electrode architecture consisting of 3D printed silver micropillars decorated with graphene flakes. They demonstrate that this breaks a barrier to the biomolecule limit-of-detection, enabling detection down to femtomolar level.","nature, search, Shi-Bing Wong, Yu Tsao, Syu-Siang Wang, Won Hyuk Lee, Johanna Inhyang Kim, Hyun-Kyung Park, Shawn Joshi, Benjamin D. Weedon, Hasan Ayaz, Fanyu Zhang, Bo Hua, Ju-Rong Ding, Won Kim, Minwoo Seong, SeungJun Kim, Zi-yang Wang, Li Liu, Yu Liu, Laura Päeske, Tuuli Uudeberg, Maie Bachmann, Dávid Horváth, János Négyesi, Levente Rácz, Paulina Clara Dagnino, Claire Braboszcz, Aureli Soria-Frisch, Md. Azahar Ali, Chunshan Hu, Rahul Panat, Xiwei She, Kerry C. Nix, Fiona M. Baumer, Mohamad Awada, Burcin Becerik-Gerber, Shawn Roll, Anna Anzulewicz, Krzysztof Sobota, Jonathan T. Delafield-Butt, Nir Habouba, Ronen Talmon, Tzipi Horowitz-Kraus, Hamed Taheri Gorji, Nicholas Wilson, Kouhyar Tavakolian, Pradeep Raj Krishnappa Babu, Vikram Aikat, Guillermo Sapiro, Walter H. L. Pinaya, Cristina Scarpazza, Andrea Mechelli, Ahmad Chaddad, Christian Desrosiers, Matthew Toews, Tamanna T. K. Munia, Ali Haider, Reza Fazel-Rezai, Majid Aljalal, Saeed A. Aldosari, Fahd A. Alturki, Ranjan Sapkota, John Stenger, Paulo Flores, Pim Moeskops, Ivana Išgum, Manon J. N. L. Benders, Brian Hansen, Sune Nørhøj Jespersen",18 Nov 2023
/articles/s41598-023-33364-z,Correlation between electroencephalographic markers in the healthy brain,"Here, the authors introduce a biosensing platform with multi-length-scale electrode architecture consisting of 3D printed silver micropillars decorated with graphene flakes. They demonstrate that this breaks a barrier to the biomolecule limit-of-detection, enabling detection down to femtomolar level.","nature, search, Shi-Bing Wong, Yu Tsao, Syu-Siang Wang, Won Hyuk Lee, Johanna Inhyang Kim, Hyun-Kyung Park, Shawn Joshi, Benjamin D. Weedon, Hasan Ayaz, Fanyu Zhang, Bo Hua, Ju-Rong Ding, Won Kim, Minwoo Seong, SeungJun Kim, Zi-yang Wang, Li Liu, Yu Liu, Laura Päeske, Tuuli Uudeberg, Maie Bachmann, Dávid Horváth, János Négyesi, Levente Rácz, Paulina Clara Dagnino, Claire Braboszcz, Aureli Soria-Frisch, Md. Azahar Ali, Chunshan Hu, Rahul Panat, Xiwei She, Kerry C. Nix, Fiona M. Baumer, Mohamad Awada, Burcin Becerik-Gerber, Shawn Roll, Anna Anzulewicz, Krzysztof Sobota, Jonathan T. Delafield-Butt, Nir Habouba, Ronen Talmon, Tzipi Horowitz-Kraus, Hamed Taheri Gorji, Nicholas Wilson, Kouhyar Tavakolian, Pradeep Raj Krishnappa Babu, Vikram Aikat, Guillermo Sapiro, Walter H. L. Pinaya, Cristina Scarpazza, Andrea Mechelli, Ahmad Chaddad, Christian Desrosiers, Matthew Toews, Tamanna T. K. Munia, Ali Haider, Reza Fazel-Rezai, Majid Aljalal, Saeed A. Aldosari, Fahd A. Alturki, Ranjan Sapkota, John Stenger, Paulo Flores, Pim Moeskops, Ivana Išgum, Manon J. N. L. Benders, Brian Hansen, Sune Nørhøj Jespersen",18 Nov 2023
/articles/s41598-023-44545-1,Feasibility of a novel neurofeedback system: a parallel randomized single-blinded pilot study,"Here, the authors introduce a biosensing platform with multi-length-scale electrode architecture consisting of 3D printed silver micropillars decorated with graphene flakes. They demonstrate that this breaks a barrier to the biomolecule limit-of-detection, enabling detection down to femtomolar level.","nature, search, Shi-Bing Wong, Yu Tsao, Syu-Siang Wang, Won Hyuk Lee, Johanna Inhyang Kim, Hyun-Kyung Park, Shawn Joshi, Benjamin D. Weedon, Hasan Ayaz, Fanyu Zhang, Bo Hua, Ju-Rong Ding, Won Kim, Minwoo Seong, SeungJun Kim, Zi-yang Wang, Li Liu, Yu Liu, Laura Päeske, Tuuli Uudeberg, Maie Bachmann, Dávid Horváth, János Négyesi, Levente Rácz, Paulina Clara Dagnino, Claire Braboszcz, Aureli Soria-Frisch, Md. Azahar Ali, Chunshan Hu, Rahul Panat, Xiwei She, Kerry C. Nix, Fiona M. Baumer, Mohamad Awada, Burcin Becerik-Gerber, Shawn Roll, Anna Anzulewicz, Krzysztof Sobota, Jonathan T. Delafield-Butt, Nir Habouba, Ronen Talmon, Tzipi Horowitz-Kraus, Hamed Taheri Gorji, Nicholas Wilson, Kouhyar Tavakolian, Pradeep Raj Krishnappa Babu, Vikram Aikat, Guillermo Sapiro, Walter H. L. Pinaya, Cristina Scarpazza, Andrea Mechelli, Ahmad Chaddad, Christian Desrosiers, Matthew Toews, Tamanna T. K. Munia, Ali Haider, Reza Fazel-Rezai, Majid Aljalal, Saeed A. Aldosari, Fahd A. Alturki, Ranjan Sapkota, John Stenger, Paulo Flores, Pim Moeskops, Ivana Išgum, Manon J. N. L. Benders, Brian Hansen, Sune Nørhøj Jespersen",18 Nov 2023
/articles/s41598-023-34724-5,Stratification of responses to tDCS intervention in a healthy pediatric population based on resting-state EEG profiles,"Here, the authors introduce a biosensing platform with multi-length-scale electrode architecture consisting of 3D printed silver micropillars decorated with graphene flakes. They demonstrate that this breaks a barrier to the biomolecule limit-of-detection, enabling detection down to femtomolar level.","nature, search, Shi-Bing Wong, Yu Tsao, Syu-Siang Wang, Won Hyuk Lee, Johanna Inhyang Kim, Hyun-Kyung Park, Shawn Joshi, Benjamin D. Weedon, Hasan Ayaz, Fanyu Zhang, Bo Hua, Ju-Rong Ding, Won Kim, Minwoo Seong, SeungJun Kim, Zi-yang Wang, Li Liu, Yu Liu, Laura Päeske, Tuuli Uudeberg, Maie Bachmann, Dávid Horváth, János Négyesi, Levente Rácz, Paulina Clara Dagnino, Claire Braboszcz, Aureli Soria-Frisch, Md. Azahar Ali, Chunshan Hu, Rahul Panat, Xiwei She, Kerry C. Nix, Fiona M. Baumer, Mohamad Awada, Burcin Becerik-Gerber, Shawn Roll, Anna Anzulewicz, Krzysztof Sobota, Jonathan T. Delafield-Butt, Nir Habouba, Ronen Talmon, Tzipi Horowitz-Kraus, Hamed Taheri Gorji, Nicholas Wilson, Kouhyar Tavakolian, Pradeep Raj Krishnappa Babu, Vikram Aikat, Guillermo Sapiro, Walter H. L. Pinaya, Cristina Scarpazza, Andrea Mechelli, Ahmad Chaddad, Christian Desrosiers, Matthew Toews, Tamanna T. K. Munia, Ali Haider, Reza Fazel-Rezai, Majid Aljalal, Saeed A. Aldosari, Fahd A. Alturki, Ranjan Sapkota, John Stenger, Paulo Flores, Pim Moeskops, Ivana Išgum, Manon J. N. L. Benders, Brian Hansen, Sune Nørhøj Jespersen",18 Nov 2023
/articles/s41467-021-27361-x,Breaking the barrier to biomolecule limit-of-detection via 3D printed multi-length-scale graphene-coated electrodes,"Here, the authors introduce a biosensing platform with multi-length-scale electrode architecture consisting of 3D printed silver micropillars decorated with graphene flakes. They demonstrate that this breaks a barrier to the biomolecule limit-of-detection, enabling detection down to femtomolar level.","nature, search, Shi-Bing Wong, Yu Tsao, Syu-Siang Wang, Won Hyuk Lee, Johanna Inhyang Kim, Hyun-Kyung Park, Shawn Joshi, Benjamin D. Weedon, Hasan Ayaz, Fanyu Zhang, Bo Hua, Ju-Rong Ding, Won Kim, Minwoo Seong, SeungJun Kim, Zi-yang Wang, Li Liu, Yu Liu, Laura Päeske, Tuuli Uudeberg, Maie Bachmann, Dávid Horváth, János Négyesi, Levente Rácz, Paulina Clara Dagnino, Claire Braboszcz, Aureli Soria-Frisch, Md. Azahar Ali, Chunshan Hu, Rahul Panat, Xiwei She, Kerry C. Nix, Fiona M. Baumer, Mohamad Awada, Burcin Becerik-Gerber, Shawn Roll, Anna Anzulewicz, Krzysztof Sobota, Jonathan T. Delafield-Butt, Nir Habouba, Ronen Talmon, Tzipi Horowitz-Kraus, Hamed Taheri Gorji, Nicholas Wilson, Kouhyar Tavakolian, Pradeep Raj Krishnappa Babu, Vikram Aikat, Guillermo Sapiro, Walter H. L. Pinaya, Cristina Scarpazza, Andrea Mechelli, Ahmad Chaddad, Christian Desrosiers, Matthew Toews, Tamanna T. K. Munia, Ali Haider, Reza Fazel-Rezai, Majid Aljalal, Saeed A. Aldosari, Fahd A. Alturki, Ranjan Sapkota, John Stenger, Paulo Flores, Pim Moeskops, Ivana Išgum, Manon J. N. L. Benders, Brian Hansen, Sune Nørhøj Jespersen",18 Nov 2023
