href,title,description,authors,date_published
/articles/s41598-022-07232-1,Two meta-analyses of the association between atopic diseases and core symptoms of attention deficit hyperactivity disorder,"The role of the immune system in the pathogenesis of psychiatric disorders is unclear. Here, the authors show that genetic risk variants for multiple psychiatric disorders are enriched in regions of the genome active in the brain and in lymphoid cells, especially stimulated T cells, but not in myeloid cells.","nature, search, Yu-Chieh Chuang, Ching-Yun Wang, Yu-Jui Huang, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Jun Inamo, Akari Suzuki, Yuta Kochi, Gabriela Corrêa-Castro, Maria Luciana Silva-Freitas, Joanna Reis Santos-Oliveira, Ho-Chang Kuo, Ling-Sai Chang, Liang-Jen Wang, Claudio L. A. Bassetti, Antoine Adamantidis, Yves Dauvilliers, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Daniel Felsky, Tina Roostaei, Philip L. De Jager, Eunha Kim, Jun R. Huh, Gloria B. Choi, R E Frye, J M Sequeira, D A Rossignol, Marius Schwabenland, Omar Mossad, Thomas Blank, Eladio J. Márquez, Cheng-han Chung, Duygu Ucar, Lior Brimberg, Itai Benhar, Daphna Joel, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Harald Prüss, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Catherine J. Wedderburn, Tatum Sevenoaks, Jacqueline Hoare, Richard P. Bazinet, Sophie Layé, Shane Cleary, Grace Teskey, Jane A. Foster, Luca Bosa, Vritika Batura, Aleixo M. Muise, Ye Peng, Lin Zhang, Hein M. Tun, Mariko L. Bennett, F. Chris Bennett, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jacob Barnes, Valeria Mondelli, Carmine M Pariante, Marie-Julie Allard, Antoine Giraud, Guillaume Sebire, Jing Lu, Lei Lu, Erika C. Claud, V T Ramaekers, E V Quadros, J M Sequeira, Z Nademi, M Slatter, A Gennery, Taryn O. Hall, Ian B. Stanaway, David R. Crosslin, Lorenza Putignani, Federica Del Chierico, Bruno Dallapiccola",01 Mar 2022
/articles/s41467-022-33885-7,Genetic variants associated with psychiatric disorders are enriched at epigenetically active sites in lymphoid cells,"The role of the immune system in the pathogenesis of psychiatric disorders is unclear. Here, the authors show that genetic risk variants for multiple psychiatric disorders are enriched in regions of the genome active in the brain and in lymphoid cells, especially stimulated T cells, but not in myeloid cells.","nature, search, Yu-Chieh Chuang, Ching-Yun Wang, Yu-Jui Huang, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Jun Inamo, Akari Suzuki, Yuta Kochi, Gabriela Corrêa-Castro, Maria Luciana Silva-Freitas, Joanna Reis Santos-Oliveira, Ho-Chang Kuo, Ling-Sai Chang, Liang-Jen Wang, Claudio L. A. Bassetti, Antoine Adamantidis, Yves Dauvilliers, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Daniel Felsky, Tina Roostaei, Philip L. De Jager, Eunha Kim, Jun R. Huh, Gloria B. Choi, R E Frye, J M Sequeira, D A Rossignol, Marius Schwabenland, Omar Mossad, Thomas Blank, Eladio J. Márquez, Cheng-han Chung, Duygu Ucar, Lior Brimberg, Itai Benhar, Daphna Joel, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Harald Prüss, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Catherine J. Wedderburn, Tatum Sevenoaks, Jacqueline Hoare, Richard P. Bazinet, Sophie Layé, Shane Cleary, Grace Teskey, Jane A. Foster, Luca Bosa, Vritika Batura, Aleixo M. Muise, Ye Peng, Lin Zhang, Hein M. Tun, Mariko L. Bennett, F. Chris Bennett, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jacob Barnes, Valeria Mondelli, Carmine M Pariante, Marie-Julie Allard, Antoine Giraud, Guillaume Sebire, Jing Lu, Lei Lu, Erika C. Claud, V T Ramaekers, E V Quadros, J M Sequeira, Z Nademi, M Slatter, A Gennery, Taryn O. Hall, Ian B. Stanaway, David R. Crosslin, Lorenza Putignani, Federica Del Chierico, Bruno Dallapiccola",01 Mar 2022
/articles/s41586-021-03710-0,Dysregulation of brain and choroid plexus cell types in severe COVID-19,Single-nucleus transcriptomes of frontal cortex and choroid plexus samples from patients with COVID-19 reveal pathological cell states that are similar to those associated with human neurodegenerative diseases and chronic brain disorders.,"nature, search, Yu-Chieh Chuang, Ching-Yun Wang, Yu-Jui Huang, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Jun Inamo, Akari Suzuki, Yuta Kochi, Gabriela Corrêa-Castro, Maria Luciana Silva-Freitas, Joanna Reis Santos-Oliveira, Ho-Chang Kuo, Ling-Sai Chang, Liang-Jen Wang, Claudio L. A. Bassetti, Antoine Adamantidis, Yves Dauvilliers, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Daniel Felsky, Tina Roostaei, Philip L. De Jager, Eunha Kim, Jun R. Huh, Gloria B. Choi, R E Frye, J M Sequeira, D A Rossignol, Marius Schwabenland, Omar Mossad, Thomas Blank, Eladio J. Márquez, Cheng-han Chung, Duygu Ucar, Lior Brimberg, Itai Benhar, Daphna Joel, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Harald Prüss, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Catherine J. Wedderburn, Tatum Sevenoaks, Jacqueline Hoare, Richard P. Bazinet, Sophie Layé, Shane Cleary, Grace Teskey, Jane A. Foster, Luca Bosa, Vritika Batura, Aleixo M. Muise, Ye Peng, Lin Zhang, Hein M. Tun, Mariko L. Bennett, F. Chris Bennett, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jacob Barnes, Valeria Mondelli, Carmine M Pariante, Marie-Julie Allard, Antoine Giraud, Guillaume Sebire, Jing Lu, Lei Lu, Erika C. Claud, V T Ramaekers, E V Quadros, J M Sequeira, Z Nademi, M Slatter, A Gennery, Taryn O. Hall, Ian B. Stanaway, David R. Crosslin, Lorenza Putignani, Federica Del Chierico, Bruno Dallapiccola",01 Mar 2022
/articles/s41467-024-48615-4,Long-read sequencing for 29 immune cell subsets reveals disease-linked isoforms,"This paper unveils the complexity of human immune cell splicing, highlighting cell-specific isoforms and establishing connections between alternative splicing and complex traits. These findings have implications for understanding diseases and the evolution of the genome.","nature, search, Yu-Chieh Chuang, Ching-Yun Wang, Yu-Jui Huang, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Jun Inamo, Akari Suzuki, Yuta Kochi, Gabriela Corrêa-Castro, Maria Luciana Silva-Freitas, Joanna Reis Santos-Oliveira, Ho-Chang Kuo, Ling-Sai Chang, Liang-Jen Wang, Claudio L. A. Bassetti, Antoine Adamantidis, Yves Dauvilliers, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Daniel Felsky, Tina Roostaei, Philip L. De Jager, Eunha Kim, Jun R. Huh, Gloria B. Choi, R E Frye, J M Sequeira, D A Rossignol, Marius Schwabenland, Omar Mossad, Thomas Blank, Eladio J. Márquez, Cheng-han Chung, Duygu Ucar, Lior Brimberg, Itai Benhar, Daphna Joel, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Harald Prüss, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Catherine J. Wedderburn, Tatum Sevenoaks, Jacqueline Hoare, Richard P. Bazinet, Sophie Layé, Shane Cleary, Grace Teskey, Jane A. Foster, Luca Bosa, Vritika Batura, Aleixo M. Muise, Ye Peng, Lin Zhang, Hein M. Tun, Mariko L. Bennett, F. Chris Bennett, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jacob Barnes, Valeria Mondelli, Carmine M Pariante, Marie-Julie Allard, Antoine Giraud, Guillaume Sebire, Jing Lu, Lei Lu, Erika C. Claud, V T Ramaekers, E V Quadros, J M Sequeira, Z Nademi, M Slatter, A Gennery, Taryn O. Hall, Ian B. Stanaway, David R. Crosslin, Lorenza Putignani, Federica Del Chierico, Bruno Dallapiccola",01 Mar 2022
/articles/s41598-024-60209-0,A link between circulating immune complexes and acute kidney injury in human visceral leishmaniasis,"In the past 20 years, understanding of the clinical manifestations, aetiopathophysiology, diagnosis and treatment of narcolepsy has greatly advanced. In this Review, Bassetti et al. present these advances, discuss unmet needs and offer future perspectives for the field of narcolepsy.","nature, search, Yu-Chieh Chuang, Ching-Yun Wang, Yu-Jui Huang, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Jun Inamo, Akari Suzuki, Yuta Kochi, Gabriela Corrêa-Castro, Maria Luciana Silva-Freitas, Joanna Reis Santos-Oliveira, Ho-Chang Kuo, Ling-Sai Chang, Liang-Jen Wang, Claudio L. A. Bassetti, Antoine Adamantidis, Yves Dauvilliers, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Daniel Felsky, Tina Roostaei, Philip L. De Jager, Eunha Kim, Jun R. Huh, Gloria B. Choi, R E Frye, J M Sequeira, D A Rossignol, Marius Schwabenland, Omar Mossad, Thomas Blank, Eladio J. Márquez, Cheng-han Chung, Duygu Ucar, Lior Brimberg, Itai Benhar, Daphna Joel, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Harald Prüss, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Catherine J. Wedderburn, Tatum Sevenoaks, Jacqueline Hoare, Richard P. Bazinet, Sophie Layé, Shane Cleary, Grace Teskey, Jane A. Foster, Luca Bosa, Vritika Batura, Aleixo M. Muise, Ye Peng, Lin Zhang, Hein M. Tun, Mariko L. Bennett, F. Chris Bennett, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jacob Barnes, Valeria Mondelli, Carmine M Pariante, Marie-Julie Allard, Antoine Giraud, Guillaume Sebire, Jing Lu, Lei Lu, Erika C. Claud, V T Ramaekers, E V Quadros, J M Sequeira, Z Nademi, M Slatter, A Gennery, Taryn O. Hall, Ian B. Stanaway, David R. Crosslin, Lorenza Putignani, Federica Del Chierico, Bruno Dallapiccola",01 Mar 2022
/articles/s41598-020-70825-1,Allergic diseases do not impair the cognitive development of children but do damage the mental health of their caregivers,"In the past 20 years, understanding of the clinical manifestations, aetiopathophysiology, diagnosis and treatment of narcolepsy has greatly advanced. In this Review, Bassetti et al. present these advances, discuss unmet needs and offer future perspectives for the field of narcolepsy.","nature, search, Yu-Chieh Chuang, Ching-Yun Wang, Yu-Jui Huang, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Jun Inamo, Akari Suzuki, Yuta Kochi, Gabriela Corrêa-Castro, Maria Luciana Silva-Freitas, Joanna Reis Santos-Oliveira, Ho-Chang Kuo, Ling-Sai Chang, Liang-Jen Wang, Claudio L. A. Bassetti, Antoine Adamantidis, Yves Dauvilliers, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Daniel Felsky, Tina Roostaei, Philip L. De Jager, Eunha Kim, Jun R. Huh, Gloria B. Choi, R E Frye, J M Sequeira, D A Rossignol, Marius Schwabenland, Omar Mossad, Thomas Blank, Eladio J. Márquez, Cheng-han Chung, Duygu Ucar, Lior Brimberg, Itai Benhar, Daphna Joel, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Harald Prüss, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Catherine J. Wedderburn, Tatum Sevenoaks, Jacqueline Hoare, Richard P. Bazinet, Sophie Layé, Shane Cleary, Grace Teskey, Jane A. Foster, Luca Bosa, Vritika Batura, Aleixo M. Muise, Ye Peng, Lin Zhang, Hein M. Tun, Mariko L. Bennett, F. Chris Bennett, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jacob Barnes, Valeria Mondelli, Carmine M Pariante, Marie-Julie Allard, Antoine Giraud, Guillaume Sebire, Jing Lu, Lei Lu, Erika C. Claud, V T Ramaekers, E V Quadros, J M Sequeira, Z Nademi, M Slatter, A Gennery, Taryn O. Hall, Ian B. Stanaway, David R. Crosslin, Lorenza Putignani, Federica Del Chierico, Bruno Dallapiccola",01 Mar 2022
/articles/s41582-019-0226-9,"Narcolepsy — clinical spectrum, aetiopathophysiology, diagnosis and treatment","In the past 20 years, understanding of the clinical manifestations, aetiopathophysiology, diagnosis and treatment of narcolepsy has greatly advanced. In this Review, Bassetti et al. present these advances, discuss unmet needs and offer future perspectives for the field of narcolepsy.","nature, search, Yu-Chieh Chuang, Ching-Yun Wang, Yu-Jui Huang, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Jun Inamo, Akari Suzuki, Yuta Kochi, Gabriela Corrêa-Castro, Maria Luciana Silva-Freitas, Joanna Reis Santos-Oliveira, Ho-Chang Kuo, Ling-Sai Chang, Liang-Jen Wang, Claudio L. A. Bassetti, Antoine Adamantidis, Yves Dauvilliers, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Daniel Felsky, Tina Roostaei, Philip L. De Jager, Eunha Kim, Jun R. Huh, Gloria B. Choi, R E Frye, J M Sequeira, D A Rossignol, Marius Schwabenland, Omar Mossad, Thomas Blank, Eladio J. Márquez, Cheng-han Chung, Duygu Ucar, Lior Brimberg, Itai Benhar, Daphna Joel, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Harald Prüss, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Catherine J. Wedderburn, Tatum Sevenoaks, Jacqueline Hoare, Richard P. Bazinet, Sophie Layé, Shane Cleary, Grace Teskey, Jane A. Foster, Luca Bosa, Vritika Batura, Aleixo M. Muise, Ye Peng, Lin Zhang, Hein M. Tun, Mariko L. Bennett, F. Chris Bennett, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jacob Barnes, Valeria Mondelli, Carmine M Pariante, Marie-Julie Allard, Antoine Giraud, Guillaume Sebire, Jing Lu, Lei Lu, Erika C. Claud, V T Ramaekers, E V Quadros, J M Sequeira, Z Nademi, M Slatter, A Gennery, Taryn O. Hall, Ian B. Stanaway, David R. Crosslin, Lorenza Putignani, Federica Del Chierico, Bruno Dallapiccola",01 Mar 2022
/articles/s41591-023-02789-4,Long-term and real-world safety and efficacy of retroviral gene therapy for adenosine deaminase deficiency,"Fifteen years’ follow-up of clinical development and real-world data from 43 patients show that gammaretroviral gene therapy for adenosine deaminase deficiency has a positive long-term efficacy profile, warranting continued safety monitoring of patients receiving gene therapy.","nature, search, Yu-Chieh Chuang, Ching-Yun Wang, Yu-Jui Huang, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Jun Inamo, Akari Suzuki, Yuta Kochi, Gabriela Corrêa-Castro, Maria Luciana Silva-Freitas, Joanna Reis Santos-Oliveira, Ho-Chang Kuo, Ling-Sai Chang, Liang-Jen Wang, Claudio L. A. Bassetti, Antoine Adamantidis, Yves Dauvilliers, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Daniel Felsky, Tina Roostaei, Philip L. De Jager, Eunha Kim, Jun R. Huh, Gloria B. Choi, R E Frye, J M Sequeira, D A Rossignol, Marius Schwabenland, Omar Mossad, Thomas Blank, Eladio J. Márquez, Cheng-han Chung, Duygu Ucar, Lior Brimberg, Itai Benhar, Daphna Joel, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Harald Prüss, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Catherine J. Wedderburn, Tatum Sevenoaks, Jacqueline Hoare, Richard P. Bazinet, Sophie Layé, Shane Cleary, Grace Teskey, Jane A. Foster, Luca Bosa, Vritika Batura, Aleixo M. Muise, Ye Peng, Lin Zhang, Hein M. Tun, Mariko L. Bennett, F. Chris Bennett, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jacob Barnes, Valeria Mondelli, Carmine M Pariante, Marie-Julie Allard, Antoine Giraud, Guillaume Sebire, Jing Lu, Lei Lu, Erika C. Claud, V T Ramaekers, E V Quadros, J M Sequeira, Z Nademi, M Slatter, A Gennery, Taryn O. Hall, Ian B. Stanaway, David R. Crosslin, Lorenza Putignani, Federica Del Chierico, Bruno Dallapiccola",01 Mar 2022
/articles/s41467-018-08279-3,Neuropathological correlates and genetic architecture of microglial activation in elderly human brain,The consequences of microglial activation in the aging human brain remain unknown. This study quantified microglial morphology and density in the elderly human brain to show that cortical microglial activation strongly associates with AD pathogenesis and may be an upstream contributor to cognitive decline via the accumulation of tau pathology.,"nature, search, Yu-Chieh Chuang, Ching-Yun Wang, Yu-Jui Huang, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Jun Inamo, Akari Suzuki, Yuta Kochi, Gabriela Corrêa-Castro, Maria Luciana Silva-Freitas, Joanna Reis Santos-Oliveira, Ho-Chang Kuo, Ling-Sai Chang, Liang-Jen Wang, Claudio L. A. Bassetti, Antoine Adamantidis, Yves Dauvilliers, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Daniel Felsky, Tina Roostaei, Philip L. De Jager, Eunha Kim, Jun R. Huh, Gloria B. Choi, R E Frye, J M Sequeira, D A Rossignol, Marius Schwabenland, Omar Mossad, Thomas Blank, Eladio J. Márquez, Cheng-han Chung, Duygu Ucar, Lior Brimberg, Itai Benhar, Daphna Joel, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Harald Prüss, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Catherine J. Wedderburn, Tatum Sevenoaks, Jacqueline Hoare, Richard P. Bazinet, Sophie Layé, Shane Cleary, Grace Teskey, Jane A. Foster, Luca Bosa, Vritika Batura, Aleixo M. Muise, Ye Peng, Lin Zhang, Hein M. Tun, Mariko L. Bennett, F. Chris Bennett, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jacob Barnes, Valeria Mondelli, Carmine M Pariante, Marie-Julie Allard, Antoine Giraud, Guillaume Sebire, Jing Lu, Lei Lu, Erika C. Claud, V T Ramaekers, E V Quadros, J M Sequeira, Z Nademi, M Slatter, A Gennery, Taryn O. Hall, Ian B. Stanaway, David R. Crosslin, Lorenza Putignani, Federica Del Chierico, Bruno Dallapiccola",01 Mar 2022
/articles/s41590-024-01797-x,Prenatal and postnatal neuroimmune interactions in neurodevelopmental disorders,"In this Review, Kim et al. provide an overview of the prenatal immune conditions that contribute to the development of neurodevelopmental disorders and the immunological signatures and disorders associated with neurodevelopmental disorders.","nature, search, Yu-Chieh Chuang, Ching-Yun Wang, Yu-Jui Huang, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Jun Inamo, Akari Suzuki, Yuta Kochi, Gabriela Corrêa-Castro, Maria Luciana Silva-Freitas, Joanna Reis Santos-Oliveira, Ho-Chang Kuo, Ling-Sai Chang, Liang-Jen Wang, Claudio L. A. Bassetti, Antoine Adamantidis, Yves Dauvilliers, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Daniel Felsky, Tina Roostaei, Philip L. De Jager, Eunha Kim, Jun R. Huh, Gloria B. Choi, R E Frye, J M Sequeira, D A Rossignol, Marius Schwabenland, Omar Mossad, Thomas Blank, Eladio J. Márquez, Cheng-han Chung, Duygu Ucar, Lior Brimberg, Itai Benhar, Daphna Joel, Katharina Zerr, Johannes P.-H. Seiler, Oliver Tüscher, Harald Prüss, Masaya Kanahori, Eijiro Shimada, Yasuharu Nakashima, Catherine J. Wedderburn, Tatum Sevenoaks, Jacqueline Hoare, Richard P. Bazinet, Sophie Layé, Shane Cleary, Grace Teskey, Jane A. Foster, Luca Bosa, Vritika Batura, Aleixo M. Muise, Ye Peng, Lin Zhang, Hein M. Tun, Mariko L. Bennett, F. Chris Bennett, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jacob Barnes, Valeria Mondelli, Carmine M Pariante, Marie-Julie Allard, Antoine Giraud, Guillaume Sebire, Jing Lu, Lei Lu, Erika C. Claud, V T Ramaekers, E V Quadros, J M Sequeira, Z Nademi, M Slatter, A Gennery, Taryn O. Hall, Ian B. Stanaway, David R. Crosslin, Lorenza Putignani, Federica Del Chierico, Bruno Dallapiccola",01 Mar 2022
