href,title,description,authors,date_published
/articles/s41598-019-46146-3,Human gut microbiome changes during a 10 week Randomised Control Trial for micronutrient supplementation in children with attention deficit hyperactivity disorder,Faecal metagenomes and machine learning reveal a panel of 31 multikingdom microbiome markers and microbiome functions that are associated with autism spectrum disorder in male and female children.,"nature, search, Aaron J. Stevens, Rachel V. Purcell, Julia J. Rucklidge, Qi Su, Oscar W. H. Wong, Siew C. Ng, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Emma Partiot, Aurélie Hirschler, Raphael Gaudin, Ali I. Mirza, Feng Zhu, Helen Tremlett, Jason D. Braga, Masubon Thongngam, Thanutchaporn Kumrungsee, Marie Lindefeldt, Alexander Eng, Stefanie Prast-Nielsen, X. Jin, Y. Zhang, H. Chang, Hannah E. Davis, Lisa McCorkell, Eric J. Topol, Maya L. Nadimpalli, Val F. Lanza, Amy J. Pickering, Mari E. K. Niemi, Juha Karjalainen, Chloe Donohue, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Ewen Callaway, Kaitlyn Oliphant, Erika C. Claud, Alexander L. Carlson, Kai Xia, Rebecca C. Knickmeyer, Emily Anthes, Po-Chun Wang, Daniyal Rajput, Chun-Chuan Chen, Ying Li, Simin Xu, Zuobin Zhu, David B. Healy, C. Anthony Ryan, Eugene M. Dempsey, Lynne Peeples, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Naoki Saji, Kenta Murotani, Takashi Sakurai, Ye Peng, Lin Zhang, Hein M. Tun, Shijia Li, Jie Song, Kai Wu, Anouk C. Tengeler, Tim L. Emmerzaal, Tamas Kozicz, Tara R. Catron, Adam Swank, Tamara Tal, Tanja Sobko, Suisha Liang, Hein M. Tun, Amrita Vijay, Ana M. Valdes, Jenni M. Mäki, Pirkka V. Kirjavainen, Anne M. Karvonen",12 Jul 2019
/articles/s41564-024-01739-1,Multikingdom and functional gut microbiota markers for autism spectrum disorder,Faecal metagenomes and machine learning reveal a panel of 31 multikingdom microbiome markers and microbiome functions that are associated with autism spectrum disorder in male and female children.,"nature, search, Aaron J. Stevens, Rachel V. Purcell, Julia J. Rucklidge, Qi Su, Oscar W. H. Wong, Siew C. Ng, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Emma Partiot, Aurélie Hirschler, Raphael Gaudin, Ali I. Mirza, Feng Zhu, Helen Tremlett, Jason D. Braga, Masubon Thongngam, Thanutchaporn Kumrungsee, Marie Lindefeldt, Alexander Eng, Stefanie Prast-Nielsen, X. Jin, Y. Zhang, H. Chang, Hannah E. Davis, Lisa McCorkell, Eric J. Topol, Maya L. Nadimpalli, Val F. Lanza, Amy J. Pickering, Mari E. K. Niemi, Juha Karjalainen, Chloe Donohue, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Ewen Callaway, Kaitlyn Oliphant, Erika C. Claud, Alexander L. Carlson, Kai Xia, Rebecca C. Knickmeyer, Emily Anthes, Po-Chun Wang, Daniyal Rajput, Chun-Chuan Chen, Ying Li, Simin Xu, Zuobin Zhu, David B. Healy, C. Anthony Ryan, Eugene M. Dempsey, Lynne Peeples, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Naoki Saji, Kenta Murotani, Takashi Sakurai, Ye Peng, Lin Zhang, Hein M. Tun, Shijia Li, Jie Song, Kai Wu, Anouk C. Tengeler, Tim L. Emmerzaal, Tamas Kozicz, Tara R. Catron, Adam Swank, Tamara Tal, Tanja Sobko, Suisha Liang, Hein M. Tun, Amrita Vijay, Ana M. Valdes, Jenni M. Mäki, Pirkka V. Kirjavainen, Anne M. Karvonen",12 Jul 2019
/articles/s41467-024-49235-8,Effectiveness of nirmatrelvir/ritonavir in children and adolescents aged 12–17 years following SARS-CoV-2 Omicron infection: A target trial emulation,"In this target trial emulation study, the authors evaluate effectiveness of nirmatrelvir/ritonavir in non-hospitalized paediatric patients aged 12–17 years with SARS-CoV-2 Omicron infection and show reduced risks of 28 day all-cause mortality or hospitalization associated with the treatment.","nature, search, Aaron J. Stevens, Rachel V. Purcell, Julia J. Rucklidge, Qi Su, Oscar W. H. Wong, Siew C. Ng, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Emma Partiot, Aurélie Hirschler, Raphael Gaudin, Ali I. Mirza, Feng Zhu, Helen Tremlett, Jason D. Braga, Masubon Thongngam, Thanutchaporn Kumrungsee, Marie Lindefeldt, Alexander Eng, Stefanie Prast-Nielsen, X. Jin, Y. Zhang, H. Chang, Hannah E. Davis, Lisa McCorkell, Eric J. Topol, Maya L. Nadimpalli, Val F. Lanza, Amy J. Pickering, Mari E. K. Niemi, Juha Karjalainen, Chloe Donohue, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Ewen Callaway, Kaitlyn Oliphant, Erika C. Claud, Alexander L. Carlson, Kai Xia, Rebecca C. Knickmeyer, Emily Anthes, Po-Chun Wang, Daniyal Rajput, Chun-Chuan Chen, Ying Li, Simin Xu, Zuobin Zhu, David B. Healy, C. Anthony Ryan, Eugene M. Dempsey, Lynne Peeples, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Naoki Saji, Kenta Murotani, Takashi Sakurai, Ye Peng, Lin Zhang, Hein M. Tun, Shijia Li, Jie Song, Kai Wu, Anouk C. Tengeler, Tim L. Emmerzaal, Tamas Kozicz, Tara R. Catron, Adam Swank, Tamara Tal, Tanja Sobko, Suisha Liang, Hein M. Tun, Amrita Vijay, Ana M. Valdes, Jenni M. Mäki, Pirkka V. Kirjavainen, Anne M. Karvonen",12 Jul 2019
/articles/s41586-021-03710-0,Dysregulation of brain and choroid plexus cell types in severe COVID-19,Single-nucleus transcriptomes of frontal cortex and choroid plexus samples from patients with COVID-19 reveal pathological cell states that are similar to those associated with human neurodegenerative diseases and chronic brain disorders.,"nature, search, Aaron J. Stevens, Rachel V. Purcell, Julia J. Rucklidge, Qi Su, Oscar W. H. Wong, Siew C. Ng, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Emma Partiot, Aurélie Hirschler, Raphael Gaudin, Ali I. Mirza, Feng Zhu, Helen Tremlett, Jason D. Braga, Masubon Thongngam, Thanutchaporn Kumrungsee, Marie Lindefeldt, Alexander Eng, Stefanie Prast-Nielsen, X. Jin, Y. Zhang, H. Chang, Hannah E. Davis, Lisa McCorkell, Eric J. Topol, Maya L. Nadimpalli, Val F. Lanza, Amy J. Pickering, Mari E. K. Niemi, Juha Karjalainen, Chloe Donohue, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Ewen Callaway, Kaitlyn Oliphant, Erika C. Claud, Alexander L. Carlson, Kai Xia, Rebecca C. Knickmeyer, Emily Anthes, Po-Chun Wang, Daniyal Rajput, Chun-Chuan Chen, Ying Li, Simin Xu, Zuobin Zhu, David B. Healy, C. Anthony Ryan, Eugene M. Dempsey, Lynne Peeples, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Naoki Saji, Kenta Murotani, Takashi Sakurai, Ye Peng, Lin Zhang, Hein M. Tun, Shijia Li, Jie Song, Kai Wu, Anouk C. Tengeler, Tim L. Emmerzaal, Tamas Kozicz, Tara R. Catron, Adam Swank, Tamara Tal, Tanja Sobko, Suisha Liang, Hein M. Tun, Amrita Vijay, Ana M. Valdes, Jenni M. Mäki, Pirkka V. Kirjavainen, Anne M. Karvonen",12 Jul 2019
/articles/s41598-024-64313-z,Alcohol consumption during pregnancy differentially affects the fecal microbiota of dams and offspring,The authors use a machine-learning approach to uncover confounding variables in studies that seek to establish an association between the gut microbiota and human disease.,"nature, search, Aaron J. Stevens, Rachel V. Purcell, Julia J. Rucklidge, Qi Su, Oscar W. H. Wong, Siew C. Ng, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Emma Partiot, Aurélie Hirschler, Raphael Gaudin, Ali I. Mirza, Feng Zhu, Helen Tremlett, Jason D. Braga, Masubon Thongngam, Thanutchaporn Kumrungsee, Marie Lindefeldt, Alexander Eng, Stefanie Prast-Nielsen, X. Jin, Y. Zhang, H. Chang, Hannah E. Davis, Lisa McCorkell, Eric J. Topol, Maya L. Nadimpalli, Val F. Lanza, Amy J. Pickering, Mari E. K. Niemi, Juha Karjalainen, Chloe Donohue, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Ewen Callaway, Kaitlyn Oliphant, Erika C. Claud, Alexander L. Carlson, Kai Xia, Rebecca C. Knickmeyer, Emily Anthes, Po-Chun Wang, Daniyal Rajput, Chun-Chuan Chen, Ying Li, Simin Xu, Zuobin Zhu, David B. Healy, C. Anthony Ryan, Eugene M. Dempsey, Lynne Peeples, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Naoki Saji, Kenta Murotani, Takashi Sakurai, Ye Peng, Lin Zhang, Hein M. Tun, Shijia Li, Jie Song, Kai Wu, Anouk C. Tengeler, Tim L. Emmerzaal, Tamas Kozicz, Tara R. Catron, Adam Swank, Tamara Tal, Tanja Sobko, Suisha Liang, Hein M. Tun, Amrita Vijay, Ana M. Valdes, Jenni M. Mäki, Pirkka V. Kirjavainen, Anne M. Karvonen",12 Jul 2019
/articles/s41586-020-2881-9,Host variables confound gut microbiota studies of human disease,The authors use a machine-learning approach to uncover confounding variables in studies that seek to establish an association between the gut microbiota and human disease.,"nature, search, Aaron J. Stevens, Rachel V. Purcell, Julia J. Rucklidge, Qi Su, Oscar W. H. Wong, Siew C. Ng, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Emma Partiot, Aurélie Hirschler, Raphael Gaudin, Ali I. Mirza, Feng Zhu, Helen Tremlett, Jason D. Braga, Masubon Thongngam, Thanutchaporn Kumrungsee, Marie Lindefeldt, Alexander Eng, Stefanie Prast-Nielsen, X. Jin, Y. Zhang, H. Chang, Hannah E. Davis, Lisa McCorkell, Eric J. Topol, Maya L. Nadimpalli, Val F. Lanza, Amy J. Pickering, Mari E. K. Niemi, Juha Karjalainen, Chloe Donohue, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Ewen Callaway, Kaitlyn Oliphant, Erika C. Claud, Alexander L. Carlson, Kai Xia, Rebecca C. Knickmeyer, Emily Anthes, Po-Chun Wang, Daniyal Rajput, Chun-Chuan Chen, Ying Li, Simin Xu, Zuobin Zhu, David B. Healy, C. Anthony Ryan, Eugene M. Dempsey, Lynne Peeples, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Naoki Saji, Kenta Murotani, Takashi Sakurai, Ye Peng, Lin Zhang, Hein M. Tun, Shijia Li, Jie Song, Kai Wu, Anouk C. Tengeler, Tim L. Emmerzaal, Tamas Kozicz, Tara R. Catron, Adam Swank, Tamara Tal, Tanja Sobko, Suisha Liang, Hein M. Tun, Amrita Vijay, Ana M. Valdes, Jenni M. Mäki, Pirkka V. Kirjavainen, Anne M. Karvonen",12 Jul 2019
/articles/s41564-024-01657-2,Brain exposure to SARS-CoV-2 virions perturbs synaptic homeostasis,Exposing cerebral organoids and post-mortem brain explants to SARS-CoV-2 virus particles alters expression of synaptic proteins and potentially affects synaptic function by blocking LPHN3 and FLRT3 synapses.,"nature, search, Aaron J. Stevens, Rachel V. Purcell, Julia J. Rucklidge, Qi Su, Oscar W. H. Wong, Siew C. Ng, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Emma Partiot, Aurélie Hirschler, Raphael Gaudin, Ali I. Mirza, Feng Zhu, Helen Tremlett, Jason D. Braga, Masubon Thongngam, Thanutchaporn Kumrungsee, Marie Lindefeldt, Alexander Eng, Stefanie Prast-Nielsen, X. Jin, Y. Zhang, H. Chang, Hannah E. Davis, Lisa McCorkell, Eric J. Topol, Maya L. Nadimpalli, Val F. Lanza, Amy J. Pickering, Mari E. K. Niemi, Juha Karjalainen, Chloe Donohue, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Ewen Callaway, Kaitlyn Oliphant, Erika C. Claud, Alexander L. Carlson, Kai Xia, Rebecca C. Knickmeyer, Emily Anthes, Po-Chun Wang, Daniyal Rajput, Chun-Chuan Chen, Ying Li, Simin Xu, Zuobin Zhu, David B. Healy, C. Anthony Ryan, Eugene M. Dempsey, Lynne Peeples, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Naoki Saji, Kenta Murotani, Takashi Sakurai, Ye Peng, Lin Zhang, Hein M. Tun, Shijia Li, Jie Song, Kai Wu, Anouk C. Tengeler, Tim L. Emmerzaal, Tamas Kozicz, Tara R. Catron, Adam Swank, Tamara Tal, Tanja Sobko, Suisha Liang, Hein M. Tun, Amrita Vijay, Ana M. Valdes, Jenni M. Mäki, Pirkka V. Kirjavainen, Anne M. Karvonen",12 Jul 2019
/articles/s43856-024-00565-0,Mediterranean diet and associations with the gut microbiota and pediatric-onset multiple sclerosis using trivariate analysis,"Mirza et al. assess the relationship between diet, the gut microbiota, and pediatric-onset multiple sclerosis. They observe that a higher Mediterranean diet score and nutrient intakes, such as fiber, are associated with a lower odds of having multiple sclerosis, and that the gut microbiota might mediate this protective relationship.","nature, search, Aaron J. Stevens, Rachel V. Purcell, Julia J. Rucklidge, Qi Su, Oscar W. H. Wong, Siew C. Ng, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Emma Partiot, Aurélie Hirschler, Raphael Gaudin, Ali I. Mirza, Feng Zhu, Helen Tremlett, Jason D. Braga, Masubon Thongngam, Thanutchaporn Kumrungsee, Marie Lindefeldt, Alexander Eng, Stefanie Prast-Nielsen, X. Jin, Y. Zhang, H. Chang, Hannah E. Davis, Lisa McCorkell, Eric J. Topol, Maya L. Nadimpalli, Val F. Lanza, Amy J. Pickering, Mari E. K. Niemi, Juha Karjalainen, Chloe Donohue, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Ewen Callaway, Kaitlyn Oliphant, Erika C. Claud, Alexander L. Carlson, Kai Xia, Rebecca C. Knickmeyer, Emily Anthes, Po-Chun Wang, Daniyal Rajput, Chun-Chuan Chen, Ying Li, Simin Xu, Zuobin Zhu, David B. Healy, C. Anthony Ryan, Eugene M. Dempsey, Lynne Peeples, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Naoki Saji, Kenta Murotani, Takashi Sakurai, Ye Peng, Lin Zhang, Hein M. Tun, Shijia Li, Jie Song, Kai Wu, Anouk C. Tengeler, Tim L. Emmerzaal, Tamas Kozicz, Tara R. Catron, Adam Swank, Tamara Tal, Tanja Sobko, Suisha Liang, Hein M. Tun, Amrita Vijay, Ana M. Valdes, Jenni M. Mäki, Pirkka V. Kirjavainen, Anne M. Karvonen",12 Jul 2019
/articles/s41538-024-00253-2,Gamma-aminobutyric acid as a potential postbiotic mediator in the gut–brain axis,"Long COVID is an often debilitating illness of severe symptoms that can develop during or following COVID-19. In this Review, Davis, McCorkell, Vogel and Topol explore our knowledge of long COVID and highlight key findings, including potential mechanisms, the overlap with other conditions and potential treatments. They also discuss challenges and recommendations for long COVID research and care.","nature, search, Aaron J. Stevens, Rachel V. Purcell, Julia J. Rucklidge, Qi Su, Oscar W. H. Wong, Siew C. Ng, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Emma Partiot, Aurélie Hirschler, Raphael Gaudin, Ali I. Mirza, Feng Zhu, Helen Tremlett, Jason D. Braga, Masubon Thongngam, Thanutchaporn Kumrungsee, Marie Lindefeldt, Alexander Eng, Stefanie Prast-Nielsen, X. Jin, Y. Zhang, H. Chang, Hannah E. Davis, Lisa McCorkell, Eric J. Topol, Maya L. Nadimpalli, Val F. Lanza, Amy J. Pickering, Mari E. K. Niemi, Juha Karjalainen, Chloe Donohue, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Ewen Callaway, Kaitlyn Oliphant, Erika C. Claud, Alexander L. Carlson, Kai Xia, Rebecca C. Knickmeyer, Emily Anthes, Po-Chun Wang, Daniyal Rajput, Chun-Chuan Chen, Ying Li, Simin Xu, Zuobin Zhu, David B. Healy, C. Anthony Ryan, Eugene M. Dempsey, Lynne Peeples, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Naoki Saji, Kenta Murotani, Takashi Sakurai, Ye Peng, Lin Zhang, Hein M. Tun, Shijia Li, Jie Song, Kai Wu, Anouk C. Tengeler, Tim L. Emmerzaal, Tamas Kozicz, Tara R. Catron, Adam Swank, Tamara Tal, Tanja Sobko, Suisha Liang, Hein M. Tun, Amrita Vijay, Ana M. Valdes, Jenni M. Mäki, Pirkka V. Kirjavainen, Anne M. Karvonen",12 Jul 2019
/articles/s41522-018-0073-2,The ketogenic diet influences taxonomic and functional composition of the gut microbiota in children with severe epilepsy,"Long COVID is an often debilitating illness of severe symptoms that can develop during or following COVID-19. In this Review, Davis, McCorkell, Vogel and Topol explore our knowledge of long COVID and highlight key findings, including potential mechanisms, the overlap with other conditions and potential treatments. They also discuss challenges and recommendations for long COVID research and care.","nature, search, Aaron J. Stevens, Rachel V. Purcell, Julia J. Rucklidge, Qi Su, Oscar W. H. Wong, Siew C. Ng, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Emma Partiot, Aurélie Hirschler, Raphael Gaudin, Ali I. Mirza, Feng Zhu, Helen Tremlett, Jason D. Braga, Masubon Thongngam, Thanutchaporn Kumrungsee, Marie Lindefeldt, Alexander Eng, Stefanie Prast-Nielsen, X. Jin, Y. Zhang, H. Chang, Hannah E. Davis, Lisa McCorkell, Eric J. Topol, Maya L. Nadimpalli, Val F. Lanza, Amy J. Pickering, Mari E. K. Niemi, Juha Karjalainen, Chloe Donohue, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Ewen Callaway, Kaitlyn Oliphant, Erika C. Claud, Alexander L. Carlson, Kai Xia, Rebecca C. Knickmeyer, Emily Anthes, Po-Chun Wang, Daniyal Rajput, Chun-Chuan Chen, Ying Li, Simin Xu, Zuobin Zhu, David B. Healy, C. Anthony Ryan, Eugene M. Dempsey, Lynne Peeples, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Naoki Saji, Kenta Murotani, Takashi Sakurai, Ye Peng, Lin Zhang, Hein M. Tun, Shijia Li, Jie Song, Kai Wu, Anouk C. Tengeler, Tim L. Emmerzaal, Tamas Kozicz, Tara R. Catron, Adam Swank, Tamara Tal, Tanja Sobko, Suisha Liang, Hein M. Tun, Amrita Vijay, Ana M. Valdes, Jenni M. Mäki, Pirkka V. Kirjavainen, Anne M. Karvonen",12 Jul 2019
