href,title,description,authors,date_published
/articles/s41598-024-67835-8,The metabolic role of vitamin D in children’s neurodevelopment: a network study,"Computational drug repurposing models that leverage biomedical knowledge graphs to associate drugs to diseases, are biased to genes. Here, the authors present DREAMwalk, which extends guilt-by-association for multi-layer knowledge graph learning using a semantic information-guided random walk.","nature, search, Margherita De Marzio, Jessica Lasky-Su, Kimberly R. Glass, Dongmin Bang, Sangsoo Lim, Sun Kim, Cathryn M. Delude, A Pandey, N A Davis, B A McKinney, Tyler Fettrow, Kathleen Hupfeld, Rachael Seidler, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Abolfazl Doostparast Torshizi, Kai Wang, Michael R Johnson, Kirill Shkura, Enrico Petretto, Anshul Kundaje, Wouter Meuleman, Manolis Kellis, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jari Turkia, Lauri Mehtätalo, Ville Hautamäki",23 Jul 2024
/articles/s41467-023-39301-y,Biomedical knowledge graph learning for drug repurposing by extending guilt-by-association to multiple layers,"Computational drug repurposing models that leverage biomedical knowledge graphs to associate drugs to diseases, are biased to genes. Here, the authors present DREAMwalk, which extends guilt-by-association for multi-layer knowledge graph learning using a semantic information-guided random walk.","nature, search, Margherita De Marzio, Jessica Lasky-Su, Kimberly R. Glass, Dongmin Bang, Sangsoo Lim, Sun Kim, Cathryn M. Delude, A Pandey, N A Davis, B A McKinney, Tyler Fettrow, Kathleen Hupfeld, Rachael Seidler, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Abolfazl Doostparast Torshizi, Kai Wang, Michael R Johnson, Kirill Shkura, Enrico Petretto, Anshul Kundaje, Wouter Meuleman, Manolis Kellis, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jari Turkia, Lauri Mehtätalo, Ville Hautamäki",23 Jul 2024
/articles/527S14a,Deep phenotyping: The details of disease,"Precision medicine demands precise matching of deep genomic and phenotypic models — and the deeper you go, the more you know.","nature, search, Margherita De Marzio, Jessica Lasky-Su, Kimberly R. Glass, Dongmin Bang, Sangsoo Lim, Sun Kim, Cathryn M. Delude, A Pandey, N A Davis, B A McKinney, Tyler Fettrow, Kathleen Hupfeld, Rachael Seidler, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Abolfazl Doostparast Torshizi, Kai Wang, Michael R Johnson, Kirill Shkura, Enrico Petretto, Anshul Kundaje, Wouter Meuleman, Manolis Kellis, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jari Turkia, Lauri Mehtätalo, Ville Hautamäki",23 Jul 2024
/articles/tp201280,Epistasis network centrality analysis yields pathway replication across two GWAS cohorts for bipolar disorder,"Long colonic transit times are associated with high microbial richness and a shift towards protein catabolism, whilst short transit times are associated with a possible increase in colonic mucosa renewal.","nature, search, Margherita De Marzio, Jessica Lasky-Su, Kimberly R. Glass, Dongmin Bang, Sangsoo Lim, Sun Kim, Cathryn M. Delude, A Pandey, N A Davis, B A McKinney, Tyler Fettrow, Kathleen Hupfeld, Rachael Seidler, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Abolfazl Doostparast Torshizi, Kai Wang, Michael R Johnson, Kirill Shkura, Enrico Petretto, Anshul Kundaje, Wouter Meuleman, Manolis Kellis, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jari Turkia, Lauri Mehtätalo, Ville Hautamäki",23 Jul 2024
/articles/s41598-021-00515-z,Age differences in adaptation of medial-lateral gait parameters during split-belt treadmill walking,"Long colonic transit times are associated with high microbial richness and a shift towards protein catabolism, whilst short transit times are associated with a possible increase in colonic mucosa renewal.","nature, search, Margherita De Marzio, Jessica Lasky-Su, Kimberly R. Glass, Dongmin Bang, Sangsoo Lim, Sun Kim, Cathryn M. Delude, A Pandey, N A Davis, B A McKinney, Tyler Fettrow, Kathleen Hupfeld, Rachael Seidler, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Abolfazl Doostparast Torshizi, Kai Wang, Michael R Johnson, Kirill Shkura, Enrico Petretto, Anshul Kundaje, Wouter Meuleman, Manolis Kellis, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jari Turkia, Lauri Mehtätalo, Ville Hautamäki",23 Jul 2024
/articles/nmicrobiol201693,Colonic transit time is related to bacterial metabolism and mucosal turnover in the gut,"Long colonic transit times are associated with high microbial richness and a shift towards protein catabolism, whilst short transit times are associated with a possible increase in colonic mucosa renewal.","nature, search, Margherita De Marzio, Jessica Lasky-Su, Kimberly R. Glass, Dongmin Bang, Sangsoo Lim, Sun Kim, Cathryn M. Delude, A Pandey, N A Davis, B A McKinney, Tyler Fettrow, Kathleen Hupfeld, Rachael Seidler, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Abolfazl Doostparast Torshizi, Kai Wang, Michael R Johnson, Kirill Shkura, Enrico Petretto, Anshul Kundaje, Wouter Meuleman, Manolis Kellis, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jari Turkia, Lauri Mehtätalo, Ville Hautamäki",23 Jul 2024
/articles/s41467-019-09186-x,Network-based prediction of drug combinations,"Combination therapy holds great promise, but discovery remains challenging. Here, the authors propose a method to identify efficacious drug combinations for specific diseases, and find that successful combinations tend to target separate neighbourhoods of the disease module in the human interactome.","nature, search, Margherita De Marzio, Jessica Lasky-Su, Kimberly R. Glass, Dongmin Bang, Sangsoo Lim, Sun Kim, Cathryn M. Delude, A Pandey, N A Davis, B A McKinney, Tyler Fettrow, Kathleen Hupfeld, Rachael Seidler, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Abolfazl Doostparast Torshizi, Kai Wang, Michael R Johnson, Kirill Shkura, Enrico Petretto, Anshul Kundaje, Wouter Meuleman, Manolis Kellis, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jari Turkia, Lauri Mehtätalo, Ville Hautamäki",23 Jul 2024
/articles/s41540-022-00243-8,Tissue-wide cell-specific proteogenomic modeling reveals novel candidate risk genes in autism spectrum disorders,"Impairment of cognitive function is a common feature of many neurodevelopmental disorders. Systems genetics analysis in the brain uncovered a convergent gene network for both cognition and neurodevelopmental disorders. As the network does not recapitulate known pathways, this finding represents a new basis for understanding factors influencing normal and disordered cognition.","nature, search, Margherita De Marzio, Jessica Lasky-Su, Kimberly R. Glass, Dongmin Bang, Sangsoo Lim, Sun Kim, Cathryn M. Delude, A Pandey, N A Davis, B A McKinney, Tyler Fettrow, Kathleen Hupfeld, Rachael Seidler, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Abolfazl Doostparast Torshizi, Kai Wang, Michael R Johnson, Kirill Shkura, Enrico Petretto, Anshul Kundaje, Wouter Meuleman, Manolis Kellis, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jari Turkia, Lauri Mehtätalo, Ville Hautamäki",23 Jul 2024
/articles/nn.4205,Systems genetics identifies a convergent gene network for cognition and neurodevelopmental disease,"Impairment of cognitive function is a common feature of many neurodevelopmental disorders. Systems genetics analysis in the brain uncovered a convergent gene network for both cognition and neurodevelopmental disorders. As the network does not recapitulate known pathways, this finding represents a new basis for understanding factors influencing normal and disordered cognition.","nature, search, Margherita De Marzio, Jessica Lasky-Su, Kimberly R. Glass, Dongmin Bang, Sangsoo Lim, Sun Kim, Cathryn M. Delude, A Pandey, N A Davis, B A McKinney, Tyler Fettrow, Kathleen Hupfeld, Rachael Seidler, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Abolfazl Doostparast Torshizi, Kai Wang, Michael R Johnson, Kirill Shkura, Enrico Petretto, Anshul Kundaje, Wouter Meuleman, Manolis Kellis, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jari Turkia, Lauri Mehtätalo, Ville Hautamäki",23 Jul 2024
/articles/nature14248,Integrative analysis of 111 reference human epigenomes,"This study describes the integrative analysis of 111 reference human epigenomes, profiled for histone modification patterns, DNA accessibility, DNA methylation and RNA expression; the results annotate candidate regulatory elements in diverse tissues and cell types, their candidate regulators, and the set of human traits for which they show genetic variant enrichment, providing a resource for interpreting the molecular basis of human disease.","nature, search, Margherita De Marzio, Jessica Lasky-Su, Kimberly R. Glass, Dongmin Bang, Sangsoo Lim, Sun Kim, Cathryn M. Delude, A Pandey, N A Davis, B A McKinney, Tyler Fettrow, Kathleen Hupfeld, Rachael Seidler, Henrik M. Roager, Lea B. S. Hansen, Tine R. Licht, Feixiong Cheng, István A. Kovács, Albert-László Barabási, Abolfazl Doostparast Torshizi, Kai Wang, Michael R Johnson, Kirill Shkura, Enrico Petretto, Anshul Kundaje, Wouter Meuleman, Manolis Kellis, Ayami Watanabe, Ami Nakajima, Mitsunori Shiroishi, Brian A Kidd, Aleksandra Wroblewska, Joel T Dudley, Jari Turkia, Lauri Mehtätalo, Ville Hautamäki",23 Jul 2024
