href,title,description,authors,date_published
/articles/s41586-023-06836-5,Author Correction: Single-cell brain organoid screening identifies developmental defects in autism,We develop a high-throughput CRISPR screening system in cerebral organoids and identify vulnerable cell types and gene regulatory networks associated with autism spectrum disorder from single-cell transcriptomes and chromatin modalities.,"nature, search, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Heather Wood, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Elaine T. Lim, Yingleong Chan, George M. Church, Natasha Bray, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Duyen T. Bui, Anh N. V. Ton, Tuan A. Cao, Sarah Webb, Stetson Thacker, Charis Eng, Margot Gunning, Paul Pavlidis, Haitham Amal, Boaz Barak, Steven R. Tannenbaum, Aaron Bouchie, Laura DeFrancesco, Sarah Webb, Andrew J. Waters, Timothy Brendler-Spaeth, David J. Adams, Bernardo Aguzzoli Heberle, J. Anthony Brandon, Mark T. W. Ebbert, Yimu Zhao, Shira Landau, Milica Radisic, Jingxuan Xu, Xiang Xu, Hebing Chen, Ann-Na Cho, Yoonhee Jin, Seung-Woo Cho, Claudio Peter D’Incal, Elisa Cappuyns, Wim Vanden Berghe, María Bunuales, Angeles Garduno, Ruben Hernandez-Alcoceba, Cyril J. Peter, Atsushi Saito, Atsushi Kamiya, Tatsuya Osaki, Tomoya Duenki, Yoshiho Ikeuchi, Jonah Langlieb, Nina S. Sachdev, Evan Z. Macosko, Bram Servais, Negar Mahmoudi, David Collins, Yutaro Shuto, Ryoya Nakagawa, Osamu Nureki, Yvaine Ye, Nilanjana Dutta, Mahasweta Chatterjee, Kanchan Mukhopadhyay, Karim Rahimi, Morten T. Venø, Jørgen Kjems, Catarina Rebelo, Tiago Reis, Lino Ferreira, Emily C. Wheeler, Anthony Q. Vu, Gene W. Yeo, Francesco Trovato, Riccardo Parra, Gian Michele Ratto, Yang Cao, Huachun Liu, Bryan C. Dickinson, Wenliang Zhu, Boya Zhang, Baoyang Hu, Anqi Zhang, Yuanwen Jiang, Karl Deisseroth, Pay Giesselmann, Björn Brändl, Franz-Josef Müller, Simon Haziza, Nitin Mohan, Michel Simonneau, Junyi Zou, Koushambi Mitra, Yamuna Krishnan, Simon A. Hardwick, Wen Hu, Hagen U. Tilgner, Douglas Yao, Loic Binan, Brian Cleary, Halil Tekin, Sean Simmons, Feng Zhang, Xinhong Chen, Damien A. Wolfe, Viviana Gradinaru, Ludwig Geistlinger, Chloe Mirzayi, Levi Waldron, Amy Maxmen, Ken Garber, Jessica Wright, Nick Petrić Howe, Shamini Bundell, Craig Mak, Santiago G. Lago, Jakub Tomasik, Sabine Bahn",14 Nov 2023
/articles/s41582-019-0219-8,Novel insights into autism from single-cell genomics,We develop a high-throughput CRISPR screening system in cerebral organoids and identify vulnerable cell types and gene regulatory networks associated with autism spectrum disorder from single-cell transcriptomes and chromatin modalities.,"nature, search, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Heather Wood, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Elaine T. Lim, Yingleong Chan, George M. Church, Natasha Bray, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Duyen T. Bui, Anh N. V. Ton, Tuan A. Cao, Sarah Webb, Stetson Thacker, Charis Eng, Margot Gunning, Paul Pavlidis, Haitham Amal, Boaz Barak, Steven R. Tannenbaum, Aaron Bouchie, Laura DeFrancesco, Sarah Webb, Andrew J. Waters, Timothy Brendler-Spaeth, David J. Adams, Bernardo Aguzzoli Heberle, J. Anthony Brandon, Mark T. W. Ebbert, Yimu Zhao, Shira Landau, Milica Radisic, Jingxuan Xu, Xiang Xu, Hebing Chen, Ann-Na Cho, Yoonhee Jin, Seung-Woo Cho, Claudio Peter D’Incal, Elisa Cappuyns, Wim Vanden Berghe, María Bunuales, Angeles Garduno, Ruben Hernandez-Alcoceba, Cyril J. Peter, Atsushi Saito, Atsushi Kamiya, Tatsuya Osaki, Tomoya Duenki, Yoshiho Ikeuchi, Jonah Langlieb, Nina S. Sachdev, Evan Z. Macosko, Bram Servais, Negar Mahmoudi, David Collins, Yutaro Shuto, Ryoya Nakagawa, Osamu Nureki, Yvaine Ye, Nilanjana Dutta, Mahasweta Chatterjee, Kanchan Mukhopadhyay, Karim Rahimi, Morten T. Venø, Jørgen Kjems, Catarina Rebelo, Tiago Reis, Lino Ferreira, Emily C. Wheeler, Anthony Q. Vu, Gene W. Yeo, Francesco Trovato, Riccardo Parra, Gian Michele Ratto, Yang Cao, Huachun Liu, Bryan C. Dickinson, Wenliang Zhu, Boya Zhang, Baoyang Hu, Anqi Zhang, Yuanwen Jiang, Karl Deisseroth, Pay Giesselmann, Björn Brändl, Franz-Josef Müller, Simon Haziza, Nitin Mohan, Michel Simonneau, Junyi Zou, Koushambi Mitra, Yamuna Krishnan, Simon A. Hardwick, Wen Hu, Hagen U. Tilgner, Douglas Yao, Loic Binan, Brian Cleary, Halil Tekin, Sean Simmons, Feng Zhang, Xinhong Chen, Damien A. Wolfe, Viviana Gradinaru, Ludwig Geistlinger, Chloe Mirzayi, Levi Waldron, Amy Maxmen, Ken Garber, Jessica Wright, Nick Petrić Howe, Shamini Bundell, Craig Mak, Santiago G. Lago, Jakub Tomasik, Sabine Bahn",14 Nov 2023
/articles/nbt0416-364,Autism DNA hub opens,We develop a high-throughput CRISPR screening system in cerebral organoids and identify vulnerable cell types and gene regulatory networks associated with autism spectrum disorder from single-cell transcriptomes and chromatin modalities.,"nature, search, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Heather Wood, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Elaine T. Lim, Yingleong Chan, George M. Church, Natasha Bray, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Duyen T. Bui, Anh N. V. Ton, Tuan A. Cao, Sarah Webb, Stetson Thacker, Charis Eng, Margot Gunning, Paul Pavlidis, Haitham Amal, Boaz Barak, Steven R. Tannenbaum, Aaron Bouchie, Laura DeFrancesco, Sarah Webb, Andrew J. Waters, Timothy Brendler-Spaeth, David J. Adams, Bernardo Aguzzoli Heberle, J. Anthony Brandon, Mark T. W. Ebbert, Yimu Zhao, Shira Landau, Milica Radisic, Jingxuan Xu, Xiang Xu, Hebing Chen, Ann-Na Cho, Yoonhee Jin, Seung-Woo Cho, Claudio Peter D’Incal, Elisa Cappuyns, Wim Vanden Berghe, María Bunuales, Angeles Garduno, Ruben Hernandez-Alcoceba, Cyril J. Peter, Atsushi Saito, Atsushi Kamiya, Tatsuya Osaki, Tomoya Duenki, Yoshiho Ikeuchi, Jonah Langlieb, Nina S. Sachdev, Evan Z. Macosko, Bram Servais, Negar Mahmoudi, David Collins, Yutaro Shuto, Ryoya Nakagawa, Osamu Nureki, Yvaine Ye, Nilanjana Dutta, Mahasweta Chatterjee, Kanchan Mukhopadhyay, Karim Rahimi, Morten T. Venø, Jørgen Kjems, Catarina Rebelo, Tiago Reis, Lino Ferreira, Emily C. Wheeler, Anthony Q. Vu, Gene W. Yeo, Francesco Trovato, Riccardo Parra, Gian Michele Ratto, Yang Cao, Huachun Liu, Bryan C. Dickinson, Wenliang Zhu, Boya Zhang, Baoyang Hu, Anqi Zhang, Yuanwen Jiang, Karl Deisseroth, Pay Giesselmann, Björn Brändl, Franz-Josef Müller, Simon Haziza, Nitin Mohan, Michel Simonneau, Junyi Zou, Koushambi Mitra, Yamuna Krishnan, Simon A. Hardwick, Wen Hu, Hagen U. Tilgner, Douglas Yao, Loic Binan, Brian Cleary, Halil Tekin, Sean Simmons, Feng Zhang, Xinhong Chen, Damien A. Wolfe, Viviana Gradinaru, Ludwig Geistlinger, Chloe Mirzayi, Levi Waldron, Amy Maxmen, Ken Garber, Jessica Wright, Nick Petrić Howe, Shamini Bundell, Craig Mak, Santiago G. Lago, Jakub Tomasik, Sabine Bahn",14 Nov 2023
/articles/s41586-023-06473-y,Single-cell brain organoid screening identifies developmental defects in autism,We develop a high-throughput CRISPR screening system in cerebral organoids and identify vulnerable cell types and gene regulatory networks associated with autism spectrum disorder from single-cell transcriptomes and chromatin modalities.,"nature, search, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Heather Wood, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Elaine T. Lim, Yingleong Chan, George M. Church, Natasha Bray, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Duyen T. Bui, Anh N. V. Ton, Tuan A. Cao, Sarah Webb, Stetson Thacker, Charis Eng, Margot Gunning, Paul Pavlidis, Haitham Amal, Boaz Barak, Steven R. Tannenbaum, Aaron Bouchie, Laura DeFrancesco, Sarah Webb, Andrew J. Waters, Timothy Brendler-Spaeth, David J. Adams, Bernardo Aguzzoli Heberle, J. Anthony Brandon, Mark T. W. Ebbert, Yimu Zhao, Shira Landau, Milica Radisic, Jingxuan Xu, Xiang Xu, Hebing Chen, Ann-Na Cho, Yoonhee Jin, Seung-Woo Cho, Claudio Peter D’Incal, Elisa Cappuyns, Wim Vanden Berghe, María Bunuales, Angeles Garduno, Ruben Hernandez-Alcoceba, Cyril J. Peter, Atsushi Saito, Atsushi Kamiya, Tatsuya Osaki, Tomoya Duenki, Yoshiho Ikeuchi, Jonah Langlieb, Nina S. Sachdev, Evan Z. Macosko, Bram Servais, Negar Mahmoudi, David Collins, Yutaro Shuto, Ryoya Nakagawa, Osamu Nureki, Yvaine Ye, Nilanjana Dutta, Mahasweta Chatterjee, Kanchan Mukhopadhyay, Karim Rahimi, Morten T. Venø, Jørgen Kjems, Catarina Rebelo, Tiago Reis, Lino Ferreira, Emily C. Wheeler, Anthony Q. Vu, Gene W. Yeo, Francesco Trovato, Riccardo Parra, Gian Michele Ratto, Yang Cao, Huachun Liu, Bryan C. Dickinson, Wenliang Zhu, Boya Zhang, Baoyang Hu, Anqi Zhang, Yuanwen Jiang, Karl Deisseroth, Pay Giesselmann, Björn Brändl, Franz-Josef Müller, Simon Haziza, Nitin Mohan, Michel Simonneau, Junyi Zou, Koushambi Mitra, Yamuna Krishnan, Simon A. Hardwick, Wen Hu, Hagen U. Tilgner, Douglas Yao, Loic Binan, Brian Cleary, Halil Tekin, Sean Simmons, Feng Zhang, Xinhong Chen, Damien A. Wolfe, Viviana Gradinaru, Ludwig Geistlinger, Chloe Mirzayi, Levi Waldron, Amy Maxmen, Ken Garber, Jessica Wright, Nick Petrić Howe, Shamini Bundell, Craig Mak, Santiago G. Lago, Jakub Tomasik, Sabine Bahn",14 Nov 2023
/articles/s41467-022-30968-3,Orgo-Seq integrates single-cell and bulk transcriptomic data to identify cell type specific-driver genes associated with autism spectrum disorder,Cerebral organoids can be used to gain insights into neuropsychiatric disorders. Here the authors carry out RNAseq characterization from organoids derived from donors with autism spectrum disorder to identify associated cell type specific driver genes.,"nature, search, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Heather Wood, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Elaine T. Lim, Yingleong Chan, George M. Church, Natasha Bray, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Duyen T. Bui, Anh N. V. Ton, Tuan A. Cao, Sarah Webb, Stetson Thacker, Charis Eng, Margot Gunning, Paul Pavlidis, Haitham Amal, Boaz Barak, Steven R. Tannenbaum, Aaron Bouchie, Laura DeFrancesco, Sarah Webb, Andrew J. Waters, Timothy Brendler-Spaeth, David J. Adams, Bernardo Aguzzoli Heberle, J. Anthony Brandon, Mark T. W. Ebbert, Yimu Zhao, Shira Landau, Milica Radisic, Jingxuan Xu, Xiang Xu, Hebing Chen, Ann-Na Cho, Yoonhee Jin, Seung-Woo Cho, Claudio Peter D’Incal, Elisa Cappuyns, Wim Vanden Berghe, María Bunuales, Angeles Garduno, Ruben Hernandez-Alcoceba, Cyril J. Peter, Atsushi Saito, Atsushi Kamiya, Tatsuya Osaki, Tomoya Duenki, Yoshiho Ikeuchi, Jonah Langlieb, Nina S. Sachdev, Evan Z. Macosko, Bram Servais, Negar Mahmoudi, David Collins, Yutaro Shuto, Ryoya Nakagawa, Osamu Nureki, Yvaine Ye, Nilanjana Dutta, Mahasweta Chatterjee, Kanchan Mukhopadhyay, Karim Rahimi, Morten T. Venø, Jørgen Kjems, Catarina Rebelo, Tiago Reis, Lino Ferreira, Emily C. Wheeler, Anthony Q. Vu, Gene W. Yeo, Francesco Trovato, Riccardo Parra, Gian Michele Ratto, Yang Cao, Huachun Liu, Bryan C. Dickinson, Wenliang Zhu, Boya Zhang, Baoyang Hu, Anqi Zhang, Yuanwen Jiang, Karl Deisseroth, Pay Giesselmann, Björn Brändl, Franz-Josef Müller, Simon Haziza, Nitin Mohan, Michel Simonneau, Junyi Zou, Koushambi Mitra, Yamuna Krishnan, Simon A. Hardwick, Wen Hu, Hagen U. Tilgner, Douglas Yao, Loic Binan, Brian Cleary, Halil Tekin, Sean Simmons, Feng Zhang, Xinhong Chen, Damien A. Wolfe, Viviana Gradinaru, Ludwig Geistlinger, Chloe Mirzayi, Levi Waldron, Amy Maxmen, Ken Garber, Jessica Wright, Nick Petrić Howe, Shamini Bundell, Craig Mak, Santiago G. Lago, Jakub Tomasik, Sabine Bahn",14 Nov 2023
/articles/nrn.2016.184,Converging on autism spectrum disorder,"A characterization of transcriptomic changes in autism spectrum disorder points to shared cortical alterations that result in profound changes in neuronal gene transcription, long non-coding RNA transcription, cortical patterning and glial function.","nature, search, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Heather Wood, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Elaine T. Lim, Yingleong Chan, George M. Church, Natasha Bray, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Duyen T. Bui, Anh N. V. Ton, Tuan A. Cao, Sarah Webb, Stetson Thacker, Charis Eng, Margot Gunning, Paul Pavlidis, Haitham Amal, Boaz Barak, Steven R. Tannenbaum, Aaron Bouchie, Laura DeFrancesco, Sarah Webb, Andrew J. Waters, Timothy Brendler-Spaeth, David J. Adams, Bernardo Aguzzoli Heberle, J. Anthony Brandon, Mark T. W. Ebbert, Yimu Zhao, Shira Landau, Milica Radisic, Jingxuan Xu, Xiang Xu, Hebing Chen, Ann-Na Cho, Yoonhee Jin, Seung-Woo Cho, Claudio Peter D’Incal, Elisa Cappuyns, Wim Vanden Berghe, María Bunuales, Angeles Garduno, Ruben Hernandez-Alcoceba, Cyril J. Peter, Atsushi Saito, Atsushi Kamiya, Tatsuya Osaki, Tomoya Duenki, Yoshiho Ikeuchi, Jonah Langlieb, Nina S. Sachdev, Evan Z. Macosko, Bram Servais, Negar Mahmoudi, David Collins, Yutaro Shuto, Ryoya Nakagawa, Osamu Nureki, Yvaine Ye, Nilanjana Dutta, Mahasweta Chatterjee, Kanchan Mukhopadhyay, Karim Rahimi, Morten T. Venø, Jørgen Kjems, Catarina Rebelo, Tiago Reis, Lino Ferreira, Emily C. Wheeler, Anthony Q. Vu, Gene W. Yeo, Francesco Trovato, Riccardo Parra, Gian Michele Ratto, Yang Cao, Huachun Liu, Bryan C. Dickinson, Wenliang Zhu, Boya Zhang, Baoyang Hu, Anqi Zhang, Yuanwen Jiang, Karl Deisseroth, Pay Giesselmann, Björn Brändl, Franz-Josef Müller, Simon Haziza, Nitin Mohan, Michel Simonneau, Junyi Zou, Koushambi Mitra, Yamuna Krishnan, Simon A. Hardwick, Wen Hu, Hagen U. Tilgner, Douglas Yao, Loic Binan, Brian Cleary, Halil Tekin, Sean Simmons, Feng Zhang, Xinhong Chen, Damien A. Wolfe, Viviana Gradinaru, Ludwig Geistlinger, Chloe Mirzayi, Levi Waldron, Amy Maxmen, Ken Garber, Jessica Wright, Nick Petrić Howe, Shamini Bundell, Craig Mak, Santiago G. Lago, Jakub Tomasik, Sabine Bahn",14 Nov 2023
/articles/ejhg201566,"A de novo FOXP1 variant in a patient with autism, intellectual disability and severe speech and language impairment","With monogenetic neurodevelopmental disorders similar to autism serving as starting points for several drug discovery programs, smaller biotechs are now joining big pharma in pursuing therapies to tackle this perplexing condition. Sarah Webb reports.","nature, search, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Heather Wood, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Elaine T. Lim, Yingleong Chan, George M. Church, Natasha Bray, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Duyen T. Bui, Anh N. V. Ton, Tuan A. Cao, Sarah Webb, Stetson Thacker, Charis Eng, Margot Gunning, Paul Pavlidis, Haitham Amal, Boaz Barak, Steven R. Tannenbaum, Aaron Bouchie, Laura DeFrancesco, Sarah Webb, Andrew J. Waters, Timothy Brendler-Spaeth, David J. Adams, Bernardo Aguzzoli Heberle, J. Anthony Brandon, Mark T. W. Ebbert, Yimu Zhao, Shira Landau, Milica Radisic, Jingxuan Xu, Xiang Xu, Hebing Chen, Ann-Na Cho, Yoonhee Jin, Seung-Woo Cho, Claudio Peter D’Incal, Elisa Cappuyns, Wim Vanden Berghe, María Bunuales, Angeles Garduno, Ruben Hernandez-Alcoceba, Cyril J. Peter, Atsushi Saito, Atsushi Kamiya, Tatsuya Osaki, Tomoya Duenki, Yoshiho Ikeuchi, Jonah Langlieb, Nina S. Sachdev, Evan Z. Macosko, Bram Servais, Negar Mahmoudi, David Collins, Yutaro Shuto, Ryoya Nakagawa, Osamu Nureki, Yvaine Ye, Nilanjana Dutta, Mahasweta Chatterjee, Kanchan Mukhopadhyay, Karim Rahimi, Morten T. Venø, Jørgen Kjems, Catarina Rebelo, Tiago Reis, Lino Ferreira, Emily C. Wheeler, Anthony Q. Vu, Gene W. Yeo, Francesco Trovato, Riccardo Parra, Gian Michele Ratto, Yang Cao, Huachun Liu, Bryan C. Dickinson, Wenliang Zhu, Boya Zhang, Baoyang Hu, Anqi Zhang, Yuanwen Jiang, Karl Deisseroth, Pay Giesselmann, Björn Brändl, Franz-Josef Müller, Simon Haziza, Nitin Mohan, Michel Simonneau, Junyi Zou, Koushambi Mitra, Yamuna Krishnan, Simon A. Hardwick, Wen Hu, Hagen U. Tilgner, Douglas Yao, Loic Binan, Brian Cleary, Halil Tekin, Sean Simmons, Feng Zhang, Xinhong Chen, Damien A. Wolfe, Viviana Gradinaru, Ludwig Geistlinger, Chloe Mirzayi, Levi Waldron, Amy Maxmen, Ken Garber, Jessica Wright, Nick Petrić Howe, Shamini Bundell, Craig Mak, Santiago G. Lago, Jakub Tomasik, Sabine Bahn",14 Nov 2023
/articles/s41598-024-52777-y,Pathogenic/likely pathogenic mutations identified in Vietnamese children diagnosed with autism spectrum disorder using high-resolution SNP genotyping platform,"With monogenetic neurodevelopmental disorders similar to autism serving as starting points for several drug discovery programs, smaller biotechs are now joining big pharma in pursuing therapies to tackle this perplexing condition. Sarah Webb reports.","nature, search, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Heather Wood, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Elaine T. Lim, Yingleong Chan, George M. Church, Natasha Bray, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Duyen T. Bui, Anh N. V. Ton, Tuan A. Cao, Sarah Webb, Stetson Thacker, Charis Eng, Margot Gunning, Paul Pavlidis, Haitham Amal, Boaz Barak, Steven R. Tannenbaum, Aaron Bouchie, Laura DeFrancesco, Sarah Webb, Andrew J. Waters, Timothy Brendler-Spaeth, David J. Adams, Bernardo Aguzzoli Heberle, J. Anthony Brandon, Mark T. W. Ebbert, Yimu Zhao, Shira Landau, Milica Radisic, Jingxuan Xu, Xiang Xu, Hebing Chen, Ann-Na Cho, Yoonhee Jin, Seung-Woo Cho, Claudio Peter D’Incal, Elisa Cappuyns, Wim Vanden Berghe, María Bunuales, Angeles Garduno, Ruben Hernandez-Alcoceba, Cyril J. Peter, Atsushi Saito, Atsushi Kamiya, Tatsuya Osaki, Tomoya Duenki, Yoshiho Ikeuchi, Jonah Langlieb, Nina S. Sachdev, Evan Z. Macosko, Bram Servais, Negar Mahmoudi, David Collins, Yutaro Shuto, Ryoya Nakagawa, Osamu Nureki, Yvaine Ye, Nilanjana Dutta, Mahasweta Chatterjee, Kanchan Mukhopadhyay, Karim Rahimi, Morten T. Venø, Jørgen Kjems, Catarina Rebelo, Tiago Reis, Lino Ferreira, Emily C. Wheeler, Anthony Q. Vu, Gene W. Yeo, Francesco Trovato, Riccardo Parra, Gian Michele Ratto, Yang Cao, Huachun Liu, Bryan C. Dickinson, Wenliang Zhu, Boya Zhang, Baoyang Hu, Anqi Zhang, Yuanwen Jiang, Karl Deisseroth, Pay Giesselmann, Björn Brändl, Franz-Josef Müller, Simon Haziza, Nitin Mohan, Michel Simonneau, Junyi Zou, Koushambi Mitra, Yamuna Krishnan, Simon A. Hardwick, Wen Hu, Hagen U. Tilgner, Douglas Yao, Loic Binan, Brian Cleary, Halil Tekin, Sean Simmons, Feng Zhang, Xinhong Chen, Damien A. Wolfe, Viviana Gradinaru, Ludwig Geistlinger, Chloe Mirzayi, Levi Waldron, Amy Maxmen, Ken Garber, Jessica Wright, Nick Petrić Howe, Shamini Bundell, Craig Mak, Santiago G. Lago, Jakub Tomasik, Sabine Bahn",14 Nov 2023
/articles/nbt0810-772,Drugmakers dance with autism,"With monogenetic neurodevelopmental disorders similar to autism serving as starting points for several drug discovery programs, smaller biotechs are now joining big pharma in pursuing therapies to tackle this perplexing condition. Sarah Webb reports.","nature, search, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Heather Wood, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Elaine T. Lim, Yingleong Chan, George M. Church, Natasha Bray, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Duyen T. Bui, Anh N. V. Ton, Tuan A. Cao, Sarah Webb, Stetson Thacker, Charis Eng, Margot Gunning, Paul Pavlidis, Haitham Amal, Boaz Barak, Steven R. Tannenbaum, Aaron Bouchie, Laura DeFrancesco, Sarah Webb, Andrew J. Waters, Timothy Brendler-Spaeth, David J. Adams, Bernardo Aguzzoli Heberle, J. Anthony Brandon, Mark T. W. Ebbert, Yimu Zhao, Shira Landau, Milica Radisic, Jingxuan Xu, Xiang Xu, Hebing Chen, Ann-Na Cho, Yoonhee Jin, Seung-Woo Cho, Claudio Peter D’Incal, Elisa Cappuyns, Wim Vanden Berghe, María Bunuales, Angeles Garduno, Ruben Hernandez-Alcoceba, Cyril J. Peter, Atsushi Saito, Atsushi Kamiya, Tatsuya Osaki, Tomoya Duenki, Yoshiho Ikeuchi, Jonah Langlieb, Nina S. Sachdev, Evan Z. Macosko, Bram Servais, Negar Mahmoudi, David Collins, Yutaro Shuto, Ryoya Nakagawa, Osamu Nureki, Yvaine Ye, Nilanjana Dutta, Mahasweta Chatterjee, Kanchan Mukhopadhyay, Karim Rahimi, Morten T. Venø, Jørgen Kjems, Catarina Rebelo, Tiago Reis, Lino Ferreira, Emily C. Wheeler, Anthony Q. Vu, Gene W. Yeo, Francesco Trovato, Riccardo Parra, Gian Michele Ratto, Yang Cao, Huachun Liu, Bryan C. Dickinson, Wenliang Zhu, Boya Zhang, Baoyang Hu, Anqi Zhang, Yuanwen Jiang, Karl Deisseroth, Pay Giesselmann, Björn Brändl, Franz-Josef Müller, Simon Haziza, Nitin Mohan, Michel Simonneau, Junyi Zou, Koushambi Mitra, Yamuna Krishnan, Simon A. Hardwick, Wen Hu, Hagen U. Tilgner, Douglas Yao, Loic Binan, Brian Cleary, Halil Tekin, Sean Simmons, Feng Zhang, Xinhong Chen, Damien A. Wolfe, Viviana Gradinaru, Ludwig Geistlinger, Chloe Mirzayi, Levi Waldron, Amy Maxmen, Ken Garber, Jessica Wright, Nick Petrić Howe, Shamini Bundell, Craig Mak, Santiago G. Lago, Jakub Tomasik, Sabine Bahn",14 Nov 2023
/articles/s41525-021-00201-z,Transcriptome-(phospho)proteome characterization of brain of a germline model of cytoplasmic-predominant Pten expression with autism-like phenotypes,"Our annual survey highlights several academic startups developing immunotherapies as well as ventures focusing on microbiomes, proteostasis, integrin biology, nucleic acid delivery and subcellular imaging.","nature, search, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Heather Wood, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Elaine T. Lim, Yingleong Chan, George M. Church, Natasha Bray, Reymundo Lozano, Arianna Vino, Pelagia Deriziotis, Duyen T. Bui, Anh N. V. Ton, Tuan A. Cao, Sarah Webb, Stetson Thacker, Charis Eng, Margot Gunning, Paul Pavlidis, Haitham Amal, Boaz Barak, Steven R. Tannenbaum, Aaron Bouchie, Laura DeFrancesco, Sarah Webb, Andrew J. Waters, Timothy Brendler-Spaeth, David J. Adams, Bernardo Aguzzoli Heberle, J. Anthony Brandon, Mark T. W. Ebbert, Yimu Zhao, Shira Landau, Milica Radisic, Jingxuan Xu, Xiang Xu, Hebing Chen, Ann-Na Cho, Yoonhee Jin, Seung-Woo Cho, Claudio Peter D’Incal, Elisa Cappuyns, Wim Vanden Berghe, María Bunuales, Angeles Garduno, Ruben Hernandez-Alcoceba, Cyril J. Peter, Atsushi Saito, Atsushi Kamiya, Tatsuya Osaki, Tomoya Duenki, Yoshiho Ikeuchi, Jonah Langlieb, Nina S. Sachdev, Evan Z. Macosko, Bram Servais, Negar Mahmoudi, David Collins, Yutaro Shuto, Ryoya Nakagawa, Osamu Nureki, Yvaine Ye, Nilanjana Dutta, Mahasweta Chatterjee, Kanchan Mukhopadhyay, Karim Rahimi, Morten T. Venø, Jørgen Kjems, Catarina Rebelo, Tiago Reis, Lino Ferreira, Emily C. Wheeler, Anthony Q. Vu, Gene W. Yeo, Francesco Trovato, Riccardo Parra, Gian Michele Ratto, Yang Cao, Huachun Liu, Bryan C. Dickinson, Wenliang Zhu, Boya Zhang, Baoyang Hu, Anqi Zhang, Yuanwen Jiang, Karl Deisseroth, Pay Giesselmann, Björn Brändl, Franz-Josef Müller, Simon Haziza, Nitin Mohan, Michel Simonneau, Junyi Zou, Koushambi Mitra, Yamuna Krishnan, Simon A. Hardwick, Wen Hu, Hagen U. Tilgner, Douglas Yao, Loic Binan, Brian Cleary, Halil Tekin, Sean Simmons, Feng Zhang, Xinhong Chen, Damien A. Wolfe, Viviana Gradinaru, Ludwig Geistlinger, Chloe Mirzayi, Levi Waldron, Amy Maxmen, Ken Garber, Jessica Wright, Nick Petrić Howe, Shamini Bundell, Craig Mak, Santiago G. Lago, Jakub Tomasik, Sabine Bahn",14 Nov 2023
