href,title,description,authors,date_published
/articles/s41572-020-0146-4,Autism spectrum disorder,"This PrimeView summarizes the management of autism spectrum disorder, a neurodevelopmental disorder that typically manifests in childhood.","nature, search, Kuaikuai Duan, Lisa Eyler, Eric Courchesne, Ilona van de Meent, Lisanne Koomen, Wiepke Cahn, Sigridur Loa Jonsdottir, Evald Saemundsen, Vilhjalmur Rafnsson, Heta Pukki, Jelte Wieting, Madita Vanessa Baumann, Maximilian Deest, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Xiaoyu Tong, Hua Xie, Yu Zhang, Sarah Lemprière, Gina Green, Russell Lang, Jason Travers, Jasper van Haasteren, Hemi Malkki, Pierre Ellul, Anna Maruani, Richard Delorme, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Herb Brody, Abhay Sharma, Hemi Malkki, Elliott Rees, Hugo D. J. Creeth, Michael C. O’Donovan, Veronica Mandelli, Isotta Landi, Michael V. Lombardo, Judit Cabana-Domínguez, Rosa Bosch, Marta Ribasés, Juan Carlos López, Louisa Flintoft, Sian Lewis, Danny Antaki, James Guevara, Jonathan Sebat, Luye Qin, Kaijie Ma, Zhen Yan, Varun Warrier, David M. Greenberg, Simon Baron-Cohen, Karen  O’Leary, Lori A. Orosco, Adam P. Ross, Konstantinos S Zarbalis, Ursula Hofer, Heather Wood, Varun Warrier, Xinhe Zhang, Simon Baron-Cohen, Tiago Faial, Meri Mkhitaryan, Tamara Avetisyan, Konstantin Yenkoyan, Catherine J. Stoodley, Anila M. D’Mello, Peter T. Tsai, Josephine E. Haddon, Daniel Titherage, Matthew W. Jones, Qian Wang, Ying Kong, Tian-Ming Gao, Kaustubh Supekar, Srikanth Ryali, Vinod Menon, Kyle Jasmin, Alex Martin, Stephen J. Gotts",16 Jan 2020
/articles/s41467-024-48952-4,Differences in regional brain structure in toddlers with autism are related to future language outcomes,"Identifying prognostic early-age brain disruptions is crucial for autism. Here the authors show that social, language and face regions are disrupted in autistic toddlers, and anatomic measures of them improve accuracy in predicting future language ability.","nature, search, Kuaikuai Duan, Lisa Eyler, Eric Courchesne, Ilona van de Meent, Lisanne Koomen, Wiepke Cahn, Sigridur Loa Jonsdottir, Evald Saemundsen, Vilhjalmur Rafnsson, Heta Pukki, Jelte Wieting, Madita Vanessa Baumann, Maximilian Deest, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Xiaoyu Tong, Hua Xie, Yu Zhang, Sarah Lemprière, Gina Green, Russell Lang, Jason Travers, Jasper van Haasteren, Hemi Malkki, Pierre Ellul, Anna Maruani, Richard Delorme, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Herb Brody, Abhay Sharma, Hemi Malkki, Elliott Rees, Hugo D. J. Creeth, Michael C. O’Donovan, Veronica Mandelli, Isotta Landi, Michael V. Lombardo, Judit Cabana-Domínguez, Rosa Bosch, Marta Ribasés, Juan Carlos López, Louisa Flintoft, Sian Lewis, Danny Antaki, James Guevara, Jonathan Sebat, Luye Qin, Kaijie Ma, Zhen Yan, Varun Warrier, David M. Greenberg, Simon Baron-Cohen, Karen  O’Leary, Lori A. Orosco, Adam P. Ross, Konstantinos S Zarbalis, Ursula Hofer, Heather Wood, Varun Warrier, Xinhe Zhang, Simon Baron-Cohen, Tiago Faial, Meri Mkhitaryan, Tamara Avetisyan, Konstantin Yenkoyan, Catherine J. Stoodley, Anila M. D’Mello, Peter T. Tsai, Josephine E. Haddon, Daniel Titherage, Matthew W. Jones, Qian Wang, Ying Kong, Tian-Ming Gao, Kaustubh Supekar, Srikanth Ryali, Vinod Menon, Kyle Jasmin, Alex Martin, Stephen J. Gotts",16 Jan 2020
/articles/nrneurol.2014.136,No evidence for efficiency of weighted blankets in improving sleep in children with autism spectrum disorder,Previous studies showed that children with autism spectrum disorder (ASD) have atypicalities in the pupillary light reflex (PLR). This study uses longitudinal monitoring of infants at risk for ASD to show that PLR magnitude at 10 months of age is associated with later ASD diagnosis and symptom severity.,"nature, search, Kuaikuai Duan, Lisa Eyler, Eric Courchesne, Ilona van de Meent, Lisanne Koomen, Wiepke Cahn, Sigridur Loa Jonsdottir, Evald Saemundsen, Vilhjalmur Rafnsson, Heta Pukki, Jelte Wieting, Madita Vanessa Baumann, Maximilian Deest, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Xiaoyu Tong, Hua Xie, Yu Zhang, Sarah Lemprière, Gina Green, Russell Lang, Jason Travers, Jasper van Haasteren, Hemi Malkki, Pierre Ellul, Anna Maruani, Richard Delorme, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Herb Brody, Abhay Sharma, Hemi Malkki, Elliott Rees, Hugo D. J. Creeth, Michael C. O’Donovan, Veronica Mandelli, Isotta Landi, Michael V. Lombardo, Judit Cabana-Domínguez, Rosa Bosch, Marta Ribasés, Juan Carlos López, Louisa Flintoft, Sian Lewis, Danny Antaki, James Guevara, Jonathan Sebat, Luye Qin, Kaijie Ma, Zhen Yan, Varun Warrier, David M. Greenberg, Simon Baron-Cohen, Karen  O’Leary, Lori A. Orosco, Adam P. Ross, Konstantinos S Zarbalis, Ursula Hofer, Heather Wood, Varun Warrier, Xinhe Zhang, Simon Baron-Cohen, Tiago Faial, Meri Mkhitaryan, Tamara Avetisyan, Konstantin Yenkoyan, Catherine J. Stoodley, Anila M. D’Mello, Peter T. Tsai, Josephine E. Haddon, Daniel Titherage, Matthew W. Jones, Qian Wang, Ying Kong, Tian-Ming Gao, Kaustubh Supekar, Srikanth Ryali, Vinod Menon, Kyle Jasmin, Alex Martin, Stephen J. Gotts",16 Jan 2020
/articles/s41598-024-67604-7,Forward head posture associated with reduced cardiorespiratory fitness in psychotic disorders compared to autism spectrum disorder and healthy controls,Previous studies showed that children with autism spectrum disorder (ASD) have atypicalities in the pupillary light reflex (PLR). This study uses longitudinal monitoring of infants at risk for ASD to show that PLR magnitude at 10 months of age is associated with later ASD diagnosis and symptom severity.,"nature, search, Kuaikuai Duan, Lisa Eyler, Eric Courchesne, Ilona van de Meent, Lisanne Koomen, Wiepke Cahn, Sigridur Loa Jonsdottir, Evald Saemundsen, Vilhjalmur Rafnsson, Heta Pukki, Jelte Wieting, Madita Vanessa Baumann, Maximilian Deest, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Xiaoyu Tong, Hua Xie, Yu Zhang, Sarah Lemprière, Gina Green, Russell Lang, Jason Travers, Jasper van Haasteren, Hemi Malkki, Pierre Ellul, Anna Maruani, Richard Delorme, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Herb Brody, Abhay Sharma, Hemi Malkki, Elliott Rees, Hugo D. J. Creeth, Michael C. O’Donovan, Veronica Mandelli, Isotta Landi, Michael V. Lombardo, Judit Cabana-Domínguez, Rosa Bosch, Marta Ribasés, Juan Carlos López, Louisa Flintoft, Sian Lewis, Danny Antaki, James Guevara, Jonathan Sebat, Luye Qin, Kaijie Ma, Zhen Yan, Varun Warrier, David M. Greenberg, Simon Baron-Cohen, Karen  O’Leary, Lori A. Orosco, Adam P. Ross, Konstantinos S Zarbalis, Ursula Hofer, Heather Wood, Varun Warrier, Xinhe Zhang, Simon Baron-Cohen, Tiago Faial, Meri Mkhitaryan, Tamara Avetisyan, Konstantin Yenkoyan, Catherine J. Stoodley, Anila M. D’Mello, Peter T. Tsai, Josephine E. Haddon, Daniel Titherage, Matthew W. Jones, Qian Wang, Ying Kong, Tian-Ming Gao, Kaustubh Supekar, Srikanth Ryali, Vinod Menon, Kyle Jasmin, Alex Martin, Stephen J. Gotts",16 Jan 2020
/articles/s41598-024-57656-0,Evaluating screening for autism spectrum disorder using cluster randomization,Previous studies showed that children with autism spectrum disorder (ASD) have atypicalities in the pupillary light reflex (PLR). This study uses longitudinal monitoring of infants at risk for ASD to show that PLR magnitude at 10 months of age is associated with later ASD diagnosis and symptom severity.,"nature, search, Kuaikuai Duan, Lisa Eyler, Eric Courchesne, Ilona van de Meent, Lisanne Koomen, Wiepke Cahn, Sigridur Loa Jonsdottir, Evald Saemundsen, Vilhjalmur Rafnsson, Heta Pukki, Jelte Wieting, Madita Vanessa Baumann, Maximilian Deest, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Xiaoyu Tong, Hua Xie, Yu Zhang, Sarah Lemprière, Gina Green, Russell Lang, Jason Travers, Jasper van Haasteren, Hemi Malkki, Pierre Ellul, Anna Maruani, Richard Delorme, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Herb Brody, Abhay Sharma, Hemi Malkki, Elliott Rees, Hugo D. J. Creeth, Michael C. O’Donovan, Veronica Mandelli, Isotta Landi, Michael V. Lombardo, Judit Cabana-Domínguez, Rosa Bosch, Marta Ribasés, Juan Carlos López, Louisa Flintoft, Sian Lewis, Danny Antaki, James Guevara, Jonathan Sebat, Luye Qin, Kaijie Ma, Zhen Yan, Varun Warrier, David M. Greenberg, Simon Baron-Cohen, Karen  O’Leary, Lori A. Orosco, Adam P. Ross, Konstantinos S Zarbalis, Ursula Hofer, Heather Wood, Varun Warrier, Xinhe Zhang, Simon Baron-Cohen, Tiago Faial, Meri Mkhitaryan, Tamara Avetisyan, Konstantin Yenkoyan, Catherine J. Stoodley, Anila M. D’Mello, Peter T. Tsai, Josephine E. Haddon, Daniel Titherage, Matthew W. Jones, Qian Wang, Ying Kong, Tian-Ming Gao, Kaustubh Supekar, Srikanth Ryali, Vinod Menon, Kyle Jasmin, Alex Martin, Stephen J. Gotts",16 Jan 2020
/articles/d41586-023-02036-3,Autism research: GATFAR coordinator responds,Previous studies showed that children with autism spectrum disorder (ASD) have atypicalities in the pupillary light reflex (PLR). This study uses longitudinal monitoring of infants at risk for ASD to show that PLR magnitude at 10 months of age is associated with later ASD diagnosis and symptom severity.,"nature, search, Kuaikuai Duan, Lisa Eyler, Eric Courchesne, Ilona van de Meent, Lisanne Koomen, Wiepke Cahn, Sigridur Loa Jonsdottir, Evald Saemundsen, Vilhjalmur Rafnsson, Heta Pukki, Jelte Wieting, Madita Vanessa Baumann, Maximilian Deest, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Xiaoyu Tong, Hua Xie, Yu Zhang, Sarah Lemprière, Gina Green, Russell Lang, Jason Travers, Jasper van Haasteren, Hemi Malkki, Pierre Ellul, Anna Maruani, Richard Delorme, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Herb Brody, Abhay Sharma, Hemi Malkki, Elliott Rees, Hugo D. J. Creeth, Michael C. O’Donovan, Veronica Mandelli, Isotta Landi, Michael V. Lombardo, Judit Cabana-Domínguez, Rosa Bosch, Marta Ribasés, Juan Carlos López, Louisa Flintoft, Sian Lewis, Danny Antaki, James Guevara, Jonathan Sebat, Luye Qin, Kaijie Ma, Zhen Yan, Varun Warrier, David M. Greenberg, Simon Baron-Cohen, Karen  O’Leary, Lori A. Orosco, Adam P. Ross, Konstantinos S Zarbalis, Ursula Hofer, Heather Wood, Varun Warrier, Xinhe Zhang, Simon Baron-Cohen, Tiago Faial, Meri Mkhitaryan, Tamara Avetisyan, Konstantin Yenkoyan, Catherine J. Stoodley, Anila M. D’Mello, Peter T. Tsai, Josephine E. Haddon, Daniel Titherage, Matthew W. Jones, Qian Wang, Ying Kong, Tian-Ming Gao, Kaustubh Supekar, Srikanth Ryali, Vinod Menon, Kyle Jasmin, Alex Martin, Stephen J. Gotts",16 Jan 2020
/articles/s41598-024-66723-5,Structured neurological soft signs examination reveals motor coordination deficits in adults diagnosed with high-functioning autism,Previous studies showed that children with autism spectrum disorder (ASD) have atypicalities in the pupillary light reflex (PLR). This study uses longitudinal monitoring of infants at risk for ASD to show that PLR magnitude at 10 months of age is associated with later ASD diagnosis and symptom severity.,"nature, search, Kuaikuai Duan, Lisa Eyler, Eric Courchesne, Ilona van de Meent, Lisanne Koomen, Wiepke Cahn, Sigridur Loa Jonsdottir, Evald Saemundsen, Vilhjalmur Rafnsson, Heta Pukki, Jelte Wieting, Madita Vanessa Baumann, Maximilian Deest, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Xiaoyu Tong, Hua Xie, Yu Zhang, Sarah Lemprière, Gina Green, Russell Lang, Jason Travers, Jasper van Haasteren, Hemi Malkki, Pierre Ellul, Anna Maruani, Richard Delorme, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Herb Brody, Abhay Sharma, Hemi Malkki, Elliott Rees, Hugo D. J. Creeth, Michael C. O’Donovan, Veronica Mandelli, Isotta Landi, Michael V. Lombardo, Judit Cabana-Domínguez, Rosa Bosch, Marta Ribasés, Juan Carlos López, Louisa Flintoft, Sian Lewis, Danny Antaki, James Guevara, Jonathan Sebat, Luye Qin, Kaijie Ma, Zhen Yan, Varun Warrier, David M. Greenberg, Simon Baron-Cohen, Karen  O’Leary, Lori A. Orosco, Adam P. Ross, Konstantinos S Zarbalis, Ursula Hofer, Heather Wood, Varun Warrier, Xinhe Zhang, Simon Baron-Cohen, Tiago Faial, Meri Mkhitaryan, Tamara Avetisyan, Konstantin Yenkoyan, Catherine J. Stoodley, Anila M. D’Mello, Peter T. Tsai, Josephine E. Haddon, Daniel Titherage, Matthew W. Jones, Qian Wang, Ying Kong, Tian-Ming Gao, Kaustubh Supekar, Srikanth Ryali, Vinod Menon, Kyle Jasmin, Alex Martin, Stephen J. Gotts",16 Jan 2020
/articles/nrneurol.2014.73,Paternal obesity raises risk of autism spectrum disorders,Previous studies showed that children with autism spectrum disorder (ASD) have atypicalities in the pupillary light reflex (PLR). This study uses longitudinal monitoring of infants at risk for ASD to show that PLR magnitude at 10 months of age is associated with later ASD diagnosis and symptom severity.,"nature, search, Kuaikuai Duan, Lisa Eyler, Eric Courchesne, Ilona van de Meent, Lisanne Koomen, Wiepke Cahn, Sigridur Loa Jonsdottir, Evald Saemundsen, Vilhjalmur Rafnsson, Heta Pukki, Jelte Wieting, Madita Vanessa Baumann, Maximilian Deest, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Xiaoyu Tong, Hua Xie, Yu Zhang, Sarah Lemprière, Gina Green, Russell Lang, Jason Travers, Jasper van Haasteren, Hemi Malkki, Pierre Ellul, Anna Maruani, Richard Delorme, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Herb Brody, Abhay Sharma, Hemi Malkki, Elliott Rees, Hugo D. J. Creeth, Michael C. O’Donovan, Veronica Mandelli, Isotta Landi, Michael V. Lombardo, Judit Cabana-Domínguez, Rosa Bosch, Marta Ribasés, Juan Carlos López, Louisa Flintoft, Sian Lewis, Danny Antaki, James Guevara, Jonathan Sebat, Luye Qin, Kaijie Ma, Zhen Yan, Varun Warrier, David M. Greenberg, Simon Baron-Cohen, Karen  O’Leary, Lori A. Orosco, Adam P. Ross, Konstantinos S Zarbalis, Ursula Hofer, Heather Wood, Varun Warrier, Xinhe Zhang, Simon Baron-Cohen, Tiago Faial, Meri Mkhitaryan, Tamara Avetisyan, Konstantin Yenkoyan, Catherine J. Stoodley, Anila M. D’Mello, Peter T. Tsai, Josephine E. Haddon, Daniel Titherage, Matthew W. Jones, Qian Wang, Ying Kong, Tian-Ming Gao, Kaustubh Supekar, Srikanth Ryali, Vinod Menon, Kyle Jasmin, Alex Martin, Stephen J. Gotts",16 Jan 2020
/articles/s41467-018-03985-4,Enhanced pupillary light reflex in infancy is associated with autism diagnosis in toddlerhood,Previous studies showed that children with autism spectrum disorder (ASD) have atypicalities in the pupillary light reflex (PLR). This study uses longitudinal monitoring of infants at risk for ASD to show that PLR magnitude at 10 months of age is associated with later ASD diagnosis and symptom severity.,"nature, search, Kuaikuai Duan, Lisa Eyler, Eric Courchesne, Ilona van de Meent, Lisanne Koomen, Wiepke Cahn, Sigridur Loa Jonsdottir, Evald Saemundsen, Vilhjalmur Rafnsson, Heta Pukki, Jelte Wieting, Madita Vanessa Baumann, Maximilian Deest, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Xiaoyu Tong, Hua Xie, Yu Zhang, Sarah Lemprière, Gina Green, Russell Lang, Jason Travers, Jasper van Haasteren, Hemi Malkki, Pierre Ellul, Anna Maruani, Richard Delorme, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Herb Brody, Abhay Sharma, Hemi Malkki, Elliott Rees, Hugo D. J. Creeth, Michael C. O’Donovan, Veronica Mandelli, Isotta Landi, Michael V. Lombardo, Judit Cabana-Domínguez, Rosa Bosch, Marta Ribasés, Juan Carlos López, Louisa Flintoft, Sian Lewis, Danny Antaki, James Guevara, Jonathan Sebat, Luye Qin, Kaijie Ma, Zhen Yan, Varun Warrier, David M. Greenberg, Simon Baron-Cohen, Karen  O’Leary, Lori A. Orosco, Adam P. Ross, Konstantinos S Zarbalis, Ursula Hofer, Heather Wood, Varun Warrier, Xinhe Zhang, Simon Baron-Cohen, Tiago Faial, Meri Mkhitaryan, Tamara Avetisyan, Konstantin Yenkoyan, Catherine J. Stoodley, Anila M. D’Mello, Peter T. Tsai, Josephine E. Haddon, Daniel Titherage, Matthew W. Jones, Qian Wang, Ying Kong, Tian-Ming Gao, Kaustubh Supekar, Srikanth Ryali, Vinod Menon, Kyle Jasmin, Alex Martin, Stephen J. Gotts",16 Jan 2020
/articles/nrneurol.2016.100,Epilepsy and autism spectrum disorders may have a shared aetiology,"The authors interrogate patterns of symptom-linked resting-state functional connectivity measured with electroencephalography with machine learning techniques to identify two dimensions associated with specific regions, the left angular gyrus and the right middle temporal gyrus and social and communication deficits, and the right inferior parietal lobe with restricted and repetitive disorders, which may serve as biomarkers in autism.","nature, search, Kuaikuai Duan, Lisa Eyler, Eric Courchesne, Ilona van de Meent, Lisanne Koomen, Wiepke Cahn, Sigridur Loa Jonsdottir, Evald Saemundsen, Vilhjalmur Rafnsson, Heta Pukki, Jelte Wieting, Madita Vanessa Baumann, Maximilian Deest, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Xiaoyu Tong, Hua Xie, Yu Zhang, Sarah Lemprière, Gina Green, Russell Lang, Jason Travers, Jasper van Haasteren, Hemi Malkki, Pierre Ellul, Anna Maruani, Richard Delorme, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Herb Brody, Abhay Sharma, Hemi Malkki, Elliott Rees, Hugo D. J. Creeth, Michael C. O’Donovan, Veronica Mandelli, Isotta Landi, Michael V. Lombardo, Judit Cabana-Domínguez, Rosa Bosch, Marta Ribasés, Juan Carlos López, Louisa Flintoft, Sian Lewis, Danny Antaki, James Guevara, Jonathan Sebat, Luye Qin, Kaijie Ma, Zhen Yan, Varun Warrier, David M. Greenberg, Simon Baron-Cohen, Karen  O’Leary, Lori A. Orosco, Adam P. Ross, Konstantinos S Zarbalis, Ursula Hofer, Heather Wood, Varun Warrier, Xinhe Zhang, Simon Baron-Cohen, Tiago Faial, Meri Mkhitaryan, Tamara Avetisyan, Konstantin Yenkoyan, Catherine J. Stoodley, Anila M. D’Mello, Peter T. Tsai, Josephine E. Haddon, Daniel Titherage, Matthew W. Jones, Qian Wang, Ying Kong, Tian-Ming Gao, Kaustubh Supekar, Srikanth Ryali, Vinod Menon, Kyle Jasmin, Alex Martin, Stephen J. Gotts",16 Jan 2020
