href,title,description,authors,date_published
/articles/nri.2016.35,IL-17A mediates a path to autism,"Maternal immune activation can lead to autism-like behaviour in offspring, and in mice this depends on maternal interleukin-17A production.","nature, search, Elisabeth Kugelberg, Pierre Ellul, Anna Maruani, Richard Delorme, D Mrozek-Budzyn, A Kieltyka, M Augustyniak, Uyen Thi Trang Than, Liem Thanh Nguyen, Van Duc Dang, Chalystha Yie Qin Lee, Gayathri K. Balasuriya, Elisa L. Hill-Yardin, Christopher J McDougle, William A Carlezon Jr, Meriem Bennabi, Alexandru Gaman, Ryad Tamouza, Ciara Bagnall-Moreau, Patricio T. Huerta, Lior Brimberg, V T Ramaekers, E V Quadros, J M Sequeira, L Heuer, D Braunschweig, D B Campbell, D Braunschweig, P Krakowiak, J Van de Water, R E Frye, J M Sequeira, D A Rossignol, N C Derecki, E Privman, J Kipnis, Gang Du, Liam B. Healy, Hao Wu, Joey H. Li, Adalia Zhou, Timothy E. O’Sullivan, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Melvin Konner, Rani K. Powers, Rachel Culp-Hill, Joaquin M. Espinosa, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Claire Soudais, Romane Schaus, Sylvain Latour, Eunha Kim, Jun R. Huh, Gloria B. Choi, Erika Check Hayden, Sara Reardon, Alicia Bedolla, Elliot Wegman, Yu Luo, Kalil Alves de Lima, Justin Rustenhoven, Jonathan Kipnis, Maayan Levy, Aleksandra A. Kolodziejczyk, Eran Elinav, Michael Eisenstein, Ewen Callaway, Craig M. Powell, Arthur P. Arnold, Sabra L. Klein, Jeffrey S. Mogil, Henning Jacobsen, Kerstin Walendy-Gnirß, Gülsah Gabriel, Kristine E. Zengeler, John R. Lukens, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Rejane Rua, Nathalie Pujol, Stephen M. Collins, Michael Surette, Premysl Bercik, Eugenie Samuel Reich, Julie Leask, Serap Erdogmus, Axel R. Concepcion, Stefan Feske, Yvonne Bordon, Cezmi A. Akdis, Ewen Callaway, Sangdoo Kim, Hyunju Kim, Jun R. Huh, Leonie Welberg, Zhiheng He, Jing Zhang, Zuoming Sun, Sangsu Bang, Christopher R. Donnelly, Ru-Rong Ji, Michael Attwaters, Charlotte Schubert, Heidi Ledford, Noël C Derecki, Jonathan Kipnis",14 Mar 2016
/articles/s41598-023-49789-5,Abnormal neutrophil-to-lymphocyte ratio in children with autism spectrum disorder and history of maternal immune activation,"Gasdermin D Cys191 isS-palmitoylated, and palmitoylation is required for pore formation.","nature, search, Elisabeth Kugelberg, Pierre Ellul, Anna Maruani, Richard Delorme, D Mrozek-Budzyn, A Kieltyka, M Augustyniak, Uyen Thi Trang Than, Liem Thanh Nguyen, Van Duc Dang, Chalystha Yie Qin Lee, Gayathri K. Balasuriya, Elisa L. Hill-Yardin, Christopher J McDougle, William A Carlezon Jr, Meriem Bennabi, Alexandru Gaman, Ryad Tamouza, Ciara Bagnall-Moreau, Patricio T. Huerta, Lior Brimberg, V T Ramaekers, E V Quadros, J M Sequeira, L Heuer, D Braunschweig, D B Campbell, D Braunschweig, P Krakowiak, J Van de Water, R E Frye, J M Sequeira, D A Rossignol, N C Derecki, E Privman, J Kipnis, Gang Du, Liam B. Healy, Hao Wu, Joey H. Li, Adalia Zhou, Timothy E. O’Sullivan, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Melvin Konner, Rani K. Powers, Rachel Culp-Hill, Joaquin M. Espinosa, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Claire Soudais, Romane Schaus, Sylvain Latour, Eunha Kim, Jun R. Huh, Gloria B. Choi, Erika Check Hayden, Sara Reardon, Alicia Bedolla, Elliot Wegman, Yu Luo, Kalil Alves de Lima, Justin Rustenhoven, Jonathan Kipnis, Maayan Levy, Aleksandra A. Kolodziejczyk, Eran Elinav, Michael Eisenstein, Ewen Callaway, Craig M. Powell, Arthur P. Arnold, Sabra L. Klein, Jeffrey S. Mogil, Henning Jacobsen, Kerstin Walendy-Gnirß, Gülsah Gabriel, Kristine E. Zengeler, John R. Lukens, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Rejane Rua, Nathalie Pujol, Stephen M. Collins, Michael Surette, Premysl Bercik, Eugenie Samuel Reich, Julie Leask, Serap Erdogmus, Axel R. Concepcion, Stefan Feske, Yvonne Bordon, Cezmi A. Akdis, Ewen Callaway, Sangdoo Kim, Hyunju Kim, Jun R. Huh, Leonie Welberg, Zhiheng He, Jing Zhang, Zuoming Sun, Sangsu Bang, Christopher R. Donnelly, Ru-Rong Ji, Michael Attwaters, Charlotte Schubert, Heidi Ledford, Noël C Derecki, Jonathan Kipnis",14 Mar 2016
/articles/pr2011564,Lack of Association between Thimerosal-Containing Vaccines and Autism: A Case-Control Study in Poland,"Gasdermin D Cys191 isS-palmitoylated, and palmitoylation is required for pore formation.","nature, search, Elisabeth Kugelberg, Pierre Ellul, Anna Maruani, Richard Delorme, D Mrozek-Budzyn, A Kieltyka, M Augustyniak, Uyen Thi Trang Than, Liem Thanh Nguyen, Van Duc Dang, Chalystha Yie Qin Lee, Gayathri K. Balasuriya, Elisa L. Hill-Yardin, Christopher J McDougle, William A Carlezon Jr, Meriem Bennabi, Alexandru Gaman, Ryad Tamouza, Ciara Bagnall-Moreau, Patricio T. Huerta, Lior Brimberg, V T Ramaekers, E V Quadros, J M Sequeira, L Heuer, D Braunschweig, D B Campbell, D Braunschweig, P Krakowiak, J Van de Water, R E Frye, J M Sequeira, D A Rossignol, N C Derecki, E Privman, J Kipnis, Gang Du, Liam B. Healy, Hao Wu, Joey H. Li, Adalia Zhou, Timothy E. O’Sullivan, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Melvin Konner, Rani K. Powers, Rachel Culp-Hill, Joaquin M. Espinosa, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Claire Soudais, Romane Schaus, Sylvain Latour, Eunha Kim, Jun R. Huh, Gloria B. Choi, Erika Check Hayden, Sara Reardon, Alicia Bedolla, Elliot Wegman, Yu Luo, Kalil Alves de Lima, Justin Rustenhoven, Jonathan Kipnis, Maayan Levy, Aleksandra A. Kolodziejczyk, Eran Elinav, Michael Eisenstein, Ewen Callaway, Craig M. Powell, Arthur P. Arnold, Sabra L. Klein, Jeffrey S. Mogil, Henning Jacobsen, Kerstin Walendy-Gnirß, Gülsah Gabriel, Kristine E. Zengeler, John R. Lukens, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Rejane Rua, Nathalie Pujol, Stephen M. Collins, Michael Surette, Premysl Bercik, Eugenie Samuel Reich, Julie Leask, Serap Erdogmus, Axel R. Concepcion, Stefan Feske, Yvonne Bordon, Cezmi A. Akdis, Ewen Callaway, Sangdoo Kim, Hyunju Kim, Jun R. Huh, Leonie Welberg, Zhiheng He, Jing Zhang, Zuoming Sun, Sangsu Bang, Christopher R. Donnelly, Ru-Rong Ji, Michael Attwaters, Charlotte Schubert, Heidi Ledford, Noël C Derecki, Jonathan Kipnis",14 Mar 2016
/articles/s41598-023-49902-8,Inflammatory mediators drive neuroinflammation in autism spectrum disorder and cerebral palsy,"Gasdermin D Cys191 isS-palmitoylated, and palmitoylation is required for pore formation.","nature, search, Elisabeth Kugelberg, Pierre Ellul, Anna Maruani, Richard Delorme, D Mrozek-Budzyn, A Kieltyka, M Augustyniak, Uyen Thi Trang Than, Liem Thanh Nguyen, Van Duc Dang, Chalystha Yie Qin Lee, Gayathri K. Balasuriya, Elisa L. Hill-Yardin, Christopher J McDougle, William A Carlezon Jr, Meriem Bennabi, Alexandru Gaman, Ryad Tamouza, Ciara Bagnall-Moreau, Patricio T. Huerta, Lior Brimberg, V T Ramaekers, E V Quadros, J M Sequeira, L Heuer, D Braunschweig, D B Campbell, D Braunschweig, P Krakowiak, J Van de Water, R E Frye, J M Sequeira, D A Rossignol, N C Derecki, E Privman, J Kipnis, Gang Du, Liam B. Healy, Hao Wu, Joey H. Li, Adalia Zhou, Timothy E. O’Sullivan, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Melvin Konner, Rani K. Powers, Rachel Culp-Hill, Joaquin M. Espinosa, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Claire Soudais, Romane Schaus, Sylvain Latour, Eunha Kim, Jun R. Huh, Gloria B. Choi, Erika Check Hayden, Sara Reardon, Alicia Bedolla, Elliot Wegman, Yu Luo, Kalil Alves de Lima, Justin Rustenhoven, Jonathan Kipnis, Maayan Levy, Aleksandra A. Kolodziejczyk, Eran Elinav, Michael Eisenstein, Ewen Callaway, Craig M. Powell, Arthur P. Arnold, Sabra L. Klein, Jeffrey S. Mogil, Henning Jacobsen, Kerstin Walendy-Gnirß, Gülsah Gabriel, Kristine E. Zengeler, John R. Lukens, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Rejane Rua, Nathalie Pujol, Stephen M. Collins, Michael Surette, Premysl Bercik, Eugenie Samuel Reich, Julie Leask, Serap Erdogmus, Axel R. Concepcion, Stefan Feske, Yvonne Bordon, Cezmi A. Akdis, Ewen Callaway, Sangdoo Kim, Hyunju Kim, Jun R. Huh, Leonie Welberg, Zhiheng He, Jing Zhang, Zuoming Sun, Sangsu Bang, Christopher R. Donnelly, Ru-Rong Ji, Michael Attwaters, Charlotte Schubert, Heidi Ledford, Noël C Derecki, Jonathan Kipnis",14 Mar 2016
/articles/s41598-023-39555-y,Impaired cecal motility and secretion alongside expansion of gut-associated lymphoid tissue in the Nlgn3R451C mouse model of autism,"Gasdermin D Cys191 isS-palmitoylated, and palmitoylation is required for pore formation.","nature, search, Elisabeth Kugelberg, Pierre Ellul, Anna Maruani, Richard Delorme, D Mrozek-Budzyn, A Kieltyka, M Augustyniak, Uyen Thi Trang Than, Liem Thanh Nguyen, Van Duc Dang, Chalystha Yie Qin Lee, Gayathri K. Balasuriya, Elisa L. Hill-Yardin, Christopher J McDougle, William A Carlezon Jr, Meriem Bennabi, Alexandru Gaman, Ryad Tamouza, Ciara Bagnall-Moreau, Patricio T. Huerta, Lior Brimberg, V T Ramaekers, E V Quadros, J M Sequeira, L Heuer, D Braunschweig, D B Campbell, D Braunschweig, P Krakowiak, J Van de Water, R E Frye, J M Sequeira, D A Rossignol, N C Derecki, E Privman, J Kipnis, Gang Du, Liam B. Healy, Hao Wu, Joey H. Li, Adalia Zhou, Timothy E. O’Sullivan, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Melvin Konner, Rani K. Powers, Rachel Culp-Hill, Joaquin M. Espinosa, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Claire Soudais, Romane Schaus, Sylvain Latour, Eunha Kim, Jun R. Huh, Gloria B. Choi, Erika Check Hayden, Sara Reardon, Alicia Bedolla, Elliot Wegman, Yu Luo, Kalil Alves de Lima, Justin Rustenhoven, Jonathan Kipnis, Maayan Levy, Aleksandra A. Kolodziejczyk, Eran Elinav, Michael Eisenstein, Ewen Callaway, Craig M. Powell, Arthur P. Arnold, Sabra L. Klein, Jeffrey S. Mogil, Henning Jacobsen, Kerstin Walendy-Gnirß, Gülsah Gabriel, Kristine E. Zengeler, John R. Lukens, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Rejane Rua, Nathalie Pujol, Stephen M. Collins, Michael Surette, Premysl Bercik, Eugenie Samuel Reich, Julie Leask, Serap Erdogmus, Axel R. Concepcion, Stefan Feske, Yvonne Bordon, Cezmi A. Akdis, Ewen Callaway, Sangdoo Kim, Hyunju Kim, Jun R. Huh, Leonie Welberg, Zhiheng He, Jing Zhang, Zuoming Sun, Sangsu Bang, Christopher R. Donnelly, Ru-Rong Ji, Michael Attwaters, Charlotte Schubert, Heidi Ledford, Noël C Derecki, Jonathan Kipnis",14 Mar 2016
/articles/npp2012174,Neuroinflammation and Autism: Toward Mechanisms and Treatments,"Gasdermin D Cys191 isS-palmitoylated, and palmitoylation is required for pore formation.","nature, search, Elisabeth Kugelberg, Pierre Ellul, Anna Maruani, Richard Delorme, D Mrozek-Budzyn, A Kieltyka, M Augustyniak, Uyen Thi Trang Than, Liem Thanh Nguyen, Van Duc Dang, Chalystha Yie Qin Lee, Gayathri K. Balasuriya, Elisa L. Hill-Yardin, Christopher J McDougle, William A Carlezon Jr, Meriem Bennabi, Alexandru Gaman, Ryad Tamouza, Ciara Bagnall-Moreau, Patricio T. Huerta, Lior Brimberg, V T Ramaekers, E V Quadros, J M Sequeira, L Heuer, D Braunschweig, D B Campbell, D Braunschweig, P Krakowiak, J Van de Water, R E Frye, J M Sequeira, D A Rossignol, N C Derecki, E Privman, J Kipnis, Gang Du, Liam B. Healy, Hao Wu, Joey H. Li, Adalia Zhou, Timothy E. O’Sullivan, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Melvin Konner, Rani K. Powers, Rachel Culp-Hill, Joaquin M. Espinosa, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Claire Soudais, Romane Schaus, Sylvain Latour, Eunha Kim, Jun R. Huh, Gloria B. Choi, Erika Check Hayden, Sara Reardon, Alicia Bedolla, Elliot Wegman, Yu Luo, Kalil Alves de Lima, Justin Rustenhoven, Jonathan Kipnis, Maayan Levy, Aleksandra A. Kolodziejczyk, Eran Elinav, Michael Eisenstein, Ewen Callaway, Craig M. Powell, Arthur P. Arnold, Sabra L. Klein, Jeffrey S. Mogil, Henning Jacobsen, Kerstin Walendy-Gnirß, Gülsah Gabriel, Kristine E. Zengeler, John R. Lukens, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Rejane Rua, Nathalie Pujol, Stephen M. Collins, Michael Surette, Premysl Bercik, Eugenie Samuel Reich, Julie Leask, Serap Erdogmus, Axel R. Concepcion, Stefan Feske, Yvonne Bordon, Cezmi A. Akdis, Ewen Callaway, Sangdoo Kim, Hyunju Kim, Jun R. Huh, Leonie Welberg, Zhiheng He, Jing Zhang, Zuoming Sun, Sangsu Bang, Christopher R. Donnelly, Ru-Rong Ji, Michael Attwaters, Charlotte Schubert, Heidi Ledford, Noël C Derecki, Jonathan Kipnis",14 Mar 2016
/articles/s41598-018-25974-9,HLA-class II haplotypes and Autism Spectrum Disorders,"Gasdermin D Cys191 isS-palmitoylated, and palmitoylation is required for pore formation.","nature, search, Elisabeth Kugelberg, Pierre Ellul, Anna Maruani, Richard Delorme, D Mrozek-Budzyn, A Kieltyka, M Augustyniak, Uyen Thi Trang Than, Liem Thanh Nguyen, Van Duc Dang, Chalystha Yie Qin Lee, Gayathri K. Balasuriya, Elisa L. Hill-Yardin, Christopher J McDougle, William A Carlezon Jr, Meriem Bennabi, Alexandru Gaman, Ryad Tamouza, Ciara Bagnall-Moreau, Patricio T. Huerta, Lior Brimberg, V T Ramaekers, E V Quadros, J M Sequeira, L Heuer, D Braunschweig, D B Campbell, D Braunschweig, P Krakowiak, J Van de Water, R E Frye, J M Sequeira, D A Rossignol, N C Derecki, E Privman, J Kipnis, Gang Du, Liam B. Healy, Hao Wu, Joey H. Li, Adalia Zhou, Timothy E. O’Sullivan, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Melvin Konner, Rani K. Powers, Rachel Culp-Hill, Joaquin M. Espinosa, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Claire Soudais, Romane Schaus, Sylvain Latour, Eunha Kim, Jun R. Huh, Gloria B. Choi, Erika Check Hayden, Sara Reardon, Alicia Bedolla, Elliot Wegman, Yu Luo, Kalil Alves de Lima, Justin Rustenhoven, Jonathan Kipnis, Maayan Levy, Aleksandra A. Kolodziejczyk, Eran Elinav, Michael Eisenstein, Ewen Callaway, Craig M. Powell, Arthur P. Arnold, Sabra L. Klein, Jeffrey S. Mogil, Henning Jacobsen, Kerstin Walendy-Gnirß, Gülsah Gabriel, Kristine E. Zengeler, John R. Lukens, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Rejane Rua, Nathalie Pujol, Stephen M. Collins, Michael Surette, Premysl Bercik, Eugenie Samuel Reich, Julie Leask, Serap Erdogmus, Axel R. Concepcion, Stefan Feske, Yvonne Bordon, Cezmi A. Akdis, Ewen Callaway, Sangdoo Kim, Hyunju Kim, Jun R. Huh, Leonie Welberg, Zhiheng He, Jing Zhang, Zuoming Sun, Sangsu Bang, Christopher R. Donnelly, Ru-Rong Ji, Michael Attwaters, Charlotte Schubert, Heidi Ledford, Noël C Derecki, Jonathan Kipnis",14 Mar 2016
/articles/s41598-020-71201-9,In utero exposure to endogenous maternal polyclonal anti-Caspr2 antibody leads to behavioral abnormalities resembling autism spectrum disorder in male mice,"Gasdermin D Cys191 isS-palmitoylated, and palmitoylation is required for pore formation.","nature, search, Elisabeth Kugelberg, Pierre Ellul, Anna Maruani, Richard Delorme, D Mrozek-Budzyn, A Kieltyka, M Augustyniak, Uyen Thi Trang Than, Liem Thanh Nguyen, Van Duc Dang, Chalystha Yie Qin Lee, Gayathri K. Balasuriya, Elisa L. Hill-Yardin, Christopher J McDougle, William A Carlezon Jr, Meriem Bennabi, Alexandru Gaman, Ryad Tamouza, Ciara Bagnall-Moreau, Patricio T. Huerta, Lior Brimberg, V T Ramaekers, E V Quadros, J M Sequeira, L Heuer, D Braunschweig, D B Campbell, D Braunschweig, P Krakowiak, J Van de Water, R E Frye, J M Sequeira, D A Rossignol, N C Derecki, E Privman, J Kipnis, Gang Du, Liam B. Healy, Hao Wu, Joey H. Li, Adalia Zhou, Timothy E. O’Sullivan, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Melvin Konner, Rani K. Powers, Rachel Culp-Hill, Joaquin M. Espinosa, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Claire Soudais, Romane Schaus, Sylvain Latour, Eunha Kim, Jun R. Huh, Gloria B. Choi, Erika Check Hayden, Sara Reardon, Alicia Bedolla, Elliot Wegman, Yu Luo, Kalil Alves de Lima, Justin Rustenhoven, Jonathan Kipnis, Maayan Levy, Aleksandra A. Kolodziejczyk, Eran Elinav, Michael Eisenstein, Ewen Callaway, Craig M. Powell, Arthur P. Arnold, Sabra L. Klein, Jeffrey S. Mogil, Henning Jacobsen, Kerstin Walendy-Gnirß, Gülsah Gabriel, Kristine E. Zengeler, John R. Lukens, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Rejane Rua, Nathalie Pujol, Stephen M. Collins, Michael Surette, Premysl Bercik, Eugenie Samuel Reich, Julie Leask, Serap Erdogmus, Axel R. Concepcion, Stefan Feske, Yvonne Bordon, Cezmi A. Akdis, Ewen Callaway, Sangdoo Kim, Hyunju Kim, Jun R. Huh, Leonie Welberg, Zhiheng He, Jing Zhang, Zuoming Sun, Sangsu Bang, Christopher R. Donnelly, Ru-Rong Ji, Michael Attwaters, Charlotte Schubert, Heidi Ledford, Noël C Derecki, Jonathan Kipnis",14 Mar 2016
/articles/mp201222,Role of folate receptor autoantibodies in infantile autism,"Gasdermin D Cys191 isS-palmitoylated, and palmitoylation is required for pore formation.","nature, search, Elisabeth Kugelberg, Pierre Ellul, Anna Maruani, Richard Delorme, D Mrozek-Budzyn, A Kieltyka, M Augustyniak, Uyen Thi Trang Than, Liem Thanh Nguyen, Van Duc Dang, Chalystha Yie Qin Lee, Gayathri K. Balasuriya, Elisa L. Hill-Yardin, Christopher J McDougle, William A Carlezon Jr, Meriem Bennabi, Alexandru Gaman, Ryad Tamouza, Ciara Bagnall-Moreau, Patricio T. Huerta, Lior Brimberg, V T Ramaekers, E V Quadros, J M Sequeira, L Heuer, D Braunschweig, D B Campbell, D Braunschweig, P Krakowiak, J Van de Water, R E Frye, J M Sequeira, D A Rossignol, N C Derecki, E Privman, J Kipnis, Gang Du, Liam B. Healy, Hao Wu, Joey H. Li, Adalia Zhou, Timothy E. O’Sullivan, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Melvin Konner, Rani K. Powers, Rachel Culp-Hill, Joaquin M. Espinosa, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Claire Soudais, Romane Schaus, Sylvain Latour, Eunha Kim, Jun R. Huh, Gloria B. Choi, Erika Check Hayden, Sara Reardon, Alicia Bedolla, Elliot Wegman, Yu Luo, Kalil Alves de Lima, Justin Rustenhoven, Jonathan Kipnis, Maayan Levy, Aleksandra A. Kolodziejczyk, Eran Elinav, Michael Eisenstein, Ewen Callaway, Craig M. Powell, Arthur P. Arnold, Sabra L. Klein, Jeffrey S. Mogil, Henning Jacobsen, Kerstin Walendy-Gnirß, Gülsah Gabriel, Kristine E. Zengeler, John R. Lukens, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Rejane Rua, Nathalie Pujol, Stephen M. Collins, Michael Surette, Premysl Bercik, Eugenie Samuel Reich, Julie Leask, Serap Erdogmus, Axel R. Concepcion, Stefan Feske, Yvonne Bordon, Cezmi A. Akdis, Ewen Callaway, Sangdoo Kim, Hyunju Kim, Jun R. Huh, Leonie Welberg, Zhiheng He, Jing Zhang, Zuoming Sun, Sangsu Bang, Christopher R. Donnelly, Ru-Rong Ji, Michael Attwaters, Charlotte Schubert, Heidi Ledford, Noël C Derecki, Jonathan Kipnis",14 Mar 2016
/articles/tp201148,Association of a MET genetic variant with autism-associated maternal autoantibodies to fetal brain proteins and cytokine expression,"Gasdermin D Cys191 isS-palmitoylated, and palmitoylation is required for pore formation.","nature, search, Elisabeth Kugelberg, Pierre Ellul, Anna Maruani, Richard Delorme, D Mrozek-Budzyn, A Kieltyka, M Augustyniak, Uyen Thi Trang Than, Liem Thanh Nguyen, Van Duc Dang, Chalystha Yie Qin Lee, Gayathri K. Balasuriya, Elisa L. Hill-Yardin, Christopher J McDougle, William A Carlezon Jr, Meriem Bennabi, Alexandru Gaman, Ryad Tamouza, Ciara Bagnall-Moreau, Patricio T. Huerta, Lior Brimberg, V T Ramaekers, E V Quadros, J M Sequeira, L Heuer, D Braunschweig, D B Campbell, D Braunschweig, P Krakowiak, J Van de Water, R E Frye, J M Sequeira, D A Rossignol, N C Derecki, E Privman, J Kipnis, Gang Du, Liam B. Healy, Hao Wu, Joey H. Li, Adalia Zhou, Timothy E. O’Sullivan, Mary-Ellen Lynall, Blagoje Soskic, Ed Bullmore, Melvin Konner, Rani K. Powers, Rachel Culp-Hill, Joaquin M. Espinosa, Andrew C. Yang, Fabian Kern, Tony Wyss-Coray, Claire Soudais, Romane Schaus, Sylvain Latour, Eunha Kim, Jun R. Huh, Gloria B. Choi, Erika Check Hayden, Sara Reardon, Alicia Bedolla, Elliot Wegman, Yu Luo, Kalil Alves de Lima, Justin Rustenhoven, Jonathan Kipnis, Maayan Levy, Aleksandra A. Kolodziejczyk, Eran Elinav, Michael Eisenstein, Ewen Callaway, Craig M. Powell, Arthur P. Arnold, Sabra L. Klein, Jeffrey S. Mogil, Henning Jacobsen, Kerstin Walendy-Gnirß, Gülsah Gabriel, Kristine E. Zengeler, John R. Lukens, Maddalena Migliavacca, Federica Barzaghi, Maria Pia Cicalese, Rejane Rua, Nathalie Pujol, Stephen M. Collins, Michael Surette, Premysl Bercik, Eugenie Samuel Reich, Julie Leask, Serap Erdogmus, Axel R. Concepcion, Stefan Feske, Yvonne Bordon, Cezmi A. Akdis, Ewen Callaway, Sangdoo Kim, Hyunju Kim, Jun R. Huh, Leonie Welberg, Zhiheng He, Jing Zhang, Zuoming Sun, Sangsu Bang, Christopher R. Donnelly, Ru-Rong Ji, Michael Attwaters, Charlotte Schubert, Heidi Ledford, Noël C Derecki, Jonathan Kipnis",14 Mar 2016
