href,title,description,authors,date_published
/articles/s41378-020-0165-z,Neurodevelopmental impairment induced by prenatal valproic acid exposure shown with the human cortical organoid-on-a-chip model,"Bioprinting has potential in the biofabrication of three dimensional tissues, but is poorly suited to the manipulation of neural organoids. Here, the authors develop a bioprinting platform to allow the arrangement of organoids to form assembloids.","nature, search, Kangli Cui, Yaqing Wang, Jianhua Qin, Julien G. Roth, Lucia G. Brunel, Sarah C. Heilshorn, Fan Xu, Yangchao Huang, Xi-Qiao Feng, Saleh I. Alaqel, Arwa S. Alqahtani, Atiah H. Almalki, Nick Howe, Shamini Bundell, Christine-Maria Horejs, Yifan Yang, Fan Xu, Xiao Yang, Csaba Forró, Bianxiao Cui, Christopher Walter, Ramin Balouchzadeh, Philip V. Bayly, Carsten Werner, Atharva Sahasrabudhe, Laura E. Rupprecht, Polina Anikeeva, Michael J. Kratochvil, Alexis J. Seymour, Sarah C. Heilshorn, Angsagan Abdigazy, Mohammed Arfan, Yasser Khan, Matthias Wieczorek, Florian Schaff, Tobias Lasser, Benjamin Terry, Artem Pastukhov, Konstantin Paliienko, Tatiana Borisova, Kewang Nan, Vivian R. Feig, Giovanni Traverso",13 Jul 2020
/articles/s41467-023-40006-5,Spatially controlled construction of assembloids using bioprinting,"Bioprinting has potential in the biofabrication of three dimensional tissues, but is poorly suited to the manipulation of neural organoids. Here, the authors develop a bioprinting platform to allow the arrangement of organoids to form assembloids.","nature, search, Kangli Cui, Yaqing Wang, Jianhua Qin, Julien G. Roth, Lucia G. Brunel, Sarah C. Heilshorn, Fan Xu, Yangchao Huang, Xi-Qiao Feng, Saleh I. Alaqel, Arwa S. Alqahtani, Atiah H. Almalki, Nick Howe, Shamini Bundell, Christine-Maria Horejs, Yifan Yang, Fan Xu, Xiao Yang, Csaba Forró, Bianxiao Cui, Christopher Walter, Ramin Balouchzadeh, Philip V. Bayly, Carsten Werner, Atharva Sahasrabudhe, Laura E. Rupprecht, Polina Anikeeva, Michael J. Kratochvil, Alexis J. Seymour, Sarah C. Heilshorn, Angsagan Abdigazy, Mohammed Arfan, Yasser Khan, Matthias Wieczorek, Florian Schaff, Tobias Lasser, Benjamin Terry, Artem Pastukhov, Konstantin Paliienko, Tatiana Borisova, Kewang Nan, Vivian R. Feig, Giovanni Traverso",13 Jul 2020
/articles/s43588-022-00332-y,Chiral topographic instability in shrinking spheres,"This study reports a chiral instability topography in highly deformed core–shell spheres. A core–shell model and a scaling law are developed to understand its morphoelastic mechanism, which helps the design of a nature-inspired smart topographic gripper based on chiral localization.","nature, search, Kangli Cui, Yaqing Wang, Jianhua Qin, Julien G. Roth, Lucia G. Brunel, Sarah C. Heilshorn, Fan Xu, Yangchao Huang, Xi-Qiao Feng, Saleh I. Alaqel, Arwa S. Alqahtani, Atiah H. Almalki, Nick Howe, Shamini Bundell, Christine-Maria Horejs, Yifan Yang, Fan Xu, Xiao Yang, Csaba Forró, Bianxiao Cui, Christopher Walter, Ramin Balouchzadeh, Philip V. Bayly, Carsten Werner, Atharva Sahasrabudhe, Laura E. Rupprecht, Polina Anikeeva, Michael J. Kratochvil, Alexis J. Seymour, Sarah C. Heilshorn, Angsagan Abdigazy, Mohammed Arfan, Yasser Khan, Matthias Wieczorek, Florian Schaff, Tobias Lasser, Benjamin Terry, Artem Pastukhov, Konstantin Paliienko, Tatiana Borisova, Kewang Nan, Vivian R. Feig, Giovanni Traverso",13 Jul 2020
/articles/s41598-023-47392-2,Spectrofluorometric quantitative analysis of aripiprazole based on quenching of natural derived carbon quantum dots in spiked human plasma,"A new way to shape aerogels opens up their use, and understanding how sulfur can change state between two liquids.","nature, search, Kangli Cui, Yaqing Wang, Jianhua Qin, Julien G. Roth, Lucia G. Brunel, Sarah C. Heilshorn, Fan Xu, Yangchao Huang, Xi-Qiao Feng, Saleh I. Alaqel, Arwa S. Alqahtani, Atiah H. Almalki, Nick Howe, Shamini Bundell, Christine-Maria Horejs, Yifan Yang, Fan Xu, Xiao Yang, Csaba Forró, Bianxiao Cui, Christopher Walter, Ramin Balouchzadeh, Philip V. Bayly, Carsten Werner, Atharva Sahasrabudhe, Laura E. Rupprecht, Polina Anikeeva, Michael J. Kratochvil, Alexis J. Seymour, Sarah C. Heilshorn, Angsagan Abdigazy, Mohammed Arfan, Yasser Khan, Matthias Wieczorek, Florian Schaff, Tobias Lasser, Benjamin Terry, Artem Pastukhov, Konstantin Paliienko, Tatiana Borisova, Kewang Nan, Vivian R. Feig, Giovanni Traverso",13 Jul 2020
/articles/d41586-020-02448-5,3D printing some of the world’s lightest materials,"A new way to shape aerogels opens up their use, and understanding how sulfur can change state between two liquids.","nature, search, Kangli Cui, Yaqing Wang, Jianhua Qin, Julien G. Roth, Lucia G. Brunel, Sarah C. Heilshorn, Fan Xu, Yangchao Huang, Xi-Qiao Feng, Saleh I. Alaqel, Arwa S. Alqahtani, Atiah H. Almalki, Nick Howe, Shamini Bundell, Christine-Maria Horejs, Yifan Yang, Fan Xu, Xiao Yang, Csaba Forró, Bianxiao Cui, Christopher Walter, Ramin Balouchzadeh, Philip V. Bayly, Carsten Werner, Atharva Sahasrabudhe, Laura E. Rupprecht, Polina Anikeeva, Michael J. Kratochvil, Alexis J. Seymour, Sarah C. Heilshorn, Angsagan Abdigazy, Mohammed Arfan, Yasser Khan, Matthias Wieczorek, Florian Schaff, Tobias Lasser, Benjamin Terry, Artem Pastukhov, Konstantin Paliienko, Tatiana Borisova, Kewang Nan, Vivian R. Feig, Giovanni Traverso",13 Jul 2020
/articles/s41578-018-0035-6,A golden ticket to the brain,"Morphing soft matter, which is capable of changing its shape and function in response to stimuli, has wide-ranging applications in robotics, medicine and biology. Recently, computational models have accelerated its development. Here, we highlight advances and challenges in developing computational techniques, and explore the potential applications enabled by such models.","nature, search, Kangli Cui, Yaqing Wang, Jianhua Qin, Julien G. Roth, Lucia G. Brunel, Sarah C. Heilshorn, Fan Xu, Yangchao Huang, Xi-Qiao Feng, Saleh I. Alaqel, Arwa S. Alqahtani, Atiah H. Almalki, Nick Howe, Shamini Bundell, Christine-Maria Horejs, Yifan Yang, Fan Xu, Xiao Yang, Csaba Forró, Bianxiao Cui, Christopher Walter, Ramin Balouchzadeh, Philip V. Bayly, Carsten Werner, Atharva Sahasrabudhe, Laura E. Rupprecht, Polina Anikeeva, Michael J. Kratochvil, Alexis J. Seymour, Sarah C. Heilshorn, Angsagan Abdigazy, Mohammed Arfan, Yasser Khan, Matthias Wieczorek, Florian Schaff, Tobias Lasser, Benjamin Terry, Artem Pastukhov, Konstantin Paliienko, Tatiana Borisova, Kewang Nan, Vivian R. Feig, Giovanni Traverso",13 Jul 2020
/articles/s43588-024-00647-y,Computational morphology and morphogenesis for empowering soft-matter engineering,"Morphing soft matter, which is capable of changing its shape and function in response to stimuli, has wide-ranging applications in robotics, medicine and biology. Recently, computational models have accelerated its development. Here, we highlight advances and challenges in developing computational techniques, and explore the potential applications enabled by such models.","nature, search, Kangli Cui, Yaqing Wang, Jianhua Qin, Julien G. Roth, Lucia G. Brunel, Sarah C. Heilshorn, Fan Xu, Yangchao Huang, Xi-Qiao Feng, Saleh I. Alaqel, Arwa S. Alqahtani, Atiah H. Almalki, Nick Howe, Shamini Bundell, Christine-Maria Horejs, Yifan Yang, Fan Xu, Xiao Yang, Csaba Forró, Bianxiao Cui, Christopher Walter, Ramin Balouchzadeh, Philip V. Bayly, Carsten Werner, Atharva Sahasrabudhe, Laura E. Rupprecht, Polina Anikeeva, Michael J. Kratochvil, Alexis J. Seymour, Sarah C. Heilshorn, Angsagan Abdigazy, Mohammed Arfan, Yasser Khan, Matthias Wieczorek, Florian Schaff, Tobias Lasser, Benjamin Terry, Artem Pastukhov, Konstantin Paliienko, Tatiana Borisova, Kewang Nan, Vivian R. Feig, Giovanni Traverso",13 Jul 2020
/articles/s41587-023-02081-3,Kirigami electronics for long-term electrophysiological recording of human neural organoids and assembloids,Electrical activity in neural organoids is captured with a device inspired by a paper-cutting art.,"nature, search, Kangli Cui, Yaqing Wang, Jianhua Qin, Julien G. Roth, Lucia G. Brunel, Sarah C. Heilshorn, Fan Xu, Yangchao Huang, Xi-Qiao Feng, Saleh I. Alaqel, Arwa S. Alqahtani, Atiah H. Almalki, Nick Howe, Shamini Bundell, Christine-Maria Horejs, Yifan Yang, Fan Xu, Xiao Yang, Csaba Forró, Bianxiao Cui, Christopher Walter, Ramin Balouchzadeh, Philip V. Bayly, Carsten Werner, Atharva Sahasrabudhe, Laura E. Rupprecht, Polina Anikeeva, Michael J. Kratochvil, Alexis J. Seymour, Sarah C. Heilshorn, Angsagan Abdigazy, Mohammed Arfan, Yasser Khan, Matthias Wieczorek, Florian Schaff, Tobias Lasser, Benjamin Terry, Artem Pastukhov, Konstantin Paliienko, Tatiana Borisova, Kewang Nan, Vivian R. Feig, Giovanni Traverso",13 Jul 2020
/articles/s41598-023-47900-4,Multi-scale measurement of stiffness in the developing ferret brain,"Biopolymer matrices can modulate the transcriptomic profiles of stem-cell-derived neurons in 3D culture to make them resemble cells in specific brain regions, developmental stages and disease conditions.","nature, search, Kangli Cui, Yaqing Wang, Jianhua Qin, Julien G. Roth, Lucia G. Brunel, Sarah C. Heilshorn, Fan Xu, Yangchao Huang, Xi-Qiao Feng, Saleh I. Alaqel, Arwa S. Alqahtani, Atiah H. Almalki, Nick Howe, Shamini Bundell, Christine-Maria Horejs, Yifan Yang, Fan Xu, Xiao Yang, Csaba Forró, Bianxiao Cui, Christopher Walter, Ramin Balouchzadeh, Philip V. Bayly, Carsten Werner, Atharva Sahasrabudhe, Laura E. Rupprecht, Polina Anikeeva, Michael J. Kratochvil, Alexis J. Seymour, Sarah C. Heilshorn, Angsagan Abdigazy, Mohammed Arfan, Yasser Khan, Matthias Wieczorek, Florian Schaff, Tobias Lasser, Benjamin Terry, Artem Pastukhov, Konstantin Paliienko, Tatiana Borisova, Kewang Nan, Vivian R. Feig, Giovanni Traverso",13 Jul 2020
/articles/s41551-018-0270-6,Matrix-mediated modulation of neuron identity,"Biopolymer matrices can modulate the transcriptomic profiles of stem-cell-derived neurons in 3D culture to make them resemble cells in specific brain regions, developmental stages and disease conditions.","nature, search, Kangli Cui, Yaqing Wang, Jianhua Qin, Julien G. Roth, Lucia G. Brunel, Sarah C. Heilshorn, Fan Xu, Yangchao Huang, Xi-Qiao Feng, Saleh I. Alaqel, Arwa S. Alqahtani, Atiah H. Almalki, Nick Howe, Shamini Bundell, Christine-Maria Horejs, Yifan Yang, Fan Xu, Xiao Yang, Csaba Forró, Bianxiao Cui, Christopher Walter, Ramin Balouchzadeh, Philip V. Bayly, Carsten Werner, Atharva Sahasrabudhe, Laura E. Rupprecht, Polina Anikeeva, Michael J. Kratochvil, Alexis J. Seymour, Sarah C. Heilshorn, Angsagan Abdigazy, Mohammed Arfan, Yasser Khan, Matthias Wieczorek, Florian Schaff, Tobias Lasser, Benjamin Terry, Artem Pastukhov, Konstantin Paliienko, Tatiana Borisova, Kewang Nan, Vivian R. Feig, Giovanni Traverso",13 Jul 2020
