href,title,description,authors,date_published
/articles/s41564-024-01739-1,Multikingdom and functional gut microbiota markers for autism spectrum disorder,Faecal metagenomes and machine learning reveal a panel of 31 multikingdom microbiome markers and microbiome functions that are associated with autism spectrum disorder in male and female children.,"nature, search, Qi Su, Oscar W. H. Wong, Siew C. Ng, Eleni Kotsiliti, Karen  O’Leary, Ursula Hofer, James T. Morton, Dong-Min Jin, Gaspar Taroncher-Oldenburg, Elena J. Coley-O’Rourke, Elaine Y. Hsiao, Elizabeth Svoboda, Mariem Chamtouri, Naoufel Gaddour, Clara G. de los Reyes-Gavilán, A. Stewart Campbell, Brittany D. Needham, Sarkis K. Mazmanian, Julie Carmel, Nasreen Ghanayem, Evan Elliott, Jianquan He, Xiuhua Gong, Yuying Zhang, Lin Y. Hung, Kara Gross Margolis, Sara Reardon, Zhan Tong, Xin Zhou, Yu Kang, Lucia N. Peralta-Marzal, David Rojas-Velazquez, Alejandro Lopez-Rincon, Kiana A. West, Xiaochen Yin, Shoko Iwai, Mariella Cuomo, Lorena Coretti, Francesca Lembo, Yanan Qiao, Mingtao Wu, Fengshan Chen, Magdalena Jendraszak, Mirosława Gałęcka, Mirosław Andrusiewicz, Dae-Wook Kang, James B. Adams, Rosa Krajmalnik-Brown, Lorena Coretti, Claudia Cristiano, Francesca Lembo, Simeng Liu, Enyao Li, Pengyuan Zheng, Christine Tataru, Austin Martin, Maude M. David, L. Palkova, A. Tomova, K. Soltys, Wanyu Li, Jessica A. Plante, Jonathan Abraham, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Yadid M. Algavi, Elhanan Borenstein, Charles Schmidt, Shanlin Ke, Xu-Wen Wang, Yang-Yu Liu, Zachary D. Wallen, Ayse Demirkan, Haydeh Payami, Ewen Callaway, Sara Reardon, D. Garrett Brown, Michaela Murphy, June L. Round, Elinor K. Karlsson, Dominic P. Kwiatkowski, Pardis C. Sabeti, Ece Egilmezer, Stuart T. Hamilton, William D. Rawlinson, Herb Brody, Lizzie Buchen, Fiona C. Ross, Dhrati Patangia, Catherine Stanton, Sara Reardon, Cassandra Willyard, Agustina Taglialegna, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Craig M. Powell, Wenming Zhang, Yuchun Zhong, Cihua Zheng, Livia H. Morais, Henry L. Schreiber IV, Sarkis K. Mazmanian, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Eric J. de Muinck, Pål Trosvik, Stephen M. Collins, Michael Surette, Premysl Bercik",08 Jul 2024
/articles/s41575-021-00564-9,Gut microbiome and autism spectrum disorder,"Microbiome alterations have been associated with autism, but a new study suggests that this may be a consequence of autism-related dietary preferences, rather than a causal factor.","nature, search, Qi Su, Oscar W. H. Wong, Siew C. Ng, Eleni Kotsiliti, Karen  O’Leary, Ursula Hofer, James T. Morton, Dong-Min Jin, Gaspar Taroncher-Oldenburg, Elena J. Coley-O’Rourke, Elaine Y. Hsiao, Elizabeth Svoboda, Mariem Chamtouri, Naoufel Gaddour, Clara G. de los Reyes-Gavilán, A. Stewart Campbell, Brittany D. Needham, Sarkis K. Mazmanian, Julie Carmel, Nasreen Ghanayem, Evan Elliott, Jianquan He, Xiuhua Gong, Yuying Zhang, Lin Y. Hung, Kara Gross Margolis, Sara Reardon, Zhan Tong, Xin Zhou, Yu Kang, Lucia N. Peralta-Marzal, David Rojas-Velazquez, Alejandro Lopez-Rincon, Kiana A. West, Xiaochen Yin, Shoko Iwai, Mariella Cuomo, Lorena Coretti, Francesca Lembo, Yanan Qiao, Mingtao Wu, Fengshan Chen, Magdalena Jendraszak, Mirosława Gałęcka, Mirosław Andrusiewicz, Dae-Wook Kang, James B. Adams, Rosa Krajmalnik-Brown, Lorena Coretti, Claudia Cristiano, Francesca Lembo, Simeng Liu, Enyao Li, Pengyuan Zheng, Christine Tataru, Austin Martin, Maude M. David, L. Palkova, A. Tomova, K. Soltys, Wanyu Li, Jessica A. Plante, Jonathan Abraham, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Yadid M. Algavi, Elhanan Borenstein, Charles Schmidt, Shanlin Ke, Xu-Wen Wang, Yang-Yu Liu, Zachary D. Wallen, Ayse Demirkan, Haydeh Payami, Ewen Callaway, Sara Reardon, D. Garrett Brown, Michaela Murphy, June L. Round, Elinor K. Karlsson, Dominic P. Kwiatkowski, Pardis C. Sabeti, Ece Egilmezer, Stuart T. Hamilton, William D. Rawlinson, Herb Brody, Lizzie Buchen, Fiona C. Ross, Dhrati Patangia, Catherine Stanton, Sara Reardon, Cassandra Willyard, Agustina Taglialegna, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Craig M. Powell, Wenming Zhang, Yuchun Zhong, Cihua Zheng, Livia H. Morais, Henry L. Schreiber IV, Sarkis K. Mazmanian, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Eric J. de Muinck, Pål Trosvik, Stephen M. Collins, Michael Surette, Premysl Bercik",08 Jul 2024
/articles/d41591-022-00028-w,Understanding microbiome alterations in autism,"Microbiome alterations have been associated with autism, but a new study suggests that this may be a consequence of autism-related dietary preferences, rather than a causal factor.","nature, search, Qi Su, Oscar W. H. Wong, Siew C. Ng, Eleni Kotsiliti, Karen  O’Leary, Ursula Hofer, James T. Morton, Dong-Min Jin, Gaspar Taroncher-Oldenburg, Elena J. Coley-O’Rourke, Elaine Y. Hsiao, Elizabeth Svoboda, Mariem Chamtouri, Naoufel Gaddour, Clara G. de los Reyes-Gavilán, A. Stewart Campbell, Brittany D. Needham, Sarkis K. Mazmanian, Julie Carmel, Nasreen Ghanayem, Evan Elliott, Jianquan He, Xiuhua Gong, Yuying Zhang, Lin Y. Hung, Kara Gross Margolis, Sara Reardon, Zhan Tong, Xin Zhou, Yu Kang, Lucia N. Peralta-Marzal, David Rojas-Velazquez, Alejandro Lopez-Rincon, Kiana A. West, Xiaochen Yin, Shoko Iwai, Mariella Cuomo, Lorena Coretti, Francesca Lembo, Yanan Qiao, Mingtao Wu, Fengshan Chen, Magdalena Jendraszak, Mirosława Gałęcka, Mirosław Andrusiewicz, Dae-Wook Kang, James B. Adams, Rosa Krajmalnik-Brown, Lorena Coretti, Claudia Cristiano, Francesca Lembo, Simeng Liu, Enyao Li, Pengyuan Zheng, Christine Tataru, Austin Martin, Maude M. David, L. Palkova, A. Tomova, K. Soltys, Wanyu Li, Jessica A. Plante, Jonathan Abraham, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Yadid M. Algavi, Elhanan Borenstein, Charles Schmidt, Shanlin Ke, Xu-Wen Wang, Yang-Yu Liu, Zachary D. Wallen, Ayse Demirkan, Haydeh Payami, Ewen Callaway, Sara Reardon, D. Garrett Brown, Michaela Murphy, June L. Round, Elinor K. Karlsson, Dominic P. Kwiatkowski, Pardis C. Sabeti, Ece Egilmezer, Stuart T. Hamilton, William D. Rawlinson, Herb Brody, Lizzie Buchen, Fiona C. Ross, Dhrati Patangia, Catherine Stanton, Sara Reardon, Cassandra Willyard, Agustina Taglialegna, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Craig M. Powell, Wenming Zhang, Yuchun Zhong, Cihua Zheng, Livia H. Morais, Henry L. Schreiber IV, Sarkis K. Mazmanian, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Eric J. de Muinck, Pål Trosvik, Stephen M. Collins, Michael Surette, Premysl Bercik",08 Jul 2024
/articles/s41579-021-00670-0,Diet underlying autism–microbiome association,A carefully controlled study finds that restricted dietary preferences might underlie the association between autism spectrum disorder and gut microbiome changes.,"nature, search, Qi Su, Oscar W. H. Wong, Siew C. Ng, Eleni Kotsiliti, Karen  O’Leary, Ursula Hofer, James T. Morton, Dong-Min Jin, Gaspar Taroncher-Oldenburg, Elena J. Coley-O’Rourke, Elaine Y. Hsiao, Elizabeth Svoboda, Mariem Chamtouri, Naoufel Gaddour, Clara G. de los Reyes-Gavilán, A. Stewart Campbell, Brittany D. Needham, Sarkis K. Mazmanian, Julie Carmel, Nasreen Ghanayem, Evan Elliott, Jianquan He, Xiuhua Gong, Yuying Zhang, Lin Y. Hung, Kara Gross Margolis, Sara Reardon, Zhan Tong, Xin Zhou, Yu Kang, Lucia N. Peralta-Marzal, David Rojas-Velazquez, Alejandro Lopez-Rincon, Kiana A. West, Xiaochen Yin, Shoko Iwai, Mariella Cuomo, Lorena Coretti, Francesca Lembo, Yanan Qiao, Mingtao Wu, Fengshan Chen, Magdalena Jendraszak, Mirosława Gałęcka, Mirosław Andrusiewicz, Dae-Wook Kang, James B. Adams, Rosa Krajmalnik-Brown, Lorena Coretti, Claudia Cristiano, Francesca Lembo, Simeng Liu, Enyao Li, Pengyuan Zheng, Christine Tataru, Austin Martin, Maude M. David, L. Palkova, A. Tomova, K. Soltys, Wanyu Li, Jessica A. Plante, Jonathan Abraham, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Yadid M. Algavi, Elhanan Borenstein, Charles Schmidt, Shanlin Ke, Xu-Wen Wang, Yang-Yu Liu, Zachary D. Wallen, Ayse Demirkan, Haydeh Payami, Ewen Callaway, Sara Reardon, D. Garrett Brown, Michaela Murphy, June L. Round, Elinor K. Karlsson, Dominic P. Kwiatkowski, Pardis C. Sabeti, Ece Egilmezer, Stuart T. Hamilton, William D. Rawlinson, Herb Brody, Lizzie Buchen, Fiona C. Ross, Dhrati Patangia, Catherine Stanton, Sara Reardon, Cassandra Willyard, Agustina Taglialegna, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Craig M. Powell, Wenming Zhang, Yuchun Zhong, Cihua Zheng, Livia H. Morais, Henry L. Schreiber IV, Sarkis K. Mazmanian, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Eric J. de Muinck, Pål Trosvik, Stephen M. Collins, Michael Surette, Premysl Bercik",08 Jul 2024
/articles/s41593-023-01361-0,Multi-level analysis of the gut–brain axis shows autism spectrum disorder-associated molecular and microbial profiles,"Autism spectrum disorder (ASD) is characterized by heterogeneous phenotypes. Disruption of the gut–brain axis (GBA) has been implicated in ASD although with limited reproducibility across studies. In this study, the authors propose a framework to leverage multi-omic datasets and investigate how the GBA influences ASD.","nature, search, Qi Su, Oscar W. H. Wong, Siew C. Ng, Eleni Kotsiliti, Karen  O’Leary, Ursula Hofer, James T. Morton, Dong-Min Jin, Gaspar Taroncher-Oldenburg, Elena J. Coley-O’Rourke, Elaine Y. Hsiao, Elizabeth Svoboda, Mariem Chamtouri, Naoufel Gaddour, Clara G. de los Reyes-Gavilán, A. Stewart Campbell, Brittany D. Needham, Sarkis K. Mazmanian, Julie Carmel, Nasreen Ghanayem, Evan Elliott, Jianquan He, Xiuhua Gong, Yuying Zhang, Lin Y. Hung, Kara Gross Margolis, Sara Reardon, Zhan Tong, Xin Zhou, Yu Kang, Lucia N. Peralta-Marzal, David Rojas-Velazquez, Alejandro Lopez-Rincon, Kiana A. West, Xiaochen Yin, Shoko Iwai, Mariella Cuomo, Lorena Coretti, Francesca Lembo, Yanan Qiao, Mingtao Wu, Fengshan Chen, Magdalena Jendraszak, Mirosława Gałęcka, Mirosław Andrusiewicz, Dae-Wook Kang, James B. Adams, Rosa Krajmalnik-Brown, Lorena Coretti, Claudia Cristiano, Francesca Lembo, Simeng Liu, Enyao Li, Pengyuan Zheng, Christine Tataru, Austin Martin, Maude M. David, L. Palkova, A. Tomova, K. Soltys, Wanyu Li, Jessica A. Plante, Jonathan Abraham, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Yadid M. Algavi, Elhanan Borenstein, Charles Schmidt, Shanlin Ke, Xu-Wen Wang, Yang-Yu Liu, Zachary D. Wallen, Ayse Demirkan, Haydeh Payami, Ewen Callaway, Sara Reardon, D. Garrett Brown, Michaela Murphy, June L. Round, Elinor K. Karlsson, Dominic P. Kwiatkowski, Pardis C. Sabeti, Ece Egilmezer, Stuart T. Hamilton, William D. Rawlinson, Herb Brody, Lizzie Buchen, Fiona C. Ross, Dhrati Patangia, Catherine Stanton, Sara Reardon, Cassandra Willyard, Agustina Taglialegna, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Craig M. Powell, Wenming Zhang, Yuchun Zhong, Cihua Zheng, Livia H. Morais, Henry L. Schreiber IV, Sarkis K. Mazmanian, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Eric J. de Muinck, Pål Trosvik, Stephen M. Collins, Michael Surette, Premysl Bercik",08 Jul 2024
/articles/s41564-023-01455-2,Microbiome alterations in autism spectrum disorder,Multi-cohort meta-analysis provides a framework for studies that aim to define causal relationships between the microbiome and autism spectrum disorder.,"nature, search, Qi Su, Oscar W. H. Wong, Siew C. Ng, Eleni Kotsiliti, Karen  O’Leary, Ursula Hofer, James T. Morton, Dong-Min Jin, Gaspar Taroncher-Oldenburg, Elena J. Coley-O’Rourke, Elaine Y. Hsiao, Elizabeth Svoboda, Mariem Chamtouri, Naoufel Gaddour, Clara G. de los Reyes-Gavilán, A. Stewart Campbell, Brittany D. Needham, Sarkis K. Mazmanian, Julie Carmel, Nasreen Ghanayem, Evan Elliott, Jianquan He, Xiuhua Gong, Yuying Zhang, Lin Y. Hung, Kara Gross Margolis, Sara Reardon, Zhan Tong, Xin Zhou, Yu Kang, Lucia N. Peralta-Marzal, David Rojas-Velazquez, Alejandro Lopez-Rincon, Kiana A. West, Xiaochen Yin, Shoko Iwai, Mariella Cuomo, Lorena Coretti, Francesca Lembo, Yanan Qiao, Mingtao Wu, Fengshan Chen, Magdalena Jendraszak, Mirosława Gałęcka, Mirosław Andrusiewicz, Dae-Wook Kang, James B. Adams, Rosa Krajmalnik-Brown, Lorena Coretti, Claudia Cristiano, Francesca Lembo, Simeng Liu, Enyao Li, Pengyuan Zheng, Christine Tataru, Austin Martin, Maude M. David, L. Palkova, A. Tomova, K. Soltys, Wanyu Li, Jessica A. Plante, Jonathan Abraham, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Yadid M. Algavi, Elhanan Borenstein, Charles Schmidt, Shanlin Ke, Xu-Wen Wang, Yang-Yu Liu, Zachary D. Wallen, Ayse Demirkan, Haydeh Payami, Ewen Callaway, Sara Reardon, D. Garrett Brown, Michaela Murphy, June L. Round, Elinor K. Karlsson, Dominic P. Kwiatkowski, Pardis C. Sabeti, Ece Egilmezer, Stuart T. Hamilton, William D. Rawlinson, Herb Brody, Lizzie Buchen, Fiona C. Ross, Dhrati Patangia, Catherine Stanton, Sara Reardon, Cassandra Willyard, Agustina Taglialegna, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Craig M. Powell, Wenming Zhang, Yuchun Zhong, Cihua Zheng, Livia H. Morais, Henry L. Schreiber IV, Sarkis K. Mazmanian, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Eric J. de Muinck, Pål Trosvik, Stephen M. Collins, Michael Surette, Premysl Bercik",08 Jul 2024
/articles/d41586-020-00198-y,Could the gut microbiome be linked to autism?,Researchers are hoping to understand whether the microbes in our guts have a role in the disorder.,"nature, search, Qi Su, Oscar W. H. Wong, Siew C. Ng, Eleni Kotsiliti, Karen  O’Leary, Ursula Hofer, James T. Morton, Dong-Min Jin, Gaspar Taroncher-Oldenburg, Elena J. Coley-O’Rourke, Elaine Y. Hsiao, Elizabeth Svoboda, Mariem Chamtouri, Naoufel Gaddour, Clara G. de los Reyes-Gavilán, A. Stewart Campbell, Brittany D. Needham, Sarkis K. Mazmanian, Julie Carmel, Nasreen Ghanayem, Evan Elliott, Jianquan He, Xiuhua Gong, Yuying Zhang, Lin Y. Hung, Kara Gross Margolis, Sara Reardon, Zhan Tong, Xin Zhou, Yu Kang, Lucia N. Peralta-Marzal, David Rojas-Velazquez, Alejandro Lopez-Rincon, Kiana A. West, Xiaochen Yin, Shoko Iwai, Mariella Cuomo, Lorena Coretti, Francesca Lembo, Yanan Qiao, Mingtao Wu, Fengshan Chen, Magdalena Jendraszak, Mirosława Gałęcka, Mirosław Andrusiewicz, Dae-Wook Kang, James B. Adams, Rosa Krajmalnik-Brown, Lorena Coretti, Claudia Cristiano, Francesca Lembo, Simeng Liu, Enyao Li, Pengyuan Zheng, Christine Tataru, Austin Martin, Maude M. David, L. Palkova, A. Tomova, K. Soltys, Wanyu Li, Jessica A. Plante, Jonathan Abraham, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Yadid M. Algavi, Elhanan Borenstein, Charles Schmidt, Shanlin Ke, Xu-Wen Wang, Yang-Yu Liu, Zachary D. Wallen, Ayse Demirkan, Haydeh Payami, Ewen Callaway, Sara Reardon, D. Garrett Brown, Michaela Murphy, June L. Round, Elinor K. Karlsson, Dominic P. Kwiatkowski, Pardis C. Sabeti, Ece Egilmezer, Stuart T. Hamilton, William D. Rawlinson, Herb Brody, Lizzie Buchen, Fiona C. Ross, Dhrati Patangia, Catherine Stanton, Sara Reardon, Cassandra Willyard, Agustina Taglialegna, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Craig M. Powell, Wenming Zhang, Yuchun Zhong, Cihua Zheng, Livia H. Morais, Henry L. Schreiber IV, Sarkis K. Mazmanian, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Eric J. de Muinck, Pål Trosvik, Stephen M. Collins, Michael Surette, Premysl Bercik",08 Jul 2024
/articles/s41598-023-45534-0,Age and severity-dependent gut microbiota alterations in Tunisian children with autism spectrum disorder,"An open-label clinical trial of an oral absorbent that sequesters phenolic molecules in the gut shows safety and tolerability in adolescents with autism, reduces levels of gut-derived metabolites in circulation and reduces anxiety and irritability.","nature, search, Qi Su, Oscar W. H. Wong, Siew C. Ng, Eleni Kotsiliti, Karen  O’Leary, Ursula Hofer, James T. Morton, Dong-Min Jin, Gaspar Taroncher-Oldenburg, Elena J. Coley-O’Rourke, Elaine Y. Hsiao, Elizabeth Svoboda, Mariem Chamtouri, Naoufel Gaddour, Clara G. de los Reyes-Gavilán, A. Stewart Campbell, Brittany D. Needham, Sarkis K. Mazmanian, Julie Carmel, Nasreen Ghanayem, Evan Elliott, Jianquan He, Xiuhua Gong, Yuying Zhang, Lin Y. Hung, Kara Gross Margolis, Sara Reardon, Zhan Tong, Xin Zhou, Yu Kang, Lucia N. Peralta-Marzal, David Rojas-Velazquez, Alejandro Lopez-Rincon, Kiana A. West, Xiaochen Yin, Shoko Iwai, Mariella Cuomo, Lorena Coretti, Francesca Lembo, Yanan Qiao, Mingtao Wu, Fengshan Chen, Magdalena Jendraszak, Mirosława Gałęcka, Mirosław Andrusiewicz, Dae-Wook Kang, James B. Adams, Rosa Krajmalnik-Brown, Lorena Coretti, Claudia Cristiano, Francesca Lembo, Simeng Liu, Enyao Li, Pengyuan Zheng, Christine Tataru, Austin Martin, Maude M. David, L. Palkova, A. Tomova, K. Soltys, Wanyu Li, Jessica A. Plante, Jonathan Abraham, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Yadid M. Algavi, Elhanan Borenstein, Charles Schmidt, Shanlin Ke, Xu-Wen Wang, Yang-Yu Liu, Zachary D. Wallen, Ayse Demirkan, Haydeh Payami, Ewen Callaway, Sara Reardon, D. Garrett Brown, Michaela Murphy, June L. Round, Elinor K. Karlsson, Dominic P. Kwiatkowski, Pardis C. Sabeti, Ece Egilmezer, Stuart T. Hamilton, William D. Rawlinson, Herb Brody, Lizzie Buchen, Fiona C. Ross, Dhrati Patangia, Catherine Stanton, Sara Reardon, Cassandra Willyard, Agustina Taglialegna, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Craig M. Powell, Wenming Zhang, Yuchun Zhong, Cihua Zheng, Livia H. Morais, Henry L. Schreiber IV, Sarkis K. Mazmanian, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Eric J. de Muinck, Pål Trosvik, Stephen M. Collins, Michael Surette, Premysl Bercik",08 Jul 2024
/articles/s41591-022-01683-9,Safety and target engagement of an oral small-molecule sequestrant in adolescents with autism spectrum disorder: an open-label phase 1b/2a trial,"An open-label clinical trial of an oral absorbent that sequesters phenolic molecules in the gut shows safety and tolerability in adolescents with autism, reduces levels of gut-derived metabolites in circulation and reduces anxiety and irritability.","nature, search, Qi Su, Oscar W. H. Wong, Siew C. Ng, Eleni Kotsiliti, Karen  O’Leary, Ursula Hofer, James T. Morton, Dong-Min Jin, Gaspar Taroncher-Oldenburg, Elena J. Coley-O’Rourke, Elaine Y. Hsiao, Elizabeth Svoboda, Mariem Chamtouri, Naoufel Gaddour, Clara G. de los Reyes-Gavilán, A. Stewart Campbell, Brittany D. Needham, Sarkis K. Mazmanian, Julie Carmel, Nasreen Ghanayem, Evan Elliott, Jianquan He, Xiuhua Gong, Yuying Zhang, Lin Y. Hung, Kara Gross Margolis, Sara Reardon, Zhan Tong, Xin Zhou, Yu Kang, Lucia N. Peralta-Marzal, David Rojas-Velazquez, Alejandro Lopez-Rincon, Kiana A. West, Xiaochen Yin, Shoko Iwai, Mariella Cuomo, Lorena Coretti, Francesca Lembo, Yanan Qiao, Mingtao Wu, Fengshan Chen, Magdalena Jendraszak, Mirosława Gałęcka, Mirosław Andrusiewicz, Dae-Wook Kang, James B. Adams, Rosa Krajmalnik-Brown, Lorena Coretti, Claudia Cristiano, Francesca Lembo, Simeng Liu, Enyao Li, Pengyuan Zheng, Christine Tataru, Austin Martin, Maude M. David, L. Palkova, A. Tomova, K. Soltys, Wanyu Li, Jessica A. Plante, Jonathan Abraham, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Yadid M. Algavi, Elhanan Borenstein, Charles Schmidt, Shanlin Ke, Xu-Wen Wang, Yang-Yu Liu, Zachary D. Wallen, Ayse Demirkan, Haydeh Payami, Ewen Callaway, Sara Reardon, D. Garrett Brown, Michaela Murphy, June L. Round, Elinor K. Karlsson, Dominic P. Kwiatkowski, Pardis C. Sabeti, Ece Egilmezer, Stuart T. Hamilton, William D. Rawlinson, Herb Brody, Lizzie Buchen, Fiona C. Ross, Dhrati Patangia, Catherine Stanton, Sara Reardon, Cassandra Willyard, Agustina Taglialegna, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Craig M. Powell, Wenming Zhang, Yuchun Zhong, Cihua Zheng, Livia H. Morais, Henry L. Schreiber IV, Sarkis K. Mazmanian, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Eric J. de Muinck, Pål Trosvik, Stephen M. Collins, Michael Surette, Premysl Bercik",08 Jul 2024
/articles/s41522-023-00469-2,Bacteroides is increased in an autism cohort and induces autism-relevant behavioral changes in mice in a sex-dependent manner,Gastrointestinal issues are common in autism spectrum disorders (ASDs). This Review provides a comprehensive overview of the clinical and mechanistic connections between ASDs and gastrointestinal disorders and how these data might be utilized for future research and novel therapeutic targets.,"nature, search, Qi Su, Oscar W. H. Wong, Siew C. Ng, Eleni Kotsiliti, Karen  O’Leary, Ursula Hofer, James T. Morton, Dong-Min Jin, Gaspar Taroncher-Oldenburg, Elena J. Coley-O’Rourke, Elaine Y. Hsiao, Elizabeth Svoboda, Mariem Chamtouri, Naoufel Gaddour, Clara G. de los Reyes-Gavilán, A. Stewart Campbell, Brittany D. Needham, Sarkis K. Mazmanian, Julie Carmel, Nasreen Ghanayem, Evan Elliott, Jianquan He, Xiuhua Gong, Yuying Zhang, Lin Y. Hung, Kara Gross Margolis, Sara Reardon, Zhan Tong, Xin Zhou, Yu Kang, Lucia N. Peralta-Marzal, David Rojas-Velazquez, Alejandro Lopez-Rincon, Kiana A. West, Xiaochen Yin, Shoko Iwai, Mariella Cuomo, Lorena Coretti, Francesca Lembo, Yanan Qiao, Mingtao Wu, Fengshan Chen, Magdalena Jendraszak, Mirosława Gałęcka, Mirosław Andrusiewicz, Dae-Wook Kang, James B. Adams, Rosa Krajmalnik-Brown, Lorena Coretti, Claudia Cristiano, Francesca Lembo, Simeng Liu, Enyao Li, Pengyuan Zheng, Christine Tataru, Austin Martin, Maude M. David, L. Palkova, A. Tomova, K. Soltys, Wanyu Li, Jessica A. Plante, Jonathan Abraham, Carlos K. H. Wong, Kristy T. K. Lau, Gabriel M. Leung, Yadid M. Algavi, Elhanan Borenstein, Charles Schmidt, Shanlin Ke, Xu-Wen Wang, Yang-Yu Liu, Zachary D. Wallen, Ayse Demirkan, Haydeh Payami, Ewen Callaway, Sara Reardon, D. Garrett Brown, Michaela Murphy, June L. Round, Elinor K. Karlsson, Dominic P. Kwiatkowski, Pardis C. Sabeti, Ece Egilmezer, Stuart T. Hamilton, William D. Rawlinson, Herb Brody, Lizzie Buchen, Fiona C. Ross, Dhrati Patangia, Catherine Stanton, Sara Reardon, Cassandra Willyard, Agustina Taglialegna, Ivan Vujkovic-Cvijin, Jack Sklar, Yasmine Belkaid, Craig M. Powell, Wenming Zhang, Yuchun Zhong, Cihua Zheng, Livia H. Morais, Henry L. Schreiber IV, Sarkis K. Mazmanian, Tamara S. Bodnar, Garrett Ainsworth-Cruickshank, Charlis Raineki, Eric J. de Muinck, Pål Trosvik, Stephen M. Collins, Michael Surette, Premysl Bercik",08 Jul 2024
