href,title,description,authors,date_published
/articles/s44220-024-00287-1,Individual differences in autism-like traits are associated with reduced goal emulation in a computational model of observational learning,"Using a computational approach, Wu et al. find that autism-related traits are associated with reduced observational learning specifically through reduced goal emulation, revealing difficulties in social goal inference.","nature, search, Qianying Wu, Sarah Oh, Caroline J. Charpentier, Lauren Jenner, Joanna Moss, Richard Dear, Konrad Wagstyl, Petra E. Vértes, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Fani Pantouli, Camille N Pujol, Jerome A. J. Becker, Arjun A. Bhaskaran, Théo Gauvrit, Andreas Frick, Matthijs Moerkerke, Nicky Daniels, Kaat Alaerts, Claire Piochon, Alexander D. Kloth, Christian Hansel, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Zenas C. Chao, Misako Komatsu, Noritaka Ichinohe, Sian Lewis, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Seok-Jun Hong, Reinder Vos de Wael, Boris C. Bernhardt, Bo-yong Park, Seok-Jun Hong, Boris C. Bernhardt, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Mirella Vinci, Simone Treccarichi, Francesco Calì, Li Zhang, Zhaohong Qin, Hsiao-Huei Chen, Anita Tusche, Robert P. Spunt, Ralph Adolphs, Parsa Gholipour, Zahra Ebrahimi, Seyed Asaad Karimi, Gal Vishne, Nori Jacoby, Merav Ahissar, Sarah Nightingale, Jasper van Haasteren, Stefano Berto, Alex H. Treacher, Genevieve Konopka, BaDoi N. Phan, Joseph F. Bohlen, Brady J. Maher, Satoshi Watanabe, Tohru Kurotani, Noritaka Ichinohe, Luye Qin, Jamal B. Williams, Zhen Yan, Naoko Morimura, Hiroki Yasuda, Jun Aruga, Kyle Jasmin, Alex Martin, Stephen J. Gotts, Wen-Chin Huang, Youjun Chen, Damon T. Page, Clara A. Moreau, Sebastian G. W. Urchs, Sebastien Jacquemont, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Claire Piochon, Alexander D. Kloth, Christian Hansel, Brandon L. Pearson, Jeremy M. Simon, Mark J. Zylka, Darran Yates, Leonie Welberg, Brian J O'Roak, Pelagia Deriziotis, Evan E Eichler, Virginie Courchet, Amanda J. Roberts, Julien Courchet",10 Jul 2024
/articles/s44159-024-00343-8,The exclusively inclusive landscape of autism research,People with intellectual disability are underrepresented and often actively excluded from autism research. A better understanding of autism requires inclusive research approaches that accurately represent the broad heterogeneity of the autistic population.,"nature, search, Qianying Wu, Sarah Oh, Caroline J. Charpentier, Lauren Jenner, Joanna Moss, Richard Dear, Konrad Wagstyl, Petra E. Vértes, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Fani Pantouli, Camille N Pujol, Jerome A. J. Becker, Arjun A. Bhaskaran, Théo Gauvrit, Andreas Frick, Matthijs Moerkerke, Nicky Daniels, Kaat Alaerts, Claire Piochon, Alexander D. Kloth, Christian Hansel, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Zenas C. Chao, Misako Komatsu, Noritaka Ichinohe, Sian Lewis, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Seok-Jun Hong, Reinder Vos de Wael, Boris C. Bernhardt, Bo-yong Park, Seok-Jun Hong, Boris C. Bernhardt, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Mirella Vinci, Simone Treccarichi, Francesco Calì, Li Zhang, Zhaohong Qin, Hsiao-Huei Chen, Anita Tusche, Robert P. Spunt, Ralph Adolphs, Parsa Gholipour, Zahra Ebrahimi, Seyed Asaad Karimi, Gal Vishne, Nori Jacoby, Merav Ahissar, Sarah Nightingale, Jasper van Haasteren, Stefano Berto, Alex H. Treacher, Genevieve Konopka, BaDoi N. Phan, Joseph F. Bohlen, Brady J. Maher, Satoshi Watanabe, Tohru Kurotani, Noritaka Ichinohe, Luye Qin, Jamal B. Williams, Zhen Yan, Naoko Morimura, Hiroki Yasuda, Jun Aruga, Kyle Jasmin, Alex Martin, Stephen J. Gotts, Wen-Chin Huang, Youjun Chen, Damon T. Page, Clara A. Moreau, Sebastian G. W. Urchs, Sebastien Jacquemont, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Claire Piochon, Alexander D. Kloth, Christian Hansel, Brandon L. Pearson, Jeremy M. Simon, Mark J. Zylka, Darran Yates, Leonie Welberg, Brian J O'Roak, Pelagia Deriziotis, Evan E Eichler, Virginie Courchet, Amanda J. Roberts, Julien Courchet",10 Jul 2024
/articles/s41593-024-01624-4,"Cortical gene expression architecture links healthy neurodevelopment to the imaging, transcriptomics and genetics of autism and schizophrenia","Gene expression in the human cortex is shown to involve three general components, which reflect metabolic and immune programs of healthy development, and link case–control imaging and transcriptomics to genetic risk for autism and schizophrenia.","nature, search, Qianying Wu, Sarah Oh, Caroline J. Charpentier, Lauren Jenner, Joanna Moss, Richard Dear, Konrad Wagstyl, Petra E. Vértes, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Fani Pantouli, Camille N Pujol, Jerome A. J. Becker, Arjun A. Bhaskaran, Théo Gauvrit, Andreas Frick, Matthijs Moerkerke, Nicky Daniels, Kaat Alaerts, Claire Piochon, Alexander D. Kloth, Christian Hansel, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Zenas C. Chao, Misako Komatsu, Noritaka Ichinohe, Sian Lewis, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Seok-Jun Hong, Reinder Vos de Wael, Boris C. Bernhardt, Bo-yong Park, Seok-Jun Hong, Boris C. Bernhardt, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Mirella Vinci, Simone Treccarichi, Francesco Calì, Li Zhang, Zhaohong Qin, Hsiao-Huei Chen, Anita Tusche, Robert P. Spunt, Ralph Adolphs, Parsa Gholipour, Zahra Ebrahimi, Seyed Asaad Karimi, Gal Vishne, Nori Jacoby, Merav Ahissar, Sarah Nightingale, Jasper van Haasteren, Stefano Berto, Alex H. Treacher, Genevieve Konopka, BaDoi N. Phan, Joseph F. Bohlen, Brady J. Maher, Satoshi Watanabe, Tohru Kurotani, Noritaka Ichinohe, Luye Qin, Jamal B. Williams, Zhen Yan, Naoko Morimura, Hiroki Yasuda, Jun Aruga, Kyle Jasmin, Alex Martin, Stephen J. Gotts, Wen-Chin Huang, Youjun Chen, Damon T. Page, Clara A. Moreau, Sebastian G. W. Urchs, Sebastien Jacquemont, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Claire Piochon, Alexander D. Kloth, Christian Hansel, Brandon L. Pearson, Jeremy M. Simon, Mark J. Zylka, Darran Yates, Leonie Welberg, Brian J O'Roak, Pelagia Deriziotis, Evan E Eichler, Virginie Courchet, Amanda J. Roberts, Julien Courchet",10 Jul 2024
/articles/s41572-020-0146-4,Autism spectrum disorder,"This PrimeView summarizes the management of autism spectrum disorder, a neurodevelopmental disorder that typically manifests in childhood.","nature, search, Qianying Wu, Sarah Oh, Caroline J. Charpentier, Lauren Jenner, Joanna Moss, Richard Dear, Konrad Wagstyl, Petra E. Vértes, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Fani Pantouli, Camille N Pujol, Jerome A. J. Becker, Arjun A. Bhaskaran, Théo Gauvrit, Andreas Frick, Matthijs Moerkerke, Nicky Daniels, Kaat Alaerts, Claire Piochon, Alexander D. Kloth, Christian Hansel, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Zenas C. Chao, Misako Komatsu, Noritaka Ichinohe, Sian Lewis, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Seok-Jun Hong, Reinder Vos de Wael, Boris C. Bernhardt, Bo-yong Park, Seok-Jun Hong, Boris C. Bernhardt, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Mirella Vinci, Simone Treccarichi, Francesco Calì, Li Zhang, Zhaohong Qin, Hsiao-Huei Chen, Anita Tusche, Robert P. Spunt, Ralph Adolphs, Parsa Gholipour, Zahra Ebrahimi, Seyed Asaad Karimi, Gal Vishne, Nori Jacoby, Merav Ahissar, Sarah Nightingale, Jasper van Haasteren, Stefano Berto, Alex H. Treacher, Genevieve Konopka, BaDoi N. Phan, Joseph F. Bohlen, Brady J. Maher, Satoshi Watanabe, Tohru Kurotani, Noritaka Ichinohe, Luye Qin, Jamal B. Williams, Zhen Yan, Naoko Morimura, Hiroki Yasuda, Jun Aruga, Kyle Jasmin, Alex Martin, Stephen J. Gotts, Wen-Chin Huang, Youjun Chen, Damon T. Page, Clara A. Moreau, Sebastian G. W. Urchs, Sebastien Jacquemont, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Claire Piochon, Alexander D. Kloth, Christian Hansel, Brandon L. Pearson, Jeremy M. Simon, Mark J. Zylka, Darran Yates, Leonie Welberg, Brian J O'Roak, Pelagia Deriziotis, Evan E Eichler, Virginie Courchet, Amanda J. Roberts, Julien Courchet",10 Jul 2024
/articles/nrneurol.2014.73,Paternal obesity raises risk of autism spectrum disorders,Tasnim et al. show that ASD-associated genes act in different compartments of somatosensory circuits and that differences in developmental timing of ASD gene function and circuit maturation contribute to phenotypic heterogeneity across ASD models.,"nature, search, Qianying Wu, Sarah Oh, Caroline J. Charpentier, Lauren Jenner, Joanna Moss, Richard Dear, Konrad Wagstyl, Petra E. Vértes, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Fani Pantouli, Camille N Pujol, Jerome A. J. Becker, Arjun A. Bhaskaran, Théo Gauvrit, Andreas Frick, Matthijs Moerkerke, Nicky Daniels, Kaat Alaerts, Claire Piochon, Alexander D. Kloth, Christian Hansel, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Zenas C. Chao, Misako Komatsu, Noritaka Ichinohe, Sian Lewis, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Seok-Jun Hong, Reinder Vos de Wael, Boris C. Bernhardt, Bo-yong Park, Seok-Jun Hong, Boris C. Bernhardt, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Mirella Vinci, Simone Treccarichi, Francesco Calì, Li Zhang, Zhaohong Qin, Hsiao-Huei Chen, Anita Tusche, Robert P. Spunt, Ralph Adolphs, Parsa Gholipour, Zahra Ebrahimi, Seyed Asaad Karimi, Gal Vishne, Nori Jacoby, Merav Ahissar, Sarah Nightingale, Jasper van Haasteren, Stefano Berto, Alex H. Treacher, Genevieve Konopka, BaDoi N. Phan, Joseph F. Bohlen, Brady J. Maher, Satoshi Watanabe, Tohru Kurotani, Noritaka Ichinohe, Luye Qin, Jamal B. Williams, Zhen Yan, Naoko Morimura, Hiroki Yasuda, Jun Aruga, Kyle Jasmin, Alex Martin, Stephen J. Gotts, Wen-Chin Huang, Youjun Chen, Damon T. Page, Clara A. Moreau, Sebastian G. W. Urchs, Sebastien Jacquemont, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Claire Piochon, Alexander D. Kloth, Christian Hansel, Brandon L. Pearson, Jeremy M. Simon, Mark J. Zylka, Darran Yates, Leonie Welberg, Brian J O'Roak, Pelagia Deriziotis, Evan E Eichler, Virginie Courchet, Amanda J. Roberts, Julien Courchet",10 Jul 2024
/articles/s41593-023-01552-9,The developmental timing of spinal touch processing alterations predicts behavioral changes in genetic mouse models of autism spectrum disorders,Tasnim et al. show that ASD-associated genes act in different compartments of somatosensory circuits and that differences in developmental timing of ASD gene function and circuit maturation contribute to phenotypic heterogeneity across ASD models.,"nature, search, Qianying Wu, Sarah Oh, Caroline J. Charpentier, Lauren Jenner, Joanna Moss, Richard Dear, Konrad Wagstyl, Petra E. Vértes, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Fani Pantouli, Camille N Pujol, Jerome A. J. Becker, Arjun A. Bhaskaran, Théo Gauvrit, Andreas Frick, Matthijs Moerkerke, Nicky Daniels, Kaat Alaerts, Claire Piochon, Alexander D. Kloth, Christian Hansel, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Zenas C. Chao, Misako Komatsu, Noritaka Ichinohe, Sian Lewis, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Seok-Jun Hong, Reinder Vos de Wael, Boris C. Bernhardt, Bo-yong Park, Seok-Jun Hong, Boris C. Bernhardt, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Mirella Vinci, Simone Treccarichi, Francesco Calì, Li Zhang, Zhaohong Qin, Hsiao-Huei Chen, Anita Tusche, Robert P. Spunt, Ralph Adolphs, Parsa Gholipour, Zahra Ebrahimi, Seyed Asaad Karimi, Gal Vishne, Nori Jacoby, Merav Ahissar, Sarah Nightingale, Jasper van Haasteren, Stefano Berto, Alex H. Treacher, Genevieve Konopka, BaDoi N. Phan, Joseph F. Bohlen, Brady J. Maher, Satoshi Watanabe, Tohru Kurotani, Noritaka Ichinohe, Luye Qin, Jamal B. Williams, Zhen Yan, Naoko Morimura, Hiroki Yasuda, Jun Aruga, Kyle Jasmin, Alex Martin, Stephen J. Gotts, Wen-Chin Huang, Youjun Chen, Damon T. Page, Clara A. Moreau, Sebastian G. W. Urchs, Sebastien Jacquemont, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Claire Piochon, Alexander D. Kloth, Christian Hansel, Brandon L. Pearson, Jeremy M. Simon, Mark J. Zylka, Darran Yates, Leonie Welberg, Brian J O'Roak, Pelagia Deriziotis, Evan E Eichler, Virginie Courchet, Amanda J. Roberts, Julien Courchet",10 Jul 2024
/articles/nrneurol.2011.221,Deficient auditory processing identified in children with suspected autism spectrum disorder,"Enhanced variability is a hallmark of atypical sensory processing in autism. Here, focusing on variability of neocortical tactile responses in mice, the authors explore the role of endogenous noise sources in neural processing in a model of autism.","nature, search, Qianying Wu, Sarah Oh, Caroline J. Charpentier, Lauren Jenner, Joanna Moss, Richard Dear, Konrad Wagstyl, Petra E. Vértes, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Fani Pantouli, Camille N Pujol, Jerome A. J. Becker, Arjun A. Bhaskaran, Théo Gauvrit, Andreas Frick, Matthijs Moerkerke, Nicky Daniels, Kaat Alaerts, Claire Piochon, Alexander D. Kloth, Christian Hansel, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Zenas C. Chao, Misako Komatsu, Noritaka Ichinohe, Sian Lewis, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Seok-Jun Hong, Reinder Vos de Wael, Boris C. Bernhardt, Bo-yong Park, Seok-Jun Hong, Boris C. Bernhardt, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Mirella Vinci, Simone Treccarichi, Francesco Calì, Li Zhang, Zhaohong Qin, Hsiao-Huei Chen, Anita Tusche, Robert P. Spunt, Ralph Adolphs, Parsa Gholipour, Zahra Ebrahimi, Seyed Asaad Karimi, Gal Vishne, Nori Jacoby, Merav Ahissar, Sarah Nightingale, Jasper van Haasteren, Stefano Berto, Alex H. Treacher, Genevieve Konopka, BaDoi N. Phan, Joseph F. Bohlen, Brady J. Maher, Satoshi Watanabe, Tohru Kurotani, Noritaka Ichinohe, Luye Qin, Jamal B. Williams, Zhen Yan, Naoko Morimura, Hiroki Yasuda, Jun Aruga, Kyle Jasmin, Alex Martin, Stephen J. Gotts, Wen-Chin Huang, Youjun Chen, Damon T. Page, Clara A. Moreau, Sebastian G. W. Urchs, Sebastien Jacquemont, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Claire Piochon, Alexander D. Kloth, Christian Hansel, Brandon L. Pearson, Jeremy M. Simon, Mark J. Zylka, Darran Yates, Leonie Welberg, Brian J O'Roak, Pelagia Deriziotis, Evan E Eichler, Virginie Courchet, Amanda J. Roberts, Julien Courchet",10 Jul 2024
/articles/s41386-024-01915-1,"Acute, chronic and conditioned effects of intranasal oxytocin in the mu-opioid receptor knockout mouse model of autism: Social context matters","Enhanced variability is a hallmark of atypical sensory processing in autism. Here, focusing on variability of neocortical tactile responses in mice, the authors explore the role of endogenous noise sources in neural processing in a model of autism.","nature, search, Qianying Wu, Sarah Oh, Caroline J. Charpentier, Lauren Jenner, Joanna Moss, Richard Dear, Konrad Wagstyl, Petra E. Vértes, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Fani Pantouli, Camille N Pujol, Jerome A. J. Becker, Arjun A. Bhaskaran, Théo Gauvrit, Andreas Frick, Matthijs Moerkerke, Nicky Daniels, Kaat Alaerts, Claire Piochon, Alexander D. Kloth, Christian Hansel, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Zenas C. Chao, Misako Komatsu, Noritaka Ichinohe, Sian Lewis, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Seok-Jun Hong, Reinder Vos de Wael, Boris C. Bernhardt, Bo-yong Park, Seok-Jun Hong, Boris C. Bernhardt, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Mirella Vinci, Simone Treccarichi, Francesco Calì, Li Zhang, Zhaohong Qin, Hsiao-Huei Chen, Anita Tusche, Robert P. Spunt, Ralph Adolphs, Parsa Gholipour, Zahra Ebrahimi, Seyed Asaad Karimi, Gal Vishne, Nori Jacoby, Merav Ahissar, Sarah Nightingale, Jasper van Haasteren, Stefano Berto, Alex H. Treacher, Genevieve Konopka, BaDoi N. Phan, Joseph F. Bohlen, Brady J. Maher, Satoshi Watanabe, Tohru Kurotani, Noritaka Ichinohe, Luye Qin, Jamal B. Williams, Zhen Yan, Naoko Morimura, Hiroki Yasuda, Jun Aruga, Kyle Jasmin, Alex Martin, Stephen J. Gotts, Wen-Chin Huang, Youjun Chen, Damon T. Page, Clara A. Moreau, Sebastian G. W. Urchs, Sebastien Jacquemont, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Claire Piochon, Alexander D. Kloth, Christian Hansel, Brandon L. Pearson, Jeremy M. Simon, Mark J. Zylka, Darran Yates, Leonie Welberg, Brian J O'Roak, Pelagia Deriziotis, Evan E Eichler, Virginie Courchet, Amanda J. Roberts, Julien Courchet",10 Jul 2024
/articles/s41467-023-43777-z,Endogenous noise of neocortical neurons correlates with atypical sensory response variability in the Fmr1−/y mouse model of autism,"Enhanced variability is a hallmark of atypical sensory processing in autism. Here, focusing on variability of neocortical tactile responses in mice, the authors explore the role of endogenous noise sources in neural processing in a model of autism.","nature, search, Qianying Wu, Sarah Oh, Caroline J. Charpentier, Lauren Jenner, Joanna Moss, Richard Dear, Konrad Wagstyl, Petra E. Vértes, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Fani Pantouli, Camille N Pujol, Jerome A. J. Becker, Arjun A. Bhaskaran, Théo Gauvrit, Andreas Frick, Matthijs Moerkerke, Nicky Daniels, Kaat Alaerts, Claire Piochon, Alexander D. Kloth, Christian Hansel, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Zenas C. Chao, Misako Komatsu, Noritaka Ichinohe, Sian Lewis, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Seok-Jun Hong, Reinder Vos de Wael, Boris C. Bernhardt, Bo-yong Park, Seok-Jun Hong, Boris C. Bernhardt, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Mirella Vinci, Simone Treccarichi, Francesco Calì, Li Zhang, Zhaohong Qin, Hsiao-Huei Chen, Anita Tusche, Robert P. Spunt, Ralph Adolphs, Parsa Gholipour, Zahra Ebrahimi, Seyed Asaad Karimi, Gal Vishne, Nori Jacoby, Merav Ahissar, Sarah Nightingale, Jasper van Haasteren, Stefano Berto, Alex H. Treacher, Genevieve Konopka, BaDoi N. Phan, Joseph F. Bohlen, Brady J. Maher, Satoshi Watanabe, Tohru Kurotani, Noritaka Ichinohe, Luye Qin, Jamal B. Williams, Zhen Yan, Naoko Morimura, Hiroki Yasuda, Jun Aruga, Kyle Jasmin, Alex Martin, Stephen J. Gotts, Wen-Chin Huang, Youjun Chen, Damon T. Page, Clara A. Moreau, Sebastian G. W. Urchs, Sebastien Jacquemont, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Claire Piochon, Alexander D. Kloth, Christian Hansel, Brandon L. Pearson, Jeremy M. Simon, Mark J. Zylka, Darran Yates, Leonie Welberg, Brian J O'Roak, Pelagia Deriziotis, Evan E Eichler, Virginie Courchet, Amanda J. Roberts, Julien Courchet",10 Jul 2024
/articles/s41467-023-44334-4,Chronic oxytocin administration stimulates the oxytocinergic system in children with autism,"Intranasal administration of oxytocin is increasingly considered as a new therapeutic option for alleviating stress and social problems in children with autism. Here, important insights are provided into how repeated administration of oxytocin influences the functioning of one’s own oxytocin system.","nature, search, Qianying Wu, Sarah Oh, Caroline J. Charpentier, Lauren Jenner, Joanna Moss, Richard Dear, Konrad Wagstyl, Petra E. Vértes, Aniqa Tasnim, Ilayda Alkislar, David D. Ginty, Fani Pantouli, Camille N Pujol, Jerome A. J. Becker, Arjun A. Bhaskaran, Théo Gauvrit, Andreas Frick, Matthijs Moerkerke, Nicky Daniels, Kaat Alaerts, Claire Piochon, Alexander D. Kloth, Christian Hansel, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Zenas C. Chao, Misako Komatsu, Noritaka Ichinohe, Sian Lewis, Pär Nyström, Teodora Gliga, Terje Falck-Ytter, Seok-Jun Hong, Reinder Vos de Wael, Boris C. Bernhardt, Bo-yong Park, Seok-Jun Hong, Boris C. Bernhardt, Chong Li, Jonas Simon Fleck, Juergen A. Knoblich, Mirella Vinci, Simone Treccarichi, Francesco Calì, Li Zhang, Zhaohong Qin, Hsiao-Huei Chen, Anita Tusche, Robert P. Spunt, Ralph Adolphs, Parsa Gholipour, Zahra Ebrahimi, Seyed Asaad Karimi, Gal Vishne, Nori Jacoby, Merav Ahissar, Sarah Nightingale, Jasper van Haasteren, Stefano Berto, Alex H. Treacher, Genevieve Konopka, BaDoi N. Phan, Joseph F. Bohlen, Brady J. Maher, Satoshi Watanabe, Tohru Kurotani, Noritaka Ichinohe, Luye Qin, Jamal B. Williams, Zhen Yan, Naoko Morimura, Hiroki Yasuda, Jun Aruga, Kyle Jasmin, Alex Martin, Stephen J. Gotts, Wen-Chin Huang, Youjun Chen, Damon T. Page, Clara A. Moreau, Sebastian G. W. Urchs, Sebastien Jacquemont, Alexandre Jourdon, Feinan Wu, Flora M. Vaccarino, Nuria Domínguez-Iturza, Adrian C. Lo, Claudia Bagni, Claire Piochon, Alexander D. Kloth, Christian Hansel, Brandon L. Pearson, Jeremy M. Simon, Mark J. Zylka, Darran Yates, Leonie Welberg, Brian J O'Roak, Pelagia Deriziotis, Evan E Eichler, Virginie Courchet, Amanda J. Roberts, Julien Courchet",10 Jul 2024
