href,title,description,authors,date_published
/articles/s41598-018-25961-0,Metagenomic profiling for assessing microbial diversity and microbial adaptation to degradation of hydrocarbons in two South African petroleum-contaminated water aquifers,"Afezgene cluster drives formation of ferrosomes, a distinct lipid-bounded organelle for iron storage, in diverse bacterial species.","nature, search, Leonard Kachienga, Keshri Jitendra, Maggy Momba, Carly R. Grant, Matthieu Amor, Arash Komeili, Stephan Dräxl, Johannes Müller, Anton R. Schäffner, Whitney E. Sinclair, Huei-Huei Chang, Deborah E. Leckband, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, Cecile Berne, Courtney K. Ellison, Yves V. Brun, René Uebe, Dirk Schüler, Hui Li, Xiao-Qiu Tan, Ji-Min Cao, Éva Leiter, Hee-Soo Park, István Pócsi, Reynaldo Magalhães Melo, Jaques Miranda Ferreira de Souza, Luis Henrique Ferreira do Vale, Chris Greening, Trevor Lithgow, Inmaculada Ramirez-Macias, Lael D. Barlow, Joel B. Dacks, Yongmei Qi, Qian Qiu, Yingmei Zhang",15 May 2018
/articles/s41586-022-04741-x,Distinct gene clusters drive formation of ferrosome organelles in bacteria,"Afezgene cluster drives formation of ferrosomes, a distinct lipid-bounded organelle for iron storage, in diverse bacterial species.","nature, search, Leonard Kachienga, Keshri Jitendra, Maggy Momba, Carly R. Grant, Matthieu Amor, Arash Komeili, Stephan Dräxl, Johannes Müller, Anton R. Schäffner, Whitney E. Sinclair, Huei-Huei Chang, Deborah E. Leckband, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, Cecile Berne, Courtney K. Ellison, Yves V. Brun, René Uebe, Dirk Schüler, Hui Li, Xiao-Qiu Tan, Ji-Min Cao, Éva Leiter, Hee-Soo Park, István Pócsi, Reynaldo Magalhães Melo, Jaques Miranda Ferreira de Souza, Luis Henrique Ferreira do Vale, Chris Greening, Trevor Lithgow, Inmaculada Ramirez-Macias, Lael D. Barlow, Joel B. Dacks, Yongmei Qi, Qian Qiu, Yingmei Zhang",15 May 2018
/articles/ncomms3092,Caesium accumulation in yeast and plants is selectively repressed by loss of the SNARE Sec22p/SEC22,"The active uptake of radiocaesium by plants via potassium transport systems results in contamination of food supplies. Here, the authors show that loss of the v-SNARE protein Sec22p/SEC22 specifically reduces the accumulation of Cs+in yeast and plants by repressing its deposition to vacuoles.","nature, search, Leonard Kachienga, Keshri Jitendra, Maggy Momba, Carly R. Grant, Matthieu Amor, Arash Komeili, Stephan Dräxl, Johannes Müller, Anton R. Schäffner, Whitney E. Sinclair, Huei-Huei Chang, Deborah E. Leckband, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, Cecile Berne, Courtney K. Ellison, Yves V. Brun, René Uebe, Dirk Schüler, Hui Li, Xiao-Qiu Tan, Ji-Min Cao, Éva Leiter, Hee-Soo Park, István Pócsi, Reynaldo Magalhães Melo, Jaques Miranda Ferreira de Souza, Luis Henrique Ferreira do Vale, Chris Greening, Trevor Lithgow, Inmaculada Ramirez-Macias, Lael D. Barlow, Joel B. Dacks, Yongmei Qi, Qian Qiu, Yingmei Zhang",15 May 2018
/articles/s41598-020-70148-1,Gold nanoparticles disrupt actin organization and pulmonary endothelial barriers,"In this Review, Brun and colleagues summarize our understanding of the mechanisms governing bacterial adhesion at the single-cell level, including the physical forces experienced by a cell before reaching the surface, the first contact with a surface and the transition from reversible to permanent adhesion.","nature, search, Leonard Kachienga, Keshri Jitendra, Maggy Momba, Carly R. Grant, Matthieu Amor, Arash Komeili, Stephan Dräxl, Johannes Müller, Anton R. Schäffner, Whitney E. Sinclair, Huei-Huei Chang, Deborah E. Leckband, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, Cecile Berne, Courtney K. Ellison, Yves V. Brun, René Uebe, Dirk Schüler, Hui Li, Xiao-Qiu Tan, Ji-Min Cao, Éva Leiter, Hee-Soo Park, István Pócsi, Reynaldo Magalhães Melo, Jaques Miranda Ferreira de Souza, Luis Henrique Ferreira do Vale, Chris Greening, Trevor Lithgow, Inmaculada Ramirez-Macias, Lael D. Barlow, Joel B. Dacks, Yongmei Qi, Qian Qiu, Yingmei Zhang",15 May 2018
/articles/s41598-022-23502-4,Label-free third harmonic generation imaging and quantification of lipid droplets in live filamentous fungi,"In this Review, Brun and colleagues summarize our understanding of the mechanisms governing bacterial adhesion at the single-cell level, including the physical forces experienced by a cell before reaching the surface, the first contact with a surface and the transition from reversible to permanent adhesion.","nature, search, Leonard Kachienga, Keshri Jitendra, Maggy Momba, Carly R. Grant, Matthieu Amor, Arash Komeili, Stephan Dräxl, Johannes Müller, Anton R. Schäffner, Whitney E. Sinclair, Huei-Huei Chang, Deborah E. Leckband, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, Cecile Berne, Courtney K. Ellison, Yves V. Brun, René Uebe, Dirk Schüler, Hui Li, Xiao-Qiu Tan, Ji-Min Cao, Éva Leiter, Hee-Soo Park, István Pócsi, Reynaldo Magalhães Melo, Jaques Miranda Ferreira de Souza, Luis Henrique Ferreira do Vale, Chris Greening, Trevor Lithgow, Inmaculada Ramirez-Macias, Lael D. Barlow, Joel B. Dacks, Yongmei Qi, Qian Qiu, Yingmei Zhang",15 May 2018
/articles/s41579-018-0057-5,Bacterial adhesion at the single-cell level,"In this Review, Brun and colleagues summarize our understanding of the mechanisms governing bacterial adhesion at the single-cell level, including the physical forces experienced by a cell before reaching the surface, the first contact with a surface and the transition from reversible to permanent adhesion.","nature, search, Leonard Kachienga, Keshri Jitendra, Maggy Momba, Carly R. Grant, Matthieu Amor, Arash Komeili, Stephan Dräxl, Johannes Müller, Anton R. Schäffner, Whitney E. Sinclair, Huei-Huei Chang, Deborah E. Leckband, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, Cecile Berne, Courtney K. Ellison, Yves V. Brun, René Uebe, Dirk Schüler, Hui Li, Xiao-Qiu Tan, Ji-Min Cao, Éva Leiter, Hee-Soo Park, István Pócsi, Reynaldo Magalhães Melo, Jaques Miranda Ferreira de Souza, Luis Henrique Ferreira do Vale, Chris Greening, Trevor Lithgow, Inmaculada Ramirez-Macias, Lael D. Barlow, Joel B. Dacks, Yongmei Qi, Qian Qiu, Yingmei Zhang",15 May 2018
/articles/nrmicro.2016.99,Magnetosome biogenesis in magnetotactic bacteria,"Magnetosomes are unique organelles that 'magnetize' bacteria. In this Review, Uebe and Schüler discuss our current understanding of the mechanisms of magnetosome biogenesis, and consider how recent genetic advances in this area may lead to the development of exciting biotechnological applications.","nature, search, Leonard Kachienga, Keshri Jitendra, Maggy Momba, Carly R. Grant, Matthieu Amor, Arash Komeili, Stephan Dräxl, Johannes Müller, Anton R. Schäffner, Whitney E. Sinclair, Huei-Huei Chang, Deborah E. Leckband, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, Cecile Berne, Courtney K. Ellison, Yves V. Brun, René Uebe, Dirk Schüler, Hui Li, Xiao-Qiu Tan, Ji-Min Cao, Éva Leiter, Hee-Soo Park, István Pócsi, Reynaldo Magalhães Melo, Jaques Miranda Ferreira de Souza, Luis Henrique Ferreira do Vale, Chris Greening, Trevor Lithgow, Inmaculada Ramirez-Macias, Lael D. Barlow, Joel B. Dacks, Yongmei Qi, Qian Qiu, Yingmei Zhang",15 May 2018
/articles/s41598-017-00386-3,Multi-walled carbon nanotubes act as a chemokine and recruit macrophages by activating the PLC/IP3/CRAC channel signaling pathway,"Advances in imaging techniques have revealed an unexpected abundance and diversity of organelles in bacteria. In this Review, Greening and Lithgow outline the different types of bacterial organelles and discuss common themes in their formation and function.","nature, search, Leonard Kachienga, Keshri Jitendra, Maggy Momba, Carly R. Grant, Matthieu Amor, Arash Komeili, Stephan Dräxl, Johannes Müller, Anton R. Schäffner, Whitney E. Sinclair, Huei-Huei Chang, Deborah E. Leckband, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, Cecile Berne, Courtney K. Ellison, Yves V. Brun, René Uebe, Dirk Schüler, Hui Li, Xiao-Qiu Tan, Ji-Min Cao, Éva Leiter, Hee-Soo Park, István Pócsi, Reynaldo Magalhães Melo, Jaques Miranda Ferreira de Souza, Luis Henrique Ferreira do Vale, Chris Greening, Trevor Lithgow, Inmaculada Ramirez-Macias, Lael D. Barlow, Joel B. Dacks, Yongmei Qi, Qian Qiu, Yingmei Zhang",15 May 2018
/articles/srep20523,"Characterization of the aodA, dnmA, mnSOD and pimA genes in Aspergillus nidulans","Advances in imaging techniques have revealed an unexpected abundance and diversity of organelles in bacteria. In this Review, Greening and Lithgow outline the different types of bacterial organelles and discuss common themes in their formation and function.","nature, search, Leonard Kachienga, Keshri Jitendra, Maggy Momba, Carly R. Grant, Matthieu Amor, Arash Komeili, Stephan Dräxl, Johannes Müller, Anton R. Schäffner, Whitney E. Sinclair, Huei-Huei Chang, Deborah E. Leckband, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, Cecile Berne, Courtney K. Ellison, Yves V. Brun, René Uebe, Dirk Schüler, Hui Li, Xiao-Qiu Tan, Ji-Min Cao, Éva Leiter, Hee-Soo Park, István Pócsi, Reynaldo Magalhães Melo, Jaques Miranda Ferreira de Souza, Luis Henrique Ferreira do Vale, Chris Greening, Trevor Lithgow, Inmaculada Ramirez-Macias, Lael D. Barlow, Joel B. Dacks, Yongmei Qi, Qian Qiu, Yingmei Zhang",15 May 2018
/articles/s41598-023-29857-6,Revealing Corynebacterium glutamicum proteoforms through top-down proteomics,"Advances in imaging techniques have revealed an unexpected abundance and diversity of organelles in bacteria. In this Review, Greening and Lithgow outline the different types of bacterial organelles and discuss common themes in their formation and function.","nature, search, Leonard Kachienga, Keshri Jitendra, Maggy Momba, Carly R. Grant, Matthieu Amor, Arash Komeili, Stephan Dräxl, Johannes Müller, Anton R. Schäffner, Whitney E. Sinclair, Huei-Huei Chang, Deborah E. Leckband, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, Cecile Berne, Courtney K. Ellison, Yves V. Brun, René Uebe, Dirk Schüler, Hui Li, Xiao-Qiu Tan, Ji-Min Cao, Éva Leiter, Hee-Soo Park, István Pócsi, Reynaldo Magalhães Melo, Jaques Miranda Ferreira de Souza, Luis Henrique Ferreira do Vale, Chris Greening, Trevor Lithgow, Inmaculada Ramirez-Macias, Lael D. Barlow, Joel B. Dacks, Yongmei Qi, Qian Qiu, Yingmei Zhang",15 May 2018
