href,title,description,authors,date_published
/articles/s41598-020-72138-9,Horizontal ‘gene drives’ harness indigenous bacteria for bioremediation,"Remediation of contaminated and disused brownfields enables urban development, but many remediation strategies have high environmental or social burdens. This Review examines sustainable technologies to remediate and redevelop these sites, highlighting strategies to maximize co-benefits.","nature, search, Katherine E. French, Zhongrui Zhou, Norman Terry, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Linus Hasselström, Jean-Baptiste Thomas, Fredrik Gröndahl, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Neil Savage, Gretchen Vengerova, Isaac Lipsky, Aaron J. Berliner, Aaron M. Eger, Ezequiel M. Marzinelli, Adriana Vergés, Gemma Conroy, Syed Noeman Taqui, Akheel Ahmed Syed, Rama Rao Karri, Fabian Drenkhan, Wouter Buytaert, Christian Huggel, María Custodio, Richard Peñaloza, Walter Cuadrado, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Malgorzata Blicharska, Richard J. Smithers, William J. Sutherland, Mingjing He, Zibo Xu, Daniel C. W. Tsang, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Brianna K. Shaughnessy, Brian P. Jackson, Jarrett E. K. Byrnes, K. E. French, Yuanyuan Li, Shibo Jia, Jiang Liu",15 Sept 2020
/articles/s43017-023-00404-1,Sustainable remediation and redevelopment of brownfield sites,"Remediation of contaminated and disused brownfields enables urban development, but many remediation strategies have high environmental or social burdens. This Review examines sustainable technologies to remediate and redevelop these sites, highlighting strategies to maximize co-benefits.","nature, search, Katherine E. French, Zhongrui Zhou, Norman Terry, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Linus Hasselström, Jean-Baptiste Thomas, Fredrik Gröndahl, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Neil Savage, Gretchen Vengerova, Isaac Lipsky, Aaron J. Berliner, Aaron M. Eger, Ezequiel M. Marzinelli, Adriana Vergés, Gemma Conroy, Syed Noeman Taqui, Akheel Ahmed Syed, Rama Rao Karri, Fabian Drenkhan, Wouter Buytaert, Christian Huggel, María Custodio, Richard Peñaloza, Walter Cuadrado, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Malgorzata Blicharska, Richard J. Smithers, William J. Sutherland, Mingjing He, Zibo Xu, Daniel C. W. Tsang, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Brianna K. Shaughnessy, Brian P. Jackson, Jarrett E. K. Byrnes, K. E. French, Yuanyuan Li, Shibo Jia, Jiang Liu",15 Sept 2020
/articles/s41598-020-58389-6,Socioeconomic prospects of a seaweed bioeconomy in Sweden,"Stubborn compounds called PFAS in drinking water put health at risk. Technologies based on plasmas, pressure, sound or fungus could finally degrade these chemicals.","nature, search, Katherine E. French, Zhongrui Zhou, Norman Terry, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Linus Hasselström, Jean-Baptiste Thomas, Fredrik Gröndahl, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Neil Savage, Gretchen Vengerova, Isaac Lipsky, Aaron J. Berliner, Aaron M. Eger, Ezequiel M. Marzinelli, Adriana Vergés, Gemma Conroy, Syed Noeman Taqui, Akheel Ahmed Syed, Rama Rao Karri, Fabian Drenkhan, Wouter Buytaert, Christian Huggel, María Custodio, Richard Peñaloza, Walter Cuadrado, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Malgorzata Blicharska, Richard J. Smithers, William J. Sutherland, Mingjing He, Zibo Xu, Daniel C. W. Tsang, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Brianna K. Shaughnessy, Brian P. Jackson, Jarrett E. K. Byrnes, K. E. French, Yuanyuan Li, Shibo Jia, Jiang Liu",15 Sept 2020
/articles/s41598-021-85922-y,Recovering wasted nutrients from shrimp farming through the combined culture of polychaetes and halophytes,"Stubborn compounds called PFAS in drinking water put health at risk. Technologies based on plasmas, pressure, sound or fungus could finally degrade these chemicals.","nature, search, Katherine E. French, Zhongrui Zhou, Norman Terry, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Linus Hasselström, Jean-Baptiste Thomas, Fredrik Gröndahl, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Neil Savage, Gretchen Vengerova, Isaac Lipsky, Aaron J. Berliner, Aaron M. Eger, Ezequiel M. Marzinelli, Adriana Vergés, Gemma Conroy, Syed Noeman Taqui, Akheel Ahmed Syed, Rama Rao Karri, Fabian Drenkhan, Wouter Buytaert, Christian Huggel, María Custodio, Richard Peñaloza, Walter Cuadrado, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Malgorzata Blicharska, Richard J. Smithers, William J. Sutherland, Mingjing He, Zibo Xu, Daniel C. W. Tsang, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Brianna K. Shaughnessy, Brian P. Jackson, Jarrett E. K. Byrnes, K. E. French, Yuanyuan Li, Shibo Jia, Jiang Liu",15 Sept 2020
/articles/d41586-023-03876-9,How to take ‘forever’ out of forever chemicals,"Stubborn compounds called PFAS in drinking water put health at risk. Technologies based on plasmas, pressure, sound or fungus could finally degrade these chemicals.","nature, search, Katherine E. French, Zhongrui Zhou, Norman Terry, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Linus Hasselström, Jean-Baptiste Thomas, Fredrik Gröndahl, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Neil Savage, Gretchen Vengerova, Isaac Lipsky, Aaron J. Berliner, Aaron M. Eger, Ezequiel M. Marzinelli, Adriana Vergés, Gemma Conroy, Syed Noeman Taqui, Akheel Ahmed Syed, Rama Rao Karri, Fabian Drenkhan, Wouter Buytaert, Christian Huggel, María Custodio, Richard Peñaloza, Walter Cuadrado, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Malgorzata Blicharska, Richard J. Smithers, William J. Sutherland, Mingjing He, Zibo Xu, Daniel C. W. Tsang, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Brianna K. Shaughnessy, Brian P. Jackson, Jarrett E. K. Byrnes, K. E. French, Yuanyuan Li, Shibo Jia, Jiang Liu",15 Sept 2020
/articles/s41893-024-01305-x,Space bioprocess engineering as a potential catalyst for sustainability,"Research on how to support human exploration and eventual habitation of outer space is advancing. However, while its aims are beyond our planet, space bioprocess engineering has practical sustainability applications here on Earth.","nature, search, Katherine E. French, Zhongrui Zhou, Norman Terry, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Linus Hasselström, Jean-Baptiste Thomas, Fredrik Gröndahl, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Neil Savage, Gretchen Vengerova, Isaac Lipsky, Aaron J. Berliner, Aaron M. Eger, Ezequiel M. Marzinelli, Adriana Vergés, Gemma Conroy, Syed Noeman Taqui, Akheel Ahmed Syed, Rama Rao Karri, Fabian Drenkhan, Wouter Buytaert, Christian Huggel, María Custodio, Richard Peñaloza, Walter Cuadrado, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Malgorzata Blicharska, Richard J. Smithers, William J. Sutherland, Mingjing He, Zibo Xu, Daniel C. W. Tsang, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Brianna K. Shaughnessy, Brian P. Jackson, Jarrett E. K. Byrnes, K. E. French, Yuanyuan Li, Shibo Jia, Jiang Liu",15 Sept 2020
/articles/s41467-023-37385-0,The value of ecosystem services in global marine kelp forests,"By combining fisheries, nutrient, and carbon cycling data, this synthesis suggests that marine kelp forests, a dominant but often undescribed habitat, provide services with a potential value of $111,000/ha/year and a global yearly value of $500 billion.","nature, search, Katherine E. French, Zhongrui Zhou, Norman Terry, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Linus Hasselström, Jean-Baptiste Thomas, Fredrik Gröndahl, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Neil Savage, Gretchen Vengerova, Isaac Lipsky, Aaron J. Berliner, Aaron M. Eger, Ezequiel M. Marzinelli, Adriana Vergés, Gemma Conroy, Syed Noeman Taqui, Akheel Ahmed Syed, Rama Rao Karri, Fabian Drenkhan, Wouter Buytaert, Christian Huggel, María Custodio, Richard Peñaloza, Walter Cuadrado, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Malgorzata Blicharska, Richard J. Smithers, William J. Sutherland, Mingjing He, Zibo Xu, Daniel C. W. Tsang, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Brianna K. Shaughnessy, Brian P. Jackson, Jarrett E. K. Byrnes, K. E. French, Yuanyuan Li, Shibo Jia, Jiang Liu",15 Sept 2020
/articles/d41586-023-02740-0,Antarctic research stations have polluted a pristine wilderness,"Historical bad practices have left a legacy of pollution, but efforts are under way to chart a better future.","nature, search, Katherine E. French, Zhongrui Zhou, Norman Terry, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Linus Hasselström, Jean-Baptiste Thomas, Fredrik Gröndahl, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Neil Savage, Gretchen Vengerova, Isaac Lipsky, Aaron J. Berliner, Aaron M. Eger, Ezequiel M. Marzinelli, Adriana Vergés, Gemma Conroy, Syed Noeman Taqui, Akheel Ahmed Syed, Rama Rao Karri, Fabian Drenkhan, Wouter Buytaert, Christian Huggel, María Custodio, Richard Peñaloza, Walter Cuadrado, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Malgorzata Blicharska, Richard J. Smithers, William J. Sutherland, Mingjing He, Zibo Xu, Daniel C. W. Tsang, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Brianna K. Shaughnessy, Brian P. Jackson, Jarrett E. K. Byrnes, K. E. French, Yuanyuan Li, Shibo Jia, Jiang Liu",15 Sept 2020
/articles/s41598-023-49471-w,"Insights into isotherms, kinetics, and thermodynamics of adsorption of acid blue 113 from an aqueous solution of nutraceutical industrial fennel seed spent",Moving from a glacial-hydrological focus to a social-ecological perspective of the wider catchment hydrology can improve the assessment of mountain water security. Such a shift can help in the development of context-specific and transformational adaptation strategies to changes in the mountain cryosphere.,"nature, search, Katherine E. French, Zhongrui Zhou, Norman Terry, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Linus Hasselström, Jean-Baptiste Thomas, Fredrik Gröndahl, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Neil Savage, Gretchen Vengerova, Isaac Lipsky, Aaron J. Berliner, Aaron M. Eger, Ezequiel M. Marzinelli, Adriana Vergés, Gemma Conroy, Syed Noeman Taqui, Akheel Ahmed Syed, Rama Rao Karri, Fabian Drenkhan, Wouter Buytaert, Christian Huggel, María Custodio, Richard Peñaloza, Walter Cuadrado, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Malgorzata Blicharska, Richard J. Smithers, William J. Sutherland, Mingjing He, Zibo Xu, Daniel C. W. Tsang, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Brianna K. Shaughnessy, Brian P. Jackson, Jarrett E. K. Byrnes, K. E. French, Yuanyuan Li, Shibo Jia, Jiang Liu",15 Sept 2020
/articles/s41893-022-00996-4,Looking beyond glaciers to understand mountain water security,Moving from a glacial-hydrological focus to a social-ecological perspective of the wider catchment hydrology can improve the assessment of mountain water security. Such a shift can help in the development of context-specific and transformational adaptation strategies to changes in the mountain cryosphere.,"nature, search, Katherine E. French, Zhongrui Zhou, Norman Terry, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Linus Hasselström, Jean-Baptiste Thomas, Fredrik Gröndahl, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Neil Savage, Gretchen Vengerova, Isaac Lipsky, Aaron J. Berliner, Aaron M. Eger, Ezequiel M. Marzinelli, Adriana Vergés, Gemma Conroy, Syed Noeman Taqui, Akheel Ahmed Syed, Rama Rao Karri, Fabian Drenkhan, Wouter Buytaert, Christian Huggel, María Custodio, Richard Peñaloza, Walter Cuadrado, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Malgorzata Blicharska, Richard J. Smithers, William J. Sutherland, Mingjing He, Zibo Xu, Daniel C. W. Tsang, Daniel Jerónimo, Ana Isabel Lillebø, Ricardo Calado, Brianna K. Shaughnessy, Brian P. Jackson, Jarrett E. K. Byrnes, K. E. French, Yuanyuan Li, Shibo Jia, Jiang Liu",15 Sept 2020
