href,title,description,authors,date_published
/articles/s41598-023-28468-5,Simultaneous bioremediation of phenol and tellurite by Lysinibacillus sp. EBL303 and characterization of biosynthesized Te nanoparticles,"Directed evolution has emerged as a powerful tool for the identification of improved enzyme catalysts. Now, gel-shell beads are introduced as compartments that cage an enzyme with its encoding DNA, constituting a new genotype–phenotype linkage. Screening of 107gel-shell beads by flow cytometry leads to an improved phosphotriesterase bioremediation catalyst.","nature, search, Firooz Hosseini, Elham Lashani, Hamid Moghimi, Michał Jakubczak, Dominika Bury, Agnieszka Maria Jastrzębska, Balakrishnan Muthukumar, Ramanathan Duraimurugan, Tabarak Malik, Martin Fischlechner, Yolanda Schaerli, Florian Hollfelder, Junlin Wen, Shungui Zhou, Junhua Chen, Jessica L. Terrell, Tanya Tschirhart, William E. Bentley, Mahboobeh Varnaseri Ghandali, Sedigheh Safarzadeh, Sedigheh Zeinali, Falko Schmidt, Hana Šípová-Jungová, Giovanni Volpe, Aseel M. Aljeboree, Ayad F. Alkaim, Nikhil S. Malvankar, Madeline Vargas, Derek R. Lovley, Sajitha Sasidharan, Shyni P. C., Vibin Ramakrishnan, Jinhua Li, Gang Wang, Xi Wang, Zhen-Yu Wu, Chao Li, Shu-Hong Yu, Enrique A. Daza, Santosh K. Misra, Dipanjan Pan, Huma Khalid, Atta ul Haq, Magdi E. A. Zaki, Elizabeth C. H. T. Lau, Kimberley C. Dodds, Humphrey H. P. Yiu, R. M. Tripathi, Sang J. Chung, Gaurav Yadav, Soumya Ranjan Mishra, Md. Ahmaruzzaman, Mario Urso, Martina Ussia, Martin Pumera, Hadi Shayesteh, Mobin Safarzadeh Khosrowshahi, Hosein Banna Motejadded Emrooz, Saba Ibrahim, Zahoor Ahmad, Ahmad Adnan, N. Saikumari, S. Monish Dev, S. Avinaash Dev, Sahar Abd El-Fatah Zaki, Ayman Kamal, Alia A. Shoeib, Shivangi Upadhyay, Alok Sinha, Doaa Zamel, Ahmed H. Hassanin, Ahmed Abdelmoneim, Muhammad Zahid Anwar, Dong Jun Kim, Jung-Kul Lee, N. Bruna, B. Collao, J. M. Pérez-Donoso, Tao Wen, Zhiwei Zhao, An-Wu Xu",23 Jan 2023
/articles/s41598-022-18154-3,Understanding the mechanism of Nb-MXene bioremediation with green microalgae,"Directed evolution has emerged as a powerful tool for the identification of improved enzyme catalysts. Now, gel-shell beads are introduced as compartments that cage an enzyme with its encoding DNA, constituting a new genotype–phenotype linkage. Screening of 107gel-shell beads by flow cytometry leads to an improved phosphotriesterase bioremediation catalyst.","nature, search, Firooz Hosseini, Elham Lashani, Hamid Moghimi, Michał Jakubczak, Dominika Bury, Agnieszka Maria Jastrzębska, Balakrishnan Muthukumar, Ramanathan Duraimurugan, Tabarak Malik, Martin Fischlechner, Yolanda Schaerli, Florian Hollfelder, Junlin Wen, Shungui Zhou, Junhua Chen, Jessica L. Terrell, Tanya Tschirhart, William E. Bentley, Mahboobeh Varnaseri Ghandali, Sedigheh Safarzadeh, Sedigheh Zeinali, Falko Schmidt, Hana Šípová-Jungová, Giovanni Volpe, Aseel M. Aljeboree, Ayad F. Alkaim, Nikhil S. Malvankar, Madeline Vargas, Derek R. Lovley, Sajitha Sasidharan, Shyni P. C., Vibin Ramakrishnan, Jinhua Li, Gang Wang, Xi Wang, Zhen-Yu Wu, Chao Li, Shu-Hong Yu, Enrique A. Daza, Santosh K. Misra, Dipanjan Pan, Huma Khalid, Atta ul Haq, Magdi E. A. Zaki, Elizabeth C. H. T. Lau, Kimberley C. Dodds, Humphrey H. P. Yiu, R. M. Tripathi, Sang J. Chung, Gaurav Yadav, Soumya Ranjan Mishra, Md. Ahmaruzzaman, Mario Urso, Martina Ussia, Martin Pumera, Hadi Shayesteh, Mobin Safarzadeh Khosrowshahi, Hosein Banna Motejadded Emrooz, Saba Ibrahim, Zahoor Ahmad, Ahmad Adnan, N. Saikumari, S. Monish Dev, S. Avinaash Dev, Sahar Abd El-Fatah Zaki, Ayman Kamal, Alia A. Shoeib, Shivangi Upadhyay, Alok Sinha, Doaa Zamel, Ahmed H. Hassanin, Ahmed Abdelmoneim, Muhammad Zahid Anwar, Dong Jun Kim, Jung-Kul Lee, N. Bruna, B. Collao, J. M. Pérez-Donoso, Tao Wen, Zhiwei Zhao, An-Wu Xu",23 Jan 2023
/articles/s41598-024-61760-6,Synthesis and characterization of iron oxide nanoparticles from Lawsonia inermis and its effect on the biodegradation of crude oil hydrocarbon,"Directed evolution has emerged as a powerful tool for the identification of improved enzyme catalysts. Now, gel-shell beads are introduced as compartments that cage an enzyme with its encoding DNA, constituting a new genotype–phenotype linkage. Screening of 107gel-shell beads by flow cytometry leads to an improved phosphotriesterase bioremediation catalyst.","nature, search, Firooz Hosseini, Elham Lashani, Hamid Moghimi, Michał Jakubczak, Dominika Bury, Agnieszka Maria Jastrzębska, Balakrishnan Muthukumar, Ramanathan Duraimurugan, Tabarak Malik, Martin Fischlechner, Yolanda Schaerli, Florian Hollfelder, Junlin Wen, Shungui Zhou, Junhua Chen, Jessica L. Terrell, Tanya Tschirhart, William E. Bentley, Mahboobeh Varnaseri Ghandali, Sedigheh Safarzadeh, Sedigheh Zeinali, Falko Schmidt, Hana Šípová-Jungová, Giovanni Volpe, Aseel M. Aljeboree, Ayad F. Alkaim, Nikhil S. Malvankar, Madeline Vargas, Derek R. Lovley, Sajitha Sasidharan, Shyni P. C., Vibin Ramakrishnan, Jinhua Li, Gang Wang, Xi Wang, Zhen-Yu Wu, Chao Li, Shu-Hong Yu, Enrique A. Daza, Santosh K. Misra, Dipanjan Pan, Huma Khalid, Atta ul Haq, Magdi E. A. Zaki, Elizabeth C. H. T. Lau, Kimberley C. Dodds, Humphrey H. P. Yiu, R. M. Tripathi, Sang J. Chung, Gaurav Yadav, Soumya Ranjan Mishra, Md. Ahmaruzzaman, Mario Urso, Martina Ussia, Martin Pumera, Hadi Shayesteh, Mobin Safarzadeh Khosrowshahi, Hosein Banna Motejadded Emrooz, Saba Ibrahim, Zahoor Ahmad, Ahmad Adnan, N. Saikumari, S. Monish Dev, S. Avinaash Dev, Sahar Abd El-Fatah Zaki, Ayman Kamal, Alia A. Shoeib, Shivangi Upadhyay, Alok Sinha, Doaa Zamel, Ahmed H. Hassanin, Ahmed Abdelmoneim, Muhammad Zahid Anwar, Dong Jun Kim, Jung-Kul Lee, N. Bruna, B. Collao, J. M. Pérez-Donoso, Tao Wen, Zhiwei Zhao, An-Wu Xu",23 Jan 2023
/articles/nchem.1996,Evolution of enzyme catalysts caged in biomimetic gel-shell beads,"Directed evolution has emerged as a powerful tool for the identification of improved enzyme catalysts. Now, gel-shell beads are introduced as compartments that cage an enzyme with its encoding DNA, constituting a new genotype–phenotype linkage. Screening of 107gel-shell beads by flow cytometry leads to an improved phosphotriesterase bioremediation catalyst.","nature, search, Firooz Hosseini, Elham Lashani, Hamid Moghimi, Michał Jakubczak, Dominika Bury, Agnieszka Maria Jastrzębska, Balakrishnan Muthukumar, Ramanathan Duraimurugan, Tabarak Malik, Martin Fischlechner, Yolanda Schaerli, Florian Hollfelder, Junlin Wen, Shungui Zhou, Junhua Chen, Jessica L. Terrell, Tanya Tschirhart, William E. Bentley, Mahboobeh Varnaseri Ghandali, Sedigheh Safarzadeh, Sedigheh Zeinali, Falko Schmidt, Hana Šípová-Jungová, Giovanni Volpe, Aseel M. Aljeboree, Ayad F. Alkaim, Nikhil S. Malvankar, Madeline Vargas, Derek R. Lovley, Sajitha Sasidharan, Shyni P. C., Vibin Ramakrishnan, Jinhua Li, Gang Wang, Xi Wang, Zhen-Yu Wu, Chao Li, Shu-Hong Yu, Enrique A. Daza, Santosh K. Misra, Dipanjan Pan, Huma Khalid, Atta ul Haq, Magdi E. A. Zaki, Elizabeth C. H. T. Lau, Kimberley C. Dodds, Humphrey H. P. Yiu, R. M. Tripathi, Sang J. Chung, Gaurav Yadav, Soumya Ranjan Mishra, Md. Ahmaruzzaman, Mario Urso, Martina Ussia, Martin Pumera, Hadi Shayesteh, Mobin Safarzadeh Khosrowshahi, Hosein Banna Motejadded Emrooz, Saba Ibrahim, Zahoor Ahmad, Ahmad Adnan, N. Saikumari, S. Monish Dev, S. Avinaash Dev, Sahar Abd El-Fatah Zaki, Ayman Kamal, Alia A. Shoeib, Shivangi Upadhyay, Alok Sinha, Doaa Zamel, Ahmed H. Hassanin, Ahmed Abdelmoneim, Muhammad Zahid Anwar, Dong Jun Kim, Jung-Kul Lee, N. Bruna, B. Collao, J. M. Pérez-Donoso, Tao Wen, Zhiwei Zhao, An-Wu Xu",23 Jan 2023
/articles/srep05191,Colorimetric detection of Shewanella oneidensis based on immunomagnetic capture and bacterial intrinsic peroxidase activity,"Living electrodes enable signalling into a microbial community, coordinating behaviour.","nature, search, Firooz Hosseini, Elham Lashani, Hamid Moghimi, Michał Jakubczak, Dominika Bury, Agnieszka Maria Jastrzębska, Balakrishnan Muthukumar, Ramanathan Duraimurugan, Tabarak Malik, Martin Fischlechner, Yolanda Schaerli, Florian Hollfelder, Junlin Wen, Shungui Zhou, Junhua Chen, Jessica L. Terrell, Tanya Tschirhart, William E. Bentley, Mahboobeh Varnaseri Ghandali, Sedigheh Safarzadeh, Sedigheh Zeinali, Falko Schmidt, Hana Šípová-Jungová, Giovanni Volpe, Aseel M. Aljeboree, Ayad F. Alkaim, Nikhil S. Malvankar, Madeline Vargas, Derek R. Lovley, Sajitha Sasidharan, Shyni P. C., Vibin Ramakrishnan, Jinhua Li, Gang Wang, Xi Wang, Zhen-Yu Wu, Chao Li, Shu-Hong Yu, Enrique A. Daza, Santosh K. Misra, Dipanjan Pan, Huma Khalid, Atta ul Haq, Magdi E. A. Zaki, Elizabeth C. H. T. Lau, Kimberley C. Dodds, Humphrey H. P. Yiu, R. M. Tripathi, Sang J. Chung, Gaurav Yadav, Soumya Ranjan Mishra, Md. Ahmaruzzaman, Mario Urso, Martina Ussia, Martin Pumera, Hadi Shayesteh, Mobin Safarzadeh Khosrowshahi, Hosein Banna Motejadded Emrooz, Saba Ibrahim, Zahoor Ahmad, Ahmad Adnan, N. Saikumari, S. Monish Dev, S. Avinaash Dev, Sahar Abd El-Fatah Zaki, Ayman Kamal, Alia A. Shoeib, Shivangi Upadhyay, Alok Sinha, Doaa Zamel, Ahmed H. Hassanin, Ahmed Abdelmoneim, Muhammad Zahid Anwar, Dong Jun Kim, Jung-Kul Lee, N. Bruna, B. Collao, J. M. Pérez-Donoso, Tao Wen, Zhiwei Zhao, An-Wu Xu",23 Jan 2023
/articles/s41565-021-00878-4,Bioelectronic control of a microbial community using surface-assembled electrogenetic cells to route signals,"Living electrodes enable signalling into a microbial community, coordinating behaviour.","nature, search, Firooz Hosseini, Elham Lashani, Hamid Moghimi, Michał Jakubczak, Dominika Bury, Agnieszka Maria Jastrzębska, Balakrishnan Muthukumar, Ramanathan Duraimurugan, Tabarak Malik, Martin Fischlechner, Yolanda Schaerli, Florian Hollfelder, Junlin Wen, Shungui Zhou, Junhua Chen, Jessica L. Terrell, Tanya Tschirhart, William E. Bentley, Mahboobeh Varnaseri Ghandali, Sedigheh Safarzadeh, Sedigheh Zeinali, Falko Schmidt, Hana Šípová-Jungová, Giovanni Volpe, Aseel M. Aljeboree, Ayad F. Alkaim, Nikhil S. Malvankar, Madeline Vargas, Derek R. Lovley, Sajitha Sasidharan, Shyni P. C., Vibin Ramakrishnan, Jinhua Li, Gang Wang, Xi Wang, Zhen-Yu Wu, Chao Li, Shu-Hong Yu, Enrique A. Daza, Santosh K. Misra, Dipanjan Pan, Huma Khalid, Atta ul Haq, Magdi E. A. Zaki, Elizabeth C. H. T. Lau, Kimberley C. Dodds, Humphrey H. P. Yiu, R. M. Tripathi, Sang J. Chung, Gaurav Yadav, Soumya Ranjan Mishra, Md. Ahmaruzzaman, Mario Urso, Martina Ussia, Martin Pumera, Hadi Shayesteh, Mobin Safarzadeh Khosrowshahi, Hosein Banna Motejadded Emrooz, Saba Ibrahim, Zahoor Ahmad, Ahmad Adnan, N. Saikumari, S. Monish Dev, S. Avinaash Dev, Sahar Abd El-Fatah Zaki, Ayman Kamal, Alia A. Shoeib, Shivangi Upadhyay, Alok Sinha, Doaa Zamel, Ahmed H. Hassanin, Ahmed Abdelmoneim, Muhammad Zahid Anwar, Dong Jun Kim, Jung-Kul Lee, N. Bruna, B. Collao, J. M. Pérez-Donoso, Tao Wen, Zhiwei Zhao, An-Wu Xu",23 Jan 2023
/articles/s41557-023-01286-y,A multimodal imaging approach for interrogating energy-conversion pathways in biohybrids,"A multimodal imaging approach is developed to interrogate microorganism–semiconductor biohybrids at the single-cell and single-molecule level for light-driven CO2fixation. Application to lithoautotrophic bacteriumRalstonia eutrophabiohybrids reveals the roles of two hydrogenases in electron transport and bioplastic formation, the magnitude of semiconductor-to-single-cell electron transport and the associated pathways.","nature, search, Firooz Hosseini, Elham Lashani, Hamid Moghimi, Michał Jakubczak, Dominika Bury, Agnieszka Maria Jastrzębska, Balakrishnan Muthukumar, Ramanathan Duraimurugan, Tabarak Malik, Martin Fischlechner, Yolanda Schaerli, Florian Hollfelder, Junlin Wen, Shungui Zhou, Junhua Chen, Jessica L. Terrell, Tanya Tschirhart, William E. Bentley, Mahboobeh Varnaseri Ghandali, Sedigheh Safarzadeh, Sedigheh Zeinali, Falko Schmidt, Hana Šípová-Jungová, Giovanni Volpe, Aseel M. Aljeboree, Ayad F. Alkaim, Nikhil S. Malvankar, Madeline Vargas, Derek R. Lovley, Sajitha Sasidharan, Shyni P. C., Vibin Ramakrishnan, Jinhua Li, Gang Wang, Xi Wang, Zhen-Yu Wu, Chao Li, Shu-Hong Yu, Enrique A. Daza, Santosh K. Misra, Dipanjan Pan, Huma Khalid, Atta ul Haq, Magdi E. A. Zaki, Elizabeth C. H. T. Lau, Kimberley C. Dodds, Humphrey H. P. Yiu, R. M. Tripathi, Sang J. Chung, Gaurav Yadav, Soumya Ranjan Mishra, Md. Ahmaruzzaman, Mario Urso, Martina Ussia, Martin Pumera, Hadi Shayesteh, Mobin Safarzadeh Khosrowshahi, Hosein Banna Motejadded Emrooz, Saba Ibrahim, Zahoor Ahmad, Ahmad Adnan, N. Saikumari, S. Monish Dev, S. Avinaash Dev, Sahar Abd El-Fatah Zaki, Ayman Kamal, Alia A. Shoeib, Shivangi Upadhyay, Alok Sinha, Doaa Zamel, Ahmed H. Hassanin, Ahmed Abdelmoneim, Muhammad Zahid Anwar, Dong Jun Kim, Jung-Kul Lee, N. Bruna, B. Collao, J. M. Pérez-Donoso, Tao Wen, Zhiwei Zhao, An-Wu Xu",23 Jan 2023
/articles/s41598-024-61270-5,Heavy metals immobilization and bioavailability in multi-metal contaminated soil under ryegrass cultivation as affected by ZnO and MnO2 nanoparticle-modified biochar,For active particles with nanoscale dimensions the overwhelming rotational diffusivity usually masks their residual non-equilibrium character. Here Schmidt et al. show how to amplify it in a suitable experiment to let a nanosphere rotate spontaneously around the beam axis in an optical trap.,"nature, search, Firooz Hosseini, Elham Lashani, Hamid Moghimi, Michał Jakubczak, Dominika Bury, Agnieszka Maria Jastrzębska, Balakrishnan Muthukumar, Ramanathan Duraimurugan, Tabarak Malik, Martin Fischlechner, Yolanda Schaerli, Florian Hollfelder, Junlin Wen, Shungui Zhou, Junhua Chen, Jessica L. Terrell, Tanya Tschirhart, William E. Bentley, Mahboobeh Varnaseri Ghandali, Sedigheh Safarzadeh, Sedigheh Zeinali, Falko Schmidt, Hana Šípová-Jungová, Giovanni Volpe, Aseel M. Aljeboree, Ayad F. Alkaim, Nikhil S. Malvankar, Madeline Vargas, Derek R. Lovley, Sajitha Sasidharan, Shyni P. C., Vibin Ramakrishnan, Jinhua Li, Gang Wang, Xi Wang, Zhen-Yu Wu, Chao Li, Shu-Hong Yu, Enrique A. Daza, Santosh K. Misra, Dipanjan Pan, Huma Khalid, Atta ul Haq, Magdi E. A. Zaki, Elizabeth C. H. T. Lau, Kimberley C. Dodds, Humphrey H. P. Yiu, R. M. Tripathi, Sang J. Chung, Gaurav Yadav, Soumya Ranjan Mishra, Md. Ahmaruzzaman, Mario Urso, Martina Ussia, Martin Pumera, Hadi Shayesteh, Mobin Safarzadeh Khosrowshahi, Hosein Banna Motejadded Emrooz, Saba Ibrahim, Zahoor Ahmad, Ahmad Adnan, N. Saikumari, S. Monish Dev, S. Avinaash Dev, Sahar Abd El-Fatah Zaki, Ayman Kamal, Alia A. Shoeib, Shivangi Upadhyay, Alok Sinha, Doaa Zamel, Ahmed H. Hassanin, Ahmed Abdelmoneim, Muhammad Zahid Anwar, Dong Jun Kim, Jung-Kul Lee, N. Bruna, B. Collao, J. M. Pérez-Donoso, Tao Wen, Zhiwei Zhao, An-Wu Xu",23 Jan 2023
/articles/s41467-021-22187-z,Non-equilibrium properties of an active nanoparticle in a harmonic potential,For active particles with nanoscale dimensions the overwhelming rotational diffusivity usually masks their residual non-equilibrium character. Here Schmidt et al. show how to amplify it in a suitable experiment to let a nanosphere rotate spontaneously around the beam axis in an optical trap.,"nature, search, Firooz Hosseini, Elham Lashani, Hamid Moghimi, Michał Jakubczak, Dominika Bury, Agnieszka Maria Jastrzębska, Balakrishnan Muthukumar, Ramanathan Duraimurugan, Tabarak Malik, Martin Fischlechner, Yolanda Schaerli, Florian Hollfelder, Junlin Wen, Shungui Zhou, Junhua Chen, Jessica L. Terrell, Tanya Tschirhart, William E. Bentley, Mahboobeh Varnaseri Ghandali, Sedigheh Safarzadeh, Sedigheh Zeinali, Falko Schmidt, Hana Šípová-Jungová, Giovanni Volpe, Aseel M. Aljeboree, Ayad F. Alkaim, Nikhil S. Malvankar, Madeline Vargas, Derek R. Lovley, Sajitha Sasidharan, Shyni P. C., Vibin Ramakrishnan, Jinhua Li, Gang Wang, Xi Wang, Zhen-Yu Wu, Chao Li, Shu-Hong Yu, Enrique A. Daza, Santosh K. Misra, Dipanjan Pan, Huma Khalid, Atta ul Haq, Magdi E. A. Zaki, Elizabeth C. H. T. Lau, Kimberley C. Dodds, Humphrey H. P. Yiu, R. M. Tripathi, Sang J. Chung, Gaurav Yadav, Soumya Ranjan Mishra, Md. Ahmaruzzaman, Mario Urso, Martina Ussia, Martin Pumera, Hadi Shayesteh, Mobin Safarzadeh Khosrowshahi, Hosein Banna Motejadded Emrooz, Saba Ibrahim, Zahoor Ahmad, Ahmad Adnan, N. Saikumari, S. Monish Dev, S. Avinaash Dev, Sahar Abd El-Fatah Zaki, Ayman Kamal, Alia A. Shoeib, Shivangi Upadhyay, Alok Sinha, Doaa Zamel, Ahmed H. Hassanin, Ahmed Abdelmoneim, Muhammad Zahid Anwar, Dong Jun Kim, Jung-Kul Lee, N. Bruna, B. Collao, J. M. Pérez-Donoso, Tao Wen, Zhiwei Zhao, An-Wu Xu",23 Jan 2023
/articles/s41598-024-59545-y,Studying removal of anionic dye by prepared highly adsorbent surface hydrogel nanocomposite as an applicable for aqueous solution,Networks of nanofilaments derived from natural amino acids can have metallic-like conductivity.,"nature, search, Firooz Hosseini, Elham Lashani, Hamid Moghimi, Michał Jakubczak, Dominika Bury, Agnieszka Maria Jastrzębska, Balakrishnan Muthukumar, Ramanathan Duraimurugan, Tabarak Malik, Martin Fischlechner, Yolanda Schaerli, Florian Hollfelder, Junlin Wen, Shungui Zhou, Junhua Chen, Jessica L. Terrell, Tanya Tschirhart, William E. Bentley, Mahboobeh Varnaseri Ghandali, Sedigheh Safarzadeh, Sedigheh Zeinali, Falko Schmidt, Hana Šípová-Jungová, Giovanni Volpe, Aseel M. Aljeboree, Ayad F. Alkaim, Nikhil S. Malvankar, Madeline Vargas, Derek R. Lovley, Sajitha Sasidharan, Shyni P. C., Vibin Ramakrishnan, Jinhua Li, Gang Wang, Xi Wang, Zhen-Yu Wu, Chao Li, Shu-Hong Yu, Enrique A. Daza, Santosh K. Misra, Dipanjan Pan, Huma Khalid, Atta ul Haq, Magdi E. A. Zaki, Elizabeth C. H. T. Lau, Kimberley C. Dodds, Humphrey H. P. Yiu, R. M. Tripathi, Sang J. Chung, Gaurav Yadav, Soumya Ranjan Mishra, Md. Ahmaruzzaman, Mario Urso, Martina Ussia, Martin Pumera, Hadi Shayesteh, Mobin Safarzadeh Khosrowshahi, Hosein Banna Motejadded Emrooz, Saba Ibrahim, Zahoor Ahmad, Ahmad Adnan, N. Saikumari, S. Monish Dev, S. Avinaash Dev, Sahar Abd El-Fatah Zaki, Ayman Kamal, Alia A. Shoeib, Shivangi Upadhyay, Alok Sinha, Doaa Zamel, Ahmed H. Hassanin, Ahmed Abdelmoneim, Muhammad Zahid Anwar, Dong Jun Kim, Jung-Kul Lee, N. Bruna, B. Collao, J. M. Pérez-Donoso, Tao Wen, Zhiwei Zhao, An-Wu Xu",23 Jan 2023
