href,title,description,authors,date_published
/articles/s41589-021-00934-z,Programmable living assembly of materials by bacterial adhesion,"Bacterial populations, programmed to self-assemble by adhesion of nanobody–antigen pairs, can be processed into living materials (LAMBA) that are scalable, self-healing and programmable through functionalization with diverse proteins.","nature, search, Baizhu Chen, Wei Kang, Zhuojun Dai, Lara Sellés Vidal, James W. Murray, John T. Heap, Arianna Miano, Michael J. Liao, Jeff Hasty, Huseyin Tas, Lewis Grozinger, Ángel Goñi-Moreno, Kenneth T. Walker, Ivy S. Li, Tom Ellis, Lin Wang, Xi Zhang, Zhuojun Dai, Stefan A. Hoffmann, Yizhi Cai, Chetan Aditya, François Bertaux, Jakob Ruess, Tiantian Chang, Weichao Ding, Xian Fu, Kai Zhuang, Mounir Izallalen, Derek R Lovley, Hoang Long Pham, Adison Wong, Matthew Wook Chang, Charlie Gilbert, Tzu-Chieh Tang, Tom Ellis, Tzu-Chieh Tang, Bolin An, Chao Zhong, Spencer R. Scott, M. Omar Din, Jeff Hasty, Cristal Zuñiga, Tingting Li, Karsten Zengler, Jizhong Zhou, Qiang He, Adam P. Arkin, Jeong Wook Lee, Clement T. Y. Chan, James J. Collins, Eveline-Marie Lammens, Pablo Ivan Nikel, Rob Lavigne, Mayna S. Gomide, Thais T. Sales, Elibio Rech, Xueliang Liu, Paola A. Lopez, Pamela A. Silver, Noushin Hadadi, Vikash Pandey, Jan R. van der Meer, K. E. French, Allen P. Liu, Eric A. Appel, Ovijit Chaudhuri, Erica L.-W. Majumder, Elizabeth M. Billings, Gary Siuzdak, Ilana Lauren Brito, Qiang He, Zhili He, Jizhong Zhou, Raj Chari, George M. Church, Alex D. Washburne, James T. Morton, Rob Knight, Ignacio Belda, Thomas C. Williams, Isak S. Pretorius, Igor Shuryak, Rok Tkavc, Michael J. Daly, Clara Moreno-Fenoll, Matteo Cavaliere, Juan F. Poyatos, Marija Cvijovic, Thomas Höfer, Stefan Hohmann",21 Dec 2021
/articles/s41467-021-27266-9,Versatile selective evolutionary pressure using synthetic defect in universal metabolism,"Rational design of enzymes with new or improved properties is rarely straightforward, and artificial selection pressure approaches that link an improvement in the target to cell growth are an alternative. Here, the authors show that diverse enzymes sharing the ubiquitous cofactor NAD(P)+can substitute for defective NAD+regeneration, representing a very broadly-applicable artificial selection.","nature, search, Baizhu Chen, Wei Kang, Zhuojun Dai, Lara Sellés Vidal, James W. Murray, John T. Heap, Arianna Miano, Michael J. Liao, Jeff Hasty, Huseyin Tas, Lewis Grozinger, Ángel Goñi-Moreno, Kenneth T. Walker, Ivy S. Li, Tom Ellis, Lin Wang, Xi Zhang, Zhuojun Dai, Stefan A. Hoffmann, Yizhi Cai, Chetan Aditya, François Bertaux, Jakob Ruess, Tiantian Chang, Weichao Ding, Xian Fu, Kai Zhuang, Mounir Izallalen, Derek R Lovley, Hoang Long Pham, Adison Wong, Matthew Wook Chang, Charlie Gilbert, Tzu-Chieh Tang, Tom Ellis, Tzu-Chieh Tang, Bolin An, Chao Zhong, Spencer R. Scott, M. Omar Din, Jeff Hasty, Cristal Zuñiga, Tingting Li, Karsten Zengler, Jizhong Zhou, Qiang He, Adam P. Arkin, Jeong Wook Lee, Clement T. Y. Chan, James J. Collins, Eveline-Marie Lammens, Pablo Ivan Nikel, Rob Lavigne, Mayna S. Gomide, Thais T. Sales, Elibio Rech, Xueliang Liu, Paola A. Lopez, Pamela A. Silver, Noushin Hadadi, Vikash Pandey, Jan R. van der Meer, K. E. French, Allen P. Liu, Eric A. Appel, Ovijit Chaudhuri, Erica L.-W. Majumder, Elizabeth M. Billings, Gary Siuzdak, Ilana Lauren Brito, Qiang He, Zhili He, Jizhong Zhou, Raj Chari, George M. Church, Alex D. Washburne, James T. Morton, Rob Knight, Ignacio Belda, Thomas C. Williams, Isak S. Pretorius, Igor Shuryak, Rok Tkavc, Michael J. Daly, Clara Moreno-Fenoll, Matteo Cavaliere, Juan F. Poyatos, Marija Cvijovic, Thomas Höfer, Stefan Hohmann",21 Dec 2021
/articles/s41467-020-15056-8,Inducible cell-to-cell signaling for tunable dynamics in microbial communities,Biotechnology innovations require the precise control over microbial dynamics. Here the authors engineer an inducible quorum sensing system to fine tune population and community level behaviour.,"nature, search, Baizhu Chen, Wei Kang, Zhuojun Dai, Lara Sellés Vidal, James W. Murray, John T. Heap, Arianna Miano, Michael J. Liao, Jeff Hasty, Huseyin Tas, Lewis Grozinger, Ángel Goñi-Moreno, Kenneth T. Walker, Ivy S. Li, Tom Ellis, Lin Wang, Xi Zhang, Zhuojun Dai, Stefan A. Hoffmann, Yizhi Cai, Chetan Aditya, François Bertaux, Jakob Ruess, Tiantian Chang, Weichao Ding, Xian Fu, Kai Zhuang, Mounir Izallalen, Derek R Lovley, Hoang Long Pham, Adison Wong, Matthew Wook Chang, Charlie Gilbert, Tzu-Chieh Tang, Tom Ellis, Tzu-Chieh Tang, Bolin An, Chao Zhong, Spencer R. Scott, M. Omar Din, Jeff Hasty, Cristal Zuñiga, Tingting Li, Karsten Zengler, Jizhong Zhou, Qiang He, Adam P. Arkin, Jeong Wook Lee, Clement T. Y. Chan, James J. Collins, Eveline-Marie Lammens, Pablo Ivan Nikel, Rob Lavigne, Mayna S. Gomide, Thais T. Sales, Elibio Rech, Xueliang Liu, Paola A. Lopez, Pamela A. Silver, Noushin Hadadi, Vikash Pandey, Jan R. van der Meer, K. E. French, Allen P. Liu, Eric A. Appel, Ovijit Chaudhuri, Erica L.-W. Majumder, Elizabeth M. Billings, Gary Siuzdak, Ilana Lauren Brito, Qiang He, Zhili He, Jizhong Zhou, Raj Chari, George M. Church, Alex D. Washburne, James T. Morton, Rob Knight, Ignacio Belda, Thomas C. Williams, Isak S. Pretorius, Igor Shuryak, Rok Tkavc, Michael J. Daly, Clara Moreno-Fenoll, Matteo Cavaliere, Juan F. Poyatos, Marija Cvijovic, Thomas Höfer, Stefan Hohmann",21 Dec 2021
/articles/s41467-020-20656-5,Contextual dependencies expand the re-usability of genetic inverters,"Genetic circuits can be engineered to generate predefined outcomes, however host context is a crucial factor in performance. Here the authors characterise twenty NOT gates in seven different bacteria to understand and predict interoperability and portability across hosts.","nature, search, Baizhu Chen, Wei Kang, Zhuojun Dai, Lara Sellés Vidal, James W. Murray, John T. Heap, Arianna Miano, Michael J. Liao, Jeff Hasty, Huseyin Tas, Lewis Grozinger, Ángel Goñi-Moreno, Kenneth T. Walker, Ivy S. Li, Tom Ellis, Lin Wang, Xi Zhang, Zhuojun Dai, Stefan A. Hoffmann, Yizhi Cai, Chetan Aditya, François Bertaux, Jakob Ruess, Tiantian Chang, Weichao Ding, Xian Fu, Kai Zhuang, Mounir Izallalen, Derek R Lovley, Hoang Long Pham, Adison Wong, Matthew Wook Chang, Charlie Gilbert, Tzu-Chieh Tang, Tom Ellis, Tzu-Chieh Tang, Bolin An, Chao Zhong, Spencer R. Scott, M. Omar Din, Jeff Hasty, Cristal Zuñiga, Tingting Li, Karsten Zengler, Jizhong Zhou, Qiang He, Adam P. Arkin, Jeong Wook Lee, Clement T. Y. Chan, James J. Collins, Eveline-Marie Lammens, Pablo Ivan Nikel, Rob Lavigne, Mayna S. Gomide, Thais T. Sales, Elibio Rech, Xueliang Liu, Paola A. Lopez, Pamela A. Silver, Noushin Hadadi, Vikash Pandey, Jan R. van der Meer, K. E. French, Allen P. Liu, Eric A. Appel, Ovijit Chaudhuri, Erica L.-W. Majumder, Elizabeth M. Billings, Gary Siuzdak, Ilana Lauren Brito, Qiang He, Zhili He, Jizhong Zhou, Raj Chari, George M. Church, Alex D. Washburne, James T. Morton, Rob Knight, Ignacio Belda, Thomas C. Williams, Isak S. Pretorius, Igor Shuryak, Rok Tkavc, Michael J. Daly, Clara Moreno-Fenoll, Matteo Cavaliere, Juan F. Poyatos, Marija Cvijovic, Thomas Höfer, Stefan Hohmann",21 Dec 2021
/articles/s41587-024-02194-3,Self-pigmenting textiles grown from cellulose-producing bacteria with engineered tyrosinase expression,Genetic engineering of material-producing bacteria creates pigmented products.,"nature, search, Baizhu Chen, Wei Kang, Zhuojun Dai, Lara Sellés Vidal, James W. Murray, John T. Heap, Arianna Miano, Michael J. Liao, Jeff Hasty, Huseyin Tas, Lewis Grozinger, Ángel Goñi-Moreno, Kenneth T. Walker, Ivy S. Li, Tom Ellis, Lin Wang, Xi Zhang, Zhuojun Dai, Stefan A. Hoffmann, Yizhi Cai, Chetan Aditya, François Bertaux, Jakob Ruess, Tiantian Chang, Weichao Ding, Xian Fu, Kai Zhuang, Mounir Izallalen, Derek R Lovley, Hoang Long Pham, Adison Wong, Matthew Wook Chang, Charlie Gilbert, Tzu-Chieh Tang, Tom Ellis, Tzu-Chieh Tang, Bolin An, Chao Zhong, Spencer R. Scott, M. Omar Din, Jeff Hasty, Cristal Zuñiga, Tingting Li, Karsten Zengler, Jizhong Zhou, Qiang He, Adam P. Arkin, Jeong Wook Lee, Clement T. Y. Chan, James J. Collins, Eveline-Marie Lammens, Pablo Ivan Nikel, Rob Lavigne, Mayna S. Gomide, Thais T. Sales, Elibio Rech, Xueliang Liu, Paola A. Lopez, Pamela A. Silver, Noushin Hadadi, Vikash Pandey, Jan R. van der Meer, K. E. French, Allen P. Liu, Eric A. Appel, Ovijit Chaudhuri, Erica L.-W. Majumder, Elizabeth M. Billings, Gary Siuzdak, Ilana Lauren Brito, Qiang He, Zhili He, Jizhong Zhou, Raj Chari, George M. Church, Alex D. Washburne, James T. Morton, Rob Knight, Ignacio Belda, Thomas C. Williams, Isak S. Pretorius, Igor Shuryak, Rok Tkavc, Michael J. Daly, Clara Moreno-Fenoll, Matteo Cavaliere, Juan F. Poyatos, Marija Cvijovic, Thomas Höfer, Stefan Hohmann",21 Dec 2021
/articles/s41467-022-31467-1,Engineering consortia by polymeric microbial swarmbots,"Most attempts to co-cultivate the artificial microbial communities fail mostly due to the mismatched rates of consumption and production of nutrients among subpopulations. Here, the authors develop a microbial swarmbot mediated spatial segregation method to assemble stably coexisting consortia with both flexibility and precision.","nature, search, Baizhu Chen, Wei Kang, Zhuojun Dai, Lara Sellés Vidal, James W. Murray, John T. Heap, Arianna Miano, Michael J. Liao, Jeff Hasty, Huseyin Tas, Lewis Grozinger, Ángel Goñi-Moreno, Kenneth T. Walker, Ivy S. Li, Tom Ellis, Lin Wang, Xi Zhang, Zhuojun Dai, Stefan A. Hoffmann, Yizhi Cai, Chetan Aditya, François Bertaux, Jakob Ruess, Tiantian Chang, Weichao Ding, Xian Fu, Kai Zhuang, Mounir Izallalen, Derek R Lovley, Hoang Long Pham, Adison Wong, Matthew Wook Chang, Charlie Gilbert, Tzu-Chieh Tang, Tom Ellis, Tzu-Chieh Tang, Bolin An, Chao Zhong, Spencer R. Scott, M. Omar Din, Jeff Hasty, Cristal Zuñiga, Tingting Li, Karsten Zengler, Jizhong Zhou, Qiang He, Adam P. Arkin, Jeong Wook Lee, Clement T. Y. Chan, James J. Collins, Eveline-Marie Lammens, Pablo Ivan Nikel, Rob Lavigne, Mayna S. Gomide, Thais T. Sales, Elibio Rech, Xueliang Liu, Paola A. Lopez, Pamela A. Silver, Noushin Hadadi, Vikash Pandey, Jan R. van der Meer, K. E. French, Allen P. Liu, Eric A. Appel, Ovijit Chaudhuri, Erica L.-W. Majumder, Elizabeth M. Billings, Gary Siuzdak, Ilana Lauren Brito, Qiang He, Zhili He, Jizhong Zhou, Raj Chari, George M. Church, Alex D. Washburne, James T. Morton, Rob Knight, Ignacio Belda, Thomas C. Williams, Isak S. Pretorius, Igor Shuryak, Rok Tkavc, Michael J. Daly, Clara Moreno-Fenoll, Matteo Cavaliere, Juan F. Poyatos, Marija Cvijovic, Thomas Höfer, Stefan Hohmann",21 Dec 2021
/articles/s41467-024-44988-8,Engineering stringent genetic biocontainment of yeast with a protein stability switch,Comprehensive safety measures are lacking to employ engineered microorganisms in open-environment applications. Here the authors introduce a genetically encoded biocontainment system for engineered microorganisms based on conditional protein stability.,"nature, search, Baizhu Chen, Wei Kang, Zhuojun Dai, Lara Sellés Vidal, James W. Murray, John T. Heap, Arianna Miano, Michael J. Liao, Jeff Hasty, Huseyin Tas, Lewis Grozinger, Ángel Goñi-Moreno, Kenneth T. Walker, Ivy S. Li, Tom Ellis, Lin Wang, Xi Zhang, Zhuojun Dai, Stefan A. Hoffmann, Yizhi Cai, Chetan Aditya, François Bertaux, Jakob Ruess, Tiantian Chang, Weichao Ding, Xian Fu, Kai Zhuang, Mounir Izallalen, Derek R Lovley, Hoang Long Pham, Adison Wong, Matthew Wook Chang, Charlie Gilbert, Tzu-Chieh Tang, Tom Ellis, Tzu-Chieh Tang, Bolin An, Chao Zhong, Spencer R. Scott, M. Omar Din, Jeff Hasty, Cristal Zuñiga, Tingting Li, Karsten Zengler, Jizhong Zhou, Qiang He, Adam P. Arkin, Jeong Wook Lee, Clement T. Y. Chan, James J. Collins, Eveline-Marie Lammens, Pablo Ivan Nikel, Rob Lavigne, Mayna S. Gomide, Thais T. Sales, Elibio Rech, Xueliang Liu, Paola A. Lopez, Pamela A. Silver, Noushin Hadadi, Vikash Pandey, Jan R. van der Meer, K. E. French, Allen P. Liu, Eric A. Appel, Ovijit Chaudhuri, Erica L.-W. Majumder, Elizabeth M. Billings, Gary Siuzdak, Ilana Lauren Brito, Qiang He, Zhili He, Jizhong Zhou, Raj Chari, George M. Church, Alex D. Washburne, James T. Morton, Rob Knight, Ignacio Belda, Thomas C. Williams, Isak S. Pretorius, Igor Shuryak, Rok Tkavc, Michael J. Daly, Clara Moreno-Fenoll, Matteo Cavaliere, Juan F. Poyatos, Marija Cvijovic, Thomas Höfer, Stefan Hohmann",21 Dec 2021
/articles/s41467-021-26129-7,A light tunable differentiation system for the creation and control of consortia in yeast,Artificial microbial consortia use division-of-labour to optimize production. Here the authors develop an optogenetic differentiation system in yeast to generate consortia from a single strain with tunable composition.,"nature, search, Baizhu Chen, Wei Kang, Zhuojun Dai, Lara Sellés Vidal, James W. Murray, John T. Heap, Arianna Miano, Michael J. Liao, Jeff Hasty, Huseyin Tas, Lewis Grozinger, Ángel Goñi-Moreno, Kenneth T. Walker, Ivy S. Li, Tom Ellis, Lin Wang, Xi Zhang, Zhuojun Dai, Stefan A. Hoffmann, Yizhi Cai, Chetan Aditya, François Bertaux, Jakob Ruess, Tiantian Chang, Weichao Ding, Xian Fu, Kai Zhuang, Mounir Izallalen, Derek R Lovley, Hoang Long Pham, Adison Wong, Matthew Wook Chang, Charlie Gilbert, Tzu-Chieh Tang, Tom Ellis, Tzu-Chieh Tang, Bolin An, Chao Zhong, Spencer R. Scott, M. Omar Din, Jeff Hasty, Cristal Zuñiga, Tingting Li, Karsten Zengler, Jizhong Zhou, Qiang He, Adam P. Arkin, Jeong Wook Lee, Clement T. Y. Chan, James J. Collins, Eveline-Marie Lammens, Pablo Ivan Nikel, Rob Lavigne, Mayna S. Gomide, Thais T. Sales, Elibio Rech, Xueliang Liu, Paola A. Lopez, Pamela A. Silver, Noushin Hadadi, Vikash Pandey, Jan R. van der Meer, K. E. French, Allen P. Liu, Eric A. Appel, Ovijit Chaudhuri, Erica L.-W. Majumder, Elizabeth M. Billings, Gary Siuzdak, Ilana Lauren Brito, Qiang He, Zhili He, Jizhong Zhou, Raj Chari, George M. Church, Alex D. Washburne, James T. Morton, Rob Knight, Ignacio Belda, Thomas C. Williams, Isak S. Pretorius, Igor Shuryak, Rok Tkavc, Michael J. Daly, Clara Moreno-Fenoll, Matteo Cavaliere, Juan F. Poyatos, Marija Cvijovic, Thomas Höfer, Stefan Hohmann",21 Dec 2021
/articles/s41467-023-42358-4,A robust yeast biocontainment system with two-layered regulation switch dependent on unnatural amino acid,Synthetic auxotrophy in which cell viability depends on the presence of an unnatural amino acid provides a powerful strategy to restrict unwanted propagation of genetically modified organisms in open environments and potentially prevent industrial espionage. Here the authors establish a general framework for the creation and optimization of synthetic auxotrophs in yeast.,"nature, search, Baizhu Chen, Wei Kang, Zhuojun Dai, Lara Sellés Vidal, James W. Murray, John T. Heap, Arianna Miano, Michael J. Liao, Jeff Hasty, Huseyin Tas, Lewis Grozinger, Ángel Goñi-Moreno, Kenneth T. Walker, Ivy S. Li, Tom Ellis, Lin Wang, Xi Zhang, Zhuojun Dai, Stefan A. Hoffmann, Yizhi Cai, Chetan Aditya, François Bertaux, Jakob Ruess, Tiantian Chang, Weichao Ding, Xian Fu, Kai Zhuang, Mounir Izallalen, Derek R Lovley, Hoang Long Pham, Adison Wong, Matthew Wook Chang, Charlie Gilbert, Tzu-Chieh Tang, Tom Ellis, Tzu-Chieh Tang, Bolin An, Chao Zhong, Spencer R. Scott, M. Omar Din, Jeff Hasty, Cristal Zuñiga, Tingting Li, Karsten Zengler, Jizhong Zhou, Qiang He, Adam P. Arkin, Jeong Wook Lee, Clement T. Y. Chan, James J. Collins, Eveline-Marie Lammens, Pablo Ivan Nikel, Rob Lavigne, Mayna S. Gomide, Thais T. Sales, Elibio Rech, Xueliang Liu, Paola A. Lopez, Pamela A. Silver, Noushin Hadadi, Vikash Pandey, Jan R. van der Meer, K. E. French, Allen P. Liu, Eric A. Appel, Ovijit Chaudhuri, Erica L.-W. Majumder, Elizabeth M. Billings, Gary Siuzdak, Ilana Lauren Brito, Qiang He, Zhili He, Jizhong Zhou, Raj Chari, George M. Church, Alex D. Washburne, James T. Morton, Rob Knight, Ignacio Belda, Thomas C. Williams, Isak S. Pretorius, Igor Shuryak, Rok Tkavc, Michael J. Daly, Clara Moreno-Fenoll, Matteo Cavaliere, Juan F. Poyatos, Marija Cvijovic, Thomas Höfer, Stefan Hohmann",21 Dec 2021
/articles/ismej2010117,Genome-scale dynamic modeling of the competition between Rhodoferax and Geobacter in anoxic subsurface environments,"Cells are exposed to shifts in environmental pH, which direct their metabolism and behavior. Here the authors design pH-sensing riboswitches to create a gene expression program, digitalize the system to respond to a narrow pH range and apply it to evolve host cells with improved tolerance to a variety of organic acids.","nature, search, Baizhu Chen, Wei Kang, Zhuojun Dai, Lara Sellés Vidal, James W. Murray, John T. Heap, Arianna Miano, Michael J. Liao, Jeff Hasty, Huseyin Tas, Lewis Grozinger, Ángel Goñi-Moreno, Kenneth T. Walker, Ivy S. Li, Tom Ellis, Lin Wang, Xi Zhang, Zhuojun Dai, Stefan A. Hoffmann, Yizhi Cai, Chetan Aditya, François Bertaux, Jakob Ruess, Tiantian Chang, Weichao Ding, Xian Fu, Kai Zhuang, Mounir Izallalen, Derek R Lovley, Hoang Long Pham, Adison Wong, Matthew Wook Chang, Charlie Gilbert, Tzu-Chieh Tang, Tom Ellis, Tzu-Chieh Tang, Bolin An, Chao Zhong, Spencer R. Scott, M. Omar Din, Jeff Hasty, Cristal Zuñiga, Tingting Li, Karsten Zengler, Jizhong Zhou, Qiang He, Adam P. Arkin, Jeong Wook Lee, Clement T. Y. Chan, James J. Collins, Eveline-Marie Lammens, Pablo Ivan Nikel, Rob Lavigne, Mayna S. Gomide, Thais T. Sales, Elibio Rech, Xueliang Liu, Paola A. Lopez, Pamela A. Silver, Noushin Hadadi, Vikash Pandey, Jan R. van der Meer, K. E. French, Allen P. Liu, Eric A. Appel, Ovijit Chaudhuri, Erica L.-W. Majumder, Elizabeth M. Billings, Gary Siuzdak, Ilana Lauren Brito, Qiang He, Zhili He, Jizhong Zhou, Raj Chari, George M. Church, Alex D. Washburne, James T. Morton, Rob Knight, Ignacio Belda, Thomas C. Williams, Isak S. Pretorius, Igor Shuryak, Rok Tkavc, Michael J. Daly, Clara Moreno-Fenoll, Matteo Cavaliere, Juan F. Poyatos, Marija Cvijovic, Thomas Höfer, Stefan Hohmann",21 Dec 2021
