href,title,description,authors,date_published
/articles/s41598-018-30520-8,Optimising complementary soft tissue synchrotron X-ray microtomography for reversibly-stained central nervous system samples,"The demand to image large biological samples at high resolution requires improvement in current light-sheet microscopy tools. Here, the authors present an improved, benchtop mesoSPIM with a significantly increased field-of-view, improved resolution and improved throughput.","nature, search, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Nikita Vladimirov, Fabian F. Voigt, Fritjof Helmchen, Ekta Jain, Michelle Rose, Rajeev J. Ram, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Furqan A. Shah, Charalambos Kallepitis, Mads S. Bergholt, Molly M. Stevens, Natacha Rochel, Clémentine Krucker, Isabelle Bernard-Pierrot, Gemma Conroy, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Jun Chu, Younghee Oh, Michael Z Lin, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Holly J Butler, Lorna Ashton, Francis L Martin, Onelia Gagliano, Camilla Luni, Nicola Elvassore, Xun Zhang, Sheng Chen, Feng Xu, Ayako Koide, Jun Kataoka, Taku Inaniwa, Liping Huang, Hongwei Sun, Yi Wang, Stipe Lukin, Krunoslav Užarević, Ivan Halasz, Karolina Pavic, Nikhil Gupta, Jukka Westermarck, Sophie Füchtner, Sara Piqueras, Lisbeth Garbrecht Thygesen, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Notburga Gierlinger, Tobias Keplinger, Michael Harrington, Maarten H. Geurts, Hans Clevers, Arno Germond, Taro Ichimura, Hideaki Fujita, Furqan A. Shah, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Karuna Ganesh, Chao Wu, J. Joshua Smith, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, Elaine R. Mardis, Paavo A. Penttilä, Michael Altgen, Ralf Schweins, Naoki Komatsu, Kenta Terai, Michiyuki Matsuda, Yoshio Hagiwara, Lina Sieverling, Penka V. Nikolova, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Kang Soo Lee, Zachary Landry, Roman Stocker, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Katie Hanna, Emma Krzoska, Valerie Speirs, Matthew Potter, Cynthia Hanson, David W. Britt, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Christoffer Nord, Maria Eriksson, Ulf Ahlgren, Philip Heraud, Max F. Cowan, Ros Gleadow, Zahra Mortezaei, Mahmood Tavallaei, A J Macpherson, K D McCoy",13 Aug 2018
/articles/s41467-024-46770-2,Benchtop mesoSPIM: a next-generation open-source light-sheet microscope for cleared samples,"The demand to image large biological samples at high resolution requires improvement in current light-sheet microscopy tools. Here, the authors present an improved, benchtop mesoSPIM with a significantly increased field-of-view, improved resolution and improved throughput.","nature, search, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Nikita Vladimirov, Fabian F. Voigt, Fritjof Helmchen, Ekta Jain, Michelle Rose, Rajeev J. Ram, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Furqan A. Shah, Charalambos Kallepitis, Mads S. Bergholt, Molly M. Stevens, Natacha Rochel, Clémentine Krucker, Isabelle Bernard-Pierrot, Gemma Conroy, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Jun Chu, Younghee Oh, Michael Z Lin, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Holly J Butler, Lorna Ashton, Francis L Martin, Onelia Gagliano, Camilla Luni, Nicola Elvassore, Xun Zhang, Sheng Chen, Feng Xu, Ayako Koide, Jun Kataoka, Taku Inaniwa, Liping Huang, Hongwei Sun, Yi Wang, Stipe Lukin, Krunoslav Užarević, Ivan Halasz, Karolina Pavic, Nikhil Gupta, Jukka Westermarck, Sophie Füchtner, Sara Piqueras, Lisbeth Garbrecht Thygesen, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Notburga Gierlinger, Tobias Keplinger, Michael Harrington, Maarten H. Geurts, Hans Clevers, Arno Germond, Taro Ichimura, Hideaki Fujita, Furqan A. Shah, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Karuna Ganesh, Chao Wu, J. Joshua Smith, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, Elaine R. Mardis, Paavo A. Penttilä, Michael Altgen, Ralf Schweins, Naoki Komatsu, Kenta Terai, Michiyuki Matsuda, Yoshio Hagiwara, Lina Sieverling, Penka V. Nikolova, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Kang Soo Lee, Zachary Landry, Roman Stocker, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Katie Hanna, Emma Krzoska, Valerie Speirs, Matthew Potter, Cynthia Hanson, David W. Britt, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Christoffer Nord, Maria Eriksson, Ulf Ahlgren, Philip Heraud, Max F. Cowan, Ros Gleadow, Zahra Mortezaei, Mahmood Tavallaei, A J Macpherson, K D McCoy",13 Aug 2018
/articles/s41598-024-62932-0,Harnessing Raman spectroscopy for the analysis of plant diversity,The PIK3CA gene is one of the most frequently mutated genes in all of human cancer. Here authors describe the molecular mechanisms underlying how different oncogenic mutations in PIK3CA mediate increased activity.,"nature, search, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Nikita Vladimirov, Fabian F. Voigt, Fritjof Helmchen, Ekta Jain, Michelle Rose, Rajeev J. Ram, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Furqan A. Shah, Charalambos Kallepitis, Mads S. Bergholt, Molly M. Stevens, Natacha Rochel, Clémentine Krucker, Isabelle Bernard-Pierrot, Gemma Conroy, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Jun Chu, Younghee Oh, Michael Z Lin, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Holly J Butler, Lorna Ashton, Francis L Martin, Onelia Gagliano, Camilla Luni, Nicola Elvassore, Xun Zhang, Sheng Chen, Feng Xu, Ayako Koide, Jun Kataoka, Taku Inaniwa, Liping Huang, Hongwei Sun, Yi Wang, Stipe Lukin, Krunoslav Užarević, Ivan Halasz, Karolina Pavic, Nikhil Gupta, Jukka Westermarck, Sophie Füchtner, Sara Piqueras, Lisbeth Garbrecht Thygesen, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Notburga Gierlinger, Tobias Keplinger, Michael Harrington, Maarten H. Geurts, Hans Clevers, Arno Germond, Taro Ichimura, Hideaki Fujita, Furqan A. Shah, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Karuna Ganesh, Chao Wu, J. Joshua Smith, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, Elaine R. Mardis, Paavo A. Penttilä, Michael Altgen, Ralf Schweins, Naoki Komatsu, Kenta Terai, Michiyuki Matsuda, Yoshio Hagiwara, Lina Sieverling, Penka V. Nikolova, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Kang Soo Lee, Zachary Landry, Roman Stocker, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Katie Hanna, Emma Krzoska, Valerie Speirs, Matthew Potter, Cynthia Hanson, David W. Britt, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Christoffer Nord, Maria Eriksson, Ulf Ahlgren, Philip Heraud, Max F. Cowan, Ros Gleadow, Zahra Mortezaei, Mahmood Tavallaei, A J Macpherson, K D McCoy",13 Aug 2018
/articles/s41467-023-35789-6,"Oncogenic mutations of PIK3CA lead to increased membrane recruitment driven by reorientation of the ABD, p85 and C-terminus",The PIK3CA gene is one of the most frequently mutated genes in all of human cancer. Here authors describe the molecular mechanisms underlying how different oncogenic mutations in PIK3CA mediate increased activity.,"nature, search, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Nikita Vladimirov, Fabian F. Voigt, Fritjof Helmchen, Ekta Jain, Michelle Rose, Rajeev J. Ram, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Furqan A. Shah, Charalambos Kallepitis, Mads S. Bergholt, Molly M. Stevens, Natacha Rochel, Clémentine Krucker, Isabelle Bernard-Pierrot, Gemma Conroy, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Jun Chu, Younghee Oh, Michael Z Lin, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Holly J Butler, Lorna Ashton, Francis L Martin, Onelia Gagliano, Camilla Luni, Nicola Elvassore, Xun Zhang, Sheng Chen, Feng Xu, Ayako Koide, Jun Kataoka, Taku Inaniwa, Liping Huang, Hongwei Sun, Yi Wang, Stipe Lukin, Krunoslav Užarević, Ivan Halasz, Karolina Pavic, Nikhil Gupta, Jukka Westermarck, Sophie Füchtner, Sara Piqueras, Lisbeth Garbrecht Thygesen, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Notburga Gierlinger, Tobias Keplinger, Michael Harrington, Maarten H. Geurts, Hans Clevers, Arno Germond, Taro Ichimura, Hideaki Fujita, Furqan A. Shah, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Karuna Ganesh, Chao Wu, J. Joshua Smith, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, Elaine R. Mardis, Paavo A. Penttilä, Michael Altgen, Ralf Schweins, Naoki Komatsu, Kenta Terai, Michiyuki Matsuda, Yoshio Hagiwara, Lina Sieverling, Penka V. Nikolova, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Kang Soo Lee, Zachary Landry, Roman Stocker, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Katie Hanna, Emma Krzoska, Valerie Speirs, Matthew Potter, Cynthia Hanson, David W. Britt, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Christoffer Nord, Maria Eriksson, Ulf Ahlgren, Philip Heraud, Max F. Cowan, Ros Gleadow, Zahra Mortezaei, Mahmood Tavallaei, A J Macpherson, K D McCoy",13 Aug 2018
/articles/s41598-023-38792-5,High-resolution Raman spectroscopy reveals compositional differences between pigmented incisor enamel and unpigmented molar enamel in Rattus norvegicus,Ten people who mattered this year.,"nature, search, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Nikita Vladimirov, Fabian F. Voigt, Fritjof Helmchen, Ekta Jain, Michelle Rose, Rajeev J. Ram, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Furqan A. Shah, Charalambos Kallepitis, Mads S. Bergholt, Molly M. Stevens, Natacha Rochel, Clémentine Krucker, Isabelle Bernard-Pierrot, Gemma Conroy, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Jun Chu, Younghee Oh, Michael Z Lin, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Holly J Butler, Lorna Ashton, Francis L Martin, Onelia Gagliano, Camilla Luni, Nicola Elvassore, Xun Zhang, Sheng Chen, Feng Xu, Ayako Koide, Jun Kataoka, Taku Inaniwa, Liping Huang, Hongwei Sun, Yi Wang, Stipe Lukin, Krunoslav Užarević, Ivan Halasz, Karolina Pavic, Nikhil Gupta, Jukka Westermarck, Sophie Füchtner, Sara Piqueras, Lisbeth Garbrecht Thygesen, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Notburga Gierlinger, Tobias Keplinger, Michael Harrington, Maarten H. Geurts, Hans Clevers, Arno Germond, Taro Ichimura, Hideaki Fujita, Furqan A. Shah, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Karuna Ganesh, Chao Wu, J. Joshua Smith, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, Elaine R. Mardis, Paavo A. Penttilä, Michael Altgen, Ralf Schweins, Naoki Komatsu, Kenta Terai, Michiyuki Matsuda, Yoshio Hagiwara, Lina Sieverling, Penka V. Nikolova, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Kang Soo Lee, Zachary Landry, Roman Stocker, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Katie Hanna, Emma Krzoska, Valerie Speirs, Matthew Potter, Cynthia Hanson, David W. Britt, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Christoffer Nord, Maria Eriksson, Ulf Ahlgren, Philip Heraud, Max F. Cowan, Ros Gleadow, Zahra Mortezaei, Mahmood Tavallaei, A J Macpherson, K D McCoy",13 Aug 2018
/articles/540507a,Nature’s 10,Ten people who mattered this year.,"nature, search, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Nikita Vladimirov, Fabian F. Voigt, Fritjof Helmchen, Ekta Jain, Michelle Rose, Rajeev J. Ram, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Furqan A. Shah, Charalambos Kallepitis, Mads S. Bergholt, Molly M. Stevens, Natacha Rochel, Clémentine Krucker, Isabelle Bernard-Pierrot, Gemma Conroy, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Jun Chu, Younghee Oh, Michael Z Lin, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Holly J Butler, Lorna Ashton, Francis L Martin, Onelia Gagliano, Camilla Luni, Nicola Elvassore, Xun Zhang, Sheng Chen, Feng Xu, Ayako Koide, Jun Kataoka, Taku Inaniwa, Liping Huang, Hongwei Sun, Yi Wang, Stipe Lukin, Krunoslav Užarević, Ivan Halasz, Karolina Pavic, Nikhil Gupta, Jukka Westermarck, Sophie Füchtner, Sara Piqueras, Lisbeth Garbrecht Thygesen, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Notburga Gierlinger, Tobias Keplinger, Michael Harrington, Maarten H. Geurts, Hans Clevers, Arno Germond, Taro Ichimura, Hideaki Fujita, Furqan A. Shah, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Karuna Ganesh, Chao Wu, J. Joshua Smith, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, Elaine R. Mardis, Paavo A. Penttilä, Michael Altgen, Ralf Schweins, Naoki Komatsu, Kenta Terai, Michiyuki Matsuda, Yoshio Hagiwara, Lina Sieverling, Penka V. Nikolova, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Kang Soo Lee, Zachary Landry, Roman Stocker, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Katie Hanna, Emma Krzoska, Valerie Speirs, Matthew Potter, Cynthia Hanson, David W. Britt, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Christoffer Nord, Maria Eriksson, Ulf Ahlgren, Philip Heraud, Max F. Cowan, Ros Gleadow, Zahra Mortezaei, Mahmood Tavallaei, A J Macpherson, K D McCoy",13 Aug 2018
/articles/ncomms14843,Quantitative volumetric Raman imaging of three dimensional cell cultures,Advances in chemical imaging capability can add to our understanding of complex cellular systems. Here the authors develop a framework for label-free quantitative volumetric Raman spectroscopic imaging and use it to visualize and quantify biomolecules in various 3D cellular systems.,"nature, search, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Nikita Vladimirov, Fabian F. Voigt, Fritjof Helmchen, Ekta Jain, Michelle Rose, Rajeev J. Ram, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Furqan A. Shah, Charalambos Kallepitis, Mads S. Bergholt, Molly M. Stevens, Natacha Rochel, Clémentine Krucker, Isabelle Bernard-Pierrot, Gemma Conroy, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Jun Chu, Younghee Oh, Michael Z Lin, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Holly J Butler, Lorna Ashton, Francis L Martin, Onelia Gagliano, Camilla Luni, Nicola Elvassore, Xun Zhang, Sheng Chen, Feng Xu, Ayako Koide, Jun Kataoka, Taku Inaniwa, Liping Huang, Hongwei Sun, Yi Wang, Stipe Lukin, Krunoslav Užarević, Ivan Halasz, Karolina Pavic, Nikhil Gupta, Jukka Westermarck, Sophie Füchtner, Sara Piqueras, Lisbeth Garbrecht Thygesen, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Notburga Gierlinger, Tobias Keplinger, Michael Harrington, Maarten H. Geurts, Hans Clevers, Arno Germond, Taro Ichimura, Hideaki Fujita, Furqan A. Shah, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Karuna Ganesh, Chao Wu, J. Joshua Smith, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, Elaine R. Mardis, Paavo A. Penttilä, Michael Altgen, Ralf Schweins, Naoki Komatsu, Kenta Terai, Michiyuki Matsuda, Yoshio Hagiwara, Lina Sieverling, Penka V. Nikolova, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Kang Soo Lee, Zachary Landry, Roman Stocker, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Katie Hanna, Emma Krzoska, Valerie Speirs, Matthew Potter, Cynthia Hanson, David W. Britt, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Christoffer Nord, Maria Eriksson, Ulf Ahlgren, Philip Heraud, Max F. Cowan, Ros Gleadow, Zahra Mortezaei, Mahmood Tavallaei, A J Macpherson, K D McCoy",13 Aug 2018
/articles/s41467-018-08157-y,Recurrent activating mutations of PPARγ associated with luminal bladder tumors,"Activation of the PPARγ/RXRα pathway in luminal bladder cancers has mainly been linked toPPARGgene amplifications and activating point mutations in RXRα. Here, the authors identify recurrent PPARγ mutations with similar effects and elucidate the structural basis for this mutational PPARγ activation.","nature, search, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Nikita Vladimirov, Fabian F. Voigt, Fritjof Helmchen, Ekta Jain, Michelle Rose, Rajeev J. Ram, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Furqan A. Shah, Charalambos Kallepitis, Mads S. Bergholt, Molly M. Stevens, Natacha Rochel, Clémentine Krucker, Isabelle Bernard-Pierrot, Gemma Conroy, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Jun Chu, Younghee Oh, Michael Z Lin, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Holly J Butler, Lorna Ashton, Francis L Martin, Onelia Gagliano, Camilla Luni, Nicola Elvassore, Xun Zhang, Sheng Chen, Feng Xu, Ayako Koide, Jun Kataoka, Taku Inaniwa, Liping Huang, Hongwei Sun, Yi Wang, Stipe Lukin, Krunoslav Užarević, Ivan Halasz, Karolina Pavic, Nikhil Gupta, Jukka Westermarck, Sophie Füchtner, Sara Piqueras, Lisbeth Garbrecht Thygesen, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Notburga Gierlinger, Tobias Keplinger, Michael Harrington, Maarten H. Geurts, Hans Clevers, Arno Germond, Taro Ichimura, Hideaki Fujita, Furqan A. Shah, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Karuna Ganesh, Chao Wu, J. Joshua Smith, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, Elaine R. Mardis, Paavo A. Penttilä, Michael Altgen, Ralf Schweins, Naoki Komatsu, Kenta Terai, Michiyuki Matsuda, Yoshio Hagiwara, Lina Sieverling, Penka V. Nikolova, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Kang Soo Lee, Zachary Landry, Roman Stocker, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Katie Hanna, Emma Krzoska, Valerie Speirs, Matthew Potter, Cynthia Hanson, David W. Britt, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Christoffer Nord, Maria Eriksson, Ulf Ahlgren, Philip Heraud, Max F. Cowan, Ros Gleadow, Zahra Mortezaei, Mahmood Tavallaei, A J Macpherson, K D McCoy",13 Aug 2018
/articles/d41586-024-01346-4,World’s brightest X-rays: China first in Asia to build next-generation synchrotron,The US$665-million High Energy Photon Source (HEPS) outside Beijing puts China among only a handful of countries that have fourth-generation synchrotron light sources.,"nature, search, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Nikita Vladimirov, Fabian F. Voigt, Fritjof Helmchen, Ekta Jain, Michelle Rose, Rajeev J. Ram, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Furqan A. Shah, Charalambos Kallepitis, Mads S. Bergholt, Molly M. Stevens, Natacha Rochel, Clémentine Krucker, Isabelle Bernard-Pierrot, Gemma Conroy, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Jun Chu, Younghee Oh, Michael Z Lin, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Holly J Butler, Lorna Ashton, Francis L Martin, Onelia Gagliano, Camilla Luni, Nicola Elvassore, Xun Zhang, Sheng Chen, Feng Xu, Ayako Koide, Jun Kataoka, Taku Inaniwa, Liping Huang, Hongwei Sun, Yi Wang, Stipe Lukin, Krunoslav Užarević, Ivan Halasz, Karolina Pavic, Nikhil Gupta, Jukka Westermarck, Sophie Füchtner, Sara Piqueras, Lisbeth Garbrecht Thygesen, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Notburga Gierlinger, Tobias Keplinger, Michael Harrington, Maarten H. Geurts, Hans Clevers, Arno Germond, Taro Ichimura, Hideaki Fujita, Furqan A. Shah, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Karuna Ganesh, Chao Wu, J. Joshua Smith, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, Elaine R. Mardis, Paavo A. Penttilä, Michael Altgen, Ralf Schweins, Naoki Komatsu, Kenta Terai, Michiyuki Matsuda, Yoshio Hagiwara, Lina Sieverling, Penka V. Nikolova, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Kang Soo Lee, Zachary Landry, Roman Stocker, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Katie Hanna, Emma Krzoska, Valerie Speirs, Matthew Potter, Cynthia Hanson, David W. Britt, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Christoffer Nord, Maria Eriksson, Ulf Ahlgren, Philip Heraud, Max F. Cowan, Ros Gleadow, Zahra Mortezaei, Mahmood Tavallaei, A J Macpherson, K D McCoy",13 Aug 2018
/articles/s43586-021-00064-9,Small-angle X-ray and neutron scattering,"Small-angle scattering can reveal the structural organization of bulk materials and materials at surfaces and quantify their response to changes in external conditions. This Primer provides an overview of small-angle scattering using both X-rays and neutrons, and includes instrumentation, data collection and the type of structural information gathered in various applications.","nature, search, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Nikita Vladimirov, Fabian F. Voigt, Fritjof Helmchen, Ekta Jain, Michelle Rose, Rajeev J. Ram, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Furqan A. Shah, Charalambos Kallepitis, Mads S. Bergholt, Molly M. Stevens, Natacha Rochel, Clémentine Krucker, Isabelle Bernard-Pierrot, Gemma Conroy, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Jun Chu, Younghee Oh, Michael Z Lin, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Holly J Butler, Lorna Ashton, Francis L Martin, Onelia Gagliano, Camilla Luni, Nicola Elvassore, Xun Zhang, Sheng Chen, Feng Xu, Ayako Koide, Jun Kataoka, Taku Inaniwa, Liping Huang, Hongwei Sun, Yi Wang, Stipe Lukin, Krunoslav Užarević, Ivan Halasz, Karolina Pavic, Nikhil Gupta, Jukka Westermarck, Sophie Füchtner, Sara Piqueras, Lisbeth Garbrecht Thygesen, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Notburga Gierlinger, Tobias Keplinger, Michael Harrington, Maarten H. Geurts, Hans Clevers, Arno Germond, Taro Ichimura, Hideaki Fujita, Furqan A. Shah, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Karuna Ganesh, Chao Wu, J. Joshua Smith, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, Elaine R. Mardis, Paavo A. Penttilä, Michael Altgen, Ralf Schweins, Naoki Komatsu, Kenta Terai, Michiyuki Matsuda, Yoshio Hagiwara, Lina Sieverling, Penka V. Nikolova, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Kang Soo Lee, Zachary Landry, Roman Stocker, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Katie Hanna, Emma Krzoska, Valerie Speirs, Matthew Potter, Cynthia Hanson, David W. Britt, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Christoffer Nord, Maria Eriksson, Ulf Ahlgren, Philip Heraud, Max F. Cowan, Ros Gleadow, Zahra Mortezaei, Mahmood Tavallaei, A J Macpherson, K D McCoy",13 Aug 2018
