href,title,description,authors,date_published
/articles/d41586-024-02198-8,These frog 'saunas’ could help endangered species fight off a deadly fungus,"How a hot resting spot can help frogs survive chytridiomycosis infection, and the decades-long hunt for dark matter in black holes.","nature, search, Nick Petrić Howe, Benjamin Thompson, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Trendelina Rrustemi, Katrina Meyer, Matthias Selbach, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Shaobo Tan, Weiwei Pei, Wentao Hu, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Francis A. Cucinotta, Premkumar B. Saganti, Charles Bayly-Jones, Christopher J. Lupton, James C. Whisstock, Jifeng Liu, Tengfei Ma, Heping Xie, Jun Chu, Younghee Oh, Michael Z Lin, Elliot Medina, Yathreb Easa, Vincent C. Luca, Yehia H. Johary, Jamie Trapp, A. Sulieman, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Burkhard Jakob, Monika Dubiak-Szepietowska, Gisela Taucher-Scholz, Arno Germond, Taro Ichimura, Hideaki Fujita, Anggraeini Puspitasari, Fabio Squarcio, Walter Tinganelli, Zeeya Merali, C. Fournier, S. Zahnreich, S. Ritter, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Siti Norbaini Sabtu, S. F. Abdul Sani, Z. Osman, Wojciech Grudzinski, Lukasz Nierzwicki, Wieslaw I. Gruszecki, Mingzhen Zhang, Jie Zheng, Buyong Ma, Sara Seweryn, Katarzyna Skirlińska-Nosek, Ewelina Lipiec, Peter M. Hwang, Brian D. Sykes, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi, Kazuko Okamoto, Arno Germond, Tomonobu M. Watanabe",03 Jul 2024
/articles/s41467-023-35789-6,"Oncogenic mutations of PIK3CA lead to increased membrane recruitment driven by reorientation of the ABD, p85 and C-terminus",The PIK3CA gene is one of the most frequently mutated genes in all of human cancer. Here authors describe the molecular mechanisms underlying how different oncogenic mutations in PIK3CA mediate increased activity.,"nature, search, Nick Petrić Howe, Benjamin Thompson, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Trendelina Rrustemi, Katrina Meyer, Matthias Selbach, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Shaobo Tan, Weiwei Pei, Wentao Hu, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Francis A. Cucinotta, Premkumar B. Saganti, Charles Bayly-Jones, Christopher J. Lupton, James C. Whisstock, Jifeng Liu, Tengfei Ma, Heping Xie, Jun Chu, Younghee Oh, Michael Z Lin, Elliot Medina, Yathreb Easa, Vincent C. Luca, Yehia H. Johary, Jamie Trapp, A. Sulieman, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Burkhard Jakob, Monika Dubiak-Szepietowska, Gisela Taucher-Scholz, Arno Germond, Taro Ichimura, Hideaki Fujita, Anggraeini Puspitasari, Fabio Squarcio, Walter Tinganelli, Zeeya Merali, C. Fournier, S. Zahnreich, S. Ritter, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Siti Norbaini Sabtu, S. F. Abdul Sani, Z. Osman, Wojciech Grudzinski, Lukasz Nierzwicki, Wieslaw I. Gruszecki, Mingzhen Zhang, Jie Zheng, Buyong Ma, Sara Seweryn, Katarzyna Skirlińska-Nosek, Ewelina Lipiec, Peter M. Hwang, Brian D. Sykes, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi, Kazuko Okamoto, Arno Germond, Tomonobu M. Watanabe",03 Jul 2024
/articles/s41467-024-46794-8,Pathogenic mutations of human phosphorylation sites affect protein–protein interactions,"Here the authors characterise the impact of phosphorylation site mutations in intrinsically disordered regions (IDRs) on protein-protein interactions, highlighting the critical role of phosphorylation of IDRs in health and disease.","nature, search, Nick Petrić Howe, Benjamin Thompson, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Trendelina Rrustemi, Katrina Meyer, Matthias Selbach, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Shaobo Tan, Weiwei Pei, Wentao Hu, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Francis A. Cucinotta, Premkumar B. Saganti, Charles Bayly-Jones, Christopher J. Lupton, James C. Whisstock, Jifeng Liu, Tengfei Ma, Heping Xie, Jun Chu, Younghee Oh, Michael Z Lin, Elliot Medina, Yathreb Easa, Vincent C. Luca, Yehia H. Johary, Jamie Trapp, A. Sulieman, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Burkhard Jakob, Monika Dubiak-Szepietowska, Gisela Taucher-Scholz, Arno Germond, Taro Ichimura, Hideaki Fujita, Anggraeini Puspitasari, Fabio Squarcio, Walter Tinganelli, Zeeya Merali, C. Fournier, S. Zahnreich, S. Ritter, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Siti Norbaini Sabtu, S. F. Abdul Sani, Z. Osman, Wojciech Grudzinski, Lukasz Nierzwicki, Wieslaw I. Gruszecki, Mingzhen Zhang, Jie Zheng, Buyong Ma, Sara Seweryn, Katarzyna Skirlińska-Nosek, Ewelina Lipiec, Peter M. Hwang, Brian D. Sykes, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi, Kazuko Okamoto, Arno Germond, Tomonobu M. Watanabe",03 Jul 2024
/articles/s43586-021-00064-9,Small-angle X-ray and neutron scattering,"Small-angle scattering can reveal the structural organization of bulk materials and materials at surfaces and quantify their response to changes in external conditions. This Primer provides an overview of small-angle scattering using both X-rays and neutrons, and includes instrumentation, data collection and the type of structural information gathered in various applications.","nature, search, Nick Petrić Howe, Benjamin Thompson, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Trendelina Rrustemi, Katrina Meyer, Matthias Selbach, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Shaobo Tan, Weiwei Pei, Wentao Hu, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Francis A. Cucinotta, Premkumar B. Saganti, Charles Bayly-Jones, Christopher J. Lupton, James C. Whisstock, Jifeng Liu, Tengfei Ma, Heping Xie, Jun Chu, Younghee Oh, Michael Z Lin, Elliot Medina, Yathreb Easa, Vincent C. Luca, Yehia H. Johary, Jamie Trapp, A. Sulieman, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Burkhard Jakob, Monika Dubiak-Szepietowska, Gisela Taucher-Scholz, Arno Germond, Taro Ichimura, Hideaki Fujita, Anggraeini Puspitasari, Fabio Squarcio, Walter Tinganelli, Zeeya Merali, C. Fournier, S. Zahnreich, S. Ritter, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Siti Norbaini Sabtu, S. F. Abdul Sani, Z. Osman, Wojciech Grudzinski, Lukasz Nierzwicki, Wieslaw I. Gruszecki, Mingzhen Zhang, Jie Zheng, Buyong Ma, Sara Seweryn, Katarzyna Skirlińska-Nosek, Ewelina Lipiec, Peter M. Hwang, Brian D. Sykes, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi, Kazuko Okamoto, Arno Germond, Tomonobu M. Watanabe",03 Jul 2024
/articles/s41598-024-62543-9,In situ brain tumor detection using a Raman spectroscopy system—results of a multicenter study,"Meprin α is a proteolytic regulator of the extracellular matrix that forms enormous oligomeric filaments of unknown purpose. Here, the authors determine by cryo-EM the structural basis of the meprin supercoiled filament and further characterise a small molecule inhibitor bound to its active site.","nature, search, Nick Petrić Howe, Benjamin Thompson, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Trendelina Rrustemi, Katrina Meyer, Matthias Selbach, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Shaobo Tan, Weiwei Pei, Wentao Hu, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Francis A. Cucinotta, Premkumar B. Saganti, Charles Bayly-Jones, Christopher J. Lupton, James C. Whisstock, Jifeng Liu, Tengfei Ma, Heping Xie, Jun Chu, Younghee Oh, Michael Z Lin, Elliot Medina, Yathreb Easa, Vincent C. Luca, Yehia H. Johary, Jamie Trapp, A. Sulieman, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Burkhard Jakob, Monika Dubiak-Szepietowska, Gisela Taucher-Scholz, Arno Germond, Taro Ichimura, Hideaki Fujita, Anggraeini Puspitasari, Fabio Squarcio, Walter Tinganelli, Zeeya Merali, C. Fournier, S. Zahnreich, S. Ritter, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Siti Norbaini Sabtu, S. F. Abdul Sani, Z. Osman, Wojciech Grudzinski, Lukasz Nierzwicki, Wieslaw I. Gruszecki, Mingzhen Zhang, Jie Zheng, Buyong Ma, Sara Seweryn, Katarzyna Skirlińska-Nosek, Ewelina Lipiec, Peter M. Hwang, Brian D. Sykes, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi, Kazuko Okamoto, Arno Germond, Tomonobu M. Watanabe",03 Jul 2024
/articles/s41526-020-00123-7,"Additive effects of simulated microgravity and ionizing radiation in cell death, induction of ROS and expression of RAC2 in human bronchial epithelial cells","Meprin α is a proteolytic regulator of the extracellular matrix that forms enormous oligomeric filaments of unknown purpose. Here, the authors determine by cryo-EM the structural basis of the meprin supercoiled filament and further characterise a small molecule inhibitor bound to its active site.","nature, search, Nick Petrić Howe, Benjamin Thompson, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Trendelina Rrustemi, Katrina Meyer, Matthias Selbach, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Shaobo Tan, Weiwei Pei, Wentao Hu, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Francis A. Cucinotta, Premkumar B. Saganti, Charles Bayly-Jones, Christopher J. Lupton, James C. Whisstock, Jifeng Liu, Tengfei Ma, Heping Xie, Jun Chu, Younghee Oh, Michael Z Lin, Elliot Medina, Yathreb Easa, Vincent C. Luca, Yehia H. Johary, Jamie Trapp, A. Sulieman, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Burkhard Jakob, Monika Dubiak-Szepietowska, Gisela Taucher-Scholz, Arno Germond, Taro Ichimura, Hideaki Fujita, Anggraeini Puspitasari, Fabio Squarcio, Walter Tinganelli, Zeeya Merali, C. Fournier, S. Zahnreich, S. Ritter, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Siti Norbaini Sabtu, S. F. Abdul Sani, Z. Osman, Wojciech Grudzinski, Lukasz Nierzwicki, Wieslaw I. Gruszecki, Mingzhen Zhang, Jie Zheng, Buyong Ma, Sara Seweryn, Katarzyna Skirlińska-Nosek, Ewelina Lipiec, Peter M. Hwang, Brian D. Sykes, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi, Kazuko Okamoto, Arno Germond, Tomonobu M. Watanabe",03 Jul 2024
/articles/s41598-024-62313-7,"Chromosomal damage, gene expression and alternative transcription in human lymphocytes exposed to mixed ionizing radiation as encountered in space","Meprin α is a proteolytic regulator of the extracellular matrix that forms enormous oligomeric filaments of unknown purpose. Here, the authors determine by cryo-EM the structural basis of the meprin supercoiled filament and further characterise a small molecule inhibitor bound to its active site.","nature, search, Nick Petrić Howe, Benjamin Thompson, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Trendelina Rrustemi, Katrina Meyer, Matthias Selbach, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Shaobo Tan, Weiwei Pei, Wentao Hu, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Francis A. Cucinotta, Premkumar B. Saganti, Charles Bayly-Jones, Christopher J. Lupton, James C. Whisstock, Jifeng Liu, Tengfei Ma, Heping Xie, Jun Chu, Younghee Oh, Michael Z Lin, Elliot Medina, Yathreb Easa, Vincent C. Luca, Yehia H. Johary, Jamie Trapp, A. Sulieman, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Burkhard Jakob, Monika Dubiak-Szepietowska, Gisela Taucher-Scholz, Arno Germond, Taro Ichimura, Hideaki Fujita, Anggraeini Puspitasari, Fabio Squarcio, Walter Tinganelli, Zeeya Merali, C. Fournier, S. Zahnreich, S. Ritter, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Siti Norbaini Sabtu, S. F. Abdul Sani, Z. Osman, Wojciech Grudzinski, Lukasz Nierzwicki, Wieslaw I. Gruszecki, Mingzhen Zhang, Jie Zheng, Buyong Ma, Sara Seweryn, Katarzyna Skirlińska-Nosek, Ewelina Lipiec, Peter M. Hwang, Brian D. Sykes, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi, Kazuko Okamoto, Arno Germond, Tomonobu M. Watanabe",03 Jul 2024
/articles/s41598-022-06105-x,Race and ethnic group dependent space radiation cancer risk predictions,"Meprin α is a proteolytic regulator of the extracellular matrix that forms enormous oligomeric filaments of unknown purpose. Here, the authors determine by cryo-EM the structural basis of the meprin supercoiled filament and further characterise a small molecule inhibitor bound to its active site.","nature, search, Nick Petrić Howe, Benjamin Thompson, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Trendelina Rrustemi, Katrina Meyer, Matthias Selbach, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Shaobo Tan, Weiwei Pei, Wentao Hu, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Francis A. Cucinotta, Premkumar B. Saganti, Charles Bayly-Jones, Christopher J. Lupton, James C. Whisstock, Jifeng Liu, Tengfei Ma, Heping Xie, Jun Chu, Younghee Oh, Michael Z Lin, Elliot Medina, Yathreb Easa, Vincent C. Luca, Yehia H. Johary, Jamie Trapp, A. Sulieman, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Burkhard Jakob, Monika Dubiak-Szepietowska, Gisela Taucher-Scholz, Arno Germond, Taro Ichimura, Hideaki Fujita, Anggraeini Puspitasari, Fabio Squarcio, Walter Tinganelli, Zeeya Merali, C. Fournier, S. Zahnreich, S. Ritter, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Siti Norbaini Sabtu, S. F. Abdul Sani, Z. Osman, Wojciech Grudzinski, Lukasz Nierzwicki, Wieslaw I. Gruszecki, Mingzhen Zhang, Jie Zheng, Buyong Ma, Sara Seweryn, Katarzyna Skirlińska-Nosek, Ewelina Lipiec, Peter M. Hwang, Brian D. Sykes, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi, Kazuko Okamoto, Arno Germond, Tomonobu M. Watanabe",03 Jul 2024
/articles/s41467-022-33893-7,Helical ultrastructure of the metalloprotease meprin α in complex with a small molecule inhibitor,"Meprin α is a proteolytic regulator of the extracellular matrix that forms enormous oligomeric filaments of unknown purpose. Here, the authors determine by cryo-EM the structural basis of the meprin supercoiled filament and further characterise a small molecule inhibitor bound to its active site.","nature, search, Nick Petrić Howe, Benjamin Thompson, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Trendelina Rrustemi, Katrina Meyer, Matthias Selbach, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Shaobo Tan, Weiwei Pei, Wentao Hu, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Francis A. Cucinotta, Premkumar B. Saganti, Charles Bayly-Jones, Christopher J. Lupton, James C. Whisstock, Jifeng Liu, Tengfei Ma, Heping Xie, Jun Chu, Younghee Oh, Michael Z Lin, Elliot Medina, Yathreb Easa, Vincent C. Luca, Yehia H. Johary, Jamie Trapp, A. Sulieman, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Burkhard Jakob, Monika Dubiak-Szepietowska, Gisela Taucher-Scholz, Arno Germond, Taro Ichimura, Hideaki Fujita, Anggraeini Puspitasari, Fabio Squarcio, Walter Tinganelli, Zeeya Merali, C. Fournier, S. Zahnreich, S. Ritter, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Siti Norbaini Sabtu, S. F. Abdul Sani, Z. Osman, Wojciech Grudzinski, Lukasz Nierzwicki, Wieslaw I. Gruszecki, Mingzhen Zhang, Jie Zheng, Buyong Ma, Sara Seweryn, Katarzyna Skirlińska-Nosek, Ewelina Lipiec, Peter M. Hwang, Brian D. Sykes, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi, Kazuko Okamoto, Arno Germond, Tomonobu M. Watanabe",03 Jul 2024
/articles/s41598-020-71154-z,Proteomics provides insights into the inhibition of Chinese hamster V79 cell proliferation in the deep underground environment,"In vivoimaging is facilitated by a bright, cyan-excitable orange fluorescent protein that is the basis of an improved bioluminescent protein.","nature, search, Nick Petrić Howe, Benjamin Thompson, Meredith L. Jenkins, Harish Ranga-Prasad, John E. Burke, Trendelina Rrustemi, Katrina Meyer, Matthias Selbach, Cy M. Jeffries, Jan Ilavsky, Dmitri I. Svergun, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Shaobo Tan, Weiwei Pei, Wentao Hu, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Francis A. Cucinotta, Premkumar B. Saganti, Charles Bayly-Jones, Christopher J. Lupton, James C. Whisstock, Jifeng Liu, Tengfei Ma, Heping Xie, Jun Chu, Younghee Oh, Michael Z Lin, Elliot Medina, Yathreb Easa, Vincent C. Luca, Yehia H. Johary, Jamie Trapp, A. Sulieman, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Burkhard Jakob, Monika Dubiak-Szepietowska, Gisela Taucher-Scholz, Arno Germond, Taro Ichimura, Hideaki Fujita, Anggraeini Puspitasari, Fabio Squarcio, Walter Tinganelli, Zeeya Merali, C. Fournier, S. Zahnreich, S. Ritter, Monique Engelbrecht, Roya Ndimba, Charlot Vandevoorde, Siti Norbaini Sabtu, S. F. Abdul Sani, Z. Osman, Wojciech Grudzinski, Lukasz Nierzwicki, Wieslaw I. Gruszecki, Mingzhen Zhang, Jie Zheng, Buyong Ma, Sara Seweryn, Katarzyna Skirlińska-Nosek, Ewelina Lipiec, Peter M. Hwang, Brian D. Sykes, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi, Kazuko Okamoto, Arno Germond, Tomonobu M. Watanabe",03 Jul 2024
