href,title,description,authors,date_published
/articles/s41467-020-17165-w,Pre-clinical study of induced pluripotent stem cell-derived dopaminergic progenitor cells for Parkinson’s disease,Induced pluripotent stem cell (iPSC) derived dopaminergic neurons are a promising source for cell-based Parkinson’s disease (PD) therapy. Here the authors report a comprehensive pre-clinical evaluation of the safety and efficacy of dopaminergic progenitors derived from a clinical-grade human iPSC line.,"nature, search, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Evgenia Shishkova, Hao Zeng, Wei Xu, Robert Peter Gale, James Welsh, P. Andrew Karam, Weiming Tu, Jiabao Xu, Wei E. Huang, Ingrid Stelzner, Jörg Stelzner, Philipp Schuetz, Maarten H. Geurts, Hans Clevers, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Laween Meran, Isobel Massie, Vivian S. W. Li, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Neeraj V. Gohad, Nick Aldred, Andrew S. Mount, Ola E. A. Al-Hagar, Deyaa Abol-Fotouh, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Daisuke Ishii, Hiroko Horiguchi, Masatsugu Shimomura, Martina Jolic, Krisztina Ruscsák, Anders Palmquist, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi",06 Jul 2020
/articles/s41587-023-02082-2,Prediction of single-cell RNA expression profiles in live cells by Raman microscopy with Raman2RNA,Transcriptional profiles of single living cells are generated from Raman imaging data.,"nature, search, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Evgenia Shishkova, Hao Zeng, Wei Xu, Robert Peter Gale, James Welsh, P. Andrew Karam, Weiming Tu, Jiabao Xu, Wei E. Huang, Ingrid Stelzner, Jörg Stelzner, Philipp Schuetz, Maarten H. Geurts, Hans Clevers, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Laween Meran, Isobel Massie, Vivian S. W. Li, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Neeraj V. Gohad, Nick Aldred, Andrew S. Mount, Ola E. A. Al-Hagar, Deyaa Abol-Fotouh, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Daisuke Ishii, Hiroko Horiguchi, Masatsugu Shimomura, Martina Jolic, Krisztina Ruscsák, Anders Palmquist, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi",06 Jul 2020
/articles/ncomms15571,Global mapping of CARM1 substrates defines enzyme specificity and substrate recognition,"Arginine methylation is an abundant post-translational modification catalysed by protein arginine methyltransferases (PRMTs). Here the authors use quantitative mass spectrometry to globally profile the substrates of the PRMT CARM1 in breast cancer cells, and establish a role for CARM1’s N-terminus in substrate recognition.","nature, search, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Evgenia Shishkova, Hao Zeng, Wei Xu, Robert Peter Gale, James Welsh, P. Andrew Karam, Weiming Tu, Jiabao Xu, Wei E. Huang, Ingrid Stelzner, Jörg Stelzner, Philipp Schuetz, Maarten H. Geurts, Hans Clevers, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Laween Meran, Isobel Massie, Vivian S. W. Li, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Neeraj V. Gohad, Nick Aldred, Andrew S. Mount, Ola E. A. Al-Hagar, Deyaa Abol-Fotouh, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Daisuke Ishii, Hiroko Horiguchi, Masatsugu Shimomura, Martina Jolic, Krisztina Ruscsák, Anders Palmquist, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi",06 Jul 2020
/articles/s41375-023-01986-x,Why are haematopoietic stem cells in the bone marrow: ontology recapitulates phylogeny,"Microbial rhodopsins are major contributors to global light harvesting on Earth, but their role in carbon fixation is unclear. Here, the authors construct an artificial photosynthesis system by combining rhodopsin with an extracellular electron uptake mechanism for photoelectrosynthetic CO2fixation inRalstonia eutropha.","nature, search, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Evgenia Shishkova, Hao Zeng, Wei Xu, Robert Peter Gale, James Welsh, P. Andrew Karam, Weiming Tu, Jiabao Xu, Wei E. Huang, Ingrid Stelzner, Jörg Stelzner, Philipp Schuetz, Maarten H. Geurts, Hans Clevers, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Laween Meran, Isobel Massie, Vivian S. W. Li, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Neeraj V. Gohad, Nick Aldred, Andrew S. Mount, Ola E. A. Al-Hagar, Deyaa Abol-Fotouh, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Daisuke Ishii, Hiroko Horiguchi, Masatsugu Shimomura, Martina Jolic, Krisztina Ruscsák, Anders Palmquist, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi",06 Jul 2020
/articles/s41467-023-43524-4,Engineering artificial photosynthesis based on rhodopsin for CO2 fixation,"Microbial rhodopsins are major contributors to global light harvesting on Earth, but their role in carbon fixation is unclear. Here, the authors construct an artificial photosynthesis system by combining rhodopsin with an extracellular electron uptake mechanism for photoelectrosynthetic CO2fixation inRalstonia eutropha.","nature, search, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Evgenia Shishkova, Hao Zeng, Wei Xu, Robert Peter Gale, James Welsh, P. Andrew Karam, Weiming Tu, Jiabao Xu, Wei E. Huang, Ingrid Stelzner, Jörg Stelzner, Philipp Schuetz, Maarten H. Geurts, Hans Clevers, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Laween Meran, Isobel Massie, Vivian S. W. Li, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Neeraj V. Gohad, Nick Aldred, Andrew S. Mount, Ola E. A. Al-Hagar, Deyaa Abol-Fotouh, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Daisuke Ishii, Hiroko Horiguchi, Masatsugu Shimomura, Martina Jolic, Krisztina Ruscsák, Anders Palmquist, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi",06 Jul 2020
/articles/s41598-024-58692-6,A multi-technique and multiscale comparative study on the efficiency of conservation methods for the stabilisation of waterlogged archaeological pine,Adult stem cell-derived organoids closely resemble their tissue of origin. This Review discusses recent developments in CRISPR-mediated genome engineering and its application using adult-stem-cell-derived organoids in the construction of isogenic disease models and for clinical gene repair.,"nature, search, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Evgenia Shishkova, Hao Zeng, Wei Xu, Robert Peter Gale, James Welsh, P. Andrew Karam, Weiming Tu, Jiabao Xu, Wei E. Huang, Ingrid Stelzner, Jörg Stelzner, Philipp Schuetz, Maarten H. Geurts, Hans Clevers, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Laween Meran, Isobel Massie, Vivian S. W. Li, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Neeraj V. Gohad, Nick Aldred, Andrew S. Mount, Ola E. A. Al-Hagar, Deyaa Abol-Fotouh, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Daisuke Ishii, Hiroko Horiguchi, Masatsugu Shimomura, Martina Jolic, Krisztina Ruscsák, Anders Palmquist, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi",06 Jul 2020
/articles/s44222-022-00013-5,CRISPR engineering in organoids for gene repair and disease modelling,Adult stem cell-derived organoids closely resemble their tissue of origin. This Review discusses recent developments in CRISPR-mediated genome engineering and its application using adult-stem-cell-derived organoids in the construction of isogenic disease models and for clinical gene repair.,"nature, search, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Evgenia Shishkova, Hao Zeng, Wei Xu, Robert Peter Gale, James Welsh, P. Andrew Karam, Weiming Tu, Jiabao Xu, Wei E. Huang, Ingrid Stelzner, Jörg Stelzner, Philipp Schuetz, Maarten H. Geurts, Hans Clevers, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Laween Meran, Isobel Massie, Vivian S. W. Li, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Neeraj V. Gohad, Nick Aldred, Andrew S. Mount, Ola E. A. Al-Hagar, Deyaa Abol-Fotouh, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Daisuke Ishii, Hiroko Horiguchi, Masatsugu Shimomura, Martina Jolic, Krisztina Ruscsák, Anders Palmquist, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi",06 Jul 2020
/articles/s41467-022-34272-y,Modular stimuli-responsive hydrogel sealants for early gastrointestinal leak detection and containment,"Digestive surgical leaks manifesting days after a successful surgery can lead to severe complications and affect healthcare worldwide. Here, the authors address the problem holistically with a hydrogel patch capable of sealing tissues, while detecting imminent leaks via a smartphone-operated ultrasound probe.","nature, search, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Evgenia Shishkova, Hao Zeng, Wei Xu, Robert Peter Gale, James Welsh, P. Andrew Karam, Weiming Tu, Jiabao Xu, Wei E. Huang, Ingrid Stelzner, Jörg Stelzner, Philipp Schuetz, Maarten H. Geurts, Hans Clevers, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Laween Meran, Isobel Massie, Vivian S. W. Li, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Neeraj V. Gohad, Nick Aldred, Andrew S. Mount, Ola E. A. Al-Hagar, Deyaa Abol-Fotouh, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Daisuke Ishii, Hiroko Horiguchi, Masatsugu Shimomura, Martina Jolic, Krisztina Ruscsák, Anders Palmquist, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi",06 Jul 2020
/articles/s41588-019-0572-y,Identification of cancer driver genes based on nucleotide context,"MutPanning is a new method to detect cancer driver genes that identifies genes with an excess of mutations in unusual nucleotide contexts. Applying this to whole-exome sequencing data from 11,873 tumor–normal pairs identifies 460 driver genes.","nature, search, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Evgenia Shishkova, Hao Zeng, Wei Xu, Robert Peter Gale, James Welsh, P. Andrew Karam, Weiming Tu, Jiabao Xu, Wei E. Huang, Ingrid Stelzner, Jörg Stelzner, Philipp Schuetz, Maarten H. Geurts, Hans Clevers, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Laween Meran, Isobel Massie, Vivian S. W. Li, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Neeraj V. Gohad, Nick Aldred, Andrew S. Mount, Ola E. A. Al-Hagar, Deyaa Abol-Fotouh, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Daisuke Ishii, Hiroko Horiguchi, Masatsugu Shimomura, Martina Jolic, Krisztina Ruscsák, Anders Palmquist, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi",06 Jul 2020
/articles/s41591-020-1024-z,Engineering transplantable jejunal mucosal grafts using patient-derived organoids from children with intestinal failure,"In a first step toward developing autologous tissue grafts for the treatment of children with intestinal failure, patient-derived jejunal organoids seeded on scaffolds of decellularized human intestinal matrix formed grafts that had jejunal properties and formed luminal structures when transplanted into mice.","nature, search, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Evgenia Shishkova, Hao Zeng, Wei Xu, Robert Peter Gale, James Welsh, P. Andrew Karam, Weiming Tu, Jiabao Xu, Wei E. Huang, Ingrid Stelzner, Jörg Stelzner, Philipp Schuetz, Maarten H. Geurts, Hans Clevers, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Laween Meran, Isobel Massie, Vivian S. W. Li, Hiroyuki Kobayashi, Louis-Philippe Picard, Michel Bouvier, Neeraj V. Gohad, Nick Aldred, Andrew S. Mount, Ola E. A. Al-Hagar, Deyaa Abol-Fotouh, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Daisuke Ishii, Hiroko Horiguchi, Masatsugu Shimomura, Martina Jolic, Krisztina Ruscsák, Anders Palmquist, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Matthew Potter, Cynthia Hanson, David W. Britt, Willie C. Zúñiga, Veronica Jones, Michael C. Storrie-Lombardi",06 Jul 2020
