href,title,description,authors,date_published
/articles/s41598-024-51756-7,Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,Transcriptional profiles of single living cells are generated from Raman imaging data.,"nature, search, Adrian Perdyan, Marcin Jąkalski, Jakub Mieczkowski, Marissa Burke, Kelly Wong, Amber M. Paul, Lorena Magraner-Pardo, Roman A. Laskowski, Janet M. Thornton, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Yong En Kok, Anna Crisford, Michael Pound, Ashley J. Canning, Susan Viggiano, Michael S. Cosgrove, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Babak Alipanahi, Andrew Delong, Brendan J Frey, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, Eric Hand, Michael J Meyer, Juan Felipe Beltrán, Haiyuan Yu, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Miryam Naddaf, Nadezda V. Volkova, Bettina Meier, Moritz Gerstung, Marija Sorokina, João M. C. Teixeira, Panagiotis L. Kastritis, Jia-Jun Liu, Chin-Sheng Yu, Chih-Hao Lu, Matthew L Baker, Junjie Zhang, Wah Chiu, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Mukesh Kumar, Elena Papaleo, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Elizabeth Brunk, Swagatika Sahoo, Bernhard O Palsson, Franziska Lang, Barbara Schrörs, Ugur Sahin, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Richard Barker, Sylvain V. Costes, Simon Gilroy, Maulik R. Kamdar, Javier D. Fernández, Mark A. Musen",15 Jan 2024
/articles/s41598-023-33629-7,Sexual dimorphism during integrative endocrine and immune responses to ionizing radiation in mice,Transcriptional profiles of single living cells are generated from Raman imaging data.,"nature, search, Adrian Perdyan, Marcin Jąkalski, Jakub Mieczkowski, Marissa Burke, Kelly Wong, Amber M. Paul, Lorena Magraner-Pardo, Roman A. Laskowski, Janet M. Thornton, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Yong En Kok, Anna Crisford, Michael Pound, Ashley J. Canning, Susan Viggiano, Michael S. Cosgrove, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Babak Alipanahi, Andrew Delong, Brendan J Frey, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, Eric Hand, Michael J Meyer, Juan Felipe Beltrán, Haiyuan Yu, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Miryam Naddaf, Nadezda V. Volkova, Bettina Meier, Moritz Gerstung, Marija Sorokina, João M. C. Teixeira, Panagiotis L. Kastritis, Jia-Jun Liu, Chin-Sheng Yu, Chih-Hao Lu, Matthew L Baker, Junjie Zhang, Wah Chiu, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Mukesh Kumar, Elena Papaleo, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Elizabeth Brunk, Swagatika Sahoo, Bernhard O Palsson, Franziska Lang, Barbara Schrörs, Ugur Sahin, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Richard Barker, Sylvain V. Costes, Simon Gilroy, Maulik R. Kamdar, Javier D. Fernández, Mark A. Musen",15 Jan 2024
/articles/s41598-021-93715-6,"A computational and structural analysis of germline and somatic variants affecting the DDR mechanism, and their impact on human diseases",Transcriptional profiles of single living cells are generated from Raman imaging data.,"nature, search, Adrian Perdyan, Marcin Jąkalski, Jakub Mieczkowski, Marissa Burke, Kelly Wong, Amber M. Paul, Lorena Magraner-Pardo, Roman A. Laskowski, Janet M. Thornton, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Yong En Kok, Anna Crisford, Michael Pound, Ashley J. Canning, Susan Viggiano, Michael S. Cosgrove, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Babak Alipanahi, Andrew Delong, Brendan J Frey, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, Eric Hand, Michael J Meyer, Juan Felipe Beltrán, Haiyuan Yu, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Miryam Naddaf, Nadezda V. Volkova, Bettina Meier, Moritz Gerstung, Marija Sorokina, João M. C. Teixeira, Panagiotis L. Kastritis, Jia-Jun Liu, Chin-Sheng Yu, Chih-Hao Lu, Matthew L Baker, Junjie Zhang, Wah Chiu, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Mukesh Kumar, Elena Papaleo, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Elizabeth Brunk, Swagatika Sahoo, Bernhard O Palsson, Franziska Lang, Barbara Schrörs, Ugur Sahin, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Richard Barker, Sylvain V. Costes, Simon Gilroy, Maulik R. Kamdar, Javier D. Fernández, Mark A. Musen",15 Jan 2024
/articles/s41587-023-02082-2,Prediction of single-cell RNA expression profiles in live cells by Raman microscopy with Raman2RNA,Transcriptional profiles of single living cells are generated from Raman imaging data.,"nature, search, Adrian Perdyan, Marcin Jąkalski, Jakub Mieczkowski, Marissa Burke, Kelly Wong, Amber M. Paul, Lorena Magraner-Pardo, Roman A. Laskowski, Janet M. Thornton, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Yong En Kok, Anna Crisford, Michael Pound, Ashley J. Canning, Susan Viggiano, Michael S. Cosgrove, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Babak Alipanahi, Andrew Delong, Brendan J Frey, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, Eric Hand, Michael J Meyer, Juan Felipe Beltrán, Haiyuan Yu, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Miryam Naddaf, Nadezda V. Volkova, Bettina Meier, Moritz Gerstung, Marija Sorokina, João M. C. Teixeira, Panagiotis L. Kastritis, Jia-Jun Liu, Chin-Sheng Yu, Chih-Hao Lu, Matthew L Baker, Junjie Zhang, Wah Chiu, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Mukesh Kumar, Elena Papaleo, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Elizabeth Brunk, Swagatika Sahoo, Bernhard O Palsson, Franziska Lang, Barbara Schrörs, Ugur Sahin, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Richard Barker, Sylvain V. Costes, Simon Gilroy, Maulik R. Kamdar, Javier D. Fernández, Mark A. Musen",15 Jan 2024
/articles/s41598-024-66857-6,Classification of osteoarthritic and healthy cartilage using deep learning with Raman spectra,"Existing methods for non-invasively monitoring water flow in plants have limited spatial/temporal resolution. Here, the authors report that Raman microspectroscopy, complemented by hydrodynamic modelling, can monitor hydrodynamics within living root tissues at cell- and sub-second-scale resolutions.","nature, search, Adrian Perdyan, Marcin Jąkalski, Jakub Mieczkowski, Marissa Burke, Kelly Wong, Amber M. Paul, Lorena Magraner-Pardo, Roman A. Laskowski, Janet M. Thornton, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Yong En Kok, Anna Crisford, Michael Pound, Ashley J. Canning, Susan Viggiano, Michael S. Cosgrove, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Babak Alipanahi, Andrew Delong, Brendan J Frey, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, Eric Hand, Michael J Meyer, Juan Felipe Beltrán, Haiyuan Yu, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Miryam Naddaf, Nadezda V. Volkova, Bettina Meier, Moritz Gerstung, Marija Sorokina, João M. C. Teixeira, Panagiotis L. Kastritis, Jia-Jun Liu, Chin-Sheng Yu, Chih-Hao Lu, Matthew L Baker, Junjie Zhang, Wah Chiu, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Mukesh Kumar, Elena Papaleo, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Elizabeth Brunk, Swagatika Sahoo, Bernhard O Palsson, Franziska Lang, Barbara Schrörs, Ugur Sahin, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Richard Barker, Sylvain V. Costes, Simon Gilroy, Maulik R. Kamdar, Javier D. Fernández, Mark A. Musen",15 Jan 2024
/articles/s41598-022-23229-2,Parallel functional annotation of cancer-associated missense mutations in histone methyltransferases,"Existing methods for non-invasively monitoring water flow in plants have limited spatial/temporal resolution. Here, the authors report that Raman microspectroscopy, complemented by hydrodynamic modelling, can monitor hydrodynamics within living root tissues at cell- and sub-second-scale resolutions.","nature, search, Adrian Perdyan, Marcin Jąkalski, Jakub Mieczkowski, Marissa Burke, Kelly Wong, Amber M. Paul, Lorena Magraner-Pardo, Roman A. Laskowski, Janet M. Thornton, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Yong En Kok, Anna Crisford, Michael Pound, Ashley J. Canning, Susan Viggiano, Michael S. Cosgrove, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Babak Alipanahi, Andrew Delong, Brendan J Frey, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, Eric Hand, Michael J Meyer, Juan Felipe Beltrán, Haiyuan Yu, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Miryam Naddaf, Nadezda V. Volkova, Bettina Meier, Moritz Gerstung, Marija Sorokina, João M. C. Teixeira, Panagiotis L. Kastritis, Jia-Jun Liu, Chin-Sheng Yu, Chih-Hao Lu, Matthew L Baker, Junjie Zhang, Wah Chiu, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Mukesh Kumar, Elena Papaleo, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Elizabeth Brunk, Swagatika Sahoo, Bernhard O Palsson, Franziska Lang, Barbara Schrörs, Ugur Sahin, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Richard Barker, Sylvain V. Costes, Simon Gilroy, Maulik R. Kamdar, Javier D. Fernández, Mark A. Musen",15 Jan 2024
/articles/s41467-021-24913-z,Non-invasive hydrodynamic imaging in plant roots at cellular resolution,"Existing methods for non-invasively monitoring water flow in plants have limited spatial/temporal resolution. Here, the authors report that Raman microspectroscopy, complemented by hydrodynamic modelling, can monitor hydrodynamics within living root tissues at cell- and sub-second-scale resolutions.","nature, search, Adrian Perdyan, Marcin Jąkalski, Jakub Mieczkowski, Marissa Burke, Kelly Wong, Amber M. Paul, Lorena Magraner-Pardo, Roman A. Laskowski, Janet M. Thornton, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Yong En Kok, Anna Crisford, Michael Pound, Ashley J. Canning, Susan Viggiano, Michael S. Cosgrove, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Babak Alipanahi, Andrew Delong, Brendan J Frey, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, Eric Hand, Michael J Meyer, Juan Felipe Beltrán, Haiyuan Yu, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Miryam Naddaf, Nadezda V. Volkova, Bettina Meier, Moritz Gerstung, Marija Sorokina, João M. C. Teixeira, Panagiotis L. Kastritis, Jia-Jun Liu, Chin-Sheng Yu, Chih-Hao Lu, Matthew L Baker, Junjie Zhang, Wah Chiu, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Mukesh Kumar, Elena Papaleo, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Elizabeth Brunk, Swagatika Sahoo, Bernhard O Palsson, Franziska Lang, Barbara Schrörs, Ugur Sahin, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Richard Barker, Sylvain V. Costes, Simon Gilroy, Maulik R. Kamdar, Javier D. Fernández, Mark A. Musen",15 Jan 2024
/articles/s41598-023-36845-3,Proton and alpha radiation-induced mutational profiles in human cells,The binding specificities of RNA- and DNA-binding proteins are determined from experimental data using a ‘deep learning’ approach.,"nature, search, Adrian Perdyan, Marcin Jąkalski, Jakub Mieczkowski, Marissa Burke, Kelly Wong, Amber M. Paul, Lorena Magraner-Pardo, Roman A. Laskowski, Janet M. Thornton, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Yong En Kok, Anna Crisford, Michael Pound, Ashley J. Canning, Susan Viggiano, Michael S. Cosgrove, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Babak Alipanahi, Andrew Delong, Brendan J Frey, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, Eric Hand, Michael J Meyer, Juan Felipe Beltrán, Haiyuan Yu, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Miryam Naddaf, Nadezda V. Volkova, Bettina Meier, Moritz Gerstung, Marija Sorokina, João M. C. Teixeira, Panagiotis L. Kastritis, Jia-Jun Liu, Chin-Sheng Yu, Chih-Hao Lu, Matthew L Baker, Junjie Zhang, Wah Chiu, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Mukesh Kumar, Elena Papaleo, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Elizabeth Brunk, Swagatika Sahoo, Bernhard O Palsson, Franziska Lang, Barbara Schrörs, Ugur Sahin, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Richard Barker, Sylvain V. Costes, Simon Gilroy, Maulik R. Kamdar, Javier D. Fernández, Mark A. Musen",15 Jan 2024
/articles/nbt.3300,Predicting the sequence specificities of DNA- and RNA-binding proteins by deep learning,The binding specificities of RNA- and DNA-binding proteins are determined from experimental data using a ‘deep learning’ approach.,"nature, search, Adrian Perdyan, Marcin Jąkalski, Jakub Mieczkowski, Marissa Burke, Kelly Wong, Amber M. Paul, Lorena Magraner-Pardo, Roman A. Laskowski, Janet M. Thornton, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Yong En Kok, Anna Crisford, Michael Pound, Ashley J. Canning, Susan Viggiano, Michael S. Cosgrove, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Babak Alipanahi, Andrew Delong, Brendan J Frey, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, Eric Hand, Michael J Meyer, Juan Felipe Beltrán, Haiyuan Yu, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Miryam Naddaf, Nadezda V. Volkova, Bettina Meier, Moritz Gerstung, Marija Sorokina, João M. C. Teixeira, Panagiotis L. Kastritis, Jia-Jun Liu, Chin-Sheng Yu, Chih-Hao Lu, Matthew L Baker, Junjie Zhang, Wah Chiu, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Mukesh Kumar, Elena Papaleo, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Elizabeth Brunk, Swagatika Sahoo, Bernhard O Palsson, Franziska Lang, Barbara Schrörs, Ugur Sahin, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Richard Barker, Sylvain V. Costes, Simon Gilroy, Maulik R. Kamdar, Javier D. Fernández, Mark A. Musen",15 Jan 2024
/articles/s41467-023-41417-0,Translating genomic tools to Raman spectroscopy analysis enables high-dimensional tissue characterization on molecular resolution,"Spatial transcriptomics of histological sections have revolutionized basic research, while the actual biomolecular composition of the sample has fallen behind. Here, the authors propose a novel approach to analyze untargeted spatiomolecular Raman spectroscopy data through bioinformatic tools developed for transcriptomic analyses, and integrate them with additional Omics techniques.","nature, search, Adrian Perdyan, Marcin Jąkalski, Jakub Mieczkowski, Marissa Burke, Kelly Wong, Amber M. Paul, Lorena Magraner-Pardo, Roman A. Laskowski, Janet M. Thornton, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, Yong En Kok, Anna Crisford, Michael Pound, Ashley J. Canning, Susan Viggiano, Michael S. Cosgrove, Flavius C. Pascut, Valentin Couvreur, Kevin F. Webb, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Babak Alipanahi, Andrew Delong, Brendan J Frey, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, Eric Hand, Michael J Meyer, Juan Felipe Beltrán, Haiyuan Yu, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, Felix Dietlein, Donate Weghorn, Shamil R. Sunyaev, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Miryam Naddaf, Nadezda V. Volkova, Bettina Meier, Moritz Gerstung, Marija Sorokina, João M. C. Teixeira, Panagiotis L. Kastritis, Jia-Jun Liu, Chin-Sheng Yu, Chih-Hao Lu, Matthew L Baker, Junjie Zhang, Wah Chiu, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Mukesh Kumar, Elena Papaleo, Camilo L. M. Morais, Kássio M. G. Lima, Francis L. Martin, Elizabeth Brunk, Swagatika Sahoo, Bernhard O Palsson, Franziska Lang, Barbara Schrörs, Ugur Sahin, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Richard Barker, Sylvain V. Costes, Simon Gilroy, Maulik R. Kamdar, Javier D. Fernández, Mark A. Musen",15 Jan 2024
