href,title,description,authors,date_published
/articles/s41598-023-41910-y,Muometric positioning system (muPS) utilizing direction vectors of cosmic-ray muons for wireless indoor navigation at a centimeter-level accuracy,"According to a life-cycle analysis, the main environmental impacts of building and operating an astronomical telescope are greenhouse gas emissions and the use of mineral resources. Impacts can be reduced by using renewable energy and by making design changes.","nature, search, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Gabrielle dos Santos Ilha, Marianne Boix, François Toussenel, Haitao D. Deng, Hongbo Zhao, William C. Chueh, Dezso Varga, Hiroyuki K. M. Tanaka, Seon-Chil Kim, Hongsik Byun, Toma Oregel-Chaumont, Antonio Šunjerga, Farhad Rachidi, Isabel Lopez-Calle, Alexander I. Franco, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Shinsuke Fujioka, Zhe Zhang, Hiroshi Azechi, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Baochun Li, Minghua Chi, Xiangguo Zeng, Hiroyuki K. M. Tanaka, Rajeev Acharya, Igor Aleiner, Ningfeng Zhu, Onelia Gagliano, Camilla Luni, Nicola Elvassore, D. Sporea, L. Mihai, Gang-Ding Peng, G. C. Anupama, Subhasis Chattopadhyay, Tarun Souradeep, Laurence Vico, Alan Hargens, A. Bannerman, R. L. Williams, L. M. Grover, Hossein Kabir, Nishant Garg, McKane B. Lee, Nicholas D. Ward, Randy Kent, Yinan Han, Ankuo Zhang, Abhiroop Bhattacharya, Jaime A. Benavides, Sylvain G. Cloutier, J. T. I. Müller, B. Rattenbacher, M. Schnellenbach-Held, Livio Narici, Marco Casolino, Veronica Zaconte, Sadeq Malakooti, Stephanie L. Vivod, Hongbing Lu, Yoann Altmann, Angela Di Fulvio, Sara A. Pozzi, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Marion Schvartz, Florent Saudrais, Jean-Philippe Renault, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Matthew Potter, Cynthia Hanson, David W. Britt, Hyun Jung Kim, Matthew Julian, William Humphreys, Jan Cilliers, Kathryn Hadler, Joshua Rasera",15 Sept 2023
/articles/s41598-023-32262-8,Cosmic time calibrator for wireless sensor network,"According to a life-cycle analysis, the main environmental impacts of building and operating an astronomical telescope are greenhouse gas emissions and the use of mineral resources. Impacts can be reduced by using renewable energy and by making design changes.","nature, search, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Gabrielle dos Santos Ilha, Marianne Boix, François Toussenel, Haitao D. Deng, Hongbo Zhao, William C. Chueh, Dezso Varga, Hiroyuki K. M. Tanaka, Seon-Chil Kim, Hongsik Byun, Toma Oregel-Chaumont, Antonio Šunjerga, Farhad Rachidi, Isabel Lopez-Calle, Alexander I. Franco, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Shinsuke Fujioka, Zhe Zhang, Hiroshi Azechi, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Baochun Li, Minghua Chi, Xiangguo Zeng, Hiroyuki K. M. Tanaka, Rajeev Acharya, Igor Aleiner, Ningfeng Zhu, Onelia Gagliano, Camilla Luni, Nicola Elvassore, D. Sporea, L. Mihai, Gang-Ding Peng, G. C. Anupama, Subhasis Chattopadhyay, Tarun Souradeep, Laurence Vico, Alan Hargens, A. Bannerman, R. L. Williams, L. M. Grover, Hossein Kabir, Nishant Garg, McKane B. Lee, Nicholas D. Ward, Randy Kent, Yinan Han, Ankuo Zhang, Abhiroop Bhattacharya, Jaime A. Benavides, Sylvain G. Cloutier, J. T. I. Müller, B. Rattenbacher, M. Schnellenbach-Held, Livio Narici, Marco Casolino, Veronica Zaconte, Sadeq Malakooti, Stephanie L. Vivod, Hongbing Lu, Yoann Altmann, Angela Di Fulvio, Sara A. Pozzi, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Marion Schvartz, Florent Saudrais, Jean-Philippe Renault, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Matthew Potter, Cynthia Hanson, David W. Britt, Hyun Jung Kim, Matthew Julian, William Humphreys, Jan Cilliers, Kathryn Hadler, Joshua Rasera",15 Sept 2023
/articles/s41598-023-35325-y,Cosmic coding and transfer storage (COSMOCATS) for invincible key storage,"According to a life-cycle analysis, the main environmental impacts of building and operating an astronomical telescope are greenhouse gas emissions and the use of mineral resources. Impacts can be reduced by using renewable energy and by making design changes.","nature, search, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Gabrielle dos Santos Ilha, Marianne Boix, François Toussenel, Haitao D. Deng, Hongbo Zhao, William C. Chueh, Dezso Varga, Hiroyuki K. M. Tanaka, Seon-Chil Kim, Hongsik Byun, Toma Oregel-Chaumont, Antonio Šunjerga, Farhad Rachidi, Isabel Lopez-Calle, Alexander I. Franco, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Shinsuke Fujioka, Zhe Zhang, Hiroshi Azechi, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Baochun Li, Minghua Chi, Xiangguo Zeng, Hiroyuki K. M. Tanaka, Rajeev Acharya, Igor Aleiner, Ningfeng Zhu, Onelia Gagliano, Camilla Luni, Nicola Elvassore, D. Sporea, L. Mihai, Gang-Ding Peng, G. C. Anupama, Subhasis Chattopadhyay, Tarun Souradeep, Laurence Vico, Alan Hargens, A. Bannerman, R. L. Williams, L. M. Grover, Hossein Kabir, Nishant Garg, McKane B. Lee, Nicholas D. Ward, Randy Kent, Yinan Han, Ankuo Zhang, Abhiroop Bhattacharya, Jaime A. Benavides, Sylvain G. Cloutier, J. T. I. Müller, B. Rattenbacher, M. Schnellenbach-Held, Livio Narici, Marco Casolino, Veronica Zaconte, Sadeq Malakooti, Stephanie L. Vivod, Hongbing Lu, Yoann Altmann, Angela Di Fulvio, Sara A. Pozzi, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Marion Schvartz, Florent Saudrais, Jean-Philippe Renault, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Matthew Potter, Cynthia Hanson, David W. Britt, Hyun Jung Kim, Matthew Julian, William Humphreys, Jan Cilliers, Kathryn Hadler, Joshua Rasera",15 Sept 2023
/articles/s41598-022-11104-z,Cosmic time synchronizer (CTS) for wireless and precise time synchronization using extended air showers,"According to a life-cycle analysis, the main environmental impacts of building and operating an astronomical telescope are greenhouse gas emissions and the use of mineral resources. Impacts can be reduced by using renewable energy and by making design changes.","nature, search, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Gabrielle dos Santos Ilha, Marianne Boix, François Toussenel, Haitao D. Deng, Hongbo Zhao, William C. Chueh, Dezso Varga, Hiroyuki K. M. Tanaka, Seon-Chil Kim, Hongsik Byun, Toma Oregel-Chaumont, Antonio Šunjerga, Farhad Rachidi, Isabel Lopez-Calle, Alexander I. Franco, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Shinsuke Fujioka, Zhe Zhang, Hiroshi Azechi, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Baochun Li, Minghua Chi, Xiangguo Zeng, Hiroyuki K. M. Tanaka, Rajeev Acharya, Igor Aleiner, Ningfeng Zhu, Onelia Gagliano, Camilla Luni, Nicola Elvassore, D. Sporea, L. Mihai, Gang-Ding Peng, G. C. Anupama, Subhasis Chattopadhyay, Tarun Souradeep, Laurence Vico, Alan Hargens, A. Bannerman, R. L. Williams, L. M. Grover, Hossein Kabir, Nishant Garg, McKane B. Lee, Nicholas D. Ward, Randy Kent, Yinan Han, Ankuo Zhang, Abhiroop Bhattacharya, Jaime A. Benavides, Sylvain G. Cloutier, J. T. I. Müller, B. Rattenbacher, M. Schnellenbach-Held, Livio Narici, Marco Casolino, Veronica Zaconte, Sadeq Malakooti, Stephanie L. Vivod, Hongbing Lu, Yoann Altmann, Angela Di Fulvio, Sara A. Pozzi, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Marion Schvartz, Florent Saudrais, Jean-Philippe Renault, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Matthew Potter, Cynthia Hanson, David W. Britt, Hyun Jung Kim, Matthew Julian, William Humphreys, Jan Cilliers, Kathryn Hadler, Joshua Rasera",15 Sept 2023
/articles/s41550-024-02326-4,Assessment of the environmental impacts of the Cherenkov Telescope Array mid-sized telescope,"According to a life-cycle analysis, the main environmental impacts of building and operating an astronomical telescope are greenhouse gas emissions and the use of mineral resources. Impacts can be reduced by using renewable energy and by making design changes.","nature, search, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Gabrielle dos Santos Ilha, Marianne Boix, François Toussenel, Haitao D. Deng, Hongbo Zhao, William C. Chueh, Dezso Varga, Hiroyuki K. M. Tanaka, Seon-Chil Kim, Hongsik Byun, Toma Oregel-Chaumont, Antonio Šunjerga, Farhad Rachidi, Isabel Lopez-Calle, Alexander I. Franco, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Shinsuke Fujioka, Zhe Zhang, Hiroshi Azechi, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Baochun Li, Minghua Chi, Xiangguo Zeng, Hiroyuki K. M. Tanaka, Rajeev Acharya, Igor Aleiner, Ningfeng Zhu, Onelia Gagliano, Camilla Luni, Nicola Elvassore, D. Sporea, L. Mihai, Gang-Ding Peng, G. C. Anupama, Subhasis Chattopadhyay, Tarun Souradeep, Laurence Vico, Alan Hargens, A. Bannerman, R. L. Williams, L. M. Grover, Hossein Kabir, Nishant Garg, McKane B. Lee, Nicholas D. Ward, Randy Kent, Yinan Han, Ankuo Zhang, Abhiroop Bhattacharya, Jaime A. Benavides, Sylvain G. Cloutier, J. T. I. Müller, B. Rattenbacher, M. Schnellenbach-Held, Livio Narici, Marco Casolino, Veronica Zaconte, Sadeq Malakooti, Stephanie L. Vivod, Hongbing Lu, Yoann Altmann, Angela Di Fulvio, Sara A. Pozzi, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Marion Schvartz, Florent Saudrais, Jean-Philippe Renault, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Matthew Potter, Cynthia Hanson, David W. Britt, Hyun Jung Kim, Matthew Julian, William Humphreys, Jan Cilliers, Kathryn Hadler, Joshua Rasera",15 Sept 2023
/articles/s41563-021-01191-0,Correlative image learning of chemo-mechanics in phase-transforming solids,"Constitutive laws underlie most physical processes, but understanding chemo-mechanical expansion in heterogeneous solids is challenging. A physically constrained image-learning approach is now proposed to obtain fundamental insight into dislocations inside battery electrodes.","nature, search, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Gabrielle dos Santos Ilha, Marianne Boix, François Toussenel, Haitao D. Deng, Hongbo Zhao, William C. Chueh, Dezso Varga, Hiroyuki K. M. Tanaka, Seon-Chil Kim, Hongsik Byun, Toma Oregel-Chaumont, Antonio Šunjerga, Farhad Rachidi, Isabel Lopez-Calle, Alexander I. Franco, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Shinsuke Fujioka, Zhe Zhang, Hiroshi Azechi, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Baochun Li, Minghua Chi, Xiangguo Zeng, Hiroyuki K. M. Tanaka, Rajeev Acharya, Igor Aleiner, Ningfeng Zhu, Onelia Gagliano, Camilla Luni, Nicola Elvassore, D. Sporea, L. Mihai, Gang-Ding Peng, G. C. Anupama, Subhasis Chattopadhyay, Tarun Souradeep, Laurence Vico, Alan Hargens, A. Bannerman, R. L. Williams, L. M. Grover, Hossein Kabir, Nishant Garg, McKane B. Lee, Nicholas D. Ward, Randy Kent, Yinan Han, Ankuo Zhang, Abhiroop Bhattacharya, Jaime A. Benavides, Sylvain G. Cloutier, J. T. I. Müller, B. Rattenbacher, M. Schnellenbach-Held, Livio Narici, Marco Casolino, Veronica Zaconte, Sadeq Malakooti, Stephanie L. Vivod, Hongbing Lu, Yoann Altmann, Angela Di Fulvio, Sara A. Pozzi, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Marion Schvartz, Florent Saudrais, Jean-Philippe Renault, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Matthew Potter, Cynthia Hanson, David W. Britt, Hyun Jung Kim, Matthew Julian, William Humphreys, Jan Cilliers, Kathryn Hadler, Joshua Rasera",15 Sept 2023
/articles/s41598-024-57857-7,Developments of a centimeter-level precise muometric wireless navigation system (MuWNS-V) and its first demonstration using directional information from tracking detectors,"This Review examines the development of radiation-hardened electronics, considering the design methodologies available with conventional complementary metal–oxide–semiconductor (CMOS) technologies and the potential use and applications of emerging memory technologies.","nature, search, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Gabrielle dos Santos Ilha, Marianne Boix, François Toussenel, Haitao D. Deng, Hongbo Zhao, William C. Chueh, Dezso Varga, Hiroyuki K. M. Tanaka, Seon-Chil Kim, Hongsik Byun, Toma Oregel-Chaumont, Antonio Šunjerga, Farhad Rachidi, Isabel Lopez-Calle, Alexander I. Franco, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Shinsuke Fujioka, Zhe Zhang, Hiroshi Azechi, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Baochun Li, Minghua Chi, Xiangguo Zeng, Hiroyuki K. M. Tanaka, Rajeev Acharya, Igor Aleiner, Ningfeng Zhu, Onelia Gagliano, Camilla Luni, Nicola Elvassore, D. Sporea, L. Mihai, Gang-Ding Peng, G. C. Anupama, Subhasis Chattopadhyay, Tarun Souradeep, Laurence Vico, Alan Hargens, A. Bannerman, R. L. Williams, L. M. Grover, Hossein Kabir, Nishant Garg, McKane B. Lee, Nicholas D. Ward, Randy Kent, Yinan Han, Ankuo Zhang, Abhiroop Bhattacharya, Jaime A. Benavides, Sylvain G. Cloutier, J. T. I. Müller, B. Rattenbacher, M. Schnellenbach-Held, Livio Narici, Marco Casolino, Veronica Zaconte, Sadeq Malakooti, Stephanie L. Vivod, Hongbing Lu, Yoann Altmann, Angela Di Fulvio, Sara A. Pozzi, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Marion Schvartz, Florent Saudrais, Jean-Philippe Renault, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Matthew Potter, Cynthia Hanson, David W. Britt, Hyun Jung Kim, Matthew Julian, William Humphreys, Jan Cilliers, Kathryn Hadler, Joshua Rasera",15 Sept 2023
/articles/s41598-022-27174-y,Development of ultra-thin radiation-shielding paper through nanofiber modeling of morpho butterfly wing structure,"This Review examines the development of radiation-hardened electronics, considering the design methodologies available with conventional complementary metal–oxide–semiconductor (CMOS) technologies and the potential use and applications of emerging memory technologies.","nature, search, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Gabrielle dos Santos Ilha, Marianne Boix, François Toussenel, Haitao D. Deng, Hongbo Zhao, William C. Chueh, Dezso Varga, Hiroyuki K. M. Tanaka, Seon-Chil Kim, Hongsik Byun, Toma Oregel-Chaumont, Antonio Šunjerga, Farhad Rachidi, Isabel Lopez-Calle, Alexander I. Franco, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Shinsuke Fujioka, Zhe Zhang, Hiroshi Azechi, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Baochun Li, Minghua Chi, Xiangguo Zeng, Hiroyuki K. M. Tanaka, Rajeev Acharya, Igor Aleiner, Ningfeng Zhu, Onelia Gagliano, Camilla Luni, Nicola Elvassore, D. Sporea, L. Mihai, Gang-Ding Peng, G. C. Anupama, Subhasis Chattopadhyay, Tarun Souradeep, Laurence Vico, Alan Hargens, A. Bannerman, R. L. Williams, L. M. Grover, Hossein Kabir, Nishant Garg, McKane B. Lee, Nicholas D. Ward, Randy Kent, Yinan Han, Ankuo Zhang, Abhiroop Bhattacharya, Jaime A. Benavides, Sylvain G. Cloutier, J. T. I. Müller, B. Rattenbacher, M. Schnellenbach-Held, Livio Narici, Marco Casolino, Veronica Zaconte, Sadeq Malakooti, Stephanie L. Vivod, Hongbing Lu, Yoann Altmann, Angela Di Fulvio, Sara A. Pozzi, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Marion Schvartz, Florent Saudrais, Jean-Philippe Renault, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Matthew Potter, Cynthia Hanson, David W. Britt, Hyun Jung Kim, Matthew Julian, William Humphreys, Jan Cilliers, Kathryn Hadler, Joshua Rasera",15 Sept 2023
/articles/s41598-024-58520-x,Direct observations of X-rays produced by upward positive lightning,"This Review examines the development of radiation-hardened electronics, considering the design methodologies available with conventional complementary metal–oxide–semiconductor (CMOS) technologies and the potential use and applications of emerging memory technologies.","nature, search, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Gabrielle dos Santos Ilha, Marianne Boix, François Toussenel, Haitao D. Deng, Hongbo Zhao, William C. Chueh, Dezso Varga, Hiroyuki K. M. Tanaka, Seon-Chil Kim, Hongsik Byun, Toma Oregel-Chaumont, Antonio Šunjerga, Farhad Rachidi, Isabel Lopez-Calle, Alexander I. Franco, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Shinsuke Fujioka, Zhe Zhang, Hiroshi Azechi, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Baochun Li, Minghua Chi, Xiangguo Zeng, Hiroyuki K. M. Tanaka, Rajeev Acharya, Igor Aleiner, Ningfeng Zhu, Onelia Gagliano, Camilla Luni, Nicola Elvassore, D. Sporea, L. Mihai, Gang-Ding Peng, G. C. Anupama, Subhasis Chattopadhyay, Tarun Souradeep, Laurence Vico, Alan Hargens, A. Bannerman, R. L. Williams, L. M. Grover, Hossein Kabir, Nishant Garg, McKane B. Lee, Nicholas D. Ward, Randy Kent, Yinan Han, Ankuo Zhang, Abhiroop Bhattacharya, Jaime A. Benavides, Sylvain G. Cloutier, J. T. I. Müller, B. Rattenbacher, M. Schnellenbach-Held, Livio Narici, Marco Casolino, Veronica Zaconte, Sadeq Malakooti, Stephanie L. Vivod, Hongbing Lu, Yoann Altmann, Angela Di Fulvio, Sara A. Pozzi, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Marion Schvartz, Florent Saudrais, Jean-Philippe Renault, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Matthew Potter, Cynthia Hanson, David W. Britt, Hyun Jung Kim, Matthew Julian, William Humphreys, Jan Cilliers, Kathryn Hadler, Joshua Rasera",15 Sept 2023
/articles/s41598-022-27327-z,Comparison of cubesat and microsat catastrophic failures in function of radiation and debris impact risk,"This Review examines the development of radiation-hardened electronics, considering the design methodologies available with conventional complementary metal–oxide–semiconductor (CMOS) technologies and the potential use and applications of emerging memory technologies.","nature, search, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Hiroyuki K. M. Tanaka, Gabrielle dos Santos Ilha, Marianne Boix, François Toussenel, Haitao D. Deng, Hongbo Zhao, William C. Chueh, Dezso Varga, Hiroyuki K. M. Tanaka, Seon-Chil Kim, Hongsik Byun, Toma Oregel-Chaumont, Antonio Šunjerga, Farhad Rachidi, Isabel Lopez-Calle, Alexander I. Franco, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Shinsuke Fujioka, Zhe Zhang, Hiroshi Azechi, Alexandre H. C. Anthis, Maria Paulene Abundo, Inge K. Herrmann, Baochun Li, Minghua Chi, Xiangguo Zeng, Hiroyuki K. M. Tanaka, Rajeev Acharya, Igor Aleiner, Ningfeng Zhu, Onelia Gagliano, Camilla Luni, Nicola Elvassore, D. Sporea, L. Mihai, Gang-Ding Peng, G. C. Anupama, Subhasis Chattopadhyay, Tarun Souradeep, Laurence Vico, Alan Hargens, A. Bannerman, R. L. Williams, L. M. Grover, Hossein Kabir, Nishant Garg, McKane B. Lee, Nicholas D. Ward, Randy Kent, Yinan Han, Ankuo Zhang, Abhiroop Bhattacharya, Jaime A. Benavides, Sylvain G. Cloutier, J. T. I. Müller, B. Rattenbacher, M. Schnellenbach-Held, Livio Narici, Marco Casolino, Veronica Zaconte, Sadeq Malakooti, Stephanie L. Vivod, Hongbing Lu, Yoann Altmann, Angela Di Fulvio, Sara A. Pozzi, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Alexandra Iordachescu, Neil Eisenstein, Gareth Appleby-Thomas, Marion Schvartz, Florent Saudrais, Jean-Philippe Renault, Ping Song, Lucia Ruojia Wu, David Yu Zhang, Siyoung Choi, Xiaohua Yu, William L. Murphy, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Matthew Potter, Cynthia Hanson, David W. Britt, Hyun Jung Kim, Matthew Julian, William Humphreys, Jan Cilliers, Kathryn Hadler, Joshua Rasera",15 Sept 2023
