href,title,description,authors,date_published
/articles/s41588-024-01785-9,"Analysis of 10,478 cancer genomes identifies candidate driver genes and opportunities for precision oncology","Analysis of whole-genome sequencing data from over 10,000 tumor samples spanning 35 cancer types identifies putative driver genes and highlights new therapeutic opportunities.","nature, search, Ben Kinnersley, Amit Sud, Richard Houlston, Yun Rose Li, Kyle D. Halliwill, Allan Balmain, Marc A. Beal, Matthew J. Meier, Francesco Marchetti, Stefan Gröschel, Daniel Hübschmann, Stefan Fröhling, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Benjamin Thompson, Elizabeth Gibney, Sergey I Nikolaev, Donata Rimoldi, Stylianos E Antonarakis, Marjorie J Lindhurst, Victoria E R Parker, Robert K Semple, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Charles C. Bell, Katie A. Fennell, Mark A. Dawson, Giulia Fasano, Valentina Muto, Marco Tartaglia, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Elizabeth J. Perlman, Samantha Gadd, Malcolm A. Smith, Jian Liu, Tianyuan Wang, Francesco J. DeMayo, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Hongjian Gong, Yuxi Zhang, Jun Chen, Yotaro Ochi, Kenichi Yoshida, Lee-Yung Shih, Caitlin A. Nichols, William J. Gibson, Rameen Beroukhim, T Sato, A Nakashima, F Tamanoi, Loredana Moro, Daniele Simoneschi, Michele Pagano, Lars Hansen, Sophie Comyn, David Pilgrim, Malcolm G Dunlop, Sara E Dobbins, Richard S Houlston, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, A. Porrazzo, F. Cipressa, G. Cenci, Juilee Rege, Sascha Bandulik, William E. Rainey, Eric S. Lander, Evan H Baugh, Hua Ke, Chang S Chan, Keren J. Carss, Aimee M. Deaton, Jing Yuan, Andrew V. Biankin, Nicola Waddell, Sean M. Grimmond, Timothy J. R. Harris, Frank McCormick, Ana SA Cohen, William T Gibson, Cody J. Steely, Kristi L. Russell, Lynn B. Jorde, Pedro A. Pérez-Mancera, Alistair G. Rust, David A. Tuveson, Liubin Yang, Rachel Rau, Margaret A. Goodell, Donna J. Lowe, Mareike Herzog, Stephen P. Jackson, Gloria X. Reyes, Boyu Zhao, Hans Hombauer, Samuel F. Bunting, Andre Nussenzweig, Roser Urreizti, Klaus Mayer, Susanna Balcells, Nouar Qutob, Ikuo Masuho, Yardena Samuels, Zahra Mortezaei, Mahmood Tavallaei, X Zhang, M Reis, S N Malek, Claudia Saitta, Stefano Rebellato, Giovanni Cazzaniga, Javier Gayarre, Paloma Martín-Gimeno, María J García",18 Jun 2024
/articles/s41467-019-14261-4,Mutational signatures in tumours induced by high and low energy radiation in Trp53 deficient mice,"Mutational signatures induced by ionising radiation remain largely unexplored. Here in TP53 mutant mice, the authors characterise the genomic landscape of tumours induced by high- and low-energy radiation.","nature, search, Ben Kinnersley, Amit Sud, Richard Houlston, Yun Rose Li, Kyle D. Halliwill, Allan Balmain, Marc A. Beal, Matthew J. Meier, Francesco Marchetti, Stefan Gröschel, Daniel Hübschmann, Stefan Fröhling, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Benjamin Thompson, Elizabeth Gibney, Sergey I Nikolaev, Donata Rimoldi, Stylianos E Antonarakis, Marjorie J Lindhurst, Victoria E R Parker, Robert K Semple, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Charles C. Bell, Katie A. Fennell, Mark A. Dawson, Giulia Fasano, Valentina Muto, Marco Tartaglia, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Elizabeth J. Perlman, Samantha Gadd, Malcolm A. Smith, Jian Liu, Tianyuan Wang, Francesco J. DeMayo, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Hongjian Gong, Yuxi Zhang, Jun Chen, Yotaro Ochi, Kenichi Yoshida, Lee-Yung Shih, Caitlin A. Nichols, William J. Gibson, Rameen Beroukhim, T Sato, A Nakashima, F Tamanoi, Loredana Moro, Daniele Simoneschi, Michele Pagano, Lars Hansen, Sophie Comyn, David Pilgrim, Malcolm G Dunlop, Sara E Dobbins, Richard S Houlston, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, A. Porrazzo, F. Cipressa, G. Cenci, Juilee Rege, Sascha Bandulik, William E. Rainey, Eric S. Lander, Evan H Baugh, Hua Ke, Chang S Chan, Keren J. Carss, Aimee M. Deaton, Jing Yuan, Andrew V. Biankin, Nicola Waddell, Sean M. Grimmond, Timothy J. R. Harris, Frank McCormick, Ana SA Cohen, William T Gibson, Cody J. Steely, Kristi L. Russell, Lynn B. Jorde, Pedro A. Pérez-Mancera, Alistair G. Rust, David A. Tuveson, Liubin Yang, Rachel Rau, Margaret A. Goodell, Donna J. Lowe, Mareike Herzog, Stephen P. Jackson, Gloria X. Reyes, Boyu Zhao, Hans Hombauer, Samuel F. Bunting, Andre Nussenzweig, Roser Urreizti, Klaus Mayer, Susanna Balcells, Nouar Qutob, Ikuo Masuho, Yardena Samuels, Zahra Mortezaei, Mahmood Tavallaei, X Zhang, M Reis, S N Malek, Claudia Saitta, Stefano Rebellato, Giovanni Cazzaniga, Javier Gayarre, Paloma Martín-Gimeno, María J García",18 Jun 2024
/articles/s42003-020-01174-y,Chemically induced mutations in a MutaMouse reporter gene inform mechanisms underlying human cancer mutational signatures,"Marc A. Beal, Matt J. Meier et al. use a transgenic rodent model with NGS to inform mutational signature analyses. They analyzelacZmutations from the bone marrow of MutaMouse animals exposed to chemical mutagens. They report thatlacZsequencing generates chemical-specific mutation signatures observed in human cancers with established environmental causes.","nature, search, Ben Kinnersley, Amit Sud, Richard Houlston, Yun Rose Li, Kyle D. Halliwill, Allan Balmain, Marc A. Beal, Matthew J. Meier, Francesco Marchetti, Stefan Gröschel, Daniel Hübschmann, Stefan Fröhling, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Benjamin Thompson, Elizabeth Gibney, Sergey I Nikolaev, Donata Rimoldi, Stylianos E Antonarakis, Marjorie J Lindhurst, Victoria E R Parker, Robert K Semple, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Charles C. Bell, Katie A. Fennell, Mark A. Dawson, Giulia Fasano, Valentina Muto, Marco Tartaglia, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Elizabeth J. Perlman, Samantha Gadd, Malcolm A. Smith, Jian Liu, Tianyuan Wang, Francesco J. DeMayo, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Hongjian Gong, Yuxi Zhang, Jun Chen, Yotaro Ochi, Kenichi Yoshida, Lee-Yung Shih, Caitlin A. Nichols, William J. Gibson, Rameen Beroukhim, T Sato, A Nakashima, F Tamanoi, Loredana Moro, Daniele Simoneschi, Michele Pagano, Lars Hansen, Sophie Comyn, David Pilgrim, Malcolm G Dunlop, Sara E Dobbins, Richard S Houlston, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, A. Porrazzo, F. Cipressa, G. Cenci, Juilee Rege, Sascha Bandulik, William E. Rainey, Eric S. Lander, Evan H Baugh, Hua Ke, Chang S Chan, Keren J. Carss, Aimee M. Deaton, Jing Yuan, Andrew V. Biankin, Nicola Waddell, Sean M. Grimmond, Timothy J. R. Harris, Frank McCormick, Ana SA Cohen, William T Gibson, Cody J. Steely, Kristi L. Russell, Lynn B. Jorde, Pedro A. Pérez-Mancera, Alistair G. Rust, David A. Tuveson, Liubin Yang, Rachel Rau, Margaret A. Goodell, Donna J. Lowe, Mareike Herzog, Stephen P. Jackson, Gloria X. Reyes, Boyu Zhao, Hans Hombauer, Samuel F. Bunting, Andre Nussenzweig, Roser Urreizti, Klaus Mayer, Susanna Balcells, Nouar Qutob, Ikuo Masuho, Yardena Samuels, Zahra Mortezaei, Mahmood Tavallaei, X Zhang, M Reis, S N Malek, Claudia Saitta, Stefano Rebellato, Giovanni Cazzaniga, Javier Gayarre, Paloma Martín-Gimeno, María J García",18 Jun 2024
/articles/s41467-019-09633-9,Defective homologous recombination DNA repair as therapeutic target in advanced chordoma,"Chordomas are rare bone tumors with limited therapeutic options. Here, the authors identify molecular alterations associated with defective homologous recombination DNA repair in advanced chordomas and report prolonged response in a patient treated with a PARP inhibitor, which later acquired resistance due to a newly gained PARP1 mutation.","nature, search, Ben Kinnersley, Amit Sud, Richard Houlston, Yun Rose Li, Kyle D. Halliwill, Allan Balmain, Marc A. Beal, Matthew J. Meier, Francesco Marchetti, Stefan Gröschel, Daniel Hübschmann, Stefan Fröhling, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Benjamin Thompson, Elizabeth Gibney, Sergey I Nikolaev, Donata Rimoldi, Stylianos E Antonarakis, Marjorie J Lindhurst, Victoria E R Parker, Robert K Semple, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Charles C. Bell, Katie A. Fennell, Mark A. Dawson, Giulia Fasano, Valentina Muto, Marco Tartaglia, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Elizabeth J. Perlman, Samantha Gadd, Malcolm A. Smith, Jian Liu, Tianyuan Wang, Francesco J. DeMayo, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Hongjian Gong, Yuxi Zhang, Jun Chen, Yotaro Ochi, Kenichi Yoshida, Lee-Yung Shih, Caitlin A. Nichols, William J. Gibson, Rameen Beroukhim, T Sato, A Nakashima, F Tamanoi, Loredana Moro, Daniele Simoneschi, Michele Pagano, Lars Hansen, Sophie Comyn, David Pilgrim, Malcolm G Dunlop, Sara E Dobbins, Richard S Houlston, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, A. Porrazzo, F. Cipressa, G. Cenci, Juilee Rege, Sascha Bandulik, William E. Rainey, Eric S. Lander, Evan H Baugh, Hua Ke, Chang S Chan, Keren J. Carss, Aimee M. Deaton, Jing Yuan, Andrew V. Biankin, Nicola Waddell, Sean M. Grimmond, Timothy J. R. Harris, Frank McCormick, Ana SA Cohen, William T Gibson, Cody J. Steely, Kristi L. Russell, Lynn B. Jorde, Pedro A. Pérez-Mancera, Alistair G. Rust, David A. Tuveson, Liubin Yang, Rachel Rau, Margaret A. Goodell, Donna J. Lowe, Mareike Herzog, Stephen P. Jackson, Gloria X. Reyes, Boyu Zhao, Hans Hombauer, Samuel F. Bunting, Andre Nussenzweig, Roser Urreizti, Klaus Mayer, Susanna Balcells, Nouar Qutob, Ikuo Masuho, Yardena Samuels, Zahra Mortezaei, Mahmood Tavallaei, X Zhang, M Reis, S N Malek, Claudia Saitta, Stefano Rebellato, Giovanni Cazzaniga, Javier Gayarre, Paloma Martín-Gimeno, María J García",18 Jun 2024
/articles/s41598-023-36845-3,Proton and alpha radiation-induced mutational profiles in human cells,Removal of users shows the role social media companies could play in preventing misinformation sharing — plus how physicists coaxed ultracold molecules into an exotic quantum state.,"nature, search, Ben Kinnersley, Amit Sud, Richard Houlston, Yun Rose Li, Kyle D. Halliwill, Allan Balmain, Marc A. Beal, Matthew J. Meier, Francesco Marchetti, Stefan Gröschel, Daniel Hübschmann, Stefan Fröhling, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Benjamin Thompson, Elizabeth Gibney, Sergey I Nikolaev, Donata Rimoldi, Stylianos E Antonarakis, Marjorie J Lindhurst, Victoria E R Parker, Robert K Semple, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Charles C. Bell, Katie A. Fennell, Mark A. Dawson, Giulia Fasano, Valentina Muto, Marco Tartaglia, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Elizabeth J. Perlman, Samantha Gadd, Malcolm A. Smith, Jian Liu, Tianyuan Wang, Francesco J. DeMayo, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Hongjian Gong, Yuxi Zhang, Jun Chen, Yotaro Ochi, Kenichi Yoshida, Lee-Yung Shih, Caitlin A. Nichols, William J. Gibson, Rameen Beroukhim, T Sato, A Nakashima, F Tamanoi, Loredana Moro, Daniele Simoneschi, Michele Pagano, Lars Hansen, Sophie Comyn, David Pilgrim, Malcolm G Dunlop, Sara E Dobbins, Richard S Houlston, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, A. Porrazzo, F. Cipressa, G. Cenci, Juilee Rege, Sascha Bandulik, William E. Rainey, Eric S. Lander, Evan H Baugh, Hua Ke, Chang S Chan, Keren J. Carss, Aimee M. Deaton, Jing Yuan, Andrew V. Biankin, Nicola Waddell, Sean M. Grimmond, Timothy J. R. Harris, Frank McCormick, Ana SA Cohen, William T Gibson, Cody J. Steely, Kristi L. Russell, Lynn B. Jorde, Pedro A. Pérez-Mancera, Alistair G. Rust, David A. Tuveson, Liubin Yang, Rachel Rau, Margaret A. Goodell, Donna J. Lowe, Mareike Herzog, Stephen P. Jackson, Gloria X. Reyes, Boyu Zhao, Hans Hombauer, Samuel F. Bunting, Andre Nussenzweig, Roser Urreizti, Klaus Mayer, Susanna Balcells, Nouar Qutob, Ikuo Masuho, Yardena Samuels, Zahra Mortezaei, Mahmood Tavallaei, X Zhang, M Reis, S N Malek, Claudia Saitta, Stefano Rebellato, Giovanni Cazzaniga, Javier Gayarre, Paloma Martín-Gimeno, María J García",18 Jun 2024
/articles/d41586-024-01690-5,"Twitter suspended 70,000 accounts after the Capitol riots and it curbed misinformation",Removal of users shows the role social media companies could play in preventing misinformation sharing — plus how physicists coaxed ultracold molecules into an exotic quantum state.,"nature, search, Ben Kinnersley, Amit Sud, Richard Houlston, Yun Rose Li, Kyle D. Halliwill, Allan Balmain, Marc A. Beal, Matthew J. Meier, Francesco Marchetti, Stefan Gröschel, Daniel Hübschmann, Stefan Fröhling, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Benjamin Thompson, Elizabeth Gibney, Sergey I Nikolaev, Donata Rimoldi, Stylianos E Antonarakis, Marjorie J Lindhurst, Victoria E R Parker, Robert K Semple, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Charles C. Bell, Katie A. Fennell, Mark A. Dawson, Giulia Fasano, Valentina Muto, Marco Tartaglia, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Elizabeth J. Perlman, Samantha Gadd, Malcolm A. Smith, Jian Liu, Tianyuan Wang, Francesco J. DeMayo, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Hongjian Gong, Yuxi Zhang, Jun Chen, Yotaro Ochi, Kenichi Yoshida, Lee-Yung Shih, Caitlin A. Nichols, William J. Gibson, Rameen Beroukhim, T Sato, A Nakashima, F Tamanoi, Loredana Moro, Daniele Simoneschi, Michele Pagano, Lars Hansen, Sophie Comyn, David Pilgrim, Malcolm G Dunlop, Sara E Dobbins, Richard S Houlston, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, A. Porrazzo, F. Cipressa, G. Cenci, Juilee Rege, Sascha Bandulik, William E. Rainey, Eric S. Lander, Evan H Baugh, Hua Ke, Chang S Chan, Keren J. Carss, Aimee M. Deaton, Jing Yuan, Andrew V. Biankin, Nicola Waddell, Sean M. Grimmond, Timothy J. R. Harris, Frank McCormick, Ana SA Cohen, William T Gibson, Cody J. Steely, Kristi L. Russell, Lynn B. Jorde, Pedro A. Pérez-Mancera, Alistair G. Rust, David A. Tuveson, Liubin Yang, Rachel Rau, Margaret A. Goodell, Donna J. Lowe, Mareike Herzog, Stephen P. Jackson, Gloria X. Reyes, Boyu Zhao, Hans Hombauer, Samuel F. Bunting, Andre Nussenzweig, Roser Urreizti, Klaus Mayer, Susanna Balcells, Nouar Qutob, Ikuo Masuho, Yardena Samuels, Zahra Mortezaei, Mahmood Tavallaei, X Zhang, M Reis, S N Malek, Claudia Saitta, Stefano Rebellato, Giovanni Cazzaniga, Javier Gayarre, Paloma Martín-Gimeno, María J García",18 Jun 2024
/articles/ng.1026,Exome sequencing identifies recurrent somatic MAP2K1 and MAP2K2 mutations in melanoma,"Sergey Nikolaev, Stylianos Antonarakis and colleagues report exome sequencing of seven melanoma cell lines and matched germline cells. They identify recurring somatic mutations inMAP2K1andMAP2K2occurring at an overall frequency of 8%.","nature, search, Ben Kinnersley, Amit Sud, Richard Houlston, Yun Rose Li, Kyle D. Halliwill, Allan Balmain, Marc A. Beal, Matthew J. Meier, Francesco Marchetti, Stefan Gröschel, Daniel Hübschmann, Stefan Fröhling, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Benjamin Thompson, Elizabeth Gibney, Sergey I Nikolaev, Donata Rimoldi, Stylianos E Antonarakis, Marjorie J Lindhurst, Victoria E R Parker, Robert K Semple, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Charles C. Bell, Katie A. Fennell, Mark A. Dawson, Giulia Fasano, Valentina Muto, Marco Tartaglia, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Elizabeth J. Perlman, Samantha Gadd, Malcolm A. Smith, Jian Liu, Tianyuan Wang, Francesco J. DeMayo, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Hongjian Gong, Yuxi Zhang, Jun Chen, Yotaro Ochi, Kenichi Yoshida, Lee-Yung Shih, Caitlin A. Nichols, William J. Gibson, Rameen Beroukhim, T Sato, A Nakashima, F Tamanoi, Loredana Moro, Daniele Simoneschi, Michele Pagano, Lars Hansen, Sophie Comyn, David Pilgrim, Malcolm G Dunlop, Sara E Dobbins, Richard S Houlston, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, A. Porrazzo, F. Cipressa, G. Cenci, Juilee Rege, Sascha Bandulik, William E. Rainey, Eric S. Lander, Evan H Baugh, Hua Ke, Chang S Chan, Keren J. Carss, Aimee M. Deaton, Jing Yuan, Andrew V. Biankin, Nicola Waddell, Sean M. Grimmond, Timothy J. R. Harris, Frank McCormick, Ana SA Cohen, William T Gibson, Cody J. Steely, Kristi L. Russell, Lynn B. Jorde, Pedro A. Pérez-Mancera, Alistair G. Rust, David A. Tuveson, Liubin Yang, Rachel Rau, Margaret A. Goodell, Donna J. Lowe, Mareike Herzog, Stephen P. Jackson, Gloria X. Reyes, Boyu Zhao, Hans Hombauer, Samuel F. Bunting, Andre Nussenzweig, Roser Urreizti, Klaus Mayer, Susanna Balcells, Nouar Qutob, Ikuo Masuho, Yardena Samuels, Zahra Mortezaei, Mahmood Tavallaei, X Zhang, M Reis, S N Malek, Claudia Saitta, Stefano Rebellato, Giovanni Cazzaniga, Javier Gayarre, Paloma Martín-Gimeno, María J García",18 Jun 2024
/articles/ng.2332,Mosaic overgrowth with fibroadipose hyperplasia is caused by somatic activating mutations in PIK3CA,Leslie Biesecker and colleagues report an exome sequencing study identifying somatic activating mutations inPIK3CAas the cause of a new progressive segmental overgrowth disorder. They identify mutations inPIK3CAin ten additional individuals with overlapping syndromes.,"nature, search, Ben Kinnersley, Amit Sud, Richard Houlston, Yun Rose Li, Kyle D. Halliwill, Allan Balmain, Marc A. Beal, Matthew J. Meier, Francesco Marchetti, Stefan Gröschel, Daniel Hübschmann, Stefan Fröhling, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Benjamin Thompson, Elizabeth Gibney, Sergey I Nikolaev, Donata Rimoldi, Stylianos E Antonarakis, Marjorie J Lindhurst, Victoria E R Parker, Robert K Semple, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Charles C. Bell, Katie A. Fennell, Mark A. Dawson, Giulia Fasano, Valentina Muto, Marco Tartaglia, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Elizabeth J. Perlman, Samantha Gadd, Malcolm A. Smith, Jian Liu, Tianyuan Wang, Francesco J. DeMayo, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Hongjian Gong, Yuxi Zhang, Jun Chen, Yotaro Ochi, Kenichi Yoshida, Lee-Yung Shih, Caitlin A. Nichols, William J. Gibson, Rameen Beroukhim, T Sato, A Nakashima, F Tamanoi, Loredana Moro, Daniele Simoneschi, Michele Pagano, Lars Hansen, Sophie Comyn, David Pilgrim, Malcolm G Dunlop, Sara E Dobbins, Richard S Houlston, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, A. Porrazzo, F. Cipressa, G. Cenci, Juilee Rege, Sascha Bandulik, William E. Rainey, Eric S. Lander, Evan H Baugh, Hua Ke, Chang S Chan, Keren J. Carss, Aimee M. Deaton, Jing Yuan, Andrew V. Biankin, Nicola Waddell, Sean M. Grimmond, Timothy J. R. Harris, Frank McCormick, Ana SA Cohen, William T Gibson, Cody J. Steely, Kristi L. Russell, Lynn B. Jorde, Pedro A. Pérez-Mancera, Alistair G. Rust, David A. Tuveson, Liubin Yang, Rachel Rau, Margaret A. Goodell, Donna J. Lowe, Mareike Herzog, Stephen P. Jackson, Gloria X. Reyes, Boyu Zhao, Hans Hombauer, Samuel F. Bunting, Andre Nussenzweig, Roser Urreizti, Klaus Mayer, Susanna Balcells, Nouar Qutob, Ikuo Masuho, Yardena Samuels, Zahra Mortezaei, Mahmood Tavallaei, X Zhang, M Reis, S N Malek, Claudia Saitta, Stefano Rebellato, Giovanni Cazzaniga, Javier Gayarre, Paloma Martín-Gimeno, María J García",18 Jun 2024
/articles/s41467-019-09292-w,Allele-specific binding of RNA-binding proteins reveals functional genetic variants in the RNA,"Differential binding of RNA-binding proteins mediated by genetic variants (GVs) can influence posttranscriptional regulation. Here, the authors develop BEAPR, a computational approach to identify allele-specific binding events in eCLIP-Seq data.","nature, search, Ben Kinnersley, Amit Sud, Richard Houlston, Yun Rose Li, Kyle D. Halliwill, Allan Balmain, Marc A. Beal, Matthew J. Meier, Francesco Marchetti, Stefan Gröschel, Daniel Hübschmann, Stefan Fröhling, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Benjamin Thompson, Elizabeth Gibney, Sergey I Nikolaev, Donata Rimoldi, Stylianos E Antonarakis, Marjorie J Lindhurst, Victoria E R Parker, Robert K Semple, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Charles C. Bell, Katie A. Fennell, Mark A. Dawson, Giulia Fasano, Valentina Muto, Marco Tartaglia, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Elizabeth J. Perlman, Samantha Gadd, Malcolm A. Smith, Jian Liu, Tianyuan Wang, Francesco J. DeMayo, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Hongjian Gong, Yuxi Zhang, Jun Chen, Yotaro Ochi, Kenichi Yoshida, Lee-Yung Shih, Caitlin A. Nichols, William J. Gibson, Rameen Beroukhim, T Sato, A Nakashima, F Tamanoi, Loredana Moro, Daniele Simoneschi, Michele Pagano, Lars Hansen, Sophie Comyn, David Pilgrim, Malcolm G Dunlop, Sara E Dobbins, Richard S Houlston, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, A. Porrazzo, F. Cipressa, G. Cenci, Juilee Rege, Sascha Bandulik, William E. Rainey, Eric S. Lander, Evan H Baugh, Hua Ke, Chang S Chan, Keren J. Carss, Aimee M. Deaton, Jing Yuan, Andrew V. Biankin, Nicola Waddell, Sean M. Grimmond, Timothy J. R. Harris, Frank McCormick, Ana SA Cohen, William T Gibson, Cody J. Steely, Kristi L. Russell, Lynn B. Jorde, Pedro A. Pérez-Mancera, Alistair G. Rust, David A. Tuveson, Liubin Yang, Rachel Rau, Margaret A. Goodell, Donna J. Lowe, Mareike Herzog, Stephen P. Jackson, Gloria X. Reyes, Boyu Zhao, Hans Hombauer, Samuel F. Bunting, Andre Nussenzweig, Roser Urreizti, Klaus Mayer, Susanna Balcells, Nouar Qutob, Ikuo Masuho, Yardena Samuels, Zahra Mortezaei, Mahmood Tavallaei, X Zhang, M Reis, S N Malek, Claudia Saitta, Stefano Rebellato, Giovanni Cazzaniga, Javier Gayarre, Paloma Martín-Gimeno, María J García",18 Jun 2024
/articles/s41467-019-10652-9,Targeting enhancer switching overcomes non-genetic drug resistance in acute myeloid leukaemia,"There is increasing evidence that epigenetic mechanisms contribute to therapeutic resistance in cancer. Here the authors study AML patient samples and a mouse model of non-genetic resistance and find that transcriptional plasticity drives stable epigenetic resistance, and identify regulators of enhancer function as important modulators of resistance.","nature, search, Ben Kinnersley, Amit Sud, Richard Houlston, Yun Rose Li, Kyle D. Halliwill, Allan Balmain, Marc A. Beal, Matthew J. Meier, Francesco Marchetti, Stefan Gröschel, Daniel Hübschmann, Stefan Fröhling, Tiffany M. Delhomme, Maia Munteanu, Fran Supek, Benjamin Thompson, Elizabeth Gibney, Sergey I Nikolaev, Donata Rimoldi, Stylianos E Antonarakis, Marjorie J Lindhurst, Victoria E R Parker, Robert K Semple, Ei-Wen Yang, Jae Hoon Bahn, Xinshu Xiao, Charles C. Bell, Katie A. Fennell, Mark A. Dawson, Giulia Fasano, Valentina Muto, Marco Tartaglia, Milagrosa López Riego, Prabodha Kumar Meher, Andrzej Wojcik, Elizabeth J. Perlman, Samantha Gadd, Malcolm A. Smith, Jian Liu, Tianyuan Wang, Francesco J. DeMayo, Alexander J. Moorhouse, Martin Scholze, Yuri E. Dubrova, Hongjian Gong, Yuxi Zhang, Jun Chen, Yotaro Ochi, Kenichi Yoshida, Lee-Yung Shih, Caitlin A. Nichols, William J. Gibson, Rameen Beroukhim, T Sato, A Nakashima, F Tamanoi, Loredana Moro, Daniele Simoneschi, Michele Pagano, Lars Hansen, Sophie Comyn, David Pilgrim, Malcolm G Dunlop, Sara E Dobbins, Richard S Houlston, Abdullah Kahraman, Tülay Karakulak, Christian von Mering, A. Porrazzo, F. Cipressa, G. Cenci, Juilee Rege, Sascha Bandulik, William E. Rainey, Eric S. Lander, Evan H Baugh, Hua Ke, Chang S Chan, Keren J. Carss, Aimee M. Deaton, Jing Yuan, Andrew V. Biankin, Nicola Waddell, Sean M. Grimmond, Timothy J. R. Harris, Frank McCormick, Ana SA Cohen, William T Gibson, Cody J. Steely, Kristi L. Russell, Lynn B. Jorde, Pedro A. Pérez-Mancera, Alistair G. Rust, David A. Tuveson, Liubin Yang, Rachel Rau, Margaret A. Goodell, Donna J. Lowe, Mareike Herzog, Stephen P. Jackson, Gloria X. Reyes, Boyu Zhao, Hans Hombauer, Samuel F. Bunting, Andre Nussenzweig, Roser Urreizti, Klaus Mayer, Susanna Balcells, Nouar Qutob, Ikuo Masuho, Yardena Samuels, Zahra Mortezaei, Mahmood Tavallaei, X Zhang, M Reis, S N Malek, Claudia Saitta, Stefano Rebellato, Giovanni Cazzaniga, Javier Gayarre, Paloma Martín-Gimeno, María J García",18 Jun 2024
