href,title,description,authors,date_published
/articles/s41598-023-33629-7,Sexual dimorphism during integrative endocrine and immune responses to ionizing radiation in mice,Mouse models of lung and colorectal cancer with sporadic DNA mismatch repair deficiency clarify that the intratumor heterogeneity and clonal architecture rather than tumor mutational burden are powerful determinants of immunotherapy response.,"nature, search, Marissa Burke, Kelly Wong, Amber M. Paul, Peter M. K. Westcott, Francesc Muyas, Tyler Jacks, Serena Vales, Jhanna Kryukova, Shoumo Bhattacharya, Rocky An, Virginia Katherine Blackwell, Amber M. Paul, Jay Daniels, Peter G. Doukas, Jaehyuk Choi, Jia Song, Wei Zhao, Dan Lu, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, Benjamin Thompson, Shamini Bundell, Gal Cafri, Rami Yossef, Steven A. Rosenberg, Hiroyasu Konno, Shota Yamauchi, Glen N. Barber, Shan Zhu, Chunliu Zhang, Yang Xiang, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Kenneth Verstraete, Savvas N. Savvides, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Samuel F. Bunting, Andre Nussenzweig, Pauline Jacob, Christian Oertlin, Sarah Baatout, Taishin Akiyama, Kenta Horie, Satoshi Furukawa, M M Chaturvedi, B Sung, B B Aggarwal, A J Macpherson, K D McCoy",26 Feb 2024
/articles/s41588-023-01499-4,Mismatch repair deficiency is not sufficient to elicit tumor immunogenicity,Mouse models of lung and colorectal cancer with sporadic DNA mismatch repair deficiency clarify that the intratumor heterogeneity and clonal architecture rather than tumor mutational burden are powerful determinants of immunotherapy response.,"nature, search, Marissa Burke, Kelly Wong, Amber M. Paul, Peter M. K. Westcott, Francesc Muyas, Tyler Jacks, Serena Vales, Jhanna Kryukova, Shoumo Bhattacharya, Rocky An, Virginia Katherine Blackwell, Amber M. Paul, Jay Daniels, Peter G. Doukas, Jaehyuk Choi, Jia Song, Wei Zhao, Dan Lu, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, Benjamin Thompson, Shamini Bundell, Gal Cafri, Rami Yossef, Steven A. Rosenberg, Hiroyasu Konno, Shota Yamauchi, Glen N. Barber, Shan Zhu, Chunliu Zhang, Yang Xiang, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Kenneth Verstraete, Savvas N. Savvides, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Samuel F. Bunting, Andre Nussenzweig, Pauline Jacob, Christian Oertlin, Sarah Baatout, Taishin Akiyama, Kenta Horie, Satoshi Furukawa, M M Chaturvedi, B Sung, B B Aggarwal, A J Macpherson, K D McCoy",26 Feb 2024
/articles/s41467-023-41488-z,"Discovery and pharmacophoric characterization of chemokine network inhibitors using phage-display, saturation mutagenesis and computational modelling","Ticks inject evasins at the bite site to bind multiple redundant chemokines and inhibit inflammation allowing blood feeding. Here, the authors identify evasin derived short peptides with broad spectrum anti-chemokine activity that could be used to develop new treatments for inflammatory disease.","nature, search, Marissa Burke, Kelly Wong, Amber M. Paul, Peter M. K. Westcott, Francesc Muyas, Tyler Jacks, Serena Vales, Jhanna Kryukova, Shoumo Bhattacharya, Rocky An, Virginia Katherine Blackwell, Amber M. Paul, Jay Daniels, Peter G. Doukas, Jaehyuk Choi, Jia Song, Wei Zhao, Dan Lu, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, Benjamin Thompson, Shamini Bundell, Gal Cafri, Rami Yossef, Steven A. Rosenberg, Hiroyasu Konno, Shota Yamauchi, Glen N. Barber, Shan Zhu, Chunliu Zhang, Yang Xiang, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Kenneth Verstraete, Savvas N. Savvides, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Samuel F. Bunting, Andre Nussenzweig, Pauline Jacob, Christian Oertlin, Sarah Baatout, Taishin Akiyama, Kenta Horie, Satoshi Furukawa, M M Chaturvedi, B Sung, B B Aggarwal, A J Macpherson, K D McCoy",26 Feb 2024
/articles/s41526-023-00293-0,Influence of the spaceflight environment on macrophage lineages,"Cutaneous gamma-delta T cell lymphomas are rare but aggressive cancers. Here, by DNA, RNA and T cell receptor sequencing, the authors elucidate the molecular ontogeny by revising the cell of origin and identifying potentially targetable mutations.","nature, search, Marissa Burke, Kelly Wong, Amber M. Paul, Peter M. K. Westcott, Francesc Muyas, Tyler Jacks, Serena Vales, Jhanna Kryukova, Shoumo Bhattacharya, Rocky An, Virginia Katherine Blackwell, Amber M. Paul, Jay Daniels, Peter G. Doukas, Jaehyuk Choi, Jia Song, Wei Zhao, Dan Lu, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, Benjamin Thompson, Shamini Bundell, Gal Cafri, Rami Yossef, Steven A. Rosenberg, Hiroyasu Konno, Shota Yamauchi, Glen N. Barber, Shan Zhu, Chunliu Zhang, Yang Xiang, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Kenneth Verstraete, Savvas N. Savvides, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Samuel F. Bunting, Andre Nussenzweig, Pauline Jacob, Christian Oertlin, Sarah Baatout, Taishin Akiyama, Kenta Horie, Satoshi Furukawa, M M Chaturvedi, B Sung, B B Aggarwal, A J Macpherson, K D McCoy",26 Feb 2024
/articles/s41467-020-15572-7,Cellular origins and genetic landscape of cutaneous gamma delta T cell lymphomas,"Cutaneous gamma-delta T cell lymphomas are rare but aggressive cancers. Here, by DNA, RNA and T cell receptor sequencing, the authors elucidate the molecular ontogeny by revising the cell of origin and identifying potentially targetable mutations.","nature, search, Marissa Burke, Kelly Wong, Amber M. Paul, Peter M. K. Westcott, Francesc Muyas, Tyler Jacks, Serena Vales, Jhanna Kryukova, Shoumo Bhattacharya, Rocky An, Virginia Katherine Blackwell, Amber M. Paul, Jay Daniels, Peter G. Doukas, Jaehyuk Choi, Jia Song, Wei Zhao, Dan Lu, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, Benjamin Thompson, Shamini Bundell, Gal Cafri, Rami Yossef, Steven A. Rosenberg, Hiroyasu Konno, Shota Yamauchi, Glen N. Barber, Shan Zhu, Chunliu Zhang, Yang Xiang, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Kenneth Verstraete, Savvas N. Savvides, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Samuel F. Bunting, Andre Nussenzweig, Pauline Jacob, Christian Oertlin, Sarah Baatout, Taishin Akiyama, Kenta Horie, Satoshi Furukawa, M M Chaturvedi, B Sung, B B Aggarwal, A J Macpherson, K D McCoy",26 Feb 2024
/articles/s41467-022-34885-3,Mutant RIG-I enhances cancer-related inflammation through activation of circRIG-I signaling,"By recognizing double-stranded RNA, RIG-I is implicated in anti-viral immune responses, but also in cancer development and intestinal inflammation. Here the authors identify frameshift germline mutations of RIG-I, resulting in the generation of a circular RNA associated with increased susceptibility to colitis-associated colon cancer.","nature, search, Marissa Burke, Kelly Wong, Amber M. Paul, Peter M. K. Westcott, Francesc Muyas, Tyler Jacks, Serena Vales, Jhanna Kryukova, Shoumo Bhattacharya, Rocky An, Virginia Katherine Blackwell, Amber M. Paul, Jay Daniels, Peter G. Doukas, Jaehyuk Choi, Jia Song, Wei Zhao, Dan Lu, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, Benjamin Thompson, Shamini Bundell, Gal Cafri, Rami Yossef, Steven A. Rosenberg, Hiroyasu Konno, Shota Yamauchi, Glen N. Barber, Shan Zhu, Chunliu Zhang, Yang Xiang, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Kenneth Verstraete, Savvas N. Savvides, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Samuel F. Bunting, Andre Nussenzweig, Pauline Jacob, Christian Oertlin, Sarah Baatout, Taishin Akiyama, Kenta Horie, Satoshi Furukawa, M M Chaturvedi, B Sung, B B Aggarwal, A J Macpherson, K D McCoy",26 Feb 2024
/articles/s41467-022-33379-6,Structure of the malaria vaccine candidate Pfs48/45 and its recognition by transmission blocking antibodies,"Pfs48/45, a surface protein ofPlasmodium falciparum, is a promising anti-malarial vaccine candidate whose structure is not entirely resolved. Here, the authors present the structure of the full-length molecule, and characterise the binding and activity of transmission blocking antibodies.","nature, search, Marissa Burke, Kelly Wong, Amber M. Paul, Peter M. K. Westcott, Francesc Muyas, Tyler Jacks, Serena Vales, Jhanna Kryukova, Shoumo Bhattacharya, Rocky An, Virginia Katherine Blackwell, Amber M. Paul, Jay Daniels, Peter G. Doukas, Jaehyuk Choi, Jia Song, Wei Zhao, Dan Lu, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, Benjamin Thompson, Shamini Bundell, Gal Cafri, Rami Yossef, Steven A. Rosenberg, Hiroyasu Konno, Shota Yamauchi, Glen N. Barber, Shan Zhu, Chunliu Zhang, Yang Xiang, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Kenneth Verstraete, Savvas N. Savvides, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Samuel F. Bunting, Andre Nussenzweig, Pauline Jacob, Christian Oertlin, Sarah Baatout, Taishin Akiyama, Kenta Horie, Satoshi Furukawa, M M Chaturvedi, B Sung, B B Aggarwal, A J Macpherson, K D McCoy",26 Feb 2024
/articles/d41586-020-03123-5,A powerful radio burst from a magnetic star,"Astronomers pin down the likely origins of mysterious fast radio bursts, and the latest on what the US election means for science.","nature, search, Marissa Burke, Kelly Wong, Amber M. Paul, Peter M. K. Westcott, Francesc Muyas, Tyler Jacks, Serena Vales, Jhanna Kryukova, Shoumo Bhattacharya, Rocky An, Virginia Katherine Blackwell, Amber M. Paul, Jay Daniels, Peter G. Doukas, Jaehyuk Choi, Jia Song, Wei Zhao, Dan Lu, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, Benjamin Thompson, Shamini Bundell, Gal Cafri, Rami Yossef, Steven A. Rosenberg, Hiroyasu Konno, Shota Yamauchi, Glen N. Barber, Shan Zhu, Chunliu Zhang, Yang Xiang, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Kenneth Verstraete, Savvas N. Savvides, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Samuel F. Bunting, Andre Nussenzweig, Pauline Jacob, Christian Oertlin, Sarah Baatout, Taishin Akiyama, Kenta Horie, Satoshi Furukawa, M M Chaturvedi, B Sung, B B Aggarwal, A J Macpherson, K D McCoy",26 Feb 2024
/articles/s41467-019-08304-z,Memory T cells targeting oncogenic mutations detected in peripheral blood of epithelial cancer patients,Adoptive cell therapy (ACT) using neoantigen-specific T cells can lead to tumor regression. Here the authors use an in vitro stimulation approach to isolate tumor specific memory T cells from peripheral blood of metastatic epithelial cancer patients targeting unique as well as shared mutations in the KRAS oncogene.,"nature, search, Marissa Burke, Kelly Wong, Amber M. Paul, Peter M. K. Westcott, Francesc Muyas, Tyler Jacks, Serena Vales, Jhanna Kryukova, Shoumo Bhattacharya, Rocky An, Virginia Katherine Blackwell, Amber M. Paul, Jay Daniels, Peter G. Doukas, Jaehyuk Choi, Jia Song, Wei Zhao, Dan Lu, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, Benjamin Thompson, Shamini Bundell, Gal Cafri, Rami Yossef, Steven A. Rosenberg, Hiroyasu Konno, Shota Yamauchi, Glen N. Barber, Shan Zhu, Chunliu Zhang, Yang Xiang, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Kenneth Verstraete, Savvas N. Savvides, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Samuel F. Bunting, Andre Nussenzweig, Pauline Jacob, Christian Oertlin, Sarah Baatout, Taishin Akiyama, Kenta Horie, Satoshi Furukawa, M M Chaturvedi, B Sung, B B Aggarwal, A J Macpherson, K D McCoy",26 Feb 2024
/articles/s41388-017-0120-0,Suppression of STING signaling through epigenetic silencing and missense mutation impedes DNA damage mediated cytokine production,"Intracellular signalling cascades initiated by class III receptor tyrosine kinases (RTK-IIIs) and their cytokine ligands are implicated in a wide range of inflammatory disorders and cancers. This Review discusses recent crystal structure data of RTK-III ectodomains in complex with cognate cytokines and the insights that these provide in terms of RTK-III activation, evolution, pathology and new therapeutic approaches.","nature, search, Marissa Burke, Kelly Wong, Amber M. Paul, Peter M. K. Westcott, Francesc Muyas, Tyler Jacks, Serena Vales, Jhanna Kryukova, Shoumo Bhattacharya, Rocky An, Virginia Katherine Blackwell, Amber M. Paul, Jay Daniels, Peter G. Doukas, Jaehyuk Choi, Jia Song, Wei Zhao, Dan Lu, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, Benjamin Thompson, Shamini Bundell, Gal Cafri, Rami Yossef, Steven A. Rosenberg, Hiroyasu Konno, Shota Yamauchi, Glen N. Barber, Shan Zhu, Chunliu Zhang, Yang Xiang, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Kenneth Verstraete, Savvas N. Savvides, Amber M. Paul, Eliah G. Overbey, Xiao Wen Mao, Samuel F. Bunting, Andre Nussenzweig, Pauline Jacob, Christian Oertlin, Sarah Baatout, Taishin Akiyama, Kenta Horie, Satoshi Furukawa, M M Chaturvedi, B Sung, B B Aggarwal, A J Macpherson, K D McCoy",26 Feb 2024
