href,title,description,authors,date_published
/articles/d41586-024-01690-5,"Twitter suspended 70,000 accounts after the Capitol riots and it curbed misinformation",Removal of users shows the role social media companies could play in preventing misinformation sharing — plus how physicists coaxed ultracold molecules into an exotic quantum state.,"nature, search, Benjamin Thompson, Elizabeth Gibney, Anyang Ding, Axel Hofmann, Yi-Liang Li, Andriko von Kügelgen, C. Keith Cassidy, Tanmay A. M. Bharat, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Tian Gan, Taiyi Luo, Shuhai Xiao, Siva Sankari, Vignesh M. P. Babu, Graham C. Walker, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, F. Beulig, F. Schubert, T. Treude, Ha V. Dang, Yee-Peng Chan, David Veesler, Matthew S. Dodd, Dominic Papineau, Crispin T. S. Little, Thiago Altair, Marcio G. B. de Avellar, Douglas Galante, Elizabeth Gibney, Eustace Y. Fernando, Simon Jon McIlroy, Per Halkjær Nielsen, Andreas Elsaesser, David J. Burr, Frances Westall, Armando Azua-Bustos, Alberto G. Fairén, Elizabeth B. Rampe, Tetyana Milojevic, Mihaela Albu, Matthew L. Morgan, Kang Soo Lee, Zachary Landry, Roman Stocker, Richard Barker, Sylvain V. Costes, Simon Gilroy, Matthew Potter, Cynthia Hanson, David W. Britt, Tiina Belt, Michael Altgen, Lauri Rautkari",05 Jun 2024
/articles/s43247-022-00378-w,2470 million-year-old banded iron formation reveals a climatic oscillation consistent with the Gleissberg solar cycle,"The modern-like solar cycle might have evolved as early as 2.47 billion years ago, according to synchrotron-radiation-based micro-scale analyses of a Precambrian banded iron formation from the Kuruman Formation, South Africa.","nature, search, Benjamin Thompson, Elizabeth Gibney, Anyang Ding, Axel Hofmann, Yi-Liang Li, Andriko von Kügelgen, C. Keith Cassidy, Tanmay A. M. Bharat, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Tian Gan, Taiyi Luo, Shuhai Xiao, Siva Sankari, Vignesh M. P. Babu, Graham C. Walker, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, F. Beulig, F. Schubert, T. Treude, Ha V. Dang, Yee-Peng Chan, David Veesler, Matthew S. Dodd, Dominic Papineau, Crispin T. S. Little, Thiago Altair, Marcio G. B. de Avellar, Douglas Galante, Elizabeth Gibney, Eustace Y. Fernando, Simon Jon McIlroy, Per Halkjær Nielsen, Andreas Elsaesser, David J. Burr, Frances Westall, Armando Azua-Bustos, Alberto G. Fairén, Elizabeth B. Rampe, Tetyana Milojevic, Mihaela Albu, Matthew L. Morgan, Kang Soo Lee, Zachary Landry, Roman Stocker, Richard Barker, Sylvain V. Costes, Simon Gilroy, Matthew Potter, Cynthia Hanson, David W. Britt, Tiina Belt, Michael Altgen, Lauri Rautkari",05 Jun 2024
/articles/s41586-024-07462-5,Membraneless channels sieve cations in ammonia-oxidizing marine archaea,"TheNitrosopumilus maritimussurface layer (S-layer) concentrates ammonium ions on its cell-facing side, acting as a multichannel sieve on the cell membrane.","nature, search, Benjamin Thompson, Elizabeth Gibney, Anyang Ding, Axel Hofmann, Yi-Liang Li, Andriko von Kügelgen, C. Keith Cassidy, Tanmay A. M. Bharat, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Tian Gan, Taiyi Luo, Shuhai Xiao, Siva Sankari, Vignesh M. P. Babu, Graham C. Walker, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, F. Beulig, F. Schubert, T. Treude, Ha V. Dang, Yee-Peng Chan, David Veesler, Matthew S. Dodd, Dominic Papineau, Crispin T. S. Little, Thiago Altair, Marcio G. B. de Avellar, Douglas Galante, Elizabeth Gibney, Eustace Y. Fernando, Simon Jon McIlroy, Per Halkjær Nielsen, Andreas Elsaesser, David J. Burr, Frances Westall, Armando Azua-Bustos, Alberto G. Fairén, Elizabeth B. Rampe, Tetyana Milojevic, Mihaela Albu, Matthew L. Morgan, Kang Soo Lee, Zachary Landry, Roman Stocker, Richard Barker, Sylvain V. Costes, Simon Gilroy, Matthew Potter, Cynthia Hanson, David W. Britt, Tiina Belt, Michael Altgen, Lauri Rautkari",05 Jun 2024
/articles/s41467-021-24312-4,Efficient long-range conduction in cable bacteria through nickel protein wires,"Filamentous cable bacteria conduct electrical currents over centimeter distances through fibers embedded in their cell envelope. Here, Boschker et al. show that the fibers consist of a conductive core containing nickel proteins that is surrounded by an insulating protein shell.","nature, search, Benjamin Thompson, Elizabeth Gibney, Anyang Ding, Axel Hofmann, Yi-Liang Li, Andriko von Kügelgen, C. Keith Cassidy, Tanmay A. M. Bharat, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Tian Gan, Taiyi Luo, Shuhai Xiao, Siva Sankari, Vignesh M. P. Babu, Graham C. Walker, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, F. Beulig, F. Schubert, T. Treude, Ha V. Dang, Yee-Peng Chan, David Veesler, Matthew S. Dodd, Dominic Papineau, Crispin T. S. Little, Thiago Altair, Marcio G. B. de Avellar, Douglas Galante, Elizabeth Gibney, Eustace Y. Fernando, Simon Jon McIlroy, Per Halkjær Nielsen, Andreas Elsaesser, David J. Burr, Frances Westall, Armando Azua-Bustos, Alberto G. Fairén, Elizabeth B. Rampe, Tetyana Milojevic, Mihaela Albu, Matthew L. Morgan, Kang Soo Lee, Zachary Landry, Roman Stocker, Richard Barker, Sylvain V. Costes, Simon Gilroy, Matthew Potter, Cynthia Hanson, David W. Britt, Tiina Belt, Michael Altgen, Lauri Rautkari",05 Jun 2024
/articles/s41467-023-43524-4,Engineering artificial photosynthesis based on rhodopsin for CO2 fixation,"Microbial rhodopsins are major contributors to global light harvesting on Earth, but their role in carbon fixation is unclear. Here, the authors construct an artificial photosynthesis system by combining rhodopsin with an extracellular electron uptake mechanism for photoelectrosynthetic CO2fixation inRalstonia eutropha.","nature, search, Benjamin Thompson, Elizabeth Gibney, Anyang Ding, Axel Hofmann, Yi-Liang Li, Andriko von Kügelgen, C. Keith Cassidy, Tanmay A. M. Bharat, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Tian Gan, Taiyi Luo, Shuhai Xiao, Siva Sankari, Vignesh M. P. Babu, Graham C. Walker, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, F. Beulig, F. Schubert, T. Treude, Ha V. Dang, Yee-Peng Chan, David Veesler, Matthew S. Dodd, Dominic Papineau, Crispin T. S. Little, Thiago Altair, Marcio G. B. de Avellar, Douglas Galante, Elizabeth Gibney, Eustace Y. Fernando, Simon Jon McIlroy, Per Halkjær Nielsen, Andreas Elsaesser, David J. Burr, Frances Westall, Armando Azua-Bustos, Alberto G. Fairén, Elizabeth B. Rampe, Tetyana Milojevic, Mihaela Albu, Matthew L. Morgan, Kang Soo Lee, Zachary Landry, Roman Stocker, Richard Barker, Sylvain V. Costes, Simon Gilroy, Matthew Potter, Cynthia Hanson, David W. Britt, Tiina Belt, Michael Altgen, Lauri Rautkari",05 Jun 2024
/articles/s41467-021-20975-1,Cryptic terrestrial fungus-like fossils of the early Ediacaran Period,"Fungi may have evolved up to 2.4 billion years ago, but it is unclear when they first colonized land. Here Gan and colleagues report filamentous Ediacaran microfossils from South China that may represent early terrestrial fungi.","nature, search, Benjamin Thompson, Elizabeth Gibney, Anyang Ding, Axel Hofmann, Yi-Liang Li, Andriko von Kügelgen, C. Keith Cassidy, Tanmay A. M. Bharat, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Tian Gan, Taiyi Luo, Shuhai Xiao, Siva Sankari, Vignesh M. P. Babu, Graham C. Walker, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, F. Beulig, F. Schubert, T. Treude, Ha V. Dang, Yee-Peng Chan, David Veesler, Matthew S. Dodd, Dominic Papineau, Crispin T. S. Little, Thiago Altair, Marcio G. B. de Avellar, Douglas Galante, Elizabeth Gibney, Eustace Y. Fernando, Simon Jon McIlroy, Per Halkjær Nielsen, Andreas Elsaesser, David J. Burr, Frances Westall, Armando Azua-Bustos, Alberto G. Fairén, Elizabeth B. Rampe, Tetyana Milojevic, Mihaela Albu, Matthew L. Morgan, Kang Soo Lee, Zachary Landry, Roman Stocker, Richard Barker, Sylvain V. Costes, Simon Gilroy, Matthew Potter, Cynthia Hanson, David W. Britt, Tiina Belt, Michael Altgen, Lauri Rautkari",05 Jun 2024
/articles/s41564-022-01192-y,A haem-sequestering plant peptide promotes iron uptake in symbiotic bacteria,"A plant peptide binds to haem, thereby reducing the availability of haem and inducing an iron-starvation response in rhizobia that results in iron import for nitrogenase activity.","nature, search, Benjamin Thompson, Elizabeth Gibney, Anyang Ding, Axel Hofmann, Yi-Liang Li, Andriko von Kügelgen, C. Keith Cassidy, Tanmay A. M. Bharat, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Tian Gan, Taiyi Luo, Shuhai Xiao, Siva Sankari, Vignesh M. P. Babu, Graham C. Walker, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, F. Beulig, F. Schubert, T. Treude, Ha V. Dang, Yee-Peng Chan, David Veesler, Matthew S. Dodd, Dominic Papineau, Crispin T. S. Little, Thiago Altair, Marcio G. B. de Avellar, Douglas Galante, Elizabeth Gibney, Eustace Y. Fernando, Simon Jon McIlroy, Per Halkjær Nielsen, Andreas Elsaesser, David J. Burr, Frances Westall, Armando Azua-Bustos, Alberto G. Fairén, Elizabeth B. Rampe, Tetyana Milojevic, Mihaela Albu, Matthew L. Morgan, Kang Soo Lee, Zachary Landry, Roman Stocker, Richard Barker, Sylvain V. Costes, Simon Gilroy, Matthew Potter, Cynthia Hanson, David W. Britt, Tiina Belt, Michael Altgen, Lauri Rautkari",05 Jun 2024
/articles/d41586-020-03514-8,"Viruses, microscopy and fast radio bursts: 10 remarkable discoveries from 2020",Highlights from News & Views published this year.,"nature, search, Benjamin Thompson, Elizabeth Gibney, Anyang Ding, Axel Hofmann, Yi-Liang Li, Andriko von Kügelgen, C. Keith Cassidy, Tanmay A. M. Bharat, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Tian Gan, Taiyi Luo, Shuhai Xiao, Siva Sankari, Vignesh M. P. Babu, Graham C. Walker, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, F. Beulig, F. Schubert, T. Treude, Ha V. Dang, Yee-Peng Chan, David Veesler, Matthew S. Dodd, Dominic Papineau, Crispin T. S. Little, Thiago Altair, Marcio G. B. de Avellar, Douglas Galante, Elizabeth Gibney, Eustace Y. Fernando, Simon Jon McIlroy, Per Halkjær Nielsen, Andreas Elsaesser, David J. Burr, Frances Westall, Armando Azua-Bustos, Alberto G. Fairén, Elizabeth B. Rampe, Tetyana Milojevic, Mihaela Albu, Matthew L. Morgan, Kang Soo Lee, Zachary Landry, Roman Stocker, Richard Barker, Sylvain V. Costes, Simon Gilroy, Matthew Potter, Cynthia Hanson, David W. Britt, Tiina Belt, Michael Altgen, Lauri Rautkari",05 Jun 2024
/articles/s41467-022-33379-6,Structure of the malaria vaccine candidate Pfs48/45 and its recognition by transmission blocking antibodies,"Pfs48/45, a surface protein ofPlasmodium falciparum, is a promising anti-malarial vaccine candidate whose structure is not entirely resolved. Here, the authors present the structure of the full-length molecule, and characterise the binding and activity of transmission blocking antibodies.","nature, search, Benjamin Thompson, Elizabeth Gibney, Anyang Ding, Axel Hofmann, Yi-Liang Li, Andriko von Kügelgen, C. Keith Cassidy, Tanmay A. M. Bharat, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Tian Gan, Taiyi Luo, Shuhai Xiao, Siva Sankari, Vignesh M. P. Babu, Graham C. Walker, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, F. Beulig, F. Schubert, T. Treude, Ha V. Dang, Yee-Peng Chan, David Veesler, Matthew S. Dodd, Dominic Papineau, Crispin T. S. Little, Thiago Altair, Marcio G. B. de Avellar, Douglas Galante, Elizabeth Gibney, Eustace Y. Fernando, Simon Jon McIlroy, Per Halkjær Nielsen, Andreas Elsaesser, David J. Burr, Frances Westall, Armando Azua-Bustos, Alberto G. Fairén, Elizabeth B. Rampe, Tetyana Milojevic, Mihaela Albu, Matthew L. Morgan, Kang Soo Lee, Zachary Landry, Roman Stocker, Richard Barker, Sylvain V. Costes, Simon Gilroy, Matthew Potter, Cynthia Hanson, David W. Britt, Tiina Belt, Michael Altgen, Lauri Rautkari",05 Jun 2024
/articles/s41467-021-27802-7,"Rapid metabolism fosters microbial survival in the deep, hot subseafloor biosphere","In the deep sedimentary biosphere, 80 °C has been proposed as an upper thermal barrier for life. Using a suite of radiotracer experiments, this study reports active methanogenic and sulfate-reducing microbial populations with high cell-specific metabolic rates in deeply buried marine sediments from the Nankai Trough subduction zone, which reach temperatures up to 120 °C.","nature, search, Benjamin Thompson, Elizabeth Gibney, Anyang Ding, Axel Hofmann, Yi-Liang Li, Andriko von Kügelgen, C. Keith Cassidy, Tanmay A. M. Bharat, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Tian Gan, Taiyi Luo, Shuhai Xiao, Siva Sankari, Vignesh M. P. Babu, Graham C. Walker, Kuang-Ting Ko, Frank Lennartz, Matthew K. Higgins, F. Beulig, F. Schubert, T. Treude, Ha V. Dang, Yee-Peng Chan, David Veesler, Matthew S. Dodd, Dominic Papineau, Crispin T. S. Little, Thiago Altair, Marcio G. B. de Avellar, Douglas Galante, Elizabeth Gibney, Eustace Y. Fernando, Simon Jon McIlroy, Per Halkjær Nielsen, Andreas Elsaesser, David J. Burr, Frances Westall, Armando Azua-Bustos, Alberto G. Fairén, Elizabeth B. Rampe, Tetyana Milojevic, Mihaela Albu, Matthew L. Morgan, Kang Soo Lee, Zachary Landry, Roman Stocker, Richard Barker, Sylvain V. Costes, Simon Gilroy, Matthew Potter, Cynthia Hanson, David W. Britt, Tiina Belt, Michael Altgen, Lauri Rautkari",05 Jun 2024
