href,title,description,authors,date_published
/articles/s41598-022-19342-x,High-dose X-ray radiation induced MgO degradation and breakdown in spin transfer torque magnetic tunnel junctions,"Topological magnetic monopoles are non-local spin textures that are robust to thermal and quantum fluctuations, but they are difficult to study at the nanoscale in real space. Now, soft X-ray vector ptycho-tomography is demonstrated to determine the three-dimensional magnetization vector and emergent magnetic field of such magnetic monopoles in a ferromagnetic meta-lattice.","nature, search, Qi He, Hui Shi, Minghua Li, Benjamin Gutman, Michael Mrejen, Roy Beck, Megha Jain, Manju, Anup Thakur, Arjun Rana, Chen-Ting Liao, Jianwei Miao, P.-J. Wyndaele, J.-F. de Marneffe, S. De Gendt, Zijun Chen, Kevin J. Satzinger, Julian Kelly, Siheng Wang, Le Yu, Chaoji Chen, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Sungjae Yoo, Jaewon Lee, Sungho Park, L. S. Kuzmin, A. L. Pankratov, P. de Bernardis, Perry N. Alagappan, Jessica Heimann, Andrew R. Barron, I. Lobato, T. Friedrich, S. Van Aert, Eric Hand, S. A. Gorbunov, R. A. Rymzhanov, A. E. Volkov, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Ralph Michael, Aufried Lenferink, Cees Otto, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Shawn L. Riechers, Nikolay G. Petrik, Kevin M. Rosso, Adrian D. Hillier, Stephen J. Blundell, Isao Watanabe, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Miguel C. Sequeira, Jean-Gabriel Mattei, Katharina Lorenz, Gunther Cronenberg, Philippe Brax, Hartmut Abele, Hideyuki Yamazaki, Mitsuo Koike, Atsushi Ogura, T. Schmid, N. Schäfer, D. Abou-Ras, McKane B. Lee, Nicholas D. Ward, Randy Kent, Shahryar Malekie, Hassan Shooli, Mohammad Amin Hosseini, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, M. S. Shakeri, O. Polit, Z. Swiatkowska-Warkocka, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Claudia Gusenbauer, Etienne Cabane, Johannes Konnerth, Jian Zhang, Mickael L. Perrin, Michel Calame, Vadym N. Mochalin, Olga Shenderova, Yury Gogotsi, Neeti Keswani, Ricardo J. C. Lopes, Pintu Das, Andrea Valsesia, Monica Quarato, Pascal Colpo, Junyi Li, Meiping Tian, Francis L. Martin",03 Nov 2022
/articles/s41598-020-73030-2,Angular super-resolution retrieval in small-angle X-ray scattering,"Topological magnetic monopoles are non-local spin textures that are robust to thermal and quantum fluctuations, but they are difficult to study at the nanoscale in real space. Now, soft X-ray vector ptycho-tomography is demonstrated to determine the three-dimensional magnetization vector and emergent magnetic field of such magnetic monopoles in a ferromagnetic meta-lattice.","nature, search, Qi He, Hui Shi, Minghua Li, Benjamin Gutman, Michael Mrejen, Roy Beck, Megha Jain, Manju, Anup Thakur, Arjun Rana, Chen-Ting Liao, Jianwei Miao, P.-J. Wyndaele, J.-F. de Marneffe, S. De Gendt, Zijun Chen, Kevin J. Satzinger, Julian Kelly, Siheng Wang, Le Yu, Chaoji Chen, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Sungjae Yoo, Jaewon Lee, Sungho Park, L. S. Kuzmin, A. L. Pankratov, P. de Bernardis, Perry N. Alagappan, Jessica Heimann, Andrew R. Barron, I. Lobato, T. Friedrich, S. Van Aert, Eric Hand, S. A. Gorbunov, R. A. Rymzhanov, A. E. Volkov, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Ralph Michael, Aufried Lenferink, Cees Otto, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Shawn L. Riechers, Nikolay G. Petrik, Kevin M. Rosso, Adrian D. Hillier, Stephen J. Blundell, Isao Watanabe, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Miguel C. Sequeira, Jean-Gabriel Mattei, Katharina Lorenz, Gunther Cronenberg, Philippe Brax, Hartmut Abele, Hideyuki Yamazaki, Mitsuo Koike, Atsushi Ogura, T. Schmid, N. Schäfer, D. Abou-Ras, McKane B. Lee, Nicholas D. Ward, Randy Kent, Shahryar Malekie, Hassan Shooli, Mohammad Amin Hosseini, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, M. S. Shakeri, O. Polit, Z. Swiatkowska-Warkocka, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Claudia Gusenbauer, Etienne Cabane, Johannes Konnerth, Jian Zhang, Mickael L. Perrin, Michel Calame, Vadym N. Mochalin, Olga Shenderova, Yury Gogotsi, Neeti Keswani, Ricardo J. C. Lopes, Pintu Das, Andrea Valsesia, Monica Quarato, Pascal Colpo, Junyi Li, Meiping Tian, Francis L. Martin",03 Nov 2022
/articles/s41598-019-57227-8,Defect states and kinetic parameter analysis of ZnAl2O4 nanocrystals by X-ray photoelectron spectroscopy and thermoluminescence,"Topological magnetic monopoles are non-local spin textures that are robust to thermal and quantum fluctuations, but they are difficult to study at the nanoscale in real space. Now, soft X-ray vector ptycho-tomography is demonstrated to determine the three-dimensional magnetization vector and emergent magnetic field of such magnetic monopoles in a ferromagnetic meta-lattice.","nature, search, Qi He, Hui Shi, Minghua Li, Benjamin Gutman, Michael Mrejen, Roy Beck, Megha Jain, Manju, Anup Thakur, Arjun Rana, Chen-Ting Liao, Jianwei Miao, P.-J. Wyndaele, J.-F. de Marneffe, S. De Gendt, Zijun Chen, Kevin J. Satzinger, Julian Kelly, Siheng Wang, Le Yu, Chaoji Chen, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Sungjae Yoo, Jaewon Lee, Sungho Park, L. S. Kuzmin, A. L. Pankratov, P. de Bernardis, Perry N. Alagappan, Jessica Heimann, Andrew R. Barron, I. Lobato, T. Friedrich, S. Van Aert, Eric Hand, S. A. Gorbunov, R. A. Rymzhanov, A. E. Volkov, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Ralph Michael, Aufried Lenferink, Cees Otto, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Shawn L. Riechers, Nikolay G. Petrik, Kevin M. Rosso, Adrian D. Hillier, Stephen J. Blundell, Isao Watanabe, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Miguel C. Sequeira, Jean-Gabriel Mattei, Katharina Lorenz, Gunther Cronenberg, Philippe Brax, Hartmut Abele, Hideyuki Yamazaki, Mitsuo Koike, Atsushi Ogura, T. Schmid, N. Schäfer, D. Abou-Ras, McKane B. Lee, Nicholas D. Ward, Randy Kent, Shahryar Malekie, Hassan Shooli, Mohammad Amin Hosseini, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, M. S. Shakeri, O. Polit, Z. Swiatkowska-Warkocka, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Claudia Gusenbauer, Etienne Cabane, Johannes Konnerth, Jian Zhang, Mickael L. Perrin, Michel Calame, Vadym N. Mochalin, Olga Shenderova, Yury Gogotsi, Neeti Keswani, Ricardo J. C. Lopes, Pintu Das, Andrea Valsesia, Monica Quarato, Pascal Colpo, Junyi Li, Meiping Tian, Francis L. Martin",03 Nov 2022
/articles/s41565-022-01311-0,Three-dimensional topological magnetic monopoles and their interactions in a ferromagnetic meta-lattice,"Topological magnetic monopoles are non-local spin textures that are robust to thermal and quantum fluctuations, but they are difficult to study at the nanoscale in real space. Now, soft X-ray vector ptycho-tomography is demonstrated to determine the three-dimensional magnetization vector and emergent magnetic field of such magnetic monopoles in a ferromagnetic meta-lattice.","nature, search, Qi He, Hui Shi, Minghua Li, Benjamin Gutman, Michael Mrejen, Roy Beck, Megha Jain, Manju, Anup Thakur, Arjun Rana, Chen-Ting Liao, Jianwei Miao, P.-J. Wyndaele, J.-F. de Marneffe, S. De Gendt, Zijun Chen, Kevin J. Satzinger, Julian Kelly, Siheng Wang, Le Yu, Chaoji Chen, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Sungjae Yoo, Jaewon Lee, Sungho Park, L. S. Kuzmin, A. L. Pankratov, P. de Bernardis, Perry N. Alagappan, Jessica Heimann, Andrew R. Barron, I. Lobato, T. Friedrich, S. Van Aert, Eric Hand, S. A. Gorbunov, R. A. Rymzhanov, A. E. Volkov, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Ralph Michael, Aufried Lenferink, Cees Otto, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Shawn L. Riechers, Nikolay G. Petrik, Kevin M. Rosso, Adrian D. Hillier, Stephen J. Blundell, Isao Watanabe, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Miguel C. Sequeira, Jean-Gabriel Mattei, Katharina Lorenz, Gunther Cronenberg, Philippe Brax, Hartmut Abele, Hideyuki Yamazaki, Mitsuo Koike, Atsushi Ogura, T. Schmid, N. Schäfer, D. Abou-Ras, McKane B. Lee, Nicholas D. Ward, Randy Kent, Shahryar Malekie, Hassan Shooli, Mohammad Amin Hosseini, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, M. S. Shakeri, O. Polit, Z. Swiatkowska-Warkocka, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Claudia Gusenbauer, Etienne Cabane, Johannes Konnerth, Jian Zhang, Mickael L. Perrin, Michel Calame, Vadym N. Mochalin, Olga Shenderova, Yury Gogotsi, Neeti Keswani, Ricardo J. C. Lopes, Pintu Das, Andrea Valsesia, Monica Quarato, Pascal Colpo, Junyi Li, Meiping Tian, Francis L. Martin",03 Nov 2022
/articles/s41699-024-00464-x,Enhancing dielectric passivation on monolayer WS2 via a sacrificial graphene oxide seeding layer,Repetition codes running many cycles of quantum error correction achieve exponential suppression of errors with increasing numbers of qubits.,"nature, search, Qi He, Hui Shi, Minghua Li, Benjamin Gutman, Michael Mrejen, Roy Beck, Megha Jain, Manju, Anup Thakur, Arjun Rana, Chen-Ting Liao, Jianwei Miao, P.-J. Wyndaele, J.-F. de Marneffe, S. De Gendt, Zijun Chen, Kevin J. Satzinger, Julian Kelly, Siheng Wang, Le Yu, Chaoji Chen, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Sungjae Yoo, Jaewon Lee, Sungho Park, L. S. Kuzmin, A. L. Pankratov, P. de Bernardis, Perry N. Alagappan, Jessica Heimann, Andrew R. Barron, I. Lobato, T. Friedrich, S. Van Aert, Eric Hand, S. A. Gorbunov, R. A. Rymzhanov, A. E. Volkov, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Ralph Michael, Aufried Lenferink, Cees Otto, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Shawn L. Riechers, Nikolay G. Petrik, Kevin M. Rosso, Adrian D. Hillier, Stephen J. Blundell, Isao Watanabe, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Miguel C. Sequeira, Jean-Gabriel Mattei, Katharina Lorenz, Gunther Cronenberg, Philippe Brax, Hartmut Abele, Hideyuki Yamazaki, Mitsuo Koike, Atsushi Ogura, T. Schmid, N. Schäfer, D. Abou-Ras, McKane B. Lee, Nicholas D. Ward, Randy Kent, Shahryar Malekie, Hassan Shooli, Mohammad Amin Hosseini, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, M. S. Shakeri, O. Polit, Z. Swiatkowska-Warkocka, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Claudia Gusenbauer, Etienne Cabane, Johannes Konnerth, Jian Zhang, Mickael L. Perrin, Michel Calame, Vadym N. Mochalin, Olga Shenderova, Yury Gogotsi, Neeti Keswani, Ricardo J. C. Lopes, Pintu Das, Andrea Valsesia, Monica Quarato, Pascal Colpo, Junyi Li, Meiping Tian, Francis L. Martin",03 Nov 2022
/articles/s41586-021-03588-y,Exponential suppression of bit or phase errors with cyclic error correction,Repetition codes running many cycles of quantum error correction achieve exponential suppression of errors with increasing numbers of qubits.,"nature, search, Qi He, Hui Shi, Minghua Li, Benjamin Gutman, Michael Mrejen, Roy Beck, Megha Jain, Manju, Anup Thakur, Arjun Rana, Chen-Ting Liao, Jianwei Miao, P.-J. Wyndaele, J.-F. de Marneffe, S. De Gendt, Zijun Chen, Kevin J. Satzinger, Julian Kelly, Siheng Wang, Le Yu, Chaoji Chen, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Sungjae Yoo, Jaewon Lee, Sungho Park, L. S. Kuzmin, A. L. Pankratov, P. de Bernardis, Perry N. Alagappan, Jessica Heimann, Andrew R. Barron, I. Lobato, T. Friedrich, S. Van Aert, Eric Hand, S. A. Gorbunov, R. A. Rymzhanov, A. E. Volkov, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Ralph Michael, Aufried Lenferink, Cees Otto, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Shawn L. Riechers, Nikolay G. Petrik, Kevin M. Rosso, Adrian D. Hillier, Stephen J. Blundell, Isao Watanabe, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Miguel C. Sequeira, Jean-Gabriel Mattei, Katharina Lorenz, Gunther Cronenberg, Philippe Brax, Hartmut Abele, Hideyuki Yamazaki, Mitsuo Koike, Atsushi Ogura, T. Schmid, N. Schäfer, D. Abou-Ras, McKane B. Lee, Nicholas D. Ward, Randy Kent, Shahryar Malekie, Hassan Shooli, Mohammad Amin Hosseini, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, M. S. Shakeri, O. Polit, Z. Swiatkowska-Warkocka, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Claudia Gusenbauer, Etienne Cabane, Johannes Konnerth, Jian Zhang, Mickael L. Perrin, Michel Calame, Vadym N. Mochalin, Olga Shenderova, Yury Gogotsi, Neeti Keswani, Ricardo J. C. Lopes, Pintu Das, Andrea Valsesia, Monica Quarato, Pascal Colpo, Junyi Li, Meiping Tian, Francis L. Martin",03 Nov 2022
/articles/s41467-022-30224-8,"Strong, tough, ionic conductive, and freezing-tolerant all-natural hydrogel enabled by cellulose-bentonite coordination interactions","Cellulose based ion conductive hydrogels are emerging materials for application in flexible electronics but achieving simultaneously high conductivity and good mechanical properties remains challenging. Here, the authors propose a supramolecular engineering strategy to strengthen cellulosic hydrogel and to improve simultaneously its ionic conductivity and freezing tolerance.","nature, search, Qi He, Hui Shi, Minghua Li, Benjamin Gutman, Michael Mrejen, Roy Beck, Megha Jain, Manju, Anup Thakur, Arjun Rana, Chen-Ting Liao, Jianwei Miao, P.-J. Wyndaele, J.-F. de Marneffe, S. De Gendt, Zijun Chen, Kevin J. Satzinger, Julian Kelly, Siheng Wang, Le Yu, Chaoji Chen, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Sungjae Yoo, Jaewon Lee, Sungho Park, L. S. Kuzmin, A. L. Pankratov, P. de Bernardis, Perry N. Alagappan, Jessica Heimann, Andrew R. Barron, I. Lobato, T. Friedrich, S. Van Aert, Eric Hand, S. A. Gorbunov, R. A. Rymzhanov, A. E. Volkov, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Ralph Michael, Aufried Lenferink, Cees Otto, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Shawn L. Riechers, Nikolay G. Petrik, Kevin M. Rosso, Adrian D. Hillier, Stephen J. Blundell, Isao Watanabe, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Miguel C. Sequeira, Jean-Gabriel Mattei, Katharina Lorenz, Gunther Cronenberg, Philippe Brax, Hartmut Abele, Hideyuki Yamazaki, Mitsuo Koike, Atsushi Ogura, T. Schmid, N. Schäfer, D. Abou-Ras, McKane B. Lee, Nicholas D. Ward, Randy Kent, Shahryar Malekie, Hassan Shooli, Mohammad Amin Hosseini, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, M. S. Shakeri, O. Polit, Z. Swiatkowska-Warkocka, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Claudia Gusenbauer, Etienne Cabane, Johannes Konnerth, Jian Zhang, Mickael L. Perrin, Michel Calame, Vadym N. Mochalin, Olga Shenderova, Yury Gogotsi, Neeti Keswani, Ricardo J. C. Lopes, Pintu Das, Andrea Valsesia, Monica Quarato, Pascal Colpo, Junyi Li, Meiping Tian, Francis L. Martin",03 Nov 2022
/articles/s41928-021-00562-4,Low-power electronic technologies for harsh radiation environments,"This Review examines the development of radiation-hardened electronics, considering the design methodologies available with conventional complementary metal–oxide–semiconductor (CMOS) technologies and the potential use and applications of emerging memory technologies.","nature, search, Qi He, Hui Shi, Minghua Li, Benjamin Gutman, Michael Mrejen, Roy Beck, Megha Jain, Manju, Anup Thakur, Arjun Rana, Chen-Ting Liao, Jianwei Miao, P.-J. Wyndaele, J.-F. de Marneffe, S. De Gendt, Zijun Chen, Kevin J. Satzinger, Julian Kelly, Siheng Wang, Le Yu, Chaoji Chen, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Sungjae Yoo, Jaewon Lee, Sungho Park, L. S. Kuzmin, A. L. Pankratov, P. de Bernardis, Perry N. Alagappan, Jessica Heimann, Andrew R. Barron, I. Lobato, T. Friedrich, S. Van Aert, Eric Hand, S. A. Gorbunov, R. A. Rymzhanov, A. E. Volkov, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Ralph Michael, Aufried Lenferink, Cees Otto, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Shawn L. Riechers, Nikolay G. Petrik, Kevin M. Rosso, Adrian D. Hillier, Stephen J. Blundell, Isao Watanabe, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Miguel C. Sequeira, Jean-Gabriel Mattei, Katharina Lorenz, Gunther Cronenberg, Philippe Brax, Hartmut Abele, Hideyuki Yamazaki, Mitsuo Koike, Atsushi Ogura, T. Schmid, N. Schäfer, D. Abou-Ras, McKane B. Lee, Nicholas D. Ward, Randy Kent, Shahryar Malekie, Hassan Shooli, Mohammad Amin Hosseini, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, M. S. Shakeri, O. Polit, Z. Swiatkowska-Warkocka, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Claudia Gusenbauer, Etienne Cabane, Johannes Konnerth, Jian Zhang, Mickael L. Perrin, Michel Calame, Vadym N. Mochalin, Olga Shenderova, Yury Gogotsi, Neeti Keswani, Ricardo J. C. Lopes, Pintu Das, Andrea Valsesia, Monica Quarato, Pascal Colpo, Junyi Li, Meiping Tian, Francis L. Martin",03 Nov 2022
/articles/s41467-022-32261-9,Nesting of multiple polyhedral plasmonic nanoframes into a single entity,"The spatial configuration of nanostructure building blocks determines the physical and optical properties of their superstructures. Here, the authors report on complex nanoparticles in which different geometric forms of nanoframes are nested into a single entity by multistep chemical reactions.","nature, search, Qi He, Hui Shi, Minghua Li, Benjamin Gutman, Michael Mrejen, Roy Beck, Megha Jain, Manju, Anup Thakur, Arjun Rana, Chen-Ting Liao, Jianwei Miao, P.-J. Wyndaele, J.-F. de Marneffe, S. De Gendt, Zijun Chen, Kevin J. Satzinger, Julian Kelly, Siheng Wang, Le Yu, Chaoji Chen, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Sungjae Yoo, Jaewon Lee, Sungho Park, L. S. Kuzmin, A. L. Pankratov, P. de Bernardis, Perry N. Alagappan, Jessica Heimann, Andrew R. Barron, I. Lobato, T. Friedrich, S. Van Aert, Eric Hand, S. A. Gorbunov, R. A. Rymzhanov, A. E. Volkov, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Ralph Michael, Aufried Lenferink, Cees Otto, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Shawn L. Riechers, Nikolay G. Petrik, Kevin M. Rosso, Adrian D. Hillier, Stephen J. Blundell, Isao Watanabe, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Miguel C. Sequeira, Jean-Gabriel Mattei, Katharina Lorenz, Gunther Cronenberg, Philippe Brax, Hartmut Abele, Hideyuki Yamazaki, Mitsuo Koike, Atsushi Ogura, T. Schmid, N. Schäfer, D. Abou-Ras, McKane B. Lee, Nicholas D. Ward, Randy Kent, Shahryar Malekie, Hassan Shooli, Mohammad Amin Hosseini, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, M. S. Shakeri, O. Polit, Z. Swiatkowska-Warkocka, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Claudia Gusenbauer, Etienne Cabane, Johannes Konnerth, Jian Zhang, Mickael L. Perrin, Michel Calame, Vadym N. Mochalin, Olga Shenderova, Yury Gogotsi, Neeti Keswani, Ricardo J. C. Lopes, Pintu Das, Andrea Valsesia, Monica Quarato, Pascal Colpo, Junyi Li, Meiping Tian, Francis L. Martin",03 Nov 2022
/articles/s42005-019-0206-9,Photon-noise-limited cold-electron bolometer based on strong electron self-cooling for high-performance cosmology missions,"Bolometers, a type of cryogenic detectors, are extensively used for astronomical applications but new technologies offer the possibility to lower the temperature they operate at in order to increase their sensitivity. The authors present the experimental realisation of a Cold-Electron Bolometer based on strong on-chip electron self-cooling in which the electrons of the sensing element are refrigerated by superconductor tunnel junctions opening the door to the use of more cost effective devices for space missions.","nature, search, Qi He, Hui Shi, Minghua Li, Benjamin Gutman, Michael Mrejen, Roy Beck, Megha Jain, Manju, Anup Thakur, Arjun Rana, Chen-Ting Liao, Jianwei Miao, P.-J. Wyndaele, J.-F. de Marneffe, S. De Gendt, Zijun Chen, Kevin J. Satzinger, Julian Kelly, Siheng Wang, Le Yu, Chaoji Chen, Jeffrey Prinzie, Firman Mangasa Simanjuntak, Themis Prodromakis, Sungjae Yoo, Jaewon Lee, Sungho Park, L. S. Kuzmin, A. L. Pankratov, P. de Bernardis, Perry N. Alagappan, Jessica Heimann, Andrew R. Barron, I. Lobato, T. Friedrich, S. Van Aert, Eric Hand, S. A. Gorbunov, R. A. Rymzhanov, A. E. Volkov, Yin-Yi Han, Yi-Chun Lin, Yuh-Lin Wang, Ralph Michael, Aufried Lenferink, Cees Otto, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Shawn L. Riechers, Nikolay G. Petrik, Kevin M. Rosso, Adrian D. Hillier, Stephen J. Blundell, Isao Watanabe, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Miguel C. Sequeira, Jean-Gabriel Mattei, Katharina Lorenz, Gunther Cronenberg, Philippe Brax, Hartmut Abele, Hideyuki Yamazaki, Mitsuo Koike, Atsushi Ogura, T. Schmid, N. Schäfer, D. Abou-Ras, McKane B. Lee, Nicholas D. Ward, Randy Kent, Shahryar Malekie, Hassan Shooli, Mohammad Amin Hosseini, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, M. S. Shakeri, O. Polit, Z. Swiatkowska-Warkocka, L. Martínez, K. Lauwaet, J. A. Martín-Gago, Yuhao Zhang, Florin Udrea, Han Wang, Claudia Gusenbauer, Etienne Cabane, Johannes Konnerth, Jian Zhang, Mickael L. Perrin, Michel Calame, Vadym N. Mochalin, Olga Shenderova, Yury Gogotsi, Neeti Keswani, Ricardo J. C. Lopes, Pintu Das, Andrea Valsesia, Monica Quarato, Pascal Colpo, Junyi Li, Meiping Tian, Francis L. Martin",03 Nov 2022
