href,title,description,authors,date_published
/articles/s41598-018-26039-7,Temporary microglia-depletion after cosmic radiation modifies phagocytic activity and prevents cognitive deficits,Induced pluripotent stem cell (iPSC) derived dopaminergic neurons are a promising source for cell-based Parkinson’s disease (PD) therapy. Here the authors report a comprehensive pre-clinical evaluation of the safety and efficacy of dopaminergic progenitors derived from a clinical-grade human iPSC line.,"nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
/articles/s41598-018-30520-8,Optimising complementary soft tissue synchrotron X-ray microtomography for reversibly-stained central nervous system samples,Induced pluripotent stem cell (iPSC) derived dopaminergic neurons are a promising source for cell-based Parkinson’s disease (PD) therapy. Here the authors report a comprehensive pre-clinical evaluation of the safety and efficacy of dopaminergic progenitors derived from a clinical-grade human iPSC line.,"nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
/articles/s41467-020-17165-w,Pre-clinical study of induced pluripotent stem cell-derived dopaminergic progenitor cells for Parkinson’s disease,Induced pluripotent stem cell (iPSC) derived dopaminergic neurons are a promising source for cell-based Parkinson’s disease (PD) therapy. Here the authors report a comprehensive pre-clinical evaluation of the safety and efficacy of dopaminergic progenitors derived from a clinical-grade human iPSC line.,"nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
/articles/d41586-021-03730-w,"Gravity, AlphaFold and neural interfaces: a year of remarkable science",Highlights from News & Views published this year.,"nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
/articles/s41586-020-1952-2,PIK3CA variants selectively initiate brain hyperactivity during gliomagenesis,"Glioblastoma tumours expressing oncogenic PIK3CA variants secrete the glycan GPC3, which promotes the formation of neural synapses, brain synaptic hyperexcitability and gliomagenesis.","nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
/articles/540536a,2016 Editors' choice,Extracts from selected News & Views articles published this year.,"nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
/articles/s41598-023-28508-0,Combined space stressors induce independent behavioral deficits predicted by early peripheral blood monocytes,"Misrepair of DNA double-strand breaks can lead to chromosomal rearrangements, which can promote carcinogenesis. Here, the authors show in cultured human astrocytes that transcriptional activation impacts on DNA double-strand break formation and repair upon ionizing radiation in a site-specific manner.","nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
/articles/ncomms6799,Cell transcriptional state alters genomic patterns of DNA double-strand break repair in human astrocytes,"Misrepair of DNA double-strand breaks can lead to chromosomal rearrangements, which can promote carcinogenesis. Here, the authors show in cultured human astrocytes that transcriptional activation impacts on DNA double-strand break formation and repair upon ionizing radiation in a site-specific manner.","nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
/articles/ncomms1316,Circadian regulation of intracellular G-protein signalling mediates intercellular synchrony and rhythmicity in the suprachiasmatic nucleus,"Circadian rhythm is controlled by the suprachiasmatic nucleus and the mechanisms that control the rhythm are largely undiscovered. In this study, a G protein regulator, RGS16, is shown to be involved in the production of cyclic AMP that is required for the suprachiasmatic nucleus to maintain rhythm","nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
/articles/ncomms10583,Gpr176 is a Gz-linked orphan G-protein-coupled receptor that sets the pace of circadian behaviour,The suprachiasmatic nucleus (SCN) is the central regulator of circadian rhythms. Here the authors identify mouse Gpr176 as a pace modulator of this circadian clock and characterize its mode of action as coupling to Gz rather than Gi subunits.,"nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
/articles/526032a,Modelling: Build imprecise supercomputers,"Energy-optimized hybrid computers with a range of processor accuracies will advance modelling in fields from climate change to neuroscience, says Tim Palmer.","nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
/articles/d41586-018-07258-4,"Podcast: Mood forecasting technology, and where are the WIMPs?","Listen to the latest science news, brought to you by Benjamin Thompson and Charlotte Stoddart.","nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
/articles/s41598-019-48615-1,"Space-like 56Fe irradiation manifests mild, early sex-specific behavioral and neuropathological changes in wildtype and Alzheimer’s-like transgenic mice","Neurofibromin’s signaling pathways, post-translational modifications and key residues are explored to better understand its function and potential therapeutic targets.","nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
/articles/s41598-022-14858-8,Unconscious mind activates central cardiovascular network and promotes adaptation to microgravity possibly anti-aging during 1-year-long spaceflight,"Neurofibromin’s signaling pathways, post-translational modifications and key residues are explored to better understand its function and potential therapeutic targets.","nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
/articles/s41598-021-94478-w,Astronauts well-being and possibly anti-aging improved during long-duration spaceflight,"Neurofibromin’s signaling pathways, post-translational modifications and key residues are explored to better understand its function and potential therapeutic targets.","nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
/articles/s41598-021-93869-3,"Associations between lipids in selected brain regions, plasma miRNA, and behavioral and cognitive measures following 28Si ion irradiation","Neurofibromin’s signaling pathways, post-translational modifications and key residues are explored to better understand its function and potential therapeutic targets.","nature, search, Karen Krukowski, Xi Feng, Susanna Rosi, Merrick C. Strotton, Andrew J. Bodey, Elizabeth J. Bradbury, Daisuke Doi, Hiroaki Magotani, Jun Takahashi, Kwanha Yu, Chia-Ching John Lin, Benjamin Deneen, Kira D. A. Rienecker, Katherine Grue, Susanna Rosi, Raymund L. Yong, Chunzhang Yang, Russell R. Lonser, Masao Doi, Atsushi Ishida, Hitoshi Okamura, Masao Doi, Iori Murai, Hitoshi Okamura, Tim Palmer, Bin Liu, Robert G. Hinshaw, Cynthia A. Lemere, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Kuniaki Otsuka, Germaine Cornelissen, Chiaki Mukai, Jessica Minnier, Mark R. Emmett, Jacob Raber, Talita Glaser, Hiromi Shimojo, Henning Ulrich, Juan Báez-Flores, Mario Rodríguez-Martín, Jesus Lacal, Sharon M. Kolk, Pasko Rakic",18 May 2018
