href,title,description,authors,date_published
/articles/s41563-022-01414-y,Topological steering of light by nematic vortices and analogy to cosmic strings,"Liquid crystal (LC) applications typically rely on defining the non-topological spatial patterns of the optical axis. Here, the authors demonstrate the topological steering of light by LC nematic vortices, futher establishing an analogy between topological light steering by LC vortices and cosmic strings.","nature, search, Cuiling Meng, Jin-Sheng Wu, Ivan I. Smalyukh, Chong Sheng, Hui Liu, Shining Zhu, C. Sheng, H. Liu, D. A. Genov, David Pile, Marlous Kamp, Jakub Surmacki, Sarah E. Bohndiek, Wenchao Yan, Colton Fruhling, Donald Umstadter, Ekta Jain, Michelle Rose, Rajeev J. Ram, J. V. Anguita, C. T. G. Smith, S. R. P. Silva, A. A. Abdo, M. Ackermann, M. Sikora, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, James B. Rosenzweig, David F. P. Pile, Tobias Vogl, Kabilan Sripathy, Ping Koy Lam, Ognjen Ilic, Harry A. Atwater, Bernhard W. Adams, Ibtissame Khaoua, Guillaume Graciani, François Amblard, Andrey Alexandrov, Giovanni De Lellis, Valeri Tioukov, Minh Pham, Xingyuan Lu, Jianwei Miao, Ewelina Obrzud, Monica Rainer, Tobias Herr, Joohyung Lee, Keunwoo Lee, Seung-Woo Kim, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, David Pile, Shilpi Gupta, Chung Hao Huang, Rajeev J. Ram, Ugur Parlatan, Medine Tuna Inanc, Gunay Basar, Sungjae Yoo, Jaewon Lee, Sungho Park, Dan Sporea, Laura Mihai, Ion Vâţã, Mário Silveirinha, D. Sporea, L. Mihai, Gang-Ding Peng, Seiichi Yamamoto, Kei Kamada, Akira Yoshikawa, Ron Cowen, Seiichi Yamamoto, Kazuhiko Ninomiya, Yoshiyuki Hirano, Lindsay M. Freeman, Lin Pang, Yeshaiahu Fainman, Ruiyu Mi, Chaoji Chen, Liangbing Hu, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Adrian Ghita, Pavel Matousek, Nick Stone, Eric Hand, A. S. Pirozhkov, T. Zh. Esirkepov, M. Kando, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Rafael A. Probst, Dinko Milaković, Ronald Holzwarth, Gunther Cronenberg, Philippe Brax, Hartmut Abele, T. P. Wrobel, K. M. Marzec, M. Baranska, Adam Mann, Zeeya Merali, Sara Mosca, Claudia Conti, Pavel Matousek, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Mikhail Korobko, Yiqiu Ma, Roman Schnabel, Jakub M. Surmacki, Benjamin J. Woodhams, Sarah E. Bohndiek",01 Dec 2022
/articles/s41467-018-06718-9,Definite photon deflections of topological defects in metasurfaces and symmetry-breaking phase transitions with material loss,"Photonic structures can be used to simulate fundamental physical phenomena like the optical analog of gravity. Here, the authors use metasurface-engineered waveguides to emulate the optical effects of a topological defect on space-time.","nature, search, Cuiling Meng, Jin-Sheng Wu, Ivan I. Smalyukh, Chong Sheng, Hui Liu, Shining Zhu, C. Sheng, H. Liu, D. A. Genov, David Pile, Marlous Kamp, Jakub Surmacki, Sarah E. Bohndiek, Wenchao Yan, Colton Fruhling, Donald Umstadter, Ekta Jain, Michelle Rose, Rajeev J. Ram, J. V. Anguita, C. T. G. Smith, S. R. P. Silva, A. A. Abdo, M. Ackermann, M. Sikora, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, James B. Rosenzweig, David F. P. Pile, Tobias Vogl, Kabilan Sripathy, Ping Koy Lam, Ognjen Ilic, Harry A. Atwater, Bernhard W. Adams, Ibtissame Khaoua, Guillaume Graciani, François Amblard, Andrey Alexandrov, Giovanni De Lellis, Valeri Tioukov, Minh Pham, Xingyuan Lu, Jianwei Miao, Ewelina Obrzud, Monica Rainer, Tobias Herr, Joohyung Lee, Keunwoo Lee, Seung-Woo Kim, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, David Pile, Shilpi Gupta, Chung Hao Huang, Rajeev J. Ram, Ugur Parlatan, Medine Tuna Inanc, Gunay Basar, Sungjae Yoo, Jaewon Lee, Sungho Park, Dan Sporea, Laura Mihai, Ion Vâţã, Mário Silveirinha, D. Sporea, L. Mihai, Gang-Ding Peng, Seiichi Yamamoto, Kei Kamada, Akira Yoshikawa, Ron Cowen, Seiichi Yamamoto, Kazuhiko Ninomiya, Yoshiyuki Hirano, Lindsay M. Freeman, Lin Pang, Yeshaiahu Fainman, Ruiyu Mi, Chaoji Chen, Liangbing Hu, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Adrian Ghita, Pavel Matousek, Nick Stone, Eric Hand, A. S. Pirozhkov, T. Zh. Esirkepov, M. Kando, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Rafael A. Probst, Dinko Milaković, Ronald Holzwarth, Gunther Cronenberg, Philippe Brax, Hartmut Abele, T. P. Wrobel, K. M. Marzec, M. Baranska, Adam Mann, Zeeya Merali, Sara Mosca, Claudia Conti, Pavel Matousek, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Mikhail Korobko, Yiqiu Ma, Roman Schnabel, Jakub M. Surmacki, Benjamin J. Woodhams, Sarah E. Bohndiek",01 Dec 2022
/articles/nphoton.2013.247,Trapping light by mimicking gravitational lensing,"By utilizing a microstructured optical waveguide around a microsphere, an optical anlogue of the effects of gravity on the motion of light rays is demonstrated. Both far-field gravitational-lensing effects and the critical phenomenon that occurs close to the photon sphere of astrophysical objects under hydrostatic equilibrium are experimentally demonstrated.","nature, search, Cuiling Meng, Jin-Sheng Wu, Ivan I. Smalyukh, Chong Sheng, Hui Liu, Shining Zhu, C. Sheng, H. Liu, D. A. Genov, David Pile, Marlous Kamp, Jakub Surmacki, Sarah E. Bohndiek, Wenchao Yan, Colton Fruhling, Donald Umstadter, Ekta Jain, Michelle Rose, Rajeev J. Ram, J. V. Anguita, C. T. G. Smith, S. R. P. Silva, A. A. Abdo, M. Ackermann, M. Sikora, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, James B. Rosenzweig, David F. P. Pile, Tobias Vogl, Kabilan Sripathy, Ping Koy Lam, Ognjen Ilic, Harry A. Atwater, Bernhard W. Adams, Ibtissame Khaoua, Guillaume Graciani, François Amblard, Andrey Alexandrov, Giovanni De Lellis, Valeri Tioukov, Minh Pham, Xingyuan Lu, Jianwei Miao, Ewelina Obrzud, Monica Rainer, Tobias Herr, Joohyung Lee, Keunwoo Lee, Seung-Woo Kim, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, David Pile, Shilpi Gupta, Chung Hao Huang, Rajeev J. Ram, Ugur Parlatan, Medine Tuna Inanc, Gunay Basar, Sungjae Yoo, Jaewon Lee, Sungho Park, Dan Sporea, Laura Mihai, Ion Vâţã, Mário Silveirinha, D. Sporea, L. Mihai, Gang-Ding Peng, Seiichi Yamamoto, Kei Kamada, Akira Yoshikawa, Ron Cowen, Seiichi Yamamoto, Kazuhiko Ninomiya, Yoshiyuki Hirano, Lindsay M. Freeman, Lin Pang, Yeshaiahu Fainman, Ruiyu Mi, Chaoji Chen, Liangbing Hu, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Adrian Ghita, Pavel Matousek, Nick Stone, Eric Hand, A. S. Pirozhkov, T. Zh. Esirkepov, M. Kando, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Rafael A. Probst, Dinko Milaković, Ronald Holzwarth, Gunther Cronenberg, Philippe Brax, Hartmut Abele, T. P. Wrobel, K. M. Marzec, M. Baranska, Adam Mann, Zeeya Merali, Sara Mosca, Claudia Conti, Pavel Matousek, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Mikhail Korobko, Yiqiu Ma, Roman Schnabel, Jakub M. Surmacki, Benjamin J. Woodhams, Sarah E. Bohndiek",01 Dec 2022
/articles/nphoton.2009.247,X-ray race,The development of new light sources and focusing techniques suggests that ultrafast X-ray microscopy is poised to impact numerous fields of science.,"nature, search, Cuiling Meng, Jin-Sheng Wu, Ivan I. Smalyukh, Chong Sheng, Hui Liu, Shining Zhu, C. Sheng, H. Liu, D. A. Genov, David Pile, Marlous Kamp, Jakub Surmacki, Sarah E. Bohndiek, Wenchao Yan, Colton Fruhling, Donald Umstadter, Ekta Jain, Michelle Rose, Rajeev J. Ram, J. V. Anguita, C. T. G. Smith, S. R. P. Silva, A. A. Abdo, M. Ackermann, M. Sikora, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, James B. Rosenzweig, David F. P. Pile, Tobias Vogl, Kabilan Sripathy, Ping Koy Lam, Ognjen Ilic, Harry A. Atwater, Bernhard W. Adams, Ibtissame Khaoua, Guillaume Graciani, François Amblard, Andrey Alexandrov, Giovanni De Lellis, Valeri Tioukov, Minh Pham, Xingyuan Lu, Jianwei Miao, Ewelina Obrzud, Monica Rainer, Tobias Herr, Joohyung Lee, Keunwoo Lee, Seung-Woo Kim, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, David Pile, Shilpi Gupta, Chung Hao Huang, Rajeev J. Ram, Ugur Parlatan, Medine Tuna Inanc, Gunay Basar, Sungjae Yoo, Jaewon Lee, Sungho Park, Dan Sporea, Laura Mihai, Ion Vâţã, Mário Silveirinha, D. Sporea, L. Mihai, Gang-Ding Peng, Seiichi Yamamoto, Kei Kamada, Akira Yoshikawa, Ron Cowen, Seiichi Yamamoto, Kazuhiko Ninomiya, Yoshiyuki Hirano, Lindsay M. Freeman, Lin Pang, Yeshaiahu Fainman, Ruiyu Mi, Chaoji Chen, Liangbing Hu, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Adrian Ghita, Pavel Matousek, Nick Stone, Eric Hand, A. S. Pirozhkov, T. Zh. Esirkepov, M. Kando, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Rafael A. Probst, Dinko Milaković, Ronald Holzwarth, Gunther Cronenberg, Philippe Brax, Hartmut Abele, T. P. Wrobel, K. M. Marzec, M. Baranska, Adam Mann, Zeeya Merali, Sara Mosca, Claudia Conti, Pavel Matousek, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Mikhail Korobko, Yiqiu Ma, Roman Schnabel, Jakub M. Surmacki, Benjamin J. Woodhams, Sarah E. Bohndiek",01 Dec 2022
/articles/s41467-024-49403-w,Raman micro-spectroscopy reveals the spatial distribution of fumarate in cells and tissues,"Methods for the analysis of metabolites in cells often require sample disruption and lack spatio-temporal resolution. Here, the authors show that Raman spectroscopy can directly detect fumarate in living cells and animal tissues ex vivo.","nature, search, Cuiling Meng, Jin-Sheng Wu, Ivan I. Smalyukh, Chong Sheng, Hui Liu, Shining Zhu, C. Sheng, H. Liu, D. A. Genov, David Pile, Marlous Kamp, Jakub Surmacki, Sarah E. Bohndiek, Wenchao Yan, Colton Fruhling, Donald Umstadter, Ekta Jain, Michelle Rose, Rajeev J. Ram, J. V. Anguita, C. T. G. Smith, S. R. P. Silva, A. A. Abdo, M. Ackermann, M. Sikora, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, James B. Rosenzweig, David F. P. Pile, Tobias Vogl, Kabilan Sripathy, Ping Koy Lam, Ognjen Ilic, Harry A. Atwater, Bernhard W. Adams, Ibtissame Khaoua, Guillaume Graciani, François Amblard, Andrey Alexandrov, Giovanni De Lellis, Valeri Tioukov, Minh Pham, Xingyuan Lu, Jianwei Miao, Ewelina Obrzud, Monica Rainer, Tobias Herr, Joohyung Lee, Keunwoo Lee, Seung-Woo Kim, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, David Pile, Shilpi Gupta, Chung Hao Huang, Rajeev J. Ram, Ugur Parlatan, Medine Tuna Inanc, Gunay Basar, Sungjae Yoo, Jaewon Lee, Sungho Park, Dan Sporea, Laura Mihai, Ion Vâţã, Mário Silveirinha, D. Sporea, L. Mihai, Gang-Ding Peng, Seiichi Yamamoto, Kei Kamada, Akira Yoshikawa, Ron Cowen, Seiichi Yamamoto, Kazuhiko Ninomiya, Yoshiyuki Hirano, Lindsay M. Freeman, Lin Pang, Yeshaiahu Fainman, Ruiyu Mi, Chaoji Chen, Liangbing Hu, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Adrian Ghita, Pavel Matousek, Nick Stone, Eric Hand, A. S. Pirozhkov, T. Zh. Esirkepov, M. Kando, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Rafael A. Probst, Dinko Milaković, Ronald Holzwarth, Gunther Cronenberg, Philippe Brax, Hartmut Abele, T. P. Wrobel, K. M. Marzec, M. Baranska, Adam Mann, Zeeya Merali, Sara Mosca, Claudia Conti, Pavel Matousek, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Mikhail Korobko, Yiqiu Ma, Roman Schnabel, Jakub M. Surmacki, Benjamin J. Woodhams, Sarah E. Bohndiek",01 Dec 2022
/articles/nphoton.2017.100,High-order multiphoton Thomson scattering,More than 500 near-infrared laser photons are scattered by a single electron into a single X-ray photon. This is the first experimental evidence of high-order multiphoton Thomson scattering and validates the decades-old theoretical predictions.,"nature, search, Cuiling Meng, Jin-Sheng Wu, Ivan I. Smalyukh, Chong Sheng, Hui Liu, Shining Zhu, C. Sheng, H. Liu, D. A. Genov, David Pile, Marlous Kamp, Jakub Surmacki, Sarah E. Bohndiek, Wenchao Yan, Colton Fruhling, Donald Umstadter, Ekta Jain, Michelle Rose, Rajeev J. Ram, J. V. Anguita, C. T. G. Smith, S. R. P. Silva, A. A. Abdo, M. Ackermann, M. Sikora, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, James B. Rosenzweig, David F. P. Pile, Tobias Vogl, Kabilan Sripathy, Ping Koy Lam, Ognjen Ilic, Harry A. Atwater, Bernhard W. Adams, Ibtissame Khaoua, Guillaume Graciani, François Amblard, Andrey Alexandrov, Giovanni De Lellis, Valeri Tioukov, Minh Pham, Xingyuan Lu, Jianwei Miao, Ewelina Obrzud, Monica Rainer, Tobias Herr, Joohyung Lee, Keunwoo Lee, Seung-Woo Kim, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, David Pile, Shilpi Gupta, Chung Hao Huang, Rajeev J. Ram, Ugur Parlatan, Medine Tuna Inanc, Gunay Basar, Sungjae Yoo, Jaewon Lee, Sungho Park, Dan Sporea, Laura Mihai, Ion Vâţã, Mário Silveirinha, D. Sporea, L. Mihai, Gang-Ding Peng, Seiichi Yamamoto, Kei Kamada, Akira Yoshikawa, Ron Cowen, Seiichi Yamamoto, Kazuhiko Ninomiya, Yoshiyuki Hirano, Lindsay M. Freeman, Lin Pang, Yeshaiahu Fainman, Ruiyu Mi, Chaoji Chen, Liangbing Hu, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Adrian Ghita, Pavel Matousek, Nick Stone, Eric Hand, A. S. Pirozhkov, T. Zh. Esirkepov, M. Kando, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Rafael A. Probst, Dinko Milaković, Ronald Holzwarth, Gunther Cronenberg, Philippe Brax, Hartmut Abele, T. P. Wrobel, K. M. Marzec, M. Baranska, Adam Mann, Zeeya Merali, Sara Mosca, Claudia Conti, Pavel Matousek, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Mikhail Korobko, Yiqiu Ma, Roman Schnabel, Jakub M. Surmacki, Benjamin J. Woodhams, Sarah E. Bohndiek",01 Dec 2022
/articles/s41598-024-62932-0,Harnessing Raman spectroscopy for the analysis of plant diversity,Multiple layers of diamond-like carbon films are shown to act as moisture barriers when conformally deposited on carbon fibre reinforced polymers used in space applications.,"nature, search, Cuiling Meng, Jin-Sheng Wu, Ivan I. Smalyukh, Chong Sheng, Hui Liu, Shining Zhu, C. Sheng, H. Liu, D. A. Genov, David Pile, Marlous Kamp, Jakub Surmacki, Sarah E. Bohndiek, Wenchao Yan, Colton Fruhling, Donald Umstadter, Ekta Jain, Michelle Rose, Rajeev J. Ram, J. V. Anguita, C. T. G. Smith, S. R. P. Silva, A. A. Abdo, M. Ackermann, M. Sikora, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, James B. Rosenzweig, David F. P. Pile, Tobias Vogl, Kabilan Sripathy, Ping Koy Lam, Ognjen Ilic, Harry A. Atwater, Bernhard W. Adams, Ibtissame Khaoua, Guillaume Graciani, François Amblard, Andrey Alexandrov, Giovanni De Lellis, Valeri Tioukov, Minh Pham, Xingyuan Lu, Jianwei Miao, Ewelina Obrzud, Monica Rainer, Tobias Herr, Joohyung Lee, Keunwoo Lee, Seung-Woo Kim, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, David Pile, Shilpi Gupta, Chung Hao Huang, Rajeev J. Ram, Ugur Parlatan, Medine Tuna Inanc, Gunay Basar, Sungjae Yoo, Jaewon Lee, Sungho Park, Dan Sporea, Laura Mihai, Ion Vâţã, Mário Silveirinha, D. Sporea, L. Mihai, Gang-Ding Peng, Seiichi Yamamoto, Kei Kamada, Akira Yoshikawa, Ron Cowen, Seiichi Yamamoto, Kazuhiko Ninomiya, Yoshiyuki Hirano, Lindsay M. Freeman, Lin Pang, Yeshaiahu Fainman, Ruiyu Mi, Chaoji Chen, Liangbing Hu, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Adrian Ghita, Pavel Matousek, Nick Stone, Eric Hand, A. S. Pirozhkov, T. Zh. Esirkepov, M. Kando, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Rafael A. Probst, Dinko Milaković, Ronald Holzwarth, Gunther Cronenberg, Philippe Brax, Hartmut Abele, T. P. Wrobel, K. M. Marzec, M. Baranska, Adam Mann, Zeeya Merali, Sara Mosca, Claudia Conti, Pavel Matousek, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Mikhail Korobko, Yiqiu Ma, Roman Schnabel, Jakub M. Surmacki, Benjamin J. Woodhams, Sarah E. Bohndiek",01 Dec 2022
/articles/s41563-019-0565-3,Dimensionally and environmentally ultra-stable polymer composites reinforced with carbon fibres,Multiple layers of diamond-like carbon films are shown to act as moisture barriers when conformally deposited on carbon fibre reinforced polymers used in space applications.,"nature, search, Cuiling Meng, Jin-Sheng Wu, Ivan I. Smalyukh, Chong Sheng, Hui Liu, Shining Zhu, C. Sheng, H. Liu, D. A. Genov, David Pile, Marlous Kamp, Jakub Surmacki, Sarah E. Bohndiek, Wenchao Yan, Colton Fruhling, Donald Umstadter, Ekta Jain, Michelle Rose, Rajeev J. Ram, J. V. Anguita, C. T. G. Smith, S. R. P. Silva, A. A. Abdo, M. Ackermann, M. Sikora, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, James B. Rosenzweig, David F. P. Pile, Tobias Vogl, Kabilan Sripathy, Ping Koy Lam, Ognjen Ilic, Harry A. Atwater, Bernhard W. Adams, Ibtissame Khaoua, Guillaume Graciani, François Amblard, Andrey Alexandrov, Giovanni De Lellis, Valeri Tioukov, Minh Pham, Xingyuan Lu, Jianwei Miao, Ewelina Obrzud, Monica Rainer, Tobias Herr, Joohyung Lee, Keunwoo Lee, Seung-Woo Kim, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, David Pile, Shilpi Gupta, Chung Hao Huang, Rajeev J. Ram, Ugur Parlatan, Medine Tuna Inanc, Gunay Basar, Sungjae Yoo, Jaewon Lee, Sungho Park, Dan Sporea, Laura Mihai, Ion Vâţã, Mário Silveirinha, D. Sporea, L. Mihai, Gang-Ding Peng, Seiichi Yamamoto, Kei Kamada, Akira Yoshikawa, Ron Cowen, Seiichi Yamamoto, Kazuhiko Ninomiya, Yoshiyuki Hirano, Lindsay M. Freeman, Lin Pang, Yeshaiahu Fainman, Ruiyu Mi, Chaoji Chen, Liangbing Hu, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Adrian Ghita, Pavel Matousek, Nick Stone, Eric Hand, A. S. Pirozhkov, T. Zh. Esirkepov, M. Kando, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Rafael A. Probst, Dinko Milaković, Ronald Holzwarth, Gunther Cronenberg, Philippe Brax, Hartmut Abele, T. P. Wrobel, K. M. Marzec, M. Baranska, Adam Mann, Zeeya Merali, Sara Mosca, Claudia Conti, Pavel Matousek, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Mikhail Korobko, Yiqiu Ma, Roman Schnabel, Jakub M. Surmacki, Benjamin J. Woodhams, Sarah E. Bohndiek",01 Dec 2022
/articles/nature08841,A change in the optical polarization associated with a γ-ray flare in the blazar 3C 279,"It is widely accepted that strong and variable radiation detected over all accessible energy bands in a number of active galaxies arises from a relativistic, Doppler-boosted jet pointing close to our line of sight. However, the size of the emitting zone and the location of this region relative to the central supermassive black hole are poorly understood. Here, the coincidence of a γ-ray flare with a dramatic change of optical polarization angle is reported, providing evidence for co-spatiality of optical and γ-ray emission regions and indicating a highly ordered jet magnetic field.","nature, search, Cuiling Meng, Jin-Sheng Wu, Ivan I. Smalyukh, Chong Sheng, Hui Liu, Shining Zhu, C. Sheng, H. Liu, D. A. Genov, David Pile, Marlous Kamp, Jakub Surmacki, Sarah E. Bohndiek, Wenchao Yan, Colton Fruhling, Donald Umstadter, Ekta Jain, Michelle Rose, Rajeev J. Ram, J. V. Anguita, C. T. G. Smith, S. R. P. Silva, A. A. Abdo, M. Ackermann, M. Sikora, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, James B. Rosenzweig, David F. P. Pile, Tobias Vogl, Kabilan Sripathy, Ping Koy Lam, Ognjen Ilic, Harry A. Atwater, Bernhard W. Adams, Ibtissame Khaoua, Guillaume Graciani, François Amblard, Andrey Alexandrov, Giovanni De Lellis, Valeri Tioukov, Minh Pham, Xingyuan Lu, Jianwei Miao, Ewelina Obrzud, Monica Rainer, Tobias Herr, Joohyung Lee, Keunwoo Lee, Seung-Woo Kim, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, David Pile, Shilpi Gupta, Chung Hao Huang, Rajeev J. Ram, Ugur Parlatan, Medine Tuna Inanc, Gunay Basar, Sungjae Yoo, Jaewon Lee, Sungho Park, Dan Sporea, Laura Mihai, Ion Vâţã, Mário Silveirinha, D. Sporea, L. Mihai, Gang-Ding Peng, Seiichi Yamamoto, Kei Kamada, Akira Yoshikawa, Ron Cowen, Seiichi Yamamoto, Kazuhiko Ninomiya, Yoshiyuki Hirano, Lindsay M. Freeman, Lin Pang, Yeshaiahu Fainman, Ruiyu Mi, Chaoji Chen, Liangbing Hu, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Adrian Ghita, Pavel Matousek, Nick Stone, Eric Hand, A. S. Pirozhkov, T. Zh. Esirkepov, M. Kando, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Rafael A. Probst, Dinko Milaković, Ronald Holzwarth, Gunther Cronenberg, Philippe Brax, Hartmut Abele, T. P. Wrobel, K. M. Marzec, M. Baranska, Adam Mann, Zeeya Merali, Sara Mosca, Claudia Conti, Pavel Matousek, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Mikhail Korobko, Yiqiu Ma, Roman Schnabel, Jakub M. Surmacki, Benjamin J. Woodhams, Sarah E. Bohndiek",01 Dec 2022
/articles/s41598-024-62543-9,In situ brain tumor detection using a Raman spectroscopy system—results of a multicenter study,Transcriptional profiles of single living cells are generated from Raman imaging data.,"nature, search, Cuiling Meng, Jin-Sheng Wu, Ivan I. Smalyukh, Chong Sheng, Hui Liu, Shining Zhu, C. Sheng, H. Liu, D. A. Genov, David Pile, Marlous Kamp, Jakub Surmacki, Sarah E. Bohndiek, Wenchao Yan, Colton Fruhling, Donald Umstadter, Ekta Jain, Michelle Rose, Rajeev J. Ram, J. V. Anguita, C. T. G. Smith, S. R. P. Silva, A. A. Abdo, M. Ackermann, M. Sikora, Katherine Ember, Frédérick Dallaire, Kevin Petrecca, Koseki J. Kobayashi-Kirschvink, Charles S. Comiter, Aviv Regev, James B. Rosenzweig, David F. P. Pile, Tobias Vogl, Kabilan Sripathy, Ping Koy Lam, Ognjen Ilic, Harry A. Atwater, Bernhard W. Adams, Ibtissame Khaoua, Guillaume Graciani, François Amblard, Andrey Alexandrov, Giovanni De Lellis, Valeri Tioukov, Minh Pham, Xingyuan Lu, Jianwei Miao, Ewelina Obrzud, Monica Rainer, Tobias Herr, Joohyung Lee, Keunwoo Lee, Seung-Woo Kim, Manuel Sigle, Anne-Katrin Rohlfing, Meinrad Paul Gawaz, David Pile, Shilpi Gupta, Chung Hao Huang, Rajeev J. Ram, Ugur Parlatan, Medine Tuna Inanc, Gunay Basar, Sungjae Yoo, Jaewon Lee, Sungho Park, Dan Sporea, Laura Mihai, Ion Vâţã, Mário Silveirinha, D. Sporea, L. Mihai, Gang-Ding Peng, Seiichi Yamamoto, Kei Kamada, Akira Yoshikawa, Ron Cowen, Seiichi Yamamoto, Kazuhiko Ninomiya, Yoshiyuki Hirano, Lindsay M. Freeman, Lin Pang, Yeshaiahu Fainman, Ruiyu Mi, Chaoji Chen, Liangbing Hu, Annemarie L. Exarhos, David A. Hopper, Lee C. Bassett, Adrian Ghita, Pavel Matousek, Nick Stone, Eric Hand, A. S. Pirozhkov, T. Zh. Esirkepov, M. Kando, Travis M. Shaffer, Edwin C. Pratt, Jan Grimm, Rafael A. Probst, Dinko Milaković, Ronald Holzwarth, Gunther Cronenberg, Philippe Brax, Hartmut Abele, T. P. Wrobel, K. M. Marzec, M. Baranska, Adam Mann, Zeeya Merali, Sara Mosca, Claudia Conti, Pavel Matousek, Eduardo G. Yukihara, Stephen W. S. McKeever, Jeppe B. Christensen, Carl Banbury, Richard Mason, Pola Goldberg Oppenheimer, William F. Herrington Jr., Gajendra P. Singh, Rajeev J. Ram, Mikhail Korobko, Yiqiu Ma, Roman Schnabel, Jakub M. Surmacki, Benjamin J. Woodhams, Sarah E. Bohndiek",01 Dec 2022
