href,title,description,authors,date_published
/articles/s41586-020-2724-8,Homeostatic mini-intestines through scaffold-guided organoid morphogenesis,"Miniature gut tubes grown in vitro from mouse intestinal stem cells are perfusable, can be colonized with microorganisms and exhibit a similar arrangement and diversity of specialized cell types to intestines in vivo.","nature, search, Mikhail Nikolaev, Olga Mitrofanova, Matthias P. Lutolf, Elda Bauda, Benoit Gallet, Cecile Morlot, Maryia Tsiareshyna, Te-Hsin Wang, I-Min Tso, Felix Sommer, Fredrik Bäckhed, Moritz Hofer, Matthias P. Lutolf, Ting Li, An Yan, Elliot M. Meyerowitz, Lieven Thorrez, Herman Vandenburgh, Chih-Chun Janet Lin, Meng C. Wang, Daniel Mucida, Mohammad Mushtaq Husain, Hilde Cheroutre, Maria Ermolaeva, Francesco Neri, K. Lenhard Rudolph, Elisa Masat, Chiara Gasparini, Roberta Bulla, Annalisa Pisciotta, Angel Manteca, Rosa Alduina, Xiaowei Wen, Jun Xie, Weiran Chai, Cesar E. Guzman, Jennifer L. Wood, Ashley E. Franks, Shuai Gao, Liying Yan, Fuchou Tang, T G A M Wolfs, S G Kallapur, B W Kramer, Qiming Wang, Xuanhe Zhao, Toby Lawrence, Gioacchino Natoli, Tomonari Nozaki, Shuji Shigenobu, Andrew J. Macpherson, Mercedes Gomez de Agüero, Stephanie C. Ganal-Vonarburg, Gil Mor, Paulomi Aldo, Ayesha B. Alvero, Jade Parker-Character, David R. Hager, Gerald B. Call, Tsung-Po Lai, Mark Simpson, Abraham Aviv, Edith Francoz, Philippe Ranocha, Vincent Burlat, Laura R Hmelo, Bradley R Borlee, Joe J Harrison, Jan Dirk van Elsas, Alexander V Semenov, Jack T Trevors",16 Sept 2020
/articles/s41467-024-45770-6,Ultrastructure of macromolecular assemblies contributing to bacterial spore resistance revealed by in situ cryo-electron tomography,"Bacterial endospores are among the most resilient forms of life. Here, authors reveal ultrastructural details of the spore chromosome and the multiprotein, multilayered extracellular coat, shedding light on mechanisms contributing to spore resistance.","nature, search, Mikhail Nikolaev, Olga Mitrofanova, Matthias P. Lutolf, Elda Bauda, Benoit Gallet, Cecile Morlot, Maryia Tsiareshyna, Te-Hsin Wang, I-Min Tso, Felix Sommer, Fredrik Bäckhed, Moritz Hofer, Matthias P. Lutolf, Ting Li, An Yan, Elliot M. Meyerowitz, Lieven Thorrez, Herman Vandenburgh, Chih-Chun Janet Lin, Meng C. Wang, Daniel Mucida, Mohammad Mushtaq Husain, Hilde Cheroutre, Maria Ermolaeva, Francesco Neri, K. Lenhard Rudolph, Elisa Masat, Chiara Gasparini, Roberta Bulla, Annalisa Pisciotta, Angel Manteca, Rosa Alduina, Xiaowei Wen, Jun Xie, Weiran Chai, Cesar E. Guzman, Jennifer L. Wood, Ashley E. Franks, Shuai Gao, Liying Yan, Fuchou Tang, T G A M Wolfs, S G Kallapur, B W Kramer, Qiming Wang, Xuanhe Zhao, Toby Lawrence, Gioacchino Natoli, Tomonari Nozaki, Shuji Shigenobu, Andrew J. Macpherson, Mercedes Gomez de Agüero, Stephanie C. Ganal-Vonarburg, Gil Mor, Paulomi Aldo, Ayesha B. Alvero, Jade Parker-Character, David R. Hager, Gerald B. Call, Tsung-Po Lai, Mark Simpson, Abraham Aviv, Edith Francoz, Philippe Ranocha, Vincent Burlat, Laura R Hmelo, Bradley R Borlee, Joe J Harrison, Jan Dirk van Elsas, Alexander V Semenov, Jack T Trevors",16 Sept 2020
/articles/s41598-024-61723-x,Bacteria inhabiting spider webs enhance host silk extensibility,"The gut microbiota, traditionally studied in the context of disease, has emerged as a key regulator during normal homeostasis. Here, Sommer and Bäckhed discuss how the gut microbiota promotes the development and homeostasis of the immune system and orchestrates several aspects of human physiology, including tissue morphogenesis, metabolism and even behaviour.","nature, search, Mikhail Nikolaev, Olga Mitrofanova, Matthias P. Lutolf, Elda Bauda, Benoit Gallet, Cecile Morlot, Maryia Tsiareshyna, Te-Hsin Wang, I-Min Tso, Felix Sommer, Fredrik Bäckhed, Moritz Hofer, Matthias P. Lutolf, Ting Li, An Yan, Elliot M. Meyerowitz, Lieven Thorrez, Herman Vandenburgh, Chih-Chun Janet Lin, Meng C. Wang, Daniel Mucida, Mohammad Mushtaq Husain, Hilde Cheroutre, Maria Ermolaeva, Francesco Neri, K. Lenhard Rudolph, Elisa Masat, Chiara Gasparini, Roberta Bulla, Annalisa Pisciotta, Angel Manteca, Rosa Alduina, Xiaowei Wen, Jun Xie, Weiran Chai, Cesar E. Guzman, Jennifer L. Wood, Ashley E. Franks, Shuai Gao, Liying Yan, Fuchou Tang, T G A M Wolfs, S G Kallapur, B W Kramer, Qiming Wang, Xuanhe Zhao, Toby Lawrence, Gioacchino Natoli, Tomonari Nozaki, Shuji Shigenobu, Andrew J. Macpherson, Mercedes Gomez de Agüero, Stephanie C. Ganal-Vonarburg, Gil Mor, Paulomi Aldo, Ayesha B. Alvero, Jade Parker-Character, David R. Hager, Gerald B. Call, Tsung-Po Lai, Mark Simpson, Abraham Aviv, Edith Francoz, Philippe Ranocha, Vincent Burlat, Laura R Hmelo, Bradley R Borlee, Joe J Harrison, Jan Dirk van Elsas, Alexander V Semenov, Jack T Trevors",16 Sept 2020
/articles/nrmicro2974,The gut microbiota — masters of host development and physiology,"The gut microbiota, traditionally studied in the context of disease, has emerged as a key regulator during normal homeostasis. Here, Sommer and Bäckhed discuss how the gut microbiota promotes the development and homeostasis of the immune system and orchestrates several aspects of human physiology, including tissue morphogenesis, metabolism and even behaviour.","nature, search, Mikhail Nikolaev, Olga Mitrofanova, Matthias P. Lutolf, Elda Bauda, Benoit Gallet, Cecile Morlot, Maryia Tsiareshyna, Te-Hsin Wang, I-Min Tso, Felix Sommer, Fredrik Bäckhed, Moritz Hofer, Matthias P. Lutolf, Ting Li, An Yan, Elliot M. Meyerowitz, Lieven Thorrez, Herman Vandenburgh, Chih-Chun Janet Lin, Meng C. Wang, Daniel Mucida, Mohammad Mushtaq Husain, Hilde Cheroutre, Maria Ermolaeva, Francesco Neri, K. Lenhard Rudolph, Elisa Masat, Chiara Gasparini, Roberta Bulla, Annalisa Pisciotta, Angel Manteca, Rosa Alduina, Xiaowei Wen, Jun Xie, Weiran Chai, Cesar E. Guzman, Jennifer L. Wood, Ashley E. Franks, Shuai Gao, Liying Yan, Fuchou Tang, T G A M Wolfs, S G Kallapur, B W Kramer, Qiming Wang, Xuanhe Zhao, Toby Lawrence, Gioacchino Natoli, Tomonari Nozaki, Shuji Shigenobu, Andrew J. Macpherson, Mercedes Gomez de Agüero, Stephanie C. Ganal-Vonarburg, Gil Mor, Paulomi Aldo, Ayesha B. Alvero, Jade Parker-Character, David R. Hager, Gerald B. Call, Tsung-Po Lai, Mark Simpson, Abraham Aviv, Edith Francoz, Philippe Ranocha, Vincent Burlat, Laura R Hmelo, Bradley R Borlee, Joe J Harrison, Jan Dirk van Elsas, Alexander V Semenov, Jack T Trevors",16 Sept 2020
/articles/s41578-021-00279-y,Engineering organoids,"Organoids are cellular 3D models of organs, which provide powerful in vitro platforms for the investigation of tissue and disease biology. In this Review, the authors investigate engineering approaches, including cellular engineering, designer matrices and microfluidics, to improve the reproducibility and physiological relevance of organoids.","nature, search, Mikhail Nikolaev, Olga Mitrofanova, Matthias P. Lutolf, Elda Bauda, Benoit Gallet, Cecile Morlot, Maryia Tsiareshyna, Te-Hsin Wang, I-Min Tso, Felix Sommer, Fredrik Bäckhed, Moritz Hofer, Matthias P. Lutolf, Ting Li, An Yan, Elliot M. Meyerowitz, Lieven Thorrez, Herman Vandenburgh, Chih-Chun Janet Lin, Meng C. Wang, Daniel Mucida, Mohammad Mushtaq Husain, Hilde Cheroutre, Maria Ermolaeva, Francesco Neri, K. Lenhard Rudolph, Elisa Masat, Chiara Gasparini, Roberta Bulla, Annalisa Pisciotta, Angel Manteca, Rosa Alduina, Xiaowei Wen, Jun Xie, Weiran Chai, Cesar E. Guzman, Jennifer L. Wood, Ashley E. Franks, Shuai Gao, Liying Yan, Fuchou Tang, T G A M Wolfs, S G Kallapur, B W Kramer, Qiming Wang, Xuanhe Zhao, Toby Lawrence, Gioacchino Natoli, Tomonari Nozaki, Shuji Shigenobu, Andrew J. Macpherson, Mercedes Gomez de Agüero, Stephanie C. Ganal-Vonarburg, Gil Mor, Paulomi Aldo, Ayesha B. Alvero, Jade Parker-Character, David R. Hager, Gerald B. Call, Tsung-Po Lai, Mark Simpson, Abraham Aviv, Edith Francoz, Philippe Ranocha, Vincent Burlat, Laura R Hmelo, Bradley R Borlee, Joe J Harrison, Jan Dirk van Elsas, Alexander V Semenov, Jack T Trevors",16 Sept 2020
/articles/s41467-019-08575-6,Calcium signals are necessary to establish auxin transporter polarity in a plant stem cell niche,"Auxin transport and microtubule orientation respond to mechanical stimulation at the shoot apical meristem. Here Li et al. show that mechanical stimulation causes cytosolic calcium concentration transients, and preventing such changes impairs reorientation of the PIN1 auxin efflux carrier, but not of microtubules.","nature, search, Mikhail Nikolaev, Olga Mitrofanova, Matthias P. Lutolf, Elda Bauda, Benoit Gallet, Cecile Morlot, Maryia Tsiareshyna, Te-Hsin Wang, I-Min Tso, Felix Sommer, Fredrik Bäckhed, Moritz Hofer, Matthias P. Lutolf, Ting Li, An Yan, Elliot M. Meyerowitz, Lieven Thorrez, Herman Vandenburgh, Chih-Chun Janet Lin, Meng C. Wang, Daniel Mucida, Mohammad Mushtaq Husain, Hilde Cheroutre, Maria Ermolaeva, Francesco Neri, K. Lenhard Rudolph, Elisa Masat, Chiara Gasparini, Roberta Bulla, Annalisa Pisciotta, Angel Manteca, Rosa Alduina, Xiaowei Wen, Jun Xie, Weiran Chai, Cesar E. Guzman, Jennifer L. Wood, Ashley E. Franks, Shuai Gao, Liying Yan, Fuchou Tang, T G A M Wolfs, S G Kallapur, B W Kramer, Qiming Wang, Xuanhe Zhao, Toby Lawrence, Gioacchino Natoli, Tomonari Nozaki, Shuji Shigenobu, Andrew J. Macpherson, Mercedes Gomez de Agüero, Stephanie C. Ganal-Vonarburg, Gil Mor, Paulomi Aldo, Ayesha B. Alvero, Jade Parker-Character, David R. Hager, Gerald B. Call, Tsung-Po Lai, Mark Simpson, Abraham Aviv, Edith Francoz, Philippe Ranocha, Vincent Burlat, Laura R Hmelo, Bradley R Borlee, Joe J Harrison, Jan Dirk van Elsas, Alexander V Semenov, Jack T Trevors",16 Sept 2020
/articles/s41564-023-01404-z,Soluble lectin LePin mediates alga recognition to initiate coral–algal endosymbiosis,"A set of genes, including a lectin, two scavenger receptors and two actin regulators, were found to aid the early steps of coral–algal endosymbiosis, including algae recognition and uptake, in aXeniasoft coral species. The findings were made possible by using a combination of RNA interference-mediated gene knockdown, single-cell RNA sequencing (scRNA-seq), bioinformatics and cell biology approaches.","nature, search, Mikhail Nikolaev, Olga Mitrofanova, Matthias P. Lutolf, Elda Bauda, Benoit Gallet, Cecile Morlot, Maryia Tsiareshyna, Te-Hsin Wang, I-Min Tso, Felix Sommer, Fredrik Bäckhed, Moritz Hofer, Matthias P. Lutolf, Ting Li, An Yan, Elliot M. Meyerowitz, Lieven Thorrez, Herman Vandenburgh, Chih-Chun Janet Lin, Meng C. Wang, Daniel Mucida, Mohammad Mushtaq Husain, Hilde Cheroutre, Maria Ermolaeva, Francesco Neri, K. Lenhard Rudolph, Elisa Masat, Chiara Gasparini, Roberta Bulla, Annalisa Pisciotta, Angel Manteca, Rosa Alduina, Xiaowei Wen, Jun Xie, Weiran Chai, Cesar E. Guzman, Jennifer L. Wood, Ashley E. Franks, Shuai Gao, Liying Yan, Fuchou Tang, T G A M Wolfs, S G Kallapur, B W Kramer, Qiming Wang, Xuanhe Zhao, Toby Lawrence, Gioacchino Natoli, Tomonari Nozaki, Shuji Shigenobu, Andrew J. Macpherson, Mercedes Gomez de Agüero, Stephanie C. Ganal-Vonarburg, Gil Mor, Paulomi Aldo, Ayesha B. Alvero, Jade Parker-Character, David R. Hager, Gerald B. Call, Tsung-Po Lai, Mark Simpson, Abraham Aviv, Edith Francoz, Philippe Ranocha, Vincent Burlat, Laura R Hmelo, Bradley R Borlee, Joe J Harrison, Jan Dirk van Elsas, Alexander V Semenov, Jack T Trevors",16 Sept 2020
/articles/s41587-019-0043-0,Challenges in the quest for ‘clean meat’,Lin and Wang show that methionine deprivation reprogrammes bacterial metabolism to regulate host mitochondrial dynamics and lipid metabolism inCaenorhabditis elegansthrough nuclear receptor and Hedgehog signalling.,"nature, search, Mikhail Nikolaev, Olga Mitrofanova, Matthias P. Lutolf, Elda Bauda, Benoit Gallet, Cecile Morlot, Maryia Tsiareshyna, Te-Hsin Wang, I-Min Tso, Felix Sommer, Fredrik Bäckhed, Moritz Hofer, Matthias P. Lutolf, Ting Li, An Yan, Elliot M. Meyerowitz, Lieven Thorrez, Herman Vandenburgh, Chih-Chun Janet Lin, Meng C. Wang, Daniel Mucida, Mohammad Mushtaq Husain, Hilde Cheroutre, Maria Ermolaeva, Francesco Neri, K. Lenhard Rudolph, Elisa Masat, Chiara Gasparini, Roberta Bulla, Annalisa Pisciotta, Angel Manteca, Rosa Alduina, Xiaowei Wen, Jun Xie, Weiran Chai, Cesar E. Guzman, Jennifer L. Wood, Ashley E. Franks, Shuai Gao, Liying Yan, Fuchou Tang, T G A M Wolfs, S G Kallapur, B W Kramer, Qiming Wang, Xuanhe Zhao, Toby Lawrence, Gioacchino Natoli, Tomonari Nozaki, Shuji Shigenobu, Andrew J. Macpherson, Mercedes Gomez de Agüero, Stephanie C. Ganal-Vonarburg, Gil Mor, Paulomi Aldo, Ayesha B. Alvero, Jade Parker-Character, David R. Hager, Gerald B. Call, Tsung-Po Lai, Mark Simpson, Abraham Aviv, Edith Francoz, Philippe Ranocha, Vincent Burlat, Laura R Hmelo, Bradley R Borlee, Joe J Harrison, Jan Dirk van Elsas, Alexander V Semenov, Jack T Trevors",16 Sept 2020
/articles/ncb3515,Microbial metabolites regulate host lipid metabolism through NR5A–Hedgehog signalling,Lin and Wang show that methionine deprivation reprogrammes bacterial metabolism to regulate host mitochondrial dynamics and lipid metabolism inCaenorhabditis elegansthrough nuclear receptor and Hedgehog signalling.,"nature, search, Mikhail Nikolaev, Olga Mitrofanova, Matthias P. Lutolf, Elda Bauda, Benoit Gallet, Cecile Morlot, Maryia Tsiareshyna, Te-Hsin Wang, I-Min Tso, Felix Sommer, Fredrik Bäckhed, Moritz Hofer, Matthias P. Lutolf, Ting Li, An Yan, Elliot M. Meyerowitz, Lieven Thorrez, Herman Vandenburgh, Chih-Chun Janet Lin, Meng C. Wang, Daniel Mucida, Mohammad Mushtaq Husain, Hilde Cheroutre, Maria Ermolaeva, Francesco Neri, K. Lenhard Rudolph, Elisa Masat, Chiara Gasparini, Roberta Bulla, Annalisa Pisciotta, Angel Manteca, Rosa Alduina, Xiaowei Wen, Jun Xie, Weiran Chai, Cesar E. Guzman, Jennifer L. Wood, Ashley E. Franks, Shuai Gao, Liying Yan, Fuchou Tang, T G A M Wolfs, S G Kallapur, B W Kramer, Qiming Wang, Xuanhe Zhao, Toby Lawrence, Gioacchino Natoli, Tomonari Nozaki, Shuji Shigenobu, Andrew J. Macpherson, Mercedes Gomez de Agüero, Stephanie C. Ganal-Vonarburg, Gil Mor, Paulomi Aldo, Ayesha B. Alvero, Jade Parker-Character, David R. Hager, Gerald B. Call, Tsung-Po Lai, Mark Simpson, Abraham Aviv, Edith Francoz, Philippe Ranocha, Vincent Burlat, Laura R Hmelo, Bradley R Borlee, Joe J Harrison, Jan Dirk van Elsas, Alexander V Semenov, Jack T Trevors",16 Sept 2020
/articles/ni.2523,Transcriptional reprogramming of mature CD4+ helper T cells generates distinct MHC class II–restricted cytotoxic T lymphocytes,CD4+and CD8+T cells are considered distinct functional lymphocyte subsets. Cheroutre and Mucida and their colleagues show that mature gut-associated CD4+T cells lose ThPOK expression and reactivate CD8 cytolytic effector programs.,"nature, search, Mikhail Nikolaev, Olga Mitrofanova, Matthias P. Lutolf, Elda Bauda, Benoit Gallet, Cecile Morlot, Maryia Tsiareshyna, Te-Hsin Wang, I-Min Tso, Felix Sommer, Fredrik Bäckhed, Moritz Hofer, Matthias P. Lutolf, Ting Li, An Yan, Elliot M. Meyerowitz, Lieven Thorrez, Herman Vandenburgh, Chih-Chun Janet Lin, Meng C. Wang, Daniel Mucida, Mohammad Mushtaq Husain, Hilde Cheroutre, Maria Ermolaeva, Francesco Neri, K. Lenhard Rudolph, Elisa Masat, Chiara Gasparini, Roberta Bulla, Annalisa Pisciotta, Angel Manteca, Rosa Alduina, Xiaowei Wen, Jun Xie, Weiran Chai, Cesar E. Guzman, Jennifer L. Wood, Ashley E. Franks, Shuai Gao, Liying Yan, Fuchou Tang, T G A M Wolfs, S G Kallapur, B W Kramer, Qiming Wang, Xuanhe Zhao, Toby Lawrence, Gioacchino Natoli, Tomonari Nozaki, Shuji Shigenobu, Andrew J. Macpherson, Mercedes Gomez de Agüero, Stephanie C. Ganal-Vonarburg, Gil Mor, Paulomi Aldo, Ayesha B. Alvero, Jade Parker-Character, David R. Hager, Gerald B. Call, Tsung-Po Lai, Mark Simpson, Abraham Aviv, Edith Francoz, Philippe Ranocha, Vincent Burlat, Laura R Hmelo, Bradley R Borlee, Joe J Harrison, Jan Dirk van Elsas, Alexander V Semenov, Jack T Trevors",16 Sept 2020
