href,title,description,authors,date_published
/articles/nri3769,Host–microorganism interactions in lung diseases,"The recent realization that the airways harbour a steady-state microbiota necessitates a shift in our understanding of respiratory health and disease, drawing from similarities with host–microorganism relationships in the intestines.","nature, search, Benjamin J. Marsland, Eva S. Gollwitzer, Nicole D. Sonnert, Connor E. Rosen, Noah W. Palm, Kai Li, Avradip Chatterjee, David M. Underhill, Yisu Gu, Raquel Bartolomé-Casado, Fiona Powrie, Yasmine Belkaid, Samira Tamoutounour, Dimitry Wintermantel, Barbara Locke, Joachim R. de Miranda, Lu Jia, Yiyang Jiang, Yi Liu, Michael H. Lee, Sean-Paul Nuccio, Manuela Raffatellu, Laura Sibley, Charlotte Sarfas, Sally Sharpe, Kirsty Minton, Carlo Pifferi, Roberto Fuentes, Alberto Fernández-Tejada, Weronika Wozniak, Emmanuel Sechet, Brice Sperandio, Gabriela Rios Martini, Ekaterina Tikhonova, Petra Bacher, Kim A. Tran, Erwan Pernet, Maziar Divangahi, Jeremy Di Domizio, Cyrine Belkhodja, Michel Gilliet, Samuel P. Nobs, Eran Elinav, Mo Xu, Maria Pokrovskii, Dan R. Littman, Hai Li, Julien P. Limenitakis, Andrew J. Macpherson, Omry Koren, Liza Konnikova, Maria Carmen Collado, Jakub Abramson, Jan Dobeš, Gregory F. Sonnenberg, Keiichiro Mine, Seiho Nagafuchi, Keizo Anzai, Tim Rollenske, Sophie Burkhalter, Andrew J. Macpherson, Tadashi Takeuchi, Eiji Miyauchi, Hiroshi Ohno, Simon Zenke, Mauricio P. Sica, Jan C. Rohr, Deepshika Ramanan, Alvin Pratama, Christophe Benoist, Yuanyuan Gao, Yan Wang, Vanja Lazarevic, Laurent Abel, Marc Swidergall, Norma V. Solis, Scott G. Filler, Xinyang Song, Haohao Zhang, Dennis L. Kasper, Jutaek Nam, April Kim, Sejin Son, Daniel F. Zegarra-Ruiz, Dasom V. Kim, Gretchen E. Diehl, Samantha A. Scott, Jingjing Fu, Pamela V. Chang, Katherine Donald, B. Brett Finlay, Claire Maudet, Marouane Kheloufi, Marc Lecuit, Scott Gardner, Yibo Jin, Doryen Bubeck, Spencer V. Nyholm, Joerg Graf, Ryan Nett, Julia Osterman, Dimitry Wintermantel, Joachim R. de Miranda, Lance W. Peterson, David Artis, Radu Tusco, Anne-Claire Jacomin, Ioannis P. Nezis, Tutul Kumar Saha, Mariom, Zakir Hossain, Hao Qin, Yang Chen, Ruifang Zhao, Sarah Lebeer, Jos Vanderleyden, Sigrid C. J. De Keersmaecker, Peng Wang, Ana M. Gamero, Liselotte E. Jensen, Camille Danne, Jurate Skerniskyte, Harry Sokol, Venizelos Papayannopoulos, Lucy Bird, Olive Leavy, Yvonne Bordon",25 Nov 2014
/articles/s41586-024-07162-0,A host–microbiota interactome reveals extensive transkingdom connectivity,A new technology for proteome-scale assessment of human exoproteome–microbiome interactions exposes an extensive network of transkingdom connectivity.,"nature, search, Benjamin J. Marsland, Eva S. Gollwitzer, Nicole D. Sonnert, Connor E. Rosen, Noah W. Palm, Kai Li, Avradip Chatterjee, David M. Underhill, Yisu Gu, Raquel Bartolomé-Casado, Fiona Powrie, Yasmine Belkaid, Samira Tamoutounour, Dimitry Wintermantel, Barbara Locke, Joachim R. de Miranda, Lu Jia, Yiyang Jiang, Yi Liu, Michael H. Lee, Sean-Paul Nuccio, Manuela Raffatellu, Laura Sibley, Charlotte Sarfas, Sally Sharpe, Kirsty Minton, Carlo Pifferi, Roberto Fuentes, Alberto Fernández-Tejada, Weronika Wozniak, Emmanuel Sechet, Brice Sperandio, Gabriela Rios Martini, Ekaterina Tikhonova, Petra Bacher, Kim A. Tran, Erwan Pernet, Maziar Divangahi, Jeremy Di Domizio, Cyrine Belkhodja, Michel Gilliet, Samuel P. Nobs, Eran Elinav, Mo Xu, Maria Pokrovskii, Dan R. Littman, Hai Li, Julien P. Limenitakis, Andrew J. Macpherson, Omry Koren, Liza Konnikova, Maria Carmen Collado, Jakub Abramson, Jan Dobeš, Gregory F. Sonnenberg, Keiichiro Mine, Seiho Nagafuchi, Keizo Anzai, Tim Rollenske, Sophie Burkhalter, Andrew J. Macpherson, Tadashi Takeuchi, Eiji Miyauchi, Hiroshi Ohno, Simon Zenke, Mauricio P. Sica, Jan C. Rohr, Deepshika Ramanan, Alvin Pratama, Christophe Benoist, Yuanyuan Gao, Yan Wang, Vanja Lazarevic, Laurent Abel, Marc Swidergall, Norma V. Solis, Scott G. Filler, Xinyang Song, Haohao Zhang, Dennis L. Kasper, Jutaek Nam, April Kim, Sejin Son, Daniel F. Zegarra-Ruiz, Dasom V. Kim, Gretchen E. Diehl, Samantha A. Scott, Jingjing Fu, Pamela V. Chang, Katherine Donald, B. Brett Finlay, Claire Maudet, Marouane Kheloufi, Marc Lecuit, Scott Gardner, Yibo Jin, Doryen Bubeck, Spencer V. Nyholm, Joerg Graf, Ryan Nett, Julia Osterman, Dimitry Wintermantel, Joachim R. de Miranda, Lance W. Peterson, David Artis, Radu Tusco, Anne-Claire Jacomin, Ioannis P. Nezis, Tutul Kumar Saha, Mariom, Zakir Hossain, Hao Qin, Yang Chen, Ruifang Zhao, Sarah Lebeer, Jos Vanderleyden, Sigrid C. J. De Keersmaecker, Peng Wang, Ana M. Gamero, Liselotte E. Jensen, Camille Danne, Jurate Skerniskyte, Harry Sokol, Venizelos Papayannopoulos, Lucy Bird, Olive Leavy, Yvonne Bordon",25 Nov 2014
/articles/s41586-024-07499-6,Profiling phagosome proteins identifies PD-L1 as a fungal-binding receptor,Proximity labelling of phagosomal contents is used to identify proteins that localize to phagosomes in host–microorganism interactions.,"nature, search, Benjamin J. Marsland, Eva S. Gollwitzer, Nicole D. Sonnert, Connor E. Rosen, Noah W. Palm, Kai Li, Avradip Chatterjee, David M. Underhill, Yisu Gu, Raquel Bartolomé-Casado, Fiona Powrie, Yasmine Belkaid, Samira Tamoutounour, Dimitry Wintermantel, Barbara Locke, Joachim R. de Miranda, Lu Jia, Yiyang Jiang, Yi Liu, Michael H. Lee, Sean-Paul Nuccio, Manuela Raffatellu, Laura Sibley, Charlotte Sarfas, Sally Sharpe, Kirsty Minton, Carlo Pifferi, Roberto Fuentes, Alberto Fernández-Tejada, Weronika Wozniak, Emmanuel Sechet, Brice Sperandio, Gabriela Rios Martini, Ekaterina Tikhonova, Petra Bacher, Kim A. Tran, Erwan Pernet, Maziar Divangahi, Jeremy Di Domizio, Cyrine Belkhodja, Michel Gilliet, Samuel P. Nobs, Eran Elinav, Mo Xu, Maria Pokrovskii, Dan R. Littman, Hai Li, Julien P. Limenitakis, Andrew J. Macpherson, Omry Koren, Liza Konnikova, Maria Carmen Collado, Jakub Abramson, Jan Dobeš, Gregory F. Sonnenberg, Keiichiro Mine, Seiho Nagafuchi, Keizo Anzai, Tim Rollenske, Sophie Burkhalter, Andrew J. Macpherson, Tadashi Takeuchi, Eiji Miyauchi, Hiroshi Ohno, Simon Zenke, Mauricio P. Sica, Jan C. Rohr, Deepshika Ramanan, Alvin Pratama, Christophe Benoist, Yuanyuan Gao, Yan Wang, Vanja Lazarevic, Laurent Abel, Marc Swidergall, Norma V. Solis, Scott G. Filler, Xinyang Song, Haohao Zhang, Dennis L. Kasper, Jutaek Nam, April Kim, Sejin Son, Daniel F. Zegarra-Ruiz, Dasom V. Kim, Gretchen E. Diehl, Samantha A. Scott, Jingjing Fu, Pamela V. Chang, Katherine Donald, B. Brett Finlay, Claire Maudet, Marouane Kheloufi, Marc Lecuit, Scott Gardner, Yibo Jin, Doryen Bubeck, Spencer V. Nyholm, Joerg Graf, Ryan Nett, Julia Osterman, Dimitry Wintermantel, Joachim R. de Miranda, Lance W. Peterson, David Artis, Radu Tusco, Anne-Claire Jacomin, Ioannis P. Nezis, Tutul Kumar Saha, Mariom, Zakir Hossain, Hao Qin, Yang Chen, Ruifang Zhao, Sarah Lebeer, Jos Vanderleyden, Sigrid C. J. De Keersmaecker, Peng Wang, Ana M. Gamero, Liselotte E. Jensen, Camille Danne, Jurate Skerniskyte, Harry Sokol, Venizelos Papayannopoulos, Lucy Bird, Olive Leavy, Yvonne Bordon",25 Nov 2014
/articles/s41586-024-07251-0,Immune microniches shape intestinal Treg function,"Studies in mice show that effector T regulatory cells in the gut are most functional in the lamina propria, but this homeostatic niche is disrupted in inflammation, suggesting a spatial mechanism of tolerance to commensal microorganisms.","nature, search, Benjamin J. Marsland, Eva S. Gollwitzer, Nicole D. Sonnert, Connor E. Rosen, Noah W. Palm, Kai Li, Avradip Chatterjee, David M. Underhill, Yisu Gu, Raquel Bartolomé-Casado, Fiona Powrie, Yasmine Belkaid, Samira Tamoutounour, Dimitry Wintermantel, Barbara Locke, Joachim R. de Miranda, Lu Jia, Yiyang Jiang, Yi Liu, Michael H. Lee, Sean-Paul Nuccio, Manuela Raffatellu, Laura Sibley, Charlotte Sarfas, Sally Sharpe, Kirsty Minton, Carlo Pifferi, Roberto Fuentes, Alberto Fernández-Tejada, Weronika Wozniak, Emmanuel Sechet, Brice Sperandio, Gabriela Rios Martini, Ekaterina Tikhonova, Petra Bacher, Kim A. Tran, Erwan Pernet, Maziar Divangahi, Jeremy Di Domizio, Cyrine Belkhodja, Michel Gilliet, Samuel P. Nobs, Eran Elinav, Mo Xu, Maria Pokrovskii, Dan R. Littman, Hai Li, Julien P. Limenitakis, Andrew J. Macpherson, Omry Koren, Liza Konnikova, Maria Carmen Collado, Jakub Abramson, Jan Dobeš, Gregory F. Sonnenberg, Keiichiro Mine, Seiho Nagafuchi, Keizo Anzai, Tim Rollenske, Sophie Burkhalter, Andrew J. Macpherson, Tadashi Takeuchi, Eiji Miyauchi, Hiroshi Ohno, Simon Zenke, Mauricio P. Sica, Jan C. Rohr, Deepshika Ramanan, Alvin Pratama, Christophe Benoist, Yuanyuan Gao, Yan Wang, Vanja Lazarevic, Laurent Abel, Marc Swidergall, Norma V. Solis, Scott G. Filler, Xinyang Song, Haohao Zhang, Dennis L. Kasper, Jutaek Nam, April Kim, Sejin Son, Daniel F. Zegarra-Ruiz, Dasom V. Kim, Gretchen E. Diehl, Samantha A. Scott, Jingjing Fu, Pamela V. Chang, Katherine Donald, B. Brett Finlay, Claire Maudet, Marouane Kheloufi, Marc Lecuit, Scott Gardner, Yibo Jin, Doryen Bubeck, Spencer V. Nyholm, Joerg Graf, Ryan Nett, Julia Osterman, Dimitry Wintermantel, Joachim R. de Miranda, Lance W. Peterson, David Artis, Radu Tusco, Anne-Claire Jacomin, Ioannis P. Nezis, Tutul Kumar Saha, Mariom, Zakir Hossain, Hao Qin, Yang Chen, Ruifang Zhao, Sarah Lebeer, Jos Vanderleyden, Sigrid C. J. De Keersmaecker, Peng Wang, Ana M. Gamero, Liselotte E. Jensen, Camille Danne, Jurate Skerniskyte, Harry Sokol, Venizelos Papayannopoulos, Lucy Bird, Olive Leavy, Yvonne Bordon",25 Nov 2014
/articles/nri.2016.48,The influence of skin microorganisms on cutaneous immunity,"The skin is home to diverse microbial communities that constantly interact with host epithelial and immune cells. In this Review, the authors summarize how the skin microbiota can control innate and adaptive immunity to skin pathogens, as well as its influence on skin inflammatory diseases.","nature, search, Benjamin J. Marsland, Eva S. Gollwitzer, Nicole D. Sonnert, Connor E. Rosen, Noah W. Palm, Kai Li, Avradip Chatterjee, David M. Underhill, Yisu Gu, Raquel Bartolomé-Casado, Fiona Powrie, Yasmine Belkaid, Samira Tamoutounour, Dimitry Wintermantel, Barbara Locke, Joachim R. de Miranda, Lu Jia, Yiyang Jiang, Yi Liu, Michael H. Lee, Sean-Paul Nuccio, Manuela Raffatellu, Laura Sibley, Charlotte Sarfas, Sally Sharpe, Kirsty Minton, Carlo Pifferi, Roberto Fuentes, Alberto Fernández-Tejada, Weronika Wozniak, Emmanuel Sechet, Brice Sperandio, Gabriela Rios Martini, Ekaterina Tikhonova, Petra Bacher, Kim A. Tran, Erwan Pernet, Maziar Divangahi, Jeremy Di Domizio, Cyrine Belkhodja, Michel Gilliet, Samuel P. Nobs, Eran Elinav, Mo Xu, Maria Pokrovskii, Dan R. Littman, Hai Li, Julien P. Limenitakis, Andrew J. Macpherson, Omry Koren, Liza Konnikova, Maria Carmen Collado, Jakub Abramson, Jan Dobeš, Gregory F. Sonnenberg, Keiichiro Mine, Seiho Nagafuchi, Keizo Anzai, Tim Rollenske, Sophie Burkhalter, Andrew J. Macpherson, Tadashi Takeuchi, Eiji Miyauchi, Hiroshi Ohno, Simon Zenke, Mauricio P. Sica, Jan C. Rohr, Deepshika Ramanan, Alvin Pratama, Christophe Benoist, Yuanyuan Gao, Yan Wang, Vanja Lazarevic, Laurent Abel, Marc Swidergall, Norma V. Solis, Scott G. Filler, Xinyang Song, Haohao Zhang, Dennis L. Kasper, Jutaek Nam, April Kim, Sejin Son, Daniel F. Zegarra-Ruiz, Dasom V. Kim, Gretchen E. Diehl, Samantha A. Scott, Jingjing Fu, Pamela V. Chang, Katherine Donald, B. Brett Finlay, Claire Maudet, Marouane Kheloufi, Marc Lecuit, Scott Gardner, Yibo Jin, Doryen Bubeck, Spencer V. Nyholm, Joerg Graf, Ryan Nett, Julia Osterman, Dimitry Wintermantel, Joachim R. de Miranda, Lance W. Peterson, David Artis, Radu Tusco, Anne-Claire Jacomin, Ioannis P. Nezis, Tutul Kumar Saha, Mariom, Zakir Hossain, Hao Qin, Yang Chen, Ruifang Zhao, Sarah Lebeer, Jos Vanderleyden, Sigrid C. J. De Keersmaecker, Peng Wang, Ana M. Gamero, Liselotte E. Jensen, Camille Danne, Jurate Skerniskyte, Harry Sokol, Venizelos Papayannopoulos, Lucy Bird, Olive Leavy, Yvonne Bordon",25 Nov 2014
/articles/s41467-018-07914-3,Field-level clothianidin exposure affects bumblebees but generally not their pathogens,"The potential impact of neonicotinoid field exposure on bumblebee microbiota remains unclear. In a landscape—scale study, Wintermantel et al. show that whilst exposure to clothianidin impactsBombus terrestrisperformance, it does not affect levels of gut bacteria, viruses or intracellular parasites.","nature, search, Benjamin J. Marsland, Eva S. Gollwitzer, Nicole D. Sonnert, Connor E. Rosen, Noah W. Palm, Kai Li, Avradip Chatterjee, David M. Underhill, Yisu Gu, Raquel Bartolomé-Casado, Fiona Powrie, Yasmine Belkaid, Samira Tamoutounour, Dimitry Wintermantel, Barbara Locke, Joachim R. de Miranda, Lu Jia, Yiyang Jiang, Yi Liu, Michael H. Lee, Sean-Paul Nuccio, Manuela Raffatellu, Laura Sibley, Charlotte Sarfas, Sally Sharpe, Kirsty Minton, Carlo Pifferi, Roberto Fuentes, Alberto Fernández-Tejada, Weronika Wozniak, Emmanuel Sechet, Brice Sperandio, Gabriela Rios Martini, Ekaterina Tikhonova, Petra Bacher, Kim A. Tran, Erwan Pernet, Maziar Divangahi, Jeremy Di Domizio, Cyrine Belkhodja, Michel Gilliet, Samuel P. Nobs, Eran Elinav, Mo Xu, Maria Pokrovskii, Dan R. Littman, Hai Li, Julien P. Limenitakis, Andrew J. Macpherson, Omry Koren, Liza Konnikova, Maria Carmen Collado, Jakub Abramson, Jan Dobeš, Gregory F. Sonnenberg, Keiichiro Mine, Seiho Nagafuchi, Keizo Anzai, Tim Rollenske, Sophie Burkhalter, Andrew J. Macpherson, Tadashi Takeuchi, Eiji Miyauchi, Hiroshi Ohno, Simon Zenke, Mauricio P. Sica, Jan C. Rohr, Deepshika Ramanan, Alvin Pratama, Christophe Benoist, Yuanyuan Gao, Yan Wang, Vanja Lazarevic, Laurent Abel, Marc Swidergall, Norma V. Solis, Scott G. Filler, Xinyang Song, Haohao Zhang, Dennis L. Kasper, Jutaek Nam, April Kim, Sejin Son, Daniel F. Zegarra-Ruiz, Dasom V. Kim, Gretchen E. Diehl, Samantha A. Scott, Jingjing Fu, Pamela V. Chang, Katherine Donald, B. Brett Finlay, Claire Maudet, Marouane Kheloufi, Marc Lecuit, Scott Gardner, Yibo Jin, Doryen Bubeck, Spencer V. Nyholm, Joerg Graf, Ryan Nett, Julia Osterman, Dimitry Wintermantel, Joachim R. de Miranda, Lance W. Peterson, David Artis, Radu Tusco, Anne-Claire Jacomin, Ioannis P. Nezis, Tutul Kumar Saha, Mariom, Zakir Hossain, Hao Qin, Yang Chen, Ruifang Zhao, Sarah Lebeer, Jos Vanderleyden, Sigrid C. J. De Keersmaecker, Peng Wang, Ana M. Gamero, Liselotte E. Jensen, Camille Danne, Jurate Skerniskyte, Harry Sokol, Venizelos Papayannopoulos, Lucy Bird, Olive Leavy, Yvonne Bordon",25 Nov 2014
/articles/s41467-024-45473-y,Porphyromonas gingivalis aggravates colitis via a gut microbiota-linoleic acid metabolism-Th17/Treg cell balance axis,Periodontitis is closely linked with inflammatory bowel disease (IBD) and may have overlapping characteristics. Here the authors show that a periodontal pathogen P. gingivalis promotes intestinal inflammation by affecting the microbiome metabolite linoleic acid and Th17/Treg cell balance in the intestine.,"nature, search, Benjamin J. Marsland, Eva S. Gollwitzer, Nicole D. Sonnert, Connor E. Rosen, Noah W. Palm, Kai Li, Avradip Chatterjee, David M. Underhill, Yisu Gu, Raquel Bartolomé-Casado, Fiona Powrie, Yasmine Belkaid, Samira Tamoutounour, Dimitry Wintermantel, Barbara Locke, Joachim R. de Miranda, Lu Jia, Yiyang Jiang, Yi Liu, Michael H. Lee, Sean-Paul Nuccio, Manuela Raffatellu, Laura Sibley, Charlotte Sarfas, Sally Sharpe, Kirsty Minton, Carlo Pifferi, Roberto Fuentes, Alberto Fernández-Tejada, Weronika Wozniak, Emmanuel Sechet, Brice Sperandio, Gabriela Rios Martini, Ekaterina Tikhonova, Petra Bacher, Kim A. Tran, Erwan Pernet, Maziar Divangahi, Jeremy Di Domizio, Cyrine Belkhodja, Michel Gilliet, Samuel P. Nobs, Eran Elinav, Mo Xu, Maria Pokrovskii, Dan R. Littman, Hai Li, Julien P. Limenitakis, Andrew J. Macpherson, Omry Koren, Liza Konnikova, Maria Carmen Collado, Jakub Abramson, Jan Dobeš, Gregory F. Sonnenberg, Keiichiro Mine, Seiho Nagafuchi, Keizo Anzai, Tim Rollenske, Sophie Burkhalter, Andrew J. Macpherson, Tadashi Takeuchi, Eiji Miyauchi, Hiroshi Ohno, Simon Zenke, Mauricio P. Sica, Jan C. Rohr, Deepshika Ramanan, Alvin Pratama, Christophe Benoist, Yuanyuan Gao, Yan Wang, Vanja Lazarevic, Laurent Abel, Marc Swidergall, Norma V. Solis, Scott G. Filler, Xinyang Song, Haohao Zhang, Dennis L. Kasper, Jutaek Nam, April Kim, Sejin Son, Daniel F. Zegarra-Ruiz, Dasom V. Kim, Gretchen E. Diehl, Samantha A. Scott, Jingjing Fu, Pamela V. Chang, Katherine Donald, B. Brett Finlay, Claire Maudet, Marouane Kheloufi, Marc Lecuit, Scott Gardner, Yibo Jin, Doryen Bubeck, Spencer V. Nyholm, Joerg Graf, Ryan Nett, Julia Osterman, Dimitry Wintermantel, Joachim R. de Miranda, Lance W. Peterson, David Artis, Radu Tusco, Anne-Claire Jacomin, Ioannis P. Nezis, Tutul Kumar Saha, Mariom, Zakir Hossain, Hao Qin, Yang Chen, Ruifang Zhao, Sarah Lebeer, Jos Vanderleyden, Sigrid C. J. De Keersmaecker, Peng Wang, Ana M. Gamero, Liselotte E. Jensen, Camille Danne, Jurate Skerniskyte, Harry Sokol, Venizelos Papayannopoulos, Lucy Bird, Olive Leavy, Yvonne Bordon",25 Nov 2014
/articles/s41577-024-01057-x,How bile acids and the microbiota interact to shape host immunity,"Here, Raffatellu and co-workers discuss our growing understanding of how primary bile acids (which are cholesterol-derived molecules synthesized in the liver) and secondary bile acids (which are primary bile acids that have been microbially modified) shape immune responses in health and disease, with a particular focus on bile acids and intestinal immunity.","nature, search, Benjamin J. Marsland, Eva S. Gollwitzer, Nicole D. Sonnert, Connor E. Rosen, Noah W. Palm, Kai Li, Avradip Chatterjee, David M. Underhill, Yisu Gu, Raquel Bartolomé-Casado, Fiona Powrie, Yasmine Belkaid, Samira Tamoutounour, Dimitry Wintermantel, Barbara Locke, Joachim R. de Miranda, Lu Jia, Yiyang Jiang, Yi Liu, Michael H. Lee, Sean-Paul Nuccio, Manuela Raffatellu, Laura Sibley, Charlotte Sarfas, Sally Sharpe, Kirsty Minton, Carlo Pifferi, Roberto Fuentes, Alberto Fernández-Tejada, Weronika Wozniak, Emmanuel Sechet, Brice Sperandio, Gabriela Rios Martini, Ekaterina Tikhonova, Petra Bacher, Kim A. Tran, Erwan Pernet, Maziar Divangahi, Jeremy Di Domizio, Cyrine Belkhodja, Michel Gilliet, Samuel P. Nobs, Eran Elinav, Mo Xu, Maria Pokrovskii, Dan R. Littman, Hai Li, Julien P. Limenitakis, Andrew J. Macpherson, Omry Koren, Liza Konnikova, Maria Carmen Collado, Jakub Abramson, Jan Dobeš, Gregory F. Sonnenberg, Keiichiro Mine, Seiho Nagafuchi, Keizo Anzai, Tim Rollenske, Sophie Burkhalter, Andrew J. Macpherson, Tadashi Takeuchi, Eiji Miyauchi, Hiroshi Ohno, Simon Zenke, Mauricio P. Sica, Jan C. Rohr, Deepshika Ramanan, Alvin Pratama, Christophe Benoist, Yuanyuan Gao, Yan Wang, Vanja Lazarevic, Laurent Abel, Marc Swidergall, Norma V. Solis, Scott G. Filler, Xinyang Song, Haohao Zhang, Dennis L. Kasper, Jutaek Nam, April Kim, Sejin Son, Daniel F. Zegarra-Ruiz, Dasom V. Kim, Gretchen E. Diehl, Samantha A. Scott, Jingjing Fu, Pamela V. Chang, Katherine Donald, B. Brett Finlay, Claire Maudet, Marouane Kheloufi, Marc Lecuit, Scott Gardner, Yibo Jin, Doryen Bubeck, Spencer V. Nyholm, Joerg Graf, Ryan Nett, Julia Osterman, Dimitry Wintermantel, Joachim R. de Miranda, Lance W. Peterson, David Artis, Radu Tusco, Anne-Claire Jacomin, Ioannis P. Nezis, Tutul Kumar Saha, Mariom, Zakir Hossain, Hao Qin, Yang Chen, Ruifang Zhao, Sarah Lebeer, Jos Vanderleyden, Sigrid C. J. De Keersmaecker, Peng Wang, Ana M. Gamero, Liselotte E. Jensen, Camille Danne, Jurate Skerniskyte, Harry Sokol, Venizelos Papayannopoulos, Lucy Bird, Olive Leavy, Yvonne Bordon",25 Nov 2014
/articles/s41598-024-67861-6,Immune cell population dynamics following neonatal BCG vaccination and aerosol BCG revaccination in rhesus macaques,A study inNature Biotechnologyinvestigated context-specific host–microorganisms interactions by using spatial transcriptomics to profile gene expression of host and microbial genes simultaneously.,"nature, search, Benjamin J. Marsland, Eva S. Gollwitzer, Nicole D. Sonnert, Connor E. Rosen, Noah W. Palm, Kai Li, Avradip Chatterjee, David M. Underhill, Yisu Gu, Raquel Bartolomé-Casado, Fiona Powrie, Yasmine Belkaid, Samira Tamoutounour, Dimitry Wintermantel, Barbara Locke, Joachim R. de Miranda, Lu Jia, Yiyang Jiang, Yi Liu, Michael H. Lee, Sean-Paul Nuccio, Manuela Raffatellu, Laura Sibley, Charlotte Sarfas, Sally Sharpe, Kirsty Minton, Carlo Pifferi, Roberto Fuentes, Alberto Fernández-Tejada, Weronika Wozniak, Emmanuel Sechet, Brice Sperandio, Gabriela Rios Martini, Ekaterina Tikhonova, Petra Bacher, Kim A. Tran, Erwan Pernet, Maziar Divangahi, Jeremy Di Domizio, Cyrine Belkhodja, Michel Gilliet, Samuel P. Nobs, Eran Elinav, Mo Xu, Maria Pokrovskii, Dan R. Littman, Hai Li, Julien P. Limenitakis, Andrew J. Macpherson, Omry Koren, Liza Konnikova, Maria Carmen Collado, Jakub Abramson, Jan Dobeš, Gregory F. Sonnenberg, Keiichiro Mine, Seiho Nagafuchi, Keizo Anzai, Tim Rollenske, Sophie Burkhalter, Andrew J. Macpherson, Tadashi Takeuchi, Eiji Miyauchi, Hiroshi Ohno, Simon Zenke, Mauricio P. Sica, Jan C. Rohr, Deepshika Ramanan, Alvin Pratama, Christophe Benoist, Yuanyuan Gao, Yan Wang, Vanja Lazarevic, Laurent Abel, Marc Swidergall, Norma V. Solis, Scott G. Filler, Xinyang Song, Haohao Zhang, Dennis L. Kasper, Jutaek Nam, April Kim, Sejin Son, Daniel F. Zegarra-Ruiz, Dasom V. Kim, Gretchen E. Diehl, Samantha A. Scott, Jingjing Fu, Pamela V. Chang, Katherine Donald, B. Brett Finlay, Claire Maudet, Marouane Kheloufi, Marc Lecuit, Scott Gardner, Yibo Jin, Doryen Bubeck, Spencer V. Nyholm, Joerg Graf, Ryan Nett, Julia Osterman, Dimitry Wintermantel, Joachim R. de Miranda, Lance W. Peterson, David Artis, Radu Tusco, Anne-Claire Jacomin, Ioannis P. Nezis, Tutul Kumar Saha, Mariom, Zakir Hossain, Hao Qin, Yang Chen, Ruifang Zhao, Sarah Lebeer, Jos Vanderleyden, Sigrid C. J. De Keersmaecker, Peng Wang, Ana M. Gamero, Liselotte E. Jensen, Camille Danne, Jurate Skerniskyte, Harry Sokol, Venizelos Papayannopoulos, Lucy Bird, Olive Leavy, Yvonne Bordon",25 Nov 2014
/articles/s41577-023-00984-5,Spatial resolution of host–microbiome interactions,A study inNature Biotechnologyinvestigated context-specific host–microorganisms interactions by using spatial transcriptomics to profile gene expression of host and microbial genes simultaneously.,"nature, search, Benjamin J. Marsland, Eva S. Gollwitzer, Nicole D. Sonnert, Connor E. Rosen, Noah W. Palm, Kai Li, Avradip Chatterjee, David M. Underhill, Yisu Gu, Raquel Bartolomé-Casado, Fiona Powrie, Yasmine Belkaid, Samira Tamoutounour, Dimitry Wintermantel, Barbara Locke, Joachim R. de Miranda, Lu Jia, Yiyang Jiang, Yi Liu, Michael H. Lee, Sean-Paul Nuccio, Manuela Raffatellu, Laura Sibley, Charlotte Sarfas, Sally Sharpe, Kirsty Minton, Carlo Pifferi, Roberto Fuentes, Alberto Fernández-Tejada, Weronika Wozniak, Emmanuel Sechet, Brice Sperandio, Gabriela Rios Martini, Ekaterina Tikhonova, Petra Bacher, Kim A. Tran, Erwan Pernet, Maziar Divangahi, Jeremy Di Domizio, Cyrine Belkhodja, Michel Gilliet, Samuel P. Nobs, Eran Elinav, Mo Xu, Maria Pokrovskii, Dan R. Littman, Hai Li, Julien P. Limenitakis, Andrew J. Macpherson, Omry Koren, Liza Konnikova, Maria Carmen Collado, Jakub Abramson, Jan Dobeš, Gregory F. Sonnenberg, Keiichiro Mine, Seiho Nagafuchi, Keizo Anzai, Tim Rollenske, Sophie Burkhalter, Andrew J. Macpherson, Tadashi Takeuchi, Eiji Miyauchi, Hiroshi Ohno, Simon Zenke, Mauricio P. Sica, Jan C. Rohr, Deepshika Ramanan, Alvin Pratama, Christophe Benoist, Yuanyuan Gao, Yan Wang, Vanja Lazarevic, Laurent Abel, Marc Swidergall, Norma V. Solis, Scott G. Filler, Xinyang Song, Haohao Zhang, Dennis L. Kasper, Jutaek Nam, April Kim, Sejin Son, Daniel F. Zegarra-Ruiz, Dasom V. Kim, Gretchen E. Diehl, Samantha A. Scott, Jingjing Fu, Pamela V. Chang, Katherine Donald, B. Brett Finlay, Claire Maudet, Marouane Kheloufi, Marc Lecuit, Scott Gardner, Yibo Jin, Doryen Bubeck, Spencer V. Nyholm, Joerg Graf, Ryan Nett, Julia Osterman, Dimitry Wintermantel, Joachim R. de Miranda, Lance W. Peterson, David Artis, Radu Tusco, Anne-Claire Jacomin, Ioannis P. Nezis, Tutul Kumar Saha, Mariom, Zakir Hossain, Hao Qin, Yang Chen, Ruifang Zhao, Sarah Lebeer, Jos Vanderleyden, Sigrid C. J. De Keersmaecker, Peng Wang, Ana M. Gamero, Liselotte E. Jensen, Camille Danne, Jurate Skerniskyte, Harry Sokol, Venizelos Papayannopoulos, Lucy Bird, Olive Leavy, Yvonne Bordon",25 Nov 2014
