href,title,description,authors,date_published
/articles/s41467-024-50405-x,Host cell CRISPR genomics and modelling reveal shared metabolic vulnerabilities in the intracellular development of Plasmodium falciparum and related hemoparasites,"Maurizio and Masid et al. identify common host metabolic pathways essential forPlasmodium falciparumandTheileriaparasites, revealing potential for developing shared broad-spectrum antiparasitic therapies to more effectively combat these debilitating infections.","nature, search, Marina Maurizio, Maria Masid, Philipp Olias, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Mengling Peng, Jing Han, Haitian Ma, Claire Greenhill, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Yang Liu, Yongsheng Ma, Xiaochun Wei, Louise Ramhøj, Ulla Hass, Marta Axelstad, Ruohong Wang, Yandong Yin, Zheng-Jiang Zhu, Sai Sachin Lingampelly, Jane C. Naviaux, Robert K. Naviaux, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Jing Kai Chang, Guoshou Teo, Federico Torta, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, Marijke de Cock, Michiel R de Boer, Margot van de Bor",21 Jul 2024
/articles/s41467-019-09981-6,PFA ependymoma-associated protein EZHIP inhibits PRC2 activity through a H3 K27M-like mechanism,PFA tumours express high levels ofEZHIP(also known asCXORF67). Here the authors find that EZHIP directly interacts with the active site of EZH2 and is a competitive inhibitor of PRC2 and that EZHIP gives rise to H3K27me3 genomic profile similar to the K27M oncohistone.,"nature, search, Marina Maurizio, Maria Masid, Philipp Olias, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Mengling Peng, Jing Han, Haitian Ma, Claire Greenhill, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Yang Liu, Yongsheng Ma, Xiaochun Wei, Louise Ramhøj, Ulla Hass, Marta Axelstad, Ruohong Wang, Yandong Yin, Zheng-Jiang Zhu, Sai Sachin Lingampelly, Jane C. Naviaux, Robert K. Naviaux, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Jing Kai Chang, Guoshou Teo, Federico Torta, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, Marijke de Cock, Michiel R de Boer, Margot van de Bor",21 Jul 2024
/articles/srep32580,Suppression of fat deposition in broiler chickens by (-)-hydroxycitric acid supplementation: A proteomics perspective,"Stable-isotope tracing allows quantifying metabolic activity by measuring isotopically labeled metabolites, but its metabolome coverage has been limited. Here, the authors develop a global isotope tracing approach with metabolome-wide coverage and use it to characterize metabolic activities in agingDrosophila.","nature, search, Marina Maurizio, Maria Masid, Philipp Olias, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Mengling Peng, Jing Han, Haitian Ma, Claire Greenhill, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Yang Liu, Yongsheng Ma, Xiaochun Wei, Louise Ramhøj, Ulla Hass, Marta Axelstad, Ruohong Wang, Yandong Yin, Zheng-Jiang Zhu, Sai Sachin Lingampelly, Jane C. Naviaux, Robert K. Naviaux, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Jing Kai Chang, Guoshou Teo, Federico Torta, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, Marijke de Cock, Michiel R de Boer, Margot van de Bor",21 Jul 2024
/articles/nrendo.2017.58,"PFASs, sex hormones and asthma","Stable-isotope tracing allows quantifying metabolic activity by measuring isotopically labeled metabolites, but its metabolome coverage has been limited. Here, the authors develop a global isotope tracing approach with metabolome-wide coverage and use it to characterize metabolic activities in agingDrosophila.","nature, search, Marina Maurizio, Maria Masid, Philipp Olias, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Mengling Peng, Jing Han, Haitian Ma, Claire Greenhill, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Yang Liu, Yongsheng Ma, Xiaochun Wei, Louise Ramhøj, Ulla Hass, Marta Axelstad, Ruohong Wang, Yandong Yin, Zheng-Jiang Zhu, Sai Sachin Lingampelly, Jane C. Naviaux, Robert K. Naviaux, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Jing Kai Chang, Guoshou Teo, Federico Torta, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, Marijke de Cock, Michiel R de Boer, Margot van de Bor",21 Jul 2024
/articles/s41598-021-87070-9,Gaussian graphical modeling of the serum exposome and metabolome reveals interactions between environmental chemicals and endogenous metabolites,"Stable-isotope tracing allows quantifying metabolic activity by measuring isotopically labeled metabolites, but its metabolome coverage has been limited. Here, the authors develop a global isotope tracing approach with metabolome-wide coverage and use it to characterize metabolic activities in agingDrosophila.","nature, search, Marina Maurizio, Maria Masid, Philipp Olias, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Mengling Peng, Jing Han, Haitian Ma, Claire Greenhill, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Yang Liu, Yongsheng Ma, Xiaochun Wei, Louise Ramhøj, Ulla Hass, Marta Axelstad, Ruohong Wang, Yandong Yin, Zheng-Jiang Zhu, Sai Sachin Lingampelly, Jane C. Naviaux, Robert K. Naviaux, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Jing Kai Chang, Guoshou Teo, Federico Torta, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, Marijke de Cock, Michiel R de Boer, Margot van de Bor",21 Jul 2024
/articles/s41598-024-63837-8,Integrated proteomics and metabolomics analysis of sclerosis-related proteins and femoral head necrosis following internal fixation of femoral neck fractures,"Stable-isotope tracing allows quantifying metabolic activity by measuring isotopically labeled metabolites, but its metabolome coverage has been limited. Here, the authors develop a global isotope tracing approach with metabolome-wide coverage and use it to characterize metabolic activities in agingDrosophila.","nature, search, Marina Maurizio, Maria Masid, Philipp Olias, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Mengling Peng, Jing Han, Haitian Ma, Claire Greenhill, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Yang Liu, Yongsheng Ma, Xiaochun Wei, Louise Ramhøj, Ulla Hass, Marta Axelstad, Ruohong Wang, Yandong Yin, Zheng-Jiang Zhu, Sai Sachin Lingampelly, Jane C. Naviaux, Robert K. Naviaux, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Jing Kai Chang, Guoshou Teo, Federico Torta, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, Marijke de Cock, Michiel R de Boer, Margot van de Bor",21 Jul 2024
/articles/s41598-020-59354-z,Evaluating thyroid hormone disruption: investigations of long-term neurodevelopmental effects in rats after perinatal exposure to perfluorohexane sulfonate (PFHxS),"Stable-isotope tracing allows quantifying metabolic activity by measuring isotopically labeled metabolites, but its metabolome coverage has been limited. Here, the authors develop a global isotope tracing approach with metabolome-wide coverage and use it to characterize metabolic activities in agingDrosophila.","nature, search, Marina Maurizio, Maria Masid, Philipp Olias, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Mengling Peng, Jing Han, Haitian Ma, Claire Greenhill, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Yang Liu, Yongsheng Ma, Xiaochun Wei, Louise Ramhøj, Ulla Hass, Marta Axelstad, Ruohong Wang, Yandong Yin, Zheng-Jiang Zhu, Sai Sachin Lingampelly, Jane C. Naviaux, Robert K. Naviaux, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Jing Kai Chang, Guoshou Teo, Federico Torta, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, Marijke de Cock, Michiel R de Boer, Margot van de Bor",21 Jul 2024
/articles/s41467-022-31268-6,Global stable-isotope tracing metabolomics reveals system-wide metabolic alternations in aging Drosophila,"Stable-isotope tracing allows quantifying metabolic activity by measuring isotopically labeled metabolites, but its metabolome coverage has been limited. Here, the authors develop a global isotope tracing approach with metabolome-wide coverage and use it to characterize metabolic activities in agingDrosophila.","nature, search, Marina Maurizio, Maria Masid, Philipp Olias, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Mengling Peng, Jing Han, Haitian Ma, Claire Greenhill, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Yang Liu, Yongsheng Ma, Xiaochun Wei, Louise Ramhøj, Ulla Hass, Marta Axelstad, Ruohong Wang, Yandong Yin, Zheng-Jiang Zhu, Sai Sachin Lingampelly, Jane C. Naviaux, Robert K. Naviaux, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Jing Kai Chang, Guoshou Teo, Federico Torta, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, Marijke de Cock, Michiel R de Boer, Margot van de Bor",21 Jul 2024
/articles/s42003-024-06102-y,Metabolic network analysis of pre-ASD newborns and 5-year-old children with autism spectrum disorder,"Developmental changes from birth to 5-years in ASD were associated with a normal physiologic response to chronic excitatory, ATP-related signaling. An inhibitory reversal in this network occurred during typical development that did not occur in ASD.","nature, search, Marina Maurizio, Maria Masid, Philipp Olias, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Mengling Peng, Jing Han, Haitian Ma, Claire Greenhill, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Yang Liu, Yongsheng Ma, Xiaochun Wei, Louise Ramhøj, Ulla Hass, Marta Axelstad, Ruohong Wang, Yandong Yin, Zheng-Jiang Zhu, Sai Sachin Lingampelly, Jane C. Naviaux, Robert K. Naviaux, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Jing Kai Chang, Guoshou Teo, Federico Torta, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, Marijke de Cock, Michiel R de Boer, Margot van de Bor",21 Jul 2024
/articles/s41467-020-17504-x,Mycobacterium tuberculosis FasR senses long fatty acyl-CoA through a tunnel and a hydrophobic transmission spine,"FasR is a TetR-like transcriptional activator that plays a central role in sensing mycobacterial long-chain fatty acids and regulating lipid biosynthesis inMycobacterium tuberculosis. Here authors present crystal structures ofM. tuberculosisFasR in complex with acyl effector ligands and with DNA, uncovering its molecular sensory and switching mechanisms.","nature, search, Marina Maurizio, Maria Masid, Philipp Olias, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Mengling Peng, Jing Han, Haitian Ma, Claire Greenhill, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Yang Liu, Yongsheng Ma, Xiaochun Wei, Louise Ramhøj, Ulla Hass, Marta Axelstad, Ruohong Wang, Yandong Yin, Zheng-Jiang Zhu, Sai Sachin Lingampelly, Jane C. Naviaux, Robert K. Naviaux, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Jing Kai Chang, Guoshou Teo, Federico Torta, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, Marijke de Cock, Michiel R de Boer, Margot van de Bor",21 Jul 2024
