href,title,description,authors,date_published
/articles/s41585-020-00388-3,Is PFOA a renal carcinogen?,"Whole-genome sequencing of 962 clear cell renal cell carcinomas from 11 countries shows geographic variations in somatic mutation profiles, including a mutational signature of unknown cause in 70% of cases from Japan.","nature, search, Annette Fenner, Sergey Senkin, Sarah Moody, Paul Brennan, Erez Persi, Miquel Duran-Frigola, Eytan Ruppin, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Caitlin C. Murphy, Timothy A. Zaki, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Nada Y. Kalaany, Ricardo de Matos Simoes, Ryosuke Shirasaki, Constantine S. Mitsiades, Michael Weller, Patrick Y. Wen, Guido Reifenberger, A D Marshall, M van Geldermalsen, J Holst, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, Zachary E. Stine, Zachary T. Schug, Chi V. Dang, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, Yajie Yu, Jane Ding, Han-Fei Ding, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Rui Sun, Chao Lei, Zhongbin Deng, Minmin Fan, Jingwei Chen, Qiang Xu, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, A Nakanome, A Brydun, K Igarashi",06 Oct 2020
/articles/s41586-024-07368-2,Geographic variation of mutagenic exposures in kidney cancer genomes,"Whole-genome sequencing of 962 clear cell renal cell carcinomas from 11 countries shows geographic variations in somatic mutation profiles, including a mutational signature of unknown cause in 70% of cases from Japan.","nature, search, Annette Fenner, Sergey Senkin, Sarah Moody, Paul Brennan, Erez Persi, Miquel Duran-Frigola, Eytan Ruppin, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Caitlin C. Murphy, Timothy A. Zaki, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Nada Y. Kalaany, Ricardo de Matos Simoes, Ryosuke Shirasaki, Constantine S. Mitsiades, Michael Weller, Patrick Y. Wen, Guido Reifenberger, A D Marshall, M van Geldermalsen, J Holst, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, Zachary E. Stine, Zachary T. Schug, Chi V. Dang, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, Yajie Yu, Jane Ding, Han-Fei Ding, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Rui Sun, Chao Lei, Zhongbin Deng, Minmin Fan, Jingwei Chen, Qiang Xu, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, A Nakanome, A Brydun, K Igarashi",06 Oct 2020
/articles/s41467-018-05261-x,Systems analysis of intracellular pH vulnerabilities for cancer therapy,"Tumors often exhibit a pH gradient, with an acidic extracellular space and alkaline cytoplasm. Here the authors develop a computational model to show how alkaline pHi supports changes inherent to cancer cell metabolism and acidification disables these adaptations, and demonstrate the effect of acidic pHi on breast cancer cell survival.","nature, search, Annette Fenner, Sergey Senkin, Sarah Moody, Paul Brennan, Erez Persi, Miquel Duran-Frigola, Eytan Ruppin, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Caitlin C. Murphy, Timothy A. Zaki, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Nada Y. Kalaany, Ricardo de Matos Simoes, Ryosuke Shirasaki, Constantine S. Mitsiades, Michael Weller, Patrick Y. Wen, Guido Reifenberger, A D Marshall, M van Geldermalsen, J Holst, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, Zachary E. Stine, Zachary T. Schug, Chi V. Dang, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, Yajie Yu, Jane Ding, Han-Fei Ding, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Rui Sun, Chao Lei, Zhongbin Deng, Minmin Fan, Jingwei Chen, Qiang Xu, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, A Nakanome, A Brydun, K Igarashi",06 Oct 2020
/articles/s41598-024-63726-0,An exploratory analysis of the impact of area-level exposome on geographic disparities in aggressive prostate cancer,PFA tumours express high levels ofEZHIP(also known asCXORF67). Here the authors find that EZHIP directly interacts with the active site of EZH2 and is a competitive inhibitor of PRC2 and that EZHIP gives rise to H3K27me3 genomic profile similar to the K27M oncohistone.,"nature, search, Annette Fenner, Sergey Senkin, Sarah Moody, Paul Brennan, Erez Persi, Miquel Duran-Frigola, Eytan Ruppin, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Caitlin C. Murphy, Timothy A. Zaki, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Nada Y. Kalaany, Ricardo de Matos Simoes, Ryosuke Shirasaki, Constantine S. Mitsiades, Michael Weller, Patrick Y. Wen, Guido Reifenberger, A D Marshall, M van Geldermalsen, J Holst, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, Zachary E. Stine, Zachary T. Schug, Chi V. Dang, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, Yajie Yu, Jane Ding, Han-Fei Ding, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Rui Sun, Chao Lei, Zhongbin Deng, Minmin Fan, Jingwei Chen, Qiang Xu, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, A Nakanome, A Brydun, K Igarashi",06 Oct 2020
/articles/s41467-019-09981-6,PFA ependymoma-associated protein EZHIP inhibits PRC2 activity through a H3 K27M-like mechanism,PFA tumours express high levels ofEZHIP(also known asCXORF67). Here the authors find that EZHIP directly interacts with the active site of EZH2 and is a competitive inhibitor of PRC2 and that EZHIP gives rise to H3K27me3 genomic profile similar to the K27M oncohistone.,"nature, search, Annette Fenner, Sergey Senkin, Sarah Moody, Paul Brennan, Erez Persi, Miquel Duran-Frigola, Eytan Ruppin, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Caitlin C. Murphy, Timothy A. Zaki, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Nada Y. Kalaany, Ricardo de Matos Simoes, Ryosuke Shirasaki, Constantine S. Mitsiades, Michael Weller, Patrick Y. Wen, Guido Reifenberger, A D Marshall, M van Geldermalsen, J Holst, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, Zachary E. Stine, Zachary T. Schug, Chi V. Dang, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, Yajie Yu, Jane Ding, Han-Fei Ding, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Rui Sun, Chao Lei, Zhongbin Deng, Minmin Fan, Jingwei Chen, Qiang Xu, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, A Nakanome, A Brydun, K Igarashi",06 Oct 2020
/articles/s41575-023-00841-9,Changing epidemiology of colorectal cancer — birth cohort effects and emerging risk factors,"In this Review, Murphy and Zaki discuss changes in the incidence and mortality of colorectal cancer, including trends by age and birth cohort, and consider the contributions of early-life exposures and emerging risk factors.","nature, search, Annette Fenner, Sergey Senkin, Sarah Moody, Paul Brennan, Erez Persi, Miquel Duran-Frigola, Eytan Ruppin, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Caitlin C. Murphy, Timothy A. Zaki, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Nada Y. Kalaany, Ricardo de Matos Simoes, Ryosuke Shirasaki, Constantine S. Mitsiades, Michael Weller, Patrick Y. Wen, Guido Reifenberger, A D Marshall, M van Geldermalsen, J Holst, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, Zachary E. Stine, Zachary T. Schug, Chi V. Dang, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, Yajie Yu, Jane Ding, Han-Fei Ding, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Rui Sun, Chao Lei, Zhongbin Deng, Minmin Fan, Jingwei Chen, Qiang Xu, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, A Nakanome, A Brydun, K Igarashi",06 Oct 2020
/articles/s41417-022-00504-y,MicroRNA-21 guide and passenger strand regulation of adenylosuccinate lyase-mediated purine metabolism promotes transition to an EGFR-TKI-tolerant persister state,"Inhibiting glutamine metabolism has thus far been clinically challenging. Two studies in preclinical mouse models now report that, in contrast to the failure of glutaminase inhibitors, broad suppression of glutamine metabolism with glutamine analogs delivered to tumors results in reduced pancreatic cancer growth, with targetable resistance mechanisms.","nature, search, Annette Fenner, Sergey Senkin, Sarah Moody, Paul Brennan, Erez Persi, Miquel Duran-Frigola, Eytan Ruppin, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Caitlin C. Murphy, Timothy A. Zaki, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Nada Y. Kalaany, Ricardo de Matos Simoes, Ryosuke Shirasaki, Constantine S. Mitsiades, Michael Weller, Patrick Y. Wen, Guido Reifenberger, A D Marshall, M van Geldermalsen, J Holst, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, Zachary E. Stine, Zachary T. Schug, Chi V. Dang, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, Yajie Yu, Jane Ding, Han-Fei Ding, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Rui Sun, Chao Lei, Zhongbin Deng, Minmin Fan, Jingwei Chen, Qiang Xu, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, A Nakanome, A Brydun, K Igarashi",06 Oct 2020
/articles/s43018-023-00678-w,Glutamine analogs for pancreatic cancer therapy,"Inhibiting glutamine metabolism has thus far been clinically challenging. Two studies in preclinical mouse models now report that, in contrast to the failure of glutaminase inhibitors, broad suppression of glutamine metabolism with glutamine analogs delivered to tumors results in reduced pancreatic cancer growth, with targetable resistance mechanisms.","nature, search, Annette Fenner, Sergey Senkin, Sarah Moody, Paul Brennan, Erez Persi, Miquel Duran-Frigola, Eytan Ruppin, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Caitlin C. Murphy, Timothy A. Zaki, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Nada Y. Kalaany, Ricardo de Matos Simoes, Ryosuke Shirasaki, Constantine S. Mitsiades, Michael Weller, Patrick Y. Wen, Guido Reifenberger, A D Marshall, M van Geldermalsen, J Holst, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, Zachary E. Stine, Zachary T. Schug, Chi V. Dang, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, Yajie Yu, Jane Ding, Han-Fei Ding, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Rui Sun, Chao Lei, Zhongbin Deng, Minmin Fan, Jingwei Chen, Qiang Xu, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, A Nakanome, A Brydun, K Igarashi",06 Oct 2020
/articles/s43018-023-00550-x,Genome-scale functional genomics identify genes preferentially essential for multiple myeloma cells compared to other neoplasias,"Mitsiades and colleagues utilize functional genomics data in over 700 cancer cell lines, to identify genes with preferentially essential functions in multiple myeloma, which may represent targets for precision medicine strategies.","nature, search, Annette Fenner, Sergey Senkin, Sarah Moody, Paul Brennan, Erez Persi, Miquel Duran-Frigola, Eytan Ruppin, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Caitlin C. Murphy, Timothy A. Zaki, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Nada Y. Kalaany, Ricardo de Matos Simoes, Ryosuke Shirasaki, Constantine S. Mitsiades, Michael Weller, Patrick Y. Wen, Guido Reifenberger, A D Marshall, M van Geldermalsen, J Holst, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, Zachary E. Stine, Zachary T. Schug, Chi V. Dang, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, Yajie Yu, Jane Ding, Han-Fei Ding, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Rui Sun, Chao Lei, Zhongbin Deng, Minmin Fan, Jingwei Chen, Qiang Xu, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, A Nakanome, A Brydun, K Igarashi",06 Oct 2020
/articles/s41572-024-00516-y,Glioma,"This Primer by Weller and colleagues summarizes the epidemiology, pathophysiology, diagnosis and treatment of glioma in both adults and children.","nature, search, Annette Fenner, Sergey Senkin, Sarah Moody, Paul Brennan, Erez Persi, Miquel Duran-Frigola, Eytan Ruppin, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Caitlin C. Murphy, Timothy A. Zaki, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Nada Y. Kalaany, Ricardo de Matos Simoes, Ryosuke Shirasaki, Constantine S. Mitsiades, Michael Weller, Patrick Y. Wen, Guido Reifenberger, A D Marshall, M van Geldermalsen, J Holst, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, Zachary E. Stine, Zachary T. Schug, Chi V. Dang, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, Yajie Yu, Jane Ding, Han-Fei Ding, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Rui Sun, Chao Lei, Zhongbin Deng, Minmin Fan, Jingwei Chen, Qiang Xu, Hee Chan Yoo, Ya Chun Yu, Jung Min Han, A Nakanome, A Brydun, K Igarashi",06 Oct 2020
