href,title,description,authors,date_published
/articles/s44221-024-00232-7,Near-complete destruction of PFAS in aqueous film-forming foam by integrated photo-electrochemical processes,Demonstrating the complete defluorination of PFAS confirms PFAS mineralization and mitigated risk. The design of a UV/sulfite–electrochemical oxidation process achieved complete defluorination of various PFAS and removal of organics in aqueous film-forming foam.,"nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Yi Cheng, Bing Deng, James M. Tour, An Su, Krishna Rajan, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Xiongli Liu, Changjia Zhu, Shengqian Ma, Ananya Rastogi, Jeff Tollefson, Chu Chu, Long Long Ma, Guanyi Chen, Joseph M. Braun, Yuwei Hong, Jiayan Qiu, Gangguo Zhu, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Caiming Tang, Yutao Liang, Hui Lin, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, XiaoZhi Lim, Fengjian Chu, Gaosheng Zhao, Xiaozhi Wang, Thomas Jamnik, Mira Flasch, Benedikt Warth, Marcel Levien, Luming Yang, Marina Bennati, Lei You, Jing Kou, Guowang Xu, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Paul J. Ferraro, Carsten Prasse, Claire Greenhill, David Holmes, Ole John Nielsen, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Yuting Zhou, Grace E. Klinger, James E. Jackson, Nikolas R. Burton, Keriann M. Backus, Britte Bouchaut, Frank Hollmann, Lotte Asveld, Shaoxiang Yang, Yanfeng Hao, Baoguo Sun, Fumitaka Ishiwari, Yoshiaki Shoji, Takanori Fukushima, Emma L. Schymanski, Stanislaus J. Schymanski, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman, Dushyant Barpaga, Van T. Nguyen, Liem X. Dang",01 May 2024
/articles/s41467-024-49809-6,Electrothermal mineralization of per- and polyfluoroalkyl substances for soil remediation,"Per- and polyfluoroalkyl substances (PFAS) are persistent and bioaccumulative pollutants in soil. Here, the authors developed a rapid electrothermal mineralization method that can efficiently mineralize PFAS while maintaining soil properties.","nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Yi Cheng, Bing Deng, James M. Tour, An Su, Krishna Rajan, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Xiongli Liu, Changjia Zhu, Shengqian Ma, Ananya Rastogi, Jeff Tollefson, Chu Chu, Long Long Ma, Guanyi Chen, Joseph M. Braun, Yuwei Hong, Jiayan Qiu, Gangguo Zhu, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Caiming Tang, Yutao Liang, Hui Lin, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, XiaoZhi Lim, Fengjian Chu, Gaosheng Zhao, Xiaozhi Wang, Thomas Jamnik, Mira Flasch, Benedikt Warth, Marcel Levien, Luming Yang, Marina Bennati, Lei You, Jing Kou, Guowang Xu, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Paul J. Ferraro, Carsten Prasse, Claire Greenhill, David Holmes, Ole John Nielsen, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Yuting Zhou, Grace E. Klinger, James E. Jackson, Nikolas R. Burton, Keriann M. Backus, Britte Bouchaut, Frank Hollmann, Lotte Asveld, Shaoxiang Yang, Yanfeng Hao, Baoguo Sun, Fumitaka Ishiwari, Yoshiaki Shoji, Takanori Fukushima, Emma L. Schymanski, Stanislaus J. Schymanski, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman, Dushyant Barpaga, Van T. Nguyen, Liem X. Dang",01 May 2024
/articles/d44224-023-00012-w,The PFAS legacy in our urban environment,WATCH ON DEMAND| This webcast took place on:Thursday 20 April 2023,"nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Yi Cheng, Bing Deng, James M. Tour, An Su, Krishna Rajan, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Xiongli Liu, Changjia Zhu, Shengqian Ma, Ananya Rastogi, Jeff Tollefson, Chu Chu, Long Long Ma, Guanyi Chen, Joseph M. Braun, Yuwei Hong, Jiayan Qiu, Gangguo Zhu, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Caiming Tang, Yutao Liang, Hui Lin, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, XiaoZhi Lim, Fengjian Chu, Gaosheng Zhao, Xiaozhi Wang, Thomas Jamnik, Mira Flasch, Benedikt Warth, Marcel Levien, Luming Yang, Marina Bennati, Lei You, Jing Kou, Guowang Xu, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Paul J. Ferraro, Carsten Prasse, Claire Greenhill, David Holmes, Ole John Nielsen, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Yuting Zhou, Grace E. Klinger, James E. Jackson, Nikolas R. Burton, Keriann M. Backus, Britte Bouchaut, Frank Hollmann, Lotte Asveld, Shaoxiang Yang, Yanfeng Hao, Baoguo Sun, Fumitaka Ishiwari, Yoshiaki Shoji, Takanori Fukushima, Emma L. Schymanski, Stanislaus J. Schymanski, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman, Dushyant Barpaga, Van T. Nguyen, Liem X. Dang",01 May 2024
/articles/s41597-021-00798-x,A database framework for rapid screening of structure-function relationships in PFAS chemistry,Disposing of these persistent substances often requires high pressures and temperatures.,"nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Yi Cheng, Bing Deng, James M. Tour, An Su, Krishna Rajan, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Xiongli Liu, Changjia Zhu, Shengqian Ma, Ananya Rastogi, Jeff Tollefson, Chu Chu, Long Long Ma, Guanyi Chen, Joseph M. Braun, Yuwei Hong, Jiayan Qiu, Gangguo Zhu, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Caiming Tang, Yutao Liang, Hui Lin, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, XiaoZhi Lim, Fengjian Chu, Gaosheng Zhao, Xiaozhi Wang, Thomas Jamnik, Mira Flasch, Benedikt Warth, Marcel Levien, Luming Yang, Marina Bennati, Lei You, Jing Kou, Guowang Xu, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Paul J. Ferraro, Carsten Prasse, Claire Greenhill, David Holmes, Ole John Nielsen, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Yuting Zhou, Grace E. Klinger, James E. Jackson, Nikolas R. Burton, Keriann M. Backus, Britte Bouchaut, Frank Hollmann, Lotte Asveld, Shaoxiang Yang, Yanfeng Hao, Baoguo Sun, Fumitaka Ishiwari, Yoshiaki Shoji, Takanori Fukushima, Emma L. Schymanski, Stanislaus J. Schymanski, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman, Dushyant Barpaga, Van T. Nguyen, Liem X. Dang",01 May 2024
/articles/s41598-024-57140-9,Differential scanning fluorimetry to assess PFAS binding to bovine serum albumin protein,Disposing of these persistent substances often requires high pressures and temperatures.,"nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Yi Cheng, Bing Deng, James M. Tour, An Su, Krishna Rajan, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Xiongli Liu, Changjia Zhu, Shengqian Ma, Ananya Rastogi, Jeff Tollefson, Chu Chu, Long Long Ma, Guanyi Chen, Joseph M. Braun, Yuwei Hong, Jiayan Qiu, Gangguo Zhu, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Caiming Tang, Yutao Liang, Hui Lin, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, XiaoZhi Lim, Fengjian Chu, Gaosheng Zhao, Xiaozhi Wang, Thomas Jamnik, Mira Flasch, Benedikt Warth, Marcel Levien, Luming Yang, Marina Bennati, Lei You, Jing Kou, Guowang Xu, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Paul J. Ferraro, Carsten Prasse, Claire Greenhill, David Holmes, Ole John Nielsen, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Yuting Zhou, Grace E. Klinger, James E. Jackson, Nikolas R. Burton, Keriann M. Backus, Britte Bouchaut, Frank Hollmann, Lotte Asveld, Shaoxiang Yang, Yanfeng Hao, Baoguo Sun, Fumitaka Ishiwari, Yoshiaki Shoji, Takanori Fukushima, Emma L. Schymanski, Stanislaus J. Schymanski, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman, Dushyant Barpaga, Van T. Nguyen, Liem X. Dang",01 May 2024
/articles/d41586-022-02247-0,How to destroy ‘forever chemicals’: cheap method breaks down PFAS,Disposing of these persistent substances often requires high pressures and temperatures.,"nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Yi Cheng, Bing Deng, James M. Tour, An Su, Krishna Rajan, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Xiongli Liu, Changjia Zhu, Shengqian Ma, Ananya Rastogi, Jeff Tollefson, Chu Chu, Long Long Ma, Guanyi Chen, Joseph M. Braun, Yuwei Hong, Jiayan Qiu, Gangguo Zhu, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Caiming Tang, Yutao Liang, Hui Lin, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, XiaoZhi Lim, Fengjian Chu, Gaosheng Zhao, Xiaozhi Wang, Thomas Jamnik, Mira Flasch, Benedikt Warth, Marcel Levien, Luming Yang, Marina Bennati, Lei You, Jing Kou, Guowang Xu, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Paul J. Ferraro, Carsten Prasse, Claire Greenhill, David Holmes, Ole John Nielsen, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Yuting Zhou, Grace E. Klinger, James E. Jackson, Nikolas R. Burton, Keriann M. Backus, Britte Bouchaut, Frank Hollmann, Lotte Asveld, Shaoxiang Yang, Yanfeng Hao, Baoguo Sun, Fumitaka Ishiwari, Yoshiaki Shoji, Takanori Fukushima, Emma L. Schymanski, Stanislaus J. Schymanski, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman, Dushyant Barpaga, Van T. Nguyen, Liem X. Dang",01 May 2024
/articles/d41586-023-02444-5,Could the world go PFAS-free? Proposal to ban ‘forever chemicals’ fuels debate,"A European agency is considering sweeping restrictions on fluorinated chemicals used in jet engines, electric cars, refrigeration systems, semiconductors and many consumer products.","nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Yi Cheng, Bing Deng, James M. Tour, An Su, Krishna Rajan, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Xiongli Liu, Changjia Zhu, Shengqian Ma, Ananya Rastogi, Jeff Tollefson, Chu Chu, Long Long Ma, Guanyi Chen, Joseph M. Braun, Yuwei Hong, Jiayan Qiu, Gangguo Zhu, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Caiming Tang, Yutao Liang, Hui Lin, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, XiaoZhi Lim, Fengjian Chu, Gaosheng Zhao, Xiaozhi Wang, Thomas Jamnik, Mira Flasch, Benedikt Warth, Marcel Levien, Luming Yang, Marina Bennati, Lei You, Jing Kou, Guowang Xu, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Paul J. Ferraro, Carsten Prasse, Claire Greenhill, David Holmes, Ole John Nielsen, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Yuting Zhou, Grace E. Klinger, James E. Jackson, Nikolas R. Burton, Keriann M. Backus, Britte Bouchaut, Frank Hollmann, Lotte Asveld, Shaoxiang Yang, Yanfeng Hao, Baoguo Sun, Fumitaka Ishiwari, Yoshiaki Shoji, Takanori Fukushima, Emma L. Schymanski, Stanislaus J. Schymanski, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman, Dushyant Barpaga, Van T. Nguyen, Liem X. Dang",01 May 2024
/articles/s44221-023-00046-z,Photochemical degradation pathways and near-complete defluorination of chlorinated polyfluoroalkyl substances,The achievement of almost complete defluorination of chlorinated polyfluoroalkyl substances reveals insight into the degradation pathways of these persistent contaminants.,"nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Yi Cheng, Bing Deng, James M. Tour, An Su, Krishna Rajan, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Xiongli Liu, Changjia Zhu, Shengqian Ma, Ananya Rastogi, Jeff Tollefson, Chu Chu, Long Long Ma, Guanyi Chen, Joseph M. Braun, Yuwei Hong, Jiayan Qiu, Gangguo Zhu, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Caiming Tang, Yutao Liang, Hui Lin, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, XiaoZhi Lim, Fengjian Chu, Gaosheng Zhao, Xiaozhi Wang, Thomas Jamnik, Mira Flasch, Benedikt Warth, Marcel Levien, Luming Yang, Marina Bennati, Lei You, Jing Kou, Guowang Xu, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Paul J. Ferraro, Carsten Prasse, Claire Greenhill, David Holmes, Ole John Nielsen, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Yuting Zhou, Grace E. Klinger, James E. Jackson, Nikolas R. Burton, Keriann M. Backus, Britte Bouchaut, Frank Hollmann, Lotte Asveld, Shaoxiang Yang, Yanfeng Hao, Baoguo Sun, Fumitaka Ishiwari, Yoshiaki Shoji, Takanori Fukushima, Emma L. Schymanski, Stanislaus J. Schymanski, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman, Dushyant Barpaga, Van T. Nguyen, Liem X. Dang",01 May 2024
/articles/d41586-023-03876-9,How to take ‘forever’ out of forever chemicals,"Stubborn compounds called PFAS in drinking water put health at risk. Technologies based on plasmas, pressure, sound or fungus could finally degrade these chemicals.","nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Yi Cheng, Bing Deng, James M. Tour, An Su, Krishna Rajan, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Xiongli Liu, Changjia Zhu, Shengqian Ma, Ananya Rastogi, Jeff Tollefson, Chu Chu, Long Long Ma, Guanyi Chen, Joseph M. Braun, Yuwei Hong, Jiayan Qiu, Gangguo Zhu, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Caiming Tang, Yutao Liang, Hui Lin, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, XiaoZhi Lim, Fengjian Chu, Gaosheng Zhao, Xiaozhi Wang, Thomas Jamnik, Mira Flasch, Benedikt Warth, Marcel Levien, Luming Yang, Marina Bennati, Lei You, Jing Kou, Guowang Xu, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Paul J. Ferraro, Carsten Prasse, Claire Greenhill, David Holmes, Ole John Nielsen, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Yuting Zhou, Grace E. Klinger, James E. Jackson, Nikolas R. Burton, Keriann M. Backus, Britte Bouchaut, Frank Hollmann, Lotte Asveld, Shaoxiang Yang, Yanfeng Hao, Baoguo Sun, Fumitaka Ishiwari, Yoshiaki Shoji, Takanori Fukushima, Emma L. Schymanski, Stanislaus J. Schymanski, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman, Dushyant Barpaga, Van T. Nguyen, Liem X. Dang",01 May 2024
/articles/s41467-022-29816-1,Installation of synergistic binding sites onto porous organic polymers for efficient removal of perfluorooctanoic acid,"The performance of adsorbents for perfluorooctanoic acid (PFOA) removal often suffers from long equilibrium times, weak binding affinities and poor stability. Here the authors report a highly efficient PFOA adsorbents by functionalizing porous organic polymers with electrostatic and hydrophobic binding sites.","nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Yi Cheng, Bing Deng, James M. Tour, An Su, Krishna Rajan, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Xiongli Liu, Changjia Zhu, Shengqian Ma, Ananya Rastogi, Jeff Tollefson, Chu Chu, Long Long Ma, Guanyi Chen, Joseph M. Braun, Yuwei Hong, Jiayan Qiu, Gangguo Zhu, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Caiming Tang, Yutao Liang, Hui Lin, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, XiaoZhi Lim, Fengjian Chu, Gaosheng Zhao, Xiaozhi Wang, Thomas Jamnik, Mira Flasch, Benedikt Warth, Marcel Levien, Luming Yang, Marina Bennati, Lei You, Jing Kou, Guowang Xu, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Paul J. Ferraro, Carsten Prasse, Claire Greenhill, David Holmes, Ole John Nielsen, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Yuting Zhou, Grace E. Klinger, James E. Jackson, Nikolas R. Burton, Keriann M. Backus, Britte Bouchaut, Frank Hollmann, Lotte Asveld, Shaoxiang Yang, Yanfeng Hao, Baoguo Sun, Fumitaka Ishiwari, Yoshiaki Shoji, Takanori Fukushima, Emma L. Schymanski, Stanislaus J. Schymanski, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman, Dushyant Barpaga, Van T. Nguyen, Liem X. Dang",01 May 2024
