href,title,description,authors,date_published
/articles/s41366-021-00848-9,Perfluoroalkyl and polyfluoroalkyl substances and body size and composition trajectories in midlife women: the study of women’s health across the nation 1999–2018,"Maurizio and Masid et al. identify common host metabolic pathways essential forPlasmodium falciparumandTheileriaparasites, revealing potential for developing shared broad-spectrum antiparasitic therapies to more effectively combat these debilitating infections.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Annette Fenner, Marina Maurizio, Maria Masid, Philipp Olias, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, Claire Greenhill, Benshang Li, Hui Li, Bin-Bing S Zhou, Yong Fan, René Klinkby Støving, Oluf Pedersen, Michael Widder, Luisa Mierzwa, Bernd Lenz, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Christopher Livelo, Yiming Guo, Girish C. Melkani, Ashok Agarwal, Alaa Hamada, Sandro C. Esteves, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, J Stamler, N. Hayes, N. Reid, K. M. Moritz, Zixuan Wu, Ping Liu, Shaowu Cheng, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs, M B Madsen, L J A Kogelman, H B Rasmussen",13 May 2021
/articles/s41585-020-00388-3,Is PFOA a renal carcinogen?,"Maurizio and Masid et al. identify common host metabolic pathways essential forPlasmodium falciparumandTheileriaparasites, revealing potential for developing shared broad-spectrum antiparasitic therapies to more effectively combat these debilitating infections.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Annette Fenner, Marina Maurizio, Maria Masid, Philipp Olias, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, Claire Greenhill, Benshang Li, Hui Li, Bin-Bing S Zhou, Yong Fan, René Klinkby Støving, Oluf Pedersen, Michael Widder, Luisa Mierzwa, Bernd Lenz, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Christopher Livelo, Yiming Guo, Girish C. Melkani, Ashok Agarwal, Alaa Hamada, Sandro C. Esteves, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, J Stamler, N. Hayes, N. Reid, K. M. Moritz, Zixuan Wu, Ping Liu, Shaowu Cheng, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs, M B Madsen, L J A Kogelman, H B Rasmussen",13 May 2021
/articles/s41467-024-50405-x,Host cell CRISPR genomics and modelling reveal shared metabolic vulnerabilities in the intracellular development of Plasmodium falciparum and related hemoparasites,"Maurizio and Masid et al. identify common host metabolic pathways essential forPlasmodium falciparumandTheileriaparasites, revealing potential for developing shared broad-spectrum antiparasitic therapies to more effectively combat these debilitating infections.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Annette Fenner, Marina Maurizio, Maria Masid, Philipp Olias, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, Claire Greenhill, Benshang Li, Hui Li, Bin-Bing S Zhou, Yong Fan, René Klinkby Støving, Oluf Pedersen, Michael Widder, Luisa Mierzwa, Bernd Lenz, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Christopher Livelo, Yiming Guo, Girish C. Melkani, Ashok Agarwal, Alaa Hamada, Sandro C. Esteves, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, J Stamler, N. Hayes, N. Reid, K. M. Moritz, Zixuan Wu, Ping Liu, Shaowu Cheng, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs, M B Madsen, L J A Kogelman, H B Rasmussen",13 May 2021
/articles/s41593-024-01627-1,Assessing the contribution of the chemical exposome to neurodegenerative disease,"Nongenetic factors contribute to the onset, progression and severity of neurodegenerative diseases. Here, the authors describe how exposomics, the systematic analysis of environmental factors, can help neuroscientists understand these diseases.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Annette Fenner, Marina Maurizio, Maria Masid, Philipp Olias, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, Claire Greenhill, Benshang Li, Hui Li, Bin-Bing S Zhou, Yong Fan, René Klinkby Støving, Oluf Pedersen, Michael Widder, Luisa Mierzwa, Bernd Lenz, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Christopher Livelo, Yiming Guo, Girish C. Melkani, Ashok Agarwal, Alaa Hamada, Sandro C. Esteves, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, J Stamler, N. Hayes, N. Reid, K. M. Moritz, Zixuan Wu, Ping Liu, Shaowu Cheng, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs, M B Madsen, L J A Kogelman, H B Rasmussen",13 May 2021
/articles/s41598-017-01140-5,Interaction effects of polyfluoroalkyl substances and sex steroid hormones on asthma among children,"Urinary metabolic phenotyping of 1,848 adults in the United States shows that 46 structurally identified metabolites were influenced by intakes of 67 nutrients, and accurately predicted healthy and unhealthy dietary patterns. These urinary biomarkers are diet-derived, stable, measurable and associated with disease risk, thereby representing an advance on traditional ways of obtaining information about dietary patterns.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Annette Fenner, Marina Maurizio, Maria Masid, Philipp Olias, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, Claire Greenhill, Benshang Li, Hui Li, Bin-Bing S Zhou, Yong Fan, René Klinkby Støving, Oluf Pedersen, Michael Widder, Luisa Mierzwa, Bernd Lenz, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Christopher Livelo, Yiming Guo, Girish C. Melkani, Ashok Agarwal, Alaa Hamada, Sandro C. Esteves, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, J Stamler, N. Hayes, N. Reid, K. M. Moritz, Zixuan Wu, Ping Liu, Shaowu Cheng, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs, M B Madsen, L J A Kogelman, H B Rasmussen",13 May 2021
/articles/s43016-020-0093-y,Nutriome–metabolome relationships provide insights into dietary intake and metabolism,"Urinary metabolic phenotyping of 1,848 adults in the United States shows that 46 structurally identified metabolites were influenced by intakes of 67 nutrients, and accurately predicted healthy and unhealthy dietary patterns. These urinary biomarkers are diet-derived, stable, measurable and associated with disease risk, thereby representing an advance on traditional ways of obtaining information about dietary patterns.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Annette Fenner, Marina Maurizio, Maria Masid, Philipp Olias, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, Claire Greenhill, Benshang Li, Hui Li, Bin-Bing S Zhou, Yong Fan, René Klinkby Støving, Oluf Pedersen, Michael Widder, Luisa Mierzwa, Bernd Lenz, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Christopher Livelo, Yiming Guo, Girish C. Melkani, Ashok Agarwal, Alaa Hamada, Sandro C. Esteves, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, J Stamler, N. Hayes, N. Reid, K. M. Moritz, Zixuan Wu, Ping Liu, Shaowu Cheng, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs, M B Madsen, L J A Kogelman, H B Rasmussen",13 May 2021
/articles/s41598-021-99091-5,"Gene-level analysis of rare variants in 379,066 whole exome sequences identifies an association of GIGYF1 loss of function with type 2 diabetes","The authors uncover new mutations in an enzyme from the purine synthesis pathway that cause resistance to leukemia therapy, and reveal a new mechanism by which they affect drug metabolism.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Annette Fenner, Marina Maurizio, Maria Masid, Philipp Olias, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, Claire Greenhill, Benshang Li, Hui Li, Bin-Bing S Zhou, Yong Fan, René Klinkby Støving, Oluf Pedersen, Michael Widder, Luisa Mierzwa, Bernd Lenz, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Christopher Livelo, Yiming Guo, Girish C. Melkani, Ashok Agarwal, Alaa Hamada, Sandro C. Esteves, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, J Stamler, N. Hayes, N. Reid, K. M. Moritz, Zixuan Wu, Ping Liu, Shaowu Cheng, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs, M B Madsen, L J A Kogelman, H B Rasmussen",13 May 2021
/articles/s41598-020-80734-y,Infant circulating MicroRNAs as biomarkers of effect in fetal alcohol spectrum disorders,"The authors uncover new mutations in an enzyme from the purine synthesis pathway that cause resistance to leukemia therapy, and reveal a new mechanism by which they affect drug metabolism.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Annette Fenner, Marina Maurizio, Maria Masid, Philipp Olias, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, Claire Greenhill, Benshang Li, Hui Li, Bin-Bing S Zhou, Yong Fan, René Klinkby Støving, Oluf Pedersen, Michael Widder, Luisa Mierzwa, Bernd Lenz, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Christopher Livelo, Yiming Guo, Girish C. Melkani, Ashok Agarwal, Alaa Hamada, Sandro C. Esteves, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, J Stamler, N. Hayes, N. Reid, K. M. Moritz, Zixuan Wu, Ping Liu, Shaowu Cheng, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs, M B Madsen, L J A Kogelman, H B Rasmussen",13 May 2021
/articles/nrendo.2017.58,"PFASs, sex hormones and asthma","The authors uncover new mutations in an enzyme from the purine synthesis pathway that cause resistance to leukemia therapy, and reveal a new mechanism by which they affect drug metabolism.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Annette Fenner, Marina Maurizio, Maria Masid, Philipp Olias, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, Claire Greenhill, Benshang Li, Hui Li, Bin-Bing S Zhou, Yong Fan, René Klinkby Støving, Oluf Pedersen, Michael Widder, Luisa Mierzwa, Bernd Lenz, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Christopher Livelo, Yiming Guo, Girish C. Melkani, Ashok Agarwal, Alaa Hamada, Sandro C. Esteves, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, J Stamler, N. Hayes, N. Reid, K. M. Moritz, Zixuan Wu, Ping Liu, Shaowu Cheng, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs, M B Madsen, L J A Kogelman, H B Rasmussen",13 May 2021
/articles/nm.3840,Negative feedback–defective PRPS1 mutants drive thiopurine resistance in relapsed childhood ALL,"The authors uncover new mutations in an enzyme from the purine synthesis pathway that cause resistance to leukemia therapy, and reveal a new mechanism by which they affect drug metabolism.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Annette Fenner, Marina Maurizio, Maria Masid, Philipp Olias, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, Claire Greenhill, Benshang Li, Hui Li, Bin-Bing S Zhou, Yong Fan, René Klinkby Støving, Oluf Pedersen, Michael Widder, Luisa Mierzwa, Bernd Lenz, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Christopher Livelo, Yiming Guo, Girish C. Melkani, Ashok Agarwal, Alaa Hamada, Sandro C. Esteves, Michael A. Chapman, Michael S. Lawrence, Todd R. Golub, Mariella Filbin, Michelle Monje, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Haokun Yuan, Rebecca D. Kehm, Wan Yang, J Stamler, N. Hayes, N. Reid, K. M. Moritz, Zixuan Wu, Ping Liu, Shaowu Cheng, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs, M B Madsen, L J A Kogelman, H B Rasmussen",13 May 2021
