href,title,description,authors,date_published
/articles/s41366-021-00848-9,Perfluoroalkyl and polyfluoroalkyl substances and body size and composition trajectories in midlife women: the study of women’s health across the nation 1999–2018,"Endocrine-disrupting chemicals (EDCs) can increase the risk of childhood diseases by disrupting hormone-mediated processes critical for growth and development. Here, Joseph Braun discusses epidemiological evidence of associations between early-life exposure to EDCs and childhood neurodevelopmental disorders and obesity.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Joseph M. Braun, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, David Holmes, Fadil M. Hannan, Taha Elajnaf, Rajesh V. Thakker, Lin Yang, Jingguang Li, Yongning Wu, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Kai Luo, Guo-Chong Chen, Qibin Qi, Sunmin Park, Suk Chon, Sung-Hoon Kim, Louise Ramhøj, Ulla Hass, Marta Axelstad, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Yangjie Li, Yating Cheng, Feng Zeng",13 May 2021
/articles/s41598-021-99174-3,"Umbilical cord serum concentrations of perfluorooctane sulfonate, perfluorooctanoic acid, and the body mass index changes from birth to 5 1/2 years of age","Endocrine-disrupting chemicals (EDCs) can increase the risk of childhood diseases by disrupting hormone-mediated processes critical for growth and development. Here, Joseph Braun discusses epidemiological evidence of associations between early-life exposure to EDCs and childhood neurodevelopmental disorders and obesity.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Joseph M. Braun, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, David Holmes, Fadil M. Hannan, Taha Elajnaf, Rajesh V. Thakker, Lin Yang, Jingguang Li, Yongning Wu, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Kai Luo, Guo-Chong Chen, Qibin Qi, Sunmin Park, Suk Chon, Sung-Hoon Kim, Louise Ramhøj, Ulla Hass, Marta Axelstad, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Yangjie Li, Yating Cheng, Feng Zeng",13 May 2021
/articles/s41366-023-01401-6,Exposure to perfluoroalkyl and polyfluoroalkyl substances and pediatric obesity: a systematic review and meta-analysis,"Endocrine-disrupting chemicals (EDCs) can increase the risk of childhood diseases by disrupting hormone-mediated processes critical for growth and development. Here, Joseph Braun discusses epidemiological evidence of associations between early-life exposure to EDCs and childhood neurodevelopmental disorders and obesity.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Joseph M. Braun, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, David Holmes, Fadil M. Hannan, Taha Elajnaf, Rajesh V. Thakker, Lin Yang, Jingguang Li, Yongning Wu, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Kai Luo, Guo-Chong Chen, Qibin Qi, Sunmin Park, Suk Chon, Sung-Hoon Kim, Louise Ramhøj, Ulla Hass, Marta Axelstad, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Yangjie Li, Yating Cheng, Feng Zeng",13 May 2021
/articles/nrendo.2016.186,Early-life exposure to EDCs: role in childhood obesity and neurodevelopment,"Endocrine-disrupting chemicals (EDCs) can increase the risk of childhood diseases by disrupting hormone-mediated processes critical for growth and development. Here, Joseph Braun discusses epidemiological evidence of associations between early-life exposure to EDCs and childhood neurodevelopmental disorders and obesity.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Joseph M. Braun, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, David Holmes, Fadil M. Hannan, Taha Elajnaf, Rajesh V. Thakker, Lin Yang, Jingguang Li, Yongning Wu, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Kai Luo, Guo-Chong Chen, Qibin Qi, Sunmin Park, Suk Chon, Sung-Hoon Kim, Louise Ramhøj, Ulla Hass, Marta Axelstad, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Yangjie Li, Yating Cheng, Feng Zeng",13 May 2021
/articles/s41598-020-74026-8,Endocrine disruption of vitamin D activity by perfluoro-octanoic acid (PFOA),"The mammary gland is responsible for lactation and is regulated by the coordinated actions of reproductive and metabolic hormones. This Review discusses the hormonal regulation of lactation, hormonal functions of the mammary gland, the hormone composition of human milk, and endocrine and metabolic diseases that cause lactation insufficiency.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Joseph M. Braun, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, David Holmes, Fadil M. Hannan, Taha Elajnaf, Rajesh V. Thakker, Lin Yang, Jingguang Li, Yongning Wu, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Kai Luo, Guo-Chong Chen, Qibin Qi, Sunmin Park, Suk Chon, Sung-Hoon Kim, Louise Ramhøj, Ulla Hass, Marta Axelstad, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Yangjie Li, Yating Cheng, Feng Zeng",13 May 2021
/articles/nrendo.2016.141,Childhood exposure predicts later adiposity,"The mammary gland is responsible for lactation and is regulated by the coordinated actions of reproductive and metabolic hormones. This Review discusses the hormonal regulation of lactation, hormonal functions of the mammary gland, the hormone composition of human milk, and endocrine and metabolic diseases that cause lactation insufficiency.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Joseph M. Braun, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, David Holmes, Fadil M. Hannan, Taha Elajnaf, Rajesh V. Thakker, Lin Yang, Jingguang Li, Yongning Wu, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Kai Luo, Guo-Chong Chen, Qibin Qi, Sunmin Park, Suk Chon, Sung-Hoon Kim, Louise Ramhøj, Ulla Hass, Marta Axelstad, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Yangjie Li, Yating Cheng, Feng Zeng",13 May 2021
/articles/s41574-022-00742-y,Hormonal regulation of mammary gland development and lactation,"The mammary gland is responsible for lactation and is regulated by the coordinated actions of reproductive and metabolic hormones. This Review discusses the hormonal regulation of lactation, hormonal functions of the mammary gland, the hormone composition of human milk, and endocrine and metabolic diseases that cause lactation insufficiency.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Joseph M. Braun, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, David Holmes, Fadil M. Hannan, Taha Elajnaf, Rajesh V. Thakker, Lin Yang, Jingguang Li, Yongning Wu, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Kai Luo, Guo-Chong Chen, Qibin Qi, Sunmin Park, Suk Chon, Sung-Hoon Kim, Louise Ramhøj, Ulla Hass, Marta Axelstad, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Yangjie Li, Yating Cheng, Feng Zeng",13 May 2021
/articles/srep21699,Placental Transfer of Perfluoroalkyl Substances and Associations with Thyroid Hormones: Beijing Prenatal Exposure Study,"The European Society of Endocrinology (ESE), representing 20,000 endocrinologists, is concerned about the effect of endocrine disrupting chemicals (EDCs) on endocrine health, particularly thyroid and gonadal function. The policy strategies of the ESE aim to minimize overall exposure of humans to EDCs and to stimulate funding for research at the level of the European Union.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Joseph M. Braun, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, David Holmes, Fadil M. Hannan, Taha Elajnaf, Rajesh V. Thakker, Lin Yang, Jingguang Li, Yongning Wu, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Kai Luo, Guo-Chong Chen, Qibin Qi, Sunmin Park, Suk Chon, Sung-Hoon Kim, Louise Ramhøj, Ulla Hass, Marta Axelstad, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Yangjie Li, Yating Cheng, Feng Zeng",13 May 2021
/articles/s41574-024-00958-0,Endocrine disrupting chemicals are a threat to hormone health: a commentary on behalf of the ESE,"The European Society of Endocrinology (ESE), representing 20,000 endocrinologists, is concerned about the effect of endocrine disrupting chemicals (EDCs) on endocrine health, particularly thyroid and gonadal function. The policy strategies of the ESE aim to minimize overall exposure of humans to EDCs and to stimulate funding for research at the level of the European Union.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Joseph M. Braun, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, David Holmes, Fadil M. Hannan, Taha Elajnaf, Rajesh V. Thakker, Lin Yang, Jingguang Li, Yongning Wu, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Kai Luo, Guo-Chong Chen, Qibin Qi, Sunmin Park, Suk Chon, Sung-Hoon Kim, Louise Ramhøj, Ulla Hass, Marta Axelstad, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Yangjie Li, Yating Cheng, Feng Zeng",13 May 2021
/articles/s41574-023-00872-x,The regulation of endocrine-disrupting chemicals to minimize their impact on health,"Endocrine-disrupting chemicals (EDCs) contribute to human disease, disability and economic damage. This Review outlines a set of evidence-based policy actions to manage, minimize or eliminate the use of EDCs, alongside a number of specific challenges and potential recommendations.","nature, search, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Joseph M. Braun, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, David Holmes, Fadil M. Hannan, Taha Elajnaf, Rajesh V. Thakker, Lin Yang, Jingguang Li, Yongning Wu, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Kai Luo, Guo-Chong Chen, Qibin Qi, Sunmin Park, Suk Chon, Sung-Hoon Kim, Louise Ramhøj, Ulla Hass, Marta Axelstad, Jerrold J. Heindel, Robert H. Lustig, Barbara E. Corkey, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Sabrina Tartu, Roger Lille-Langøy, Heli Routti, Yangjie Li, Yating Cheng, Feng Zeng",13 May 2021
