href,title,description,authors,date_published
/articles/s44221-024-00232-7,Near-complete destruction of PFAS in aqueous film-forming foam by integrated photo-electrochemical processes,Demonstrating the complete defluorination of PFAS confirms PFAS mineralization and mitigated risk. The design of a UV/sulfite–electrochemical oxidation process achieved complete defluorination of various PFAS and removal of organics in aqueous film-forming foam.,"nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Shilai Hao, Jennifer L. Guelfo, P. Lee Ferguson, Marzieh Shojaei, Zulin Zhang, Yongfei Ma, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Feng Xiao, Baolin Deng, Dongye Zhao, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, Min Nian, Wei Zhou, Jun Zhang, Mark Strynar, Yunqiao Zhou, Xiaoping Wang, Jiao Ren, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Bosen Jin, Huaqing Liu, Yujie Men, Junseok Lee, Changwoo Kim, John D. Fortner, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Ananya Rastogi, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Yanjie Qi, Shouliang Huo, Zhuoshi He, Mohit Chaudhary, Michal Sela-Adler, Oded Nir, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Yosr Ammar, Suzanne Faxneld, Anne L. Soerensen, Jie Li, Suling Ye, Liang Chen, Caiming Tang, Yutao Liang, Hui Lin, XiaoZhi Lim, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Muhammad Usman, Khalil Hanna, Dario Savoca, Raffaella Melfi, Andrea Pace, Lei You, Jing Kou, Guowang Xu, Zhiyong Xie, Zhen Wang, Ralf Ebinghaus, Lu Wang, Yaye Wang, Qingguo Huang, Thera Sahara, Doonyapong Wongsawaeng, Suttichai Assabumrungrat, Herb Brody, P. Travis Thompson, Sweta Ojha, Hunter N. B. Moseley, Lin Yang, Jingguang Li, Yongning Wu, Liyilan Zhang, Yiwen Qi, Tao Wu, Jiaxi Tang, Yongle Zhu, Mengxue Li, Ole John Nielsen, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Paul J. Ferraro, Carsten Prasse, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Heli Routti, Mari K. Berg, Anders Goksøyr",01 May 2024
/articles/s44221-024-00237-2,Cutting all carbon–fluorine bonds from PFAS,Complete defluorination of per- and polyfluoroalkyl substances (PFAS) by a non-thermal technology is not easy to achieve. A rationally designed photochemical–electrochemical treatment train realizes complete defluorination of PFAS mixtures in complex water matrices.,"nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Shilai Hao, Jennifer L. Guelfo, P. Lee Ferguson, Marzieh Shojaei, Zulin Zhang, Yongfei Ma, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Feng Xiao, Baolin Deng, Dongye Zhao, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, Min Nian, Wei Zhou, Jun Zhang, Mark Strynar, Yunqiao Zhou, Xiaoping Wang, Jiao Ren, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Bosen Jin, Huaqing Liu, Yujie Men, Junseok Lee, Changwoo Kim, John D. Fortner, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Ananya Rastogi, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Yanjie Qi, Shouliang Huo, Zhuoshi He, Mohit Chaudhary, Michal Sela-Adler, Oded Nir, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Yosr Ammar, Suzanne Faxneld, Anne L. Soerensen, Jie Li, Suling Ye, Liang Chen, Caiming Tang, Yutao Liang, Hui Lin, XiaoZhi Lim, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Muhammad Usman, Khalil Hanna, Dario Savoca, Raffaella Melfi, Andrea Pace, Lei You, Jing Kou, Guowang Xu, Zhiyong Xie, Zhen Wang, Ralf Ebinghaus, Lu Wang, Yaye Wang, Qingguo Huang, Thera Sahara, Doonyapong Wongsawaeng, Suttichai Assabumrungrat, Herb Brody, P. Travis Thompson, Sweta Ojha, Hunter N. B. Moseley, Lin Yang, Jingguang Li, Yongning Wu, Liyilan Zhang, Yiwen Qi, Tao Wu, Jiaxi Tang, Yongle Zhu, Mengxue Li, Ole John Nielsen, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Paul J. Ferraro, Carsten Prasse, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Heli Routti, Mari K. Berg, Anders Goksøyr",01 May 2024
/articles/s41467-024-49753-5,Lithium-ion battery components are at the nexus of sustainable energy and environmental release of per- and polyfluoroalkyl substances,A new class of PFAS (bis-perfluoroalkyl sulfonamides) used in lithium-ion batteries have been released to the environment internationally. This places lithium-ion batteries at the nexus of CO2 reduction and release of recalcitrant aquatic contaminants.,"nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Shilai Hao, Jennifer L. Guelfo, P. Lee Ferguson, Marzieh Shojaei, Zulin Zhang, Yongfei Ma, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Feng Xiao, Baolin Deng, Dongye Zhao, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, Min Nian, Wei Zhou, Jun Zhang, Mark Strynar, Yunqiao Zhou, Xiaoping Wang, Jiao Ren, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Bosen Jin, Huaqing Liu, Yujie Men, Junseok Lee, Changwoo Kim, John D. Fortner, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Ananya Rastogi, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Yanjie Qi, Shouliang Huo, Zhuoshi He, Mohit Chaudhary, Michal Sela-Adler, Oded Nir, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Yosr Ammar, Suzanne Faxneld, Anne L. Soerensen, Jie Li, Suling Ye, Liang Chen, Caiming Tang, Yutao Liang, Hui Lin, XiaoZhi Lim, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Muhammad Usman, Khalil Hanna, Dario Savoca, Raffaella Melfi, Andrea Pace, Lei You, Jing Kou, Guowang Xu, Zhiyong Xie, Zhen Wang, Ralf Ebinghaus, Lu Wang, Yaye Wang, Qingguo Huang, Thera Sahara, Doonyapong Wongsawaeng, Suttichai Assabumrungrat, Herb Brody, P. Travis Thompson, Sweta Ojha, Hunter N. B. Moseley, Lin Yang, Jingguang Li, Yongning Wu, Liyilan Zhang, Yiwen Qi, Tao Wu, Jiaxi Tang, Yongle Zhu, Mengxue Li, Ole John Nielsen, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Paul J. Ferraro, Carsten Prasse, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Heli Routti, Mari K. Berg, Anders Goksøyr",01 May 2024
/articles/d44224-023-00012-w,The PFAS legacy in our urban environment,WATCH ON DEMAND| This webcast took place on:Thursday 20 April 2023,"nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Shilai Hao, Jennifer L. Guelfo, P. Lee Ferguson, Marzieh Shojaei, Zulin Zhang, Yongfei Ma, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Feng Xiao, Baolin Deng, Dongye Zhao, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, Min Nian, Wei Zhou, Jun Zhang, Mark Strynar, Yunqiao Zhou, Xiaoping Wang, Jiao Ren, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Bosen Jin, Huaqing Liu, Yujie Men, Junseok Lee, Changwoo Kim, John D. Fortner, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Ananya Rastogi, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Yanjie Qi, Shouliang Huo, Zhuoshi He, Mohit Chaudhary, Michal Sela-Adler, Oded Nir, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Yosr Ammar, Suzanne Faxneld, Anne L. Soerensen, Jie Li, Suling Ye, Liang Chen, Caiming Tang, Yutao Liang, Hui Lin, XiaoZhi Lim, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Muhammad Usman, Khalil Hanna, Dario Savoca, Raffaella Melfi, Andrea Pace, Lei You, Jing Kou, Guowang Xu, Zhiyong Xie, Zhen Wang, Ralf Ebinghaus, Lu Wang, Yaye Wang, Qingguo Huang, Thera Sahara, Doonyapong Wongsawaeng, Suttichai Assabumrungrat, Herb Brody, P. Travis Thompson, Sweta Ojha, Hunter N. B. Moseley, Lin Yang, Jingguang Li, Yongning Wu, Liyilan Zhang, Yiwen Qi, Tao Wu, Jiaxi Tang, Yongle Zhu, Mengxue Li, Ole John Nielsen, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Paul J. Ferraro, Carsten Prasse, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Heli Routti, Mari K. Berg, Anders Goksøyr",01 May 2024
/articles/s44221-023-00050-3,The path to complete defluorination of PFAS,A cost-effective process to achieve defluorination of chlorinated per- and polyfluoroalkyl substances (PFAS) provides valuable insight for sustainable chemical design.,"nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Shilai Hao, Jennifer L. Guelfo, P. Lee Ferguson, Marzieh Shojaei, Zulin Zhang, Yongfei Ma, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Feng Xiao, Baolin Deng, Dongye Zhao, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, Min Nian, Wei Zhou, Jun Zhang, Mark Strynar, Yunqiao Zhou, Xiaoping Wang, Jiao Ren, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Bosen Jin, Huaqing Liu, Yujie Men, Junseok Lee, Changwoo Kim, John D. Fortner, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Ananya Rastogi, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Yanjie Qi, Shouliang Huo, Zhuoshi He, Mohit Chaudhary, Michal Sela-Adler, Oded Nir, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Yosr Ammar, Suzanne Faxneld, Anne L. Soerensen, Jie Li, Suling Ye, Liang Chen, Caiming Tang, Yutao Liang, Hui Lin, XiaoZhi Lim, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Muhammad Usman, Khalil Hanna, Dario Savoca, Raffaella Melfi, Andrea Pace, Lei You, Jing Kou, Guowang Xu, Zhiyong Xie, Zhen Wang, Ralf Ebinghaus, Lu Wang, Yaye Wang, Qingguo Huang, Thera Sahara, Doonyapong Wongsawaeng, Suttichai Assabumrungrat, Herb Brody, P. Travis Thompson, Sweta Ojha, Hunter N. B. Moseley, Lin Yang, Jingguang Li, Yongning Wu, Liyilan Zhang, Yiwen Qi, Tao Wu, Jiaxi Tang, Yongle Zhu, Mengxue Li, Ole John Nielsen, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Paul J. Ferraro, Carsten Prasse, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Heli Routti, Mari K. Berg, Anders Goksøyr",01 May 2024
/articles/s41561-024-01402-8,Underestimated burden of per- and polyfluoroalkyl substances in global surface waters and groundwaters,A global data analysis suggests that a large fraction of surface waters and groundwaters globally have concentrations of per- and polyfluoroalkyl substances (PFAS) that exceed international advisories or national regulations.,"nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Shilai Hao, Jennifer L. Guelfo, P. Lee Ferguson, Marzieh Shojaei, Zulin Zhang, Yongfei Ma, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Feng Xiao, Baolin Deng, Dongye Zhao, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, Min Nian, Wei Zhou, Jun Zhang, Mark Strynar, Yunqiao Zhou, Xiaoping Wang, Jiao Ren, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Bosen Jin, Huaqing Liu, Yujie Men, Junseok Lee, Changwoo Kim, John D. Fortner, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Ananya Rastogi, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Yanjie Qi, Shouliang Huo, Zhuoshi He, Mohit Chaudhary, Michal Sela-Adler, Oded Nir, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Yosr Ammar, Suzanne Faxneld, Anne L. Soerensen, Jie Li, Suling Ye, Liang Chen, Caiming Tang, Yutao Liang, Hui Lin, XiaoZhi Lim, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Muhammad Usman, Khalil Hanna, Dario Savoca, Raffaella Melfi, Andrea Pace, Lei You, Jing Kou, Guowang Xu, Zhiyong Xie, Zhen Wang, Ralf Ebinghaus, Lu Wang, Yaye Wang, Qingguo Huang, Thera Sahara, Doonyapong Wongsawaeng, Suttichai Assabumrungrat, Herb Brody, P. Travis Thompson, Sweta Ojha, Hunter N. B. Moseley, Lin Yang, Jingguang Li, Yongning Wu, Liyilan Zhang, Yiwen Qi, Tao Wu, Jiaxi Tang, Yongle Zhu, Mengxue Li, Ole John Nielsen, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Paul J. Ferraro, Carsten Prasse, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Heli Routti, Mari K. Berg, Anders Goksøyr",01 May 2024
/articles/s44221-023-00164-8,Cross-national challenges and strategies for PFAS regulatory compliance in water infrastructure,The potential hazard of per- and polyfluoroalkyl substances has led to new regulations affecting requirements for water quality. This Perspective proposes a protocol to adapt water treatment technology to meet new regulation requirements.,"nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Shilai Hao, Jennifer L. Guelfo, P. Lee Ferguson, Marzieh Shojaei, Zulin Zhang, Yongfei Ma, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Feng Xiao, Baolin Deng, Dongye Zhao, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, Min Nian, Wei Zhou, Jun Zhang, Mark Strynar, Yunqiao Zhou, Xiaoping Wang, Jiao Ren, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Bosen Jin, Huaqing Liu, Yujie Men, Junseok Lee, Changwoo Kim, John D. Fortner, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Ananya Rastogi, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Yanjie Qi, Shouliang Huo, Zhuoshi He, Mohit Chaudhary, Michal Sela-Adler, Oded Nir, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Yosr Ammar, Suzanne Faxneld, Anne L. Soerensen, Jie Li, Suling Ye, Liang Chen, Caiming Tang, Yutao Liang, Hui Lin, XiaoZhi Lim, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Muhammad Usman, Khalil Hanna, Dario Savoca, Raffaella Melfi, Andrea Pace, Lei You, Jing Kou, Guowang Xu, Zhiyong Xie, Zhen Wang, Ralf Ebinghaus, Lu Wang, Yaye Wang, Qingguo Huang, Thera Sahara, Doonyapong Wongsawaeng, Suttichai Assabumrungrat, Herb Brody, P. Travis Thompson, Sweta Ojha, Hunter N. B. Moseley, Lin Yang, Jingguang Li, Yongning Wu, Liyilan Zhang, Yiwen Qi, Tao Wu, Jiaxi Tang, Yongle Zhu, Mengxue Li, Ole John Nielsen, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Paul J. Ferraro, Carsten Prasse, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Heli Routti, Mari K. Berg, Anders Goksøyr",01 May 2024
/articles/s41598-024-57140-9,Differential scanning fluorimetry to assess PFAS binding to bovine serum albumin protein,Disposing of these persistent substances often requires high pressures and temperatures.,"nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Shilai Hao, Jennifer L. Guelfo, P. Lee Ferguson, Marzieh Shojaei, Zulin Zhang, Yongfei Ma, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Feng Xiao, Baolin Deng, Dongye Zhao, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, Min Nian, Wei Zhou, Jun Zhang, Mark Strynar, Yunqiao Zhou, Xiaoping Wang, Jiao Ren, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Bosen Jin, Huaqing Liu, Yujie Men, Junseok Lee, Changwoo Kim, John D. Fortner, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Ananya Rastogi, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Yanjie Qi, Shouliang Huo, Zhuoshi He, Mohit Chaudhary, Michal Sela-Adler, Oded Nir, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Yosr Ammar, Suzanne Faxneld, Anne L. Soerensen, Jie Li, Suling Ye, Liang Chen, Caiming Tang, Yutao Liang, Hui Lin, XiaoZhi Lim, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Muhammad Usman, Khalil Hanna, Dario Savoca, Raffaella Melfi, Andrea Pace, Lei You, Jing Kou, Guowang Xu, Zhiyong Xie, Zhen Wang, Ralf Ebinghaus, Lu Wang, Yaye Wang, Qingguo Huang, Thera Sahara, Doonyapong Wongsawaeng, Suttichai Assabumrungrat, Herb Brody, P. Travis Thompson, Sweta Ojha, Hunter N. B. Moseley, Lin Yang, Jingguang Li, Yongning Wu, Liyilan Zhang, Yiwen Qi, Tao Wu, Jiaxi Tang, Yongle Zhu, Mengxue Li, Ole John Nielsen, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Paul J. Ferraro, Carsten Prasse, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Heli Routti, Mari K. Berg, Anders Goksøyr",01 May 2024
/articles/d41586-022-02247-0,How to destroy ‘forever chemicals’: cheap method breaks down PFAS,Disposing of these persistent substances often requires high pressures and temperatures.,"nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Shilai Hao, Jennifer L. Guelfo, P. Lee Ferguson, Marzieh Shojaei, Zulin Zhang, Yongfei Ma, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Feng Xiao, Baolin Deng, Dongye Zhao, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, Min Nian, Wei Zhou, Jun Zhang, Mark Strynar, Yunqiao Zhou, Xiaoping Wang, Jiao Ren, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Bosen Jin, Huaqing Liu, Yujie Men, Junseok Lee, Changwoo Kim, John D. Fortner, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Ananya Rastogi, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Yanjie Qi, Shouliang Huo, Zhuoshi He, Mohit Chaudhary, Michal Sela-Adler, Oded Nir, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Yosr Ammar, Suzanne Faxneld, Anne L. Soerensen, Jie Li, Suling Ye, Liang Chen, Caiming Tang, Yutao Liang, Hui Lin, XiaoZhi Lim, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Muhammad Usman, Khalil Hanna, Dario Savoca, Raffaella Melfi, Andrea Pace, Lei You, Jing Kou, Guowang Xu, Zhiyong Xie, Zhen Wang, Ralf Ebinghaus, Lu Wang, Yaye Wang, Qingguo Huang, Thera Sahara, Doonyapong Wongsawaeng, Suttichai Assabumrungrat, Herb Brody, P. Travis Thompson, Sweta Ojha, Hunter N. B. Moseley, Lin Yang, Jingguang Li, Yongning Wu, Liyilan Zhang, Yiwen Qi, Tao Wu, Jiaxi Tang, Yongle Zhu, Mengxue Li, Ole John Nielsen, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Paul J. Ferraro, Carsten Prasse, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Heli Routti, Mari K. Berg, Anders Goksøyr",01 May 2024
/articles/d41586-023-02444-5,Could the world go PFAS-free? Proposal to ban ‘forever chemicals’ fuels debate,"A European agency is considering sweeping restrictions on fluorinated chemicals used in jet engines, electric cars, refrigeration systems, semiconductors and many consumer products.","nature, search, Yunqiao Guan, Zekun Liu, Yang Yang, Shilai Hao, Jennifer L. Guelfo, P. Lee Ferguson, Marzieh Shojaei, Zulin Zhang, Yongfei Ma, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Feng Xiao, Baolin Deng, Dongye Zhao, Jessica Alesio, Geoffrey D. Bothun, Giorgia Guglielmi, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, Min Nian, Wei Zhou, Jun Zhang, Mark Strynar, Yunqiao Zhou, Xiaoping Wang, Jiao Ren, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Bosen Jin, Huaqing Liu, Yujie Men, Junseok Lee, Changwoo Kim, John D. Fortner, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Ananya Rastogi, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Yanjie Qi, Shouliang Huo, Zhuoshi He, Mohit Chaudhary, Michal Sela-Adler, Oded Nir, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Yosr Ammar, Suzanne Faxneld, Anne L. Soerensen, Jie Li, Suling Ye, Liang Chen, Caiming Tang, Yutao Liang, Hui Lin, XiaoZhi Lim, Jesse S. Ko, Nam Q. Le, Zhiyong Xia, Muhammad Usman, Khalil Hanna, Dario Savoca, Raffaella Melfi, Andrea Pace, Lei You, Jing Kou, Guowang Xu, Zhiyong Xie, Zhen Wang, Ralf Ebinghaus, Lu Wang, Yaye Wang, Qingguo Huang, Thera Sahara, Doonyapong Wongsawaeng, Suttichai Assabumrungrat, Herb Brody, P. Travis Thompson, Sweta Ojha, Hunter N. B. Moseley, Lin Yang, Jingguang Li, Yongning Wu, Liyilan Zhang, Yiwen Qi, Tao Wu, Jiaxi Tang, Yongle Zhu, Mengxue Li, Ole John Nielsen, Vincent Bessonneau, Roy R. Gerona, Ruthann A. Rudel, Paul J. Ferraro, Carsten Prasse, Mengnan Lu, Giovanni Cagnetta, Gang Yu, Heli Routti, Mari K. Berg, Anders Goksøyr",01 May 2024
