href,title,description,authors,date_published
/articles/s44221-023-00046-z,Photochemical degradation pathways and near-complete defluorination of chlorinated polyfluoroalkyl substances,The achievement of almost complete defluorination of chlorinated polyfluoroalkyl substances reveals insight into the degradation pathways of these persistent contaminants.,"nature, search, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Daniel Nohrstedt, Maurizio Mazzoleni, Giuliano Di Baldassarre, Herb Brody, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Lauren D. Benton, Nicolas Lopez-Galvez, Paloma I. Beamer, Amin Kiaghadi, Hanadi S. Rifai, Clint N. Dawson, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman",03 Apr 2023
/articles/d41586-023-03876-9,How to take ‘forever’ out of forever chemicals,"Stubborn compounds called PFAS in drinking water put health at risk. Technologies based on plasmas, pressure, sound or fungus could finally degrade these chemicals.","nature, search, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Daniel Nohrstedt, Maurizio Mazzoleni, Giuliano Di Baldassarre, Herb Brody, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Lauren D. Benton, Nicolas Lopez-Galvez, Paloma I. Beamer, Amin Kiaghadi, Hanadi S. Rifai, Clint N. Dawson, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman",03 Apr 2023
/articles/s41597-023-02277-x,Identifying and sharing per-and polyfluoroalkyl substances hot-spot areas and exposures in drinking water,"Whether disasters spur policy change remains contested. Here, the authors utilize a dataset of 10,976 natural hazard events and multiple disaster risk reduction (DRR) policy indicators across 85 countries over eight years to show that frequency and severity factors are unassociated with improved DRR policy.","nature, search, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Daniel Nohrstedt, Maurizio Mazzoleni, Giuliano Di Baldassarre, Herb Brody, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Lauren D. Benton, Nicolas Lopez-Galvez, Paloma I. Beamer, Amin Kiaghadi, Hanadi S. Rifai, Clint N. Dawson, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman",03 Apr 2023
/articles/s41467-020-20435-2,Exposure to natural hazard events unassociated with policy change for improved disaster risk reduction,"Whether disasters spur policy change remains contested. Here, the authors utilize a dataset of 10,976 natural hazard events and multiple disaster risk reduction (DRR) policy indicators across 85 countries over eight years to show that frequency and severity factors are unassociated with improved DRR policy.","nature, search, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Daniel Nohrstedt, Maurizio Mazzoleni, Giuliano Di Baldassarre, Herb Brody, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Lauren D. Benton, Nicolas Lopez-Galvez, Paloma I. Beamer, Amin Kiaghadi, Hanadi S. Rifai, Clint N. Dawson, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman",03 Apr 2023
/articles/d41586-023-03961-z,Water: a source of life and strife,"Water is an essential resource, but it can also cause conflict, expose people to pollution and put communities at risk in the form of flooding.","nature, search, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Daniel Nohrstedt, Maurizio Mazzoleni, Giuliano Di Baldassarre, Herb Brody, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Lauren D. Benton, Nicolas Lopez-Galvez, Paloma I. Beamer, Amin Kiaghadi, Hanadi S. Rifai, Clint N. Dawson, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman",03 Apr 2023
/articles/s41598-024-63726-0,An exploratory analysis of the impact of area-level exposome on geographic disparities in aggressive prostate cancer,"Remediation of contaminated and disused brownfields enables urban development, but many remediation strategies have high environmental or social burdens. This Review examines sustainable technologies to remediate and redevelop these sites, highlighting strategies to maximize co-benefits.","nature, search, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Daniel Nohrstedt, Maurizio Mazzoleni, Giuliano Di Baldassarre, Herb Brody, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Lauren D. Benton, Nicolas Lopez-Galvez, Paloma I. Beamer, Amin Kiaghadi, Hanadi S. Rifai, Clint N. Dawson, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman",03 Apr 2023
/articles/s43017-023-00404-1,Sustainable remediation and redevelopment of brownfield sites,"Remediation of contaminated and disused brownfields enables urban development, but many remediation strategies have high environmental or social burdens. This Review examines sustainable technologies to remediate and redevelop these sites, highlighting strategies to maximize co-benefits.","nature, search, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Daniel Nohrstedt, Maurizio Mazzoleni, Giuliano Di Baldassarre, Herb Brody, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Lauren D. Benton, Nicolas Lopez-Galvez, Paloma I. Beamer, Amin Kiaghadi, Hanadi S. Rifai, Clint N. Dawson, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman",03 Apr 2023
/articles/s41598-024-63356-6,Environmental and structural factors associated with bacterial diversity in household dust across the Arizona-Sonora border,"Superfund sites have hazardous wastes that could affect the health of those who live near them, but this has not been assessed across the USA. Here the authors find that proximity to superfund sites decreases life expectancy and is further exacerbated by sociodemographic and climate change factors.","nature, search, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Daniel Nohrstedt, Maurizio Mazzoleni, Giuliano Di Baldassarre, Herb Brody, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Lauren D. Benton, Nicolas Lopez-Galvez, Paloma I. Beamer, Amin Kiaghadi, Hanadi S. Rifai, Clint N. Dawson, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman",03 Apr 2023
/articles/s41467-021-22249-2,The presence of Superfund sites as a determinant of life expectancy in the United States,"Superfund sites have hazardous wastes that could affect the health of those who live near them, but this has not been assessed across the USA. Here the authors find that proximity to superfund sites decreases life expectancy and is further exacerbated by sociodemographic and climate change factors.","nature, search, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Daniel Nohrstedt, Maurizio Mazzoleni, Giuliano Di Baldassarre, Herb Brody, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Lauren D. Benton, Nicolas Lopez-Galvez, Paloma I. Beamer, Amin Kiaghadi, Hanadi S. Rifai, Clint N. Dawson, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman",03 Apr 2023
/articles/s41893-022-01050-z,Green chemistry as just chemistry,"Owing to the underlying chemical nature of many environmental injustices, green chemistry can play a role in advancing environmental justice towards a more equitable future.","nature, search, Jinyu Gao, Zekun Liu, Jinyong Liu, Neil Savage, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Daniel Nohrstedt, Maurizio Mazzoleni, Giuliano Di Baldassarre, Herb Brody, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, Deyi Hou, Abir Al-Tabbaa, Jörg Rinklebe, Lauren D. Benton, Nicolas Lopez-Galvez, Paloma I. Beamer, Amin Kiaghadi, Hanadi S. Rifai, Clint N. Dawson, Mary Kate M. Lane, Holly E. Rudel, Julie B. Zimmerman",03 Apr 2023
