href,title,description,authors,date_published
/articles/s41598-023-46717-5,Diversity and evolution of the MHC class II DRB gene in the Capra sibirica experienced a demographic fluctuation in China,"How an AI overcomes data-scarcity to map gene networks, and assessing the impact of rocket noise on wildlife.","nature, search, Pei-Pei Dong, Rui-Rui Wang, Shamshidin Abduriyim, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Nick Petrić Howe, Benjamin Thompson, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Shamshidin Abduriyim, Yoshinori Nishita, Ryuichi Masuda, Yujun Zhang, Qi Shen, Shilin Chen, Xiaojiao Guo, Zongyuan Ma, Le Kang, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, R Dey-Rao, K Seiffert-Sinha, A A Sinha, Yan Wang, Sen Yang, Qin Ma, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, M B Madsen, L J A Kogelman, H B Rasmussen, Carrie V. Breton, Remy Landon, Rebecca Fry",07 Nov 2023
/articles/s41598-021-99091-5,"Gene-level analysis of rare variants in 379,066 whole exome sequences identifies an association of GIGYF1 loss of function with type 2 diabetes","How an AI overcomes data-scarcity to map gene networks, and assessing the impact of rocket noise on wildlife.","nature, search, Pei-Pei Dong, Rui-Rui Wang, Shamshidin Abduriyim, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Nick Petrić Howe, Benjamin Thompson, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Shamshidin Abduriyim, Yoshinori Nishita, Ryuichi Masuda, Yujun Zhang, Qi Shen, Shilin Chen, Xiaojiao Guo, Zongyuan Ma, Le Kang, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, R Dey-Rao, K Seiffert-Sinha, A A Sinha, Yan Wang, Sen Yang, Qin Ma, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, M B Madsen, L J A Kogelman, H B Rasmussen, Carrie V. Breton, Remy Landon, Rebecca Fry",07 Nov 2023
/articles/d41586-023-01803-6,AI identifies gene interactions to speed up search for treatment targets,"How an AI overcomes data-scarcity to map gene networks, and assessing the impact of rocket noise on wildlife.","nature, search, Pei-Pei Dong, Rui-Rui Wang, Shamshidin Abduriyim, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Nick Petrić Howe, Benjamin Thompson, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Shamshidin Abduriyim, Yoshinori Nishita, Ryuichi Masuda, Yujun Zhang, Qi Shen, Shilin Chen, Xiaojiao Guo, Zongyuan Ma, Le Kang, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, R Dey-Rao, K Seiffert-Sinha, A A Sinha, Yan Wang, Sen Yang, Qin Ma, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, M B Madsen, L J A Kogelman, H B Rasmussen, Carrie V. Breton, Remy Landon, Rebecca Fry",07 Nov 2023
/articles/s41467-019-09981-6,PFA ependymoma-associated protein EZHIP inhibits PRC2 activity through a H3 K27M-like mechanism,PFA tumours express high levels ofEZHIP(also known asCXORF67). Here the authors find that EZHIP directly interacts with the active site of EZH2 and is a competitive inhibitor of PRC2 and that EZHIP gives rise to H3K27me3 genomic profile similar to the K27M oncohistone.,"nature, search, Pei-Pei Dong, Rui-Rui Wang, Shamshidin Abduriyim, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Nick Petrić Howe, Benjamin Thompson, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Shamshidin Abduriyim, Yoshinori Nishita, Ryuichi Masuda, Yujun Zhang, Qi Shen, Shilin Chen, Xiaojiao Guo, Zongyuan Ma, Le Kang, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, R Dey-Rao, K Seiffert-Sinha, A A Sinha, Yan Wang, Sen Yang, Qin Ma, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, M B Madsen, L J A Kogelman, H B Rasmussen, Carrie V. Breton, Remy Landon, Rebecca Fry",07 Nov 2023
/articles/srep19429,"Meta-analysis of lipid-traits in Hispanics identifies novel loci, population-specific effects and tissue-specific enrichment of eQTLs","The question as to how the soma regulates the germline has been much studied. Here, the authors show inC. elegansthat the poly-U specific endoribonuclease ENDU-2 is secreted from the soma and taken-up by the germline, binding mature mRNA, repressing expression of somatic transcripts and maintaining germline immortality.","nature, search, Pei-Pei Dong, Rui-Rui Wang, Shamshidin Abduriyim, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Nick Petrić Howe, Benjamin Thompson, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Shamshidin Abduriyim, Yoshinori Nishita, Ryuichi Masuda, Yujun Zhang, Qi Shen, Shilin Chen, Xiaojiao Guo, Zongyuan Ma, Le Kang, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, R Dey-Rao, K Seiffert-Sinha, A A Sinha, Yan Wang, Sen Yang, Qin Ma, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, M B Madsen, L J A Kogelman, H B Rasmussen, Carrie V. Breton, Remy Landon, Rebecca Fry",07 Nov 2023
/articles/s41417-022-00504-y,MicroRNA-21 guide and passenger strand regulation of adenylosuccinate lyase-mediated purine metabolism promotes transition to an EGFR-TKI-tolerant persister state,"The question as to how the soma regulates the germline has been much studied. Here, the authors show inC. elegansthat the poly-U specific endoribonuclease ENDU-2 is secreted from the soma and taken-up by the germline, binding mature mRNA, repressing expression of somatic transcripts and maintaining germline immortality.","nature, search, Pei-Pei Dong, Rui-Rui Wang, Shamshidin Abduriyim, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Nick Petrić Howe, Benjamin Thompson, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Shamshidin Abduriyim, Yoshinori Nishita, Ryuichi Masuda, Yujun Zhang, Qi Shen, Shilin Chen, Xiaojiao Guo, Zongyuan Ma, Le Kang, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, R Dey-Rao, K Seiffert-Sinha, A A Sinha, Yan Wang, Sen Yang, Qin Ma, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, M B Madsen, L J A Kogelman, H B Rasmussen, Carrie V. Breton, Remy Landon, Rebecca Fry",07 Nov 2023
/articles/s41467-021-21516-6,The secreted endoribonuclease ENDU-2 from the soma protects germline immortality in C. elegans,"The question as to how the soma regulates the germline has been much studied. Here, the authors show inC. elegansthat the poly-U specific endoribonuclease ENDU-2 is secreted from the soma and taken-up by the germline, binding mature mRNA, repressing expression of somatic transcripts and maintaining germline immortality.","nature, search, Pei-Pei Dong, Rui-Rui Wang, Shamshidin Abduriyim, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Nick Petrić Howe, Benjamin Thompson, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Shamshidin Abduriyim, Yoshinori Nishita, Ryuichi Masuda, Yujun Zhang, Qi Shen, Shilin Chen, Xiaojiao Guo, Zongyuan Ma, Le Kang, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, R Dey-Rao, K Seiffert-Sinha, A A Sinha, Yan Wang, Sen Yang, Qin Ma, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, M B Madsen, L J A Kogelman, H B Rasmussen, Carrie V. Breton, Remy Landon, Rebecca Fry",07 Nov 2023
/articles/s41437-018-0100-3,"Evolution of MHC class I genes in Eurasian badgers, genus Meles (Carnivora, Mustelidae)","Perilla is a young allotetraploid species within the mint family Lamiaceae. Here, the authors assemble the genomes of a tetraploid species and its diploid progenitor, characterize the incipient diploidization of the tetraploid, conduct population genetics analyses, and identify loci associate with pigmentation and oil content.","nature, search, Pei-Pei Dong, Rui-Rui Wang, Shamshidin Abduriyim, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Nick Petrić Howe, Benjamin Thompson, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Shamshidin Abduriyim, Yoshinori Nishita, Ryuichi Masuda, Yujun Zhang, Qi Shen, Shilin Chen, Xiaojiao Guo, Zongyuan Ma, Le Kang, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, R Dey-Rao, K Seiffert-Sinha, A A Sinha, Yan Wang, Sen Yang, Qin Ma, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, M B Madsen, L J A Kogelman, H B Rasmussen, Carrie V. Breton, Remy Landon, Rebecca Fry",07 Nov 2023
/articles/s41467-021-25681-6,"Incipient diploidization of the medicinal plant Perilla within 10,000 years","Perilla is a young allotetraploid species within the mint family Lamiaceae. Here, the authors assemble the genomes of a tetraploid species and its diploid progenitor, characterize the incipient diploidization of the tetraploid, conduct population genetics analyses, and identify loci associate with pigmentation and oil content.","nature, search, Pei-Pei Dong, Rui-Rui Wang, Shamshidin Abduriyim, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Nick Petrić Howe, Benjamin Thompson, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Shamshidin Abduriyim, Yoshinori Nishita, Ryuichi Masuda, Yujun Zhang, Qi Shen, Shilin Chen, Xiaojiao Guo, Zongyuan Ma, Le Kang, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, R Dey-Rao, K Seiffert-Sinha, A A Sinha, Yan Wang, Sen Yang, Qin Ma, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, M B Madsen, L J A Kogelman, H B Rasmussen, Carrie V. Breton, Remy Landon, Rebecca Fry",07 Nov 2023
/articles/s41467-018-03437-z,Dop1 enhances conspecific olfactory attraction by inhibiting miR-9a maturation in locusts,"Migratory locusts shift between aggregating together during gregarious phases and living individually during solitary phases. Here, the authors find that the D1-like dopamine receptor regulates the olfactory attraction underlying this behavioral switch via microRNA-9a and adenylyl cyclase.","nature, search, Pei-Pei Dong, Rui-Rui Wang, Shamshidin Abduriyim, Aimee M. Deaton, Margaret M. Parker, Paul Nioi, Nick Petrić Howe, Benjamin Thompson, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Wen Cai Zhang, Nicholas Skiados, Frank J. Slack, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Shamshidin Abduriyim, Yoshinori Nishita, Ryuichi Masuda, Yujun Zhang, Qi Shen, Shilin Chen, Xiaojiao Guo, Zongyuan Ma, Le Kang, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, R Dey-Rao, K Seiffert-Sinha, A A Sinha, Yan Wang, Sen Yang, Qin Ma, Ben Kinnersley, Yoichiro Kamatani, Richard S Houlston, M B Madsen, L J A Kogelman, H B Rasmussen, Carrie V. Breton, Remy Landon, Rebecca Fry",07 Nov 2023
