href,title,description,authors,date_published
/articles/s41467-023-38710-3,Newborn metabolomic signatures of maternal per- and polyfluoroalkyl substance exposure and reduced length of gestation,"Mechanisms of the impact of PFAS (also known as forever chemicals) on adverse birth outcomes remain largely unknown. Here, authors identified tissue neogenesis, neuroendocrine function, and redox homeostasis as imprints of prenatal PFAS exposures and reduced gestational age in the newborn metabolome.","nature, search, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, Joseph M. Braun, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Jie Li, Suling Ye, Liang Chen, XiaoZhi Lim, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, David Holmes, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Michael Widder, Luisa Mierzwa, Bernd Lenz, Jiaxi Tang, Yongle Zhu, Mengxue Li, J Stamler, Wanyu Huang, Tak Igusa, Xiaobin Wang, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Marijke de Cock, Michiel R de Boer, Margot van de Bor",30 May 2023
/articles/nrendo.2016.186,Early-life exposure to EDCs: role in childhood obesity and neurodevelopment,"Endocrine-disrupting chemicals (EDCs) can increase the risk of childhood diseases by disrupting hormone-mediated processes critical for growth and development. Here, Joseph Braun discusses epidemiological evidence of associations between early-life exposure to EDCs and childhood neurodevelopmental disorders and obesity.","nature, search, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, Joseph M. Braun, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Jie Li, Suling Ye, Liang Chen, XiaoZhi Lim, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, David Holmes, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Michael Widder, Luisa Mierzwa, Bernd Lenz, Jiaxi Tang, Yongle Zhu, Mengxue Li, J Stamler, Wanyu Huang, Tak Igusa, Xiaobin Wang, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Marijke de Cock, Michiel R de Boer, Margot van de Bor",30 May 2023
/articles/s41366-023-01401-6,Exposure to perfluoroalkyl and polyfluoroalkyl substances and pediatric obesity: a systematic review and meta-analysis,"Researchers are struggling to assess the dangers of nondegradable compounds used in clothes, foams and food wrappings.","nature, search, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, Joseph M. Braun, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Jie Li, Suling Ye, Liang Chen, XiaoZhi Lim, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, David Holmes, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Michael Widder, Luisa Mierzwa, Bernd Lenz, Jiaxi Tang, Yongle Zhu, Mengxue Li, J Stamler, Wanyu Huang, Tak Igusa, Xiaobin Wang, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Marijke de Cock, Michiel R de Boer, Margot van de Bor",30 May 2023
/articles/s41598-024-51187-4,"Association of PFDeA exposure with hypertension (NHANES, 2013–2018)","Researchers are struggling to assess the dangers of nondegradable compounds used in clothes, foams and food wrappings.","nature, search, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, Joseph M. Braun, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Jie Li, Suling Ye, Liang Chen, XiaoZhi Lim, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, David Holmes, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Michael Widder, Luisa Mierzwa, Bernd Lenz, Jiaxi Tang, Yongle Zhu, Mengxue Li, J Stamler, Wanyu Huang, Tak Igusa, Xiaobin Wang, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Marijke de Cock, Michiel R de Boer, Margot van de Bor",30 May 2023
/articles/d41586-019-00441-1,Tainted water: the scientists tracing thousands of fluorinated chemicals in our environment,"Researchers are struggling to assess the dangers of nondegradable compounds used in clothes, foams and food wrappings.","nature, search, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, Joseph M. Braun, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Jie Li, Suling Ye, Liang Chen, XiaoZhi Lim, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, David Holmes, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Michael Widder, Luisa Mierzwa, Bernd Lenz, Jiaxi Tang, Yongle Zhu, Mengxue Li, J Stamler, Wanyu Huang, Tak Igusa, Xiaobin Wang, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Marijke de Cock, Michiel R de Boer, Margot van de Bor",30 May 2023
/articles/s43016-020-0093-y,Nutriome–metabolome relationships provide insights into dietary intake and metabolism,"Urinary metabolic phenotyping of 1,848 adults in the United States shows that 46 structurally identified metabolites were influenced by intakes of 67 nutrients, and accurately predicted healthy and unhealthy dietary patterns. These urinary biomarkers are diet-derived, stable, measurable and associated with disease risk, thereby representing an advance on traditional ways of obtaining information about dietary patterns.","nature, search, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, Joseph M. Braun, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Jie Li, Suling Ye, Liang Chen, XiaoZhi Lim, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, David Holmes, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Michael Widder, Luisa Mierzwa, Bernd Lenz, Jiaxi Tang, Yongle Zhu, Mengxue Li, J Stamler, Wanyu Huang, Tak Igusa, Xiaobin Wang, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Marijke de Cock, Michiel R de Boer, Margot van de Bor",30 May 2023
/articles/nrendo.2016.141,Childhood exposure predicts later adiposity,"The European Society of Endocrinology (ESE), representing 20,000 endocrinologists, is concerned about the effect of endocrine disrupting chemicals (EDCs) on endocrine health, particularly thyroid and gonadal function. The policy strategies of the ESE aim to minimize overall exposure of humans to EDCs and to stimulate funding for research at the level of the European Union.","nature, search, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, Joseph M. Braun, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Jie Li, Suling Ye, Liang Chen, XiaoZhi Lim, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, David Holmes, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Michael Widder, Luisa Mierzwa, Bernd Lenz, Jiaxi Tang, Yongle Zhu, Mengxue Li, J Stamler, Wanyu Huang, Tak Igusa, Xiaobin Wang, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Marijke de Cock, Michiel R de Boer, Margot van de Bor",30 May 2023
/articles/s41574-024-00958-0,Endocrine disrupting chemicals are a threat to hormone health: a commentary on behalf of the ESE,"The European Society of Endocrinology (ESE), representing 20,000 endocrinologists, is concerned about the effect of endocrine disrupting chemicals (EDCs) on endocrine health, particularly thyroid and gonadal function. The policy strategies of the ESE aim to minimize overall exposure of humans to EDCs and to stimulate funding for research at the level of the European Union.","nature, search, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, Joseph M. Braun, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Jie Li, Suling Ye, Liang Chen, XiaoZhi Lim, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, David Holmes, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Michael Widder, Luisa Mierzwa, Bernd Lenz, Jiaxi Tang, Yongle Zhu, Mengxue Li, J Stamler, Wanyu Huang, Tak Igusa, Xiaobin Wang, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Marijke de Cock, Michiel R de Boer, Margot van de Bor",30 May 2023
/articles/s41598-021-83942-2,Evaluation of the German biographic screening interview for fetal alcohol spectrum disorder (BSI-FASD),"Although anaplastic thyroid carcinoma (ATC) is a rare form of thyroid cancer, the limited efficacy of conventional treatment options and challenges in histological diagnosis make this an almost invariably lethal disease. In this Review, the authors describe the clinical and pathological features of ATC, highlight recent advances in uncovering the genetics and molecular biology of this disease, and discuss both conventional and future treatment modalities.","nature, search, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, Joseph M. Braun, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Jie Li, Suling Ye, Liang Chen, XiaoZhi Lim, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, David Holmes, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Michael Widder, Luisa Mierzwa, Bernd Lenz, Jiaxi Tang, Yongle Zhu, Mengxue Li, J Stamler, Wanyu Huang, Tak Igusa, Xiaobin Wang, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Marijke de Cock, Michiel R de Boer, Margot van de Bor",30 May 2023
/articles/s41598-022-07201-8,"Multiple pollutants in groundwater near an abandoned Chinese fluorine chemical park: concentrations, correlations and health risk assessments","Although anaplastic thyroid carcinoma (ATC) is a rare form of thyroid cancer, the limited efficacy of conventional treatment options and challenges in histological diagnosis make this an almost invariably lethal disease. In this Review, the authors describe the clinical and pathological features of ATC, highlight recent advances in uncovering the genetics and molecular biology of this disease, and discuss both conventional and future treatment modalities.","nature, search, Kaitlin R. Taibl, Anne L. Dunlop, Donghai Liang, Joseph M. Braun, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, Jie Li, Suling Ye, Liang Chen, XiaoZhi Lim, Joram M. Posma, Isabel Garcia-Perez, Jeremy K. Nicholson, David Holmes, Martin Reincke, Wiebke Arlt, Jerome Bertherat, Michael Widder, Luisa Mierzwa, Bernd Lenz, Jiaxi Tang, Yongle Zhu, Mengxue Li, J Stamler, Wanyu Huang, Tak Igusa, Xiaobin Wang, Eleonora Molinaro, Cristina Romei, Rossella Elisei, Marijke de Cock, Michiel R de Boer, Margot van de Bor",30 May 2023
