href,title,description,authors,date_published
/articles/d41586-023-02444-5,Could the world go PFAS-free? Proposal to ban ‘forever chemicals’ fuels debate,"A European agency is considering sweeping restrictions on fluorinated chemicals used in jet engines, electric cars, refrigeration systems, semiconductors and many consumer products.","nature, search, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Marcel Levien, Luming Yang, Marina Bennati, Benjamin Thompson, Shamini Bundell, Sunghee Hwangbo, Jiwoong Heo, Jinkee Hong, Chenhao Wang, Xinyi Xu, Deren Yang, Kuichang Zuo, Sergi Garcia-Segura, Qilin Li",01 Aug 2023
/articles/s41467-022-31881-5,Sustainable environmental remediation via biomimetic multifunctional lignocellulosic nano-framework,"Persistent organic pollutant (POP) remediation is important for protecting the environment and human health but can be expensive. Here, the authors report on the creation of a plant-based remediation material which can absorb high levels of POPs and then provide the nutrients needed for fungal degradation and detoxification.","nature, search, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Marcel Levien, Luming Yang, Marina Bennati, Benjamin Thompson, Shamini Bundell, Sunghee Hwangbo, Jiwoong Heo, Jinkee Hong, Chenhao Wang, Xinyi Xu, Deren Yang, Kuichang Zuo, Sergi Garcia-Segura, Qilin Li",01 Aug 2023
/articles/s41545-022-00193-y,Removing forever chemicals via amphiphilic functionalized membranes,"Incorporating fluorine into battery components can improve the energy density, safety and cycling stability of rechargeable batteries. This Review explores the broad use of fluorinated compounds in battery design, examines the relationship between their chemical structure and battery performance and discusses the challenges and opportunities of fluorinated batteries within the present regulatory framework.","nature, search, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Marcel Levien, Luming Yang, Marina Bennati, Benjamin Thompson, Shamini Bundell, Sunghee Hwangbo, Jiwoong Heo, Jinkee Hong, Chenhao Wang, Xinyi Xu, Deren Yang, Kuichang Zuo, Sergi Garcia-Segura, Qilin Li",01 Aug 2023
/articles/s41578-023-00623-4,Fluorination in advanced battery design,"Incorporating fluorine into battery components can improve the energy density, safety and cycling stability of rechargeable batteries. This Review explores the broad use of fluorinated compounds in battery design, examines the relationship between their chemical structure and battery performance and discusses the challenges and opportunities of fluorinated batteries within the present regulatory framework.","nature, search, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Marcel Levien, Luming Yang, Marina Bennati, Benjamin Thompson, Shamini Bundell, Sunghee Hwangbo, Jiwoong Heo, Jinkee Hong, Chenhao Wang, Xinyi Xu, Deren Yang, Kuichang Zuo, Sergi Garcia-Segura, Qilin Li",01 Aug 2023
/articles/s41467-023-40089-0,Biodegradable polyphosphoester micelles act as both background-free 31P magnetic resonance imaging agents and drug nanocarriers,"MRI agents can result in environmental pollution and organ accumulation. Here, the authors show that modifying the molecular structure of biodegradable polyphosphoesters and tailoring the polymers’ microstructure to adjust MRI relaxation times can overcome challenges in31P MR imaging.","nature, search, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Marcel Levien, Luming Yang, Marina Bennati, Benjamin Thompson, Shamini Bundell, Sunghee Hwangbo, Jiwoong Heo, Jinkee Hong, Chenhao Wang, Xinyi Xu, Deren Yang, Kuichang Zuo, Sergi Garcia-Segura, Qilin Li",01 Aug 2023
/articles/s41467-024-50265-5,Overhauser enhanced liquid state nuclear magnetic resonance spectroscopy in one and two dimensions,The authors report signal enhancements in high-resolution liquid-state NMR by a new setup for dynamic nuclear polarization. Two-dimensional NMR techniques are used to transfer hyperpolarization within the nuclei of molecules such as metabolites or drugs.,"nature, search, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Marcel Levien, Luming Yang, Marina Bennati, Benjamin Thompson, Shamini Bundell, Sunghee Hwangbo, Jiwoong Heo, Jinkee Hong, Chenhao Wang, Xinyi Xu, Deren Yang, Kuichang Zuo, Sergi Garcia-Segura, Qilin Li",01 Aug 2023
/articles/d41586-022-02316-4,How to make water that’s full of holes,"Embedded ‘nanocages’ help water dissolve large amounts of gas, and potential evidence that hominins walked on two legs seven million years ago.","nature, search, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Marcel Levien, Luming Yang, Marina Bennati, Benjamin Thompson, Shamini Bundell, Sunghee Hwangbo, Jiwoong Heo, Jinkee Hong, Chenhao Wang, Xinyi Xu, Deren Yang, Kuichang Zuo, Sergi Garcia-Segura, Qilin Li",01 Aug 2023
/articles/srep19178,Transparent superwetting nanofilms with enhanced durability at model physiological condition,"Silicon is an abundant element on earth and is perfectly compatible with the well-established CMOS processing industry. Here, Sun et al. demonstrate multifunctional neuromorphic devices based on silicon nanosheet stacks, bringing silicon back as a potential material for neuromorphic devices.","nature, search, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Marcel Levien, Luming Yang, Marina Bennati, Benjamin Thompson, Shamini Bundell, Sunghee Hwangbo, Jiwoong Heo, Jinkee Hong, Chenhao Wang, Xinyi Xu, Deren Yang, Kuichang Zuo, Sergi Garcia-Segura, Qilin Li",01 Aug 2023
/articles/s41467-022-32884-y,Neuromorphic device based on silicon nanosheets,"Silicon is an abundant element on earth and is perfectly compatible with the well-established CMOS processing industry. Here, Sun et al. demonstrate multifunctional neuromorphic devices based on silicon nanosheet stacks, bringing silicon back as a potential material for neuromorphic devices.","nature, search, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Marcel Levien, Luming Yang, Marina Bennati, Benjamin Thompson, Shamini Bundell, Sunghee Hwangbo, Jiwoong Heo, Jinkee Hong, Chenhao Wang, Xinyi Xu, Deren Yang, Kuichang Zuo, Sergi Garcia-Segura, Qilin Li",01 Aug 2023
/articles/s41578-023-00564-y,Electrified water treatment: fundamentals and roles of electrode materials,"Electrified processes offer a chemical-free approach to the removal of a wide range of contaminants from water, including many that are difficult to remove using conventional methods. This Review discusses the fundamentals of several important electrified processes and highlights the role of electrode materials in contaminant transport and transformation.","nature, search, XiaoZhi Lim, Jinghao Li, Xiaohan Li, Susie Y. Dai, James K. Johnson, K. Michael Salerno, Zhiyong Xia, Yiqing Wang, Zhenzhen Wu, Cheng Zhang, Olga Koshkina, Timo Rheinberger, Frederik R. Wurm, Marcel Levien, Luming Yang, Marina Bennati, Benjamin Thompson, Shamini Bundell, Sunghee Hwangbo, Jiwoong Heo, Jinkee Hong, Chenhao Wang, Xinyi Xu, Deren Yang, Kuichang Zuo, Sergi Garcia-Segura, Qilin Li",01 Aug 2023
