href,title,description,authors,date_published
/articles/s41746-021-00494-5,Harnessing electronic health records to study emerging environmental disasters: a proof of concept with perfluoroalkyl substances (PFAS),"Data on chemical concentrations in commonly recommended diets are sparse. This study estimates the association between adherence to three dietary patterns considered healthy and exposure to environmental chemicals in a multi-racial pregnancy cohort, underscoring the need for increased regulation and monitoring of environmental contaminants.","nature, search, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Jie Li, Suling Ye, Liang Chen, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Hilde B. Lauritzen, Tricia L. Larose, Geir W. Jacobsen, Caitlin C. Murphy, Timothy A. Zaki, Michael Widder, Luisa Mierzwa, Bernd Lenz, Erica L. Scheller, Casey R. Doucette, Ormond A. MacDougald, Kai Luo, Guo-Chong Chen, Qibin Qi, Jean-Baptiste Guimbaud, Alexandros P. Siskos, Léa Maitre, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Mariella Filbin, Michelle Monje, S. C. Mack, H. Witt, M. D. Taylor, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Jae-Jun Song, Yoon Young Go, Jiwon Chang, N. Hayes, N. Reid, K. M. Moritz, Wanyu Huang, Tak Igusa, Xiaobin Wang, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, Nawaz Ahmed, Behnoush Kermanshahi, Paul A. Spagnuolo, April E. Ronca, Eric L. Moyer, Ruth K. Globus, Wook Ha Park, Sora Kang, Lars Lind, Marijke de Cock, Michiel R de Boer, Margot van de Bor",11 Aug 2021
/articles/s41366-023-01420-3,Prenatal exposure to per- and polyfluoroalkyl substances and early childhood adiposity and cardiometabolic health in the Healthy Start study,"Data on chemical concentrations in commonly recommended diets are sparse. This study estimates the association between adherence to three dietary patterns considered healthy and exposure to environmental chemicals in a multi-racial pregnancy cohort, underscoring the need for increased regulation and monitoring of environmental contaminants.","nature, search, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Jie Li, Suling Ye, Liang Chen, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Hilde B. Lauritzen, Tricia L. Larose, Geir W. Jacobsen, Caitlin C. Murphy, Timothy A. Zaki, Michael Widder, Luisa Mierzwa, Bernd Lenz, Erica L. Scheller, Casey R. Doucette, Ormond A. MacDougald, Kai Luo, Guo-Chong Chen, Qibin Qi, Jean-Baptiste Guimbaud, Alexandros P. Siskos, Léa Maitre, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Mariella Filbin, Michelle Monje, S. C. Mack, H. Witt, M. D. Taylor, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Jae-Jun Song, Yoon Young Go, Jiwon Chang, N. Hayes, N. Reid, K. M. Moritz, Wanyu Huang, Tak Igusa, Xiaobin Wang, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, Nawaz Ahmed, Behnoush Kermanshahi, Paul A. Spagnuolo, April E. Ronca, Eric L. Moyer, Ruth K. Globus, Wook Ha Park, Sora Kang, Lars Lind, Marijke de Cock, Michiel R de Boer, Margot van de Bor",11 Aug 2021
/articles/s41598-019-45483-7,Early pregnancy serum levels of perfluoroalkyl substances and risk of preeclampsia in Swedish women,"Data on chemical concentrations in commonly recommended diets are sparse. This study estimates the association between adherence to three dietary patterns considered healthy and exposure to environmental chemicals in a multi-racial pregnancy cohort, underscoring the need for increased regulation and monitoring of environmental contaminants.","nature, search, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Jie Li, Suling Ye, Liang Chen, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Hilde B. Lauritzen, Tricia L. Larose, Geir W. Jacobsen, Caitlin C. Murphy, Timothy A. Zaki, Michael Widder, Luisa Mierzwa, Bernd Lenz, Erica L. Scheller, Casey R. Doucette, Ormond A. MacDougald, Kai Luo, Guo-Chong Chen, Qibin Qi, Jean-Baptiste Guimbaud, Alexandros P. Siskos, Léa Maitre, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Mariella Filbin, Michelle Monje, S. C. Mack, H. Witt, M. D. Taylor, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Jae-Jun Song, Yoon Young Go, Jiwon Chang, N. Hayes, N. Reid, K. M. Moritz, Wanyu Huang, Tak Igusa, Xiaobin Wang, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, Nawaz Ahmed, Behnoush Kermanshahi, Paul A. Spagnuolo, April E. Ronca, Eric L. Moyer, Ruth K. Globus, Wook Ha Park, Sora Kang, Lars Lind, Marijke de Cock, Michiel R de Boer, Margot van de Bor",11 Aug 2021
/articles/s41366-021-00848-9,Perfluoroalkyl and polyfluoroalkyl substances and body size and composition trajectories in midlife women: the study of women’s health across the nation 1999–2018,"Data on chemical concentrations in commonly recommended diets are sparse. This study estimates the association between adherence to three dietary patterns considered healthy and exposure to environmental chemicals in a multi-racial pregnancy cohort, underscoring the need for increased regulation and monitoring of environmental contaminants.","nature, search, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Jie Li, Suling Ye, Liang Chen, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Hilde B. Lauritzen, Tricia L. Larose, Geir W. Jacobsen, Caitlin C. Murphy, Timothy A. Zaki, Michael Widder, Luisa Mierzwa, Bernd Lenz, Erica L. Scheller, Casey R. Doucette, Ormond A. MacDougald, Kai Luo, Guo-Chong Chen, Qibin Qi, Jean-Baptiste Guimbaud, Alexandros P. Siskos, Léa Maitre, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Mariella Filbin, Michelle Monje, S. C. Mack, H. Witt, M. D. Taylor, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Jae-Jun Song, Yoon Young Go, Jiwon Chang, N. Hayes, N. Reid, K. M. Moritz, Wanyu Huang, Tak Igusa, Xiaobin Wang, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, Nawaz Ahmed, Behnoush Kermanshahi, Paul A. Spagnuolo, April E. Ronca, Eric L. Moyer, Ruth K. Globus, Wook Ha Park, Sora Kang, Lars Lind, Marijke de Cock, Michiel R de Boer, Margot van de Bor",11 Aug 2021
/articles/s43016-024-01013-x,Healthy dietary patterns are associated with exposure to environmental chemicals in a pregnancy cohort,"Data on chemical concentrations in commonly recommended diets are sparse. This study estimates the association between adherence to three dietary patterns considered healthy and exposure to environmental chemicals in a multi-racial pregnancy cohort, underscoring the need for increased regulation and monitoring of environmental contaminants.","nature, search, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Jie Li, Suling Ye, Liang Chen, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Hilde B. Lauritzen, Tricia L. Larose, Geir W. Jacobsen, Caitlin C. Murphy, Timothy A. Zaki, Michael Widder, Luisa Mierzwa, Bernd Lenz, Erica L. Scheller, Casey R. Doucette, Ormond A. MacDougald, Kai Luo, Guo-Chong Chen, Qibin Qi, Jean-Baptiste Guimbaud, Alexandros P. Siskos, Léa Maitre, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Mariella Filbin, Michelle Monje, S. C. Mack, H. Witt, M. D. Taylor, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Jae-Jun Song, Yoon Young Go, Jiwon Chang, N. Hayes, N. Reid, K. M. Moritz, Wanyu Huang, Tak Igusa, Xiaobin Wang, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, Nawaz Ahmed, Behnoush Kermanshahi, Paul A. Spagnuolo, April E. Ronca, Eric L. Moyer, Ruth K. Globus, Wook Ha Park, Sora Kang, Lars Lind, Marijke de Cock, Michiel R de Boer, Margot van de Bor",11 Aug 2021
/articles/pr2015213,Perfluoroalkyl and polyfluoroalkyl substances and indicators of immune function in children aged 12–19 y: National Health and Nutrition Examination Survey,"In this Review, Murphy and Zaki discuss changes in the incidence and mortality of colorectal cancer, including trends by age and birth cohort, and consider the contributions of early-life exposures and emerging risk factors.","nature, search, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Jie Li, Suling Ye, Liang Chen, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Hilde B. Lauritzen, Tricia L. Larose, Geir W. Jacobsen, Caitlin C. Murphy, Timothy A. Zaki, Michael Widder, Luisa Mierzwa, Bernd Lenz, Erica L. Scheller, Casey R. Doucette, Ormond A. MacDougald, Kai Luo, Guo-Chong Chen, Qibin Qi, Jean-Baptiste Guimbaud, Alexandros P. Siskos, Léa Maitre, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Mariella Filbin, Michelle Monje, S. C. Mack, H. Witt, M. D. Taylor, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Jae-Jun Song, Yoon Young Go, Jiwon Chang, N. Hayes, N. Reid, K. M. Moritz, Wanyu Huang, Tak Igusa, Xiaobin Wang, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, Nawaz Ahmed, Behnoush Kermanshahi, Paul A. Spagnuolo, April E. Ronca, Eric L. Moyer, Ruth K. Globus, Wook Ha Park, Sora Kang, Lars Lind, Marijke de Cock, Michiel R de Boer, Margot van de Bor",11 Aug 2021
/articles/s41366-020-00717-x,Gestational perfluoroalkyl substance exposure and body mass index trajectories over the first 12 years of life,"In this Review, Murphy and Zaki discuss changes in the incidence and mortality of colorectal cancer, including trends by age and birth cohort, and consider the contributions of early-life exposures and emerging risk factors.","nature, search, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Jie Li, Suling Ye, Liang Chen, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Hilde B. Lauritzen, Tricia L. Larose, Geir W. Jacobsen, Caitlin C. Murphy, Timothy A. Zaki, Michael Widder, Luisa Mierzwa, Bernd Lenz, Erica L. Scheller, Casey R. Doucette, Ormond A. MacDougald, Kai Luo, Guo-Chong Chen, Qibin Qi, Jean-Baptiste Guimbaud, Alexandros P. Siskos, Léa Maitre, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Mariella Filbin, Michelle Monje, S. C. Mack, H. Witt, M. D. Taylor, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Jae-Jun Song, Yoon Young Go, Jiwon Chang, N. Hayes, N. Reid, K. M. Moritz, Wanyu Huang, Tak Igusa, Xiaobin Wang, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, Nawaz Ahmed, Behnoush Kermanshahi, Paul A. Spagnuolo, April E. Ronca, Eric L. Moyer, Ruth K. Globus, Wook Ha Park, Sora Kang, Lars Lind, Marijke de Cock, Michiel R de Boer, Margot van de Bor",11 Aug 2021
/articles/s41598-021-82748-6,Exposure to perfluoroalkyl substances in early pregnancy and risk of sporadic first trimester miscarriage,"In this Review, Murphy and Zaki discuss changes in the incidence and mortality of colorectal cancer, including trends by age and birth cohort, and consider the contributions of early-life exposures and emerging risk factors.","nature, search, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Jie Li, Suling Ye, Liang Chen, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Hilde B. Lauritzen, Tricia L. Larose, Geir W. Jacobsen, Caitlin C. Murphy, Timothy A. Zaki, Michael Widder, Luisa Mierzwa, Bernd Lenz, Erica L. Scheller, Casey R. Doucette, Ormond A. MacDougald, Kai Luo, Guo-Chong Chen, Qibin Qi, Jean-Baptiste Guimbaud, Alexandros P. Siskos, Léa Maitre, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Mariella Filbin, Michelle Monje, S. C. Mack, H. Witt, M. D. Taylor, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Jae-Jun Song, Yoon Young Go, Jiwon Chang, N. Hayes, N. Reid, K. M. Moritz, Wanyu Huang, Tak Igusa, Xiaobin Wang, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, Nawaz Ahmed, Behnoush Kermanshahi, Paul A. Spagnuolo, April E. Ronca, Eric L. Moyer, Ruth K. Globus, Wook Ha Park, Sora Kang, Lars Lind, Marijke de Cock, Michiel R de Boer, Margot van de Bor",11 Aug 2021
/articles/s41598-021-99174-3,"Umbilical cord serum concentrations of perfluorooctane sulfonate, perfluorooctanoic acid, and the body mass index changes from birth to 5 1/2 years of age","In this Review, Murphy and Zaki discuss changes in the incidence and mortality of colorectal cancer, including trends by age and birth cohort, and consider the contributions of early-life exposures and emerging risk factors.","nature, search, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Jie Li, Suling Ye, Liang Chen, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Hilde B. Lauritzen, Tricia L. Larose, Geir W. Jacobsen, Caitlin C. Murphy, Timothy A. Zaki, Michael Widder, Luisa Mierzwa, Bernd Lenz, Erica L. Scheller, Casey R. Doucette, Ormond A. MacDougald, Kai Luo, Guo-Chong Chen, Qibin Qi, Jean-Baptiste Guimbaud, Alexandros P. Siskos, Léa Maitre, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Mariella Filbin, Michelle Monje, S. C. Mack, H. Witt, M. D. Taylor, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Jae-Jun Song, Yoon Young Go, Jiwon Chang, N. Hayes, N. Reid, K. M. Moritz, Wanyu Huang, Tak Igusa, Xiaobin Wang, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, Nawaz Ahmed, Behnoush Kermanshahi, Paul A. Spagnuolo, April E. Ronca, Eric L. Moyer, Ruth K. Globus, Wook Ha Park, Sora Kang, Lars Lind, Marijke de Cock, Michiel R de Boer, Margot van de Bor",11 Aug 2021
/articles/s41598-024-51187-4,"Association of PFDeA exposure with hypertension (NHANES, 2013–2018)","In this Review, Murphy and Zaki discuss changes in the incidence and mortality of colorectal cancer, including trends by age and birth cohort, and consider the contributions of early-life exposures and emerging risk factors.","nature, search, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Ning Ding, Carrie A. Karvonen-Gutierrez, Sung Kyun Park, Guoqi Yu, Ruijin Lu, Cuilin Zhang, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Sverre Wikström, Ghada Hussein, Carl-Gustaf Bornehag, Takanobu Horikoshi, Tomoko Nishimura, Kenji J. Tsuchiya, Jie Li, Suling Ye, Liang Chen, Andrea Di Nisio, Maria Santa Rocca, Carlo Foresta, Yang Zhou, Li-Wen Hu, Guang-Hui Dong, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Hilde B. Lauritzen, Tricia L. Larose, Geir W. Jacobsen, Caitlin C. Murphy, Timothy A. Zaki, Michael Widder, Luisa Mierzwa, Bernd Lenz, Erica L. Scheller, Casey R. Doucette, Ormond A. MacDougald, Kai Luo, Guo-Chong Chen, Qibin Qi, Jean-Baptiste Guimbaud, Alexandros P. Siskos, Léa Maitre, Lukas Ehrig, Ann-Christin Wagner, Stefan Konigorski, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Mariella Filbin, Michelle Monje, S. C. Mack, H. Witt, M. D. Taylor, Jeffrey R Whiteaker, Chenwei Lin, Amanda G Paulovich, Jae-Jun Song, Yoon Young Go, Jiwon Chang, N. Hayes, N. Reid, K. M. Moritz, Wanyu Huang, Tak Igusa, Xiaobin Wang, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, Nawaz Ahmed, Behnoush Kermanshahi, Paul A. Spagnuolo, April E. Ronca, Eric L. Moyer, Ruth K. Globus, Wook Ha Park, Sora Kang, Lars Lind, Marijke de Cock, Michiel R de Boer, Margot van de Bor",11 Aug 2021
