href,title,description,authors,date_published
/articles/s41467-019-09981-6,PFA ependymoma-associated protein EZHIP inhibits PRC2 activity through a H3 K27M-like mechanism,PFA tumours express high levels ofEZHIP(also known asCXORF67). Here the authors find that EZHIP directly interacts with the active site of EZH2 and is a competitive inhibitor of PRC2 and that EZHIP gives rise to H3K27me3 genomic profile similar to the K27M oncohistone.,"nature, search, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, John Leonard, Xiaoran Wei, Michelle H. Theus, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Xiaojiao Guo, Zongyuan Ma, Le Kang, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs",13 May 2019
/articles/s41598-020-80734-y,Infant circulating MicroRNAs as biomarkers of effect in fetal alcohol spectrum disorders,"Arany and colleagues integrate metabolomics data, tissue RNA-sequencing data and proteomics data from explanted hearts of patients with end-stage heart failure to provide a comprehensive ‘multi-omic’ evaluation of the metabolic pathways affected by heart failure.","nature, search, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, John Leonard, Xiaoran Wei, Michelle H. Theus, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Xiaojiao Guo, Zongyuan Ma, Le Kang, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs",13 May 2019
/articles/s41598-024-58904-z,Transcriptomic alterations in cortical astrocytes following the development of post-traumatic epilepsy,"Arany and colleagues integrate metabolomics data, tissue RNA-sequencing data and proteomics data from explanted hearts of patients with end-stage heart failure to provide a comprehensive ‘multi-omic’ evaluation of the metabolic pathways affected by heart failure.","nature, search, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, John Leonard, Xiaoran Wei, Michelle H. Theus, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Xiaojiao Guo, Zongyuan Ma, Le Kang, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs",13 May 2019
/articles/s44161-022-00117-6,Integrated landscape of cardiac metabolism in end-stage human nonischemic dilated cardiomyopathy,"Arany and colleagues integrate metabolomics data, tissue RNA-sequencing data and proteomics data from explanted hearts of patients with end-stage heart failure to provide a comprehensive ‘multi-omic’ evaluation of the metabolic pathways affected by heart failure.","nature, search, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, John Leonard, Xiaoran Wei, Michelle H. Theus, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Xiaojiao Guo, Zongyuan Ma, Le Kang, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs",13 May 2019
/articles/s41598-022-07397-9,Reduced ech-6 expression attenuates fat-induced lifespan shortening in C. elegans,"FasR is a TetR-like transcriptional activator that plays a central role in sensing mycobacterial long-chain fatty acids and regulating lipid biosynthesis inMycobacterium tuberculosis. Here authors present crystal structures ofM. tuberculosisFasR in complex with acyl effector ligands and with DNA, uncovering its molecular sensory and switching mechanisms.","nature, search, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, John Leonard, Xiaoran Wei, Michelle H. Theus, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Xiaojiao Guo, Zongyuan Ma, Le Kang, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs",13 May 2019
/articles/s41467-020-17504-x,Mycobacterium tuberculosis FasR senses long fatty acyl-CoA through a tunnel and a hydrophobic transmission spine,"FasR is a TetR-like transcriptional activator that plays a central role in sensing mycobacterial long-chain fatty acids and regulating lipid biosynthesis inMycobacterium tuberculosis. Here authors present crystal structures ofM. tuberculosisFasR in complex with acyl effector ligands and with DNA, uncovering its molecular sensory and switching mechanisms.","nature, search, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, John Leonard, Xiaoran Wei, Michelle H. Theus, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Xiaojiao Guo, Zongyuan Ma, Le Kang, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs",13 May 2019
/articles/s41467-018-03437-z,Dop1 enhances conspecific olfactory attraction by inhibiting miR-9a maturation in locusts,"Migratory locusts shift between aggregating together during gregarious phases and living individually during solitary phases. Here, the authors find that the D1-like dopamine receptor regulates the olfactory attraction underlying this behavioral switch via microRNA-9a and adenylyl cyclase.","nature, search, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, John Leonard, Xiaoran Wei, Michelle H. Theus, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Xiaojiao Guo, Zongyuan Ma, Le Kang, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs",13 May 2019
/articles/srep40756,A comprehensive platform for the analysis of ubiquitin-like protein modifications using in vivo biotinylation,,"nature, search, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, John Leonard, Xiaoran Wei, Michelle H. Theus, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Xiaojiao Guo, Zongyuan Ma, Le Kang, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs",13 May 2019
/articles/srep18958,Gene targets of mouse miR-709: regulation of distinct pools,,"nature, search, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, John Leonard, Xiaoran Wei, Michelle H. Theus, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Xiaojiao Guo, Zongyuan Ma, Le Kang, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs",13 May 2019
/articles/s41380-018-0095-4,Review and gap analysis: molecular pathways leading to fetal alcohol spectrum disorders,,"nature, search, Siddhant U. Jain, Truman J. Do, Peter W. Lewis, Amanda H. Mahnke, Georgios D. Sideridis, Joseph L. Jacobson, John Leonard, Xiaoran Wei, Michelle H. Theus, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Julia Lara, Lautaro Diacovich, Alejandro Buschiazzo, Xiaojiao Guo, Zongyuan Ma, Le Kang, Lucia Pirone, Wendy Xolalpa, James D. Sutherland, Sneha Surendran, Victoria N. Jideonwo, Núria Morral, Friederike Ehrhart, Sylvia Roozen, Leopold M. G. Curfs",13 May 2019
