href,title,description,authors,date_published
/articles/s41598-020-62152-2,Perfluorooctane sulfonate (PFOS) and perfluorooctanoate (PFOA) acutely affect human α1β2γ2L GABAA receptor and spontaneous neuronal network function in vitro,"Nongenetic factors contribute to the onset, progression and severity of neurodegenerative diseases. Here, the authors describe how exposomics, the systematic analysis of environmental factors, can help neuroscientists understand these diseases.","nature, search, Anke M. Tukker, Lianne M. S. Bouwman, Remco H. S. Westerink, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Virginie Girault, Vianney Gilard, Soumeya Bekri, John Leonard, Xiaoran Wei, Michelle H. Theus, Xiaojiao Guo, Zongyuan Ma, Le Kang, Louise Ramhøj, Ulla Hass, Marta Axelstad, Maria Angeles Bonmati-Carrion, Beatriz Baño-Otalora, Maria Angeles Rol, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Francesca Rocchio, Laura Tapella, Dmitry Lim, Zixuan Wu, Ping Liu, Shaowu Cheng, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, April E. Ronca, Eric L. Moyer, Ruth K. Globus",24 Mar 2020
/articles/s41593-024-01627-1,Assessing the contribution of the chemical exposome to neurodegenerative disease,"Nongenetic factors contribute to the onset, progression and severity of neurodegenerative diseases. Here, the authors describe how exposomics, the systematic analysis of environmental factors, can help neuroscientists understand these diseases.","nature, search, Anke M. Tukker, Lianne M. S. Bouwman, Remco H. S. Westerink, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Virginie Girault, Vianney Gilard, Soumeya Bekri, John Leonard, Xiaoran Wei, Michelle H. Theus, Xiaojiao Guo, Zongyuan Ma, Le Kang, Louise Ramhøj, Ulla Hass, Marta Axelstad, Maria Angeles Bonmati-Carrion, Beatriz Baño-Otalora, Maria Angeles Rol, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Francesca Rocchio, Laura Tapella, Dmitry Lim, Zixuan Wu, Ping Liu, Shaowu Cheng, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, April E. Ronca, Eric L. Moyer, Ruth K. Globus",24 Mar 2020
/articles/cddis201729,Prenatal alcohol exposure impairs autophagy in neonatal brain cortical microvessels,"Migratory locusts shift between aggregating together during gregarious phases and living individually during solitary phases. Here, the authors find that the D1-like dopamine receptor regulates the olfactory attraction underlying this behavioral switch via microRNA-9a and adenylyl cyclase.","nature, search, Anke M. Tukker, Lianne M. S. Bouwman, Remco H. S. Westerink, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Virginie Girault, Vianney Gilard, Soumeya Bekri, John Leonard, Xiaoran Wei, Michelle H. Theus, Xiaojiao Guo, Zongyuan Ma, Le Kang, Louise Ramhøj, Ulla Hass, Marta Axelstad, Maria Angeles Bonmati-Carrion, Beatriz Baño-Otalora, Maria Angeles Rol, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Francesca Rocchio, Laura Tapella, Dmitry Lim, Zixuan Wu, Ping Liu, Shaowu Cheng, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, April E. Ronca, Eric L. Moyer, Ruth K. Globus",24 Mar 2020
/articles/s41598-024-58904-z,Transcriptomic alterations in cortical astrocytes following the development of post-traumatic epilepsy,"Migratory locusts shift between aggregating together during gregarious phases and living individually during solitary phases. Here, the authors find that the D1-like dopamine receptor regulates the olfactory attraction underlying this behavioral switch via microRNA-9a and adenylyl cyclase.","nature, search, Anke M. Tukker, Lianne M. S. Bouwman, Remco H. S. Westerink, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Virginie Girault, Vianney Gilard, Soumeya Bekri, John Leonard, Xiaoran Wei, Michelle H. Theus, Xiaojiao Guo, Zongyuan Ma, Le Kang, Louise Ramhøj, Ulla Hass, Marta Axelstad, Maria Angeles Bonmati-Carrion, Beatriz Baño-Otalora, Maria Angeles Rol, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Francesca Rocchio, Laura Tapella, Dmitry Lim, Zixuan Wu, Ping Liu, Shaowu Cheng, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, April E. Ronca, Eric L. Moyer, Ruth K. Globus",24 Mar 2020
/articles/s41467-018-03437-z,Dop1 enhances conspecific olfactory attraction by inhibiting miR-9a maturation in locusts,"Migratory locusts shift between aggregating together during gregarious phases and living individually during solitary phases. Here, the authors find that the D1-like dopamine receptor regulates the olfactory attraction underlying this behavioral switch via microRNA-9a and adenylyl cyclase.","nature, search, Anke M. Tukker, Lianne M. S. Bouwman, Remco H. S. Westerink, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Virginie Girault, Vianney Gilard, Soumeya Bekri, John Leonard, Xiaoran Wei, Michelle H. Theus, Xiaojiao Guo, Zongyuan Ma, Le Kang, Louise Ramhøj, Ulla Hass, Marta Axelstad, Maria Angeles Bonmati-Carrion, Beatriz Baño-Otalora, Maria Angeles Rol, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Francesca Rocchio, Laura Tapella, Dmitry Lim, Zixuan Wu, Ping Liu, Shaowu Cheng, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, April E. Ronca, Eric L. Moyer, Ruth K. Globus",24 Mar 2020
/articles/s41598-020-59354-z,Evaluating thyroid hormone disruption: investigations of long-term neurodevelopmental effects in rats after perinatal exposure to perfluorohexane sulfonate (PFHxS),"The latest science news, in brief.","nature, search, Anke M. Tukker, Lianne M. S. Bouwman, Remco H. S. Westerink, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Virginie Girault, Vianney Gilard, Soumeya Bekri, John Leonard, Xiaoran Wei, Michelle H. Theus, Xiaojiao Guo, Zongyuan Ma, Le Kang, Louise Ramhøj, Ulla Hass, Marta Axelstad, Maria Angeles Bonmati-Carrion, Beatriz Baño-Otalora, Maria Angeles Rol, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Francesca Rocchio, Laura Tapella, Dmitry Lim, Zixuan Wu, Ping Liu, Shaowu Cheng, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, April E. Ronca, Eric L. Moyer, Ruth K. Globus",24 Mar 2020
/articles/s41598-017-08691-7,Light color importance for circadian entrainment in a diurnal (Octodon degus) and a nocturnal (Rattus norvegicus) rodent,"The latest science news, in brief.","nature, search, Anke M. Tukker, Lianne M. S. Bouwman, Remco H. S. Westerink, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Virginie Girault, Vianney Gilard, Soumeya Bekri, John Leonard, Xiaoran Wei, Michelle H. Theus, Xiaojiao Guo, Zongyuan Ma, Le Kang, Louise Ramhøj, Ulla Hass, Marta Axelstad, Maria Angeles Bonmati-Carrion, Beatriz Baño-Otalora, Maria Angeles Rol, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Francesca Rocchio, Laura Tapella, Dmitry Lim, Zixuan Wu, Ping Liu, Shaowu Cheng, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, April E. Ronca, Eric L. Moyer, Ruth K. Globus",24 Mar 2020
/articles/d41586-022-02764-y,"Memory boost, forever chemicals and dark-matter signal","The latest science news, in brief.","nature, search, Anke M. Tukker, Lianne M. S. Bouwman, Remco H. S. Westerink, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Virginie Girault, Vianney Gilard, Soumeya Bekri, John Leonard, Xiaoran Wei, Michelle H. Theus, Xiaojiao Guo, Zongyuan Ma, Le Kang, Louise Ramhøj, Ulla Hass, Marta Axelstad, Maria Angeles Bonmati-Carrion, Beatriz Baño-Otalora, Maria Angeles Rol, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Francesca Rocchio, Laura Tapella, Dmitry Lim, Zixuan Wu, Ping Liu, Shaowu Cheng, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, April E. Ronca, Eric L. Moyer, Ruth K. Globus",24 Mar 2020
/articles/s41598-023-49364-y,Machine learning identifies phenotypic profile alterations of human dopaminergic neurons exposed to bisphenols and perfluoroalkyls,,"nature, search, Anke M. Tukker, Lianne M. S. Bouwman, Remco H. S. Westerink, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Virginie Girault, Vianney Gilard, Soumeya Bekri, John Leonard, Xiaoran Wei, Michelle H. Theus, Xiaojiao Guo, Zongyuan Ma, Le Kang, Louise Ramhøj, Ulla Hass, Marta Axelstad, Maria Angeles Bonmati-Carrion, Beatriz Baño-Otalora, Maria Angeles Rol, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Francesca Rocchio, Laura Tapella, Dmitry Lim, Zixuan Wu, Ping Liu, Shaowu Cheng, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, April E. Ronca, Eric L. Moyer, Ruth K. Globus",24 Mar 2020
/articles/s41419-018-1264-8,"Gene expression, proteome and calcium signaling alterations in immortalized hippocampal astrocytes from an Alzheimer’s disease mouse model",,"nature, search, Anke M. Tukker, Lianne M. S. Bouwman, Remco H. S. Westerink, S. Lefèvre-Arbogast, J. Chaker, C. Samieri, Virginie Girault, Vianney Gilard, Soumeya Bekri, John Leonard, Xiaoran Wei, Michelle H. Theus, Xiaojiao Guo, Zongyuan Ma, Le Kang, Louise Ramhøj, Ulla Hass, Marta Axelstad, Maria Angeles Bonmati-Carrion, Beatriz Baño-Otalora, Maria Angeles Rol, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Francesca Rocchio, Laura Tapella, Dmitry Lim, Zixuan Wu, Ping Liu, Shaowu Cheng, Sarah Soyeon Oh, Young Ju Kim, Eun-Cheol Park, April E. Ronca, Eric L. Moyer, Ruth K. Globus",24 Mar 2020
