href,title,description,authors,date_published
/articles/s41598-022-10501-8,Emerging and legacy PFAS and cytokine homeostasis in women of childbearing age,"The double-stranded DNA receptor AIM2 is able to sense the environmental pollutant perfluorooctane sulfonate, a prototypical perfluoro-alkyl substrate. Activation of the AIM2 pathway leads to inflammation and tissue damage via IL-1β secretion and pyroptosis of affected innate immune cells.","nature, search, Min Nian, Wei Zhou, Jun Zhang, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, A. Koskela, J. Koponen, J. Tuukkanen, Li-Qiu Wang, Tao Liu, Jun Cui, Lei You, Jing Kou, Guowang Xu, Thomas Jamnik, Mira Flasch, Benedikt Warth, Stefan P. J. van Leeuwen, A. M. Verschoor, B. J. A. Berendsen, Léa Maitre, Mariona Bustamante, Martine Vrijheid, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, David Holmes, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Sunmin Park, Suk Chon, Sung-Hoon Kim, N. Hayes, N. Reid, K. M. Moritz, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Melissa A. Furlong, Tuo Liu, Jefferey L. Burgess, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Wanyu Huang, Tak Igusa, Xiaobin Wang, Jae-Jun Song, Yoon Young Go, Jiwon Chang",20 Apr 2022
/articles/s41746-021-00494-5,Harnessing electronic health records to study emerging environmental disasters: a proof of concept with perfluoroalkyl substances (PFAS),"The double-stranded DNA receptor AIM2 is able to sense the environmental pollutant perfluorooctane sulfonate, a prototypical perfluoro-alkyl substrate. Activation of the AIM2 pathway leads to inflammation and tissue damage via IL-1β secretion and pyroptosis of affected innate immune cells.","nature, search, Min Nian, Wei Zhou, Jun Zhang, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, A. Koskela, J. Koponen, J. Tuukkanen, Li-Qiu Wang, Tao Liu, Jun Cui, Lei You, Jing Kou, Guowang Xu, Thomas Jamnik, Mira Flasch, Benedikt Warth, Stefan P. J. van Leeuwen, A. M. Verschoor, B. J. A. Berendsen, Léa Maitre, Mariona Bustamante, Martine Vrijheid, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, David Holmes, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Sunmin Park, Suk Chon, Sung-Hoon Kim, N. Hayes, N. Reid, K. M. Moritz, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Melissa A. Furlong, Tuo Liu, Jefferey L. Burgess, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Wanyu Huang, Tak Igusa, Xiaobin Wang, Jae-Jun Song, Yoon Young Go, Jiwon Chang",20 Apr 2022
/articles/s41366-023-01420-3,Prenatal exposure to per- and polyfluoroalkyl substances and early childhood adiposity and cardiometabolic health in the Healthy Start study,"The double-stranded DNA receptor AIM2 is able to sense the environmental pollutant perfluorooctane sulfonate, a prototypical perfluoro-alkyl substrate. Activation of the AIM2 pathway leads to inflammation and tissue damage via IL-1β secretion and pyroptosis of affected innate immune cells.","nature, search, Min Nian, Wei Zhou, Jun Zhang, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, A. Koskela, J. Koponen, J. Tuukkanen, Li-Qiu Wang, Tao Liu, Jun Cui, Lei You, Jing Kou, Guowang Xu, Thomas Jamnik, Mira Flasch, Benedikt Warth, Stefan P. J. van Leeuwen, A. M. Verschoor, B. J. A. Berendsen, Léa Maitre, Mariona Bustamante, Martine Vrijheid, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, David Holmes, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Sunmin Park, Suk Chon, Sung-Hoon Kim, N. Hayes, N. Reid, K. M. Moritz, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Melissa A. Furlong, Tuo Liu, Jefferey L. Burgess, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Wanyu Huang, Tak Igusa, Xiaobin Wang, Jae-Jun Song, Yoon Young Go, Jiwon Chang",20 Apr 2022
/articles/s41598-019-45483-7,Early pregnancy serum levels of perfluoroalkyl substances and risk of preeclampsia in Swedish women,"The double-stranded DNA receptor AIM2 is able to sense the environmental pollutant perfluorooctane sulfonate, a prototypical perfluoro-alkyl substrate. Activation of the AIM2 pathway leads to inflammation and tissue damage via IL-1β secretion and pyroptosis of affected innate immune cells.","nature, search, Min Nian, Wei Zhou, Jun Zhang, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, A. Koskela, J. Koponen, J. Tuukkanen, Li-Qiu Wang, Tao Liu, Jun Cui, Lei You, Jing Kou, Guowang Xu, Thomas Jamnik, Mira Flasch, Benedikt Warth, Stefan P. J. van Leeuwen, A. M. Verschoor, B. J. A. Berendsen, Léa Maitre, Mariona Bustamante, Martine Vrijheid, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, David Holmes, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Sunmin Park, Suk Chon, Sung-Hoon Kim, N. Hayes, N. Reid, K. M. Moritz, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Melissa A. Furlong, Tuo Liu, Jefferey L. Burgess, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Wanyu Huang, Tak Igusa, Xiaobin Wang, Jae-Jun Song, Yoon Young Go, Jiwon Chang",20 Apr 2022
/articles/pr2015213,Perfluoroalkyl and polyfluoroalkyl substances and indicators of immune function in children aged 12–19 y: National Health and Nutrition Examination Survey,"The double-stranded DNA receptor AIM2 is able to sense the environmental pollutant perfluorooctane sulfonate, a prototypical perfluoro-alkyl substrate. Activation of the AIM2 pathway leads to inflammation and tissue damage via IL-1β secretion and pyroptosis of affected innate immune cells.","nature, search, Min Nian, Wei Zhou, Jun Zhang, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, A. Koskela, J. Koponen, J. Tuukkanen, Li-Qiu Wang, Tao Liu, Jun Cui, Lei You, Jing Kou, Guowang Xu, Thomas Jamnik, Mira Flasch, Benedikt Warth, Stefan P. J. van Leeuwen, A. M. Verschoor, B. J. A. Berendsen, Léa Maitre, Mariona Bustamante, Martine Vrijheid, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, David Holmes, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Sunmin Park, Suk Chon, Sung-Hoon Kim, N. Hayes, N. Reid, K. M. Moritz, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Melissa A. Furlong, Tuo Liu, Jefferey L. Burgess, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Wanyu Huang, Tak Igusa, Xiaobin Wang, Jae-Jun Song, Yoon Young Go, Jiwon Chang",20 Apr 2022
/articles/s41366-020-00717-x,Gestational perfluoroalkyl substance exposure and body mass index trajectories over the first 12 years of life,"The double-stranded DNA receptor AIM2 is able to sense the environmental pollutant perfluorooctane sulfonate, a prototypical perfluoro-alkyl substrate. Activation of the AIM2 pathway leads to inflammation and tissue damage via IL-1β secretion and pyroptosis of affected innate immune cells.","nature, search, Min Nian, Wei Zhou, Jun Zhang, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, A. Koskela, J. Koponen, J. Tuukkanen, Li-Qiu Wang, Tao Liu, Jun Cui, Lei You, Jing Kou, Guowang Xu, Thomas Jamnik, Mira Flasch, Benedikt Warth, Stefan P. J. van Leeuwen, A. M. Verschoor, B. J. A. Berendsen, Léa Maitre, Mariona Bustamante, Martine Vrijheid, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, David Holmes, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Sunmin Park, Suk Chon, Sung-Hoon Kim, N. Hayes, N. Reid, K. M. Moritz, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Melissa A. Furlong, Tuo Liu, Jefferey L. Burgess, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Wanyu Huang, Tak Igusa, Xiaobin Wang, Jae-Jun Song, Yoon Young Go, Jiwon Chang",20 Apr 2022
/articles/s41366-023-01401-6,Exposure to perfluoroalkyl and polyfluoroalkyl substances and pediatric obesity: a systematic review and meta-analysis,"The double-stranded DNA receptor AIM2 is able to sense the environmental pollutant perfluorooctane sulfonate, a prototypical perfluoro-alkyl substrate. Activation of the AIM2 pathway leads to inflammation and tissue damage via IL-1β secretion and pyroptosis of affected innate immune cells.","nature, search, Min Nian, Wei Zhou, Jun Zhang, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, A. Koskela, J. Koponen, J. Tuukkanen, Li-Qiu Wang, Tao Liu, Jun Cui, Lei You, Jing Kou, Guowang Xu, Thomas Jamnik, Mira Flasch, Benedikt Warth, Stefan P. J. van Leeuwen, A. M. Verschoor, B. J. A. Berendsen, Léa Maitre, Mariona Bustamante, Martine Vrijheid, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, David Holmes, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Sunmin Park, Suk Chon, Sung-Hoon Kim, N. Hayes, N. Reid, K. M. Moritz, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Melissa A. Furlong, Tuo Liu, Jefferey L. Burgess, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Wanyu Huang, Tak Igusa, Xiaobin Wang, Jae-Jun Song, Yoon Young Go, Jiwon Chang",20 Apr 2022
/articles/s41598-017-07359-6,Perfluoroalkyl substances in human bone: concentrations in bones and effects on bone cell differentiation,"The double-stranded DNA receptor AIM2 is able to sense the environmental pollutant perfluorooctane sulfonate, a prototypical perfluoro-alkyl substrate. Activation of the AIM2 pathway leads to inflammation and tissue damage via IL-1β secretion and pyroptosis of affected innate immune cells.","nature, search, Min Nian, Wei Zhou, Jun Zhang, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, A. Koskela, J. Koponen, J. Tuukkanen, Li-Qiu Wang, Tao Liu, Jun Cui, Lei You, Jing Kou, Guowang Xu, Thomas Jamnik, Mira Flasch, Benedikt Warth, Stefan P. J. van Leeuwen, A. M. Verschoor, B. J. A. Berendsen, Léa Maitre, Mariona Bustamante, Martine Vrijheid, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, David Holmes, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Sunmin Park, Suk Chon, Sung-Hoon Kim, N. Hayes, N. Reid, K. M. Moritz, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Melissa A. Furlong, Tuo Liu, Jefferey L. Burgess, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Wanyu Huang, Tak Igusa, Xiaobin Wang, Jae-Jun Song, Yoon Young Go, Jiwon Chang",20 Apr 2022
/articles/s41467-021-23201-0,Perfluoroalkyl substance pollutants activate the innate immune system through the AIM2 inflammasome,"The double-stranded DNA receptor AIM2 is able to sense the environmental pollutant perfluorooctane sulfonate, a prototypical perfluoro-alkyl substrate. Activation of the AIM2 pathway leads to inflammation and tissue damage via IL-1β secretion and pyroptosis of affected innate immune cells.","nature, search, Min Nian, Wei Zhou, Jun Zhang, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, A. Koskela, J. Koponen, J. Tuukkanen, Li-Qiu Wang, Tao Liu, Jun Cui, Lei You, Jing Kou, Guowang Xu, Thomas Jamnik, Mira Flasch, Benedikt Warth, Stefan P. J. van Leeuwen, A. M. Verschoor, B. J. A. Berendsen, Léa Maitre, Mariona Bustamante, Martine Vrijheid, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, David Holmes, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Sunmin Park, Suk Chon, Sung-Hoon Kim, N. Hayes, N. Reid, K. M. Moritz, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Melissa A. Furlong, Tuo Liu, Jefferey L. Burgess, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Wanyu Huang, Tak Igusa, Xiaobin Wang, Jae-Jun Song, Yoon Young Go, Jiwon Chang",20 Apr 2022
/articles/s41467-024-46595-z,An exposome atlas of serum reveals the risk of chronic diseases in the Chinese population,"Current studies have provided limited knowledge on real-world chemical exposures and related risks. Here, the authors show serum exposure characteristics of humans in different regions and age groups, revealing diverse risk relationships with multiple chronic diseases.","nature, search, Min Nian, Wei Zhou, Jun Zhang, Mary Regina Boland, Lena M. Davidson, Jason H. Moore, Anne P. Starling, Chloe Friedman, Dana Dabelea, Sverre Wikström, Christian H. Lindh, Carl-Gustaf Bornehag, Cheryl R. Stein, Kathleen J. McGovern, Mary S. Wolff, Joseph M. Braun, Melissa Eliot, Kimberly Yolton, Brianna Frangione, Sapriya Birk, Paul J. Villeneuve, A. Koskela, J. Koponen, J. Tuukkanen, Li-Qiu Wang, Tao Liu, Jun Cui, Lei You, Jing Kou, Guowang Xu, Thomas Jamnik, Mira Flasch, Benedikt Warth, Stefan P. J. van Leeuwen, A. M. Verschoor, B. J. A. Berendsen, Léa Maitre, Mariona Bustamante, Martine Vrijheid, Daniel Wiese, Tesla D. DuBois, Shannon M. Lynch, David Holmes, Katherine Svensson, Eva Tanner, Carl-Gustaf Bornehag, Carol Duh-Leong, Maricel V. Maffini, Leonardo Trasande, Jennifer E. Below, Esteban J. Parra, Adan Valladares-Salgado, Sunmin Park, Suk Chon, Sung-Hoon Kim, N. Hayes, N. Reid, K. M. Moritz, Slawomir Gonkowski, Julia Martín, Liliana Rytel, Melissa A. Furlong, Tuo Liu, Jefferey L. Burgess, Taylor A. M. Wolffe, Andrew Robinson, Anna A. Stec, Natàlia Carreras-Gallo, Alejandro Cáceres, Juan R. González, Wanyu Huang, Tak Igusa, Xiaobin Wang, Jae-Jun Song, Yoon Young Go, Jiwon Chang",20 Apr 2022
