href,title,description,authors,date_published
/articles/s44221-024-00237-2,Cutting all carbon–fluorine bonds from PFAS,Complete defluorination of per- and polyfluoroalkyl substances (PFAS) by a non-thermal technology is not easy to achieve. A rationally designed photochemical–electrochemical treatment train realizes complete defluorination of PFAS mixtures in complex water matrices.,"nature, search, Shilai Hao, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Jeff Tollefson, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Herb Brody, Paul J. Ferraro, Carsten Prasse, Abolfazl Hojjat Ansari, Alfonso Mejia, Raj Cibin, Shuai-Wen Huang, Hong-Lian Zhou, Ying Yao, Emma L. Schymanski, Stanislaus J. Schymanski, Jishan Wu, Miao Cao, Eric M. V. Hoek, Judson W. Harvey, Jay Choi, Katherine Quion",01 May 2024
/articles/s41561-024-01402-8,Underestimated burden of per- and polyfluoroalkyl substances in global surface waters and groundwaters,A global data analysis suggests that a large fraction of surface waters and groundwaters globally have concentrations of per- and polyfluoroalkyl substances (PFAS) that exceed international advisories or national regulations.,"nature, search, Shilai Hao, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Jeff Tollefson, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Herb Brody, Paul J. Ferraro, Carsten Prasse, Abolfazl Hojjat Ansari, Alfonso Mejia, Raj Cibin, Shuai-Wen Huang, Hong-Lian Zhou, Ying Yao, Emma L. Schymanski, Stanislaus J. Schymanski, Jishan Wu, Miao Cao, Eric M. V. Hoek, Judson W. Harvey, Jay Choi, Katherine Quion",01 May 2024
/articles/d41586-023-03876-9,How to take ‘forever’ out of forever chemicals,"Stubborn compounds called PFAS in drinking water put health at risk. Technologies based on plasmas, pressure, sound or fungus could finally degrade these chemicals.","nature, search, Shilai Hao, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Jeff Tollefson, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Herb Brody, Paul J. Ferraro, Carsten Prasse, Abolfazl Hojjat Ansari, Alfonso Mejia, Raj Cibin, Shuai-Wen Huang, Hong-Lian Zhou, Ying Yao, Emma L. Schymanski, Stanislaus J. Schymanski, Jishan Wu, Miao Cao, Eric M. V. Hoek, Judson W. Harvey, Jay Choi, Katherine Quion",01 May 2024
/articles/s41545-023-00236-y,Human exposure to per- and polyfluoroalkyl substances and other emerging contaminants in drinking water,"The EPA has proposed a strict PFAS limit, but it will take money and innovative technologies to implement the plan.","nature, search, Shilai Hao, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Jeff Tollefson, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Herb Brody, Paul J. Ferraro, Carsten Prasse, Abolfazl Hojjat Ansari, Alfonso Mejia, Raj Cibin, Shuai-Wen Huang, Hong-Lian Zhou, Ying Yao, Emma L. Schymanski, Stanislaus J. Schymanski, Jishan Wu, Miao Cao, Eric M. V. Hoek, Judson W. Harvey, Jay Choi, Katherine Quion",01 May 2024
/articles/s41545-023-00274-6,"Revisiting the “forever chemicals”, PFOA and PFOS exposure in drinking water","The EPA has proposed a strict PFAS limit, but it will take money and innovative technologies to implement the plan.","nature, search, Shilai Hao, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Jeff Tollefson, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Herb Brody, Paul J. Ferraro, Carsten Prasse, Abolfazl Hojjat Ansari, Alfonso Mejia, Raj Cibin, Shuai-Wen Huang, Hong-Lian Zhou, Ying Yao, Emma L. Schymanski, Stanislaus J. Schymanski, Jishan Wu, Miao Cao, Eric M. V. Hoek, Judson W. Harvey, Jay Choi, Katherine Quion",01 May 2024
/articles/d41586-023-00822-7,How the US will remove ‘forever chemicals’ from its drinking water,"The EPA has proposed a strict PFAS limit, but it will take money and innovative technologies to implement the plan.","nature, search, Shilai Hao, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Jeff Tollefson, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Herb Brody, Paul J. Ferraro, Carsten Prasse, Abolfazl Hojjat Ansari, Alfonso Mejia, Raj Cibin, Shuai-Wen Huang, Hong-Lian Zhou, Ying Yao, Emma L. Schymanski, Stanislaus J. Schymanski, Jishan Wu, Miao Cao, Eric M. V. Hoek, Judson W. Harvey, Jay Choi, Katherine Quion",01 May 2024
/articles/s41597-023-02277-x,Identifying and sharing per-and polyfluoroalkyl substances hot-spot areas and exposures in drinking water,"Water is an essential resource, but it can also cause conflict, expose people to pollution and put communities at risk in the form of flooding.","nature, search, Shilai Hao, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Jeff Tollefson, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Herb Brody, Paul J. Ferraro, Carsten Prasse, Abolfazl Hojjat Ansari, Alfonso Mejia, Raj Cibin, Shuai-Wen Huang, Hong-Lian Zhou, Ying Yao, Emma L. Schymanski, Stanislaus J. Schymanski, Jishan Wu, Miao Cao, Eric M. V. Hoek, Judson W. Harvey, Jay Choi, Katherine Quion",01 May 2024
/articles/d41586-023-03961-z,Water: a source of life and strife,"Water is an essential resource, but it can also cause conflict, expose people to pollution and put communities at risk in the form of flooding.","nature, search, Shilai Hao, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Jeff Tollefson, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Herb Brody, Paul J. Ferraro, Carsten Prasse, Abolfazl Hojjat Ansari, Alfonso Mejia, Raj Cibin, Shuai-Wen Huang, Hong-Lian Zhou, Ying Yao, Emma L. Schymanski, Stanislaus J. Schymanski, Jishan Wu, Miao Cao, Eric M. V. Hoek, Judson W. Harvey, Jay Choi, Katherine Quion",01 May 2024
/articles/s41893-021-00760-0,Reimagining safe drinking water on the basis of twenty-first-century science,"A growing set of chemicals is emitted into the environment, making the protection of drinking water supplies challenging. This Perspective discusses a more holistic approach to the evaluation of drinking water quality that focuses on complex mixtures instead of a small set of regulated, well-known chemicals.","nature, search, Shilai Hao, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Jeff Tollefson, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Herb Brody, Paul J. Ferraro, Carsten Prasse, Abolfazl Hojjat Ansari, Alfonso Mejia, Raj Cibin, Shuai-Wen Huang, Hong-Lian Zhou, Ying Yao, Emma L. Schymanski, Stanislaus J. Schymanski, Jishan Wu, Miao Cao, Eric M. V. Hoek, Judson W. Harvey, Jay Choi, Katherine Quion",01 May 2024
/articles/s44304-024-00002-1,Flood teleconnections from levees undermine disaster resilience,"Since water is a common good, the outcome of water-related research should be accessible to everyone. Since Open Science is more than just open access research articles, journals must work with the research community to enable fully open and FAIR science","nature, search, Shilai Hao, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Jeff Tollefson, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Herb Brody, Paul J. Ferraro, Carsten Prasse, Abolfazl Hojjat Ansari, Alfonso Mejia, Raj Cibin, Shuai-Wen Huang, Hong-Lian Zhou, Ying Yao, Emma L. Schymanski, Stanislaus J. Schymanski, Jishan Wu, Miao Cao, Eric M. V. Hoek, Judson W. Harvey, Jay Choi, Katherine Quion",01 May 2024
/articles/s41545-024-00300-1,Associations of the utilization of household water treatment devices with mortality,"Since water is a common good, the outcome of water-related research should be accessible to everyone. Since Open Science is more than just open access research articles, journals must work with the research community to enable fully open and FAIR science","nature, search, Shilai Hao, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Jeff Tollefson, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Herb Brody, Paul J. Ferraro, Carsten Prasse, Abolfazl Hojjat Ansari, Alfonso Mejia, Raj Cibin, Shuai-Wen Huang, Hong-Lian Zhou, Ying Yao, Emma L. Schymanski, Stanislaus J. Schymanski, Jishan Wu, Miao Cao, Eric M. V. Hoek, Judson W. Harvey, Jay Choi, Katherine Quion",01 May 2024
/articles/s44221-022-00014-z,Water science must be Open Science,"Since water is a common good, the outcome of water-related research should be accessible to everyone. Since Open Science is more than just open access research articles, journals must work with the research community to enable fully open and FAIR science","nature, search, Shilai Hao, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Jeff Tollefson, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Herb Brody, Paul J. Ferraro, Carsten Prasse, Abolfazl Hojjat Ansari, Alfonso Mejia, Raj Cibin, Shuai-Wen Huang, Hong-Lian Zhou, Ying Yao, Emma L. Schymanski, Stanislaus J. Schymanski, Jishan Wu, Miao Cao, Eric M. V. Hoek, Judson W. Harvey, Jay Choi, Katherine Quion",01 May 2024
/articles/s41545-021-00128-z,A critical review of point-of-use drinking water treatment in the United States,,"nature, search, Shilai Hao, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Jeff Tollefson, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Herb Brody, Paul J. Ferraro, Carsten Prasse, Abolfazl Hojjat Ansari, Alfonso Mejia, Raj Cibin, Shuai-Wen Huang, Hong-Lian Zhou, Ying Yao, Emma L. Schymanski, Stanislaus J. Schymanski, Jishan Wu, Miao Cao, Eric M. V. Hoek, Judson W. Harvey, Jay Choi, Katherine Quion",01 May 2024
/articles/s41597-024-03037-1,"Metabolism Regimes in Regulated Rivers of the Illinois River Basin, USA",,"nature, search, Shilai Hao, Diana Ackerman Grunfeld, Daniel Gilbert, Denis M. O’Carroll, Neil Savage, Dora Cserbik, Paula E. Redondo-Hasselerharm, Cintia Flores, Sze Yee Wee, Ahmad Zaharin Aris, Jeff Tollefson, Sweta Ojha, P. Travis Thompson, Kelly G. Pennell, Herb Brody, Paul J. Ferraro, Carsten Prasse, Abolfazl Hojjat Ansari, Alfonso Mejia, Raj Cibin, Shuai-Wen Huang, Hong-Lian Zhou, Ying Yao, Emma L. Schymanski, Stanislaus J. Schymanski, Jishan Wu, Miao Cao, Eric M. V. Hoek, Judson W. Harvey, Jay Choi, Katherine Quion",01 May 2024
