href,title,description,authors,date_published
/articles/d41586-017-08548-z,Nature’s favourite long-reads of 2017,"Our top News Features covered time crystals, refugee scientists, the most popular human genes of all time and more.","nature, search, Benjamin Thompson, Shamini Bundell, Ping Qiu, Jiayue Li, Longfu Zhu, Benjamin Thompson, Elizabeth Gibney, Nishit Goradia, Stefan Werner, Matthias Wilmanns, Muhammad Awais Zahid, Nam Phuong Kieu, Erik Andreasson, Dania Nanes Sarfati, Yuan Xue, Bo Wang, Cole Trapnell, Prashant S. Emani, Jonathan Warrell, Aram W. Harrow, Carolin Krämer, Christian R. Boehm, Ralph Bock, Minh Chau Nguyen, Hosein Rostamian, Tatiana G. Kutateladze, Amit Kumar Mazumder, Rajbir Yadav, Kiran B. Gaikwad, Sen Zhao, Hengqiang Zhao, Nan Wu, Nitika Gaurav, Akinori Kanai, Tatiana G. Kutateladze, Yi Zhang, Guojia Xie, Tatiana G. Kutateladze, Jiangtao Zhang, Chunhua Zhan, Daohua Jiang, Michael Eisenstein, Elizabeth Gibney, Nick Petrić Howe, Joachim Forner, Dennis Kleinschmidt, Ralph Bock, Armin Dadras, Janine M. R. Fürst-Jansen, Jan de Vries, Yunxiang Wang, Hong Chen, Shengqi Wang, Benjamin Thompson, Nick Petrić Howe, Benjamin Thompson, Barbara Kiser, Timothy A. Daugird, Yu Shi, Wesley R. Legant, Grace N. Hibshman, Jack P. K. Bravo, David W. Taylor, Kassandra M. Ori-McKenney, Jing Xu, Richard B. Vallee, Zhe Hu, Zimeng Wu, Chaoyang Sun, Adam H. Tencer, Yucong Yu, Tatiana G. Kutateladze, Xijuan Liu, Jun Wang, Qing Zhang, Barbara Kiser, Troy E. Sandberg, Richard Szubin, Bernhard O. Palsson, Claudia Gonzaga-Jauregui, Gozde Yesil, James R. Lupski, Yue Liu, Zhihui Zhang, Jiamu Du, Erika Check Hayden, Weifeng Zhang, Zhuo Yang, Qianwen Sun, Uirá Souto Melo, Jerome Jatzlau, Malte Spielmann, Aaron I. Velez-Ramirez, Wim van Ieperen, Frank F. Millenaar, R. A. Gatenby, J. J. Cunningham, J. S. Brown, Ewen Callaway, Davide Castelvecchi, Alexandra Witze, Nicola Barban, Rick Jansen, Melinda C Mills, Inhee Chung, Robert Akita, Ira Mellman, Julian C. Lui, Adalbert Raimann, Jeffrey Baron, Yi Zhang, Younghoon Jang, Tatiana G. Kutateladze, Akihiko Sakashita, Tomohiro Kitano, Haruhiko Siomi, Yayu Guo, Shufang Wang, Jinxing Lin",19 Dec 2017
/articles/d41586-022-00313-1,Weirdly flowing water finally has an explanation: 'quantum friction',"How quantum friction explains water’s strange flows in carbon nanotubes, and the latest from theNature Briefing.","nature, search, Benjamin Thompson, Shamini Bundell, Ping Qiu, Jiayue Li, Longfu Zhu, Benjamin Thompson, Elizabeth Gibney, Nishit Goradia, Stefan Werner, Matthias Wilmanns, Muhammad Awais Zahid, Nam Phuong Kieu, Erik Andreasson, Dania Nanes Sarfati, Yuan Xue, Bo Wang, Cole Trapnell, Prashant S. Emani, Jonathan Warrell, Aram W. Harrow, Carolin Krämer, Christian R. Boehm, Ralph Bock, Minh Chau Nguyen, Hosein Rostamian, Tatiana G. Kutateladze, Amit Kumar Mazumder, Rajbir Yadav, Kiran B. Gaikwad, Sen Zhao, Hengqiang Zhao, Nan Wu, Nitika Gaurav, Akinori Kanai, Tatiana G. Kutateladze, Yi Zhang, Guojia Xie, Tatiana G. Kutateladze, Jiangtao Zhang, Chunhua Zhan, Daohua Jiang, Michael Eisenstein, Elizabeth Gibney, Nick Petrić Howe, Joachim Forner, Dennis Kleinschmidt, Ralph Bock, Armin Dadras, Janine M. R. Fürst-Jansen, Jan de Vries, Yunxiang Wang, Hong Chen, Shengqi Wang, Benjamin Thompson, Nick Petrić Howe, Benjamin Thompson, Barbara Kiser, Timothy A. Daugird, Yu Shi, Wesley R. Legant, Grace N. Hibshman, Jack P. K. Bravo, David W. Taylor, Kassandra M. Ori-McKenney, Jing Xu, Richard B. Vallee, Zhe Hu, Zimeng Wu, Chaoyang Sun, Adam H. Tencer, Yucong Yu, Tatiana G. Kutateladze, Xijuan Liu, Jun Wang, Qing Zhang, Barbara Kiser, Troy E. Sandberg, Richard Szubin, Bernhard O. Palsson, Claudia Gonzaga-Jauregui, Gozde Yesil, James R. Lupski, Yue Liu, Zhihui Zhang, Jiamu Du, Erika Check Hayden, Weifeng Zhang, Zhuo Yang, Qianwen Sun, Uirá Souto Melo, Jerome Jatzlau, Malte Spielmann, Aaron I. Velez-Ramirez, Wim van Ieperen, Frank F. Millenaar, R. A. Gatenby, J. J. Cunningham, J. S. Brown, Ewen Callaway, Davide Castelvecchi, Alexandra Witze, Nicola Barban, Rick Jansen, Melinda C Mills, Inhee Chung, Robert Akita, Ira Mellman, Julian C. Lui, Adalbert Raimann, Jeffrey Baron, Yi Zhang, Younghoon Jang, Tatiana G. Kutateladze, Akihiko Sakashita, Tomohiro Kitano, Haruhiko Siomi, Yayu Guo, Shufang Wang, Jinxing Lin",19 Dec 2017
/articles/s41467-023-43192-4,Polyethyleneimine-coated MXene quantum dots improve cotton tolerance to Verticillium dahliae by maintaining ROS homeostasis,"Verticillum wilt is an important cotton disease caused by fungal pathogenVerticillium dahiae. Here, the authors assemble the genomes of defoliating and non-defoliating isolates of the pathogen, identify virulence geneSP3, and develop a disease control strategy using polyethyleneimine-coated MXene quantum dots.","nature, search, Benjamin Thompson, Shamini Bundell, Ping Qiu, Jiayue Li, Longfu Zhu, Benjamin Thompson, Elizabeth Gibney, Nishit Goradia, Stefan Werner, Matthias Wilmanns, Muhammad Awais Zahid, Nam Phuong Kieu, Erik Andreasson, Dania Nanes Sarfati, Yuan Xue, Bo Wang, Cole Trapnell, Prashant S. Emani, Jonathan Warrell, Aram W. Harrow, Carolin Krämer, Christian R. Boehm, Ralph Bock, Minh Chau Nguyen, Hosein Rostamian, Tatiana G. Kutateladze, Amit Kumar Mazumder, Rajbir Yadav, Kiran B. Gaikwad, Sen Zhao, Hengqiang Zhao, Nan Wu, Nitika Gaurav, Akinori Kanai, Tatiana G. Kutateladze, Yi Zhang, Guojia Xie, Tatiana G. Kutateladze, Jiangtao Zhang, Chunhua Zhan, Daohua Jiang, Michael Eisenstein, Elizabeth Gibney, Nick Petrić Howe, Joachim Forner, Dennis Kleinschmidt, Ralph Bock, Armin Dadras, Janine M. R. Fürst-Jansen, Jan de Vries, Yunxiang Wang, Hong Chen, Shengqi Wang, Benjamin Thompson, Nick Petrić Howe, Benjamin Thompson, Barbara Kiser, Timothy A. Daugird, Yu Shi, Wesley R. Legant, Grace N. Hibshman, Jack P. K. Bravo, David W. Taylor, Kassandra M. Ori-McKenney, Jing Xu, Richard B. Vallee, Zhe Hu, Zimeng Wu, Chaoyang Sun, Adam H. Tencer, Yucong Yu, Tatiana G. Kutateladze, Xijuan Liu, Jun Wang, Qing Zhang, Barbara Kiser, Troy E. Sandberg, Richard Szubin, Bernhard O. Palsson, Claudia Gonzaga-Jauregui, Gozde Yesil, James R. Lupski, Yue Liu, Zhihui Zhang, Jiamu Du, Erika Check Hayden, Weifeng Zhang, Zhuo Yang, Qianwen Sun, Uirá Souto Melo, Jerome Jatzlau, Malte Spielmann, Aaron I. Velez-Ramirez, Wim van Ieperen, Frank F. Millenaar, R. A. Gatenby, J. J. Cunningham, J. S. Brown, Ewen Callaway, Davide Castelvecchi, Alexandra Witze, Nicola Barban, Rick Jansen, Melinda C Mills, Inhee Chung, Robert Akita, Ira Mellman, Julian C. Lui, Adalbert Raimann, Jeffrey Baron, Yi Zhang, Younghoon Jang, Tatiana G. Kutateladze, Akihiko Sakashita, Tomohiro Kitano, Haruhiko Siomi, Yayu Guo, Shufang Wang, Jinxing Lin",19 Dec 2017
/articles/d41586-024-01690-5,"Twitter suspended 70,000 accounts after the Capitol riots and it curbed misinformation",Removal of users shows the role social media companies could play in preventing misinformation sharing — plus how physicists coaxed ultracold molecules into an exotic quantum state.,"nature, search, Benjamin Thompson, Shamini Bundell, Ping Qiu, Jiayue Li, Longfu Zhu, Benjamin Thompson, Elizabeth Gibney, Nishit Goradia, Stefan Werner, Matthias Wilmanns, Muhammad Awais Zahid, Nam Phuong Kieu, Erik Andreasson, Dania Nanes Sarfati, Yuan Xue, Bo Wang, Cole Trapnell, Prashant S. Emani, Jonathan Warrell, Aram W. Harrow, Carolin Krämer, Christian R. Boehm, Ralph Bock, Minh Chau Nguyen, Hosein Rostamian, Tatiana G. Kutateladze, Amit Kumar Mazumder, Rajbir Yadav, Kiran B. Gaikwad, Sen Zhao, Hengqiang Zhao, Nan Wu, Nitika Gaurav, Akinori Kanai, Tatiana G. Kutateladze, Yi Zhang, Guojia Xie, Tatiana G. Kutateladze, Jiangtao Zhang, Chunhua Zhan, Daohua Jiang, Michael Eisenstein, Elizabeth Gibney, Nick Petrić Howe, Joachim Forner, Dennis Kleinschmidt, Ralph Bock, Armin Dadras, Janine M. R. Fürst-Jansen, Jan de Vries, Yunxiang Wang, Hong Chen, Shengqi Wang, Benjamin Thompson, Nick Petrić Howe, Benjamin Thompson, Barbara Kiser, Timothy A. Daugird, Yu Shi, Wesley R. Legant, Grace N. Hibshman, Jack P. K. Bravo, David W. Taylor, Kassandra M. Ori-McKenney, Jing Xu, Richard B. Vallee, Zhe Hu, Zimeng Wu, Chaoyang Sun, Adam H. Tencer, Yucong Yu, Tatiana G. Kutateladze, Xijuan Liu, Jun Wang, Qing Zhang, Barbara Kiser, Troy E. Sandberg, Richard Szubin, Bernhard O. Palsson, Claudia Gonzaga-Jauregui, Gozde Yesil, James R. Lupski, Yue Liu, Zhihui Zhang, Jiamu Du, Erika Check Hayden, Weifeng Zhang, Zhuo Yang, Qianwen Sun, Uirá Souto Melo, Jerome Jatzlau, Malte Spielmann, Aaron I. Velez-Ramirez, Wim van Ieperen, Frank F. Millenaar, R. A. Gatenby, J. J. Cunningham, J. S. Brown, Ewen Callaway, Davide Castelvecchi, Alexandra Witze, Nicola Barban, Rick Jansen, Melinda C Mills, Inhee Chung, Robert Akita, Ira Mellman, Julian C. Lui, Adalbert Raimann, Jeffrey Baron, Yi Zhang, Younghoon Jang, Tatiana G. Kutateladze, Akihiko Sakashita, Tomohiro Kitano, Haruhiko Siomi, Yayu Guo, Shufang Wang, Jinxing Lin",19 Dec 2017
/articles/d41586-019-03227-7,Podcast: Quantum supremacy and ancient mammals,"Listen to the latest from the world of science, with Nick Howe and Shamini Bundell.","nature, search, Benjamin Thompson, Shamini Bundell, Ping Qiu, Jiayue Li, Longfu Zhu, Benjamin Thompson, Elizabeth Gibney, Nishit Goradia, Stefan Werner, Matthias Wilmanns, Muhammad Awais Zahid, Nam Phuong Kieu, Erik Andreasson, Dania Nanes Sarfati, Yuan Xue, Bo Wang, Cole Trapnell, Prashant S. Emani, Jonathan Warrell, Aram W. Harrow, Carolin Krämer, Christian R. Boehm, Ralph Bock, Minh Chau Nguyen, Hosein Rostamian, Tatiana G. Kutateladze, Amit Kumar Mazumder, Rajbir Yadav, Kiran B. Gaikwad, Sen Zhao, Hengqiang Zhao, Nan Wu, Nitika Gaurav, Akinori Kanai, Tatiana G. Kutateladze, Yi Zhang, Guojia Xie, Tatiana G. Kutateladze, Jiangtao Zhang, Chunhua Zhan, Daohua Jiang, Michael Eisenstein, Elizabeth Gibney, Nick Petrić Howe, Joachim Forner, Dennis Kleinschmidt, Ralph Bock, Armin Dadras, Janine M. R. Fürst-Jansen, Jan de Vries, Yunxiang Wang, Hong Chen, Shengqi Wang, Benjamin Thompson, Nick Petrić Howe, Benjamin Thompson, Barbara Kiser, Timothy A. Daugird, Yu Shi, Wesley R. Legant, Grace N. Hibshman, Jack P. K. Bravo, David W. Taylor, Kassandra M. Ori-McKenney, Jing Xu, Richard B. Vallee, Zhe Hu, Zimeng Wu, Chaoyang Sun, Adam H. Tencer, Yucong Yu, Tatiana G. Kutateladze, Xijuan Liu, Jun Wang, Qing Zhang, Barbara Kiser, Troy E. Sandberg, Richard Szubin, Bernhard O. Palsson, Claudia Gonzaga-Jauregui, Gozde Yesil, James R. Lupski, Yue Liu, Zhihui Zhang, Jiamu Du, Erika Check Hayden, Weifeng Zhang, Zhuo Yang, Qianwen Sun, Uirá Souto Melo, Jerome Jatzlau, Malte Spielmann, Aaron I. Velez-Ramirez, Wim van Ieperen, Frank F. Millenaar, R. A. Gatenby, J. J. Cunningham, J. S. Brown, Ewen Callaway, Davide Castelvecchi, Alexandra Witze, Nicola Barban, Rick Jansen, Melinda C Mills, Inhee Chung, Robert Akita, Ira Mellman, Julian C. Lui, Adalbert Raimann, Jeffrey Baron, Yi Zhang, Younghoon Jang, Tatiana G. Kutateladze, Akihiko Sakashita, Tomohiro Kitano, Haruhiko Siomi, Yayu Guo, Shufang Wang, Jinxing Lin",19 Dec 2017
/articles/s41467-024-49488-3,Master corepressor inactivation through multivalent SLiM-induced polymerization mediated by the oncogene suppressor RAI2,"CtBP is a transcriptional master co-repressor with oncogenic activity. Here, the authors use structural and biophysical methods to show that CtBP interacts with RAI2 through SLiMs that induce CtBP polymerization and inactivation.","nature, search, Benjamin Thompson, Shamini Bundell, Ping Qiu, Jiayue Li, Longfu Zhu, Benjamin Thompson, Elizabeth Gibney, Nishit Goradia, Stefan Werner, Matthias Wilmanns, Muhammad Awais Zahid, Nam Phuong Kieu, Erik Andreasson, Dania Nanes Sarfati, Yuan Xue, Bo Wang, Cole Trapnell, Prashant S. Emani, Jonathan Warrell, Aram W. Harrow, Carolin Krämer, Christian R. Boehm, Ralph Bock, Minh Chau Nguyen, Hosein Rostamian, Tatiana G. Kutateladze, Amit Kumar Mazumder, Rajbir Yadav, Kiran B. Gaikwad, Sen Zhao, Hengqiang Zhao, Nan Wu, Nitika Gaurav, Akinori Kanai, Tatiana G. Kutateladze, Yi Zhang, Guojia Xie, Tatiana G. Kutateladze, Jiangtao Zhang, Chunhua Zhan, Daohua Jiang, Michael Eisenstein, Elizabeth Gibney, Nick Petrić Howe, Joachim Forner, Dennis Kleinschmidt, Ralph Bock, Armin Dadras, Janine M. R. Fürst-Jansen, Jan de Vries, Yunxiang Wang, Hong Chen, Shengqi Wang, Benjamin Thompson, Nick Petrić Howe, Benjamin Thompson, Barbara Kiser, Timothy A. Daugird, Yu Shi, Wesley R. Legant, Grace N. Hibshman, Jack P. K. Bravo, David W. Taylor, Kassandra M. Ori-McKenney, Jing Xu, Richard B. Vallee, Zhe Hu, Zimeng Wu, Chaoyang Sun, Adam H. Tencer, Yucong Yu, Tatiana G. Kutateladze, Xijuan Liu, Jun Wang, Qing Zhang, Barbara Kiser, Troy E. Sandberg, Richard Szubin, Bernhard O. Palsson, Claudia Gonzaga-Jauregui, Gozde Yesil, James R. Lupski, Yue Liu, Zhihui Zhang, Jiamu Du, Erika Check Hayden, Weifeng Zhang, Zhuo Yang, Qianwen Sun, Uirá Souto Melo, Jerome Jatzlau, Malte Spielmann, Aaron I. Velez-Ramirez, Wim van Ieperen, Frank F. Millenaar, R. A. Gatenby, J. J. Cunningham, J. S. Brown, Ewen Callaway, Davide Castelvecchi, Alexandra Witze, Nicola Barban, Rick Jansen, Melinda C Mills, Inhee Chung, Robert Akita, Ira Mellman, Julian C. Lui, Adalbert Raimann, Jeffrey Baron, Yi Zhang, Younghoon Jang, Tatiana G. Kutateladze, Akihiko Sakashita, Tomohiro Kitano, Haruhiko Siomi, Yayu Guo, Shufang Wang, Jinxing Lin",19 Dec 2017
/articles/s41467-024-49584-4,Enhanced stress resilience in potato by deletion of Parakletos,"Crop production is threatening by multiple stressors. Here, the authors report the identification of a thylakoid protein encoding gene and show that knocking out this gene results in enhanced resistance to oomycete, fungi and bacteria, as well as increased tolerance to salt and drought mimics in potato.","nature, search, Benjamin Thompson, Shamini Bundell, Ping Qiu, Jiayue Li, Longfu Zhu, Benjamin Thompson, Elizabeth Gibney, Nishit Goradia, Stefan Werner, Matthias Wilmanns, Muhammad Awais Zahid, Nam Phuong Kieu, Erik Andreasson, Dania Nanes Sarfati, Yuan Xue, Bo Wang, Cole Trapnell, Prashant S. Emani, Jonathan Warrell, Aram W. Harrow, Carolin Krämer, Christian R. Boehm, Ralph Bock, Minh Chau Nguyen, Hosein Rostamian, Tatiana G. Kutateladze, Amit Kumar Mazumder, Rajbir Yadav, Kiran B. Gaikwad, Sen Zhao, Hengqiang Zhao, Nan Wu, Nitika Gaurav, Akinori Kanai, Tatiana G. Kutateladze, Yi Zhang, Guojia Xie, Tatiana G. Kutateladze, Jiangtao Zhang, Chunhua Zhan, Daohua Jiang, Michael Eisenstein, Elizabeth Gibney, Nick Petrić Howe, Joachim Forner, Dennis Kleinschmidt, Ralph Bock, Armin Dadras, Janine M. R. Fürst-Jansen, Jan de Vries, Yunxiang Wang, Hong Chen, Shengqi Wang, Benjamin Thompson, Nick Petrić Howe, Benjamin Thompson, Barbara Kiser, Timothy A. Daugird, Yu Shi, Wesley R. Legant, Grace N. Hibshman, Jack P. K. Bravo, David W. Taylor, Kassandra M. Ori-McKenney, Jing Xu, Richard B. Vallee, Zhe Hu, Zimeng Wu, Chaoyang Sun, Adam H. Tencer, Yucong Yu, Tatiana G. Kutateladze, Xijuan Liu, Jun Wang, Qing Zhang, Barbara Kiser, Troy E. Sandberg, Richard Szubin, Bernhard O. Palsson, Claudia Gonzaga-Jauregui, Gozde Yesil, James R. Lupski, Yue Liu, Zhihui Zhang, Jiamu Du, Erika Check Hayden, Weifeng Zhang, Zhuo Yang, Qianwen Sun, Uirá Souto Melo, Jerome Jatzlau, Malte Spielmann, Aaron I. Velez-Ramirez, Wim van Ieperen, Frank F. Millenaar, R. A. Gatenby, J. J. Cunningham, J. S. Brown, Ewen Callaway, Davide Castelvecchi, Alexandra Witze, Nicola Barban, Rick Jansen, Melinda C Mills, Inhee Chung, Robert Akita, Ira Mellman, Julian C. Lui, Adalbert Raimann, Jeffrey Baron, Yi Zhang, Younghoon Jang, Tatiana G. Kutateladze, Akihiko Sakashita, Tomohiro Kitano, Haruhiko Siomi, Yayu Guo, Shufang Wang, Jinxing Lin",19 Dec 2017
/articles/s41467-024-48366-2,Coordinated wound responses in a regenerative animal-algal holobiont,"The term ‘holobiont’ refers to a multicellular organism and its microbial symbionts. Whether and how symbionts react to host injury and how cellular responses are integrated across species remain unexplored. Here, the authors report a deeply conserved animal regeneration regulatory program that links molecular networks across species in an animal-algal holobiont.","nature, search, Benjamin Thompson, Shamini Bundell, Ping Qiu, Jiayue Li, Longfu Zhu, Benjamin Thompson, Elizabeth Gibney, Nishit Goradia, Stefan Werner, Matthias Wilmanns, Muhammad Awais Zahid, Nam Phuong Kieu, Erik Andreasson, Dania Nanes Sarfati, Yuan Xue, Bo Wang, Cole Trapnell, Prashant S. Emani, Jonathan Warrell, Aram W. Harrow, Carolin Krämer, Christian R. Boehm, Ralph Bock, Minh Chau Nguyen, Hosein Rostamian, Tatiana G. Kutateladze, Amit Kumar Mazumder, Rajbir Yadav, Kiran B. Gaikwad, Sen Zhao, Hengqiang Zhao, Nan Wu, Nitika Gaurav, Akinori Kanai, Tatiana G. Kutateladze, Yi Zhang, Guojia Xie, Tatiana G. Kutateladze, Jiangtao Zhang, Chunhua Zhan, Daohua Jiang, Michael Eisenstein, Elizabeth Gibney, Nick Petrić Howe, Joachim Forner, Dennis Kleinschmidt, Ralph Bock, Armin Dadras, Janine M. R. Fürst-Jansen, Jan de Vries, Yunxiang Wang, Hong Chen, Shengqi Wang, Benjamin Thompson, Nick Petrić Howe, Benjamin Thompson, Barbara Kiser, Timothy A. Daugird, Yu Shi, Wesley R. Legant, Grace N. Hibshman, Jack P. K. Bravo, David W. Taylor, Kassandra M. Ori-McKenney, Jing Xu, Richard B. Vallee, Zhe Hu, Zimeng Wu, Chaoyang Sun, Adam H. Tencer, Yucong Yu, Tatiana G. Kutateladze, Xijuan Liu, Jun Wang, Qing Zhang, Barbara Kiser, Troy E. Sandberg, Richard Szubin, Bernhard O. Palsson, Claudia Gonzaga-Jauregui, Gozde Yesil, James R. Lupski, Yue Liu, Zhihui Zhang, Jiamu Du, Erika Check Hayden, Weifeng Zhang, Zhuo Yang, Qianwen Sun, Uirá Souto Melo, Jerome Jatzlau, Malte Spielmann, Aaron I. Velez-Ramirez, Wim van Ieperen, Frank F. Millenaar, R. A. Gatenby, J. J. Cunningham, J. S. Brown, Ewen Callaway, Davide Castelvecchi, Alexandra Witze, Nicola Barban, Rick Jansen, Melinda C Mills, Inhee Chung, Robert Akita, Ira Mellman, Julian C. Lui, Adalbert Raimann, Jeffrey Baron, Yi Zhang, Younghoon Jang, Tatiana G. Kutateladze, Akihiko Sakashita, Tomohiro Kitano, Haruhiko Siomi, Yayu Guo, Shufang Wang, Jinxing Lin",19 Dec 2017
/articles/s41576-024-00750-w,Revealing gene function with statistical inference at single-cell resolution,"Single-cell, spatial and multi-omic profiling technologies generate large-scale data that reveal the output of genome-scale experiments across diverse cells, tissues and organisms. Cole Trapnell reviews the underlying core statistical challenges that need to be tackled to harness the power of these technologies and advance our understanding of gene function in health and disease.","nature, search, Benjamin Thompson, Shamini Bundell, Ping Qiu, Jiayue Li, Longfu Zhu, Benjamin Thompson, Elizabeth Gibney, Nishit Goradia, Stefan Werner, Matthias Wilmanns, Muhammad Awais Zahid, Nam Phuong Kieu, Erik Andreasson, Dania Nanes Sarfati, Yuan Xue, Bo Wang, Cole Trapnell, Prashant S. Emani, Jonathan Warrell, Aram W. Harrow, Carolin Krämer, Christian R. Boehm, Ralph Bock, Minh Chau Nguyen, Hosein Rostamian, Tatiana G. Kutateladze, Amit Kumar Mazumder, Rajbir Yadav, Kiran B. Gaikwad, Sen Zhao, Hengqiang Zhao, Nan Wu, Nitika Gaurav, Akinori Kanai, Tatiana G. Kutateladze, Yi Zhang, Guojia Xie, Tatiana G. Kutateladze, Jiangtao Zhang, Chunhua Zhan, Daohua Jiang, Michael Eisenstein, Elizabeth Gibney, Nick Petrić Howe, Joachim Forner, Dennis Kleinschmidt, Ralph Bock, Armin Dadras, Janine M. R. Fürst-Jansen, Jan de Vries, Yunxiang Wang, Hong Chen, Shengqi Wang, Benjamin Thompson, Nick Petrić Howe, Benjamin Thompson, Barbara Kiser, Timothy A. Daugird, Yu Shi, Wesley R. Legant, Grace N. Hibshman, Jack P. K. Bravo, David W. Taylor, Kassandra M. Ori-McKenney, Jing Xu, Richard B. Vallee, Zhe Hu, Zimeng Wu, Chaoyang Sun, Adam H. Tencer, Yucong Yu, Tatiana G. Kutateladze, Xijuan Liu, Jun Wang, Qing Zhang, Barbara Kiser, Troy E. Sandberg, Richard Szubin, Bernhard O. Palsson, Claudia Gonzaga-Jauregui, Gozde Yesil, James R. Lupski, Yue Liu, Zhihui Zhang, Jiamu Du, Erika Check Hayden, Weifeng Zhang, Zhuo Yang, Qianwen Sun, Uirá Souto Melo, Jerome Jatzlau, Malte Spielmann, Aaron I. Velez-Ramirez, Wim van Ieperen, Frank F. Millenaar, R. A. Gatenby, J. J. Cunningham, J. S. Brown, Ewen Callaway, Davide Castelvecchi, Alexandra Witze, Nicola Barban, Rick Jansen, Melinda C Mills, Inhee Chung, Robert Akita, Ira Mellman, Julian C. Lui, Adalbert Raimann, Jeffrey Baron, Yi Zhang, Younghoon Jang, Tatiana G. Kutateladze, Akihiko Sakashita, Tomohiro Kitano, Haruhiko Siomi, Yayu Guo, Shufang Wang, Jinxing Lin",19 Dec 2017
/articles/s41592-020-01004-3,Quantum computing at the frontiers of biological sciences,"Computing plays a critical role in the biological sciences but faces increasing challenges of scale and complexity. Quantum computing, a computational paradigm exploiting the unique properties of quantum mechanical analogs of classical bits, seeks to address many of these challenges. We discuss the potential for quantum computing to aid in the merging of insights across different areas of biological sciences.","nature, search, Benjamin Thompson, Shamini Bundell, Ping Qiu, Jiayue Li, Longfu Zhu, Benjamin Thompson, Elizabeth Gibney, Nishit Goradia, Stefan Werner, Matthias Wilmanns, Muhammad Awais Zahid, Nam Phuong Kieu, Erik Andreasson, Dania Nanes Sarfati, Yuan Xue, Bo Wang, Cole Trapnell, Prashant S. Emani, Jonathan Warrell, Aram W. Harrow, Carolin Krämer, Christian R. Boehm, Ralph Bock, Minh Chau Nguyen, Hosein Rostamian, Tatiana G. Kutateladze, Amit Kumar Mazumder, Rajbir Yadav, Kiran B. Gaikwad, Sen Zhao, Hengqiang Zhao, Nan Wu, Nitika Gaurav, Akinori Kanai, Tatiana G. Kutateladze, Yi Zhang, Guojia Xie, Tatiana G. Kutateladze, Jiangtao Zhang, Chunhua Zhan, Daohua Jiang, Michael Eisenstein, Elizabeth Gibney, Nick Petrić Howe, Joachim Forner, Dennis Kleinschmidt, Ralph Bock, Armin Dadras, Janine M. R. Fürst-Jansen, Jan de Vries, Yunxiang Wang, Hong Chen, Shengqi Wang, Benjamin Thompson, Nick Petrić Howe, Benjamin Thompson, Barbara Kiser, Timothy A. Daugird, Yu Shi, Wesley R. Legant, Grace N. Hibshman, Jack P. K. Bravo, David W. Taylor, Kassandra M. Ori-McKenney, Jing Xu, Richard B. Vallee, Zhe Hu, Zimeng Wu, Chaoyang Sun, Adam H. Tencer, Yucong Yu, Tatiana G. Kutateladze, Xijuan Liu, Jun Wang, Qing Zhang, Barbara Kiser, Troy E. Sandberg, Richard Szubin, Bernhard O. Palsson, Claudia Gonzaga-Jauregui, Gozde Yesil, James R. Lupski, Yue Liu, Zhihui Zhang, Jiamu Du, Erika Check Hayden, Weifeng Zhang, Zhuo Yang, Qianwen Sun, Uirá Souto Melo, Jerome Jatzlau, Malte Spielmann, Aaron I. Velez-Ramirez, Wim van Ieperen, Frank F. Millenaar, R. A. Gatenby, J. J. Cunningham, J. S. Brown, Ewen Callaway, Davide Castelvecchi, Alexandra Witze, Nicola Barban, Rick Jansen, Melinda C Mills, Inhee Chung, Robert Akita, Ira Mellman, Julian C. Lui, Adalbert Raimann, Jeffrey Baron, Yi Zhang, Younghoon Jang, Tatiana G. Kutateladze, Akihiko Sakashita, Tomohiro Kitano, Haruhiko Siomi, Yayu Guo, Shufang Wang, Jinxing Lin",19 Dec 2017
